	TCGA.AR.A0TU.01A.31R.A109.07	TCGA.35.5375.01A.01R.1628.07	TCGA.64.5774.01A.01R.1628.07	TCGA.73.4659.01A.01R.1206.07	TCGA.05.4390.01A.02R.1755.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.O5YW.0526.SM.2YUMX	GTEX.144GN.0426.SM.5O9AP	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.P4QT.0526.SM.2I3EX	GTEX.QDVJ.0926.SM.2I5FU	GTEX.WFG7.0526.SM.3GIKI	GTEX.R55G.0826.SM.2TC5U	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.13O21.3026.SM.5J2NI	GTEX.T6MO.0426.SM.32QOI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.XGQ4.0826.SM.4AT4T	GTEX.1399S.1726.SM.5L3DI	GTEX.WH7G.0726.SM.3NMBM	GTEX.11TT1.1626.SM.5EQL7	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.T8EM.0326.SM.3DB7F	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.QEG5.1126.SM.33HC2	GTEX.13OVG.0326.SM.5KM57	TCGA.37.4132.01A.01R.1100.07	TCGA.66.2782.01A.01R.0851.07	TCGA.66.2771.01A.01R.0980.07	TCGA.18.3411.01A.01R.0980.07	TCGA.39.5031.01A.01R.1443.07	TCGA.NK.A5D1.01A.11R.A26W.07	TCGA.37.4132.01A.01R.1100.07.1
C12orf73	395.18	503.95	406.31	265.87	406.31	152.28	133.36	82.29	114.36	120.1	108.14	129.69	183.82	239.52	202.66	123.5	277.2	297.17	118.43	155.5	150.17	212.78	267.73	256.78	199.85	161.02	339.14	99.43	181.28	181.28	150.17	236.21	169.07	94.01	113.56	703.28	232.94	463.65	417.77	279.14	532.74	703.28
C16orf59	273.37	142.01	194.36	212.78	318.57	4.35	22.59	6.21	64.34	1.73	7.22	10.31	56.68	15.11	68.55	4.82	41.81	19.11	44.89	10.96	16.51	4.46	7.4	13.22	41.22	16.63	29.27	18.16	16.88	34.51	13.62	19.68	11.82	11.55	10.47	231.32	121.79	144.01	105.15	177.53	753.83	231.32
C18orf56	202.66	26.67	66.18	49.56	70.01	4.54	13.22	6.06	16.03	0.0	10.08	6.06	25.91	7.06	49.91	5.87	17.13	10.47	10.63	3.03	3.53	4.03	8.13	3.5	40.36	4.98	15.34	7.4	6.26	17.13	6.67	11.55	8.0	5.15	4.66	23.59	33.54	57.08	87.03	229.72	48.52	23.59
CCNA2	1457.23	376.41	540.19	242.88	698.41	14.03	30.78	10.63	78.34	6.73	8.51	10.39	76.17	61.25	220.32	16.75	54.72	15.68	47.84	24.63	18.97	7.94	12.27	21.16	87.65	46.5	104.42	10.24	31.0	108.9	22.26	19.39	22.59	15.91	10.08	947.83	607.87	825.0	743.43	480.04	1066.48	947.83
CCNB1	5255.91	2537.92	2209.26	1794.29	1991.0	120.94	120.1	77.79	214.27	35.0	98.04	112.77	329.84	218.79	1529.73	55.89	234.57	115.97	206.94	65.72	118.43	53.57	104.42	88.26	429.54	239.52	660.68	67.59	177.53	555.41	112.77	146.03	115.97	96.68	47.17	1721.16	1662.49	2555.58	3060.45	1674.06	3982.99	1721.16
CCNE2	144.01	409.15	155.5	161.02	332.14	8.0	41.81	18.7	135.24	46.18	80.01	19.11	58.71	68.07	68.55	8.0	141.02	18.16	84.63	5.11	20.86	35.5	27.64	28.04	61.68	46.5	23.59	10.63	25.72	107.38	33.06	33.78	29.06	53.57	44.89	872.1	249.73	193.01	163.28	256.78	199.85	872.1
CDC20	5292.48	1447.15	1015.93	748.61	1540.37	62.56	59.97	36.79	182.55	18.29	31.67	58.3	226.54	124.37	830.75	53.57	69.03	21.01	105.15	24.28	59.97	30.34	7.17	33.06	208.38	163.28	329.84	58.71	89.51	158.79	50.98	50.27	75.64	40.36	38.4	1572.76	1561.89	2104.58	1709.26	3303.0	3443.31	1572.76
CDC45	525.39	332.14	256.78	231.32	480.04	13.32	44.25	14.89	281.09	7.34	7.17	34.75	163.28	62.12	244.57	19.53	153.34	11.91	42.41	23.25	16.27	12.55	8.19	18.03	116.78	29.27	97.36	18.16	42.71	112.77	46.5	38.4	16.51	24.28	19.39	412.0	392.44	334.46	1183.45	432.53	480.04	412.0
CDC6	366.09	267.73	420.68	220.32	511.0	19.25	20.41	5.92	346.29	12.64	20.86	15.34	140.04	52.45	153.34	16.03	105.15	14.03	45.85	17.9	15.0	21.32	6.52	26.67	78.34	28.45	53.19	4.94	35.0	100.83	18.97	44.89	11.3	15.45	12.55	507.46	273.37	395.18	612.11	417.77	607.87	507.46
CDCA2	480.04	107.38	186.4	61.25	99.43	6.67	12.36	2.97	23.42	4.74	4.82	4.31	29.7	18.03	72.01	7.0	21.63	2.41	7.51	3.76	5.36	2.84	1.77	4.94	43.32	14.78	40.64	3.53	17.51	45.85	9.48	11.21	7.22	14.45	2.41	53.57	87.03	186.4	140.04	163.28	287.01	53.57
CDCA5	1096.5	193.01	432.53	361.04	511.0	32.13	55.49	23.93	170.25	24.11	22.75	28.65	283.05	115.16	348.71	47.84	120.1	22.75	53.19	17.13	28.65	22.26	14.24	44.57	194.36	64.34	134.3	12.18	50.63	137.14	44.57	63.89	32.13	51.35	18.16	896.64	660.68	563.18	571.05	753.83	1662.49	896.64
CDCA8	1806.78	224.97	400.71	265.87	384.34	17.77	46.18	23.59	88.26	19.39	14.24	24.63	116.78	56.28	246.28	25.72	81.71	27.44	32.36	23.08	40.36	16.63	17.9	27.05	102.97	66.18	135.24	18.03	57.08	88.88	35.76	32.36	33.54	32.13	22.1	708.18	454.09	703.28	356.05	473.41	1286.18	708.18
CDK1	4328.55	2119.22	738.29	507.46	902.89	76.17	182.55	80.57	336.79	43.02	137.14	50.63	403.5	351.14	1508.65	76.17	616.37	94.67	218.79	85.22	97.36	46.18	60.39	61.25	674.59	157.68	529.06	59.13	190.34	723.08	69.52	127.0	148.09	158.79	54.72	2240.11	1407.55	2287.2	1685.71	1242.34	1936.53	2240.11
CDK4	6745.86	6887.62	4869.99	4671.57	7911.95	2193.99	2104.58	1605.83	4543.8	1417.35	1950.0	2240.11	5633.22	2224.63	3325.99	1757.34	3303.0	2956.17	2997.45	1733.13	2119.22	3190.46	2502.97	2384.37	2701.35	4328.55	3349.13	2434.5	3325.99	2451.44	1977.24	2997.45	1857.6	2193.99	1225.22	11827.67	6337.83	7589.61	10959.3	8778.97	11504.21	11827.67
CDT1	796.86	318.57	309.83	397.93	595.34	22.1	37.59	31.9	177.53	13.52	8.06	14.14	151.22	70.01	218.79	22.1	118.43	17.51	46.84	15.56	23.59	26.28	6.21	20.26	133.36	33.78	88.88	10.08	48.18	101.54	27.64	42.71	54.33	39.79	19.53	353.59	209.84	379.04	248.0	403.5	660.68	353.59
CENPH	713.11	387.02	323.03	194.36	253.23	87.65	88.88	34.75	301.33	56.68	51.71	43.63	218.79	102.97	223.41	48.18	417.77	73.54	157.68	42.41	114.36	63.0	55.49	90.77	256.78	84.63	198.47	51.71	126.12	325.29	66.65	111.21	79.45	131.51	61.68	525.39	297.17	293.07	743.43	466.88	1417.35	525.39
CENPK	214.27	693.58	327.56	142.01	170.25	13.93	31.45	17.38	175.07	13.52	17.38	37.05	120.1	72.01	125.24	21.63	114.36	22.59	58.3	22.75	37.59	10.79	21.47	20.86	106.63	46.5	96.01	18.84	49.56	121.79	34.75	22.92	49.91	58.71	15.11	403.5	307.69	334.46	255.0	146.03	493.56	403.5
CENPM	591.22	490.14	329.84	432.53	698.41	35.5	123.5	44.25	579.04	19.53	62.12	68.07	423.61	128.79	679.29	51.71	363.56	50.27	176.29	185.11	214.27	43.32	57.49	96.68	503.95	78.34	291.04	88.88	98.73	201.25	73.54	85.82	67.59	129.69	62.56	656.11	373.81	514.56	1350.18	679.29	909.17	656.11
CENPN	1167.14	1594.73	376.41	525.39	543.96	334.46	87.03	61.25	305.55	167.9	84.04	94.67	327.56	392.44	457.25	81.71	620.67	65.26	72.01	60.39	113.56	127.0	85.22	53.19	218.79	102.97	211.31	194.36	92.05	414.87	62.56	248.0	106.63	77.79	41.52	1242.34	429.54	1447.15	1457.23	1051.79	1781.89	1242.34
CGREF1	361.04	191.67	291.04	525.39	748.61	31.0	1.99	5.68	45.21	19.97	3.56	2.86	47.84	4.58	2.05	21.94	7.63	22.1	65.26	4.35	7.57	55.1	7.4	6.01	5.11	2.68	59.55	4.98	40.64	57.08	6.21	9.13	20.11	11.04	9.85	2335.28	915.51	175.07	293.07	198.47	775.05	2335.28
CHEK1	624.99	269.6	256.78	329.84	256.78	63.89	45.21	25.54	289.02	148.09	71.0	44.89	150.17	58.71	229.72	22.43	118.43	35.25	65.26	30.12	55.49	34.02	27.84	41.52	94.01	54.33	146.03	45.53	68.55	215.77	57.49	54.72	49.56	41.81	64.34	836.53	376.41	532.74	387.02	283.05	473.41	836.53
CKS2	16157.44	8718.32	2148.82	2664.15	7382.04	1023.0	802.41	1051.79	1508.65	698.41	1350.18	647.07	1477.58	2351.53	3690.52	679.29	1540.37	669.92	1127.35	1277.29	941.27	1104.13	2133.97	915.51	2367.9	669.92	2956.17	1008.9	1304.15	2075.59	848.22	1023.0	1104.13	808.0	866.07	10659.59	3257.52	7081.29	4869.99	4181.07	7803.01	10659.59
DAD1	14561.8	25708.25	8718.32	7966.99	13399.51	4450.27	5183.54	4268.94	10733.74	2573.36	4704.07	4328.55	7180.15	9344.14	7180.15	5517.27	9808.75	9151.82	10883.59	4769.75	7130.55	5913.33	4181.07	5366.37	6164.49	6652.97	12502.12	5292.48	7695.57	7537.18	4639.29	6983.79	5711.87	8134.41	4152.18	13123.73	11827.67	10959.3	12676.65	10014.87	7749.1	13123.73
DCTPP1	1857.6	3349.13	1199.98	1529.73	1977.24	688.78	463.65	567.1	1225.22	339.14	480.04	660.68	1233.75	842.36	854.13	463.65	860.08	587.13	1183.45	384.34	825.0	718.08	500.46	571.05	848.22	708.18	921.88	460.44	1037.29	967.76	454.09	733.19	591.22	376.41	457.25	4181.07	2956.17	3280.18	2777.33	2104.58	1896.65	4181.07
DIABLO	1883.54	2351.53	1963.57	1651.0	1733.13	1447.15	1208.34	934.76	1639.59	1081.39	1369.04	1023.0	1508.65	1745.2	1111.82	967.76	1721.16	1127.35	1359.57	802.41	1583.71	1119.56	1662.49	1135.2	1233.75	1331.57	1844.76	802.41	2468.49	1417.35	1313.23	1250.98	1268.46	1378.57	1268.46	2796.65	1923.14	2915.45	2303.12	2004.85	2485.67	2796.65
DLGAP5	1127.35	473.41	493.56	271.48	559.28	11.64	23.76	8.13	48.87	4.7	6.31	8.06	52.08	41.22	147.06	9.63	37.32	7.63	23.25	9.63	12.55	4.35	3.26	8.19	57.08	26.28	74.58	8.38	32.59	67.59	13.03	18.97	21.47	20.71	6.57	435.55	363.56	441.64	376.41	532.74	785.88	435.55
DSCC1	327.56	307.69	182.55	107.38	395.18	16.03	27.25	27.05	94.67	9.06	27.44	30.56	49.21	62.12	81.71	12.64	88.88	44.25	59.55	8.06	32.59	12.55	34.75	34.75	53.19	37.59	64.34	7.63	50.27	47.5	25.72	52.45	31.9	23.25	20.56	532.74	236.21	178.77	258.57	232.94	145.02	532.74
E2F2	161.02	29.7	68.55	63.0	140.04	8.78	6.36	1.83	29.48	14.78	1.95	18.43	42.71	9.93	34.75	12.18	25.17	3.79	4.9	3.03	9.78	11.38	2.2	6.67	21.16	28.86	11.55	4.17	7.75	19.53	6.84	12.74	6.89	7.63	2.27	37.05	81.71	152.28	43.32	119.26	214.27	37.05
FAM210A	441.64	221.86	318.57	198.47	447.82	218.79	96.68	98.04	241.19	204.07	136.19	138.1	195.72	295.11	201.25	52.45	159.9	106.63	249.73	69.52	145.02	54.72	229.72	95.34	197.09	218.79	199.85	82.87	165.57	295.11	136.19	187.71	91.41	86.43	83.45	262.2	327.56	612.11	525.39	536.45	414.87	262.2
FAM216A	363.56	283.05	162.14	157.68	246.28	37.85	55.89	37.32	106.63	64.8	68.55	61.25	84.04	92.05	36.27	50.98	94.01	137.14	98.73	55.89	73.54	72.52	97.36	96.01	83.45	119.26	176.29	48.87	61.68	166.73	103.69	60.39	26.28	35.5	49.56	928.3	187.71	214.27	267.73	153.34	551.56	928.3
FAM60A	2400.97	1561.89	2591.27	1561.89	2796.65	995.0	525.39	775.05	830.75	1437.15	854.13	438.59	708.18	1008.9	759.08	1378.57	743.43	423.61	693.58	854.13	525.39	1216.75	791.35	718.08	497.0	1437.15	429.54	363.56	444.72	2032.85	356.05	723.08	525.39	1159.07	246.28	4575.41	2855.44	3212.66	2956.17	2047.0	2303.12	4575.41
FANCI	480.04	325.29	444.72	287.01	457.25	101.54	119.26	56.28	316.37	173.85	56.68	76.17	241.19	129.69	603.67	63.45	406.31	42.11	95.34	54.72	57.49	81.71	81.14	81.71	299.25	41.22	132.44	25.17	98.04	267.73	77.79	52.08	84.63	115.16	171.45	470.14	351.14	409.15	1151.06	629.35	1313.23	470.14
GINS1	651.58	753.83	279.14	149.12	229.72	12.27	18.97	6.21	108.14	3.0	10.47	13.62	71.5	28.04	103.69	3.76	63.45	8.25	39.22	4.66	13.32	14.24	4.1	10.39	59.55	25.17	53.19	5.36	29.48	63.45	12.18	36.53	14.89	12.93	2.97	616.37	249.73	463.65	406.31	253.23	271.48	616.37
GINS2	981.29	684.02	201.25	251.48	307.69	15.91	29.7	7.75	172.65	13.52	17.64	17.25	99.43	41.52	120.94	14.78	82.87	16.75	50.27	4.5	18.97	13.12	6.31	9.63	105.89	19.11	74.58	15.0	34.51	74.58	19.82	23.25	11.47	28.24	11.64	988.12	124.37	607.87	423.61	463.65	995.0	988.12
GMNN	1286.18	2240.11	651.58	693.58	1111.82	100.13	122.64	163.28	728.11	102.97	262.2	166.73	466.88	334.46	638.15	164.42	540.19	206.94	361.04	217.27	332.14	154.42	228.13	253.23	540.19	195.72	314.17	181.28	237.86	325.29	157.68	226.54	248.0	490.14	177.53	2224.63	638.15	2468.49	743.43	1073.91	1477.58	2224.63
HMMR	575.03	267.73	329.84	307.69	366.09	18.56	43.63	10.0	82.87	12.93	11.82	13.62	77.25	60.39	239.52	14.03	67.12	16.39	38.4	17.77	15.0	9.2	5.82	15.68	113.56	45.85	105.89	20.26	42.41	102.97	21.32	41.81	23.25	32.82	8.19	395.18	366.09	376.41	253.23	211.31	466.88	395.18
KIAA0101	1540.37	2287.2	703.28	825.0	1313.23	57.89	139.07	30.78	529.06	18.56	52.08	60.82	353.59	229.72	429.54	96.68	295.11	54.72	138.1	38.12	71.0	52.45	25.54	88.88	392.44	145.02	412.0	68.07	127.89	395.18	108.9	95.34	130.6	108.9	44.89	2451.44	2163.77	1216.75	2032.85	854.13	2075.59	2451.44
KIF11	915.51	183.82	341.51	182.55	186.4	20.71	42.71	13.22	80.01	11.73	10.55	22.26	100.13	70.01	191.67	24.81	76.17	10.24	41.22	11.3	18.7	18.56	9.85	21.16	82.87	55.89	87.65	8.92	43.94	105.15	34.75	42.41	25.54	21.63	16.88	262.2	178.77	221.86	220.32	262.2	587.13	262.2
MAD2L1	2193.99	647.07	866.07	348.71	738.29	28.45	97.36	25.72	273.37	23.76	34.51	38.67	211.31	141.02	547.75	28.45	260.38	53.95	59.13	31.67	50.98	27.64	39.5	38.67	208.38	82.29	244.57	17.25	91.41	363.56	57.08	43.94	85.22	76.71	57.08	2032.85	660.68	1135.2	1088.92	665.29	1639.59	2032.85
MCM10	540.19	92.7	111.99	64.34	220.32	7.4	11.47	6.01	55.1	4.35	5.77	6.94	51.35	13.03	72.01	2.71	44.57	2.71	11.64	3.23	9.41	5.73	3.89	5.15	22.1	10.79	10.08	3.66	13.22	25.72	3.53	26.67	3.79	2.27	1.48	120.1	166.73	132.44	108.9	83.45	195.72	120.1
MCM2	775.05	647.07	384.34	444.72	728.11	135.24	267.73	102.97	947.83	45.53	58.3	96.68	665.29	166.73	599.49	59.97	426.57	158.79	175.07	51.71	130.6	52.45	141.02	103.69	329.84	191.67	289.02	81.71	237.86	327.56	183.82	223.41	99.43	153.34	105.89	1857.6	796.86	1183.45	785.88	1806.78	3419.52	1857.6
MCM4	2468.49	1008.9	860.08	934.76	1896.65	267.73	206.94	88.88	1104.13	218.79	221.86	211.31	802.41	376.41	1233.75	84.63	529.06	163.28	409.15	110.43	283.05	83.45	212.78	242.88	503.95	218.79	299.25	81.14	303.44	651.58	242.88	397.93	146.03	236.21	169.07	1991.0	1561.89	842.36	1135.2	1359.57	1757.34	1991.0
MELK	884.29	226.54	624.99	327.56	463.65	10.88	22.59	5.96	121.79	7.34	9.48	10.63	100.13	53.95	175.07	16.63	82.29	7.57	37.32	8.38	11.38	7.06	2.84	12.93	100.13	26.47	79.45	4.28	19.39	109.66	14.67	27.84	12.27	29.06	9.63	514.56	332.14	318.57	503.95	381.68	450.94	514.56
METTL9	1794.29	5479.15	2520.38	2240.11	2855.44	1159.07	1088.92	753.83	1540.37	1143.1	1662.49	890.44	1628.26	1427.22	1388.16	1427.22	1709.26	743.43	1313.23	860.08	1015.93	921.88	1304.15	1199.98	1540.37	1250.98	1628.26	1167.14	1159.07	2271.4	718.08	830.75	1350.18	1015.93	928.3	3768.09	3303.0	3515.68	3103.19	2816.11	2163.77	3768.09
MRPL42	2240.11	2555.58	1806.78	1175.27	1208.34	483.38	723.08	490.14	1250.98	341.51	500.46	267.73	1183.45	1119.56	1191.69	642.59	915.51	872.1	802.41	656.11	791.35	432.53	540.19	470.14	764.36	1397.83	698.41	493.56	620.67	1437.15	603.67	791.35	830.75	866.07	285.03	2895.31	1662.49	2520.38	1628.26	1540.37	1781.89	2895.31
MRPL52	11424.74	23492.92	5076.84	4181.07	7331.05	1477.58	1467.37	1322.37	3540.14	884.29	1519.15	2319.15	3395.89	1685.71	2682.69	1508.65	1936.53	2193.99	2271.4	1832.01	2104.58	2319.15	1487.87	2417.67	2193.99	3168.41	3146.52	2104.58	3257.52	1286.18	1794.29	2287.2	1639.59	2148.82	1594.73	7589.61	6426.31	8134.41	8134.41	5147.73	5041.77	7589.61
MYBL2	1508.65	713.11	1427.22	825.0	2061.24	77.25	55.1	14.24	147.06	22.75	13.32	186.4	316.37	98.04	283.05	42.71	170.25	12.55	41.81	14.24	77.79	24.99	7.11	48.52	113.56	66.65	107.38	24.63	35.0	147.06	31.45	48.87	22.1	23.08	11.21	848.22	947.83	1159.07	921.88	1127.35	3515.68	848.22
NCAPG	638.15	175.07	909.17	183.82	249.73	15.45	16.27	7.0	60.82	9.2	4.54	6.62	50.98	41.22	131.51	12.45	66.65	6.26	77.79	8.58	8.0	9.85	7.57	15.68	60.39	25.35	53.19	7.17	19.53	46.18	8.85	19.82	12.45	19.11	8.13	316.37	244.57	166.73	205.5	215.77	518.15	316.37
NCAPH	915.51	551.56	603.67	220.32	414.87	18.7	44.57	5.82	76.17	17.64	11.13	15.8	150.17	71.5	279.14	25.35	82.87	10.71	25.72	5.41	18.16	6.57	5.36	27.44	105.89	65.26	127.89	16.51	37.85	101.54	35.5	20.86	27.84	22.26	6.06	361.04	384.34	480.04	503.95	381.68	1073.91	361.04
NDC80	1540.37	223.41	343.89	195.72	395.18	10.63	26.47	17.9	53.57	15.45	12.64	7.94	83.45	36.79	165.57	25.54	59.55	8.45	29.48	21.63	6.62	19.53	3.38	10.24	76.17	24.63	115.16	8.19	21.78	78.34	17.9	22.1	26.1	16.75	5.96	231.32	267.73	358.54	412.0	567.1	480.04	231.32
NEDD8	12076.21	22692.63	7537.18	6471.02	11267.44	3540.14	7642.41	3103.19	9474.59	1963.57	5555.65	5403.7	6699.25	4903.87	7966.99	3794.3	5441.3	6079.61	3901.01	5183.54	5555.65	4937.99	4607.24	6983.79	7331.05	7382.04	11992.79	4450.27	7280.4	2835.7	4358.66	4937.99	5112.16	3955.48	4095.0	8778.97	10440.2	9540.5	8778.97	6652.97	8718.32	8778.97
NRM	633.73	981.29	733.19	299.25	543.96	189.02	463.65	194.36	540.19	133.36	283.05	376.41	579.04	441.64	718.08	215.77	995.0	255.0	483.38	214.27	267.73	229.72	163.28	206.94	503.95	283.05	802.41	214.27	343.89	336.79	373.81	181.28	214.27	343.89	379.04	656.11	647.07	463.65	470.14	1304.15	2417.67	656.11
NUF2	1135.2	1066.48	698.41	309.83	473.41	14.56	29.48	3.92	42.41	8.71	7.0	10.55	76.71	46.5	162.14	10.79	60.82	5.45	22.1	8.58	13.42	8.25	3.59	8.38	44.89	25.17	90.14	4.94	15.91	94.01	10.16	14.45	89.51	13.32	7.57	728.11	417.77	802.41	791.35	444.72	1008.9	728.11
NUP37	733.19	1331.57	470.14	483.38	684.02	320.8	371.22	323.03	591.22	182.55	323.03	358.54	432.53	555.41	521.76	223.41	620.67	397.93	454.09	262.2	470.14	198.47	376.41	387.02	503.95	476.71	567.1	262.2	525.39	583.07	379.04	444.72	343.89	483.38	273.37	1594.73	842.36	1457.23	1225.22	660.68	848.22	1594.73
ORC6	595.34	525.39	186.4	283.05	414.87	10.63	17.25	7.34	95.34	15.11	17.64	13.93	91.41	67.12	132.44	27.44	107.38	14.03	46.5	7.75	11.47	16.27	8.38	12.0	85.22	33.54	69.03	17.0	29.48	128.79	22.75	39.5	44.57	36.27	11.73	748.61	223.41	647.07	438.59	293.07	981.29	748.61
PCNA	4972.34	9808.75	2573.36	3372.43	4607.24	961.07	1508.65	928.3	4210.15	387.02	1225.22	1233.75	2875.3	2303.12	3372.43	688.78	3419.52	1651.0	1651.0	518.15	1498.22	769.69	902.89	1427.22	2835.7	1407.55	2451.44	830.75	1794.29	3372.43	1199.98	1651.0	1088.92	967.76	921.88	6337.83	3280.18	5403.7	4736.79	5791.62	3372.43	6337.83
