	TCGA.DD.A3A5.11A.11R.A22L.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.Y5LM.0426.SM.4VBRO	GTEX.11ZUS.2526.SM.59872	GTEX.TKQ2.1726.SM.4DXUP	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZPU1.0826.SM.57WG2	GTEX.145LU.1326.SM.5LU9N	GTEX.14AS3.0126.SM.5Q5F4	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.12WSM.0726.SM.5GCOW	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QV44.0326.SM.4R1KD	GTEX.XBEC.1526.SM.4AT68	GTEX.ZZPU.0426.SM.5GZYH	GTEX.QESD.2026.SM.447BI	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.14753.1626.SM.5NQ9L	GTEX.UPIC.0926.SM.4IHLV	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.S4Z8.0526.SM.4AD4T	GTEX.13VXU.0926.SM.5IFFH	GTEX.11WQC.0726.SM.5EQMR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.MK.A4N7.01A.11R.A250.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.DJ.A3V9.01A.11R.A23N.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.DJ.A1QI.01A.11R.A14Y.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.DJ.A2Q7.01A.11R.A18C.07	TCGA.ET.A3BQ.01B.11R.A206.07	TCGA.BJ.A0Z3.01A.11R.A13Y.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.EL.A3TA.01A.12R.A22L.07	TCGA.FK.A3SB.01A.11R.A22L.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.ET.A3DP.01A.11R.A21D.07	TCGA.DJ.A4V5.01A.11R.A250.07
ARHGAP39	8.51	28.65	2.27	4.28	21.63	3.03	4.94	10.63	13.03	4.31	3.89	3.23	13.52	22.92	21.94	12.83	6.94	45.85	12.64	21.94	11.91	5.77	5.54	14.56	11.73	10.24	4.54	15.8	13.32	32.82	10.63	11.04	17.51	0.0	0.08	142.01	137.14	138.1	118.43	128.79	132.44	142.01	155.5	124.37	147.06	94.01	135.24	156.59	169.07	133.36	150.17	127.0	181.28	117.6	181.28	167.9	140.04	159.9	163.28	124.37
ARHGEF17	21.78	336.79	20.11	63.89	61.25	43.02	49.91	28.24	140.04	71.0	51.71	36.27	42.41	163.28	99.43	175.07	88.88	329.84	53.95	14.03	84.63	150.17	68.55	26.1	144.01	104.42	20.26	68.07	90.14	182.55	55.49	63.0	215.77	0.0	0.99	1457.23	1378.57	1159.07	738.29	981.29	1037.29	872.1	1457.23	995.0	1457.23	902.89	1143.1	1417.35	1388.16	1216.75	1397.83	1151.06	1359.57	1167.14	1081.39	1340.84	1208.34	1159.07	1407.55	1111.82
ATP6V1G2-DDX39B	327.56	133.36	183.82	3.03	303.44	819.3	104.42	0.0	0.0	129.69	8.92	204.07	95.34	17.0	4.7	103.69	64.8	21.63	0.0	94.01	273.37	53.57	131.51	0.0	28.24	148.09	15.91	118.43	152.28	22.92	104.42	162.14	117.6	0.0	0.53	1467.37	450.94	819.3	1015.93	954.43	684.02	703.28	1378.57	896.64	366.09	379.04	500.46	271.48	1051.79	1437.15	1208.34	848.22	830.75	642.59	830.75	1051.79	1023.0	808.0	470.14	759.08
B3GNT9	18.03	202.66	70.51	25.72	30.12	26.28	19.53	19.25	119.26	8.65	17.51	16.88	54.33	54.72	35.25	55.89	42.71	93.35	9.41	21.16	15.34	72.52	48.18	29.48	43.32	38.95	5.11	35.5	40.64	81.14	50.63	46.5	102.25	0.0	0.45	583.07	669.92	703.28	536.45	444.72	587.13	620.67	698.41	595.34	529.06	363.56	540.19	607.87	713.11	698.41	595.34	503.95	665.29	511.0	497.0	591.22	703.28	521.76	454.09	466.88
BOC	4.31	48.52	2.14	9.78	2.71	13.93	3.99	4.21	14.14	10.0	40.64	14.35	4.03	22.43	5.77	44.25	13.42	18.29	4.46	24.46	3.06	14.89	15.8	17.13	19.97	12.64	3.03	10.39	47.5	31.45	24.11	16.75	26.28	0.0	0.48	1059.11	967.76	854.13	525.39	525.39	1508.65	764.36	1023.0	466.88	1030.12	423.61	521.76	1008.9	785.88	497.0	1159.07	684.02	928.3	543.96	961.07	1350.18	656.11	825.0	1073.91	764.36
BX088651.1	0.79	3.69	4.9	5.36	2.29	7.4	5.28	0.0	1.01	1.58	3.89	2.81	3.47	1.64	0.0	3.5	0.79	0.0	0.0	0.0	0.74	1.83	0.0	1.71	1.58	0.0	0.0	2.16	0.0	1.31	4.24	0.0	0.0	0.0	0.15	12.93	19.82	6.84	8.99	28.65	6.67	9.27	17.51	11.3	7.69	1.1	10.31	8.65	5.15	4.78	7.0	12.93	19.97	4.54	8.45	7.28	4.1	7.28	10.47	9.2
C10orf137	57.89	122.64	89.51	166.73	98.73	90.77	101.54	88.88	187.71	165.57	156.59	106.63	76.71	148.09	161.02	217.27	96.68	211.31	90.77	42.41	112.77	165.57	82.87	208.38	132.44	104.42	21.32	155.5	63.89	131.51	85.22	158.79	190.34	0.0	0.57	444.72	381.68	320.8	381.68	318.57	267.73	314.17	412.0	423.61	381.68	264.03	323.03	368.65	316.37	309.83	325.29	361.04	441.64	277.2	309.83	275.28	325.29	291.04	175.07	295.11
C11orf70	0.0	4.86	2.81	1.89	0.0	0.57	12.64	0.0	7.75	24.81	6.52	0.0	0.0	17.0	17.13	16.39	0.0	11.91	0.0	0.0	4.21	0.0	0.0	1.04	0.0	4.1	1.23	0.0	1.53	7.34	3.41	0.0	2.1	0.0	0.02	189.02	220.32	125.24	136.19	68.07	102.25	120.1	72.01	127.0	101.54	81.71	71.0	173.85	109.66	112.77	144.01	100.83	80.01	128.79	105.89	45.21	154.42	87.65	76.71	63.0
C20orf201	0.0	1.58	1.71	9.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	0.0	0.0	2.94	1.99	0.0	0.0	0.0	0.0	0.0	0.0	4.31	8.45	8.45	4.31	3.14	1.43	12.18	4.17	4.13	1.46	3.47	0.0	6.84	15.11	6.21	2.2	4.46	12.74	2.56	6.67	6.73	3.56	4.1	3.66	3.5
C2CD4D	1.38	4.7	1.1	2.23	2.34	0.29	0.89	0.0	0.0	2.2	3.66	5.63	2.14	1.25	0.0	1.62	8.65	0.8	4.28	2.66	2.73	5.36	2.51	4.98	1.87	0.88	0.69	2.86	2.63	1.04	0.53	1.85	0.0	0.0	0.17	7.82	12.45	12.74	10.08	14.78	6.11	5.92	17.9	5.36	11.82	4.31	6.36	21.01	10.96	10.31	10.16	5.63	11.3	6.94	9.27	14.03	9.06	20.56	18.29	12.83
CBX2	5.68	27.64	18.03	7.4	12.83	12.0	4.31	2.16	4.62	8.58	7.46	1.14	7.75	6.67	8.92	14.35	10.96	6.67	4.39	16.63	1.33	3.76	8.99	6.57	14.45	2.71	0.48	17.64	1.11	2.53	17.25	0.38	4.31	0.0	0.31	114.36	128.79	86.43	77.25	68.07	56.28	84.04	61.25	73.54	76.17	62.56	51.71	89.51	100.13	98.73	96.68	81.14	61.68	40.93	114.36	69.52	71.0	79.45	59.55	55.49
CDC14A	8.06	44.25	17.0	3.17	13.12	18.29	27.05	17.9	40.07	25.72	20.71	17.25	18.29	33.06	15.45	22.1	21.94	16.03	26.28	43.94	14.45	17.13	28.04	23.42	17.13	18.43	10.55	8.65	7.06	27.44	29.7	33.06	52.82	0.0	0.29	208.38	134.3	144.01	191.67	242.88	107.38	212.78	255.0	170.25	172.65	145.02	221.86	303.44	253.23	182.55	186.4	267.73	191.67	152.28	102.25	361.04	139.07	178.77	191.67	156.59
CHRNB4	0.0	0.66	3.63	0.0	0.0	0.0	0.0	1.31	0.0	0.0	0.0	0.0	0.69	0.0	2.73	0.0	3.14	0.0	0.65	18.03	0.0	0.0	0.68	0.0	6.26	1.35	0.0	24.11	1.22	0.0	4.46	0.0	5.77	0.0	0.2	30.56	4.86	22.92	20.11	15.68	2.36	32.13	11.38	7.28	18.16	3.41	13.03	19.11	19.68	24.28	18.29	26.86	11.3	3.82	4.31	43.63	14.89	3.89	8.19	9.56
CLIP3	13.52	119.26	22.43	21.32	8.19	35.25	48.52	9.41	52.45	49.91	24.63	23.08	27.44	31.0	47.84	63.89	43.63	85.22	13.72	15.91	30.12	42.11	41.52	32.59	21.63	39.5	9.63	22.59	32.36	53.57	61.68	42.11	78.89	0.0	0.53	571.05	854.13	486.75	612.11	264.03	339.14	435.55	713.11	642.59	476.71	273.37	343.89	507.46	802.41	651.58	629.35	563.18	591.22	684.02	264.03	435.55	603.67	356.05	575.03	260.38
CPE	92.7	379.04	454.09	38.95	126.12	256.78	587.13	67.12	112.77	169.07	624.99	525.39	220.32	305.55	193.01	212.78	1066.48	92.05	94.67	329.84	289.02	356.05	575.03	226.54	511.0	497.0	988.12	75.11	171.45	87.65	384.34	363.56	490.14	0.0	0.52	9945.68	12076.21	6471.02	7642.41	9409.14	6250.56	6792.79	9876.98	5711.87	10084.54	2485.67	8421.31	7589.61	10368.08	9474.59	9876.98	5147.73	6561.36	6745.86	6037.61	12589.08	4298.64	8658.09	8598.28	6745.86
CPSF1	1286.18	723.08	753.83	723.08	1447.15	483.38	1467.37	457.25	2335.28	1151.06	2682.69	1378.57	934.76	2367.9	2701.35	2875.3	583.07	2915.45	1111.82	1378.57	1208.34	1183.45	802.41	1467.37	1378.57	884.29	473.41	2835.7	1832.01	1844.76	497.0	1417.35	974.5	0.0	0.93	3212.66	3443.31	2701.35	4123.49	2224.63	3467.27	2875.3	3639.7	2075.59	4358.66	1857.6	2133.97	2287.2	3060.45	2835.7	2351.53	2835.7	5255.91	2434.5	4639.29	2855.44	3443.31	2520.38	3081.75	4066.71
CRISPLD1	1.81	116.78	24.11	3.41	33.3	38.67	17.51	22.75	21.16	20.11	13.62	5.23	41.52	5.82	1.35	5.92	20.26	2.1	16.63	13.62	4.94	57.49	21.47	3.63	153.34	24.46	3.38	11.04	7.75	9.7	7.46	5.59	19.97	0.0	0.13	198.47	241.19	172.65	239.52	148.09	84.04	246.28	173.85	314.17	351.14	40.93	148.09	224.97	194.36	346.29	325.29	339.14	228.13	151.22	115.16	202.66	187.71	175.07	423.61	171.45
CSDC2	1.75	125.24	1.68	5.28	34.51	5.15	11.3	5.32	4.98	6.41	10.31	0.0	62.56	11.55	0.0	13.93	49.56	13.83	5.41	4.31	6.78	92.7	2.34	16.27	0.36	6.57	2.23	7.46	10.88	12.09	3.23	1.28	2.2	0.0	0.66	28.24	7.88	7.88	21.63	53.19	13.32	19.39	41.81	27.64	31.0	12.27	36.01	12.83	30.56	13.32	43.94	41.52	40.93	30.78	17.51	14.67	24.46	39.5	28.45	5.63
CTD-2260A17.2	19.11	21.63	37.59	9.63	16.27	10.55	11.04	7.69	9.63	12.55	7.28	22.92	11.55	20.41	27.25	34.02	24.99	17.64	12.36	13.72	21.16	32.13	12.0	10.63	9.27	5.06	8.99	16.27	7.0	17.9	11.64	19.39	11.73	0.0	0.1	45.85	38.4	43.32	43.94	31.9	37.32	66.18	55.1	41.81	42.71	26.28	29.7	45.53	43.63	33.06	28.45	34.51	53.95	39.79	43.02	45.21	31.45	49.56	35.25	27.05
CYP2E1	207103.59	411347.03	472513.8	550352.86	1123834.93	731246.37	2375828.71	1070607.81	479109.86	414208.18	466008.55	389157.95	1514068.5	294926.33	726195.27	554180.87	1668359.93	381149.17	614902.29	691801.16	985160.01	619179.28	3913423.01	869603.57	531605.79	513497.31	1147449.11	772940.66	800198.39	649962.87	623486.02	411347.03	1026995.62	0.0	0.68	226.54	80.01	81.14	93.35	66.65	99.43	44.89	108.9	55.89	92.7	23.25	40.64	57.08	70.51	72.01	49.91	56.28	241.19	132.44	41.52	57.89	64.34	85.22	47.17	33.06
CYTH3	27.44	156.59	49.56	40.64	28.45	32.82	37.05	27.44	38.4	60.82	40.93	43.02	53.19	69.52	43.94	98.73	57.49	87.65	43.32	44.25	39.5	60.82	44.57	45.53	72.01	39.79	31.22	58.71	70.51	56.68	60.82	49.21	76.71	0.0	0.71	373.81	318.57	353.59	287.01	299.25	214.27	314.17	248.0	329.84	409.15	260.38	246.28	281.09	400.71	351.14	366.09	366.09	281.09	312.0	387.02	532.74	285.03	376.41	297.17	363.56
DCDC2B	0.0	0.46	0.0	1.1	0.0	0.21	0.45	0.0	0.0	0.12	1.68	1.11	0.22	0.73	0.66	1.77	0.0	1.87	0.19	0.39	0.0	0.96	0.0	1.83	1.97	0.18	0.24	1.35	0.13	0.24	0.0	0.0	0.14	0.0	0.0	5.54	11.55	5.36	2.25	6.26	2.18	4.82	8.78	6.16	10.55	2.68	1.17	7.06	7.82	3.72	4.94	3.96	11.91	12.74	4.82	5.41	5.92	4.66	11.91	5.28
DDX26B	18.43	59.13	1.81	16.75	11.82	15.0	20.26	7.22	29.48	11.3	19.39	4.35	9.56	34.75	19.39	42.71	8.13	45.85	3.59	4.5	12.55	10.0	11.55	8.19	15.0	29.06	4.43	12.45	13.83	21.94	10.96	13.03	41.52	101.54	135.24	153.34	120.94	166.73	214.27	169.07	118.43	149.12	182.55	273.37	141.02	99.43	108.14	178.77	193.01	185.11	104.42	171.45	234.57	166.73	133.36	112.77	127.89	139.07	130.6	157.68
DGKB	1.08	2.16	0.25	7.34	0.34	4.58	3.92	3.82	8.85	2.63	0.32	0.71	0.0	2.61	0.31	2.63	1.31	0.74	1.25	0.29	0.34	1.22	2.27	4.5	1.39	4.31	5.77	1.35	5.96	10.24	3.82	7.34	6.01	0.0	0.09	3.69	3.5	3.96	0.71	10.08	1.13	3.92	6.21	1.69	3.0	1.13	4.5	0.71	2.97	2.03	3.56	4.13	3.89	11.47	3.47	10.39	2.56	9.41	3.59	3.44
DHRS3	7695.57	6037.61	3874.05	12943.04	5112.16	4358.66	5711.87	3124.78	8078.22	6983.79	7280.4	6037.61	6561.36	5112.16	7081.29	6840.04	6699.25	6607.01	3190.46	3614.55	3982.99	13399.51	8421.31	6652.97	3491.39	11584.24	5076.84	5594.3	14262.1	11424.74	5517.27	6471.02	7485.11	748.61	2935.74	19214.73	17927.91	10808.41	17681.08	9474.59	16960.78	15285.81	13033.07	10014.87	10084.54	11909.94	10512.82	9409.14	11909.94	10368.08	13123.73	10014.87	17927.91	17437.64	13492.72	11504.21	14262.1	11992.79	10808.41	8363.13
DHX9	796.86	1250.98	1651.0	708.18	1191.69	1225.22	728.11	1991.0	559.28	860.08	693.58	669.92	1008.9	1059.11	684.02	830.75	1059.11	660.68	961.07	854.13	934.76	764.36	947.83	579.04	860.08	1111.82	728.11	785.88	1340.84	1023.0	1127.35	974.5	1051.79	0.0	0.85	1745.2	2061.24	1651.0	2193.99	1936.53	2075.59	2148.82	2047.0	2163.77	1806.78	2032.85	1844.76	2047.0	2133.97	2255.7	1963.57	2148.82	1685.71	1950.0	2319.15	2351.53	2148.82	1709.26	2163.77	1781.89
DKFZP434E1119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.79	1.27	1.25	1.27	0.42	0.0	0.43	1.64	1.33	0.84	1.22	1.69	1.71	1.64	0.83	0.87	0.88	0.83	0.44	2.1	0.84	0.84	1.6	1.3	0.83
DLG4	41.81	195.72	24.99	63.89	49.56	21.78	73.54	23.59	105.89	138.1	106.63	64.8	46.5	159.9	94.01	140.04	69.52	155.5	34.51	68.55	43.63	92.7	80.57	109.66	66.18	100.13	44.57	163.28	95.34	110.43	47.17	64.8	201.25	0.0	0.61	1159.07	1119.56	954.43	884.29	915.51	825.0	974.5	981.29	947.83	896.64	872.1	890.44	988.12	1427.22	902.89	848.22	848.22	1259.69	1143.1	759.08	974.5	967.76	825.0	981.29	738.29
DNAH9	0.99	2.43	2.94	1.95	0.0	0.55	0.0	0.0	0.0	2.07	0.0	0.0	2.58	17.64	0.0	1.79	0.0	0.49	0.0	7.22	0.0	0.0	3.26	0.48	0.59	21.32	0.0	0.0	1.01	1.93	5.63	0.0	0.47	0.0	0.0	26.1	43.02	32.13	34.51	42.41	30.12	22.92	52.82	33.06	41.81	13.93	25.35	20.26	27.05	60.82	29.27	42.71	74.58	22.92	28.86	13.52	41.52	31.22	51.35	31.22
DNAJC18	4.74	66.65	10.55	4.94	16.63	10.79	11.91	33.78	47.84	9.78	30.56	9.7	21.63	25.35	27.44	74.06	12.45	33.3	16.03	283.05	9.7	32.36	12.83	35.5	19.11	60.39	10.55	16.88	16.39	55.1	38.12	10.79	60.39	0.0	0.26	299.25	318.57	214.27	316.37	400.71	305.55	229.72	262.2	305.55	273.37	303.44	358.54	285.03	334.46	287.01	361.04	242.88	351.14	295.11	218.79	366.09	198.47	379.04	381.68	148.09
DOCK6	267.73	289.02	214.27	480.04	169.07	151.22	206.94	186.4	336.79	256.78	371.22	307.69	209.84	371.22	275.28	441.64	214.27	551.56	197.09	256.78	164.42	249.73	234.57	258.57	262.2	366.09	109.66	190.34	215.77	351.14	226.54	389.72	341.51	0.0	0.16	2224.63	1697.45	1909.85	1378.57	1259.69	1697.45	1340.84	1457.23	1277.29	1757.34	1313.23	1457.23	1208.34	1437.15	1721.16	1936.53	1183.45	2133.97	1674.06	2400.97	1769.57	1806.78	1794.29	1295.13	1519.15
DOK7	3.72	7.63	16.75	77.79	1.69	2.14	17.25	12.36	19.53	8.99	9.63	2.94	10.63	13.22	2.07	15.91	2.25	71.5	9.13	37.59	3.53	31.0	30.12	13.22	16.15	35.0	0.0	35.25	15.8	18.56	13.42	237.86	106.63	0.0	0.08	346.29	587.13	187.71	483.38	171.45	368.65	148.09	607.87	164.42	351.14	231.32	202.66	397.93	191.67	171.45	150.17	236.21	237.86	108.9	146.03	143.01	281.09	151.22	185.11	135.24
DPF2	232.94	432.53	198.47	358.54	155.5	208.38	341.51	229.72	316.37	256.78	525.39	283.05	206.94	403.5	314.17	379.04	293.07	356.05	241.19	205.5	187.71	323.03	242.88	441.64	336.79	244.57	100.83	303.44	212.78	429.54	267.73	253.23	423.61	0.0	0.59	1242.34	1519.15	1216.75	1551.09	1143.1	1081.39	1617.0	1225.22	1369.04	1175.27	1143.1	1216.75	1008.9	1540.37	1487.87	1268.46	1447.15	1268.46	1551.09	1167.14	1167.14	1427.22	1225.22	1066.48	1159.07
DTX3	53.19	299.25	24.11	81.14	30.56	24.11	43.02	18.7	181.28	42.41	100.13	34.75	29.7	153.34	150.17	273.37	127.89	275.28	37.05	23.59	60.39	157.68	44.89	94.01	78.34	94.67	38.95	73.03	98.73	223.41	78.34	65.26	169.07	0.0	0.78	1175.27	1044.52	1225.22	890.44	848.22	884.29	1167.14	819.3	954.43	981.29	656.11	728.11	599.49	1143.1	1059.11	1008.9	743.43	1023.0	1208.34	1233.75	830.75	988.12	1127.35	1208.34	909.17
