	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.5662.11A.01R.1653.07	GTEX.11ZTS.1526.SM.5N9G7	GTEX.11GSP.1626.SM.5986N	GTEX.ZDTS.2726.SM.5L3E2	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.11NUK.1726.SM.5A5L2	GTEX.12WSD.2026.SM.5HL7D	GTEX.Y111.1826.SM.4SOIR	GTEX.13OVL.2726.SM.5J2MP	GTEX.14DAQ.1626.SM.5S2R1	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.Y111.1726.SM.4SOIQ	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.11DYG.1426.SM.5A5JR	GTEX.RTLS.1226.SM.46MUP	GTEX.YECK.1726.SM.5IFI3	GTEX.XQ8I.1626.SM.4BOOI	TCGA.CV.A463.01A.11R.A266.07	TCGA.D6.6516.01A.11R.1873.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.38.4625.01A.01R.1206.07	TCGA.AF.2689.11A.01R.A32Z.07	TCGA.AF.2691.11A.01R.A32Z.07	TCGA.AG.3732.11A.01R.1660.07	TCGA.AF.2692.11A.01R.A32Z.07
CAPS2	37.32	37.59	84.04	33.54	90.14	29.91	65.72	105.15	17.25	124.37	80.57	105.89	81.71	98.04	102.25	195.72	131.51	189.02	176.29	124.37	134.3	246.28	224.97	262.2	164.42	141.02	267.73	158.79	24.81	46.18	13.52	21.16	0.0	35.5	18.7	84.04	58.71
CBFA2T3	162.14	127.89	87.03	135.24	106.63	120.1	49.21	70.51	6.11	69.52	125.24	135.24	98.04	123.5	146.03	148.09	262.2	143.01	146.03	281.09	312.0	208.38	244.57	409.15	112.77	177.53	228.13	246.28	37.59	76.71	20.71	39.79	0.0	159.9	127.0	161.02	120.94
CCDC30	32.36	35.0	48.18	22.59	41.52	23.08	40.64	22.75	16.75	31.0	22.92	49.21	28.45	41.52	25.91	77.25	90.14	55.49	52.08	45.53	49.21	50.98	50.63	98.04	47.17	38.67	55.49	51.71	3.08	5.73	17.64	8.0	0.0	23.76	21.47	45.85	37.32
CCDC85B	1208.34	571.05	629.35	928.3	1551.09	366.09	728.11	878.17	1008.9	1135.2	1709.26	1477.58	2434.5	1378.57	3419.52	1477.58	2351.53	3257.52	1745.2	1540.37	2701.35	3039.3	2351.53	2090.03	1519.15	1697.45	2956.17	1498.22	228.13	1088.92	363.56	529.06	0.0	981.29	775.05	301.33	780.44
CNGA4	2.61	2.1	2.56	5.5	10.79	4.43	1.69	3.26	0.78	15.91	3.32	5.96	5.15	5.11	5.19	10.16	5.32	7.4	10.79	7.17	10.96	6.89	38.67	4.66	3.35	10.47	6.57	8.71	2.97	0.82	0.43	0.4	0.0	6.16	1.95	2.05	4.31
CNTNAP3B	127.0	107.38	208.38	144.01	127.89	45.85	74.58	56.28	220.32	536.45	616.37	551.56	351.14	392.44	351.14	633.73	438.59	151.22	473.41	429.54	429.54	217.27	414.87	426.57	470.14	511.0	403.5	316.37	105.89	67.12	34.02	90.14	0.0	108.9	28.65	156.59	141.02
COX11	633.73	825.0	1008.9	780.44	854.13	878.17	796.86	753.83	638.15	665.29	713.11	728.11	665.29	928.3	915.51	974.5	915.51	921.88	1044.52	1001.93	941.27	1030.12	921.88	1135.2	915.51	967.76	1044.52	848.22	444.72	307.69	327.56	529.06	0.0	764.36	791.35	1030.12	921.88
CPSF1	2178.83	1819.35	1572.76	2384.37	1519.15	1487.87	2032.85	1143.1	748.61	2895.31	1617.0	1529.73	1151.06	2018.8	3955.48	2816.11	3515.68	3419.52	2485.67	2555.58	4388.98	3190.46	4607.24	3690.52	1963.57	3742.05	3794.3	2004.85	961.07	1250.98	848.22	1331.57	0.0	1857.6	1709.26	1378.57	1697.45
CPT1B	115.97	201.25	197.09	279.14	60.39	176.29	204.07	170.25	78.89	409.15	403.5	287.01	748.61	417.77	656.11	679.29	1030.12	921.88	679.29	708.18	1313.23	915.51	1088.92	1233.75	884.29	1167.14	961.07	693.58	127.89	58.71	152.28	170.25	0.0	78.89	62.12	190.34	229.72
DENND6B	158.79	135.24	123.5	108.9	197.09	115.97	171.45	201.25	80.57	169.07	106.63	118.43	137.14	140.04	295.11	332.14	412.0	299.25	275.28	303.44	351.14	229.72	264.03	361.04	209.84	267.73	316.37	197.09	53.19	43.94	24.99	62.12	0.0	140.04	117.6	171.45	133.36
DVL2	547.75	656.11	656.11	612.11	860.08	507.46	743.43	921.88	358.54	1639.59	1277.29	878.17	884.29	780.44	808.0	1143.1	813.63	854.13	1268.46	1081.39	928.3	1250.98	1388.16	1143.1	753.83	642.59	1073.91	819.3	341.51	426.57	547.75	376.41	0.0	551.56	403.5	660.68	595.34
DZIP1L	137.14	75.64	78.89	82.87	133.36	46.84	74.58	90.77	54.72	389.72	169.07	186.4	119.26	134.3	172.65	320.8	224.97	246.28	303.44	236.21	351.14	251.48	339.14	332.14	217.27	186.4	329.84	204.07	7.75	5.11	8.99	14.56	0.0	60.39	46.18	128.79	75.64
EME2	131.51	134.3	70.01	120.94	79.45	88.88	103.69	108.14	54.72	163.28	177.53	165.57	82.87	239.52	271.48	236.21	420.68	305.55	226.54	273.37	435.55	264.03	323.03	400.71	195.72	325.29	356.05	214.27	78.89	52.82	76.17	111.99	118.43	81.71	90.77	84.04	150.17
FAM166B	15.8	9.41	25.54	43.94	69.03	22.1	53.57	16.03	47.17	33.06	77.25	59.97	55.89	35.25	105.89	135.24	232.94	142.01	128.79	120.1	212.78	58.71	81.71	164.42	73.54	96.68	195.72	44.57	2.84	6.62	4.06	4.78	0.0	23.93	21.16	45.85	14.14
FAM189A2	159.9	314.17	212.78	183.82	262.2	186.4	460.44	316.37	435.55	110.43	163.28	341.51	660.68	366.09	2163.77	1191.69	3716.2	3768.09	1417.35	1001.93	3874.05	1697.45	3540.14	2148.82	1508.65	1331.57	2573.36	1008.9	141.02	27.05	60.82	10.96	0.0	249.73	152.28	285.03	124.37
FAM216A	136.19	94.01	167.9	94.67	186.4	187.71	142.01	123.5	127.89	246.28	177.53	211.31	201.25	223.41	234.57	209.84	258.57	212.78	193.01	193.01	275.28	260.38	285.03	206.94	198.47	205.5	241.19	204.07	33.06	20.41	27.44	53.95	412.0	92.05	87.65	229.72	127.0
FAN1	228.13	277.2	309.83	301.33	381.68	253.23	246.28	220.32	127.89	283.05	287.01	297.17	336.79	339.14	236.21	392.44	423.61	285.03	329.84	466.88	400.71	432.53	438.59	493.56	327.56	336.79	373.81	371.22	105.15	205.5	180.02	122.64	0.0	201.25	167.9	406.31	301.33
FBXO44	363.56	341.51	406.31	303.44	529.06	325.29	403.5	414.87	204.07	915.51	547.75	733.19	651.58	629.35	961.07	1216.75	1081.39	1286.18	974.5	902.89	1259.69	1191.69	1378.57	941.27	819.3	928.3	1259.69	708.18	157.68	181.28	142.01	248.0	309.83	281.09	177.53	441.64	343.89
FIGN	27.44	55.49	43.63	25.35	108.14	21.01	38.67	21.32	9.34	94.01	55.1	101.54	59.97	73.03	163.28	186.4	195.72	167.9	139.07	109.66	176.29	211.31	241.19	144.01	159.9	165.57	173.85	142.01	10.79	14.67	1.19	2.36	0.0	16.39	15.91	56.28	34.51
FLNA	358098.26	368165.8	260332.24	208544.12	1634025.56	180294.02	154794.07	137587.47	133825.1	419990.32	513497.31	811368.76	1393227.06	649962.87	336441.4	215898.44	263966.36	248002.34	204252.32	209994.66	322736.12	280957.98	313910.86	239554.43	239554.43	275175.93	223512.12	187950.38	15392.14	29943.43	33224.42	20737.16	11424.74	191899.64	154794.07	258533.99	249727.34
FLYWCH1	775.05	532.74	529.06	620.67	921.88	480.04	708.18	518.15	536.45	830.75	902.89	1051.79	1008.9	902.89	988.12	1806.78	2209.26	1286.18	1143.1	896.64	2255.7	2287.2	2178.83	2240.11	748.61	1457.23	1540.37	884.29	334.46	723.08	397.93	447.82	0.0	540.19	361.04	698.41	624.99
GCK	13.83	13.83	14.45	16.27	10.63	13.03	10.55	15.91	3.79	14.78	25.54	21.16	34.26	14.78	46.18	38.67	57.08	54.72	38.95	42.41	38.95	66.65	53.95	35.5	7.63	20.56	74.58	20.71	0.92	4.54	3.38	2.39	0.0	8.58	13.22	20.71	7.11
GDF7	3.06	6.06	4.9	3.99	8.78	1.79	3.53	5.73	4.66	40.07	22.59	87.03	35.25	5.87	53.19	43.02	19.82	5.02	31.0	38.67	17.9	5.73	8.45	15.8	24.99	19.82	19.82	31.45	0.64	2.76	0.32	1.6	0.0	3.59	3.06	6.46	5.36
GLTSCR1L	166.73	206.94	187.71	178.77	256.78	199.85	147.06	127.0	87.65	223.41	178.77	221.86	244.57	189.02	197.09	277.2	241.19	211.31	256.78	236.21	193.01	223.41	218.79	217.27	228.13	181.28	234.57	205.5	75.64	94.67	102.97	75.64	63.0	183.82	157.68	275.28	190.34
HHLA3	325.29	187.71	212.78	269.6	232.94	208.38	275.28	256.78	381.68	373.81	283.05	309.83	267.73	248.0	307.69	607.87	353.59	480.04	583.07	575.03	400.71	460.44	400.71	441.64	358.54	429.54	301.33	450.94	191.67	125.24	154.42	182.55	0.0	241.19	170.25	209.84	195.72
HPSE2	11.82	42.71	21.01	32.36	27.25	23.76	4.13	7.17	3.14	1001.93	2627.46	1447.15	4181.07	974.5	426.57	473.41	387.02	536.45	412.0	400.71	403.5	361.04	371.22	325.29	583.07	346.29	414.87	251.48	0.0	1.51	0.0	2.23	0.0	28.04	35.25	104.42	52.45
HS1BP3	769.69	836.53	775.05	802.41	1594.73	607.87	1096.5	921.88	1159.07	813.63	1286.18	1208.34	2451.44	909.17	1991.0	1651.0	1583.71	1508.65	1259.69	1037.29	1674.06	1051.79	1331.57	1508.65	1268.46	1259.69	1467.37	1313.23	392.44	444.72	397.93	361.04	0.0	651.58	480.04	785.88	642.59
ID4	387.02	159.9	154.42	209.84	175.07	323.03	211.31	228.13	624.99	371.22	563.18	842.36	1487.87	480.04	1540.37	669.92	1216.75	1037.29	575.03	532.74	1104.13	995.0	995.0	802.41	1015.93	507.46	1304.15	368.65	36.53	26.1	35.25	25.72	0.0	348.71	137.14	246.28	289.02
ING5	221.86	248.0	239.52	285.03	197.09	281.09	387.02	341.51	138.1	409.15	226.54	389.72	307.69	503.95	423.61	493.56	728.11	486.75	483.38	723.08	753.83	583.07	518.15	708.18	529.06	463.65	656.11	559.28	204.07	191.67	201.25	147.06	175.07	287.01	231.32	273.37	303.44
KIF6	7.11	3.5	5.02	9.56	9.34	11.64	5.59	6.57	13.22	28.24	15.22	35.76	18.97	17.51	16.63	33.3	23.08	24.81	30.56	34.02	43.63	28.24	23.25	45.21	19.11	38.4	34.26	33.3	5.23	0.88	1.66	2.61	0.0	8.99	4.62	4.9	5.06
KLHL26	149.12	186.4	148.09	172.65	248.0	133.36	120.94	114.36	130.6	232.94	265.87	343.89	289.02	348.71	269.6	217.27	244.57	242.88	228.13	255.0	267.73	220.32	190.34	202.66	186.4	255.0	217.27	199.85	101.54	96.01	96.01	69.52	0.0	193.01	138.1	182.55	166.73
LRP3	679.29	728.11	647.07	728.11	1088.92	536.45	780.44	848.22	1242.34	878.17	842.36	1437.15	1378.57	1030.12	1628.26	1135.2	1883.54	2061.24	1295.13	1001.93	2193.99	1651.0	1447.15	1709.26	1427.22	1304.15	1628.26	1295.13	32.59	212.78	53.95	51.35	0.0	591.22	518.15	660.68	713.11
LURAP1	90.77	105.89	110.43	56.28	228.13	44.89	29.91	42.11	18.84	29.7	38.67	116.78	84.04	106.63	91.41	145.02	148.09	98.04	181.28	146.03	73.54	116.78	146.03	159.9	76.17	110.43	105.15	98.04	2.56	1.83	3.06	7.28	0.0	42.11	28.65	97.36	41.81
MAPKBP1	271.48	255.0	193.01	191.67	395.18	128.79	239.52	358.54	180.02	607.87	629.35	656.11	728.11	669.92	651.58	872.1	915.51	583.07	872.1	1096.5	1051.79	693.58	878.17	1037.29	642.59	791.35	884.29	612.11	426.57	540.19	384.34	429.54	0.0	194.36	139.07	312.0	209.84
NFIA	293.07	339.14	314.17	255.0	571.05	305.55	309.83	341.51	215.77	366.09	708.18	909.17	1127.35	928.3	947.83	743.43	753.83	884.29	909.17	536.45	674.59	915.51	915.51	842.36	693.58	684.02	728.11	633.73	157.68	142.01	293.07	129.69	102.25	249.73	234.57	409.15	397.93
NRBP2	559.28	748.61	633.73	669.92	1268.46	591.22	1167.14	1135.2	438.59	1487.87	2090.03	2434.5	2417.67	1896.65	2434.5	2875.3	3564.78	3874.05	2555.58	3303.0	3901.01	2997.45	4010.71	3665.02	2148.82	2976.74	3982.99	2384.37	314.17	92.7	135.24	285.03	0.0	476.71	423.61	909.17	708.18
OBSCN	197.09	158.79	118.43	150.17	244.57	146.03	166.73	148.09	22.92	454.09	400.71	500.46	376.41	514.56	878.17	825.0	532.74	575.03	275.28	454.09	642.59	368.65	909.17	454.09	438.59	693.58	587.13	346.29	22.92	45.85	77.25	87.65	0.0	127.0	95.34	182.55	182.55
OBSL1	1159.07	941.27	780.44	718.08	1350.18	753.83	995.0	1001.93	429.54	1923.14	1277.29	1757.34	1794.29	1685.71	2855.44	3146.52	3257.52	3303.0	2075.59	3515.68	4066.71	2701.35	2875.3	2573.36	1909.85	3820.7	3124.78	2609.3	473.41	353.59	490.14	269.6	0.0	616.37	555.41	981.29	928.3
PLEKHA5	237.86	316.37	336.79	279.14	242.88	368.65	237.86	148.09	120.1	688.78	1096.5	669.92	1127.35	536.45	1051.79	954.43	974.5	995.0	1191.69	389.72	896.64	974.5	854.13	866.07	819.3	713.11	748.61	567.1	231.32	368.65	351.14	285.03	0.0	295.11	295.11	414.87	339.14
POGZ	723.08	934.76	638.15	769.69	1088.92	679.29	1519.15	1119.56	486.75	1233.75	1551.09	1583.71	1388.16	2004.85	1977.24	2682.69	2720.15	2537.92	2303.12	2701.35	2875.3	2976.74	3039.3	3124.78	2319.15	2255.7	3018.3	2240.11	232.94	206.94	314.17	289.02	366.09	603.67	511.0	1023.0	733.19
PRDM2	417.77	476.71	412.0	470.14	599.49	406.31	503.95	507.46	460.44	698.41	543.96	679.29	647.07	651.58	872.1	854.13	915.51	738.29	785.88	1119.56	934.76	909.17	954.43	860.08	579.04	988.12	896.64	941.27	249.73	211.31	191.67	215.77	163.28	450.94	329.84	575.03	483.38
PSRC1	111.21	55.89	143.01	123.5	58.71	113.56	54.72	87.65	26.67	759.08	246.28	470.14	376.41	242.88	201.25	457.25	241.19	543.96	547.75	444.72	429.54	1119.56	607.87	397.93	158.79	334.46	463.65	138.1	77.79	114.36	169.07	228.13	0.0	144.01	74.58	98.04	54.72
PTPRS	395.18	583.07	397.93	368.65	813.63	314.17	414.87	483.38	137.14	532.74	511.0	1088.92	915.51	902.89	934.76	1832.01	1437.15	1233.75	1457.23	3212.66	1487.87	1498.22	1651.0	1350.18	954.43	1350.18	1870.53	1487.87	142.01	414.87	135.24	17.9	406.31	320.8	285.03	591.22	503.95
QRICH1	1008.9	961.07	967.76	1030.12	1233.75	967.76	693.58	872.1	476.71	1096.5	1037.29	1359.57	1151.06	1066.48	1167.14	1151.06	1250.98	1135.2	1167.14	1417.35	1259.69	1259.69	1159.07	967.76	1225.22	1127.35	1199.98	921.88	743.43	450.94	693.58	708.18	909.17	902.89	825.0	1096.5	915.51
RAB6C	3.17	1.69	3.72	2.29	6.62	0.21	5.92	1.97	0.0	14.35	26.1	32.82	33.06	2.53	18.84	18.7	17.13	22.92	13.12	15.22	11.64	33.78	19.11	18.29	12.45	13.12	16.03	14.78	1.45	1.14	1.14	0.72	0.0	1.6	2.94	3.89	2.66
RCOR3	438.59	555.41	525.39	547.75	902.89	551.56	473.41	708.18	178.77	854.13	825.0	830.75	698.41	733.19	723.08	1127.35	915.51	813.63	872.1	902.89	743.43	866.07	791.35	890.44	684.02	748.61	934.76	753.83	271.48	162.14	299.25	271.48	429.54	507.46	371.22	995.0	547.75
RERE	1427.22	1896.65	1427.22	1250.98	2319.15	1259.69	1081.39	1529.73	728.11	1806.78	1896.65	3103.19	2627.46	2319.15	1950.0	2133.97	1572.76	1950.0	2104.58	1639.59	1628.26	1709.26	1832.01	1733.13	2004.85	1769.57	1721.16	1870.53	244.57	291.04	193.01	392.44	0.0	1340.84	1059.11	1794.29	1417.35
RHD	3.35	5.59	2.07	2.71	1.79	4.1	3.92	2.63	1.91	7.51	6.94	9.7	2.25	4.28	8.58	13.52	11.82	6.73	5.68	10.16	7.94	14.78	16.63	15.91	9.56	9.7	17.0	11.04	0.68	1.2	0.0	1.13	0.0	6.67	0.88	2.16	3.99
RP11-12J10.3	3.66	7.69	5.5	5.54	8.99	7.06	10.63	7.46	1.89	6.62	2.29	7.82	4.13	6.57	7.69	8.25	14.89	14.45	9.48	6.21	18.16	8.45	16.63	7.75	6.94	9.63	7.63	6.06	1.97	1.66	0.88	2.27	0.0	6.01	4.1	5.23	5.54
RUFY3	579.04	463.65	441.64	525.39	665.29	438.59	693.58	599.49	303.44	1001.93	738.29	1023.0	785.88	967.76	1167.14	1277.29	1225.22	1023.0	1008.9	1208.34	1159.07	1407.55	1617.0	1388.16	780.44	1096.5	1295.13	988.12	271.48	293.07	392.44	215.77	0.0	351.14	329.84	723.08	567.1
SCPEP1	819.3	1250.98	2240.11	1594.73	2335.28	1457.23	1819.35	1498.22	1001.93	4123.49	2400.97	2520.38	1651.0	2018.8	3060.45	3372.43	3103.19	3349.13	2720.15	3235.01	3419.52	4181.07	4704.07	3395.89	2485.67	3212.66	3874.05	2627.46	1457.23	1662.49	1242.34	1407.55	2351.53	1199.98	961.07	1769.57	1477.58
SETD4	198.47	271.48	273.37	249.73	231.32	258.57	295.11	221.86	198.47	379.04	242.88	303.44	246.28	291.04	293.07	323.03	438.59	392.44	329.84	426.57	417.77	454.09	463.65	514.56	316.37	285.03	497.0	318.57	152.28	78.89	183.82	172.65	0.0	301.33	202.66	314.17	212.78
SGCA	2287.2	748.61	1561.89	583.07	1950.0	532.74	1819.35	1697.45	1896.65	1519.15	2367.9	4869.99	7032.37	3639.7	3665.02	2796.65	2485.67	3081.75	2520.38	2502.97	3212.66	2303.12	2875.3	2255.7	2855.44	2303.12	3124.78	1923.14	0.71	2.56	8.32	53.95	0.0	660.68	283.05	988.12	579.04
SGSH	551.56	624.99	743.43	708.18	708.18	583.07	575.03	775.05	361.04	854.13	679.29	884.29	669.92	698.41	872.1	1167.14	1127.35	967.76	884.29	860.08	995.0	1167.14	1183.45	753.83	698.41	866.07	1081.39	866.07	381.68	518.15	395.18	633.73	0.0	511.0	656.11	563.18	660.68
SGSM2	1001.93	1151.06	796.86	995.0	1268.46	981.29	1529.73	1417.35	836.53	1721.16	1023.0	1685.71	1617.0	1844.76	2434.5	2209.26	2609.3	2664.15	2271.4	2537.92	3257.52	2796.65	3018.3	2796.65	1844.76	2627.46	3060.45	2032.85	301.33	323.03	339.14	318.57	0.0	764.36	559.28	1001.93	941.27
SLC12A4	1709.26	981.29	947.83	825.0	2209.26	698.41	1073.91	1008.9	759.08	2148.82	2133.97	2758.13	3257.52	1745.2	1508.65	1832.01	1950.0	1832.01	1950.0	1745.2	1923.14	1977.24	2224.63	1883.54	1963.57	1844.76	2104.58	1628.26	764.36	457.25	753.83	612.11	0.0	941.27	444.72	1143.1	1119.56
SLC25A45	105.89	182.55	96.68	96.68	88.88	97.36	125.24	129.69	42.11	111.21	139.07	166.73	206.94	136.19	155.5	264.03	283.05	236.21	234.57	226.54	193.01	373.81	262.2	327.56	139.07	234.57	305.55	135.24	36.27	108.9	81.14	55.1	51.35	96.01	127.0	101.54	127.89
SLC26A5	2.18	0.93	0.0	2.1	1.06	2.81	0.95	1.73	0.27	0.46	1.43	0.43	0.32	4.54	3.38	7.51	6.41	3.89	5.45	5.68	5.19	2.34	8.78	3.63	5.73	12.74	12.18	1.11	0.0	0.0	0.0	0.0	0.0	0.91	1.46	2.18	1.5
SLC4A3	148.09	88.88	83.45	55.89	189.02	67.59	76.71	80.01	92.05	633.73	669.92	775.05	988.12	511.0	409.15	454.09	473.41	480.04	325.29	435.55	579.04	518.15	540.19	463.65	612.11	629.35	551.56	463.65	80.57	39.5	71.5	61.25	0.0	50.98	39.22	81.71	78.89
SNX21	473.41	603.67	536.45	486.75	872.1	435.55	753.83	559.28	400.71	587.13	624.99	1088.92	813.63	679.29	1111.82	896.64	1135.2	1104.13	995.0	941.27	1175.27	1119.56	884.29	1199.98	909.17	796.86	1073.91	860.08	137.14	339.14	389.72	180.02	0.0	457.25	363.56	532.74	497.0
SPAG8	30.78	53.19	77.79	52.08	157.68	85.82	76.71	78.34	22.26	38.95	32.59	93.35	143.01	99.43	123.5	242.88	265.87	269.6	239.52	177.53	297.17	224.97	251.48	273.37	122.64	194.36	277.2	60.82	0.0	2.36	4.5	4.17	0.0	42.41	38.4	95.34	82.29
SPTBN4	80.57	98.73	59.97	62.12	124.37	50.98	84.04	57.08	36.79	58.3	94.67	145.02	152.28	152.28	195.72	234.57	194.36	273.37	149.12	186.4	275.28	275.28	312.0	260.38	181.28	193.01	271.48	136.19	5.32	2.84	1.28	5.15	0.0	49.21	37.32	85.22	69.52
TCEA2	1119.56	1286.18	1096.5	961.07	1819.35	1081.39	1388.16	1313.23	967.76	1628.26	1583.71	1457.23	1883.54	1417.35	2287.2	2384.37	2417.67	2976.74	1936.53	2400.97	2739.08	2384.37	2537.92	2287.2	2018.8	2417.67	2520.38	2148.82	209.84	603.67	232.94	426.57	0.0	866.07	651.58	1397.83	1119.56
TCTN1	607.87	483.38	599.49	403.5	748.61	466.88	532.74	420.68	301.33	1268.46	651.58	866.07	656.11	616.37	713.11	728.11	860.08	902.89	785.88	753.83	1008.9	842.36	878.17	961.07	693.58	723.08	872.1	669.92	107.38	96.01	92.05	178.77	0.0	417.77	307.69	633.73	518.15
TMEM121	83.45	47.5	53.95	54.33	77.79	35.25	20.86	53.19	17.9	80.01	67.12	69.03	59.13	40.36	144.01	91.41	137.14	94.01	98.73	128.79	176.29	118.43	76.71	137.14	43.02	110.43	99.43	65.72	2.66	16.63	9.41	15.56	0.0	62.12	40.93	35.0	39.79
TMEM38A	87.03	106.63	78.34	108.9	120.94	102.97	74.58	100.13	25.35	55.1	49.91	92.7	116.78	124.37	384.34	323.03	336.79	232.94	228.13	217.27	265.87	231.32	237.86	301.33	305.55	215.77	246.28	143.01	17.25	9.48	38.67	96.01	201.25	113.56	114.36	130.6	93.35
