	GTEX.SE5C.1026.SM.4BRUG	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.ZF.AA58.01A.12R.A42T.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.CV.5966.01A.11R.1686.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.VN.A88P.01A.11R.A352.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.G9.7525.01A.31R.2263.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.11TT1.2026.SM.5EQM8	GTEX.Q2AI.1126.SM.48U19	GTEX.11NSD.0826.SM.5986S	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.117YW.1426.SM.5EGGO	GTEX.1399R.0526.SM.5IJEF	GTEX.QV31.1026.SM.4R1K3
SMAD1	108.9	75.11	237.86	65.72	165.57	0.0	0.35	190.34	147.06	260.38	115.16	76.71	112.77	185.11	236.21	287.01	314.17	255.0	139.07	269.6	119.26	381.68	426.57	165.57	295.11	204.07	327.56	363.56	269.6	312.0	684.02	223.41	387.02	518.15	384.34	180.02	343.89	642.59	356.05
SRGAP3	28.65	43.32	31.0	34.75	89.51	0.0	0.0	67.12	73.54	132.44	82.29	93.35	44.57	76.71	111.21	100.83	124.37	108.14	84.63	100.13	56.68	265.87	155.5	91.41	131.51	115.97	133.36	185.11	99.43	156.59	182.55	194.36	154.42	119.26	197.09	88.88	305.55	221.86	226.54
STOX2	13.72	6.06	4.24	4.13	4.17	0.0	0.36	3.5	13.62	31.67	5.73	2.2	7.22	29.06	22.26	33.06	39.79	23.42	12.93	44.89	10.39	66.18	47.5	29.27	25.72	43.94	28.86	46.18	33.06	41.52	55.89	43.02	52.08	32.82	85.82	22.26	119.26	77.25	124.37
TLR5	58.71	50.98	21.16	8.19	8.65	0.0	0.09	40.07	60.39	130.6	33.78	14.89	55.89	56.28	95.34	148.09	198.47	156.59	90.14	145.02	66.65	371.22	144.01	72.01	162.14	126.12	211.31	242.88	108.9	63.89	241.19	246.28	229.72	102.97	72.01	98.73	395.18	307.69	173.85
TRPM5	0.0	0.0	0.0	0.0	0.33	0.0	0.13	0.33	0.32	1.01	0.0	0.29	0.74	0.35	0.37	0.35	0.34	0.35	1.69	3.29	0.34	1.71	1.01	1.38	0.64	1.48	0.0	1.66	0.32	3.44	1.77	4.66	2.41	1.08	1.79	1.39	4.46	1.45	17.25
TSPAN12	19.25	17.13	9.13	14.14	8.32	0.0	0.28	148.09	134.3	223.41	99.43	40.64	74.58	152.28	155.5	209.84	189.02	244.57	187.71	253.23	140.04	366.09	327.56	147.06	450.94	170.25	187.71	417.77	157.68	269.6	507.46	323.03	878.17	348.71	343.89	242.88	764.36	301.33	403.5
VWA2	1.14	2.68	8.92	18.03	7.28	0.0	0.0	65.72	137.14	153.34	54.72	3.63	6.31	64.8	143.01	143.01	120.94	146.03	60.82	138.1	58.71	191.67	208.38	90.77	102.25	115.97	120.94	159.9	102.25	134.3	387.02	285.03	256.78	283.05	124.37	108.9	503.95	389.72	312.0
WDR31	28.45	13.93	12.83	8.38	9.56	0.0	0.0	38.95	39.79	46.84	21.32	28.65	33.78	47.84	68.55	62.56	58.3	50.27	36.79	47.17	34.26	73.03	70.51	39.5	58.3	40.07	59.97	65.72	49.91	60.39	80.01	63.45	63.45	67.12	48.18	59.13	69.03	87.03	69.52
ZNF117	9.93	24.28	29.27	5.82	5.15	0.0	0.88	78.34	63.89	100.83	33.3	30.56	56.28	37.05	106.63	99.43	71.5	42.11	77.25	87.65	101.54	72.52	69.03	53.57	76.71	37.05	49.21	53.95	58.3	32.36	95.34	85.82	77.25	68.55	64.8	44.25	131.51	127.0	74.58
ZNF774	24.81	5.02	8.13	19.53	4.94	0.0	0.0	31.9	27.05	51.35	11.3	13.12	9.06	29.27	43.94	55.49	42.71	35.5	32.59	101.54	22.59	85.82	81.71	35.5	76.71	39.22	71.0	84.63	57.08	48.18	86.43	98.04	80.57	71.0	68.55	36.53	89.51	113.56	164.42
ZSCAN25	113.56	77.25	82.87	48.52	126.12	0.0	0.0	119.26	138.1	177.53	111.21	77.79	98.04	131.51	167.9	194.36	171.45	164.42	113.56	186.4	143.01	221.86	202.66	156.59	165.57	145.02	166.73	221.86	170.25	217.27	206.94	204.07	195.72	178.77	255.0	133.36	180.02	273.37	237.86
