	GTEX.14A5I.1726.SM.5QGQ5	GTEX.RTLS.1326.SM.46MUN	GTEX.WYVS.1926.SM.4PQZ2	GTEX.YFC4.1526.SM.5IFJS	GTEX.ZAB4.0826.SM.5LU9D	GTEX.TKQ2.1726.SM.4DXUP	GTEX.11GSP.0626.SM.5986T	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.X261.1726.SM.4PQYT	GTEX.X4EP.1026.SM.4QAS5	GTEX.ZPU1.0826.SM.57WG2	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.XBEC.1526.SM.4AT68	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13NZB.0626.SM.5IFH6	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.Q734.0326.SM.48U15	GTEX.11ZVC.0726.SM.5FQT9	GTEX.132NY.0926.SM.5P9G3	GTEX.XOTO.0826.SM.4B65O	GTEX.UPIC.0926.SM.4IHLV	GTEX.UPK5.1426.SM.4JBHH	GTEX.REY6.1226.SM.48FDR	TCGA.BJ.A45C.01A.11R.A23W.07	GTEX.YJ89.0726.SM.5P9F7	GTEX.14AS3.0226.SM.5Q5B6	GTEX.11NSD.0126.SM.5987F	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.SE5C.0726.SM.4BRWY	GTEX.1399R.0126.SM.5IFEV	GTEX.13113.0126.SM.5LZVX	GTEX.Y3IK.0526.SM.4WWE3	GTEX.WFG7.0326.SM.5SI7L	GTEX.PX3G.2626.SM.2I3EG	GTEX.YB5K.0526.SM.5LUAS	GTEX.1192W.0126.SM.5EGGS	GTEX.XMK1.0626.SM.4B65A	GTEX.QMRM.0726.SM.2I5G8	GTEX.ZVZQ.0626.SM.59HJU	GTEX.11VI4.0226.SM.5GU6C	GTEX.Y8E4.0126.SM.4VBQ2	GTEX.V1D1.0926.SM.4JBHQ
AZI1	40.07	43.32	64.8	65.72	110.43	64.34	159.9	14.78	62.56	67.59	19.53	21.47	68.07	100.83	33.3	43.02	47.84	63.45	39.79	39.79	34.75	170.25	36.01	103.69	61.68	58.71	31.45	55.49	130.6	47.17	126.12	47.5	92.7	62.56	59.55	194.36	31.0	75.64	438.59	356.05	234.57	281.09	269.6	283.05	231.32	211.31	164.42	241.19	234.57	148.09	143.01	199.85	297.17	199.85	161.02	409.15	201.25	248.0	316.37
BEST4	2.12	2.39	6.41	0.44	2.2	0.08	2.89	0.33	1.25	0.0	0.0	0.0	6.26	0.21	0.0	12.18	1.58	1.68	0.37	0.69	7.22	15.56	0.55	4.24	1.75	2.32	0.08	3.35	3.0	1.83	3.53	4.28	3.03	1.0	1.46	1.03	12.27	1.45	23.76	34.75	31.22	9.41	24.99	23.25	23.08	19.53	11.21	24.63	19.39	9.78	7.51	9.7	26.47	23.59	17.64	38.12	12.74	65.72	19.39
BTN2A2	43.32	51.71	309.83	75.11	348.71	108.14	209.84	85.82	102.97	128.79	76.71	44.25	57.89	82.29	67.59	19.68	48.52	69.03	59.97	45.21	85.22	108.9	90.14	66.18	143.01	40.93	43.32	66.18	43.02	176.29	167.9	320.8	90.14	75.11	72.52	56.68	54.33	97.36	241.19	490.14	371.22	206.94	228.13	532.74	255.0	208.38	158.79	281.09	334.46	144.01	166.73	204.07	389.72	185.11	165.57	346.29	138.1	187.71	269.6
BZRAP1	92.7	111.21	155.5	63.89	197.09	69.52	334.46	26.67	18.03	117.6	18.29	10.88	64.34	98.04	28.24	134.3	120.94	83.45	21.47	27.44	154.42	348.71	27.05	54.72	61.68	36.01	88.26	173.85	162.14	102.97	205.5	114.36	127.0	102.97	129.69	218.79	156.59	49.56	1745.2	2004.85	2004.85	1388.16	1883.54	1498.22	1540.37	1135.2	1119.56	1295.13	1208.34	743.43	764.36	842.36	1487.87	1030.12	1051.79	1605.83	878.17	2032.85	2319.15
C19orf67	0.0	1.31	0.0	1.89	1.53	0.0	0.0	0.0	0.0	0.0	0.0	1.68	1.08	1.11	0.0	1.99	0.69	0.0	0.0	0.0	2.46	0.73	0.0	0.0	0.0	0.0	0.0	0.78	2.16	0.0	0.92	1.79	0.0	0.03	0.37	0.0	1.79	0.0	20.41	2.73	3.06	2.12	4.06	3.06	2.39	6.89	2.84	6.01	5.23	1.95	0.65	3.0	4.9	0.25	1.04	5.28	3.96	6.41	5.23
C19orf71	10.79	15.56	29.48	18.97	32.13	5.82	23.42	6.62	13.52	14.78	4.78	5.77	8.13	10.63	1.46	15.91	0.82	19.39	3.79	11.47	6.31	42.41	20.41	4.39	16.39	2.07	5.82	28.24	1.97	11.55	6.46	15.34	42.41	10.0	23.59	14.35	2.12	16.39	228.13	297.17	371.22	204.07	281.09	223.41	244.57	229.72	130.6	237.86	223.41	91.41	145.02	103.69	441.64	201.25	121.79	336.79	70.01	209.84	332.14
C1orf35	191.67	163.28	277.2	289.02	204.07	128.79	417.77	58.3	202.66	285.03	76.17	68.55	249.73	244.57	85.82	172.65	167.9	156.59	77.79	106.63	175.07	351.14	125.24	199.85	206.94	165.57	154.42	234.57	297.17	136.19	153.34	198.47	260.38	155.5	246.28	309.83	167.9	180.02	974.5	669.92	624.99	713.11	733.19	642.59	460.44	497.0	420.68	620.67	612.11	444.72	297.17	497.0	708.18	708.18	356.05	688.78	457.25	753.83	693.58
C20orf96	62.56	31.22	94.01	24.28	177.53	24.46	198.47	19.39	45.53	68.07	29.06	38.4	76.17	37.32	25.91	26.47	46.84	54.33	11.73	36.53	54.33	128.79	35.76	84.04	22.43	39.22	39.79	78.89	90.14	81.14	98.73	89.51	46.5	31.22	74.58	60.39	59.55	31.9	633.73	612.11	860.08	769.69	688.78	540.19	591.22	543.96	543.96	684.02	575.03	341.51	579.04	389.72	791.35	444.72	429.54	591.22	397.93	703.28	693.58
C21orf119	82.29	206.94	137.14	163.28	101.54	54.72	194.36	67.59	55.1	381.68	73.03	93.35	126.12	115.16	79.45	87.65	101.54	189.02	41.81	73.54	145.02	182.55	133.36	75.64	37.85	124.37	98.73	265.87	144.01	198.47	220.32	133.36	173.85	187.71	60.39	223.41	214.27	100.83	423.61	665.29	269.6	379.04	318.57	514.56	223.41	791.35	521.76	454.09	616.37	493.56	371.22	320.8	379.04	571.05	409.15	403.5	656.11	470.14	262.2
C2CD4C	39.22	8.71	18.56	0.27	112.77	1.45	6.73	15.68	18.7	0.41	4.13	3.89	9.93	39.5	3.76	30.78	9.93	3.5	0.75	13.93	11.04	5.5	6.06	78.34	8.92	3.14	0.0	2.05	0.99	5.11	12.74	5.45	6.31	4.94	6.46	3.53	9.06	18.43	215.77	10.96	155.5	15.11	47.84	7.46	35.25	708.18	12.27	738.29	1051.79	27.05	34.02	176.29	78.89	19.39	15.34	23.59	35.0	7.94	55.89
C2orf62	7.4	5.68	4.7	5.41	22.26	3.44	1.71	10.16	5.59	2.05	1.6	2.32	9.63	3.5	0.55	10.08	17.38	1.66	0.27	3.08	4.28	10.79	3.56	4.21	11.21	5.19	3.76	6.41	3.79	4.28	3.82	6.67	5.23	5.11	14.78	5.68	3.17	10.63	403.5	229.72	387.02	249.73	281.09	181.28	267.73	255.0	209.84	363.56	204.07	111.21	83.45	167.9	217.27	101.54	96.68	277.2	165.57	371.22	332.14
C9orf173	5.87	11.3	19.97	4.7	9.41	3.29	5.96	3.69	0.2	24.11	1.95	0.0	4.66	15.22	0.0	11.38	1.38	6.84	0.0	0.21	10.31	27.25	4.98	2.46	0.0	1.83	1.45	23.42	0.82	20.41	19.25	8.85	13.62	4.03	2.92	15.22	5.54	0.91	55.89	33.06	37.05	19.82	85.22	48.87	25.91	48.87	21.32	47.5	56.68	5.02	27.25	8.06	53.95	19.97	13.32	56.68	15.34	30.34	36.79
C9orf37	154.42	116.78	173.85	186.4	142.01	87.03	220.32	90.77	115.97	161.02	67.59	66.65	197.09	126.12	57.89	90.77	138.1	115.97	55.1	84.63	120.1	295.11	105.15	145.02	151.22	119.26	99.43	211.31	223.41	118.43	144.01	145.02	202.66	137.14	158.79	142.01	145.02	140.04	665.29	785.88	426.57	389.72	511.0	620.67	540.19	466.88	450.94	563.18	575.03	358.54	432.53	486.75	607.87	429.54	318.57	733.19	429.54	525.39	656.11
CASKIN1	0.21	2.36	3.76	0.0	0.58	0.0	0.43	0.0	0.0	0.0	0.37	0.39	0.27	0.0	0.0	1.19	0.23	0.39	0.0	0.0	0.0	0.27	0.46	0.55	1.16	0.0	0.34	0.85	0.78	4.94	0.0	0.26	0.32	0.0	1.91	0.0	0.0	0.0	46.5	24.46	28.45	43.02	28.65	30.12	92.7	65.72	19.53	24.11	46.84	17.38	13.93	11.55	26.67	8.0	17.13	11.91	8.0	31.9	27.84
CBX4	232.94	220.32	334.46	409.15	164.42	358.54	738.29	81.14	312.0	161.02	145.02	166.73	221.86	281.09	140.04	332.14	148.09	178.77	134.3	182.55	205.5	248.0	220.32	285.03	473.41	435.55	490.14	181.28	169.07	121.79	198.47	353.59	167.9	177.53	466.88	312.0	167.9	231.32	384.34	332.14	381.68	403.5	563.18	444.72	267.73	460.44	318.57	470.14	473.41	309.83	457.25	341.51	309.83	500.46	209.84	267.73	371.22	341.51	332.14
CCDC14	189.02	145.02	162.14	128.79	361.04	90.77	575.03	65.72	169.07	146.03	127.0	36.79	215.77	172.65	44.25	142.01	105.15	130.6	34.51	68.55	124.37	277.2	107.38	202.66	131.51	88.26	108.9	172.65	256.78	101.54	124.37	202.66	291.04	144.01	153.34	255.0	155.5	107.38	536.45	848.22	1216.75	529.06	703.28	753.83	753.83	521.76	397.93	669.92	624.99	503.95	438.59	514.56	738.29	379.04	392.44	934.76	429.54	647.07	1096.5
CCDC24	80.01	78.89	108.14	94.01	143.01	66.65	169.07	34.26	51.71	169.07	33.54	19.11	102.25	202.66	61.25	92.05	74.58	75.11	26.1	29.7	98.04	269.6	65.26	82.87	145.02	88.88	42.71	77.25	136.19	123.5	101.54	218.79	127.89	63.0	110.43	75.11	91.41	140.04	1519.15	1104.13	1023.0	915.51	1183.45	995.0	961.07	902.89	698.41	1001.93	954.43	511.0	698.41	693.58	1066.48	872.1	698.41	1015.93	764.36	1159.07	1378.57
CCDC27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	1.38	1.43	0.0	2.03	0.45	1.68	0.0	0.47	0.75	1.45	0.78	0.44	0.0	0.75	1.68	0.0	2.36	0.0	1.11	0.0
CCDC40	28.04	18.29	29.7	19.68	43.94	5.36	53.95	9.27	50.63	7.82	11.3	36.01	20.71	15.0	6.11	48.52	52.08	4.43	13.72	62.56	20.41	56.68	38.4	44.57	13.42	41.52	40.64	17.9	42.41	28.86	13.03	32.13	42.71	18.03	29.27	18.43	20.56	11.21	176.29	231.32	384.34	305.55	180.02	186.4	151.22	234.57	287.01	397.93	173.85	154.42	249.73	102.97	447.82	214.27	140.04	373.81	146.03	186.4	251.48
CCDC61	125.24	217.27	195.72	193.01	215.77	100.83	244.57	121.79	206.94	145.02	95.34	92.05	186.4	115.97	68.55	180.02	197.09	117.6	56.68	100.83	123.5	305.55	162.14	162.14	191.67	134.3	161.02	267.73	167.9	190.34	108.9	172.65	197.09	187.71	130.6	176.29	171.45	249.73	579.04	463.65	444.72	392.44	441.64	392.44	438.59	339.14	299.25	376.41	403.5	297.17	277.2	285.03	368.65	329.84	287.01	441.64	289.02	387.02	483.38
CDAN1	130.6	95.34	116.78	129.69	127.89	87.65	161.02	49.21	124.37	127.0	65.72	40.93	129.69	84.04	72.52	91.41	94.67	96.01	73.03	71.5	98.73	205.5	94.67	96.68	64.8	76.17	100.83	171.45	171.45	98.73	148.09	96.68	111.99	100.83	75.11	154.42	148.09	112.77	395.18	255.0	273.37	291.04	275.28	253.23	275.28	195.72	211.31	287.01	256.78	186.4	182.55	208.38	229.72	199.85	181.28	291.04	183.82	299.25	316.37
CDK18	182.55	229.72	309.83	135.24	6121.9	120.1	764.36	71.5	2209.26	150.17	49.91	46.5	75.11	1304.15	50.98	525.39	78.34	206.94	16.88	55.49	172.65	642.59	111.99	961.07	176.29	84.04	223.41	414.87	476.71	206.94	191.67	1030.12	202.66	120.94	175.07	58.3	206.94	476.71	571.05	521.76	872.1	532.74	470.14	454.09	791.35	500.46	409.15	599.49	507.46	316.37	460.44	307.69	567.1	406.31	397.93	470.14	366.09	476.71	518.15
CEP164	131.51	99.43	127.0	96.01	162.14	68.55	256.78	49.56	75.64	105.15	46.84	57.08	102.25	132.44	64.8	84.04	93.35	59.97	75.64	78.89	90.14	199.85	55.1	120.1	88.26	63.45	86.43	153.34	143.01	87.03	105.15	101.54	171.45	94.01	125.24	106.63	93.35	109.66	612.11	518.15	688.78	412.0	518.15	547.75	529.06	536.45	325.29	595.34	470.14	332.14	400.71	361.04	540.19	444.72	389.72	559.28	406.31	518.15	708.18
CEP192	178.77	138.1	161.02	120.1	371.22	97.36	201.25	43.32	93.35	78.89	78.89	58.71	162.14	113.56	100.13	127.0	100.13	92.05	120.1	85.22	86.43	141.02	50.63	202.66	77.25	124.37	118.43	191.67	108.14	127.89	84.63	53.57	127.0	201.25	93.35	186.4	116.78	35.25	336.79	299.25	599.49	368.65	307.69	412.0	571.05	309.83	371.22	366.09	426.57	251.48	231.32	307.69	395.18	361.04	273.37	511.0	289.02	269.6	543.96
CGB7	1.11	1.1	4.21	0.0	5.23	2.61	1.46	0.93	3.0	0.0	0.0	0.0	0.29	1.93	0.0	0.0	0.0	0.0	2.23	0.65	1.73	0.0	0.41	3.32	5.77	0.64	1.31	0.0	0.0	2.73	1.48	2.1	0.0	0.27	0.88	0.99	0.29	0.0	13.72	12.83	2.76	1.36	5.28	16.63	6.06	1.85	0.93	7.46	8.45	3.66	1.1	1.5	7.17	0.66	5.28	6.16	1.28	9.13	7.22
COPS7B	368.65	336.79	420.68	409.15	406.31	234.57	336.79	201.25	343.89	303.44	194.36	112.77	423.61	256.78	169.07	256.78	279.14	303.44	167.9	206.94	285.03	796.86	283.05	518.15	332.14	258.57	248.0	507.46	543.96	277.2	384.34	457.25	414.87	277.2	429.54	358.54	356.05	246.28	1135.2	1073.91	1127.35	896.64	947.83	967.76	1088.92	813.63	808.0	1044.52	947.83	575.03	854.13	733.19	1151.06	693.58	698.41	974.5	708.18	860.08	1127.35
CPSF7	518.15	616.37	934.76	896.64	780.44	366.09	780.44	466.88	476.71	543.96	642.59	384.34	473.41	642.59	432.53	854.13	447.82	595.34	414.87	579.04	587.13	1023.0	693.58	813.63	547.75	379.04	547.75	684.02	660.68	543.96	497.0	785.88	884.29	473.41	723.08	514.56	414.87	318.57	1583.71	1437.15	2271.4	2224.63	2434.5	1909.85	2335.28	1819.35	1781.89	2351.53	1794.29	1340.84	1733.13	1175.27	2451.44	1369.04	1674.06	1769.57	1350.18	2224.63	2351.53
CROCC	96.68	66.18	171.45	101.54	130.6	30.78	234.57	28.04	45.53	55.1	18.56	48.18	98.73	55.1	32.59	59.97	88.88	92.7	40.93	79.45	52.08	211.31	53.57	118.43	63.0	54.72	107.38	100.13	130.6	62.56	58.3	96.68	127.0	57.89	98.04	132.44	73.03	68.55	423.61	476.71	366.09	325.29	366.09	414.87	281.09	275.28	185.11	305.55	346.29	229.72	204.07	156.59	412.0	363.56	249.73	423.61	195.72	323.03	435.55
CRTC1	118.43	153.34	155.5	146.03	152.28	82.87	153.34	56.68	93.35	85.82	47.17	64.34	175.07	159.9	57.08	152.28	144.01	102.25	71.0	106.63	61.25	253.23	85.82	142.01	51.35	120.1	90.14	125.24	142.01	86.43	95.34	148.09	135.24	111.99	217.27	133.36	118.43	220.32	518.15	368.65	463.65	463.65	473.41	454.09	314.17	353.59	271.48	532.74	423.61	279.14	497.0	281.09	651.58	297.17	387.02	403.5	297.17	423.61	529.06
CTD-3193O13.9	6.89	0.64	4.13	2.23	0.11	0.38	37.85	1.45	1.39	10.39	1.01	0.46	7.63	1.33	0.0	3.96	0.0	11.04	0.0	0.36	6.78	35.0	7.69	1.46	1.13	3.06	2.36	4.9	14.35	8.0	1.97	18.97	0.0	1.3	2.66	2.66	0.0	7.0	234.57	85.22	150.17	37.05	37.05	49.91	33.3	35.76	42.41	94.67	87.03	27.44	11.64	32.82	133.36	26.47	35.76	42.71	15.91	29.48	69.52
CYB5RL	34.51	82.29	58.71	38.4	49.21	39.22	33.54	21.63	15.22	25.54	26.86	16.75	23.59	11.91	18.29	60.82	46.18	32.59	9.7	18.7	39.79	46.18	36.53	47.5	12.64	26.86	32.82	71.5	45.53	38.95	92.05	41.52	26.86	38.4	39.5	75.11	40.64	42.71	54.72	52.45	84.04	93.35	72.01	94.01	75.11	116.78	85.22	92.05	99.43	52.82	68.55	43.94	127.89	63.0	63.0	68.55	85.82	78.89	112.77
DCST2	35.5	11.64	16.75	20.71	40.93	23.76	37.59	1.53	4.58	10.24	3.35	5.92	15.91	36.53	3.32	34.75	8.58	9.41	0.0	4.21	24.81	44.57	12.18	28.65	29.48	19.11	22.26	19.82	50.98	17.51	14.24	15.56	39.5	19.53	31.45	19.53	33.06	6.11	53.57	94.01	85.82	30.12	50.27	84.04	63.0	33.3	21.47	61.25	30.78	26.47	24.28	28.45	52.82	23.93	26.86	67.59	28.86	53.57	39.5
DIP2A	100.13	137.14	193.01	102.97	329.84	68.07	283.05	77.79	170.25	130.6	84.63	65.26	94.67	142.01	63.0	149.12	102.97	118.43	75.11	71.0	154.42	156.59	76.17	249.73	180.02	78.34	107.38	126.12	102.25	100.13	182.55	186.4	175.07	68.55	151.22	172.65	102.25	108.9	403.5	441.64	607.87	414.87	395.18	476.71	486.75	384.34	341.51	493.56	447.82	320.8	384.34	312.0	603.67	358.54	318.57	579.04	305.55	470.14	525.39
DLGAP3	0.15	2.2	7.94	1.06	6.16	7.11	0.87	1.27	2.97	2.48	2.05	1.46	0.0	10.71	0.72	4.03	2.32	5.11	6.16	1.95	2.81	0.18	5.5	0.54	2.76	2.56	8.78	6.11	0.18	5.82	1.53	2.41	1.33	4.24	8.51	7.22	7.22	0.93	33.78	12.36	14.24	15.68	19.11	10.79	13.42	20.41	9.7	10.24	41.52	7.4	4.74	5.02	12.18	13.62	9.13	17.77	18.43	12.64	34.75
DOK1	38.4	23.42	400.71	61.25	82.29	117.6	50.27	75.64	195.72	217.27	43.63	84.04	80.57	180.02	85.82	48.52	129.69	129.69	92.7	30.12	85.22	146.03	103.69	105.89	154.42	43.02	65.72	98.04	66.18	115.97	260.38	371.22	16.27	26.1	45.85	312.0	158.79	55.49	267.73	297.17	429.54	409.15	289.02	341.51	325.29	312.0	348.71	483.38	384.34	277.2	249.73	320.8	204.07	341.51	336.79	195.72	277.2	303.44	329.84
DPH7	249.73	169.07	256.78	265.87	403.5	101.54	555.41	109.66	287.01	155.5	111.99	85.22	262.2	314.17	101.54	256.78	186.4	116.78	162.14	217.27	151.22	511.0	165.57	460.44	244.57	183.82	144.01	204.07	406.31	112.77	187.71	214.27	251.48	224.97	260.38	234.57	186.4	215.77	941.27	967.76	1216.75	688.78	878.17	947.83	909.17	674.59	507.46	902.89	728.11	426.57	612.11	713.11	928.3	660.68	473.41	1059.11	454.09	981.29	1081.39
