	TCGA.AK.3447.01A.01R.1766.07	TCGA.B2.3923.01A.02R.A277.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYS.1626.SM.5J2MU	GTEX.12WSI.0826.SM.5EGKD	GTEX.X5EB.0426.SM.46MVY	GTEX.YECK.0926.SM.4W214	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WWYW.0926.SM.3NB2Z	GTEX.SNOS.0426.SM.32PMH	GTEX.X3Y1.0626.SM.3P5YS	GTEX.13S86.0626.SM.5Q5E7	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZUA1.1026.SM.4YCEA	GTEX.ZTPG.0926.SM.5O99H	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.111VG.0726.SM.5GIDC	GTEX.S341.0326.SM.2XCAU	GTEX.13FTX.0326.SM.5J2NG	GTEX.OIZH.0526.SM.2HMKV	GTEX.11ZTT.0626.SM.5EQLM	GTEX.ZYWO.0826.SM.5E45W	GTEX.X4EP.0526.SM.3P5YW	GTEX.12WSD.2826.SM.59HKT
SCGB1A1	0.0	0.0	0.0	0.0	1273174.62	3336720.86	2141216.62	3178687.03	2068278.89	1093103.58	74760.09	3156730.23	3665.02	2691538.19	3178687.03	3091765.64	1229805.58	3968052.37	3134925.09	1290947.48	2392353.91	221968.2	2082664.91	2825352.59	1246973.04	2691538.19	1943195.01	482442.34	3070409.25	938500.81	41763.8	0.0
SH3BGRL3	1594.73	543.96	0.0	0.72	3820.7	12329.98	5995.9	2915.45	7130.55	5441.3	8022.41	5517.27	8538.88	4903.87	6079.61	11827.67	4671.57	2855.44	2061.24	5913.33	5292.48	14663.09	8305.36	5555.65	4450.27	4152.18	6516.03	9215.48	6337.83	18052.61	11664.82	1896.65
SLC39A7	612.11	1870.53	0.0	0.82	1359.57	2627.46	1369.04	1498.22	4869.99	2224.63	2816.11	1844.76	3103.19	1685.71	1572.76	2209.26	2555.58	1167.14	819.3	4298.64	1909.85	5366.37	2240.11	1175.27	1639.59	1519.15	2209.26	3257.52	2047.0	3794.3	6207.38	1151.06
SYNGR2	4298.64	819.3	0.0	1.08	3901.01	10733.74	3955.48	3982.99	16843.62	7180.15	8134.41	3146.52	12076.21	6207.38	6164.49	10225.32	7130.55	3639.7	4481.23	6381.92	3039.3	15180.22	11584.24	7695.57	3325.99	3768.09	8901.53	8421.31	5219.6	7331.05	12415.75	1594.73
TINF2	848.22	1208.34	0.0	0.57	679.29	1167.14	1417.35	616.37	1733.13	842.36	1977.24	1617.0	1605.83	988.12	1529.73	2573.36	1651.0	1350.18	1225.22	1427.22	540.19	2047.0	1617.0	941.27	1268.46	1745.2	2018.8	1857.6	1340.84	2047.0	2119.22	796.86
TM9SF1	723.08	928.3	0.0	0.53	819.3	1073.91	1242.34	723.08	2255.7	902.89	1605.83	1268.46	2384.37	860.08	947.83	1594.73	1662.49	1397.83	866.07	1963.57	728.11	2609.3	1487.87	1572.76	587.13	1617.0	1709.26	1977.24	1857.6	2271.4	1639.59	796.86
TOLLIP	808.0	1001.93	0.0	0.64	836.53	780.44	1268.46	490.14	1388.16	595.34	1883.54	748.61	1277.29	684.02	941.27	1457.23	1073.91	660.68	909.17	1225.22	713.11	1427.22	1757.34	521.76	563.18	759.08	1216.75	1417.35	988.12	1322.37	1757.34	647.07
TRIM58	0.38	2.63	0.0	0.02	4.39	2.66	28.65	3.82	21.47	9.13	54.72	0.47	102.25	3.82	47.17	126.12	30.34	12.27	35.5	48.18	13.12	121.79	109.66	14.14	4.62	7.46	98.73	87.03	40.93	37.59	111.99	8.71
TUBA8	2.78	10.47	0.0	0.29	27.44	28.04	75.64	27.05	28.65	47.5	90.14	111.21	76.71	21.63	65.26	117.6	46.84	35.5	26.86	117.6	17.13	81.14	87.03	17.64	23.25	53.57	75.11	77.25	42.11	70.01	81.71	33.78
TUBB1	0.0	7.51	0.0	0.0	6.89	8.32	46.18	8.06	63.45	37.59	99.43	17.13	121.79	18.43	52.82	161.02	61.68	16.88	11.55	93.35	11.21	119.26	145.02	11.64	7.63	17.25	69.03	84.04	83.45	88.26	57.89	1.6
