	TCGA.AC.A3QQ.01B.06R.A22O.07	TCGA.A7.A13G.01A.11R.A13Q.07.1	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.WQUQ.2526.SM.4MVNO	GTEX.ZPCL.1626.SM.57WGC	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.XUZC.0926.SM.4BOQF
MPND	87.65	158.79	143.01	454.09	1030.12	802.41	244.57	287.01	336.79	0.0	0.16	620.67
MRPL14	447.82	1359.57	423.61	921.88	1819.35	1936.53	884.29	669.92	674.59	0.0	0.18	2303.12
MRPS7	656.11	1159.07	909.17	1561.89	2319.15	1709.26	1350.18	1295.13	1225.22	0.0	0.52	1781.89
MVD	119.26	239.52	74.58	718.08	1159.07	860.08	791.35	480.04	563.18	0.0	0.6	529.06
MXD4	587.13	559.28	320.8	1794.29	1051.79	1208.34	466.88	808.0	860.08	0.0	0.38	1709.26
NAGPA	132.44	103.69	65.26	202.66	450.94	314.17	166.73	137.14	231.32	0.0	0.0	343.89
NDUFA9	842.36	830.75	1529.73	1477.58	2777.33	2664.15	1313.23	1191.69	1088.92	0.0	0.64	2303.12
NDUFS3	1225.22	1233.75	1963.57	2915.45	3874.05	4095.0	1519.15	1378.57	1757.34	0.0	0.32	3349.13
NLRX1	71.5	128.79	162.14	470.14	264.03	285.03	373.81	684.02	412.0	0.0	0.1	476.71
NOL12	209.84	339.14	145.02	208.38	693.58	339.14	309.83	162.14	371.22	0.0	0.41	532.74
NSUN5	195.72	819.3	202.66	591.22	921.88	638.15	612.11	470.14	420.68	0.0	0.49	587.13
NUDT1	267.73	150.17	173.85	575.03	579.04	860.08	1175.27	356.05	339.14	0.0	0.56	1023.0
NUDT22	423.61	902.89	185.11	579.04	1794.29	1216.75	688.78	532.74	802.41	0.0	0.65	1407.55
PCBP1	2956.17	796.86	6207.38	8421.31	7966.99	9808.75	7180.15	7433.4	5872.48	0.0	1.07	8598.28
PDLIM2	332.14	409.15	387.02	1806.78	1331.57	2119.22	1685.71	1844.76	1268.46	0.0	0.53	2178.83
PELO	167.9	241.19	307.69	1111.82	486.75	476.71	1457.23	1277.29	785.88	0.0	0.47	591.22
PEX5	214.27	412.0	438.59	728.11	567.1	728.11	599.49	769.69	616.37	0.0	0.65	775.05
PHB2	1519.15	2573.36	3146.52	4671.57	5872.48	6652.97	4419.52	3874.05	3928.15	0.0	1.25	4769.75
PHYH	277.2	260.38	954.43	981.29	1427.22	1794.29	525.39	1066.48	775.05	0.0	0.34	2816.11
PITPNM1	209.84	112.77	89.51	55.1	607.87	214.27	392.44	182.55	125.24	0.0	0.56	450.94
PMPCA	323.03	397.93	684.02	825.0	1167.14	1023.0	896.64	872.1	796.86	0.0	0.89	1216.75
PNMA6D	0.0	0.0	1.08	35.25	3.72	3.53	0.0	2.81	5.73	0.0	0.0	10.24
PNPLA6	532.74	309.83	285.03	1233.75	1427.22	1417.35	1096.5	1216.75	1073.91	0.0	0.4	1594.73
PPP1R16A	379.04	447.82	151.22	414.87	2018.8	1081.39	403.5	387.02	660.68	0.0	0.78	854.13
PPP1R36	30.12	5.19	63.45	17.13	67.12	40.07	3.69	6.41	35.0	0.0	0.01	115.97
PPP6R1	642.59	237.86	314.17	921.88	1175.27	961.07	854.13	854.13	836.53	490.14	599.49	1350.18
PRADC1	111.21	341.51	289.02	785.88	1242.34	1457.23	387.02	567.1	507.46	0.0	0.13	1015.93
PSKH1	221.86	118.43	291.04	642.59	753.83	647.07	353.59	543.96	607.87	0.0	0.0	775.05
PSMD2	1628.26	3103.19	2240.11	3820.7	3589.58	3847.29	5711.87	3589.58	3103.19	0.0	1.33	5995.9
PTGES2	307.69	403.5	267.73	1143.1	1721.16	1111.82	1051.79	884.29	854.13	0.0	0.52	1685.71
RAVER1	223.41	106.63	137.14	497.0	723.08	511.0	587.13	599.49	521.76	0.0	0.75	466.88
REPIN1	988.12	389.72	743.43	1794.29	2555.58	1639.59	1143.1	1359.57	1437.15	0.0	0.97	2417.67
RNF220	941.27	559.28	616.37	2591.27	1950.0	1844.76	2075.59	1617.0	1208.34	0.0	0.3	1757.34
RPUSD1	151.22	191.67	79.45	384.34	624.99	555.41	371.22	182.55	241.19	0.0	0.01	503.95
RPUSD2	55.49	148.09	64.8	182.55	265.87	241.19	115.16	154.42	123.5	0.0	0.0	248.0
RPUSD3	343.89	201.25	361.04	981.29	1127.35	1104.13	642.59	764.36	703.28	0.0	0.27	896.64
SCAP	836.53	521.76	825.0	728.11	1143.1	909.17	775.05	866.07	1008.9	624.99	186.4	988.12
SLC25A39	1015.93	902.89	848.22	1447.15	3794.3	2367.9	1447.15	728.11	1369.04	0.0	0.92	2720.15
SMTN	555.41	204.07	529.06	641014.63	9540.5	13399.51	318292.9	1034138.94	150561.19	0.0	0.48	3614.55
SNX17	1073.91	1487.87	1216.75	2178.83	2555.58	2240.11	1991.0	1923.14	1745.2	0.0	0.55	3564.78
SNX7	571.05	320.8	878.17	624.99	660.68	1159.07	409.15	514.56	368.65	0.0	0.52	961.07
ST20-MTHFS	0.0	6.06	4.13	27.84	9.48	27.25	0.0	23.25	16.63	0.0	0.06	74.06
ST6GALNAC6	497.0	486.75	902.89	1617.0	2915.45	5255.91	1950.0	2627.46	2555.58	0.0	0.55	3168.41
SURF6	166.73	169.07	144.01	511.0	684.02	503.95	567.1	497.0	480.04	0.0	0.73	409.15
TIGD5	27.64	80.57	11.73	111.99	166.73	99.43	108.14	81.71	102.25	0.0	0.27	83.45
TMEM115	267.73	575.03	426.57	921.88	1259.69	1721.16	620.67	693.58	665.29	0.0	0.52	1540.37
TMEM160	0.0	74.06	36.27	236.21	447.82	260.38	373.81	229.72	295.11	0.0	0.0	343.89
TMEM8A	373.81	457.25	320.8	525.39	1477.58	1151.06	532.74	486.75	878.17	0.0	1.0	2303.12
TMUB1	153.34	120.1	314.17	1037.29	2271.4	2209.26	830.75	791.35	1051.79	0.0	0.97	941.27
TOMM5	1104.13	1322.37	2255.7	1936.53	2537.92	3467.27	1963.57	1259.69	1519.15	0.0	0.77	2485.67
TOR2A	157.68	113.56	148.09	92.05	599.49	420.68	224.97	74.58	195.72	0.0	0.02	255.0
TPM1	7180.15	27553.49	10808.41	535303.41	26614.89	43236.64	789181.81	2201414.44	254974.66	7230.1	5147.73	12502.12
TPM2	1119.56	785.88	1397.83	1063212.58	23492.92	52863.07	706337.4	2392353.91	408505.64	0.0	1.2	19214.73
TRAPPC3	1127.35	1191.69	1583.71	1685.71	1909.85	2485.67	1662.49	1417.35	1313.23	0.0	0.71	2451.44
TUBA4A	155.5	363.56	1268.46	2485.67	3540.14	2047.0	2367.9	2287.2	1369.04	0.0	0.87	3372.43
UBE2M	890.44	571.05	934.76	2271.4	1674.06	2319.15	1487.87	1819.35	1781.89	921.88	599.49	2777.33
UBL7	323.03	551.56	872.1	1662.49	1583.71	2240.11	733.19	967.76	830.75	0.0	0.2	1781.89
URM1	490.14	743.43	884.29	1467.37	2004.85	1757.34	1127.35	1023.0	1151.06	0.0	0.33	2434.5
ZBED1	173.85	271.48	189.02	237.86	301.33	327.56	217.27	180.02	199.85	0.0	0.48	327.56
ZNF622	113.56	688.78	384.34	412.0	723.08	947.83	361.04	343.89	358.54	0.0	0.21	748.61
ZNHIT2	99.43	169.07	73.03	234.57	358.54	432.53	191.67	167.9	231.32	0.0	0.0	473.41
