	GTEX.SE5C.1026.SM.4BRUG	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AZ.6601.11A.01R.1774.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.5662.11A.01R.1653.07	GTEX.11P7K.1526.SM.5EGI7	GTEX.ZYFG.1926.SM.5GID5	GTEX.ZYFG.1826.SM.5GZWX	GTEX.WYVS.1126.SM.4SOJX	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.YEC3.2426.SM.5IFJR	GTEX.Y5LM.1526.SM.4VDTA	GTEX.1211K.1826.SM.5EGJ2	GTEX.ZA64.1426.SM.5CVMC	GTEX.ZGAY.2126.SM.4YCFB	GTEX.13QBU.2026.SM.5KLZB	GTEX.Y114.1626.SM.4TT7I	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y5LM.1426.SM.5RQJL	GTEX.O5YW.1426.SM.3MJHF	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.144GM.1626.SM.5O9AG	GTEX.12BJ1.1226.SM.5LUAE	GTEX.11P7K.0626.SM.5985Z	GTEX.11EQ9.1726.SM.5HL6U	TCGA.AH.6643.11A.01R.1830.07	TCGA.AG.3732.11A.01R.1660.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.S4Z8.1226.SM.4AD6W	GTEX.T5JC.1926.SM.4DM6Q	GTEX.P4PQ.1526.SM.3NMCK	GTEX.13O3Q.2126.SM.5KM4C	GTEX.Y114.1226.SM.4TT88	GTEX.1211K.1426.SM.5FQTF	GTEX.11P82.0726.SM.5PNYL	GTEX.13O61.1126.SM.5L3FI	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.11VI4.0326.SM.5EQ6L	GTEX.TKQ2.0926.SM.4DXU5	GTEX.S4P3.0726.SM.4AD57	GTEX.11EQ9.1226.SM.5987E	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UPIC.1826.SM.4IHKC	GTEX.UJHI.1026.SM.4IHJP	GTEX.PLZ6.0826.SM.3P61K	GTEX.13N1W.2026.SM.5K7YU	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG	GTEX.11P7K.1726.SM.5GU6F	GTEX.S7SF.0626.SM.4AD4V	GTEX.XPVG.1526.SM.4B66C
CMAS	753.83	825.0	808.0	718.08	1081.39	1225.22	540.19	1662.49	2701.35	1059.11	1073.91	981.29	1963.57	1685.71	2976.74	1159.07	1001.93	1806.78	1135.2	1111.82	2701.35	1427.22	1883.54	743.43	525.39	1183.45	1286.18	1216.75	1583.71	1104.13	1199.98	463.65	500.46	525.39	432.53	915.51	748.61	967.76	848.22	693.58	1051.79	551.56	836.53	669.92	915.51	748.61	559.28	536.45	463.65	540.19	1242.34	848.22	567.1	748.61	624.99	620.67	551.56	651.58	1081.39	1104.13	723.08
CNOT1	1594.73	1781.89	1617.0	1594.73	2209.26	2591.27	1477.58	2193.99	2895.31	2163.77	2004.85	2133.97	2816.11	2451.44	3395.89	2163.77	2090.03	2682.69	2004.85	1870.53	3303.0	2451.44	2555.58	1467.37	1844.76	2537.92	1757.34	1950.0	2209.26	2209.26	2240.11	1733.13	2032.85	1674.06	2061.24	1794.29	1909.85	1628.26	1277.29	1745.2	1769.57	1331.57	1857.6	1685.71	1844.76	1721.16	1923.14	1697.45	1963.57	1594.73	1583.71	1104.13	1674.06	1304.15	1697.45	1628.26	1733.13	2004.85	1745.2	2061.24	1857.6
COMMD4	1044.52	2335.28	988.12	1127.35	1378.57	1674.06	1286.18	1605.83	1896.65	1561.89	1350.18	1340.84	2209.26	2119.22	2502.97	1870.53	1674.06	2018.8	1896.65	1806.78	2209.26	2384.37	1572.76	934.76	1073.91	1088.92	1651.0	1498.22	1477.58	1268.46	1662.49	1175.27	988.12	1183.45	954.43	1250.98	1167.14	1295.13	1111.82	1457.23	1561.89	1127.35	1250.98	808.0	1233.75	1378.57	1096.5	1295.13	808.0	1104.13	1216.75	1208.34	1674.06	995.0	1313.23	753.83	1388.16	1407.55	1143.1	1388.16	1583.71
COPG2	532.74	890.44	708.18	642.59	532.74	563.18	638.15	656.11	733.19	599.49	583.07	708.18	514.56	796.86	718.08	612.11	587.13	599.49	679.29	525.39	713.11	679.29	872.1	361.04	389.72	866.07	743.43	830.75	620.67	718.08	656.11	332.14	426.57	441.64	511.0	603.67	323.03	447.82	511.0	318.57	529.06	587.13	500.46	307.69	366.09	281.09	684.02	457.25	320.8	242.88	414.87	327.56	264.03	366.09	277.2	289.02	301.33	339.14	441.64	713.11	339.14
COQ5	409.15	547.75	514.56	571.05	414.87	638.15	514.56	860.08	819.3	878.17	947.83	612.11	878.17	796.86	1066.48	629.35	540.19	802.41	591.22	503.95	954.43	713.11	728.11	363.56	244.57	708.18	723.08	642.59	660.68	642.59	490.14	293.07	373.81	373.81	316.37	363.56	371.22	435.55	334.46	205.5	379.04	327.56	435.55	325.29	358.54	366.09	414.87	397.93	271.48	249.73	490.14	212.78	406.31	525.39	371.22	226.54	307.69	267.73	287.01	457.25	403.5
CORO1B	1832.01	1540.37	1397.83	1709.26	2193.99	2451.44	1127.35	2163.77	4769.75	2271.4	2573.36	2193.99	4419.52	2915.45	5403.7	2400.97	2004.85	3443.31	1832.01	2591.27	5112.16	2682.69	3124.78	947.83	1175.27	3190.46	3982.99	3443.31	2061.24	1447.15	1594.73	981.29	813.63	808.0	780.44	1551.09	1037.29	1477.58	1044.52	1191.69	1977.24	1225.22	1331.57	1295.13	1081.39	1605.83	1359.57	1936.53	1059.11	1268.46	1572.76	1923.14	1378.57	1628.26	1250.98	642.59	1183.45	1457.23	1216.75	1819.35	1259.69
CPT2	229.72	320.8	297.17	277.2	325.29	511.0	115.97	587.13	1417.35	497.0	543.96	438.59	1225.22	896.64	1572.76	555.41	406.31	1216.75	612.11	624.99	1286.18	713.11	1030.12	99.43	134.3	381.68	497.0	392.44	633.73	332.14	371.22	334.46	173.85	269.6	253.23	320.8	251.48	497.0	256.78	341.51	314.17	264.03	297.17	249.73	353.59	341.51	279.14	348.71	193.01	199.85	265.87	309.83	426.57	226.54	351.14	115.16	323.03	303.44	329.84	466.88	334.46
CXorf56	279.14	232.94	323.03	305.55	277.2	314.17	175.07	356.05	336.79	348.71	412.0	305.55	339.14	314.17	339.14	400.71	373.81	454.09	435.55	403.5	361.04	454.09	334.46	297.17	244.57	420.68	457.25	414.87	400.71	332.14	291.04	269.6	220.32	251.48	258.57	277.2	201.25	125.24	193.01	336.79	285.03	281.09	332.14	206.94	265.87	299.25	346.29	182.55	186.4	173.85	267.73	217.27	307.69	229.72	287.01	134.3	232.94	223.41	273.37	205.5	301.33
DECR1	1151.06	1242.34	1096.5	1030.12	1551.09	2104.58	1111.82	2645.74	4419.52	2193.99	2319.15	2018.8	4095.0	3515.68	6037.61	2209.26	2104.58	3589.58	2400.97	2240.11	4575.41	2537.92	3212.66	1104.13	921.88	1199.98	2061.24	1721.16	2351.53	1819.35	1936.53	1183.45	1104.13	1104.13	1104.13	1388.16	1407.55	1721.16	1119.56	1208.34	1350.18	1151.06	1340.84	1081.39	1467.37	1583.71	1059.11	1159.07	559.28	967.76	1322.37	802.41	1127.35	981.29	941.27	708.18	1519.15	1066.48	1359.57	1427.22	1417.35
DHDDS	460.44	629.35	547.75	551.56	1066.48	1044.52	438.59	753.83	1923.14	819.3	813.63	791.35	1540.37	1066.48	2004.85	813.63	775.05	1378.57	738.29	872.1	2004.85	1096.5	1119.56	476.71	379.04	642.59	575.03	669.92	842.36	543.96	909.17	603.67	473.41	579.04	470.14	529.06	323.03	551.56	397.93	698.41	599.49	511.0	450.94	457.25	595.34	603.67	395.18	540.19	514.56	447.82	497.0	579.04	450.94	417.77	521.76	289.02	500.46	555.41	540.19	583.07	583.07
DOLPP1	132.44	129.69	111.21	100.13	178.77	361.04	64.34	384.34	1199.98	202.66	229.72	237.86	961.07	525.39	1437.15	320.8	182.55	642.59	177.53	166.73	1359.57	414.87	547.75	29.27	74.06	242.88	318.57	287.01	392.44	180.02	169.07	79.45	47.17	81.71	80.01	166.73	121.79	170.25	148.09	75.11	159.9	123.5	100.13	111.99	111.21	167.9	208.38	143.01	75.11	117.6	94.67	130.6	133.36	120.1	114.36	59.13	133.36	94.01	141.02	223.41	83.45
EBP	587.13	647.07	441.64	514.56	2178.83	2047.0	525.39	1407.55	3768.09	1111.82	988.12	1135.2	3955.48	3103.19	5366.37	1498.22	1216.75	2796.65	1175.27	1073.91	5555.65	2271.4	2796.65	237.86	423.61	1561.89	2682.69	2061.24	1037.29	591.22	1519.15	189.02	176.29	221.86	199.85	490.14	575.03	490.14	444.72	486.75	532.74	435.55	438.59	285.03	447.82	583.07	454.09	612.11	426.57	423.61	371.22	395.18	624.99	514.56	444.72	358.54	486.75	454.09	483.38	909.17	429.54
EHHADH	58.71	105.15	78.34	80.01	83.45	190.34	60.82	186.4	571.05	146.03	169.07	154.42	397.93	283.05	507.46	167.9	175.07	366.09	161.02	171.45	457.25	194.36	376.41	36.01	24.63	115.97	316.37	76.71	189.02	163.28	134.3	60.82	35.5	59.13	46.84	77.79	67.59	116.78	76.17	53.19	75.11	53.19	65.26	37.85	45.53	77.25	86.43	52.82	28.04	39.79	61.68	86.43	86.43	53.19	52.82	7.22	46.84	46.5	86.43	120.1	48.87
ERP29	1832.01	2485.67	2163.77	1733.13	2468.49	2609.3	2485.67	3395.89	3955.48	3212.66	3690.52	3349.13	4123.49	3540.14	4358.66	2384.37	2485.67	2997.45	2591.27	2875.3	3847.29	2976.74	3982.99	819.3	1233.75	3955.48	7857.29	5403.7	2976.74	2367.9	2777.33	1250.98	1259.69	1572.76	1487.87	1250.98	1561.89	1594.73	1628.26	1369.04	1769.57	1340.84	1709.26	1313.23	1819.35	1832.01	1685.71	1268.46	1417.35	1208.34	1572.76	1044.52	1923.14	1457.23	1447.15	1183.45	1378.57	1225.22	1617.0	1909.85	1605.83
FN3KRP	708.18	1151.06	909.17	967.76	830.75	974.5	1127.35	1135.2	941.27	764.36	802.41	830.75	1183.45	967.76	1111.82	656.11	638.15	934.76	902.89	909.17	1030.12	921.88	961.07	624.99	381.68	1159.07	1096.5	1191.69	854.13	1119.56	743.43	470.14	450.94	733.19	567.1	536.45	620.67	748.61	400.71	738.29	511.0	441.64	775.05	486.75	587.13	836.53	660.68	583.07	460.44	473.41	384.34	612.11	928.3	599.49	848.22	400.71	493.56	679.29	743.43	587.13	511.0
FUCA1	420.68	713.11	555.41	412.0	748.61	1304.15	234.57	1561.89	6699.25	1427.22	1151.06	1277.29	4769.75	2591.27	4769.75	1369.04	1191.69	3589.58	1088.92	1498.22	5112.16	1529.73	3303.0	244.57	346.29	2255.7	2119.22	1350.18	1883.54	808.0	1023.0	470.14	406.31	493.56	403.5	281.09	525.39	785.88	764.36	693.58	753.83	638.15	738.29	483.38	563.18	1104.13	988.12	669.92	320.8	363.56	555.41	587.13	587.13	988.12	612.11	256.78	371.22	503.95	854.13	988.12	543.96
GLB1	575.03	808.0	624.99	511.0	703.28	928.3	540.19	974.5	1628.26	872.1	825.0	743.43	1322.37	1081.39	1674.06	842.36	733.19	1191.69	713.11	928.3	1340.84	928.3	1208.34	348.71	339.14	1208.34	1151.06	995.0	842.36	738.29	718.08	713.11	507.46	543.96	525.39	503.95	483.38	575.03	514.56	571.05	595.34	435.55	420.68	483.38	409.15	638.15	624.99	551.56	341.51	371.22	536.45	540.19	503.95	603.67	493.56	381.68	497.0	500.46	441.64	559.28	444.72
GLE1	507.46	392.44	400.71	417.77	339.14	457.25	341.51	432.53	647.07	466.88	521.76	438.59	563.18	483.38	620.67	435.55	384.34	470.14	432.53	460.44	575.03	551.56	503.95	285.03	209.84	450.94	432.53	426.57	441.64	420.68	406.31	275.28	229.72	271.48	299.25	348.71	323.03	414.87	334.46	295.11	392.44	305.55	312.0	293.07	336.79	366.09	438.59	339.14	170.25	209.84	341.51	320.8	366.09	343.89	368.65	149.12	312.0	198.47	444.72	420.68	318.57
GMNN	178.77	412.0	201.25	129.69	307.69	941.27	116.78	733.19	1199.98	400.71	327.56	320.8	1378.57	1295.13	1857.6	397.93	236.21	1015.93	289.02	384.34	1508.65	688.78	1447.15	45.21	53.57	703.28	4736.79	1359.57	620.67	460.44	356.05	127.89	122.64	180.02	107.38	165.57	209.84	127.0	153.34	91.41	143.01	120.94	128.79	88.26	95.34	129.69	127.0	118.43	81.71	75.64	123.5	120.94	139.07	115.16	118.43	153.34	118.43	113.56	125.24	262.2	72.01
GSTZ1	351.14	341.51	271.48	224.97	351.14	518.15	204.07	599.49	1529.73	540.19	507.46	361.04	1369.04	775.05	1477.58	511.0	521.76	591.22	490.14	514.56	1529.73	698.41	967.76	91.41	277.2	718.08	1674.06	961.07	289.02	381.68	371.22	140.04	137.14	155.5	187.71	341.51	285.03	432.53	206.94	234.57	343.89	258.57	332.14	142.01	289.02	267.73	323.03	291.04	253.23	175.07	373.81	133.36	316.37	197.09	239.52	125.24	186.4	228.13	281.09	329.84	376.41
HDDC3	264.03	244.57	223.41	163.28	264.03	381.68	197.09	400.71	642.59	334.46	346.29	320.8	656.11	620.67	854.13	309.83	180.02	486.75	373.81	293.07	728.11	466.88	521.76	69.52	109.66	334.46	647.07	500.46	356.05	246.28	295.11	209.84	145.02	165.57	132.44	218.79	289.02	271.48	253.23	140.04	214.27	202.66	226.54	132.44	176.29	201.25	229.72	214.27	103.69	149.12	183.82	140.04	265.87	218.79	217.27	85.82	169.07	125.24	221.86	346.29	145.02
HMGB3	194.36	665.29	171.45	153.34	327.56	518.15	97.36	579.04	1583.71	295.11	260.38	320.8	1397.83	1096.5	1639.59	473.41	403.5	1143.1	366.09	361.04	1437.15	759.08	902.89	105.89	242.88	698.41	518.15	511.0	381.68	293.07	417.77	237.86	140.04	162.14	209.84	147.06	145.02	239.52	199.85	316.37	244.57	134.3	191.67	100.83	163.28	129.69	96.68	78.89	105.89	181.28	202.66	242.88	157.68	133.36	105.89	122.64	152.28	209.84	183.82	323.03	212.78
HMGCL	1051.79	866.07	934.76	866.07	836.53	1159.07	848.22	1313.23	2384.37	1369.04	1417.35	1199.98	2240.11	1674.06	3060.45	1199.98	928.3	1709.26	1295.13	1066.48	2032.85	1561.89	2004.85	575.03	540.19	1088.92	1457.23	1259.69	1111.82	1111.82	988.12	555.41	532.74	540.19	575.03	684.02	733.19	842.36	693.58	490.14	743.43	525.39	785.88	579.04	638.15	698.41	743.43	708.18	441.64	521.76	713.11	713.11	802.41	603.67	660.68	444.72	684.02	624.99	555.41	830.75	607.87
HMGCR	137.14	173.85	154.42	140.04	1417.35	595.34	134.3	480.04	1662.49	470.14	412.0	387.02	1015.93	733.19	1143.1	511.0	521.76	802.41	420.68	486.75	2682.69	629.35	954.43	153.34	208.38	395.18	583.07	291.04	325.29	346.29	967.76	202.66	191.67	172.65	172.65	182.55	170.25	295.11	229.72	283.05	289.02	251.48	162.14	264.03	275.28	353.59	255.0	348.71	241.19	273.37	218.79	193.01	236.21	303.44	239.52	265.87	307.69	253.23	314.17	518.15	199.85
IDH1	947.83	1487.87	981.29	1242.34	830.75	1991.0	273.37	1388.16	4769.75	1295.13	1216.75	1331.57	3768.09	2956.17	5147.73	1331.57	974.5	3515.68	928.3	1259.69	5255.91	1733.13	3349.13	133.36	314.17	3419.52	5711.87	3018.3	1151.06	1111.82	1191.69	397.93	303.44	305.55	291.04	854.13	656.11	759.08	656.11	327.56	866.07	616.37	543.96	412.0	454.09	1008.9	830.75	728.11	450.94	473.41	521.76	547.75	599.49	808.0	559.28	211.31	567.1	444.72	665.29	1832.01	518.15
KDM4A	173.85	341.51	316.37	285.03	327.56	466.88	264.03	400.71	836.53	441.64	454.09	540.19	616.37	543.96	775.05	417.77	366.09	551.56	356.05	397.93	738.29	470.14	708.18	244.57	166.73	507.46	583.07	397.93	483.38	447.82	341.51	234.57	176.29	229.72	242.88	358.54	283.05	314.17	327.56	212.78	267.73	285.03	281.09	255.0	291.04	341.51	503.95	229.72	165.57	158.79	223.41	299.25	277.2	305.55	287.01	135.24	281.09	332.14	426.57	414.87	264.03
KIF22	283.05	866.07	361.04	381.68	514.56	785.88	251.48	860.08	1208.34	591.22	575.03	656.11	1628.26	1313.23	1467.37	708.18	728.11	1066.48	587.13	587.13	1551.09	1119.56	1268.46	277.2	277.2	688.78	1119.56	878.17	1015.93	559.28	928.3	271.48	334.46	314.17	314.17	341.51	426.57	480.04	423.61	323.03	503.95	438.59	373.81	231.32	466.88	480.04	447.82	246.28	312.0	221.86	305.55	275.28	507.46	275.28	435.55	183.82	341.51	309.83	563.18	532.74	480.04
LCMT1	555.41	591.22	563.18	638.15	708.18	808.0	555.41	928.3	1417.35	785.88	909.17	830.75	1277.29	909.17	1498.22	780.44	698.41	947.83	775.05	703.28	1242.34	825.0	974.5	387.02	361.04	660.68	947.83	995.0	928.3	753.83	728.11	432.53	400.71	438.59	409.15	429.54	575.03	624.99	703.28	381.68	638.15	529.06	647.07	358.54	379.04	497.0	463.65	417.77	363.56	406.31	540.19	429.54	426.57	432.53	420.68	273.37	403.5	417.77	529.06	503.95	429.54
MRPL44	376.41	412.0	412.0	346.29	412.0	480.04	358.54	507.46	830.75	567.1	551.56	511.0	660.68	620.67	909.17	551.56	460.44	669.92	529.06	595.34	785.88	591.22	674.59	256.78	229.72	656.11	575.03	647.07	514.56	466.88	406.31	339.14	255.0	281.09	316.37	318.57	309.83	417.77	320.8	387.02	339.14	226.54	348.71	256.78	371.22	356.05	379.04	366.09	234.57	373.81	376.41	351.14	384.34	267.73	318.57	226.54	341.51	232.94	366.09	486.75	373.81
MYH11	479109.86	391864.76	492579.5	453265.5	373305.21	128373.58	925580.18	212926.09	24321.43	102125.66	122293.5	104271.56	23986.58	40904.3	2271.4	83528.61	135693.24	42054.3	120609.84	111755.56	1250.98	59887.86	57051.4	839981.65	299043.36	241220.67	170568.48	299043.36	128373.58	400098.69	170568.48	425853.18	411347.03	336441.4	417089.23	517068.97	414208.18	405683.88	527933.71	721179.07	513497.31	368165.8	456418.21	606436.73	857631.47	462789.59	561916.97	425853.18	520665.48	290865.98	682276.92	411347.03	577714.63	360589.03	527933.71	417089.23	428815.23	565825.41	466008.55	381149.17	696613.03
NIPSNAP1	426.57	339.14	303.44	332.14	395.18	693.58	373.81	483.38	1037.29	503.95	567.1	647.07	1088.92	1023.0	1467.37	633.73	473.41	825.0	514.56	525.39	1225.22	693.58	1088.92	127.0	190.34	1119.56	1167.14	769.69	438.59	698.41	629.35	166.73	173.85	202.66	201.25	325.29	341.51	312.0	371.22	221.86	381.68	295.11	253.23	215.77	218.79	329.84	450.94	285.03	178.77	147.06	285.03	204.07	414.87	329.84	258.57	166.73	218.79	229.72	279.14	463.65	218.79
NUP37	291.04	476.71	376.41	353.59	293.07	346.29	267.73	384.34	441.64	423.61	466.88	392.44	463.65	529.06	483.38	447.82	417.77	426.57	463.65	363.56	417.77	518.15	400.71	237.86	181.28	571.05	438.59	567.1	397.93	429.54	353.59	246.28	212.78	251.48	248.0	289.02	258.57	441.64	327.56	226.54	314.17	299.25	373.81	208.38	287.01	334.46	320.8	299.25	167.9	195.72	358.54	277.2	309.83	309.83	303.44	91.41	234.57	297.17	320.8	395.18	258.57
