	GTEX.W5X1.2326.SM.3GIL6	GTEX.TML8.1226.SM.32QON	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.144GM.1326.SM.5LU5E	GTEX.YEC4.0826.SM.5P9FV	GTEX.14753.1626.SM.5NQ9L	GTEX.RWSA.1426.SM.47JXA	TCGA.38.4625.01A.01R.1206.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13U4I.1426.SM.5J2M3	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.13N11.0326.SM.5LUA3	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.QDT8.0926.SM.32PL2	GTEX.YEC3.0226.SM.5IFJO	GTEX.U3ZH.0526.SM.3DB75	GTEX.WFON.0426.SM.3GIL4	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.P78B.0926.SM.2I5FA	GTEX.13PL7.1726.SM.5J2NX	GTEX.XQ3S.0926.SM.4BOPI	GTEX.X4LF.0526.SM.3NMB6	GTEX.W5X1.0526.SM.3GILH	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.QMRM.0826.SM.3NB33
CDC23	854.13	842.36	208.38	181.28	206.94	142.01	78.89	0.0	242.88	301.33	397.93	273.37	409.15	307.69	253.23	316.37	305.55	381.68	351.14	703.28	318.57	343.89	173.85	591.22	444.72	470.14	638.15	348.71	854.13	633.73	400.71	334.46	232.94	429.54	283.05	231.32	500.46	718.08	316.37	351.14	260.38	423.61	381.68	587.13
CDC40	1437.15	525.39	106.63	147.06	101.54	102.97	104.42	0.0	165.57	194.36	277.2	190.34	277.2	232.94	199.85	186.4	236.21	267.73	283.05	397.93	244.57	265.87	176.29	343.89	291.04	420.68	435.55	251.48	441.64	397.93	275.28	177.53	158.79	287.01	193.01	127.0	318.57	507.46	220.32	229.72	185.11	291.04	258.57	423.61
CDK13	872.1	748.61	124.37	202.66	177.53	122.64	231.32	0.0	356.05	228.13	406.31	307.69	555.41	273.37	264.03	406.31	483.38	466.88	400.71	890.44	414.87	275.28	155.5	409.15	379.04	775.05	651.58	353.59	947.83	389.72	361.04	403.5	206.94	547.75	373.81	232.94	441.64	559.28	397.93	289.02	149.12	379.04	493.56	536.45
CDKL3	417.77	72.52	10.47	2.25	15.68	19.25	21.01	0.0	30.34	58.3	120.1	60.39	52.45	34.75	27.25	65.72	79.45	70.01	87.03	148.09	98.73	59.13	27.64	90.77	67.12	131.51	205.5	30.78	113.56	135.24	72.52	63.45	37.59	78.34	70.01	32.36	78.34	205.5	67.12	96.68	73.03	92.7	32.82	61.68
CENPJ	267.73	127.89	13.62	6.84	8.85	6.78	18.97	0.0	27.84	49.91	64.34	36.79	140.04	44.25	18.43	70.01	75.11	90.14	127.0	177.53	117.6	63.0	31.45	113.56	64.8	185.11	228.13	79.45	199.85	182.55	87.03	58.71	23.76	97.36	65.72	56.68	87.65	120.94	145.02	48.52	66.18	98.04	114.36	79.45
CLK4	1467.37	1066.48	40.64	126.12	175.07	85.22	163.28	0.0	147.06	169.07	209.84	161.02	688.78	260.38	178.77	211.31	540.19	503.95	571.05	884.29	674.59	281.09	89.51	417.77	642.59	753.83	743.43	466.88	1081.39	693.58	607.87	414.87	186.4	493.56	218.79	126.12	796.86	764.36	463.65	283.05	218.79	480.04	361.04	595.34
CMTR2	656.11	493.56	90.14	80.57	110.43	36.53	73.03	0.0	258.57	177.53	299.25	185.11	441.64	228.13	66.65	231.32	255.0	441.64	325.29	529.06	318.57	242.88	130.6	414.87	305.55	854.13	473.41	301.33	529.06	400.71	283.05	214.27	109.66	329.84	218.79	94.67	316.37	551.56	320.8	242.88	125.24	249.73	353.59	438.59
DCAF17	490.14	275.28	29.27	29.48	68.55	32.82	14.03	0.0	68.55	73.03	93.35	62.56	153.34	71.5	68.55	80.57	87.03	162.14	129.69	236.21	85.22	63.45	57.89	127.0	97.36	229.72	277.2	93.35	275.28	148.09	127.0	108.14	53.95	149.12	71.5	48.52	113.56	231.32	79.45	96.01	68.55	94.67	153.34	158.79
DCP1B	848.22	521.76	135.24	50.98	70.51	52.08	40.36	122.64	78.34	223.41	241.19	147.06	351.14	187.71	48.18	164.42	376.41	325.29	346.29	450.94	248.0	224.97	59.97	221.86	283.05	518.15	647.07	204.07	1088.92	403.5	336.79	201.25	92.05	400.71	183.82	118.43	256.78	426.57	205.5	246.28	112.77	371.22	208.38	395.18
DFFB	117.6	119.26	13.42	20.86	23.08	50.98	11.55	0.0	35.25	45.21	88.88	68.07	103.69	57.08	30.12	73.03	81.14	98.04	81.14	155.5	81.71	72.52	29.06	90.77	116.78	145.02	135.24	78.34	130.6	56.68	81.14	57.08	28.04	128.79	75.64	35.25	87.65	127.0	101.54	75.11	88.88	115.16	90.14	77.25
DYNC2LI1	1457.23	1066.48	90.14	198.47	85.22	110.43	95.34	291.04	567.1	579.04	529.06	332.14	665.29	507.46	279.14	620.67	633.73	713.11	738.29	708.18	579.04	511.0	283.05	693.58	679.29	1417.35	1457.23	638.15	1277.29	1135.2	620.67	629.35	305.55	647.07	559.28	529.06	665.29	1066.48	575.03	423.61	599.49	532.74	571.05	753.83
EXOC1	1066.48	974.5	44.57	70.51	100.13	38.95	98.04	0.0	299.25	323.03	493.56	293.07	708.18	305.55	176.29	343.89	555.41	529.06	521.76	941.27	713.11	325.29	177.53	669.92	579.04	738.29	1135.2	409.15	1135.2	748.61	591.22	460.44	299.25	607.87	400.71	299.25	713.11	921.88	366.09	435.55	325.29	476.71	532.74	688.78
FBXO48	67.59	45.21	11.3	10.71	9.7	19.97	8.25	0.0	9.78	14.67	14.14	6.94	28.86	15.0	4.9	16.63	22.59	32.59	27.64	37.59	14.24	15.8	10.47	35.0	14.67	38.4	39.5	15.68	56.68	29.91	22.75	36.53	16.88	28.65	6.31	21.32	24.99	46.18	21.32	13.12	11.55	19.25	17.64	27.44
GIMAP2	1551.09	808.0	88.88	40.93	89.51	79.45	53.95	0.0	63.45	303.44	299.25	113.56	1498.22	287.01	20.41	193.01	563.18	947.83	500.46	1304.15	620.67	318.57	93.35	633.73	480.04	974.5	1857.6	260.38	974.5	348.71	444.72	518.15	135.24	1417.35	149.12	97.36	575.03	2255.7	336.79	409.15	76.71	830.75	426.57	854.13
GPALPP1	728.11	775.05	78.89	72.01	63.0	90.77	62.12	0.0	198.47	277.2	242.88	158.79	403.5	204.07	154.42	191.67	170.25	368.65	299.25	384.34	356.05	166.73	181.28	387.02	351.14	493.56	460.44	260.38	603.67	384.34	339.14	299.25	175.07	334.46	234.57	217.27	318.57	612.11	318.57	273.37	176.29	228.13	426.57	532.74
GTF3C3	802.41	647.07	81.14	78.89	132.44	52.82	89.51	346.29	279.14	242.88	273.37	248.0	371.22	281.09	279.14	234.57	242.88	371.22	289.02	384.34	353.59	295.11	176.29	395.18	336.79	384.34	493.56	379.04	403.5	480.04	336.79	221.86	199.85	351.14	255.0	137.14	371.22	507.46	281.09	366.09	195.72	318.57	303.44	387.02
INTS8	1322.37	693.58	98.73	118.43	116.78	96.01	56.68	0.0	185.11	198.47	214.27	265.87	521.76	208.38	121.79	303.44	389.72	389.72	299.25	769.69	426.57	220.32	172.65	423.61	395.18	603.67	1119.56	366.09	947.83	450.94	500.46	262.2	212.78	532.74	231.32	237.86	287.01	796.86	384.34	228.13	228.13	346.29	466.88	414.87
IRAK4	599.49	674.59	36.01	197.09	158.79	60.82	93.35	0.0	201.25	189.02	176.29	159.9	409.15	144.01	167.9	226.54	273.37	191.67	438.59	486.75	249.73	236.21	121.79	323.03	339.14	273.37	551.56	242.88	571.05	379.04	256.78	202.66	129.69	234.57	221.86	180.02	536.45	669.92	297.17	220.32	150.17	341.51	201.25	409.15
JRKL	688.78	493.56	23.42	7.22	14.24	11.91	6.84	0.0	73.54	99.43	120.94	84.63	173.85	96.68	16.51	92.05	129.69	190.34	151.22	224.97	141.02	75.64	73.03	199.85	132.44	223.41	248.0	142.01	231.32	169.07	182.55	92.05	45.85	185.11	84.63	38.12	108.14	273.37	130.6	98.73	65.72	105.89	136.19	199.85
KCTD6	1745.2	529.06	89.51	92.05	62.12	33.54	53.57	0.0	91.41	67.59	119.26	91.41	197.09	83.45	94.67	145.02	202.66	171.45	130.6	447.82	163.28	103.69	55.89	165.57	223.41	277.2	423.61	135.24	457.25	183.82	143.01	57.89	108.14	176.29	134.3	98.73	198.47	226.54	173.85	130.6	78.34	119.26	129.69	237.86
KCTD7	444.72	500.46	23.59	31.0	14.35	14.14	4.9	0.0	115.97	105.15	94.67	92.05	323.03	158.79	97.36	139.07	118.43	237.86	166.73	287.01	137.14	115.97	127.0	141.02	120.1	329.84	267.73	96.01	514.56	190.34	176.29	181.28	72.52	236.21	65.26	81.71	142.01	271.48	155.5	115.16	108.14	108.14	239.52	281.09
KIAA0087	5.77	4.31	0.0	0.0	0.0	0.0	0.0	0.0	1.77	2.18	0.38	0.38	6.06	2.36	0.64	1.1	1.83	4.43	2.01	9.93	3.06	1.3	0.39	3.14	1.5	7.11	9.56	0.64	7.94	1.27	1.87	2.16	0.64	4.17	0.65	0.39	1.89	5.96	1.71	1.68	0.62	2.07	3.0	6.36
KIAA1009	460.44	231.32	3.41	16.63	15.34	18.7	7.22	0.0	67.12	85.22	97.36	60.39	171.45	96.01	41.22	120.1	94.67	133.36	113.56	283.05	141.02	74.58	48.18	146.03	132.44	265.87	281.09	101.54	299.25	126.12	130.6	105.89	55.1	185.11	94.67	67.12	157.68	371.22	118.43	72.01	92.05	127.0	152.28	169.07
KIAA1551	1331.57	1378.57	197.09	256.78	366.09	591.22	293.07	0.0	343.89	206.94	525.39	251.48	603.67	255.0	193.01	457.25	753.83	591.22	813.63	1175.27	825.0	435.55	140.04	642.59	669.92	995.0	1781.89	379.04	967.76	733.19	457.25	403.5	251.48	718.08	223.41	187.71	693.58	775.05	656.11	536.45	209.84	607.87	341.51	878.17
KRIT1	1073.91	1023.0	57.89	104.42	147.06	78.89	97.36	0.0	329.84	414.87	376.41	277.2	507.46	543.96	269.6	587.13	529.06	486.75	493.56	723.08	447.82	470.14	256.78	563.18	599.49	629.35	872.1	507.46	780.44	638.15	571.05	441.64	299.25	514.56	346.29	183.82	728.11	1225.22	511.0	353.59	339.14	571.05	503.95	872.1
LRRC69	8.32	53.19	0.0	2.41	1.71	0.0	4.54	0.0	6.62	2.1	6.89	8.65	24.81	0.41	2.48	12.83	7.4	16.51	0.97	52.82	9.27	6.46	6.62	30.34	19.25	23.25	17.38	5.68	30.34	16.88	10.63	13.12	2.07	38.4	20.11	8.38	25.91	53.95	16.03	11.55	14.03	7.82	12.55	24.11
LTN1	555.41	642.59	33.54	96.01	81.71	29.91	65.72	0.0	157.68	99.43	128.79	115.16	175.07	176.29	119.26	107.38	120.1	198.47	156.59	197.09	139.07	116.78	94.01	211.31	145.02	241.19	358.54	191.67	226.54	264.03	178.77	127.89	74.58	129.69	136.19	43.32	197.09	260.38	185.11	147.06	81.71	136.19	133.36	291.04
MDM1	656.11	480.04	26.1	12.93	50.27	21.01	26.47	0.0	82.29	80.01	117.6	103.69	249.73	99.43	57.89	152.28	151.22	185.11	199.85	293.07	173.85	139.07	126.12	159.9	185.11	279.14	273.37	152.28	381.68	205.5	158.79	111.21	64.8	198.47	152.28	61.25	208.38	325.29	241.19	124.37	96.68	220.32	157.68	291.04
MED17	2061.24	759.08	94.01	140.04	151.22	86.43	221.86	0.0	281.09	226.54	454.09	239.52	567.1	297.17	228.13	414.87	536.45	563.18	420.68	620.67	493.56	316.37	165.57	493.56	547.75	836.53	713.11	435.55	813.63	575.03	463.65	323.03	118.43	665.29	305.55	116.78	432.53	575.03	460.44	336.79	256.78	373.81	476.71	738.29
METTL4	607.87	348.71	31.67	27.84	53.19	36.79	30.78	0.0	136.19	111.21	237.86	158.79	217.27	101.54	77.79	212.78	130.6	162.14	127.0	237.86	135.24	140.04	59.97	248.0	130.6	281.09	229.72	154.42	217.27	132.44	145.02	70.51	45.21	182.55	169.07	72.01	195.72	346.29	218.79	96.68	100.83	140.04	224.97	239.52
MITD1	1540.37	1111.82	110.43	209.84	177.53	162.14	133.36	0.0	195.72	312.0	493.56	336.79	842.36	215.77	108.9	444.72	607.87	503.95	647.07	1037.29	819.3	320.8	325.29	633.73	497.0	866.07	974.5	457.25	878.17	698.41	521.76	429.54	236.21	1015.93	316.37	358.54	748.61	1191.69	571.05	392.44	271.48	500.46	420.68	518.15
MSANTD2	483.38	389.72	12.27	28.45	22.75	14.35	39.5	0.0	60.39	51.35	163.28	81.71	291.04	70.51	76.17	86.43	167.9	186.4	122.64	507.46	181.28	87.65	54.72	193.01	215.77	363.56	237.86	119.26	450.94	154.42	183.82	146.03	39.5	320.8	105.15	128.79	221.86	281.09	159.9	72.01	56.28	141.02	148.09	220.32
MSANTD4	995.0	299.25	34.51	120.94	35.76	6.89	5.92	117.6	187.71	176.29	177.53	122.64	149.12	128.79	93.35	82.29	221.86	220.32	229.72	358.54	186.4	163.28	96.01	255.0	291.04	239.52	320.8	214.27	209.84	397.93	206.94	361.04	133.36	241.19	99.43	90.14	226.54	371.22	217.27	189.02	99.43	170.25	166.73	353.59
MTERFD2	1159.07	866.07	379.04	283.05	363.56	435.55	204.07	0.0	447.82	733.19	607.87	612.11	1104.13	647.07	518.15	693.58	819.3	1066.48	1059.11	1023.0	860.08	738.29	358.54	848.22	665.29	947.83	1030.12	718.08	1051.79	500.46	802.41	872.1	532.74	656.11	743.43	325.29	954.43	1208.34	1037.29	890.44	647.07	896.64	890.44	1277.29
MTIF3	2627.46	2104.58	575.03	775.05	848.22	961.07	738.29	0.0	713.11	896.64	1151.06	884.29	1477.58	753.83	211.31	1286.18	1477.58	1286.18	1359.57	1467.37	1594.73	748.61	493.56	1388.16	1216.75	1594.73	1832.01	1216.75	1963.57	1417.35	1111.82	1044.52	571.05	1605.83	854.13	587.13	1350.18	2209.26	1340.84	947.83	693.58	1259.69	878.17	1331.57
N4BP2L2	2720.15	3146.52	181.28	255.0	320.8	309.83	316.37	0.0	915.51	1151.06	860.08	665.29	2537.92	1304.15	559.28	2319.15	1340.84	2193.99	1709.26	2956.17	1733.13	1051.79	368.65	2434.5	1757.34	2645.74	3235.01	1651.0	3419.52	2209.26	1529.73	1832.01	503.95	2777.33	1250.98	473.41	2591.27	3589.58	1250.98	1051.79	1295.13	1733.13	2163.77	2133.97
N6AMT1	283.05	277.2	61.25	22.92	43.94	29.06	28.45	0.0	63.45	84.04	96.68	96.68	157.68	91.41	12.64	91.41	127.89	193.01	120.94	135.24	156.59	85.22	60.82	157.68	123.5	206.94	194.36	108.9	181.28	169.07	189.02	113.56	45.53	175.07	74.58	44.89	135.24	226.54	165.57	94.67	121.79	125.24	135.24	176.29
NMNAT3	647.07	273.37	73.03	10.63	26.86	73.03	17.51	0.0	72.52	144.01	79.45	45.53	193.01	171.45	25.72	162.14	212.78	84.63	99.43	325.29	110.43	55.1	19.53	103.69	165.57	543.96	205.5	105.89	409.15	198.47	163.28	165.57	18.56	118.43	120.1	83.45	224.97	303.44	126.12	88.26	120.1	75.11	90.14	281.09
PCMTD2	1757.34	1378.57	193.01	305.55	236.21	215.77	116.78	447.82	435.55	629.35	483.38	236.21	909.17	708.18	356.05	769.69	651.58	819.3	872.1	1143.1	775.05	595.34	201.25	848.22	656.11	1268.46	872.1	559.28	1369.04	629.35	723.08	497.0	309.83	780.44	669.92	339.14	836.53	1001.93	708.18	480.04	514.56	1216.75	825.0	1044.52
PHF11	2032.85	1844.76	271.48	231.32	320.8	161.02	356.05	0.0	579.04	563.18	884.29	511.0	1388.16	320.8	470.14	679.29	854.13	1066.48	988.12	2032.85	1437.15	571.05	633.73	1104.13	872.1	1977.24	4010.71	785.88	2520.38	1159.07	947.83	708.18	587.13	1721.16	674.59	507.46	1127.35	2434.5	796.86	728.11	555.41	902.89	1015.93	1259.69
POLI	1909.85	842.36	21.32	40.93	40.36	33.78	49.21	0.0	152.28	151.22	332.14	167.9	395.18	182.55	114.36	361.04	339.14	454.09	258.57	447.82	285.03	215.77	56.28	373.81	299.25	642.59	941.27	325.29	872.1	684.02	381.68	305.55	122.64	503.95	293.07	143.01	444.72	866.07	224.97	214.27	327.56	346.29	228.13	409.15
RBM5	3665.02	2895.31	242.88	591.22	629.35	507.46	514.56	0.0	954.43	647.07	579.04	733.19	2915.45	909.17	1427.22	995.0	1322.37	1745.2	1794.29	3690.52	1583.71	1143.1	718.08	1397.83	1551.09	3419.52	4358.66	1242.34	4639.29	1529.73	1662.49	2004.85	1030.12	2018.8	1191.69	961.07	1572.76	3103.19	1605.83	813.63	1051.79	1457.23	2555.58	1733.13
RCBTB2	688.78	836.53	63.45	54.72	58.3	46.5	83.45	0.0	137.14	161.02	277.2	128.79	642.59	198.47	97.36	209.84	248.0	305.55	309.83	769.69	285.03	206.94	68.55	260.38	297.17	567.1	753.83	269.6	679.29	234.57	204.07	141.02	66.65	591.22	205.5	127.89	341.51	748.61	237.86	194.36	147.06	301.33	341.51	432.53
SASS6	114.36	86.43	4.98	14.24	6.36	2.16	3.5	0.0	14.56	19.11	22.92	13.32	32.82	18.56	8.58	24.81	40.07	50.63	33.54	64.8	39.5	22.26	7.57	38.67	23.93	59.97	73.54	27.25	78.34	62.56	43.63	24.28	15.56	46.5	19.39	19.53	31.67	63.45	42.11	15.68	24.28	30.78	34.51	56.28
SENP7	836.53	612.11	15.91	27.84	69.03	18.84	44.89	0.0	102.25	146.03	140.04	82.87	285.03	164.42	82.29	162.14	165.57	208.38	237.86	511.0	251.48	126.12	75.64	246.28	206.94	329.84	483.38	241.19	403.5	275.28	283.05	149.12	129.69	181.28	208.38	87.03	316.37	438.59	182.55	127.89	156.59	177.53	182.55	429.54
SETDB2	620.67	309.83	36.01	28.45	40.64	36.01	20.71	0.0	87.65	105.89	126.12	84.04	275.28	117.6	20.26	123.5	153.34	221.86	223.41	244.57	199.85	113.56	36.01	236.21	189.02	186.4	234.57	165.57	285.03	217.27	177.53	153.34	57.49	318.57	94.67	49.91	217.27	373.81	131.51	112.77	84.63	258.57	158.79	155.5
SFTPC	5.54	0.33	65.26	4.43	0.0	3.99	1.45	64186.29	2.880867455E7	2.051249903E7	5.882801313E7	1.748967224E7	1.381756339E7	7.92550749E7	3.402283342E7	4.811555286E7	3.174442598E7	3.003205688E7	2.706640506E7	2359417.65	4.188702152E7	3.130739107E7	2.4225111E7	2.880867455E7	2.542950323E7	15392.14	271387.49	5.761735011E7	2025714.3	3.801327429E7	2.260282772E7	4.878722096E7	3.72309724E7	1.106883362E7	2.49061716E7	1.430483875E7	2.706640506E7	1.410789979E7	2.525384881E7	5.228884881E7	1.0826562323E8	3.109113511E7	6.17527469E7	1.391367215E7
SLC13A4	80.57	52.82	0.0	0.13	2.89	1.33	2.53	0.0	9.34	6.78	14.45	19.68	12.0	7.0	2.63	28.04	38.4	24.81	18.29	31.9	27.44	12.83	5.11	31.22	30.34	48.87	18.7	13.72	139.07	18.97	17.9	21.47	9.93	14.45	12.27	10.63	49.21	70.51	42.41	5.5	11.13	18.03	33.06	12.74
SLC25A40	476.71	381.68	76.17	27.84	78.34	154.42	34.51	158.79	143.01	159.9	206.94	108.9	237.86	130.6	45.21	180.02	148.09	214.27	244.57	316.37	217.27	156.59	148.09	287.01	167.9	363.56	518.15	183.82	483.38	438.59	262.2	221.86	65.26	307.69	77.79	140.04	253.23	493.56	177.53	116.78	146.03	228.13	231.32	320.8
SMC6	620.67	356.05	49.56	83.45	135.24	70.51	204.07	0.0	84.04	122.64	135.24	111.99	264.03	155.5	58.71	142.01	155.5	260.38	141.02	500.46	215.77	123.5	67.59	316.37	144.01	432.53	579.04	158.79	579.04	336.79	234.57	88.88	67.59	327.56	143.01	97.36	172.65	373.81	194.36	182.55	120.1	157.68	297.17	269.6
SUPT20H	1051.79	802.41	87.65	106.63	138.1	63.45	61.25	0.0	309.83	500.46	555.41	346.29	848.22	387.02	218.79	559.28	363.56	759.08	587.13	1008.9	551.56	358.54	432.53	629.35	656.11	1135.2	1127.35	559.28	848.22	595.34	612.11	902.89	540.19	791.35	373.81	334.46	624.99	884.29	540.19	490.14	463.65	536.45	607.87	748.61
SUV420H1	1457.23	1277.29	111.99	177.53	295.11	124.37	279.14	0.0	547.75	314.17	529.06	289.02	674.59	563.18	373.81	571.05	379.04	595.34	529.06	796.86	540.19	480.04	172.65	607.87	587.13	842.36	1208.34	532.74	1259.69	503.95	579.04	567.1	211.31	540.19	511.0	170.25	591.22	961.07	429.54	463.65	420.68	366.09	511.0	738.29
SWT1	283.05	121.79	21.47	22.1	36.53	22.92	16.27	0.0	46.5	59.97	63.45	38.4	90.14	88.88	30.12	123.5	73.54	109.66	87.65	101.54	62.12	54.33	24.81	88.26	80.57	125.24	123.5	81.71	115.97	74.06	67.12	45.85	34.26	105.15	52.45	27.84	105.89	145.02	71.5	59.97	67.12	60.82	101.54	120.94
