	TCGA.AC.A2QH.01A.11R.A18M.07	TCGA.A7.A26I.01B.06R.A22O.07	TCGA.BH.A0BW.01A.11R.A115.07	TCGA.2H.A9GN.01A.11R.A37I.31	GTEX.11WQK.2226.SM.5CVL7	TCGA.78.7161.01A.11R.2039.07	TCGA.44.2668.01A.01R.A278.07	TCGA.50.5932.01A.11R.1755.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.99.7458.01A.11R.2039.07	TCGA.55.6970.01A.11R.1949.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.P4QT.0526.SM.2I3EX	GTEX.SNOS.0426.SM.32PMH	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.12WSN.0626.SM.5BC61	GTEX.R55G.0826.SM.2TC5U	GTEX.11EMC.0126.SM.5EGKV	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.XGQ4.0826.SM.4AT4T	GTEX.1399S.1726.SM.5L3DI	GTEX.11TT1.1626.SM.5EQL7	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.11LCK.0426.SM.5A5M8	GTEX.11OF3.1126.SM.5986C	TCGA.BK.A26L.01A.11R.A277.07
CLN3	307.69	563.18	860.08	518.15	406.31	1359.57	454.09	1639.59	961.07	921.88	1745.2	1340.84	2104.58	1769.57	728.11	2148.82	1806.78	1870.53	1498.22	1233.75	2004.85	819.3	1991.0	1697.45	1457.23	848.22	3491.39	1709.26	2163.77	1909.85	2104.58	2075.59	1870.53	1806.78	1794.29	1832.01	2163.77	397.93	387.02
CYB5D2	353.59	76.17	150.17	104.42	133.36	277.2	183.82	183.82	0.1	228.13	299.25	656.11	981.29	708.18	258.57	470.14	201.25	567.1	325.29	457.25	595.34	228.13	660.68	358.54	480.04	318.57	947.83	473.41	743.43	239.52	400.71	854.13	285.03	547.75	764.36	403.5	323.03	167.9	118.43
DHRS4	253.23	348.71	264.03	503.95	201.25	842.36	473.41	476.71	0.49	620.67	748.61	961.07	1313.23	1044.52	239.52	1963.57	1259.69	1844.76	1417.35	934.76	1407.55	642.59	1721.16	780.44	1295.13	693.58	1286.18	1268.46	1769.57	1044.52	1583.71	1936.53	1870.53	1651.0	1216.75	1331.57	1216.75	301.33	180.02
DHRS4L2	127.0	177.53	255.0	334.46	265.87	559.28	403.5	312.0	0.42	444.72	426.57	616.37	1015.93	463.65	181.28	1286.18	642.59	723.08	1044.52	511.0	1277.29	555.41	1127.35	444.72	1023.0	384.34	764.36	819.3	819.3	785.88	1111.82	1617.0	1286.18	954.43	988.12	842.36	813.63	285.03	232.94
DNASE2	381.68	441.64	1487.87	351.14	241.19	708.18	967.76	819.3	164.42	1369.04	1167.14	1709.26	2537.92	1896.65	836.53	1963.57	1685.71	2209.26	1857.6	1605.83	2240.11	1183.45	2104.58	1651.0	1572.76	1001.93	2591.27	2075.59	2061.24	1963.57	2287.2	2367.9	1733.13	2502.97	2255.7	2555.58	2119.22	728.11	769.69
DPEP2	26.28	39.79	50.63	16.15	8.78	23.08	50.27	47.17	0.17	108.9	132.44	514.56	620.67	748.61	102.97	728.11	307.69	1519.15	503.95	293.07	376.41	339.14	796.86	1008.9	1191.69	159.9	1277.29	460.44	595.34	403.5	1628.26	1001.93	878.17	620.67	748.61	813.63	808.0	113.56	17.38
FAM167A	3.59	137.14	5.36	47.5	3.41	55.89	41.81	93.35	73.54	96.01	47.17	366.09	1572.76	2468.49	426.57	896.64	406.31	769.69	397.93	1583.71	500.46	301.33	543.96	612.11	830.75	529.06	460.44	441.64	1135.2	441.64	723.08	211.31	854.13	152.28	878.17	154.42	536.45	224.97	100.13
FCGRT	3540.14	2133.97	1551.09	2468.49	1216.75	2997.45	1896.65	3690.52	0.95	3419.52	2502.97	6607.01	11189.6	8778.97	5594.3	8718.32	4123.49	10225.32	5255.91	2520.38	10296.45	5403.7	9673.69	7130.55	7081.29	4671.57	8718.32	9474.59	5076.84	2520.38	10659.59	17197.56	9279.58	11267.44	8078.22	6840.04	4010.71	2835.7	2090.03
FDFT1	785.88	2976.74	1870.53	2367.9	1806.78	1991.0	878.17	2240.11	0.53	2915.45	1806.78	4836.35	5913.33	4903.87	2720.15	3665.02	3564.78	4328.55	6381.92	3515.68	4937.99	6164.49	5594.3	10296.45	4836.35	7382.04	8421.31	4903.87	4836.35	5517.27	5219.6	5366.37	9409.14	7230.1	3564.78	9151.82	8538.88	3515.68	1628.26
GABARAP	7180.15	9409.14	7966.99	6935.54	9673.69	15715.58	5183.54	16843.62	693.58	13306.94	15934.98	23820.89	29943.43	18689.27	9025.81	17558.94	16960.78	26614.89	20170.07	15499.21	21172.91	18560.17	29531.18	22380.2	23986.58	15607.02	26067.14	26800.01	20170.07	18178.19	37121.34	39237.98	21768.19	32994.92	18431.96	18689.27	20593.91	13399.51	6207.38
GCHFR	264.03	65.26	218.79	403.5	164.42	379.04	583.07	1378.57	0.07	693.58	941.27	3018.3	3820.7	1551.09	884.29	3419.52	2075.59	3419.52	3372.43	1467.37	3928.15	2303.12	5366.37	9409.14	2451.44	2367.9	3564.78	2645.74	2997.45	2875.3	6887.62	3874.05	3349.13	2739.08	2287.2	5076.84	3589.58	1015.93	77.25
GLOD5	0.0	0.0	17.51	0.42	0.0	15.11	9.63	57.49	0.0	23.93	16.39	140.04	241.19	116.78	26.67	215.77	67.12	239.52	198.47	132.44	209.84	72.52	267.73	170.25	170.25	12.55	271.48	185.11	260.38	116.78	165.57	547.75	314.17	277.2	135.24	89.51	264.03	9.13	10.63
HINT2	376.41	182.55	785.88	595.34	660.68	1167.14	866.07	753.83	0.29	1437.15	808.0	1697.45	2417.67	1662.49	688.78	1685.71	1662.49	2018.8	1417.35	1369.04	2178.83	733.19	2682.69	1001.93	1844.76	1088.92	2976.74	1304.15	2502.97	2032.85	1883.54	2855.44	1685.71	2400.97	1651.0	1963.57	1781.89	356.05	497.0
HSD17B4	6471.02	1936.53	2875.3	1340.84	2645.74	1540.37	1781.89	3039.3	0.16	2720.15	3018.3	6840.04	9151.82	6887.62	3060.45	6652.97	6164.49	6840.04	8479.89	6652.97	9151.82	6250.56	8421.31	7382.04	8718.32	3467.27	7130.55	5751.61	8840.04	6381.92	6652.97	7911.95	7280.4	11424.74	7803.01	11992.79	7749.1	1963.57	1832.01
MEF2BNB	120.94	423.61	255.0	312.0	376.41	521.76	447.82	325.29	212.78	351.14	336.79	629.35	854.13	802.41	226.54	684.02	563.18	842.36	748.61	629.35	791.35	579.04	866.07	624.99	656.11	563.18	995.0	612.11	738.29	718.08	1051.79	995.0	674.59	819.3	967.76	802.41	718.08	209.84	120.1
MIF4GD	314.17	273.37	759.08	521.76	450.94	555.41	420.68	842.36	0.62	656.11	620.67	1023.0	1583.71	1081.39	679.29	981.29	775.05	1175.27	718.08	603.67	1015.93	802.41	1081.39	872.1	860.08	698.41	1135.2	718.08	1051.79	848.22	1151.06	1487.87	890.44	1191.69	981.29	961.07	842.36	171.45	197.09
NAT1	13.32	125.24	96.01	57.89	57.08	120.1	137.14	81.71	0.0	118.43	55.89	144.01	123.5	142.01	24.99	142.01	158.79	199.85	189.02	229.72	253.23	63.89	158.79	255.0	389.72	25.17	265.87	127.0	208.38	150.17	185.11	221.86	76.71	241.19	161.02	164.42	149.12	22.26	167.9
NDUFAF3	902.89	426.57	1119.56	1437.15	1350.18	1594.73	813.63	1832.01	0.62	1572.76	1030.12	2664.15	2835.7	2720.15	1250.98	3564.78	2758.13	3235.01	3081.75	1662.49	3124.78	2609.3	4903.87	2855.44	3146.52	3614.55	3060.45	2796.65	3168.41	2997.45	3847.29	3928.15	2739.08	3614.55	3124.78	3212.66	2351.53	902.89	460.44
NDUFB2	1870.53	1151.06	2417.67	3982.99	2287.2	4328.55	3018.3	2537.92	0.64	4639.29	4358.66	3081.75	4802.93	4512.4	2224.63	5292.48	5954.47	9151.82	6792.79	3820.7	7589.61	3039.3	7966.99	4836.35	4704.07	3303.0	6792.79	4543.8	5441.3	6381.92	7032.37	12160.22	6561.36	6745.86	5751.61	6745.86	6121.9	3060.45	1832.01
NUCB1	3690.52	2816.11	6652.97	3257.52	6516.03	3901.01	2434.5	3716.2	4066.71	4512.4	4450.27	8840.04	15607.02	10959.3	8247.98	9088.59	5711.87	11584.24	8658.09	7966.99	14561.8	10512.82	7485.11	9025.81	6699.25	11189.6	8658.09	7180.15	6121.9	8421.31	8022.41	13123.73	8022.41	14765.09	11909.94	14663.09	8963.45	5366.37	2133.97
PDLIM2	175.07	642.59	400.71	1295.13	500.46	356.05	612.11	299.25	0.53	693.58	426.57	5329.3	3820.7	3820.7	2796.65	3168.41	3146.52	4869.99	1923.14	2335.28	2664.15	1594.73	3060.45	2701.35	3124.78	2875.3	1572.76	2720.15	2664.15	2591.27	9606.86	5041.77	3280.18	3820.7	2956.17	2875.3	3372.43	1023.0	115.16
PEX11G	43.02	8.13	45.85	56.28	32.59	147.06	67.59	38.4	0.0	102.97	98.04	178.77	260.38	299.25	36.01	171.45	149.12	220.32	148.09	173.85	209.84	94.67	297.17	180.02	299.25	107.38	325.29	158.79	273.37	99.43	246.28	264.03	206.94	334.46	244.57	155.5	153.34	27.64	20.56
PXMP4	59.97	30.12	150.17	100.83	53.95	226.54	92.7	154.42	0.0	205.5	277.2	669.92	1073.91	1259.69	114.36	1111.82	563.18	1268.46	674.59	921.88	2119.22	559.28	1015.93	1096.5	1073.91	309.83	981.29	802.41	733.19	595.34	928.3	1135.2	896.64	1340.84	1561.89	1111.82	941.27	79.45	91.41
RILP	73.03	88.26	139.07	72.52	166.73	229.72	305.55	441.64	0.35	291.04	441.64	1151.06	1896.65	1487.87	343.89	1745.2	1250.98	1819.35	896.64	536.45	1225.22	483.38	2271.4	1111.82	1151.06	366.09	1498.22	1183.45	1417.35	819.3	1378.57	2319.15	1769.57	954.43	1721.16	1331.57	1322.37	191.67	58.3
RNF167	954.43	3372.43	1437.15	1857.6	1331.57	3190.46	665.29	2434.5	0.77	1909.85	2555.58	2224.63	3820.7	3081.75	1199.98	3589.58	3820.7	4152.18	4181.07	3060.45	3742.05	1685.71	4328.55	2758.13	3742.05	1757.34	4481.23	3443.31	3491.39	3874.05	4066.71	4575.41	3325.99	4450.27	3982.99	2271.4	4010.71	1378.57	974.5
SFTPB	0.87	1.55	9.27	18.16	20.71	368165.8	1977.24	358098.26	50709.61	73730.83	97288.74	3383299.76	3049200.37	3290783.22	2965819.8	2617937.91	1890058.21	1600397.78	2310861.52	2186208.16	2767207.65	3007221.12	2691538.19	2825352.59	2884719.27	2986448.72	1679964.3	2691538.19	3223059.86	2845004.48	2375828.71	2025714.3	3156730.23	5057523.59	2599854.48	3245478.02	2263304.65	283.05	3.35
SLC43A2	130.6	178.77	723.08	258.57	435.55	656.11	587.13	426.57	52.45	438.59	493.56	1259.69	1295.13	836.53	738.29	633.73	651.58	1583.71	1111.82	559.28	1104.13	1081.39	791.35	974.5	753.83	1037.29	819.3	616.37	441.64	1096.5	1208.34	1104.13	1259.69	1519.15	1268.46	1259.69	1233.75	351.14	93.35
SMDT1	215.77	262.2	1008.9	1037.29	1540.37	2935.74	743.43	1127.35	283.05	1096.5	2018.8	3280.18	3564.78	1857.6	1225.22	3280.18	2796.65	3124.78	3395.89	2935.74	3124.78	2777.33	6792.79	3982.99	4268.94	1447.15	5183.54	1870.53	3768.09	2997.45	3768.09	4543.8	3794.3	3716.2	3955.48	2664.15	2417.67	1167.14	947.83
TCTA	236.21	532.74	665.29	409.15	279.14	616.37	226.54	441.64	0.3	656.11	392.44	825.0	1594.73	1561.89	343.89	1167.14	753.83	1639.59	941.27	723.08	1233.75	351.14	1551.09	743.43	1250.98	551.56	1199.98	603.67	1175.27	974.5	1721.16	2224.63	1369.04	1304.15	2104.58	1044.52	1127.35	285.03	358.54
TECR	454.09	1183.45	1378.57	1030.12	1551.09	2645.74	1844.76	1923.14	0.58	4152.18	2537.92	2915.45	3690.52	3190.46	1407.55	3540.14	3060.45	3901.01	2739.08	2875.3	4210.15	2537.92	4704.07	3146.52	3982.99	1909.85	4481.23	4543.8	3515.68	2777.33	3901.01	5366.37	4210.15	5147.73	3955.48	3018.3	2816.11	2367.9	616.37
TEX264	497.0	305.55	780.44	656.11	693.58	1388.16	567.1	961.07	0.09	1340.84	1233.75	1733.13	2335.28	2032.85	785.88	1950.0	1896.65	2018.8	1340.84	1540.37	2240.11	1044.52	2163.77	1233.75	1806.78	928.3	2119.22	1936.53	1733.13	1662.49	2075.59	2701.35	1977.24	2209.26	2148.82	1806.78	1594.73	438.59	624.99
TMEM246	92.05	20.26	5.23	68.07	77.79	8.06	11.73	11.38	0.46	43.32	21.78	21.78	409.15	884.29	12.36	146.03	147.06	224.97	107.38	237.86	169.07	54.33	438.59	239.52	215.77	176.29	289.02	94.67	269.6	171.45	144.01	258.57	149.12	108.14	271.48	78.89	154.42	14.89	94.01
TNFSF13	273.37	395.18	656.11	305.55	332.14	728.11	693.58	1322.37	0.37	1216.75	1208.34	3820.7	6207.38	4239.45	2075.59	4836.35	2351.53	8963.45	4671.57	4066.71	6792.79	2609.3	7433.4	4328.55	6250.56	2335.28	6250.56	3419.52	4388.98	3589.58	8479.89	10154.69	4010.71	8078.22	7130.55	10512.82	4450.27	583.07	223.41
TSPO	2178.83	470.14	3124.78	1674.06	1487.87	1733.13	5183.54	1909.85	0.79	2255.7	3257.52	4066.71	5441.3	4836.35	2664.15	7911.95	12676.65	11035.54	9088.59	7032.37	8078.22	4704.07	7180.15	8134.41	6471.02	4419.52	13399.51	4802.93	7331.05	8134.41	14163.58	10959.3	12764.83	8479.89	5219.6	17558.94	9025.81	3443.31	291.04
TST	563.18	45.21	151.22	1191.69	332.14	660.68	791.35	503.95	0.0	454.09	819.3	1991.0	2976.74	1923.14	688.78	2777.33	1369.04	2537.92	1757.34	1378.57	2520.38	1127.35	2417.67	1832.01	2555.58	1216.75	2720.15	2335.28	2915.45	1242.34	2367.9	3372.43	2271.4	3146.52	2303.12	2485.67	1757.34	142.01	267.73
UQCR10	1617.0	791.35	2367.9	1617.0	1697.45	2240.11	1870.53	1651.0	0.56	2104.58	2682.69	2777.33	4095.0	2627.46	1208.34	3467.27	3060.45	4010.71	4869.99	2935.74	6250.56	3257.52	4239.45	3589.58	3349.13	1819.35	4869.99	3280.18	4010.71	3395.89	5219.6	9474.59	5954.47	4268.94	3280.18	4639.29	3540.14	1551.09	1304.15
VAMP8	190.34	1857.6	4358.66	1111.82	169.07	5147.73	4298.64	7081.29	0.73	8778.97	7130.55	7433.4	15607.02	10225.32	5954.47	14867.79	6337.83	14163.58	12676.65	11584.24	11267.44	8963.45	11112.3	11584.24	11267.44	12502.12	13306.94	8778.97	14461.21	11345.82	21919.61	22692.63	14663.09	18178.19	13586.57	14765.09	11992.79	5479.15	1350.18
VILL	106.63	42.41	41.81	76.17	43.02	58.3	39.5	194.36	0.44	158.79	105.89	176.29	307.69	201.25	18.84	307.69	237.86	551.56	194.36	301.33	486.75	43.32	211.31	403.5	493.56	59.55	599.49	287.01	256.78	156.59	105.15	438.59	248.0	262.2	490.14	234.57	228.13	6.78	127.89
