	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.E2.A1IG.11A.22R.A144.07	TCGA.BH.A0BZ.11A.61R.A12P.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.E9.A1NA.11A.33R.A144.07	GTEX.145ME.1526.SM.5Q5F2	GTEX.XUW1.2326.SM.4BOO5	TCGA.3X.AAV9.01A.72R.A41I.07	TCGA.ZU.A8S4.11A.11R.A41I.07	GTEX.ZYFC.2626.SM.5NQ6S	GTEX.12ZZY.2726.SM.5EQ45	GTEX.YECK.2826.SM.5IFHF	GTEX.11GS4.1826.SM.5HL4T	GTEX.11EI6.2626.SM.5PNVT	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SK.01A.11R.A27V.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.ZAB4.0826.SM.5LU9D	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.12WSI.0226.SM.5GCNA	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.UTHO.2426.SM.4JBHD	GTEX.ZPU1.0826.SM.57WG2	GTEX.WQUQ.1926.SM.4OOSA	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.13N2G.0926.SM.5IFGJ	GTEX.12WSG.0626.SM.5FQTQ	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.1497J.0726.SM.5Q5D1	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.VUSG.0126.SM.4KL1X	GTEX.11WQC.0726.SM.5EQMR	GTEX.ZXG5.0826.SM.5GID6	GTEX.12696.1026.SM.5FQUV	TCGA.BR.7704.11A.01R.2055.13	GTEX.14BMV.2226.SM.5RQHX	GTEX.139D8.2326.SM.5IFGE
ASPN	599.49	215.77	395.18	842.36	525.39	242.88	967.76	312.0	1572.76	194.36	698.41	660.68	1088.92	896.64	1167.14	303.44	255.0	423.61	267.73	4.35	18.84	122.64	154.42	173.85	29.91	1397.83	14.35	157.68	57.49	142.01	6.62	183.82	189.02	141.02	190.34	215.77	1183.45	674.59	60.39	19.11	633.73	44.25	170.25	293.07	547.75	106.63	281.09	273.37	267.73	334.46	521.76	162.14	713.11	158.79	2451.44	38.12	182.55	2468.49	232.94	107.38	242.88	295.11	4869.99	129.69	119.26	17.0	251.48	199.85	18.56	389.72	379.04	130.6	102.25	43.63	78.34	1572.76	669.92	80.01	819.3	61.25	860.08	147.06	287.01	215.77	186.4	860.08	1781.89	743.43	334.46	764.36	363.56
B4GALNT3	120.1	154.42	61.25	149.12	172.65	120.94	4.13	145.02	297.17	12.27	206.94	150.17	237.86	135.24	149.12	7.75	0.8	4.66	4.94	12.36	3.76	7.88	4.28	3.26	2.27	50.98	0.0	3.76	1.14	2.76	4.21	6.21	0.72	1.3	6.84	2.56	56.28	12.09	3.82	1.27	32.36	0.71	14.35	5.36	6.06	5.28	6.67	14.14	4.21	7.69	22.59	1.28	59.13	117.6	152.28	10.16	13.52	62.56	0.0	6.01	0.54	1.58	759.08	7.06	2.46	32.36	10.16	7.94	1.83	40.07	37.05	52.82	10.16	3.76	13.42	16.63	2.39	1.33	104.42	11.21	141.02	4.62	0.0	4.06	75.64	11.21	93.35	173.85	872.1	293.07	466.88
B4GALNT4	163.28	307.69	293.07	34.26	155.5	224.97	7.17	119.26	503.95	8.0	172.65	199.85	299.25	148.09	217.27	7.17	9.13	2.78	13.03	0.0	0.0	4.58	1.11	2.16	1.55	52.82	0.0	5.73	0.0	4.58	4.54	7.22	1.68	7.69	5.73	24.11	13.52	7.63	0.0	2.58	27.05	25.35	49.56	1.13	2.56	8.38	6.11	10.63	3.72	8.99	0.0	11.3	18.03	28.45	18.43	1.68	9.63	43.63	0.4	0.0	40.07	19.53	457.25	0.0	2.51	5.11	12.64	18.97	10.47	2.53	27.84	49.21	7.82	30.78	5.36	32.82	8.06	5.92	7.88	0.44	10.47	0.0	0.0	14.45	2.66	0.89	100.13	24.28	71.5	189.02	93.35
C1QTNF7	115.97	68.55	90.77	99.43	162.14	87.03	483.38	161.02	91.41	9.85	395.18	334.46	260.38	384.34	271.48	16.15	3.86	9.34	6.89	0.0	4.03	0.89	3.76	8.45	0.0	67.12	0.0	4.98	0.41	4.5	0.0	13.03	11.3	6.84	1.2	8.99	53.57	24.11	1.27	1.22	47.84	1.62	4.06	11.91	19.25	2.97	23.76	16.63	12.18	10.55	10.63	8.38	25.91	29.06	47.17	1.04	12.55	114.36	21.01	6.73	10.88	10.24	141.02	5.54	8.06	2.14	9.2	41.52	1.03	24.11	36.01	9.13	14.67	0.47	0.42	94.01	10.71	2.78	14.35	8.25	88.26	1.99	8.38	6.57	5.68	31.67	2018.8	563.18	1437.15	579.04	633.73
C3orf52	96.01	145.02	72.52	64.8	102.97	45.53	14.89	36.27	154.42	6.52	122.64	54.72	85.82	42.71	41.22	5.41	0.72	1.53	7.22	0.0	0.0	3.38	0.64	2.68	0.0	49.21	1.3	4.98	2.71	0.0	0.55	0.75	0.64	2.63	4.66	6.46	58.71	12.83	2.81	1.16	22.75	0.0	8.25	4.1	9.48	4.58	13.03	4.1	2.94	6.84	7.82	0.26	53.19	28.65	15.34	6.57	11.64	31.0	1.19	5.06	1.79	3.32	212.78	3.44	0.0	28.65	10.31	10.31	6.41	27.44	32.82	10.24	2.05	0.01	0.0	12.36	7.34	2.25	64.34	2.16	25.72	1.81	3.44	3.99	3.56	25.72	99.43	80.57	126.12	111.99	190.34
C7	181.28	551.56	633.73	1397.83	1551.09	543.96	60.82	234.57	5292.48	1639.59	2701.35	3103.19	2935.74	3372.43	1721.16	669.92	708.18	921.88	733.19	1.0	21.78	713.11	902.89	651.58	22.26	6652.97	6.89	775.05	148.09	1037.29	1.48	1991.0	260.38	651.58	620.67	1359.57	5255.91	2047.0	90.14	49.21	5147.73	132.44	878.17	3280.18	2915.45	612.11	2573.36	4802.93	1583.71	4298.64	2976.74	444.72	38697.77	29943.43	46986.85	941.27	22535.88	185362.8	1417.35	339.14	6792.79	10512.82	334117.42	1119.56	665.29	38.12	8840.04	2720.15	441.64	26248.46	23330.64	866.07	3168.41	334.46	866.07	25887.07	3928.15	718.08	8078.22	1268.46	45386.27	110.43	2303.12	808.0	5913.33	8022.41	117311.73	65990.84	5479.15	12329.98	6164.49
CAMK1G	1.39	8.51	1.87	4.35	2.46	3.23	0.64	4.5	43.63	7.0	10.39	27.84	18.97	15.91	12.64	16.15	2.27	13.93	3.5	1.95	4.13	2.05	2.43	5.28	2.56	14.35	0.0	10.96	2.32	3.47	1.62	9.06	10.0	5.19	4.03	7.4	4.82	4.78	5.59	0.79	3.38	2.34	2.94	2.53	9.13	1.19	4.66	2.53	3.03	9.13	5.28	0.03	26.86	1.81	5.41	0.89	4.06	20.56	0.39	0.44	6.16	4.98	50.98	3.35	1.53	7.06	3.11	4.43	0.07	4.21	3.76	2.89	17.13	0.87	3.44	9.41	2.56	0.0	14.03	0.0	12.45	4.39	1.45	2.41	0.06	12.45	27.64	55.49	46.84	20.26	3.35
CCBE1	75.64	33.78	57.89	48.52	115.97	28.24	11.47	43.02	28.04	39.79	217.27	137.14	195.72	289.02	231.32	3.08	39.79	5.32	2.71	1.43	2.14	4.74	0.53	4.31	0.0	88.26	0.0	1.91	0.91	8.32	0.0	20.41	5.32	5.06	6.89	14.56	103.69	7.34	2.18	0.71	94.67	1.31	16.75	56.28	93.35	26.67	54.72	84.63	50.63	96.01	59.13	5.54	236.21	183.82	361.04	39.5	123.5	473.41	49.91	14.67	60.82	57.49	1896.65	22.92	24.11	13.83	63.45	41.22	17.25	32.82	53.95	66.65	25.91	14.67	38.4	603.67	116.78	15.34	224.97	5.96	176.29	34.02	35.5	37.85	59.97	220.32	866.07	323.03	54.33	13.83	35.25
CCDC3	3146.52	2319.15	2835.7	2816.11	2209.26	3515.68	4210.15	2104.58	1066.48	228.13	241.19	395.18	195.72	366.09	297.17	202.66	226.54	166.73	153.34	3.06	23.42	113.56	40.93	110.43	27.84	1167.14	6.73	131.51	31.9	115.97	29.7	256.78	141.02	108.9	218.79	303.44	974.5	265.87	87.03	30.34	928.3	52.82	217.27	363.56	536.45	152.28	314.17	356.05	241.19	353.59	466.88	43.94	1388.16	334.46	3395.89	139.07	426.57	2976.74	229.72	307.69	170.25	309.83	4671.57	122.64	113.56	149.12	361.04	287.01	100.83	438.59	373.81	204.07	191.67	105.15	106.63	1806.78	224.97	131.51	503.95	74.06	1447.15	77.79	90.77	281.09	376.41	660.68	2417.67	896.64	775.05	738.29	743.43
CCDC64B	285.03	285.03	295.11	87.65	403.5	246.28	13.22	176.29	417.77	22.59	126.12	78.89	83.45	27.25	25.91	7.28	0.0	3.35	3.03	0.78	0.0	0.0	0.0	1.83	0.83	121.79	1.64	0.0	0.0	5.68	0.79	1.66	0.0	5.28	4.13	4.78	83.45	0.91	0.0	0.0	35.0	2.78	1.64	7.17	9.27	5.87	16.75	15.11	11.82	6.06	20.71	27.05	77.25	186.4	373.81	0.29	120.1	397.93	0.67	0.0	0.07	8.71	3060.45	0.0	5.54	0.83	61.68	24.81	2.48	143.01	153.34	25.72	4.5	10.79	3.47	93.35	81.14	3.63	607.87	3.14	56.68	0.0	0.52	6.46	18.16	198.47	55.1	140.04	236.21	329.84	785.88
CCDC8	616.37	575.03	381.68	239.52	540.19	466.88	17.38	454.09	100.83	11.13	180.02	81.14	67.59	105.89	84.04	20.86	1.08	19.53	11.73	0.0	0.52	3.92	5.68	10.24	0.84	80.57	0.44	11.3	2.84	7.22	0.44	7.88	8.25	6.67	12.36	12.64	75.11	22.92	5.63	1.89	49.21	2.86	4.54	16.75	18.7	6.73	14.67	24.28	7.88	11.3	9.27	5.32	186.4	164.42	124.37	8.45	24.99	244.57	11.47	11.64	8.19	17.0	217.27	5.32	9.78	1.93	26.86	46.84	5.59	60.82	43.63	29.27	12.64	6.31	1.1	81.71	8.13	8.45	70.51	3.99	156.59	3.5	1.03	9.34	10.0	28.04	423.61	454.09	175.07	320.8	133.36
CCNI	5831.91	5954.47	6561.36	6381.92	6792.79	5672.41	5913.33	8022.41	3716.2	1583.71	3982.99	5292.48	4575.41	4481.23	5147.73	1167.14	1225.22	921.88	1059.11	1498.22	808.0	866.07	1242.34	819.3	759.08	2090.03	718.08	896.64	1561.89	738.29	748.61	1175.27	2032.85	1639.59	1508.65	1096.5	2367.9	1167.14	1088.92	1151.06	2384.37	647.07	1639.59	1594.73	2520.38	1437.15	1745.2	1883.54	1551.09	1909.85	1359.57	723.08	2591.27	4066.71	3564.78	2895.31	1331.57	3820.7	1259.69	1119.56	2417.67	2061.24	8538.88	1781.89	974.5	1350.18	1857.6	2434.5	1268.46	1583.71	2271.4	1936.53	1639.59	1721.16	890.44	3349.13	753.83	1896.65	1540.37	1923.14	3589.58	1304.15	1259.69	2163.77	1950.0	2163.77	9740.98	5555.65	6250.56	5076.84	7280.4
CD97	665.29	665.29	647.07	656.11	693.58	1073.91	363.56	748.61	1909.85	361.04	1304.15	1127.35	1529.73	1369.04	1322.37	785.88	246.28	381.68	414.87	46.18	303.44	169.07	269.6	507.46	100.13	1135.2	123.5	497.0	165.57	194.36	267.73	236.21	368.65	473.41	525.39	409.15	1135.2	981.29	212.78	336.79	890.44	43.32	444.72	460.44	571.05	128.79	277.2	579.04	320.8	665.29	356.05	76.17	1936.53	4639.29	3467.27	273.37	616.37	567.1	486.75	429.54	808.0	299.25	4388.98	246.28	180.02	199.85	579.04	202.66	403.5	518.15	208.38	607.87	363.56	392.44	312.0	954.43	769.69	170.25	2133.97	239.52	1191.69	253.23	928.3	341.51	551.56	316.37	2485.67	2609.3	2061.24	1088.92	890.44
CDH19	24.28	7.0	7.82	7.57	48.18	2.32	2.63	0.32	21.63	59.13	161.02	287.01	211.31	155.5	271.48	3.14	10.55	5.77	8.51	0.0	0.0	8.06	0.56	0.54	3.76	49.91	0.0	2.32	1.75	6.01	0.0	21.94	5.02	2.94	3.29	3.86	36.01	3.92	0.0	9.2	42.41	1.77	9.34	29.06	35.0	11.73	25.72	17.51	30.34	56.68	48.87	24.81	58.71	211.31	229.72	6.01	59.13	500.46	10.31	0.0	312.0	35.0	1127.35	17.13	11.73	1.58	19.68	14.03	63.89	54.33	195.72	36.01	65.26	9.56	47.84	150.17	73.03	14.03	107.38	81.14	20.71	1.64	19.25	15.0	3.89	23.25	98.73	46.18	183.82	187.71	223.41
CDH3	866.07	1498.22	915.51	559.28	884.29	921.88	3.23	947.83	1225.22	7.88	29.06	10.47	10.31	17.0	12.45	13.62	0.0	12.55	7.51	0.0	0.0	3.08	6.41	13.93	1.57	13.83	0.79	5.92	1.3	1.99	0.0	5.54	4.13	6.67	6.78	8.65	11.13	28.45	4.9	1.31	1.58	1.31	4.06	0.0	2.2	0.0	1.57	7.94	2.58	0.0	9.06	1.43	20.71	2.16	27.64	12.83	0.17	13.62	0.09	1.62	0.0	0.13	32.59	6.01	12.45	26.67	3.29	5.02	0.0	13.72	10.24	2.53	2.12	1.68	5.36	6.73	2.66	0.16	0.01	12.55	4.54	3.35	0.0	0.0	1.68	2.32	139.07	120.94	37.32	159.9	69.52
