	TCGA.G4.6321.01A.11R.1723.07	TCGA.A6.2671.11A.01R.A32Z.07	TCGA.AA.3663.11A.01R.1723.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.147F3.1926.SM.5SIB9	GTEX.11P82.1026.SM.5BC5J	GTEX.U4B1.1126.SM.4DXV3	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.ZY6K.1226.SM.5GZYL	GTEX.RU1J.1326.SM.46MUL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.WFG7.1526.SM.4LVMG	GTEX.XUJ4.2026.SM.4BOOW	GTEX.QDVJ.1326.SM.48U1X	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.PWOO.1326.SM.48TCJ	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.1399S.1926.SM.5J2M5	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.WH7G.1326.SM.4LVMS	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.1128S.1626.SM.5H12O	GTEX.OIZH.1426.SM.3NB1O	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.QDVN.1326.SM.48TZ3	GTEX.12BJ1.2126.SM.5BC5O	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.WHWD.1226.SM.4OOS1	GTEX.13FHP.2426.SM.5KLZ5	GTEX.ZVP2.1526.SM.5NQ82	GTEX.R55D.1826.SM.48FEF	GTEX.OXRK.1726.SM.3NB16	GTEX.13FTW.1826.SM.5IJEN	GTEX.133LE.1526.SM.5IFEN	GTEX.1122O.1526.SM.5N9CL	GTEX.W5WG.2426.SM.4LMI6	GTEX.OHPM.1426.SM.3TW8Y	GTEX.Y8E4.2426.SM.4WWDN	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XMK1.1726.SM.4B64Z	GTEX.XPVG.1826.SM.4B64X	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.13OVJ.1726.SM.5IJDZ	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.12KS4.2426.SM.5LU8P	GTEX.144GN.1126.SM.5LU33	GTEX.YF7O.1726.SM.5IFJ9	GTEX.ZTSS.1126.SM.5985O	GTEX.QCQG.1626.SM.48U26	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.S4Q7.0826.SM.4AD5E	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.Y5LM.1426.SM.5RQJL	GTEX.Q2AH.1226.SM.48TZL	GTEX.O5YW.1426.SM.3MJHF	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	TCGA.BR.6564.11A.01R.1884.13	TCGA.BR.6453.11A.01R.1802.13
TCF4	43.63	176.29	285.03	92.7	202.66	141.02	93.35	35.5	81.14	123.5	88.88	170.25	186.4	101.54	73.03	153.34	102.97	79.45	78.34	88.26	112.77	189.02	273.37	80.01	153.34	23.93	102.97	140.04	260.38	358.54	71.5	122.64	42.11	141.02	144.01	80.57	55.49	94.01	59.97	90.14	122.64	112.77	163.28	48.87	118.43	293.07	167.9	173.85	87.03	305.55	145.02	84.04	186.4	148.09	185.11	77.79	56.68	43.94	177.53	718.08	136.19	76.17	106.63	112.77	146.03	47.84	72.52	145.02	341.51	68.07	92.7	120.94	301.33	91.41	152.28	54.33	55.49	100.13	327.56	68.07	169.07	115.97	50.98	129.69	49.91	348.71	314.17	603.67	237.86	103.69	149.12	108.9	90.14	100.83	373.81	412.0	94.67	273.37	277.2	253.23	117.6	309.83	81.14	38.4	429.54	260.38
TGFBR2	1286.18	1183.45	2047.0	551.56	981.29	961.07	753.83	332.14	665.29	802.41	764.36	995.0	785.88	764.36	616.37	1225.22	708.18	808.0	748.61	775.05	785.88	1183.45	1519.15	718.08	1175.27	389.72	836.53	830.75	1685.71	1733.13	638.15	921.88	500.46	1467.37	1023.0	708.18	521.76	890.44	612.11	854.13	1023.0	547.75	1111.82	571.05	909.17	1242.34	1250.98	688.78	595.34	1769.57	1159.07	915.51	1447.15	1295.13	1467.37	796.86	738.29	529.06	848.22	2915.45	813.63	599.49	791.35	934.76	785.88	587.13	571.05	1216.75	1477.58	490.14	836.53	1081.39	1923.14	698.41	733.19	397.93	497.0	547.75	2018.8	624.99	775.05	759.08	500.46	896.64	638.15	1447.15	1806.78	1936.53	1159.07	713.11	1127.35	1001.93	723.08	764.36	1175.27	1540.37	954.43	1457.23	1487.87	1896.65	764.36	1745.2	890.44	397.93	1806.78	1427.22
TGIF2	74.06	117.6	145.02	75.64	71.5	57.08	60.82	59.13	64.34	111.21	53.95	88.88	159.9	90.77	82.29	78.89	50.98	68.55	45.53	108.9	78.34	99.43	206.94	50.63	104.42	17.25	50.27	59.13	149.12	151.22	52.45	102.25	85.22	77.79	89.51	56.28	55.1	122.64	74.06	92.05	36.79	89.51	78.89	66.18	92.05	202.66	140.04	102.97	57.89	121.79	96.01	107.38	73.03	67.12	137.14	51.35	44.25	30.34	99.43	187.71	134.3	53.95	79.45	71.0	103.69	42.11	44.25	101.54	117.6	114.36	111.21	76.17	170.25	46.18	98.73	64.8	54.72	48.52	159.9	96.01	115.97	113.56	81.14	78.89	69.03	151.22	114.36	204.07	94.01	56.68	111.21	63.89	82.87	67.12	202.66	172.65	88.88	101.54	148.09	146.03	96.01	187.71	64.8	55.89	202.66	167.9
THSD7A	5.15	12.93	16.63	4.03	14.24	9.63	3.96	1.3	3.23	4.82	4.58	19.11	16.63	5.92	2.1	7.17	3.35	5.19	7.57	6.46	5.19	6.67	17.77	5.82	19.11	1.36	7.22	12.18	15.91	35.76	4.13	5.15	3.59	7.75	7.82	3.5	6.36	5.54	4.82	5.23	4.66	5.68	11.13	5.59	3.23	26.67	20.56	5.68	2.71	21.16	8.85	5.92	18.16	9.41	9.93	5.11	4.62	4.1	10.16	33.54	4.9	2.48	4.24	5.41	11.91	2.94	4.21	7.75	16.88	3.76	4.62	6.36	37.32	4.58	6.06	2.34	4.39	6.26	24.46	3.82	19.68	4.5	4.46	8.19	3.06	16.51	19.97	23.93	18.29	5.87	13.93	8.13	3.41	6.06	10.24	15.34	14.03	20.26	24.99	20.86	4.54	21.63	8.25	1.45	27.84	8.0
TMEM170B	2.89	33.06	44.89	6.52	19.68	28.86	8.38	5.32	14.14	12.0	13.72	21.16	19.11	17.0	8.58	12.93	15.91	14.14	8.19	19.39	11.47	42.41	57.08	13.72	32.59	3.38	12.09	15.0	30.78	61.25	8.78	35.0	8.71	14.67	11.55	8.58	8.58	16.75	10.55	14.45	18.56	18.7	24.63	9.48	15.34	44.25	29.48	16.39	7.88	25.72	29.91	13.62	30.56	28.45	28.65	16.51	6.94	4.31	14.89	36.79	19.82	7.4	11.55	19.53	18.7	9.78	11.04	23.25	47.5	13.62	28.65	11.82	63.45	12.0	15.45	7.69	7.46	9.41	38.12	16.88	19.25	20.26	6.52	14.24	9.63	32.36	44.25	32.36	29.91	13.32	35.5	9.13	10.79	14.67	30.78	39.5	6.26	21.47	41.22	41.52	23.25	53.57	17.38	8.0	41.22	19.68
TMTC1	38.4	114.36	212.78	27.25	69.52	95.34	29.06	13.52	34.02	32.59	33.78	72.52	31.45	51.71	21.63	88.88	46.18	37.59	42.11	49.21	45.21	85.82	182.55	45.85	74.58	18.56	40.36	50.27	194.36	251.48	31.9	37.32	21.47	127.0	96.68	20.41	26.86	66.65	19.53	41.22	57.08	20.71	98.73	17.0	44.57	133.36	149.12	40.93	31.22	150.17	152.28	58.71	102.25	79.45	97.36	48.52	35.5	25.72	37.85	223.41	40.93	44.25	52.45	50.63	35.0	23.59	34.51	129.69	107.38	22.1	57.08	85.22	237.86	29.7	42.11	20.86	29.91	16.63	150.17	31.9	47.17	31.45	16.63	70.51	25.91	111.21	156.59	172.65	75.11	33.54	77.79	87.65	29.91	44.89	53.95	106.63	70.01	150.17	206.94	209.84	29.27	208.38	43.63	11.21	237.86	152.28
TSPAN9	165.57	228.13	327.56	166.73	206.94	136.19	132.44	77.79	110.43	169.07	154.42	167.9	195.72	124.37	101.54	209.84	104.42	91.41	122.64	120.94	158.79	199.85	287.01	127.0	151.22	48.52	112.77	148.09	217.27	279.14	92.7	169.07	107.38	169.07	170.25	92.05	138.1	166.73	93.35	148.09	106.63	113.56	181.28	102.97	141.02	232.94	208.38	145.02	115.97	289.02	190.34	172.65	172.65	156.59	251.48	101.54	111.21	74.06	122.64	518.15	125.24	124.37	112.77	137.14	122.64	89.51	100.13	234.57	215.77	111.99	159.9	134.3	264.03	151.22	131.51	104.42	88.88	90.14	271.48	120.1	202.66	144.01	111.21	143.01	98.04	293.07	273.37	392.44	271.48	137.14	239.52	143.01	120.94	132.44	301.33	242.88	161.02	236.21	258.57	318.57	100.13	269.6	205.5	73.03	429.54	289.02
TYW3	139.07	224.97	332.14	187.71	242.88	220.32	140.04	162.14	120.94	244.57	182.55	183.82	208.38	189.02	151.22	220.32	206.94	161.02	161.02	125.24	215.77	234.57	275.28	148.09	231.32	62.56	145.02	211.31	281.09	289.02	120.94	211.31	143.01	320.8	197.09	122.64	141.02	177.53	91.41	164.42	164.42	125.24	299.25	115.97	181.28	295.11	201.25	171.45	146.03	341.51	271.48	159.9	258.57	215.77	231.32	180.02	136.19	161.02	128.79	412.0	214.27	132.44	187.71	147.06	182.55	105.15	159.9	211.31	295.11	137.14	175.07	194.36	363.56	134.3	180.02	170.25	165.57	158.79	199.85	169.07	189.02	204.07	190.34	142.01	161.02	285.03	244.57	297.17	202.66	193.01	237.86	193.01	158.79	212.78	287.01	275.28	146.03	171.45	293.07	356.05	206.94	271.48	159.9	127.0	269.6	332.14
VAT1	934.76	1583.71	2351.53	713.11	1175.27	1008.9	1081.39	525.39	642.59	1208.34	1167.14	1044.52	1233.75	808.0	599.49	1111.82	521.76	454.09	769.69	921.88	1277.29	981.29	1572.76	599.49	1104.13	384.34	698.41	1277.29	1378.57	1662.49	802.41	825.0	599.49	1159.07	1111.82	521.76	642.59	1167.14	547.75	642.59	967.76	708.18	1561.89	764.36	921.88	1427.22	1135.2	981.29	567.1	1721.16	1242.34	884.29	1119.56	981.29	1159.07	819.3	825.0	409.15	728.11	2520.38	591.22	651.58	547.75	748.61	718.08	587.13	587.13	1313.23	1651.0	669.92	825.0	890.44	1617.0	759.08	780.44	688.78	457.25	591.22	1477.58	728.11	1447.15	764.36	934.76	791.35	616.37	1950.0	1769.57	1963.57	1359.57	647.07	1350.18	1697.45	759.08	708.18	1561.89	1628.26	860.08	1216.75	1697.45	1487.87	587.13	1662.49	921.88	599.49	1757.34	1023.0
ZDBF2	9.78	19.53	30.12	4.43	16.27	21.16	8.45	0.68	10.31	5.92	11.73	18.97	21.78	8.38	5.73	13.42	15.34	5.73	6.62	12.36	7.57	18.03	52.45	9.48	17.25	2.81	11.21	13.22	28.86	35.0	2.29	13.22	5.15	28.45	12.74	11.38	5.68	10.31	7.34	11.73	10.31	9.93	35.76	9.06	11.82	34.02	34.26	13.62	8.25	11.64	16.15	15.68	19.11	9.93	8.65	5.23	6.41	9.13	12.55	40.36	17.25	14.14	11.64	12.93	22.59	7.57	8.19	16.15	33.78	5.96	10.63	16.63	41.22	4.5	9.7	4.46	6.62	8.25	31.22	9.34	21.01	6.62	5.15	16.75	4.46	33.06	35.0	62.56	16.75	8.99	33.78	8.65	10.16	9.13	26.86	28.86	10.31	20.26	28.86	33.06	6.94	35.5	14.24	2.81	24.99	20.86
ZDHHC17	115.16	138.1	255.0	117.6	195.72	169.07	98.73	47.5	150.17	113.56	117.6	191.67	167.9	143.01	106.63	197.09	202.66	120.1	90.77	165.57	120.94	171.45	206.94	105.15	195.72	59.97	138.1	161.02	204.07	253.23	86.43	148.09	81.71	144.01	153.34	135.24	128.79	89.51	96.01	136.19	127.0	111.99	189.02	127.89	127.89	209.84	197.09	199.85	158.79	186.4	183.82	115.97	205.5	173.85	125.24	100.83	98.04	116.78	131.51	348.71	134.3	133.36	149.12	158.79	162.14	146.03	132.44	139.07	255.0	117.6	130.6	154.42	220.32	99.43	154.42	100.13	114.36	154.42	226.54	115.97	198.47	104.42	90.77	164.42	94.67	249.73	236.21	368.65	152.28	105.89	176.29	134.3	148.09	135.24	269.6	314.17	134.3	241.19	199.85	242.88	100.13	239.52	163.28	62.56	187.71	221.86
ZNF154	9.2	22.92	78.34	17.51	24.11	26.1	8.58	6.46	12.93	25.91	38.95	28.65	37.59	18.7	17.0	22.75	18.7	10.39	19.39	21.78	22.75	49.56	88.88	23.59	42.71	4.58	17.38	27.84	61.25	67.59	12.55	21.94	10.63	37.59	30.12	12.83	7.75	16.88	8.51	11.64	5.68	12.18	59.13	13.93	10.39	62.56	71.5	23.08	15.0	23.42	35.0	18.03	44.57	10.63	19.97	12.45	6.73	6.94	17.25	77.25	24.28	15.34	17.77	17.38	18.97	7.17	16.51	27.64	63.45	16.39	23.42	28.04	91.41	8.0	18.7	9.93	11.82	9.34	28.65	17.25	48.18	7.22	9.06	17.25	6.84	66.18	54.72	50.27	16.75	11.3	61.25	17.77	17.0	15.56	50.27	46.18	17.38	39.5	80.57	70.51	16.75	55.1	13.42	8.85	37.59	25.91
ZNF418	6.11	29.7	53.19	32.13	26.47	23.76	16.63	11.3	15.56	24.81	16.03	38.95	15.8	17.64	15.68	22.92	46.18	10.39	14.67	24.11	33.54	22.43	57.08	15.45	43.02	12.18	12.74	19.68	33.78	45.85	6.41	23.08	7.88	31.67	31.45	18.03	16.15	14.03	17.25	11.21	4.46	25.54	32.13	11.91	9.48	67.59	33.78	24.99	13.42	34.02	32.36	9.34	31.22	22.43	12.64	12.18	10.79	2.63	16.75	134.3	10.16	14.67	8.58	8.0	21.94	4.5	26.28	18.56	49.56	24.11	13.12	23.76	50.63	5.68	27.05	27.84	16.75	11.04	22.92	23.93	30.56	12.18	19.82	19.68	15.56	67.12	41.52	67.12	17.38	13.52	50.63	11.04	9.2	13.32	37.05	61.68	14.78	42.71	36.27	67.12	10.88	48.87	8.92	9.34	61.68	38.67
ZPLD1	0.0	0.58	0.59	0.22	0.21	0.0	0.22	0.0	0.0	0.0	0.0	0.48	0.51	0.2	0.0	0.21	0.0	0.0	0.21	0.0	0.44	0.48	0.77	0.0	0.47	0.0	0.0	0.48	0.21	1.73	0.0	0.2	0.0	0.49	0.23	0.21	0.0	0.45	0.0	0.0	0.0	0.0	0.75	0.0	0.0	1.07	0.0	0.21	0.0	0.0	0.97	0.0	1.5	0.0	0.69	0.0	0.0	0.0	0.0	1.85	0.0	0.0	0.0	0.79	0.0	0.21	0.0	0.77	0.51	0.0	0.2	0.74	2.18	0.0	0.2	0.0	0.0	0.0	0.46	0.0	0.21	0.0	0.47	0.0	0.0	1.01	0.22	1.22	0.43	0.0	0.72	0.0	0.0	0.0	1.79	1.73	0.73	0.2	1.53	0.0	0.21	0.47	0.21	0.0	4.21	1.19
