	GTEX.SE5C.1026.SM.4BRUG	TCGA.AZ.6605.11A.01R.1839.07	GTEX.13QIC.2026.SM.5N9G9	GTEX.11ZTS.2726.SM.5EQLU	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZYFC.2226.SM.5NQ96	GTEX.Y111.1826.SM.4SOIR	GTEX.ZAK1.1826.SM.5HL93	GTEX.13VXU.1126.SM.5LU3U	GTEX.145LS.2026.SM.5Q5D7	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.146FQ.1126.SM.5NQBM	GTEX.11ONC.1426.SM.5N9F4	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.13CF2.2426.SM.5LZYL	GTEX.WZTO.2126.SM.4PQYW	GTEX.T5JC.1926.SM.4DM6Q	GTEX.13X6H.1626.SM.5Q5CT	GTEX.13O3Q.2126.SM.5KM4C	GTEX.U8T8.1226.SM.4E3IH	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.1399U.1626.SM.5P9J3	GTEX.11EQ9.1226.SM.5987E	GTEX.1339X.1426.SM.5K7YO	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UPIC.1826.SM.4IHKC	GTEX.12WSJ.0926.SM.5P9JD	GTEX.OIZH.1526.SM.3NB1J	GTEX.13N1W.2026.SM.5K7YU	GTEX.R55D.1526.SM.48FEJ
CISD1	1709.26	1651.0	629.35	796.86	371.22	642.59	947.83	1225.22	665.29	753.83	748.61	1378.57	1457.23	1030.12	961.07	1088.92	1651.0	633.73	1322.37	1159.07	2701.35	1044.52	1242.34	3955.48	1794.29	518.15	830.75	1477.58	1104.13	909.17	3491.39	896.64	2075.59	1127.35	1467.37	2018.8	1427.22	764.36	1628.26
DES	1364554.84	919186.72	142439.51	214407.12	67377.47	70238.75	241220.67	167058.21	102125.66	90146.51	296977.71	627822.72	623486.02	411347.03	527933.71	324980.94	589853.66	286861.53	585779.24	550352.86	2924988.47	945028.61	1026995.62	1246973.04	851707.37	1545882.32	783730.52	581732.96	706337.4	1108362.75	338781.54	659036.03	912837.43	1800541.22	1452391.55	716197.51	741454.2	1048575.0	1063212.58
EBNA1BP2	2193.99	1023.0	703.28	693.58	651.58	642.59	842.36	802.41	698.41	728.11	819.3	1088.92	830.75	830.75	723.08	941.27	1259.69	529.06	842.36	902.89	890.44	1111.82	1008.9	1407.55	1225.22	1268.46	1135.2	1457.23	1540.37	1991.0	1950.0	1883.54	1457.23	1331.57	1151.06	1697.45	1250.98	536.45	1322.37
EID2	295.11	248.0	135.24	128.79	143.01	131.51	159.9	152.28	147.06	129.69	148.09	176.29	190.34	159.9	121.79	137.14	199.85	118.43	120.94	159.9	163.28	127.0	205.5	320.8	173.85	167.9	283.05	287.01	334.46	248.0	346.29	339.14	289.02	264.03	224.97	255.0	253.23	126.12	314.17
EIF3I	4903.87	3665.02	2133.97	2148.82	2287.2	1745.2	2032.85	2287.2	2133.97	2609.3	1757.34	3372.43	2573.36	2351.53	1781.89	2133.97	3690.52	2255.7	2367.9	2555.58	5076.84	2777.33	2758.13	6381.92	3212.66	2417.67	3665.02	4298.64	4298.64	4937.99	5183.54	5954.47	5329.3	4298.64	3874.05	5112.16	4152.18	3491.39	4210.15
EIF6	3874.05	2209.26	1540.37	1508.65	1508.65	1259.69	1651.0	1709.26	1487.87	1417.35	1857.6	2627.46	1733.13	1259.69	1896.65	1794.29	2485.67	1651.0	1651.0	1950.0	3716.2	2664.15	2855.44	3280.18	3280.18	3303.0	2319.15	3540.14	2816.11	3716.2	4802.93	3349.13	3419.52	2935.74	3280.18	5076.84	3235.01	2004.85	3257.52
FEN1	429.54	163.28	60.39	46.5	77.79	69.03	96.01	62.56	66.65	68.55	57.49	136.19	85.22	121.79	103.69	88.26	155.5	47.5	79.45	88.26	262.2	158.79	132.44	208.38	123.5	199.85	169.07	165.57	265.87	143.01	195.72	217.27	205.5	202.66	201.25	287.01	211.31	74.06	194.36
GRPEL1	1008.9	543.96	301.33	297.17	301.33	293.07	287.01	346.29	256.78	334.46	297.17	454.09	450.94	376.41	223.41	381.68	638.15	269.6	327.56	334.46	1359.57	320.8	356.05	647.07	323.03	543.96	651.58	642.59	624.99	988.12	791.35	1225.22	743.43	532.74	503.95	808.0	583.07	351.14	633.73
HCCS	1015.93	457.25	193.01	223.41	149.12	162.14	256.78	246.28	209.84	223.41	226.54	366.09	305.55	299.25	180.02	301.33	563.18	253.23	297.17	305.55	1023.0	329.84	480.04	563.18	454.09	543.96	688.78	738.29	536.45	423.61	748.61	423.61	860.08	633.73	616.37	620.67	629.35	525.39	612.11
HSD17B10	2367.9	2434.5	1096.5	1051.79	1088.92	1051.79	1369.04	1159.07	967.76	1073.91	1225.22	2240.11	1628.26	1268.46	1295.13	1572.76	2682.69	1096.5	1331.57	1594.73	4152.18	2104.58	1662.49	3716.2	1685.71	2502.97	1977.24	2895.31	2855.44	2701.35	3146.52	3614.55	3280.18	3515.68	2119.22	3419.52	2047.0	1977.24	3124.78
KLHL5	1583.71	4038.61	447.82	318.57	260.38	336.79	356.05	289.02	332.14	466.88	323.03	540.19	802.41	620.67	486.75	460.44	1151.06	351.14	656.11	629.35	167.9	460.44	848.22	1059.11	836.53	1304.15	1605.83	1467.37	718.08	684.02	860.08	819.3	1583.71	1015.93	1143.1	1277.29	1233.75	878.17	1111.82
LLPH	775.05	555.41	325.29	232.94	323.03	297.17	332.14	318.57	307.69	346.29	368.65	400.71	409.15	358.54	295.11	351.14	718.08	269.6	325.29	353.59	555.41	327.56	476.71	947.83	447.82	406.31	473.41	624.99	860.08	703.28	1313.23	813.63	1044.52	753.83	511.0	872.1	703.28	218.79	607.87
MLTK	2224.63	12502.12	842.36	995.0	703.28	836.53	1059.11	1111.82	1030.12	872.1	872.1	842.36	1073.91	1081.39	902.89	1143.1	1407.55	796.86	1572.76	915.51	2555.58	1437.15	1745.2	2796.65	2520.38	1359.57	2367.9	3168.41	2915.45	2417.67	2400.97	2434.5	2739.08	2104.58	2555.58	2018.8	2451.44	1909.85	2224.63
MRPL14	1583.71	921.88	540.19	624.99	454.09	348.71	563.18	743.43	423.61	490.14	543.96	1151.06	825.0	796.86	703.28	518.15	995.0	547.75	759.08	848.22	4512.4	961.07	1037.29	1216.75	703.28	660.68	775.05	836.53	718.08	947.83	1467.37	967.76	1397.83	693.58	941.27	1199.98	802.41	728.11	738.29
MRPS17	624.99	400.71	159.9	246.28	194.36	204.07	264.03	237.86	191.67	193.01	301.33	444.72	379.04	356.05	305.55	299.25	466.88	206.94	264.03	363.56	733.19	283.05	293.07	417.77	239.52	132.44	373.81	353.59	400.71	361.04	575.03	503.95	507.46	241.19	348.71	356.05	353.59	87.03	518.15
MTCH2	3564.78	1073.91	555.41	629.35	503.95	454.09	629.35	698.41	532.74	674.59	638.15	1143.1	1001.93	703.28	854.13	759.08	1331.57	693.58	921.88	1037.29	3901.01	1208.34	1417.35	2075.59	934.76	1135.2	1781.89	1477.58	1313.23	1378.57	2303.12	1639.59	1896.65	1407.55	1023.0	2956.17	1427.22	532.74	1832.01
PARK7	11827.67	8658.09	4095.0	3955.48	4181.07	3665.02	4802.93	4836.35	4066.71	5147.73	4328.55	6935.54	7081.29	5219.6	4575.41	5147.73	7911.95	4038.61	5672.41	5076.84	11345.82	4066.71	4937.99	10585.95	5633.22	3235.01	6337.83	10512.82	6840.04	5711.87	9344.14	8421.31	10084.54	7382.04	5555.65	8963.45	7280.4	4802.93	6792.79
PDAP1	5366.37	4095.0	1359.57	1304.15	1073.91	1295.13	1733.13	1733.13	1529.73	1628.26	1572.76	2090.03	2434.5	2090.03	2032.85	1721.16	3901.01	1427.22	1950.0	1909.85	6516.03	2417.67	2502.97	4869.99	3039.3	3039.3	2720.15	3467.27	3982.99	4358.66	4972.34	3955.48	3928.15	4512.4	2855.44	4575.41	3639.7	2335.28	3039.3
PGAM5	780.44	371.22	162.14	262.2	162.14	167.9	271.48	231.32	220.32	187.71	253.23	309.83	307.69	224.97	191.67	299.25	480.04	180.02	220.32	346.29	1175.27	397.93	318.57	647.07	325.29	423.61	429.54	466.88	483.38	536.45	808.0	595.34	624.99	575.03	559.28	791.35	536.45	130.6	483.38
PGM1	3212.66	1127.35	514.56	438.59	379.04	511.0	507.46	728.11	575.03	620.67	426.57	1073.91	802.41	718.08	656.11	642.59	1378.57	480.04	579.04	878.17	4769.75	1073.91	796.86	2193.99	808.0	1030.12	1331.57	2018.8	1936.53	769.69	3419.52	1159.07	2520.38	1378.57	941.27	2367.9	1685.71	1066.48	1268.46
POLDIP2	2287.2	1685.71	890.44	1066.48	954.43	1044.52	1277.29	1104.13	1051.79	896.64	1457.23	1977.24	1487.87	1447.15	1331.57	1359.57	1651.0	1081.39	1304.15	1806.78	4358.66	1857.6	1322.37	1977.24	954.43	1561.89	1605.83	1617.0	1529.73	1127.35	1709.26	1529.73	1651.0	1551.09	1617.0	1870.53	1709.26	808.0	1639.59
POLR3H	961.07	660.68	339.14	379.04	490.14	334.46	454.09	470.14	454.09	480.04	518.15	559.28	679.29	463.65	642.59	497.0	607.87	409.15	616.37	583.07	341.51	540.19	454.09	842.36	420.68	599.49	595.34	674.59	759.08	603.67	934.76	674.59	733.19	713.11	595.34	934.76	587.13	237.86	579.04
PPIF	1073.91	995.0	438.59	480.04	351.14	346.29	684.02	708.18	409.15	320.8	607.87	995.0	896.64	802.41	703.28	629.35	941.27	438.59	642.59	921.88	2627.46	571.05	753.83	819.3	500.46	802.41	921.88	796.86	703.28	1242.34	1369.04	1583.71	802.41	540.19	830.75	1286.18	884.29	718.08	1225.22
PPM1G	2400.97	1519.15	780.44	830.75	718.08	728.11	866.07	813.63	896.64	802.41	836.53	1216.75	1059.11	1073.91	947.83	860.08	1487.87	825.0	954.43	1081.39	1427.22	884.29	830.75	1529.73	866.07	1159.07	1508.65	1651.0	1639.59	1477.58	2061.24	1437.15	1757.34	1350.18	1119.56	1733.13	1540.37	1037.29	1427.22
PSMA5	2720.15	1551.09	872.1	961.07	854.13	878.17	981.29	967.76	921.88	1151.06	896.64	1427.22	1199.98	1183.45	995.0	1066.48	1733.13	848.22	1096.5	1199.98	3190.46	1407.55	1639.59	3060.45	1259.69	1561.89	1721.16	1757.34	1870.53	1605.83	2816.11	2287.2	2591.27	1909.85	1551.09	2520.38	1819.35	1407.55	1857.6
PSMA6	4388.98	2627.46	1467.37	1467.37	1250.98	1051.79	1651.0	1498.22	1088.92	1583.71	1508.65	2240.11	2075.59	1331.57	1417.35	1617.0	2047.0	1529.73	1617.0	1583.71	5913.33	1709.26	2163.77	4181.07	1794.29	2777.33	2434.5	3235.01	3081.75	2032.85	3901.01	3491.39	4607.24	2796.65	2061.24	3190.46	3124.78	2047.0	2915.45
PSMB5	4481.23	2451.44	1286.18	1096.5	1159.07	1369.04	1111.82	1159.07	1242.34	1369.04	1175.27	2319.15	1896.65	1477.58	1135.2	1369.04	2537.92	1081.39	1369.04	1467.37	5954.47	1832.01	1685.71	3768.09	1605.83	1745.2	2627.46	2997.45	2895.31	2090.03	3018.3	3325.99	4095.0	2193.99	2061.24	3874.05	2758.13	1819.35	2434.5
PSMB6	7433.4	4575.41	1757.34	1909.85	1628.26	1508.65	2224.63	2004.85	1769.57	2384.37	2209.26	5006.93	3124.78	2193.99	2061.24	2627.46	5076.84	1963.57	2664.15	3467.27	9344.14	3467.27	3325.99	6745.86	3491.39	2835.7	5147.73	5441.3	4575.41	3614.55	3955.48	5913.33	7230.1	5366.37	7180.15	5329.3	5711.87	2796.65	5751.61
PSMC1	3847.29	2384.37	1304.15	1199.98	1286.18	1216.75	1447.15	1529.73	1268.46	1427.22	1417.35	1936.53	1832.01	1561.89	1331.57	1551.09	2287.2	1167.14	1639.59	1540.37	4869.99	1685.71	1963.57	3564.78	2163.77	2400.97	2520.38	2701.35	2976.74	2537.92	2976.74	2935.74	3742.05	2701.35	2240.11	2720.15	2739.08	1963.57	2451.44
PSMC2	2591.27	1628.26	1008.9	878.17	796.86	909.17	947.83	1051.79	866.07	1037.29	902.89	1295.13	1286.18	1135.2	909.17	872.1	1605.83	769.69	1225.22	1051.79	3280.18	1015.93	1397.83	2133.97	1417.35	1508.65	1529.73	1870.53	1617.0	1477.58	1977.24	1572.76	2032.85	1697.45	1359.57	1923.14	1605.83	1111.82	1617.0
PSMD8	4481.23	3665.02	1844.76	1733.13	1769.57	1662.49	1781.89	2224.63	1685.71	2224.63	1819.35	3280.18	2591.27	2075.59	1745.2	2502.97	4736.79	1561.89	1977.24	2627.46	6792.79	3419.52	3589.58	9025.81	3280.18	4210.15	5517.27	5517.27	4671.57	5219.6	5594.3	7803.01	7130.55	8191.0	4704.07	8363.13	3955.48	3146.52	6471.02
PSME3	1896.65	1208.34	583.07	693.58	616.37	656.11	703.28	674.59	703.28	708.18	612.11	723.08	708.18	703.28	665.29	753.83	1397.83	591.22	656.11	854.13	1407.55	1023.0	878.17	2075.59	934.76	1295.13	1487.87	1437.15	1388.16	1540.37	2335.28	1991.0	1991.0	1757.34	1066.48	1936.53	1417.35	753.83	1397.83
RRS1	854.13	373.81	135.24	156.59	173.85	143.01	244.57	177.53	201.25	197.09	241.19	229.72	423.61	279.14	258.57	242.88	376.41	169.07	314.17	269.6	633.73	289.02	256.78	470.14	297.17	412.0	387.02	454.09	473.41	791.35	836.53	872.1	476.71	450.94	327.56	624.99	507.46	211.31	387.02
SLC25A5	10014.87	5479.15	3039.3	3564.78	2796.65	2240.11	4239.45	4358.66	2682.69	3235.01	3820.7	8134.41	6935.54	5954.47	4388.98	4836.35	7130.55	3443.31	6337.83	6381.92	6121.9	4937.99	5791.62	7130.55	4388.98	7749.1	5913.33	7331.05	7180.15	6652.97	6652.97	5831.91	7749.1	4937.99	5751.61	6294.04	7032.37	5791.62	6652.97
SSBP1	4010.71	3039.3	1397.83	1487.87	1397.83	1498.22	1540.37	1950.0	1427.22	1883.54	1561.89	2319.15	2133.97	2090.03	1540.37	1832.01	2915.45	1487.87	2032.85	1923.14	3768.09	1896.65	2209.26	5594.3	2319.15	1896.65	2163.77	3589.58	3820.7	3018.3	4512.4	3280.18	5183.54	2777.33	2537.92	4010.71	2555.58	2133.97	2720.15
STK40	2224.63	1561.89	624.99	1059.11	780.44	934.76	1277.29	1081.39	1191.69	830.75	1378.57	1378.57	1407.55	1225.22	1259.69	1250.98	2075.59	1088.92	1216.75	1745.2	679.29	1909.85	1417.35	1697.45	1397.83	1583.71	1832.01	1540.37	1397.83	2739.08	2004.85	2956.17	2119.22	2104.58	1457.23	1991.0	2032.85	1388.16	1605.83
STOML2	3716.2	2193.99	1059.11	848.22	1059.11	921.88	1331.57	1378.57	967.76	1023.0	1340.84	2434.5	1639.59	1417.35	1259.69	1583.71	2502.97	848.22	1477.58	1781.89	3540.14	1639.59	1870.53	3349.13	1250.98	1457.23	2133.97	3103.19	2645.74	1857.6	3901.01	2434.5	3716.2	2271.4	2537.92	3564.78	2739.08	738.29	2434.5
TIMM17A	1844.76	954.43	466.88	567.1	470.14	460.44	651.58	624.99	540.19	551.56	563.18	928.3	775.05	543.96	638.15	529.06	1023.0	473.41	836.53	866.07	1757.34	665.29	813.63	1167.14	688.78	1397.83	1151.06	1437.15	866.07	1008.9	1572.76	1594.73	1617.0	1208.34	780.44	1467.37	1233.75	961.07	1044.52
TIMM23	1467.37	1030.12	743.43	802.41	743.43	703.28	872.1	728.11	679.29	775.05	890.44	1044.52	902.89	974.5	921.88	836.53	1143.1	738.29	1001.93	921.88	3257.52	1096.5	1096.5	1617.0	1104.13	1277.29	1242.34	1745.2	1159.07	1427.22	1617.0	1896.65	2104.58	1417.35	1119.56	1733.13	1447.15	854.13	1447.15
TKT	11345.82	3540.14	1199.98	1417.35	1437.15	1233.75	1540.37	1721.16	1295.13	1923.14	1427.22	1857.6	2855.44	2133.97	1685.71	1721.16	5479.15	1498.22	2178.83	1991.0	3081.75	2417.67	3564.78	7230.1	2555.58	2609.3	3665.02	4481.23	4736.79	5872.48	7382.04	7642.41	9151.82	4298.64	4010.71	12589.08	7230.1	3081.75	5403.7
TRAPPC3	2451.44	1685.71	941.27	896.64	902.89	1081.39	1135.2	1096.5	1066.48	1023.0	1304.15	1350.18	1378.57	1313.23	1135.2	1242.34	1561.89	1073.91	1143.1	1295.13	1369.04	1794.29	1870.53	2303.12	1540.37	1407.55	1819.35	1909.85	1936.53	2004.85	2997.45	2061.24	2875.3	1870.53	2004.85	1733.13	2075.59	1529.73	2004.85
TSFM	743.43	708.18	242.88	269.6	332.14	351.14	325.29	406.31	327.56	303.44	356.05	417.77	497.0	507.46	329.84	397.93	579.04	255.0	438.59	412.0	1151.06	318.57	426.57	769.69	450.94	236.21	503.95	507.46	603.67	316.37	536.45	555.41	703.28	551.56	656.11	669.92	490.14	164.42	376.41
TUBB4B	12076.21	6426.31	2287.2	3564.78	2090.03	1936.53	2240.11	3124.78	1963.57	3081.75	2384.37	4481.23	3794.3	3349.13	3395.89	3146.52	7857.29	3168.41	4575.41	5112.16	14163.58	4388.98	3018.3	8363.13	3257.52	7180.15	8598.28	8078.22	4298.64	6983.79	8363.13	9474.59	4836.35	5751.61	5872.48	8134.41	8718.32	3190.46	9474.59
TUBG1	1991.0	1175.27	457.25	497.0	316.37	420.68	493.56	460.44	373.81	521.76	507.46	848.22	708.18	591.22	587.13	579.04	1143.1	476.71	642.59	872.1	1191.69	595.34	660.68	1104.13	441.64	802.41	1051.79	1286.18	688.78	500.46	1277.29	813.63	748.61	769.69	836.53	1477.58	1001.93	733.19	1135.2
