	TCGA.FD.A3SM.01A.11R.A22U.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.A6.3809.01A.01R.A278.07	TCGA.A6.6780.01A.11R.A278.07	GTEX.14C38.2626.SM.5RQI4	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.BQ.7059.01A.11R.1965.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.13N11.0926.SM.5IJG2	GTEX.139TS.1426.SM.5IFJD	GTEX.1399R.1226.SM.5P9GF	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.44.3918.01A.01R.A278.07	TCGA.55.7724.01A.11R.2170.07	TCGA.44.2656.01A.02R.A278.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.1313W.0926.SM.5EQ56	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.13FLV.0426.SM.5KLZA	GTEX.PWOO.0726.SM.2I3EB	GTEX.145MF.0726.SM.5Q5BT	GTEX.T8EM.0326.SM.3DB7F	GTEX.13OW8.1726.SM.5L3GO	TCGA.18.3411.01A.01R.0980.07	TCGA.18.3408.01A.01R.0980.07	TCGA.22.4599.01A.01R.1443.07	TCGA.77.8007.11A.01R.2187.07	TCGA.BK.A26L.01A.11R.A277.07	TCGA.BK.A139.01A.11R.A277.07
ARFRP1	599.49	229.72	403.5	438.59	387.02	1572.76	1378.57	1583.71	674.59	651.58	603.67	1159.07	743.43	738.29	1322.37	1259.69	842.36	1369.04	1081.39	616.37	1268.46	559.28	624.99	1397.83	2468.49	934.76	733.19	1037.29	775.05	327.56	713.11	693.58	579.04	389.72	866.07	954.43	769.69	400.71	226.54	540.19	954.43	518.15	624.99	1044.52	579.04	1551.09	860.08	915.51	896.64	476.71	258.57	532.74	190.34	295.11	368.65	684.02	361.04	226.54
ARMC5	214.27	41.52	53.95	71.0	92.7	226.54	256.78	246.28	281.09	343.89	135.24	212.78	318.57	217.27	334.46	237.86	226.54	246.28	260.38	103.69	194.36	511.0	84.04	327.56	460.44	70.51	334.46	176.29	366.09	332.14	146.03	902.89	441.64	473.41	0.0	241.19	0.21	27.64	35.25	38.95	146.03	152.28	82.87	234.57	111.21	269.6	343.89	144.01	248.0	77.79	157.68	106.63	75.64	52.45	57.89	149.12	109.66	29.06
ATP13A1	624.99	1233.75	616.37	988.12	318.57	1030.12	915.51	1135.2	1242.34	1467.37	928.3	1350.18	1167.14	1721.16	1709.26	1286.18	1051.79	1832.01	1378.57	555.41	1059.11	1159.07	1001.93	1457.23	780.44	775.05	633.73	647.07	896.64	759.08	703.28	583.07	447.82	361.04	0.0	1059.11	0.96	551.56	633.73	518.15	426.57	647.07	620.67	1331.57	647.07	1359.57	934.76	698.41	1225.22	698.41	507.46	759.08	743.43	679.29	808.0	703.28	718.08	1037.29
ATP5D	1447.15	518.15	450.94	713.11	2997.45	5292.48	5366.37	7230.1	8078.22	6699.25	6294.04	7911.95	12943.04	3847.29	9540.5	7803.01	4512.4	7180.15	5751.61	4095.0	4450.27	7966.99	5403.7	11745.96	3716.2	2434.5	2664.15	8598.28	6079.61	8840.04	16269.83	9740.98	3794.3	5183.54	0.0	2645.74	1.08	62.12	325.29	80.01	2720.15	2835.7	3103.19	2682.69	1225.22	4419.52	5292.48	1662.49	5006.93	1508.65	890.44	2271.4	2287.2	162.14	1963.57	2739.08	85.82	226.54
ATP6V0A1	753.83	1081.39	540.19	830.75	4972.34	2400.97	3168.41	2004.85	3982.99	4181.07	2485.67	3372.43	2682.69	4010.71	2537.92	3280.18	2645.74	3742.05	1487.87	915.51	902.89	651.58	1529.73	941.27	1088.92	896.64	1322.37	1572.76	1674.06	1605.83	842.36	1073.91	1127.35	728.11	0.0	2271.4	0.85	679.29	961.07	1044.52	1733.13	1242.34	1594.73	1674.06	1857.6	1111.82	2119.22	1605.83	1697.45	1096.5	733.19	1508.65	514.56	563.18	796.86	1023.0	743.43	599.49
B3GNT1	318.57	392.44	76.71	81.14	81.14	759.08	629.35	733.19	583.07	791.35	1023.0	928.3	723.08	599.49	967.76	872.1	571.05	1167.14	366.09	486.75	293.07	234.57	647.07	334.46	616.37	325.29	348.71	518.15	293.07	260.38	595.34	684.02	665.29	872.1	0.0	444.72	0.19	156.59	341.51	152.28	221.86	514.56	182.55	387.02	409.15	457.25	665.29	336.79	651.58	271.48	460.44	426.57	176.29	285.03	154.42	409.15	269.6	90.14
B4GALT7	540.19	486.75	191.67	381.68	115.16	1159.07	1111.82	934.76	1259.69	1259.69	753.83	1551.09	947.83	1143.1	934.76	1191.69	785.88	1233.75	780.44	813.63	1561.89	536.45	656.11	854.13	1437.15	1030.12	429.54	1628.26	896.64	336.79	503.95	521.76	309.83	297.17	0.0	575.03	0.25	135.24	148.09	164.42	728.11	346.29	521.76	860.08	303.44	819.3	571.05	351.14	813.63	339.14	454.09	429.54	438.59	228.13	414.87	559.28	185.11	202.66
BAD	1583.71	825.0	320.8	723.08	748.61	1733.13	2004.85	2573.36	2367.9	2609.3	1896.65	3589.58	3614.55	1909.85	3901.01	2682.69	2303.12	3124.78	1572.76	1628.26	2148.82	1605.83	1529.73	2148.82	3491.39	1081.39	1015.93	3060.45	1437.15	1594.73	854.13	2255.7	1191.69	1498.22	0.0	1674.06	0.73	239.52	543.96	334.46	2004.85	2032.85	1685.71	1340.84	785.88	3372.43	2875.3	921.88	1950.0	1733.13	1081.39	1044.52	1977.24	532.74	1225.22	2163.77	392.44	753.83
BCKDK	954.43	988.12	361.04	314.17	555.41	2240.11	2178.83	1561.89	3257.52	3280.18	2351.53	2075.59	2351.53	3212.66	4152.18	2384.37	1487.87	1923.14	1208.34	1359.57	1127.35	1781.89	444.72	1331.57	2271.4	629.35	1250.98	1268.46	1407.55	2133.97	1844.76	2367.9	1583.71	1529.73	0.0	1159.07	0.72	400.71	591.22	387.02	854.13	947.83	1159.07	1277.29	397.93	1350.18	1331.57	941.27	2061.24	579.04	836.53	775.05	854.13	514.56	764.36	902.89	587.13	170.25
BSG	12160.22	7803.01	2255.7	4210.15	11664.82	20737.16	21320.18	18819.27	52497.92	30361.44	25354.3	36357.37	38430.46	32092.64	43236.64	28923.41	23330.64	35856.82	13306.94	11504.21	12160.22	12676.65	10959.3	12502.12	3564.78	7230.1	7485.11	13776.25	2796.65	3614.55	20881.4	5633.22	4704.07	3103.19	0.0	10225.32	1.31	1733.13	2935.74	2319.15	5076.84	9606.86	27553.49	10225.32	8022.41	7382.04	22225.61	14765.09	20310.37	13586.57	10585.95	6207.38	6207.38	2895.31	9876.98	8778.97	3515.68	3443.31
C14orf159	409.15	309.83	532.74	1001.93	100.83	1143.1	1417.35	1183.45	1844.76	1733.13	1963.57	1950.0	693.58	1331.57	1225.22	1457.23	1781.89	1447.15	571.05	521.76	332.14	400.71	503.95	591.22	764.36	320.8	204.07	218.79	753.83	532.74	575.03	733.19	842.36	909.17	0.0	928.3	0.62	629.35	769.69	928.3	178.77	738.29	1015.93	1304.15	1350.18	1104.13	1191.69	432.53	1844.76	780.44	567.1	819.3	441.64	674.59	432.53	854.13	599.49	624.99
C16orf86	42.41	16.15	3.44	9.63	10.71	348.71	368.65	124.37	414.87	195.72	79.45	138.1	115.16	221.86	480.04	373.81	197.09	236.21	48.87	26.1	43.63	56.68	13.62	49.21	76.71	41.22	63.0	102.97	69.52	124.37	224.97	105.15	94.01	85.22	0.0	97.36	0.31	5.02	7.51	7.11	37.85	69.52	98.04	61.25	33.3	147.06	214.27	139.07	122.64	59.13	33.3	244.57	21.47	5.77	27.25	73.54	9.27	8.38
C19orf24	1870.53	1233.75	121.79	176.29	616.37	1651.0	1936.53	2287.2	2335.28	2720.15	2417.67	2627.46	3768.09	2287.2	3395.89	2193.99	1923.14	2271.4	2997.45	2178.83	3716.2	4736.79	2682.69	5711.87	2104.58	2133.97	1870.53	6561.36	3280.18	2835.7	2351.53	3874.05	1477.58	1977.24	0.0	1331.57	0.15	49.91	132.44	75.64	1709.26	1259.69	981.29	2047.0	1183.45	3235.01	1697.45	525.39	2485.67	738.29	941.27	785.88	1519.15	33.3	988.12	1407.55	24.11	212.78
C19orf25	334.46	123.5	191.67	221.86	201.25	583.07	543.96	679.29	587.13	842.36	947.83	808.0	1151.06	599.49	796.86	708.18	651.58	890.44	934.76	316.37	500.46	417.77	529.06	988.12	674.59	301.33	403.5	1295.13	529.06	314.17	599.49	547.75	334.46	343.89	0.0	607.87	0.3	97.36	46.84	102.25	476.71	454.09	486.75	941.27	514.56	780.44	759.08	228.13	624.99	323.03	269.6	264.03	287.01	29.91	228.13	642.59	76.17	202.66
C19orf43	2682.69	1936.53	3982.99	2104.58	4671.57	3540.14	3665.02	4543.8	2956.17	2627.46	2224.63	4869.99	4298.64	2739.08	3060.45	4328.55	3235.01	4972.34	4450.27	1870.53	4010.71	5041.77	4181.07	5183.54	5183.54	3349.13	2287.2	4836.35	6121.9	4972.34	4239.45	6121.9	3639.7	3419.52	0.0	3349.13	1.0	2224.63	3540.14	2047.0	2682.69	3280.18	4736.79	3257.52	2133.97	6840.04	6561.36	3235.01	3742.05	2609.3	1781.89	2895.31	2555.58	2875.3	3146.52	3874.05	1594.73	2178.83
C19orf70	1096.5	1277.29	813.63	974.5	429.54	2555.58	2997.45	3103.19	2720.15	3124.78	3690.52	3716.2	3847.29	2148.82	4239.45	3491.39	2287.2	3639.7	2178.83	1167.14	1819.35	2400.97	1709.26	2609.3	1498.22	1427.22	1151.06	2976.74	2133.97	2255.7	4298.64	2240.11	1407.55	1498.22	0.0	1583.71	0.47	547.75	397.93	521.76	1487.87	1883.54	1819.35	2255.7	1259.69	2502.97	2178.83	713.11	2591.27	1508.65	825.0	909.17	1832.01	743.43	1857.6	2255.7	143.01	529.06
C1orf86	2664.15	201.25	147.06	105.15	780.44	1572.76	1378.57	1508.65	2591.27	1745.2	1709.26	2434.5	3419.52	1896.65	1909.85	2018.8	1794.29	2061.24	1175.27	941.27	1498.22	1806.78	791.35	1896.65	2148.82	764.36	1073.91	4543.8	813.63	785.88	947.83	1447.15	525.39	669.92	0.0	1242.34	0.92	105.89	187.71	106.63	1457.23	1183.45	1175.27	1073.91	603.67	1769.57	1909.85	802.41	2335.28	633.73	363.56	759.08	1008.9	45.85	665.29	1551.09	94.67	163.28
C21orf2	152.28	55.49	52.45	73.03	135.24	1104.13	866.07	961.07	808.0	1104.13	473.41	884.29	796.86	791.35	1757.34	967.76	748.61	915.51	409.15	387.02	348.71	638.15	387.02	796.86	890.44	423.61	234.57	595.34	551.56	633.73	497.0	571.05	237.86	351.14	0.0	796.86	0.69	44.25	61.68	69.03	206.94	543.96	466.88	267.73	371.22	656.11	1340.84	336.79	769.69	616.37	368.65	441.64	191.67	29.91	145.02	536.45	36.27	59.97
CAMK1	172.65	59.13	532.74	500.46	470.14	1199.98	921.88	808.0	642.59	525.39	769.69	808.0	780.44	438.59	1477.58	1104.13	915.51	1023.0	1127.35	1073.91	603.67	525.39	1407.55	693.58	660.68	1259.69	1242.34	1561.89	780.44	902.89	1159.07	759.08	802.41	1111.82	0.0	532.74	0.72	325.29	316.37	417.77	371.22	591.22	147.06	954.43	642.59	708.18	612.11	563.18	420.68	195.72	283.05	198.47	450.94	303.44	356.05	620.67	177.53	178.77
CCDC12	3081.75	384.34	547.75	497.0	493.56	2796.65	2835.7	2119.22	1508.65	1199.98	1674.06	1857.6	1662.49	1066.48	2061.24	2502.97	1407.55	2664.15	1733.13	1044.52	1896.65	1119.56	1870.53	2148.82	1950.0	1594.73	1437.15	2287.2	1781.89	1583.71	1628.26	1662.49	1066.48	796.86	0.0	1487.87	0.75	429.54	438.59	435.55	1096.5	1407.55	1733.13	1628.26	1304.15	2400.97	1857.6	836.53	1447.15	1350.18	1208.34	1350.18	981.29	656.11	1044.52	1457.23	435.55	314.17
CCDC124	1313.23	620.67	208.38	204.07	1487.87	2400.97	2682.69	2816.11	2627.46	2758.13	2209.26	3716.2	3103.19	2319.15	2451.44	3060.45	2119.22	3768.09	2520.38	1313.23	2701.35	2976.74	1883.54	3103.19	2163.77	1594.73	1896.65	3794.3	2104.58	1508.65	3540.14	1857.6	1295.13	1551.09	0.0	1794.29	1.0	115.97	289.02	208.38	1685.71	1447.15	1628.26	1950.0	1923.14	4972.34	2816.11	1088.92	3515.68	1143.1	733.19	860.08	2335.28	323.03	1233.75	1745.2	255.0	267.73
CD320	612.11	759.08	490.14	796.86	915.51	1583.71	1001.93	1030.12	860.08	2701.35	2075.59	3443.31	2178.83	1508.65	2090.03	1870.53	909.17	2163.77	961.07	995.0	890.44	902.89	693.58	769.69	392.44	743.43	486.75	2468.49	414.87	234.57	1119.56	426.57	312.0	283.05	0.0	629.35	0.51	59.97	169.07	138.1	1417.35	684.02	264.03	1059.11	1199.98	1467.37	693.58	368.65	1870.53	291.04	595.34	327.56	1313.23	131.51	1183.45	785.88	100.83	441.64
CDIP1	403.5	155.5	51.35	55.89	223.41	1709.26	1447.15	1369.04	3395.89	3257.52	1991.0	2351.53	2609.3	3018.3	3349.13	2502.97	1313.23	1259.69	748.61	860.08	836.53	400.71	480.04	507.46	1119.56	536.45	1175.27	764.36	595.34	1096.5	2032.85	1369.04	525.39	579.04	0.0	507.46	0.54	161.02	403.5	193.01	217.27	384.34	232.94	1199.98	417.77	759.08	514.56	220.32	764.36	194.36	559.28	397.93	158.79	172.65	314.17	447.82	141.02	128.79
CDIPT	2104.58	1709.26	470.14	412.0	896.64	2335.28	2502.97	2915.45	3395.89	3742.05	2061.24	2555.58	3443.31	3395.89	5076.84	3491.39	2104.58	2255.7	2303.12	1457.23	3443.31	2451.44	1388.16	3124.78	2875.3	1769.57	3874.05	2047.0	3103.19	4123.49	2178.83	2835.7	1819.35	2537.92	0.0	2384.37	0.74	551.56	1199.98	651.58	2682.69	2090.03	1498.22	2271.4	2367.9	2895.31	4066.71	1350.18	3491.39	995.0	2018.8	1757.34	1832.01	1127.35	1208.34	1870.53	836.53	339.14
CLN3	1721.16	3690.52	159.9	426.57	684.02	1467.37	1322.37	1697.45	2303.12	2384.37	1030.12	3395.89	1806.78	2367.9	2520.38	2351.53	1572.76	1819.35	1745.2	1242.34	3491.39	2119.22	1662.49	2224.63	3325.99	1208.34	2224.63	2520.38	679.29	723.08	1088.92	1175.27	1151.06	2032.85	2591.27	1617.0	961.07	236.21	563.18	293.07	2319.15	1467.37	1199.98	1216.75	1350.18	1628.26	2739.08	759.08	1832.01	669.92	1191.69	1001.93	830.75	493.56	536.45	1304.15	387.02	389.72
CLPTM1	2400.97	3168.41	540.19	466.88	1322.37	2271.4	1950.0	2502.97	3614.55	3928.15	2148.82	3716.2	5672.41	3325.99	2555.58	2591.27	3018.3	3419.52	3081.75	5441.3	3982.99	3716.2	3665.02	3982.99	3103.19	2335.28	4836.35	3847.29	2895.31	3039.3	3665.02	4419.52	2855.44	3372.43	2178.83	2255.7	206.94	490.14	1594.73	473.41	4095.0	1963.57	1322.37	1674.06	1639.59	2720.15	3060.45	1605.83	2915.45	1378.57	1806.78	1697.45	1447.15	1397.83	2701.35	1721.16	1059.11	738.29
COL18A1	1143.1	273.37	287.01	253.23	2855.44	3665.02	3564.78	4450.27	4543.8	4450.27	3349.13	7230.1	3665.02	4869.99	6935.54	4543.8	5292.48	2875.3	10808.41	4095.0	5954.47	12160.22	11827.67	8078.22	9876.98	4210.15	8363.13	2163.77	10808.41	8305.36	1977.24	17078.76	13586.57	6840.04	0.0	1268.46	1.07	129.69	151.22	514.56	1008.9	403.5	343.89	2163.77	1991.0	1662.49	1286.18	3690.52	1151.06	486.75	591.22	1447.15	563.18	29.91	417.77	961.07	3235.01	1023.0
COPE	2417.67	2956.17	1199.98	1477.58	4736.79	5329.3	5041.77	6037.61	7130.55	6561.36	5006.93	8022.41	7180.15	6699.25	6381.92	5954.47	4512.4	6381.92	6037.61	3235.01	5255.91	6121.9	5329.3	8421.31	4388.98	4123.49	2895.31	6887.62	4268.94	2777.33	4239.45	3847.29	2537.92	2502.97	0.0	4010.71	0.91	995.0	1037.29	1183.45	5872.48	4869.99	3639.7	3982.99	3081.75	5041.77	4671.57	2609.3	7032.37	3257.52	2645.74	2537.92	8134.41	1225.22	4123.49	5292.48	808.0	878.17
CUTA	6471.02	4937.99	2664.15	1923.14	1794.29	7032.37	6337.83	7966.99	9474.59	8538.88	12076.21	15715.58	9409.14	10225.32	6250.56	12764.83	6516.03	9876.98	5995.9	8658.09	16157.44	7230.1	11267.44	8840.04	9673.69	5479.15	10512.82	13968.57	4481.23	6037.61	7537.18	8363.13	6426.31	8191.0	0.0	4575.41	1.08	1896.65	3349.13	1936.53	5633.22	4769.75	4152.18	5255.91	3515.68	7485.11	7589.61	3146.52	7230.1	4388.98	3212.66	4181.07	3372.43	3614.55	2796.65	4123.49	3467.27	3303.0
CYB5R3	3928.15	3901.01	825.0	669.92	4181.07	6037.61	6607.01	5751.61	7589.61	6250.56	3589.58	5791.62	9088.59	9025.81	9215.48	7180.15	7433.4	7331.05	4481.23	6745.86	7180.15	3395.89	4937.99	6337.83	4736.79	2664.15	2193.99	1857.6	3982.99	3794.3	6745.86	5751.61	4704.07	3955.48	3103.19	5006.93	629.35	603.67	3716.2	647.07	2835.7	4450.27	4450.27	4358.66	5147.73	3614.55	7857.29	10883.59	8305.36	5255.91	6745.86	4869.99	4095.0	2915.45	3212.66	5555.65	1233.75	2609.3
DDRGK1	1561.89	1721.16	733.19	414.87	529.06	3190.46	2224.63	2271.4	2209.26	2335.28	1733.13	3665.02	3060.45	2032.85	3901.01	2178.83	2119.22	3257.52	2701.35	1417.35	2895.31	2468.49	2384.37	3212.66	2104.58	2163.77	1685.71	2875.3	1991.0	1757.34	2664.15	2271.4	2701.35	2935.74	0.0	1950.0	0.88	595.34	629.35	536.45	1417.35	1870.53	1628.26	1605.83	4869.99	1572.76	2119.22	854.13	2434.5	1950.0	511.0	2240.11	1030.12	775.05	1437.15	1605.83	397.93	595.34
DNPH1	1268.46	414.87	674.59	532.74	563.18	3847.29	2720.15	4419.52	5711.87	3901.01	4419.52	5366.37	8078.22	3716.2	5147.73	5791.62	3768.09	6250.56	2796.65	2240.11	4010.71	4388.98	4802.93	4736.79	4095.0	3467.27	2148.82	6337.83	3614.55	3081.75	4481.23	4639.29	2816.11	5403.7	0.0	1286.18	0.27	503.95	215.77	547.75	2351.53	1529.73	1081.39	1529.73	651.58	1340.84	1159.07	684.02	2537.92	2193.99	813.63	769.69	3168.41	255.0	860.08	1529.73	256.78	409.15
