	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.AO.A1KO.01A.31R.A13Q.07	TCGA.AC.A3HN.01A.11R.A213.07	TCGA.BH.A18J.11A.31R.A12D.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.E9.A1N4.11A.33R.A14M.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.W5X1.2326.SM.3GIL6	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.BC.4073.01B.02R.A131.07	TCGA.CC.5263.01A.01R.A131.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.PX3G.0826.SM.48TZS	GTEX.11NV4.1326.SM.5HL6V	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.11OF3.0726.SM.5BC4Z	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH
C7orf60	190.34	183.82	108.9	156.59	106.63	204.07	175.07	170.25	208.38	303.44	236.21	106.63	249.73	208.38	255.0	277.2	368.65	19.39	69.52	100.13	94.01	8.99	18.84	42.41	22.43	18.16	21.01	28.04	27.84	34.02	31.22	12.55	21.63	27.64	19.68	42.71	26.86	17.0	25.72	26.86	21.78	15.8	24.46	29.06	26.86	8.51	40.64	28.45	4.54	43.63	9.06	34.75	39.5
CCDC132	860.08	486.75	316.37	371.22	271.48	480.04	529.06	571.05	366.09	555.41	503.95	271.48	476.71	447.82	551.56	624.99	738.29	88.88	226.54	172.65	258.57	47.84	102.97	124.37	72.52	77.79	91.41	120.94	61.68	129.69	92.7	100.83	135.24	103.69	72.01	118.43	68.55	88.26	122.64	130.6	131.51	110.43	100.13	100.13	92.7	89.51	134.3	134.3	33.78	119.26	47.17	111.99	127.89
CCDC66	435.55	363.56	297.17	291.04	208.38	521.76	420.68	384.34	351.14	642.59	473.41	208.38	624.99	341.51	607.87	612.11	595.34	40.07	277.2	119.26	131.51	9.48	61.68	79.45	74.06	34.02	67.59	104.42	59.13	65.72	76.17	57.08	84.04	78.34	48.18	102.25	38.4	82.29	75.64	73.54	38.95	83.45	59.55	50.98	60.39	66.18	115.16	118.43	12.55	114.36	17.64	76.17	78.89
CCP110	808.0	285.03	287.01	395.18	241.19	305.55	466.88	318.57	301.33	583.07	371.22	241.19	351.14	358.54	583.07	403.5	420.68	17.0	90.14	121.79	189.02	10.24	33.06	52.08	71.0	14.14	21.63	89.51	44.25	34.02	75.11	53.95	48.87	66.65	45.85	73.54	13.83	20.56	46.84	38.4	19.25	72.01	37.85	37.59	59.55	50.98	99.43	69.52	21.78	99.43	18.43	74.06	36.27
CD2AP	1268.46	684.02	414.87	420.68	384.34	651.58	1037.29	518.15	607.87	836.53	733.19	384.34	813.63	684.02	620.67	802.41	679.29	127.89	753.83	571.05	718.08	55.1	182.55	339.14	217.27	120.94	120.94	199.85	121.79	198.47	255.0	181.28	229.72	220.32	220.32	198.47	134.3	178.77	232.94	231.32	187.71	127.0	158.79	231.32	141.02	122.64	309.83	229.72	144.01	579.04	191.67	209.84	293.07
CTDSPL2	915.51	532.74	366.09	384.34	371.22	476.71	665.29	441.64	507.46	808.0	612.11	371.22	629.35	514.56	599.49	567.1	1059.11	52.45	295.11	343.89	384.34	37.59	88.88	120.1	100.83	49.91	51.35	172.65	76.71	127.0	119.26	60.39	149.12	65.26	67.59	140.04	82.87	84.04	101.54	101.54	28.86	164.42	64.8	88.88	80.01	85.82	166.73	132.44	49.21	161.02	70.51	121.79	124.37
CXorf23	248.0	172.65	108.9	129.69	131.51	201.25	269.6	166.73	155.5	218.79	193.01	131.51	202.66	181.28	183.82	194.36	246.28	44.25	108.9	64.34	67.12	10.71	37.05	50.98	31.0	29.27	43.32	44.57	37.59	42.71	35.76	21.16	68.07	17.9	27.25	39.5	23.59	34.02	29.48	59.55	20.26	49.21	34.02	30.78	27.64	38.4	111.99	36.27	8.32	44.89	28.65	56.68	33.54
CXorf24	92.7	80.01	60.82	54.33	69.03	83.45	54.33	92.7	85.82	118.43	84.63	69.03	87.65	97.36	141.02	115.97	62.56	17.77	52.82	45.85	36.27	13.72	17.51	21.01	15.8	24.28	25.35	27.05	24.63	14.56	17.0	20.11	35.0	18.56	10.0	47.84	24.63	26.86	13.93	18.97	23.76	23.42	21.63	28.45	9.63	8.51	34.02	11.13	15.11	37.59	5.36	21.78	28.24
DCAF17	343.89	303.44	178.77	232.94	202.66	260.38	341.51	239.52	253.23	403.5	353.59	202.66	287.01	262.2	241.19	320.8	490.14	43.94	142.01	127.89	130.6	29.27	60.39	84.63	69.03	34.75	70.51	63.45	44.57	102.25	46.5	56.68	69.52	60.82	35.0	89.51	33.78	71.5	66.18	86.43	62.12	80.57	69.52	63.45	80.57	57.49	108.14	122.64	32.82	130.6	14.03	96.68	84.04
DIP2B	633.73	403.5	327.56	376.41	253.23	426.57	441.64	332.14	412.0	483.38	460.44	253.23	397.93	309.83	536.45	432.53	441.64	67.12	348.71	423.61	289.02	77.79	106.63	297.17	171.45	121.79	97.36	162.14	185.11	156.59	212.78	112.77	81.71	120.1	146.03	223.41	164.42	181.28	161.02	195.72	116.78	117.6	166.73	100.83	138.1	104.42	173.85	130.6	51.71	297.17	127.0	224.97	164.42
DNAJB14	780.44	373.81	293.07	297.17	316.37	397.93	633.73	392.44	332.14	532.74	417.77	316.37	423.61	400.71	460.44	429.54	921.88	58.3	175.07	262.2	145.02	26.47	71.0	111.99	74.58	47.84	57.08	84.04	55.1	133.36	77.25	94.67	153.34	88.88	48.18	143.01	68.07	72.01	116.78	120.1	82.29	105.89	109.66	117.6	70.01	65.26	202.66	143.01	52.45	234.57	44.25	92.05	147.06
DOCK1	1250.98	954.43	559.28	764.36	813.63	830.75	934.76	928.3	902.89	878.17	1119.56	813.63	909.17	842.36	825.0	1331.57	1477.58	98.73	392.44	211.31	409.15	140.04	226.54	157.68	83.45	157.68	191.67	154.42	100.83	323.03	205.5	91.41	167.9	141.02	197.09	226.54	212.78	137.14	305.55	358.54	148.09	120.1	187.71	237.86	145.02	251.48	241.19	199.85	70.51	169.07	77.79	201.25	193.01
DYRK1A	1617.0	1008.9	669.92	808.0	638.15	1088.92	947.83	921.88	928.3	1467.37	1001.93	638.15	1225.22	961.07	1030.12	1044.52	1096.5	177.53	713.11	305.55	808.0	106.63	215.77	283.05	158.79	185.11	201.25	249.73	232.94	231.32	187.71	190.34	242.88	201.25	181.28	318.57	195.72	180.02	336.79	204.07	275.28	224.97	323.03	159.9	241.19	269.6	299.25	299.25	120.94	309.83	305.55	226.54	256.78
DZIP3	551.56	166.73	113.56	142.01	189.02	199.85	305.55	185.11	185.11	293.07	220.32	189.02	189.02	181.28	356.05	454.09	532.74	27.44	111.99	43.32	141.02	12.64	40.36	56.28	50.63	48.87	63.0	127.89	53.57	54.33	63.0	50.27	36.53	31.22	59.13	102.25	23.42	37.85	68.55	81.71	68.07	84.63	49.91	33.54	38.95	32.36	72.52	49.21	15.45	71.0	23.08	60.39	56.68
EEA1	348.71	231.32	190.34	246.28	255.0	208.38	307.69	256.78	237.86	387.02	273.37	255.0	299.25	209.84	277.2	339.14	743.43	35.25	148.09	197.09	156.59	17.38	55.1	175.07	61.25	48.87	57.49	72.01	55.89	109.66	64.8	50.27	66.65	57.08	58.3	92.05	60.82	69.03	92.7	88.26	63.89	52.45	88.26	81.14	72.01	38.12	92.05	81.71	62.56	178.77	50.63	112.77	131.51
EPS15	1322.37	759.08	624.99	748.61	764.36	688.78	915.51	684.02	708.18	1001.93	764.36	764.36	769.69	713.11	872.1	665.29	1388.16	158.79	351.14	460.44	423.61	126.12	307.69	473.41	248.0	172.65	193.01	343.89	239.52	336.79	303.44	309.83	376.41	271.48	271.48	334.46	167.9	248.0	281.09	325.29	314.17	253.23	325.29	334.46	248.0	262.2	395.18	397.93	246.28	555.41	262.2	289.02	500.46
ERBB2IP	2591.27	921.88	830.75	647.07	647.07	1030.12	1467.37	743.43	860.08	1216.75	961.07	647.07	1059.11	947.83	1159.07	1073.91	1991.0	163.28	813.63	896.64	547.75	89.51	275.28	503.95	239.52	140.04	307.69	218.79	273.37	409.15	381.68	264.03	392.44	414.87	195.72	379.04	223.41	253.23	392.44	417.77	275.28	146.03	392.44	271.48	260.38	237.86	346.29	318.57	189.02	988.12	218.79	371.22	426.57
ERCC4	323.03	133.36	142.01	163.28	187.71	124.37	293.07	122.64	161.02	189.02	158.79	187.71	142.01	157.68	130.6	175.07	743.43	23.93	58.3	83.45	73.03	17.0	33.78	30.34	32.13	25.91	34.51	74.06	52.45	42.41	31.22	29.7	43.32	28.86	20.41	54.33	28.86	41.22	18.56	41.22	44.57	62.12	61.68	20.56	29.06	31.45	45.85	49.21	8.51	40.64	7.06	46.18	54.72
FAM63B	381.68	228.13	134.3	187.71	189.02	256.78	265.87	223.41	232.94	406.31	332.14	189.02	202.66	239.52	329.84	239.52	595.34	16.27	105.15	96.68	60.82	7.34	43.94	50.27	24.28	7.75	22.26	51.71	19.68	59.13	35.0	28.65	48.87	28.65	18.84	49.21	24.11	21.01	61.25	32.82	22.75	37.59	28.24	65.72	41.52	27.25	59.13	60.39	26.67	76.71	48.18	39.79	35.76
FBXO11	1304.15	928.3	616.37	813.63	802.41	928.3	1151.06	902.89	947.83	1242.34	1073.91	802.41	961.07	947.83	1359.57	1378.57	1757.34	218.79	775.05	529.06	651.58	119.26	309.83	426.57	285.03	293.07	260.38	420.68	291.04	275.28	371.22	209.84	420.68	316.37	224.97	389.72	318.57	295.11	397.93	381.68	336.79	320.8	329.84	228.13	336.79	277.2	432.53	438.59	153.34	647.07	318.57	356.05	343.89
FCHO2	796.86	518.15	423.61	420.68	320.8	540.19	514.56	406.31	438.59	718.08	543.96	320.8	583.07	454.09	447.82	336.79	866.07	86.43	279.14	223.41	193.01	48.18	158.79	204.07	172.65	96.68	87.03	205.5	105.89	176.29	234.57	117.6	172.65	197.09	96.68	185.11	56.68	144.01	185.11	177.53	142.01	171.45	169.07	180.02	116.78	98.04	204.07	220.32	90.77	228.13	67.59	154.42	241.19
FNBP1L	1447.15	1551.09	738.29	995.0	872.1	1216.75	1233.75	1242.34	1350.18	1674.06	1498.22	872.1	1467.37	1268.46	1457.23	1127.35	693.58	107.38	457.25	470.14	748.61	96.01	130.6	363.56	239.52	162.14	170.25	185.11	130.6	343.89	234.57	84.63	242.88	100.83	120.94	194.36	143.01	138.1	229.72	194.36	205.5	105.89	167.9	135.24	264.03	112.77	275.28	112.77	56.68	323.03	59.97	234.57	444.72
FNIP1	954.43	334.46	318.57	248.0	361.04	368.65	497.0	253.23	285.03	327.56	361.04	361.04	327.56	366.09	346.29	323.03	674.59	117.6	232.94	265.87	169.07	63.45	76.71	234.57	83.45	60.82	39.22	126.12	67.12	152.28	129.69	69.03	153.34	83.45	114.36	182.55	115.97	94.67	119.26	112.77	77.79	124.37	153.34	87.03	103.69	111.99	157.68	155.5	88.88	195.72	205.5	115.16	126.12
FOPNL	1135.2	967.76	438.59	642.59	819.3	825.0	995.0	753.83	753.83	1208.34	915.51	819.3	830.75	791.35	1104.13	842.36	1844.76	229.72	438.59	693.58	665.29	265.87	325.29	389.72	316.37	323.03	323.03	470.14	395.18	540.19	412.0	379.04	429.54	316.37	429.54	454.09	265.87	305.55	438.59	463.65	361.04	414.87	327.56	438.59	307.69	258.57	633.73	420.68	281.09	587.13	163.28	579.04	642.59
FRS2	1023.0	599.49	325.29	397.93	438.59	616.37	2417.67	612.11	579.04	733.19	603.67	438.59	723.08	1233.75	1001.93	2335.28	1001.93	43.94	301.33	190.34	267.73	56.28	141.02	149.12	80.01	95.34	90.14	108.9	132.44	158.79	107.38	115.16	154.42	103.69	101.54	140.04	77.25	88.26	72.52	112.77	108.14	112.77	120.94	83.45	100.13	63.45	201.25	100.83	64.8	183.82	46.5	98.04	152.28
GLTSCR1L	353.59	473.41	202.66	318.57	256.78	435.55	395.18	379.04	381.68	624.99	450.94	256.78	490.14	373.81	571.05	543.96	665.29	38.95	190.34	107.38	131.51	38.67	72.01	92.7	65.26	42.71	58.3	107.38	72.52	70.51	90.77	62.56	76.17	71.0	68.55	113.56	52.08	82.87	96.68	74.06	73.03	90.14	84.63	70.01	65.26	45.53	94.67	94.01	27.84	124.37	25.72	67.59	94.01
GOPC	624.99	665.29	387.02	500.46	392.44	633.73	647.07	532.74	624.99	884.29	679.29	392.44	684.02	579.04	909.17	866.07	1199.98	63.89	332.14	265.87	325.29	120.1	103.69	209.84	249.73	116.78	198.47	265.87	136.19	234.57	177.53	167.9	323.03	204.07	163.28	301.33	104.42	143.01	143.01	283.05	173.85	202.66	177.53	128.79	138.1	116.78	271.48	186.4	76.17	312.0	68.55	239.52	301.33
GTF2A1	674.59	511.0	297.17	371.22	341.51	412.0	575.03	423.61	454.09	591.22	490.14	341.51	466.88	466.88	518.15	551.56	1023.0	73.54	239.52	346.29	267.73	92.7	133.36	176.29	161.02	111.21	126.12	167.9	144.01	232.94	133.36	144.01	234.57	186.4	128.79	167.9	102.97	138.1	124.37	167.9	127.0	180.02	131.51	130.6	144.01	92.05	220.32	135.24	96.01	217.27	51.71	173.85	260.38
HSF2	325.29	320.8	189.02	289.02	226.54	279.14	403.5	299.25	265.87	463.65	348.71	226.54	336.79	234.57	363.56	343.89	567.1	36.79	241.19	162.14	246.28	40.93	62.56	84.04	48.18	52.82	32.59	112.77	57.89	77.79	87.65	36.53	72.01	68.07	71.0	81.14	44.25	60.39	75.64	100.13	41.81	59.55	92.7	73.54	71.5	42.71	122.64	59.55	36.27	110.43	35.0	79.45	60.39
IPP	540.19	353.59	255.0	229.72	273.37	384.34	438.59	283.05	325.29	363.56	287.01	273.37	307.69	305.55	450.94	444.72	547.75	68.07	155.5	205.5	189.02	67.59	128.79	164.42	102.25	131.51	125.24	189.02	103.69	104.42	129.69	111.99	124.37	88.26	84.63	156.59	101.54	130.6	105.15	137.14	136.19	100.13	89.51	75.11	121.79	45.85	206.94	120.1	103.69	126.12	63.89	149.12	132.44
KIDINS220	1096.5	884.29	525.39	753.83	656.11	941.27	902.89	830.75	836.53	1119.56	1037.29	656.11	902.89	872.1	1359.57	1151.06	1540.37	82.87	376.41	356.05	397.93	76.17	134.3	368.65	147.06	121.79	127.0	283.05	133.36	205.5	214.27	138.1	205.5	215.77	110.43	309.83	105.89	211.31	275.28	176.29	201.25	167.9	246.28	77.79	187.71	146.03	242.88	303.44	76.71	366.09	96.01	176.29	190.34
KIF13A	738.29	921.88	540.19	780.44	954.43	981.29	1001.93	785.88	872.1	1073.91	1059.11	954.43	802.41	909.17	1295.13	1674.06	1883.54	215.77	713.11	647.07	595.34	220.32	297.17	536.45	309.83	327.56	217.27	392.44	277.2	341.51	228.13	389.72	316.37	271.48	351.14	480.04	368.65	450.94	285.03	351.14	336.79	303.44	239.52	332.14	208.38	155.5	351.14	255.0	171.45	500.46	103.69	285.03	299.25
LATS1	665.29	486.75	236.21	291.04	271.48	381.68	503.95	376.41	392.44	656.11	435.55	271.48	470.14	356.05	460.44	406.31	808.0	32.36	223.41	138.1	262.2	43.02	96.68	118.43	76.71	42.11	96.68	112.77	60.39	146.03	143.01	64.34	101.54	66.65	44.25	175.07	54.33	88.26	134.3	127.0	55.89	96.01	90.77	118.43	89.51	94.67	120.94	135.24	35.76	142.01	60.82	71.0	125.24
LEMD3	629.35	392.44	236.21	336.79	287.01	381.68	316.37	379.04	397.93	591.22	417.77	287.01	466.88	426.57	638.15	412.0	728.11	60.82	277.2	220.32	291.04	63.89	105.15	195.72	127.0	84.63	137.14	87.65	118.43	307.69	127.0	84.63	120.1	96.01	84.63	95.34	109.66	143.01	84.63	139.07	74.58	98.73	145.02	91.41	103.69	127.89	165.57	187.71	60.39	253.23	123.5	116.78	209.84
LINS	358.54	395.18	281.09	269.6	231.32	249.73	423.61	348.71	327.56	642.59	325.29	231.32	470.14	318.57	348.71	297.17	521.76	84.63	228.13	198.47	236.21	51.71	85.22	73.54	154.42	83.45	120.94	113.56	108.14	84.04	78.89	88.88	142.01	89.51	56.68	137.14	111.21	106.63	72.52	102.25	68.07	151.22	90.77	125.24	77.25	114.36	146.03	158.79	23.08	190.34	40.07	155.5	60.39
LNPEP	1001.93	341.51	305.55	314.17	384.34	291.04	412.0	265.87	265.87	460.44	406.31	384.34	314.17	273.37	271.48	246.28	406.31	41.81	124.37	131.51	62.56	21.47	54.72	72.52	49.91	35.25	40.93	92.05	18.43	91.41	50.63	45.21	111.21	54.33	133.36	71.5	18.97	55.89	87.03	45.85	34.51	41.81	63.89	65.26	38.12	22.1	65.26	45.21	17.9	65.26	30.12	43.02	64.34
MAP3K7	624.99	559.28	384.34	403.5	429.54	559.28	616.37	493.56	490.14	688.78	473.41	429.54	587.13	518.15	698.41	612.11	1030.12	111.99	301.33	318.57	511.0	64.34	108.14	229.72	155.5	139.07	182.55	248.0	131.51	148.09	142.01	106.63	164.42	149.12	118.43	178.77	73.03	149.12	195.72	217.27	107.38	158.79	122.64	155.5	191.67	153.34	307.69	251.48	57.49	283.05	75.11	198.47	172.65
MAP4K3	1008.9	536.45	412.0	420.68	503.95	571.05	796.86	490.14	500.46	733.19	587.13	503.95	547.75	486.75	638.15	559.28	878.17	105.89	684.02	379.04	693.58	67.12	165.57	329.84	111.99	82.29	119.26	133.36	141.02	336.79	197.09	143.01	273.37	94.01	172.65	165.57	121.79	151.22	251.48	249.73	113.56	161.02	217.27	129.69	133.36	110.43	185.11	221.86	186.4	395.18	117.6	125.24	299.25
MAP4K5	620.67	902.89	587.13	647.07	669.92	738.29	759.08	733.19	688.78	1167.14	909.17	669.92	941.27	642.59	819.3	651.58	1044.52	67.12	525.39	173.85	480.04	40.93	100.83	105.89	94.67	78.89	69.52	109.66	66.18	143.01	94.01	73.54	137.14	94.01	66.18	153.34	68.55	107.38	109.66	102.25	83.45	59.55	106.63	62.56	76.71	140.04	170.25	149.12	64.34	134.3	99.43	109.66	163.28
MED13L	1583.71	1135.2	633.73	941.27	1151.06	1191.69	1044.52	981.29	1066.48	1457.23	1191.69	1151.06	1183.45	1183.45	1208.34	825.0	1088.92	58.71	297.17	307.69	256.78	49.91	89.51	221.86	152.28	81.71	83.45	172.65	69.03	93.35	126.12	61.68	150.17	147.06	76.17	139.07	61.68	140.04	120.94	139.07	93.35	156.59	127.0	58.3	105.89	128.79	197.09	90.14	47.5	217.27	120.94	116.78	132.44
MED23	878.17	656.11	441.64	463.65	318.57	599.49	830.75	543.96	529.06	775.05	633.73	318.57	624.99	612.11	669.92	620.67	813.63	64.8	368.65	214.27	444.72	74.06	101.54	193.01	218.79	86.43	118.43	248.0	98.04	156.59	206.94	114.36	139.07	150.17	145.02	224.97	78.34	150.17	197.09	166.73	83.45	187.71	112.77	108.14	180.02	129.69	228.13	232.94	32.13	325.29	74.06	180.02	187.71
