	GTEX.ZF2S.2026.SM.5E461	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BC.A10Q.11A.11R.A131.07	TCGA.ES.A2HT.11A.11R.A180.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.FV.A2QR.11A.11R.A213.07	TCGA.BC.A10W.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.13FTW.1126.SM.5J2NV	GTEX.145MO.2326.SM.5NQ9K	TCGA.VN.A88P.01A.11R.A352.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7781.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.144GM.0826.SM.5O98R	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.132NY.2826.SM.5P9G2
CDON	1059.11	9.06	11.04	11.3	18.16	12.55	22.59	10.63	20.11	24.28	5.02	28.86	28.04	113.56	27.05	58.3	43.32	36.27	30.56	21.94	80.57	54.33	46.84	81.71	117.6	26.47	71.0	47.17	11.82	58.3	43.94	78.34
CNTN3	72.01	17.38	43.63	43.63	23.42	28.24	44.89	31.22	43.94	29.91	66.18	77.25	122.64	154.42	124.37	120.1	102.97	134.3	75.64	110.43	104.42	314.17	108.14	119.26	137.14	102.25	142.01	181.28	32.59	114.36	94.67	84.63
CYB561D1	271.48	9.56	9.06	28.86	6.84	3.72	41.52	8.99	15.91	23.93	6.78	44.57	59.13	122.64	90.77	87.03	122.64	48.52	36.79	84.04	141.02	187.71	145.02	127.89	177.53	69.03	127.89	50.63	33.78	99.43	87.65	105.89
DZANK1	164.42	2.89	12.55	10.31	2.43	8.99	19.25	16.03	10.16	10.08	11.91	26.67	41.22	46.18	43.32	52.82	46.5	60.82	35.25	33.54	39.5	48.18	50.27	55.1	47.17	45.21	68.07	24.11	33.78	55.1	57.49	84.04
DZIP3	454.09	12.64	29.91	41.22	20.71	32.59	54.33	28.45	53.19	30.78	33.78	108.14	123.5	185.11	181.28	224.97	173.85	161.02	137.14	141.02	201.25	343.89	163.28	248.0	172.65	205.5	152.28	128.79	102.97	185.11	171.45	224.97
FAM120C	171.45	29.27	41.22	58.3	40.36	59.97	44.89	55.1	39.79	21.01	43.32	64.34	79.45	63.89	57.49	74.58	92.7	88.88	60.82	96.68	53.19	98.73	77.25	81.71	76.17	75.64	111.21	70.51	66.65	80.01	92.05	100.83
FAM21C	1407.55	46.5	129.69	187.71	103.69	58.3	249.73	75.64	114.36	163.28	73.54	236.21	303.44	567.1	497.0	547.75	511.0	373.81	256.78	283.05	395.18	616.37	500.46	555.41	483.38	423.61	780.44	353.59	258.57	591.22	620.67	353.59
FAM53B	361.04	36.27	31.45	82.29	11.3	16.03	90.77	32.13	37.32	57.49	24.63	98.73	149.12	297.17	239.52	242.88	327.56	171.45	61.68	224.97	169.07	400.71	256.78	251.48	318.57	152.28	297.17	106.63	128.79	221.86	214.27	293.07
GLE1	819.3	231.32	226.54	275.28	195.72	234.57	231.32	194.36	269.6	244.57	209.84	265.87	346.29	397.93	343.89	348.71	323.03	256.78	229.72	287.01	293.07	423.61	305.55	356.05	397.93	312.0	303.44	327.56	163.28	379.04	358.54	356.05
GLTSCR1L	543.96	38.67	49.91	61.68	33.3	42.11	96.01	38.12	55.89	48.87	29.7	122.64	201.25	205.5	194.36	255.0	218.79	156.59	103.69	187.71	157.68	366.09	248.0	237.86	218.79	191.67	242.88	205.5	87.65	220.32	199.85	209.84
GOLGA1	389.72	96.01	161.02	209.84	131.51	165.57	175.07	148.09	139.07	155.5	147.06	212.78	215.77	236.21	234.57	277.2	260.38	224.97	127.0	217.27	201.25	336.79	239.52	253.23	285.03	223.41	258.57	195.72	161.02	217.27	239.52	258.57
GSE1	884.29	144.01	199.85	273.37	291.04	246.28	309.83	204.07	173.85	332.14	157.68	262.2	497.0	647.07	514.56	514.56	361.04	470.14	136.19	314.17	297.17	791.35	423.61	463.65	447.82	343.89	412.0	329.84	224.97	500.46	460.44	381.68
LCA5L	180.02	3.08	20.26	18.7	10.63	13.93	16.15	20.11	21.94	5.41	21.47	48.18	24.81	20.11	36.79	105.89	40.36	30.12	50.98	27.05	69.52	53.19	35.25	27.05	37.32	24.81	40.36	53.95	21.78	33.54	36.27	65.26
MEGF8	543.96	117.6	68.55	68.07	38.67	24.81	112.77	49.56	47.17	175.07	27.25	152.28	323.03	444.72	387.02	295.11	361.04	269.6	75.11	363.56	146.03	476.71	368.65	358.54	318.57	224.97	395.18	226.54	190.34	334.46	201.25	291.04
MSMB	1572.76	0.0	40.07	8.92	0.0	0.0	0.0	31.9	0.0	2.18	6.67	800198.39	894051.48	602247.76	569761.05	1019901.63	845824.19	1212874.47	1264380.15	1308968.45	1139523.1	81809.59	1171559.48	919186.72	581732.96	958220.73	577714.63	919186.72	716197.51	1645391.11	894051.48	762299.34
PHF15	785.88	66.65	89.51	98.73	74.58	77.25	117.6	55.49	71.0	46.84	52.82	150.17	153.34	387.02	251.48	297.17	397.93	178.77	154.42	226.54	283.05	708.18	358.54	476.71	432.53	275.28	435.55	291.04	145.02	295.11	381.68	397.93
RPAP1	463.65	265.87	165.57	232.94	148.09	157.68	172.65	199.85	180.02	239.52	178.77	193.01	309.83	316.37	341.51	368.65	295.11	265.87	145.02	334.46	211.31	403.5	303.44	376.41	358.54	316.37	343.89	242.88	246.28	373.81	348.71	406.31
SCAI	150.17	7.34	11.04	11.91	13.12	13.32	19.25	10.71	21.47	10.0	17.64	36.53	28.86	48.18	30.34	34.51	48.52	31.22	52.82	32.82	65.26	77.25	58.71	39.22	47.84	37.05	45.21	35.0	28.24	26.86	25.17	32.36
SEMA4F	228.13	16.03	26.1	28.65	6.46	7.75	18.84	10.08	18.43	26.47	8.25	42.11	63.0	73.54	78.34	67.12	82.87	40.93	54.72	70.51	67.59	100.83	102.97	100.13	83.45	82.87	77.79	50.63	58.3	73.03	64.8	119.26
TAMM41	438.59	115.97	106.63	146.03	78.34	119.26	125.24	149.12	127.0	87.03	105.89	241.19	146.03	271.48	223.41	224.97	204.07	234.57	169.07	202.66	244.57	242.88	224.97	262.2	291.04	253.23	163.28	176.29	135.24	241.19	246.28	232.94
TBC1D14	1119.56	218.79	120.1	242.88	122.64	128.79	236.21	155.5	202.66	244.57	301.33	559.28	532.74	743.43	764.36	708.18	738.29	547.75	409.15	575.03	669.92	890.44	878.17	854.13	785.88	563.18	825.0	547.75	447.82	769.69	693.58	836.53
TMEM151B	8.0	0.0	0.0	0.0	0.0	0.0	1.57	0.0	0.0	1.22	0.45	2.29	1.06	4.54	3.06	9.93	8.25	3.5	1.1	3.17	3.03	2.92	3.08	5.36	5.15	5.92	6.41	2.66	5.5	7.75	6.84	0.99
TMEM229B	429.54	13.72	13.22	26.86	0.58	8.32	24.99	11.73	10.31	26.47	7.34	29.06	69.03	101.54	116.78	47.5	91.41	86.43	40.64	82.87	85.22	131.51	94.67	115.97	102.97	60.39	156.59	95.34	96.01	209.84	43.94	271.48
TRERF1	223.41	4.94	7.06	13.22	2.01	3.32	19.97	8.45	9.93	9.48	5.92	21.78	24.28	96.68	53.57	101.54	78.34	74.58	46.5	44.57	102.97	273.37	85.22	151.22	148.09	104.42	107.38	67.59	10.88	92.05	57.89	138.1
TSC1	454.09	28.65	57.89	74.58	45.85	40.64	77.79	59.55	61.68	73.54	55.1	176.29	145.02	220.32	195.72	260.38	206.94	186.4	106.63	158.79	190.34	271.48	198.47	249.73	358.54	209.84	307.69	165.57	175.07	193.01	283.05	237.86
TSEN2	303.44	82.87	127.89	167.9	91.41	91.41	138.1	113.56	127.0	73.03	176.29	309.83	180.02	244.57	181.28	244.57	267.73	281.09	198.47	269.6	189.02	303.44	204.07	273.37	283.05	297.17	253.23	224.97	194.36	279.14	251.48	223.41
TVP23C-CDRT4	363.56	3.53	1.71	22.26	0.0	4.82	34.02	0.0	3.86	13.83	12.0	36.01	69.52	166.73	136.19	75.64	198.47	96.68	57.89	50.98	96.01	107.38	105.89	105.15	223.41	106.63	242.88	155.5	20.86	197.09	78.89	80.57
UNC119B	738.29	37.32	18.16	64.34	25.54	19.82	87.65	26.1	52.82	107.38	44.25	183.82	303.44	493.56	358.54	438.59	444.72	242.88	228.13	381.68	438.59	764.36	518.15	426.57	507.46	384.34	423.61	379.04	262.2	392.44	432.53	497.0
ZBTB1	967.76	59.13	258.57	193.01	172.65	195.72	258.57	172.65	187.71	106.63	129.69	262.2	457.25	567.1	525.39	607.87	703.28	660.68	438.59	480.04	642.59	633.73	665.29	612.11	450.94	595.34	703.28	599.49	244.57	293.07	665.29	392.44
ZBTB22	669.92	163.28	143.01	181.28	77.25	68.07	228.13	143.01	127.0	125.24	126.12	301.33	339.14	441.64	417.77	490.14	473.41	403.5	348.71	379.04	454.09	507.46	457.25	529.06	507.46	420.68	476.71	389.72	351.14	493.56	426.57	511.0
ZKSCAN3	147.06	20.71	16.27	42.71	16.51	9.06	25.91	19.25	21.47	17.25	12.74	55.89	49.91	82.29	65.26	68.55	77.25	45.53	82.87	48.18	64.8	108.14	73.54	84.04	75.11	73.54	82.29	55.49	27.64	62.56	81.14	86.43
ZKSCAN7	217.27	6.67	7.94	18.03	9.06	6.46	27.84	10.88	9.13	5.82	13.52	31.45	49.56	36.79	56.68	44.25	69.03	55.49	63.0	53.19	75.11	95.34	81.14	74.06	49.21	46.84	57.49	52.45	24.46	67.12	66.18	48.87
ZMYM3	500.46	136.19	95.34	117.6	65.72	48.87	140.04	120.1	111.99	111.99	66.18	220.32	258.57	384.34	381.68	457.25	336.79	361.04	171.45	301.33	303.44	518.15	441.64	476.71	432.53	348.71	497.0	351.14	205.5	435.55	426.57	412.0
ZNF135	587.13	5.5	9.2	13.22	3.17	2.86	20.86	5.54	5.59	6.41	14.35	54.72	90.77	140.04	127.0	199.85	127.0	94.67	81.71	98.73	98.04	156.59	101.54	113.56	116.78	158.79	154.42	53.95	63.45	135.24	132.44	201.25
ZNF311	162.14	7.63	5.96	9.63	3.5	3.17	18.56	4.43	10.24	3.2	1.22	42.11	32.59	37.59	37.32	74.58	52.08	33.78	55.1	39.79	47.84	57.49	41.52	56.68	59.13	68.07	53.95	31.0	10.0	57.08	49.56	80.57
ZNF321P	13.32	1.06	0.0	5.54	0.0	1.03	1.5	1.07	0.71	0.0	1.13	8.58	6.57	30.12	30.78	18.97	19.39	14.14	40.64	2.92	47.5	48.18	28.86	27.05	16.51	20.71	31.0	25.91	5.5	7.69	26.67	10.24
ZNF491	76.71	13.62	2.25	5.23	3.47	5.96	9.78	4.46	6.31	5.11	6.31	68.55	25.35	34.51	48.18	50.98	34.51	51.71	56.28	20.71	63.45	66.18	32.36	30.12	39.22	42.11	55.1	38.12	21.78	47.5	67.12	52.82
ZNF763	202.66	14.89	17.51	23.25	7.94	6.67	59.55	22.26	14.03	24.99	9.63	70.01	59.13	94.01	63.89	105.89	76.17	56.68	136.19	52.82	138.1	105.89	73.03	91.41	70.51	80.57	97.36	42.71	46.18	101.54	104.42	78.34
ZNF816	417.77	3.72	16.03	39.22	18.84	19.25	40.07	17.25	20.26	24.81	48.87	373.81	236.21	297.17	373.81	384.34	366.09	154.42	429.54	271.48	269.6	323.03	460.44	529.06	155.5	323.03	226.54	264.03	177.53	305.55	470.14	314.17
ZNF862	547.75	30.34	30.56	55.89	22.75	30.56	52.08	31.22	25.91	34.75	23.93	96.68	99.43	209.84	175.07	323.03	258.57	228.13	111.21	105.89	177.53	264.03	166.73	205.5	262.2	164.42	327.56	154.42	90.14	124.37	189.02	316.37
