	TCGA.FD.A5BU.01A.31R.A26T.07	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.C4.A0F0.01A.12R.A10U.07	TCGA.AR.A5QQ.01A.11R.A28M.07	TCGA.JX.A3PZ.01A.11R.A32Y.07	TCGA.CR.6474.01A.11R.1873.07	TCGA.CV.5966.01A.11R.1686.07	TCGA.CQ.7065.01A.11R.2081.07	TCGA.BA.4075.01A.01R.1436.07	TCGA.K7.A6G5.01A.11R.A311.07	GTEX.14C38.1526.SM.5RQJ7	TCGA.38.4625.01A.01R.1206.07	TCGA.18.3417.01A.01R.1443.07	TCGA.33.4589.01A.01R.1443.07	TCGA.VN.A88P.01A.11R.A352.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.12C56.1326.SM.5FQSV	GTEX.YF7O.1926.SM.4W1YQ	GTEX.144GM.0826.SM.5O98R	GTEX.ZDYS.1226.SM.5IJF3	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SJXC.2026.SM.4DM6N	GTEX.ZTX8.1026.SM.5EGHD
C2CD2	470.14	155.5	299.25	191.67	267.73	151.22	159.9	49.91	76.17	75.64	131.51	124.37	158.79	90.77	441.64	591.22	395.18	343.89	599.49	389.72	536.45	387.02	441.64	638.15	624.99	400.71	518.15	444.72	567.1	507.46	214.27	470.14	480.04	567.1	587.13	599.49	466.88	435.55	595.34	389.72	497.0	403.5	281.09	320.8	426.57	463.65	497.0	312.0
C2CD5	201.25	113.56	177.53	199.85	88.26	187.71	115.16	167.9	94.67	93.35	111.99	0.0	218.79	77.25	341.51	325.29	223.41	397.93	536.45	314.17	351.14	204.07	420.68	417.77	429.54	348.71	432.53	426.57	514.56	327.56	248.0	224.97	409.15	379.04	441.64	420.68	387.02	241.19	400.71	277.2	366.09	285.03	150.17	314.17	356.05	363.56	389.72	211.31
C2orf62	3.86	10.39	0.62	2.43	0.93	1.99	3.44	0.0	1.57	4.74	117.6	0.0	3.23	1.55	54.33	59.55	55.1	33.54	80.01	80.57	78.89	77.79	181.28	71.0	75.11	60.82	81.71	105.15	56.68	40.07	41.52	57.08	47.5	49.56	89.51	56.68	63.45	69.03	96.68	34.26	66.65	63.89	39.5	31.9	55.89	76.71	94.01	31.9
CBFA2T2	73.54	70.01	47.17	86.43	82.29	176.29	74.06	107.38	61.25	56.28	72.01	0.0	93.35	21.01	287.01	612.11	275.28	529.06	406.31	567.1	432.53	454.09	802.41	928.3	796.86	339.14	532.74	665.29	669.92	409.15	217.27	287.01	463.65	802.41	775.05	514.56	460.44	312.0	503.95	242.88	490.14	371.22	166.73	277.2	555.41	518.15	708.18	191.67
CEP250	248.0	295.11	123.5	258.57	287.01	201.25	95.34	132.44	32.36	71.0	34.02	0.0	81.71	40.64	264.03	303.44	202.66	356.05	305.55	332.14	329.84	287.01	309.83	262.2	303.44	255.0	343.89	293.07	334.46	214.27	63.89	265.87	146.03	291.04	316.37	297.17	258.57	175.07	366.09	265.87	356.05	123.5	236.21	182.55	269.6	327.56	206.94	229.72
CLCN6	41.81	60.39	39.79	82.87	69.52	68.07	55.89	50.27	40.64	52.45	117.6	0.0	74.06	24.46	161.02	166.73	120.94	195.72	267.73	185.11	202.66	140.04	220.32	198.47	166.73	111.21	220.32	249.73	205.5	150.17	71.5	124.37	129.69	223.41	231.32	220.32	161.02	103.69	291.04	161.02	260.38	92.7	94.01	175.07	190.34	239.52	218.79	91.41
CNTNAP2	0.66	0.0	0.0	76.71	28.24	62.56	0.29	0.0	190.34	7.0	0.0	0.0	94.01	73.54	301.33	400.71	444.72	713.11	289.02	543.96	507.46	265.87	748.61	703.28	1259.69	307.69	389.72	273.37	341.51	463.65	316.37	371.22	417.77	258.57	346.29	211.31	915.51	595.34	412.0	265.87	441.64	143.01	909.17	194.36	339.14	251.48	902.89	249.73
CTD-2260A17.2	19.53	11.73	3.99	16.51	7.63	7.0	7.11	16.27	4.62	7.0	10.08	0.0	8.0	3.03	14.35	40.36	32.13	26.1	28.04	53.57	25.35	43.94	32.59	25.91	25.72	32.59	44.25	25.17	34.02	40.93	31.67	26.67	29.91	41.81	43.63	26.28	33.3	20.41	38.67	26.28	38.12	20.41	18.7	40.36	40.07	54.33	37.05	17.64
CTPS2	117.6	58.3	209.84	116.78	92.7	218.79	89.51	93.35	102.25	106.63	109.66	0.0	133.36	58.71	460.44	309.83	253.23	277.2	414.87	348.71	343.89	301.33	450.94	447.82	387.02	316.37	320.8	371.22	351.14	332.14	301.33	244.57	314.17	356.05	351.14	303.44	397.93	253.23	351.14	309.83	363.56	343.89	232.94	226.54	299.25	351.14	397.93	155.5
CXorf23	44.89	29.7	76.17	47.84	30.12	67.12	20.26	74.06	23.08	41.22	31.22	0.0	27.25	38.67	114.36	90.14	118.43	156.59	108.9	123.5	117.6	94.67	175.07	164.42	127.0	96.68	120.1	141.02	137.14	100.83	78.34	82.87	100.83	133.36	104.42	131.51	129.69	115.16	112.77	105.15	146.03	98.73	87.65	82.87	128.79	156.59	148.09	70.51
DAPK1	95.34	66.65	26.67	135.24	54.33	95.34	75.64	67.12	71.0	135.24	217.27	0.0	48.87	43.02	262.2	229.72	183.82	262.2	314.17	148.09	193.01	115.16	182.55	199.85	248.0	162.14	145.02	42.11	166.73	172.65	65.72	77.25	115.16	191.67	202.66	185.11	128.79	146.03	224.97	100.83	356.05	131.51	80.57	169.07	164.42	155.5	175.07	76.17
DCDC2B	0.0	0.65	0.0	0.0	0.69	0.0	0.0	0.51	0.0	0.0	0.6	0.0	0.0	0.0	8.58	5.36	0.0	2.2	5.77	4.54	10.79	1.73	42.71	5.15	2.97	0.83	6.57	2.1	1.22	2.48	0.79	1.23	5.54	1.19	0.77	5.36	2.89	0.0	11.3	1.07	5.92	2.97	3.89	3.35	4.35	4.9	6.16	0.0
DENND3	117.6	178.77	92.05	202.66	223.41	293.07	228.13	60.39	111.21	57.89	127.89	0.0	76.17	140.04	273.37	379.04	212.78	269.6	343.89	356.05	457.25	339.14	368.65	325.29	271.48	177.53	361.04	463.65	336.79	269.6	112.77	226.54	285.03	279.14	353.59	343.89	242.88	232.94	473.41	281.09	432.53	153.34	143.01	269.6	220.32	486.75	353.59	193.01
DIP2A	244.57	146.03	206.94	183.82	450.94	202.66	120.1	111.99	77.79	129.69	120.94	209.84	127.0	70.01	733.19	607.87	633.73	571.05	620.67	624.99	872.1	429.54	866.07	638.15	647.07	447.82	540.19	890.44	536.45	395.18	206.94	379.04	447.82	698.41	684.02	507.46	429.54	412.0	802.41	273.37	555.41	325.29	291.04	241.19	575.03	928.3	583.07	224.97
DLG2	3.56	0.0	3.06	6.06	3.17	5.87	1.93	4.46	3.47	11.21	11.04	0.0	35.5	0.0	79.45	91.41	43.02	54.72	75.11	59.97	75.64	63.89	91.41	108.9	116.78	53.95	108.9	66.65	134.3	107.38	67.12	74.06	120.1	116.78	115.16	63.89	82.87	57.08	101.54	80.57	147.06	68.07	67.59	79.45	122.64	224.97	144.01	69.52
DYNC2LI1	218.79	312.0	312.0	339.14	199.85	150.17	169.07	291.04	265.87	158.79	208.38	291.04	536.45	224.97	693.58	540.19	503.95	624.99	698.41	698.41	647.07	397.93	780.44	733.19	607.87	441.64	507.46	595.34	647.07	521.76	759.08	429.54	896.64	587.13	624.99	543.96	688.78	444.72	551.56	470.14	532.74	503.95	343.89	470.14	587.13	493.56	599.49	392.44
ERICH1	137.14	293.07	109.66	239.52	221.86	191.67	195.72	175.07	152.28	65.72	114.36	0.0	171.45	99.43	165.57	241.19	194.36	332.14	287.01	248.0	251.48	231.32	318.57	234.57	316.37	166.73	260.38	262.2	279.14	236.21	107.38	191.67	221.86	218.79	329.84	368.65	253.23	176.29	279.14	155.5	368.65	178.77	255.0	264.03	181.28	371.22	336.79	190.34
EXOC1	329.84	363.56	262.2	214.27	361.04	400.71	256.78	412.0	339.14	101.54	111.21	0.0	249.73	220.32	381.68	316.37	246.28	414.87	493.56	387.02	444.72	232.94	463.65	473.41	466.88	351.14	426.57	353.59	547.75	379.04	356.05	264.03	426.57	376.41	395.18	460.44	460.44	267.73	450.94	301.33	525.39	423.61	260.38	363.56	384.34	444.72	373.81	287.01
FAM111A	187.71	283.05	301.33	403.5	361.04	132.44	665.29	376.41	206.94	135.24	111.99	303.44	138.1	154.42	890.44	688.78	738.29	830.75	1427.22	796.86	988.12	486.75	1388.16	1081.39	1159.07	521.76	759.08	860.08	921.88	583.07	579.04	426.57	808.0	878.17	708.18	743.43	1216.75	688.78	902.89	521.76	928.3	651.58	366.09	432.53	674.59	866.07	1175.27	341.51
FAM13A	104.42	63.89	89.51	136.19	89.51	172.65	59.13	77.25	124.37	80.01	27.64	0.0	115.97	54.72	264.03	346.29	332.14	403.5	406.31	371.22	289.02	260.38	483.38	406.31	417.77	381.68	381.68	368.65	507.46	381.68	303.44	295.11	389.72	307.69	536.45	438.59	406.31	275.28	432.53	236.21	463.65	244.57	191.67	253.23	285.03	429.54	503.95	166.73
FAM214A	237.86	176.29	72.52	232.94	93.35	229.72	90.14	384.34	59.13	289.02	267.73	0.0	87.03	208.38	476.71	551.56	529.06	708.18	698.41	647.07	480.04	473.41	723.08	718.08	684.02	571.05	629.35	688.78	651.58	583.07	356.05	466.88	599.49	551.56	642.59	769.69	532.74	327.56	842.36	514.56	769.69	497.0	218.79	603.67	454.09	764.36	540.19	395.18
FAN1	145.02	74.06	61.25	171.45	128.79	92.7	120.94	126.12	90.77	78.34	114.36	0.0	175.07	66.18	353.59	432.53	258.57	400.71	473.41	384.34	361.04	291.04	379.04	444.72	563.18	329.84	395.18	339.14	483.38	438.59	341.51	358.54	480.04	470.14	435.55	463.65	397.93	256.78	599.49	339.14	470.14	305.55	134.3	373.81	384.34	490.14	412.0	249.73
GARNL3	42.71	10.63	22.26	11.21	12.64	29.7	28.65	103.69	38.12	33.3	31.45	0.0	41.52	20.41	460.44	348.71	195.72	289.02	486.75	358.54	536.45	293.07	429.54	301.33	392.44	295.11	299.25	332.14	334.46	277.2	241.19	228.13	348.71	334.46	403.5	277.2	435.55	255.0	384.34	173.85	312.0	351.14	183.82	239.52	258.57	409.15	346.29	209.84
GOLGA8I	10.96	3.23	1.25	4.43	3.66	4.94	1.83	1.85	4.94	16.51	5.59	0.0	4.39	2.03	9.7	14.35	8.65	18.84	43.32	23.93	21.63	10.55	24.63	29.48	26.47	8.32	29.48	32.13	31.0	16.03	12.83	9.7	20.41	25.17	22.43	37.05	30.56	10.31	25.72	15.34	24.28	14.45	12.93	14.35	20.71	34.26	15.91	8.13
ING5	137.14	234.57	165.57	226.54	123.5	110.43	111.21	128.79	154.42	88.26	109.66	175.07	98.73	96.68	435.55	497.0	438.59	769.69	728.11	674.59	624.99	447.82	575.03	466.88	616.37	466.88	587.13	591.22	543.96	423.61	341.51	320.8	543.96	555.41	620.67	579.04	543.96	389.72	595.34	400.71	500.46	563.18	343.89	301.33	447.82	693.58	429.54	389.72
KHNYN	406.31	389.72	281.09	381.68	267.73	575.03	339.14	521.76	120.1	241.19	289.02	0.0	285.03	314.17	423.61	587.13	343.89	688.78	698.41	612.11	642.59	441.64	514.56	674.59	748.61	483.38	591.22	511.0	656.11	473.41	206.94	312.0	480.04	583.07	698.41	941.27	567.1	351.14	651.58	363.56	656.11	275.28	656.11	483.38	595.34	785.88	392.44	267.73
MAST2	295.11	186.4	205.5	241.19	231.32	414.87	414.87	251.48	91.41	177.53	61.25	0.0	204.07	38.67	743.43	503.95	463.65	438.59	490.14	511.0	540.19	507.46	775.05	423.61	441.64	320.8	460.44	503.95	395.18	417.77	154.42	426.57	253.23	395.18	423.61	555.41	450.94	420.68	447.82	346.29	392.44	218.79	231.32	316.37	264.03	381.68	429.54	234.57
MBOAT1	103.69	69.52	99.43	119.26	29.91	129.69	85.82	105.15	158.79	19.82	41.22	265.87	124.37	58.71	131.51	199.85	111.99	156.59	239.52	135.24	329.84	136.19	163.28	229.72	275.28	164.42	195.72	145.02	303.44	264.03	217.27	98.04	267.73	262.2	269.6	299.25	158.79	223.41	191.67	164.42	251.48	237.86	84.63	141.02	173.85	267.73	169.07	107.38
MBTD1	64.34	73.54	29.06	37.05	68.07	45.21	25.91	62.56	37.85	44.89	61.25	83.45	37.85	46.18	142.01	147.06	122.64	209.84	183.82	165.57	149.12	120.1	249.73	205.5	197.09	157.68	175.07	136.19	237.86	171.45	113.56	112.77	177.53	158.79	162.14	237.86	166.73	111.99	198.47	112.77	149.12	140.04	98.73	107.38	111.99	198.47	143.01	82.29
MGEA5	651.58	521.76	591.22	503.95	624.99	599.49	733.19	769.69	271.48	356.05	708.18	0.0	327.56	536.45	1340.84	1295.13	878.17	1407.55	1769.57	1467.37	1519.15	1073.91	1963.57	1950.0	1529.73	1104.13	1437.15	1369.04	1519.15	1096.5	866.07	915.51	1340.84	1331.57	1350.18	1417.35	1572.76	866.07	1447.15	1051.79	1685.71	1104.13	1304.15	1066.48	1167.14	2133.97	1191.69	896.64
MON2	197.09	124.37	84.63	209.84	121.79	206.94	78.34	212.78	121.79	145.02	214.27	0.0	161.02	111.21	353.59	397.93	264.03	460.44	543.96	450.94	497.0	249.73	480.04	571.05	547.75	255.0	432.53	476.71	507.46	312.0	241.19	217.27	346.29	358.54	435.55	532.74	423.61	183.82	444.72	373.81	423.61	361.04	297.17	289.02	262.2	559.28	361.04	176.29
MSMB	16.63	0.0	0.0	0.0	339.14	2.73	0.0	10.63	11.47	0.0	0.0	0.0	403.5	21.63	800198.39	502929.67	894051.48	602247.76	783730.52	569761.05	558035.51	711250.37	1019901.63	811368.76	778316.89	691801.16	845824.19	1212874.47	554180.87	778316.89	1264380.15	1308968.45	1139523.1	1171559.48	919186.72	581732.96	958220.73	368165.8	577714.63	919186.72	565825.41	542775.98	716197.51	509950.32	1645391.11	894051.48	654483.73	573724.06
NBPF10	279.14	201.25	43.63	262.2	161.02	215.77	228.13	208.38	94.01	181.28	107.38	0.0	72.01	25.91	241.19	480.04	429.54	698.41	684.02	490.14	417.77	376.41	493.56	603.67	651.58	307.69	633.73	441.64	753.83	295.11	129.69	432.53	325.29	346.29	559.28	1015.93	447.82	289.02	563.18	281.09	395.18	555.41	255.0	423.61	368.65	397.93	312.0	229.72
NBPF12	42.71	22.75	3.14	29.7	26.86	14.14	15.45	21.94	26.1	75.11	41.22	0.0	11.13	1.73	54.33	105.15	43.02	145.02	159.9	103.69	144.01	111.21	129.69	123.5	209.84	61.68	114.36	97.36	145.02	102.97	29.91	49.56	125.24	130.6	123.5	154.42	145.02	69.03	166.73	129.69	191.67	69.52	58.3	102.97	87.65	232.94	56.68	47.5
NBPF14	129.69	62.56	21.78	73.54	72.52	50.27	74.58	37.32	15.0	43.94	118.43	0.0	38.4	4.39	94.67	221.86	87.03	316.37	295.11	277.2	277.2	102.25	356.05	299.25	387.02	135.24	384.34	167.9	460.44	127.89	40.07	84.63	134.3	220.32	226.54	466.88	212.78	93.35	218.79	199.85	379.04	138.1	111.21	237.86	256.78	220.32	221.86	117.6
OPHN1	20.26	11.47	20.26	17.0	19.25	47.17	6.94	37.05	28.04	1.62	0.91	0.0	21.32	17.77	95.34	239.52	150.17	211.31	371.22	205.5	173.85	133.36	236.21	341.51	490.14	147.06	175.07	180.02	303.44	208.38	133.36	140.04	318.57	563.18	476.71	178.77	363.56	146.03	303.44	163.28	228.13	166.73	161.02	103.69	314.17	244.57	447.82	131.51
PEX1	91.41	92.7	82.87	127.89	177.53	53.57	57.89	77.79	50.98	163.28	82.29	0.0	186.4	175.07	307.69	253.23	204.07	332.14	403.5	312.0	297.17	195.72	373.81	429.54	348.71	237.86	291.04	244.57	332.14	287.01	228.13	181.28	351.14	318.57	295.11	351.14	320.8	211.31	316.37	253.23	368.65	291.04	199.85	242.88	255.0	329.84	229.72	183.82
PIRT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.31	3.0	0.62	0.33	3.03	1.64	3.66	1.03	0.72	2.07	1.68	1.01	2.51	0.65	2.73	1.0	0.0	0.32	2.29	2.34	4.66	1.1	1.68	1.28	2.05	1.55	3.86	0.46	2.63	2.32	1.77	2.18	2.68	0.0
PKNOX2	13.72	0.99	1.85	3.59	2.25	32.59	5.23	18.97	1.95	5.36	5.28	0.0	41.22	1.14	111.21	205.5	101.54	124.37	166.73	195.72	167.9	195.72	99.43	206.94	258.57	224.97	126.12	187.71	191.67	152.28	124.37	141.02	106.63	387.02	265.87	124.37	226.54	159.9	121.79	149.12	96.68	141.02	214.27	55.49	193.01	189.02	356.05	116.78
PRKCH	265.87	253.23	220.32	299.25	215.77	483.38	150.17	291.04	281.09	76.71	87.03	0.0	366.09	253.23	503.95	507.46	497.0	633.73	607.87	563.18	460.44	543.96	591.22	679.29	624.99	599.49	656.11	536.45	723.08	536.45	358.54	329.84	571.05	713.11	703.28	536.45	563.18	435.55	480.04	435.55	587.13	417.77	486.75	518.15	638.15	616.37	638.15	567.1
RIMS1	0.0	1.27	0.0	1.28	0.0	1.38	2.27	0.0	0.78	0.0	0.0	0.0	0.0	0.0	26.28	51.71	35.25	37.85	65.26	75.64	26.67	25.35	92.7	67.59	76.71	31.22	22.92	18.16	75.11	88.26	90.14	24.63	63.45	52.08	85.82	40.07	75.11	20.41	42.11	26.47	43.94	21.32	8.51	35.76	62.12	101.54	193.01	8.13
SBF2	242.88	162.14	111.21	323.03	202.66	251.48	98.04	316.37	180.02	151.22	133.36	0.0	158.79	112.77	346.29	409.15	348.71	518.15	450.94	493.56	426.57	379.04	400.71	480.04	450.94	420.68	366.09	466.88	536.45	429.54	223.41	358.54	389.72	493.56	466.88	473.41	381.68	279.14	476.71	409.15	457.25	334.46	423.61	384.34	457.25	775.05	412.0	249.73
SENP6	693.58	297.17	285.03	518.15	327.56	454.09	403.5	514.56	217.27	157.68	379.04	0.0	341.51	154.42	878.17	830.75	567.1	1225.22	1191.69	961.07	981.29	733.19	1088.92	1277.29	1073.91	713.11	1051.79	1044.52	1216.75	921.88	693.58	674.59	921.88	921.88	947.83	1143.1	1023.0	624.99	974.5	866.07	1378.57	890.44	928.3	733.19	796.86	1561.89	988.12	503.95
SLC26A5	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	21.78	9.06	10.63	11.64	35.0	15.8	40.64	11.38	47.84	36.53	27.64	3.26	14.35	27.44	33.54	14.03	6.62	3.63	26.47	18.43	26.67	20.86	10.96	8.13	22.26	26.86	46.84	12.93	8.85	7.94	32.82	31.67	12.18	6.94
SWT1	50.27	32.36	59.13	20.41	20.71	36.53	18.56	46.84	53.57	32.59	18.7	0.0	57.08	32.82	99.43	75.11	69.52	81.14	104.42	92.7	75.11	56.68	102.25	133.36	106.63	90.14	75.64	70.01	119.26	105.89	124.37	60.82	134.3	111.21	112.77	89.51	125.24	61.25	127.89	72.52	100.13	63.0	58.3	54.33	120.1	100.83	114.36	57.49
SYCP2	2.66	5.82	1.58	12.93	47.84	2.84	10.79	5.32	10.39	3.08	1.25	0.0	21.78	0.0	38.12	50.63	45.21	23.93	74.06	54.72	68.55	35.25	88.88	106.63	59.13	24.28	62.56	49.21	47.5	57.89	28.86	34.02	92.7	75.64	58.3	73.54	74.58	28.24	92.05	26.47	73.54	45.85	17.9	31.22	33.54	30.34	49.56	21.94
TAOK3	341.51	208.38	277.2	341.51	320.8	389.72	305.55	307.69	164.42	155.5	146.03	356.05	231.32	148.09	967.76	1008.9	995.0	890.44	1119.56	1233.75	1030.12	884.29	656.11	1277.29	1628.26	543.96	674.59	1073.91	848.22	808.0	629.35	547.75	1051.79	1242.34	1277.29	813.63	934.76	733.19	954.43	738.29	1225.22	738.29	215.77	503.95	1242.34	1111.82	1883.54	414.87
TBC1D32	14.56	23.59	32.13	25.54	23.59	27.64	45.53	31.22	41.81	9.48	9.34	33.3	37.85	36.79	55.49	53.19	47.5	97.36	99.43	94.67	94.01	44.89	87.03	115.97	113.56	76.17	63.0	70.51	118.43	75.64	85.82	60.82	101.54	90.77	81.14	94.67	80.57	42.71	53.95	70.51	128.79	85.82	62.12	84.63	57.89	187.71	84.04	56.28
