	TCGA.E2.A1AZ.01A.11R.A12P.07	GTEX.13O61.1226.SM.5KM21	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.HU.A4GJ.01A.11R.A251.31	TCGA.BR.8485.01A.11R.2402.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.HF.7132.01A.11R.2055.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.HF.7133.01A.11R.2055.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.CG.4460.01A.01R.1157.13	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.CG.5734.11A.01R.1602.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
CACYBP	4239.45	802.41	872.1	638.15	743.43	497.0	819.3	1721.16	1977.24	1143.1	2335.28	1936.53	3081.75	2018.8	5041.77	1697.45	1870.53	674.59	878.17	769.69	1030.12	967.76	1277.29	2855.44
CCNT1	246.28	189.02	76.17	66.65	80.01	38.67	62.56	231.32	248.0	295.11	275.28	215.77	353.59	163.28	384.34	373.81	134.3	129.69	175.07	96.68	147.06	129.69	162.14	163.28
CCP110	279.14	190.34	34.02	33.78	33.54	10.24	30.12	253.23	220.32	348.71	211.31	161.02	334.46	102.97	258.57	249.73	123.5	70.01	138.1	59.13	90.14	84.04	85.82	147.06
CD55	954.43	860.08	941.27	371.22	361.04	400.71	595.34	921.88	1923.14	2240.11	3235.01	12160.22	26614.89	2758.13	40621.74	15075.35	1819.35	1977.24	1350.18	11745.96	1794.29	571.05	660.68	2061.24
CDC23	728.11	318.57	140.04	183.82	193.01	208.38	212.78	480.04	473.41	483.38	595.34	343.89	529.06	363.56	825.0	368.65	395.18	228.13	379.04	162.14	231.32	244.57	256.78	423.61
CDC27	1208.34	438.59	231.32	249.73	197.09	167.9	260.38	808.0	624.99	579.04	599.49	733.19	808.0	532.74	1191.69	532.74	450.94	348.71	514.56	209.84	417.77	279.14	329.84	447.82
CDC40	356.05	232.94	152.28	157.68	161.02	106.63	152.28	447.82	363.56	470.14	373.81	348.71	441.64	281.09	277.2	251.48	267.73	131.51	301.33	177.53	201.25	217.27	246.28	293.07
CDC7	511.0	17.77	9.41	11.91	4.46	6.01	6.84	218.79	132.44	109.66	146.03	113.56	536.45	50.98	348.71	79.45	80.01	33.78	43.94	12.36	34.02	24.81	19.53	114.36
CENPF	2075.59	8.13	1.41	12.64	6.31	6.52	5.36	368.65	1225.22	124.37	483.38	262.2	848.22	255.0	1991.0	307.69	115.97	150.17	99.43	29.48	78.34	52.82	33.3	163.28
CEP350	591.22	223.41	114.36	85.82	73.54	29.91	72.01	379.04	341.51	447.82	417.77	323.03	575.03	251.48	426.57	295.11	217.27	204.07	329.84	197.09	262.2	241.19	325.29	209.84
CEP97	133.36	44.25	15.22	12.64	9.63	3.66	10.55	138.1	76.17	98.73	113.56	67.59	110.43	35.5	100.13	70.01	40.07	24.28	55.1	15.91	37.85	39.22	28.04	45.53
CHAMP1	409.15	307.69	256.78	273.37	205.5	120.1	146.03	718.08	718.08	688.78	503.95	392.44	1199.98	571.05	1051.79	738.29	320.8	279.14	503.95	262.2	429.54	403.5	312.0	332.14
CHD1L	1233.75	212.78	358.54	320.8	432.53	503.95	514.56	624.99	612.11	607.87	656.11	813.63	934.76	684.02	878.17	674.59	490.14	514.56	420.68	289.02	463.65	297.17	307.69	371.22
CLK2	1183.45	1127.35	301.33	406.31	327.56	234.57	353.59	1540.37	1295.13	1242.34	860.08	1617.0	1331.57	651.58	2682.69	775.05	743.43	638.15	624.99	450.94	412.0	567.1	476.71	796.86
CNOT2	1183.45	665.29	389.72	384.34	318.57	260.38	371.22	1119.56	1023.0	1151.06	866.07	1259.69	921.88	1104.13	1685.71	5183.54	759.08	759.08	884.29	638.15	909.17	633.73	921.88	785.88
COCH	40.36	281.09	23.42	2.05	3.56	3.44	7.75	112.77	435.55	115.97	56.28	237.86	429.54	98.04	896.64	1457.23	29.48	52.08	43.32	21.78	42.11	69.03	24.63	101.54
COPA	3212.66	1277.29	759.08	656.11	808.0	890.44	860.08	1540.37	2720.15	1769.57	2537.92	2303.12	3665.02	3303.0	6207.38	2645.74	1745.2	1651.0	2148.82	1242.34	2148.82	1350.18	1447.15	1259.69
CPSF2	708.18	299.25	169.07	170.25	140.04	108.14	204.07	466.88	511.0	435.55	559.28	438.59	638.15	260.38	759.08	423.61	329.84	224.97	361.04	186.4	246.28	214.27	248.0	303.44
CXorf57	27.05	71.0	21.94	16.15	16.63	11.38	14.67	115.97	45.85	82.29	31.9	78.34	71.0	26.67	85.22	28.04	31.45	11.3	29.27	19.97	19.39	17.38	41.22	49.56
DHX9	2875.3	1529.73	1216.75	854.13	796.86	693.58	934.76	2835.7	3235.01	2209.26	2061.24	2240.11	3168.41	1883.54	3639.7	1977.24	1662.49	1167.14	1639.59	947.83	1378.57	1259.69	1467.37	1487.87
DIEXF	194.36	59.13	50.98	47.84	68.55	47.5	70.01	159.9	190.34	142.01	191.67	189.02	181.28	195.72	384.34	138.1	83.45	67.12	87.65	29.27	57.49	70.01	55.89	81.71
DLL3	7.0	0.0	0.0	0.0	0.0	0.0	0.0	8.38	7.22	5.59	1.64	10.88	44.89	5.87	47.84	12.0	4.13	2.39	7.17	0.0	1.13	4.31	2.94	3.2
DNAAF2	206.94	93.35	113.56	108.14	132.44	69.52	109.66	171.45	164.42	151.22	199.85	153.34	229.72	138.1	195.72	217.27	152.28	142.01	173.85	67.59	172.65	138.1	118.43	208.38
DONSON	842.36	255.0	146.03	167.9	208.38	96.68	187.71	536.45	281.09	441.64	376.41	612.11	432.53	307.69	1023.0	392.44	312.0	199.85	283.05	130.6	146.03	170.25	182.55	265.87
DTL	323.03	3.06	5.15	7.51	1.45	9.27	10.08	120.1	206.94	87.03	175.07	80.57	351.14	237.86	454.09	77.79	97.36	31.9	63.89	29.27	68.55	60.39	28.45	88.88
DUSP11	559.28	301.33	295.11	289.02	244.57	218.79	236.21	536.45	536.45	540.19	470.14	395.18	447.82	567.1	842.36	536.45	486.75	320.8	503.95	303.44	379.04	417.77	373.81	551.56
DUSP12	497.0	389.72	305.55	164.42	129.69	96.68	131.51	555.41	571.05	612.11	493.56	575.03	674.59	503.95	802.41	444.72	371.22	320.8	303.44	186.4	234.57	334.46	253.23	555.41
EFCAB7	239.52	120.94	13.72	17.38	14.56	15.68	23.42	138.1	82.29	122.64	86.43	94.01	193.01	35.5	128.79	54.33	82.29	34.51	119.26	18.97	29.06	57.89	50.98	94.01
EFTUD1	217.27	144.01	122.64	125.24	98.04	91.41	105.15	244.57	248.0	260.38	351.14	279.14	376.41	101.54	316.37	234.57	221.86	198.47	202.66	165.57	183.82	183.82	148.09	153.34
FAM102B	234.57	113.56	62.56	37.85	13.12	12.74	21.32	246.28	400.71	417.77	503.95	246.28	450.94	117.6	723.08	125.24	208.38	115.97	159.9	80.01	136.19	113.56	82.87	128.79
FANCM	155.5	49.21	34.51	27.64	16.03	0.82	8.99	100.13	104.42	119.26	57.89	64.8	125.24	47.84	158.79	42.71	42.71	33.06	42.41	27.64	32.82	35.76	63.0	56.68
GDAP1	214.27	59.55	20.41	26.47	16.63	9.78	17.13	84.04	166.73	95.34	96.68	56.28	202.66	74.58	316.37	57.49	70.51	30.56	37.59	28.86	44.25	31.22	40.93	68.55
GMFB	698.41	275.28	253.23	180.02	183.82	139.07	175.07	555.41	620.67	540.19	748.61	454.09	1119.56	260.38	665.29	595.34	361.04	314.17	395.18	339.14	366.09	248.0	248.0	325.29
GNPTAB	660.68	387.02	105.89	163.28	94.01	74.06	151.22	616.37	511.0	825.0	660.68	555.41	713.11	423.61	503.95	327.56	454.09	351.14	612.11	234.57	420.68	463.65	476.71	373.81
GNS	1870.53	1096.5	713.11	447.82	376.41	884.29	599.49	860.08	1304.15	1104.13	1561.89	1487.87	1745.2	1487.87	2609.3	11035.54	954.43	728.11	1135.2	651.58	1030.12	802.41	769.69	738.29
GORAB	351.14	131.51	73.03	92.7	78.34	25.35	103.69	275.28	285.03	314.17	217.27	318.57	262.2	159.9	555.41	186.4	180.02	78.34	133.36	55.89	73.03	127.0	91.41	201.25
GPRIN3	76.71	18.29	21.01	23.76	13.03	1.1	6.62	241.19	215.77	172.65	332.14	193.01	395.18	73.03	414.87	299.25	42.71	85.22	98.04	58.71	117.6	58.3	40.93	67.12
GRB2	2271.4	1030.12	902.89	693.58	651.58	679.29	669.92	3190.46	1540.37	1519.15	2287.2	1388.16	3039.3	1233.75	1769.57	1477.58	2061.24	1551.09	1519.15	1135.2	1936.53	1397.83	1111.82	2148.82
GTF2H3	599.49	190.34	150.17	143.01	134.3	114.36	164.42	351.14	460.44	384.34	441.64	351.14	599.49	275.28	547.75	351.14	307.69	231.32	279.14	159.9	215.77	183.82	277.2	299.25
HLTF	753.83	191.67	84.63	104.42	100.83	54.33	121.79	299.25	334.46	346.29	127.0	309.83	536.45	106.63	571.05	318.57	185.11	77.25	189.02	56.68	102.25	127.0	97.36	172.65
HOXC6	108.14	7.34	0.0	0.0	0.0	0.0	0.0	9.27	177.53	13.52	15.34	77.25	167.9	1.81	323.03	55.1	3.44	2.76	1.69	2.53	3.72	1.25	0.88	22.59
INTS2	209.84	59.55	21.32	25.54	22.92	21.16	33.3	182.55	148.09	156.59	143.01	98.04	208.38	112.77	161.02	118.43	75.64	44.57	83.45	39.5	61.68	50.27	45.21	70.51
INTS4	674.59	353.59	236.21	214.27	237.86	173.85	193.01	713.11	583.07	575.03	500.46	616.37	753.83	392.44	708.18	271.48	409.15	341.51	426.57	253.23	409.15	346.29	457.25	353.59
INTS7	493.56	61.25	133.36	110.43	126.12	87.65	102.25	260.38	376.41	241.19	269.6	215.77	339.14	236.21	769.69	175.07	178.77	90.14	202.66	85.82	135.24	96.01	87.03	173.85
KIAA0586	295.11	149.12	100.13	113.56	67.12	22.75	135.24	305.55	171.45	253.23	248.0	182.55	343.89	57.89	197.09	118.43	149.12	96.68	125.24	58.71	109.66	141.02	155.5	155.5
KIF14	221.86	0.79	0.61	2.73	1.14	1.1	1.81	57.49	136.19	31.0	66.18	49.56	145.02	31.9	217.27	40.93	16.75	11.73	10.88	6.11	7.0	6.73	11.91	19.39
KIFC1	669.92	5.41	4.74	16.03	2.43	6.57	10.16	450.94	785.88	102.25	212.78	178.77	884.29	753.83	1051.79	265.87	289.02	299.25	109.66	75.64	140.04	159.9	185.11	521.76
KNTC1	591.22	166.73	46.18	68.07	30.56	55.1	32.13	890.44	483.38	921.88	429.54	454.09	684.02	173.85	1331.57	133.36	206.94	209.84	217.27	105.15	124.37	232.94	159.9	285.03
KPNB1	6037.61	1639.59	738.29	934.76	743.43	423.61	813.63	3419.52	2875.3	2720.15	2400.97	3349.13	3564.78	2520.38	5366.37	3060.45	1909.85	1561.89	1662.49	890.44	1674.06	1388.16	1583.71	1733.13
KRR1	1277.29	470.14	384.34	376.41	299.25	82.87	361.04	825.0	651.58	860.08	595.34	934.76	909.17	775.05	1250.98	438.59	514.56	334.46	529.06	438.59	348.71	457.25	612.11	665.29
MCM6	1216.75	211.31	57.89	102.97	32.59	87.65	58.71	796.86	693.58	417.77	406.31	283.05	599.49	356.05	1216.75	283.05	389.72	267.73	314.17	131.51	251.48	197.09	271.48	397.93
MINA	1322.37	320.8	265.87	271.48	144.01	145.02	277.2	633.73	493.56	551.56	432.53	486.75	555.41	420.68	642.59	775.05	323.03	283.05	406.31	163.28	314.17	314.17	281.09	373.81
MMS22L	234.57	29.06	4.82	7.22	5.92	4.28	6.52	165.57	199.85	109.66	108.9	96.68	215.77	105.89	194.36	94.67	83.45	56.68	67.12	13.42	37.32	34.26	30.56	82.87
MPHOSPH9	262.2	182.55	111.99	110.43	182.55	67.12	155.5	547.75	323.03	493.56	285.03	316.37	363.56	180.02	638.15	180.02	119.26	85.82	142.01	81.14	144.01	111.21	170.25	234.57
NASP	4450.27	1832.01	1044.52	1135.2	928.3	551.56	791.35	2835.7	2148.82	2148.82	2573.36	1639.59	3018.3	1437.15	2351.53	1081.39	1551.09	1167.14	1167.14	854.13	902.89	1151.06	1268.46	1794.29
NEDD1	371.22	155.5	40.93	38.95	21.94	17.9	40.36	301.33	277.2	264.03	251.48	185.11	409.15	220.32	366.09	180.02	193.01	100.83	162.14	89.51	146.03	106.63	129.69	175.07
NLK	289.02	132.44	121.79	138.1	127.0	104.42	143.01	376.41	264.03	246.28	269.6	253.23	303.44	169.07	591.22	518.15	175.07	149.12	197.09	173.85	193.01	142.01	156.59	202.66
NUF2	902.89	4.82	2.51	8.45	2.58	0.0	3.41	299.25	500.46	105.15	248.0	381.68	571.05	224.97	764.36	182.55	100.83	88.26	34.75	40.07	26.1	55.89	58.71	246.28
NUSAP1	1159.07	16.75	70.51	49.21	75.64	24.63	61.68	1250.98	981.29	373.81	698.41	299.25	1151.06	775.05	2895.31	497.0	579.04	500.46	249.73	151.22	307.69	262.2	368.65	1104.13
PARPBP	170.25	10.31	5.19	8.19	2.76	3.17	3.59	138.1	220.32	124.37	166.73	201.25	269.6	185.11	291.04	108.9	108.14	52.08	81.14	27.64	42.41	36.53	69.03	128.79
PCNXL4	518.15	211.31	149.12	164.42	147.06	126.12	135.24	432.53	384.34	559.28	358.54	457.25	575.03	124.37	738.29	293.07	205.5	172.65	262.2	106.63	155.5	169.07	147.06	224.97
PGC	0.0	8046889.67	0.0	5.63	0.0	0.0	3.63	506427.83	434801.29	2310861.52	2310861.52	1916442.45	589853.66	1.011504819E7	1600397.78	5128124.01	1851161.35	1956711.0	5690009.96	456418.21	2025714.3	2126426.15	4885245.74	2654482.97
POLE2	318.57	9.93	27.44	36.79	39.79	31.9	44.89	221.86	156.59	181.28	248.0	113.56	540.19	120.94	490.14	138.1	123.5	73.54	93.35	72.01	57.08	48.87	119.26	158.79
POLR3C	1066.48	447.82	307.69	218.79	209.84	149.12	177.53	559.28	583.07	460.44	669.92	587.13	1059.11	854.13	1151.06	432.53	483.38	392.44	432.53	265.87	395.18	400.71	363.56	536.45
PPP5C	1183.45	890.44	813.63	616.37	748.61	785.88	656.11	1259.69	1662.49	974.5	1225.22	1359.57	2104.58	947.83	1896.65	1015.93	1322.37	1127.35	1059.11	842.36	1051.79	974.5	941.27	1359.57
PRCC	1259.69	902.89	693.58	684.02	603.67	599.49	551.56	1225.22	1111.82	934.76	1447.15	1467.37	2032.85	2090.03	2609.3	1286.18	1183.45	1233.75	1023.0	988.12	961.07	1111.82	884.29	1135.2
PRKRIR	1268.46	470.14	281.09	208.38	182.55	105.15	197.09	981.29	1104.13	1104.13	995.0	780.44	1167.14	555.41	753.83	669.92	583.07	432.53	753.83	262.2	551.56	529.06	432.53	723.08
PSMD12	1977.24	423.61	909.17	728.11	563.18	285.03	547.75	703.28	974.5	743.43	791.35	743.43	1208.34	656.11	1111.82	753.83	563.18	497.0	555.41	457.25	476.71	353.59	384.34	603.67
RACGAP1	1127.35	190.34	33.78	31.67	11.91	43.94	26.86	473.41	796.86	265.87	587.13	463.65	1167.14	947.83	1322.37	878.17	507.46	262.2	234.57	113.56	264.03	167.9	215.77	379.04
RAD51AP1	2271.4	14.24	6.36	17.64	5.06	6.78	7.22	209.84	351.14	132.44	191.67	122.64	271.48	176.29	796.86	176.29	117.6	87.65	76.71	44.89	57.08	64.34	132.44	154.42
RAD51D	228.13	133.36	78.34	41.22	40.07	78.34	72.01	217.27	173.85	128.79	150.17	122.64	305.55	141.02	232.94	118.43	152.28	96.68	123.5	83.45	123.5	92.05	79.45	134.3
RBBP4	5329.3	1674.06	616.37	651.58	457.25	780.44	791.35	4210.15	2400.97	2664.15	3168.41	1769.57	4671.57	2520.38	3928.15	2090.03	2555.58	1467.37	2061.24	967.76	1977.24	1832.01	1508.65	3018.3
RBBP5	366.09	99.43	113.56	100.83	97.36	99.43	87.65	253.23	332.14	187.71	279.14	199.85	309.83	265.87	480.04	237.86	177.53	128.79	175.07	77.79	173.85	130.6	130.6	162.14
RFWD3	974.5	99.43	54.72	53.19	55.49	45.85	57.49	429.54	603.67	323.03	432.53	248.0	480.04	356.05	896.64	234.57	228.13	182.55	248.0	120.1	186.4	165.57	190.34	208.38
S100PBP	493.56	297.17	83.45	70.01	69.03	30.78	81.71	616.37	441.64	551.56	325.29	353.59	536.45	248.0	514.56	186.4	205.5	182.55	177.53	145.02	157.68	177.53	197.09	281.09
SENP1	305.55	103.69	46.18	40.93	27.64	22.59	38.67	336.79	255.0	253.23	228.13	204.07	279.14	145.02	371.22	249.73	150.17	116.78	137.14	66.65	120.1	107.38	118.43	215.77
SETDB1	1447.15	551.56	202.66	244.57	206.94	182.55	195.72	791.35	866.07	884.29	647.07	775.05	1023.0	753.83	1268.46	616.37	473.41	423.61	575.03	289.02	460.44	460.44	293.07	503.95
SF3B4	2335.28	1096.5	769.69	656.11	547.75	525.39	429.54	1651.0	1487.87	1583.71	1519.15	2004.85	3168.41	3349.13	4298.64	1340.84	1417.35	1417.35	1369.04	1208.34	1023.0	1529.73	1277.29	1467.37
SLC38A9	395.18	123.5	166.73	172.65	165.57	169.07	167.9	323.03	277.2	283.05	351.14	312.0	454.09	143.01	299.25	170.25	271.48	197.09	275.28	111.99	236.21	156.59	176.29	241.19
SNAPC1	178.77	87.03	56.28	46.84	46.18	17.64	63.89	123.5	65.26	110.43	85.82	115.16	161.02	48.52	136.19	75.64	64.8	28.24	61.25	33.54	50.98	58.3	34.26	108.14
SNX6	2119.22	780.44	518.15	403.5	264.03	248.0	361.04	1088.92	961.07	1183.45	1331.57	1073.91	1369.04	909.17	2018.8	878.17	967.76	921.88	1088.92	947.83	1159.07	866.07	934.76	1277.29
SPIN4	234.57	38.67	15.56	8.85	11.04	7.22	9.85	103.69	183.82	88.26	236.21	77.25	158.79	86.43	271.48	126.12	56.68	35.0	67.59	26.86	36.01	42.41	24.28	59.97
SUZ12	521.76	277.2	116.78	138.1	115.16	54.72	143.01	591.22	441.64	460.44	432.53	353.59	660.68	353.59	848.22	575.03	285.03	201.25	285.03	150.17	212.78	221.86	206.94	307.69
TADA1	323.03	161.02	178.77	260.38	145.02	241.19	191.67	231.32	256.78	285.03	265.87	258.57	334.46	285.03	483.38	215.77	218.79	141.02	204.07	87.65	158.79	175.07	130.6	221.86
TDRKH	607.87	120.1	43.63	39.5	40.07	44.57	36.27	166.73	187.71	124.37	241.19	112.77	323.03	194.36	234.57	147.06	132.44	55.1	105.89	39.22	101.54	87.65	46.18	130.6
THRAP3	1909.85	1457.23	679.29	603.67	599.49	571.05	595.34	1721.16	1437.15	1583.71	1605.83	1175.27	1662.49	941.27	1674.06	1359.57	1135.2	890.44	1268.46	521.76	981.29	902.89	791.35	928.3
TIPRL	1088.92	314.17	256.78	389.72	267.73	232.94	366.09	547.75	579.04	518.15	647.07	493.56	909.17	921.88	1104.13	616.37	547.75	409.15	417.77	409.15	423.61	432.53	373.81	669.92
TOP2A	2555.58	13.12	9.78	56.68	29.48	2.07	21.63	1304.15	2075.59	624.99	1096.5	633.73	2303.12	974.5	5292.48	638.15	329.84	457.25	312.0	336.79	201.25	339.14	684.02	575.03
TOPBP1	836.53	209.84	74.58	107.38	66.18	41.22	76.71	842.36	688.78	624.99	555.41	500.46	915.51	287.01	1073.91	559.28	327.56	231.32	314.17	163.28	183.82	193.01	205.5	329.84
TUBB	13215.02	5006.93	4328.55	4639.29	4388.98	4095.0	3794.3	12589.08	12943.04	6471.02	5872.48	6652.97	12160.22	11504.21	17197.56	6983.79	7695.57	6887.62	5183.54	3665.02	5006.93	5751.61	7857.29	9279.58
UBE3D	94.01	33.3	23.93	26.28	24.63	28.45	31.22	107.38	85.82	84.04	48.87	94.67	78.34	29.06	117.6	67.59	48.52	30.34	95.34	34.02	33.54	36.79	40.07	62.56
UHMK1	738.29	198.47	269.6	273.37	291.04	228.13	277.2	693.58	674.59	514.56	713.11	447.82	909.17	438.59	995.0	796.86	307.69	236.21	392.44	211.31	343.89	285.03	275.28	316.37
VCPKMT	161.02	116.78	92.05	85.22	103.69	37.32	73.54	285.03	167.9	341.51	163.28	163.28	215.77	66.65	287.01	150.17	128.79	115.97	157.68	81.14	87.65	147.06	100.13	204.07
ZBED6	166.73	84.04	3.69	13.83	8.06	6.67	10.08	185.11	246.28	209.84	201.25	161.02	275.28	100.13	480.04	343.89	66.65	63.0	94.67	50.27	74.58	46.18	48.52	35.25
ZBTB41	264.03	71.0	30.56	32.59	27.25	9.56	36.53	106.63	166.73	135.24	127.89	110.43	144.01	137.14	285.03	162.14	72.52	36.01	84.63	28.24	50.27	45.53	37.32	62.12
ZC3H11A	1769.57	1268.46	607.87	629.35	647.07	334.46	684.02	1950.0	2163.77	1883.54	1745.2	1769.57	1572.76	1001.93	3372.43	2645.74	1088.92	854.13	1183.45	647.07	872.1	890.44	629.35	890.44
ZCCHC8	447.82	457.25	193.01	277.2	221.86	138.1	172.65	525.39	381.68	624.99	470.14	486.75	470.14	267.73	708.18	279.14	420.68	258.57	356.05	187.71	234.57	316.37	269.6	366.09
ZFX	343.89	242.88	63.89	77.25	100.83	29.48	67.59	490.14	395.18	470.14	214.27	256.78	412.0	363.56	277.2	389.72	239.52	124.37	285.03	70.01	138.1	186.4	92.7	206.94
ZFYVE26	202.66	149.12	33.06	35.25	36.27	52.45	34.02	256.78	234.57	234.57	202.66	178.77	368.65	102.97	279.14	123.5	145.02	157.68	178.77	66.65	171.45	109.66	146.03	147.06
ZNF148	551.56	134.3	73.54	66.65	67.59	34.26	57.89	285.03	264.03	289.02	289.02	283.05	346.29	175.07	387.02	269.6	215.77	127.0	199.85	88.88	195.72	129.69	166.73	171.45
ZNF30	72.01	23.42	22.1	22.59	19.82	18.03	22.59	48.52	49.56	108.14	70.01	102.97	85.82	41.81	121.79	60.39	44.25	31.22	38.95	14.24	33.06	40.64	35.0	44.57
ZNF347	140.04	81.71	20.11	16.51	14.89	4.1	11.47	90.14	151.22	102.25	48.18	115.97	218.79	64.34	131.51	59.55	75.64	83.45	70.51	34.02	63.89	52.45	31.67	81.71
ZNF45	180.02	85.22	45.85	45.21	34.51	18.84	34.75	139.07	162.14	161.02	171.45	114.36	217.27	105.15	277.2	122.64	127.0	67.12	115.16	43.02	93.35	91.41	72.52	138.1
ZNF619	73.03	43.63	28.45	20.71	18.29	20.71	18.97	88.26	105.15	80.01	82.29	78.34	152.28	76.17	127.89	71.5	71.5	47.5	81.71	20.71	43.32	56.28	47.84	66.65
