	TCGA.CZ.5455.01A.01R.1503.07	TCGA.AK.3429.01A.02R.1325.07	TCGA.CJ.4644.01A.02R.1325.07	TCGA.B2.3924.01A.02R.1325.07	TCGA.B8.5164.01A.01R.1420.07	TCGA.CJ.4874.01A.01R.1305.07	TCGA.B8.4154.01A.01R.1188.07	TCGA.BP.4343.01A.02R.1289.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.B0.5696.01A.11R.1541.07	TCGA.DV.5573.01A.01R.1541.07	TCGA.AK.3455.01A.01R.0864.07	TCGA.B8.4151.01A.01R.1188.07	TCGA.BP.4174.01A.02R.1289.07	TCGA.BP.4160.01A.02R.1289.07	TCGA.CW.5587.01A.01R.1541.07	TCGA.CZ.4863.01A.01R.1503.07	TCGA.CZ.5454.01A.01R.1503.07	TCGA.CJ.4640.01A.02R.1325.07	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.WZTO.0426.SM.3NM99	GTEX.147JS.1226.SM.5RQK4	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.13N2G.0826.SM.5IJE6	GTEX.WRHU.0226.SM.3MJFV	GTEX.13VXU.2726.SM.5LU4N	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.XOT4.1426.SM.4B65T	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
ARHGEF11	281.09	134.3	141.02	277.2	343.89	148.09	94.01	84.63	420.68	301.33	135.24	264.03	226.54	111.99	258.57	144.01	307.69	248.0	158.79	291.04	406.31	500.46	295.11	441.64	253.23	228.13	170.25	242.88	624.99	366.09	521.76	642.59	283.05	518.15	525.39	571.05	165.57	329.84	273.37	314.17	267.73
ARID3B	60.82	38.67	34.26	79.45	90.77	34.02	44.25	15.0	66.18	135.24	31.67	87.03	59.55	43.32	53.95	44.89	60.82	73.54	36.27	44.25	182.55	231.32	305.55	151.22	256.78	525.39	283.05	232.94	358.54	157.68	264.03	438.59	128.79	62.56	412.0	450.94	287.01	185.11	239.52	163.28	199.85
ARID4B	429.54	171.45	189.02	303.44	334.46	212.78	134.3	198.47	368.65	389.72	151.22	384.34	356.05	138.1	323.03	289.02	358.54	363.56	246.28	327.56	341.51	379.04	438.59	332.14	503.95	480.04	299.25	463.65	480.04	575.03	587.13	503.95	438.59	547.75	454.09	497.0	457.25	353.59	429.54	497.0	583.07
ARMC2	74.06	59.97	59.55	64.8	81.71	67.12	73.54	84.04	31.67	73.54	55.89	48.18	58.3	59.55	69.03	52.08	55.49	65.26	61.25	44.25	241.19	115.16	82.29	63.45	130.6	125.24	67.59	165.57	199.85	209.84	59.97	171.45	351.14	105.15	121.79	140.04	73.54	87.65	91.41	146.03	189.02
ARPC5L	723.08	1111.82	612.11	748.61	813.63	728.11	603.67	647.07	738.29	890.44	575.03	974.5	796.86	540.19	791.35	753.83	642.59	921.88	656.11	947.83	1457.23	1832.01	1583.71	1498.22	2255.7	1529.73	3515.68	1199.98	1119.56	1331.57	2075.59	802.41	1769.57	915.51	1259.69	1216.75	2591.27	981.29	1832.01	1167.14	1551.09
ASXL1	438.59	307.69	368.65	540.19	555.41	363.56	376.41	368.65	363.56	733.19	237.86	551.56	429.54	236.21	409.15	490.14	486.75	567.1	406.31	389.72	860.08	728.11	1561.89	836.53	1208.34	1233.75	1883.54	1044.52	902.89	1127.35	1963.57	825.0	808.0	629.35	995.0	1561.89	1769.57	713.11	1088.92	1191.69	981.29
ATP6V0A2	173.85	91.41	101.54	173.85	229.72	108.14	76.71	187.71	92.05	217.27	131.51	167.9	130.6	100.83	186.4	128.79	153.34	265.87	69.52	115.16	409.15	432.53	251.48	389.72	244.57	267.73	109.66	237.86	387.02	525.39	301.33	320.8	361.04	255.0	232.94	271.48	195.72	231.32	283.05	277.2	267.73
AXIN1	197.09	208.38	186.4	226.54	239.52	147.06	133.36	133.36	256.78	307.69	303.44	426.57	186.4	214.27	269.6	170.25	212.78	249.73	285.03	244.57	392.44	435.55	616.37	356.05	293.07	493.56	698.41	334.46	603.67	441.64	366.09	325.29	256.78	129.69	346.29	470.14	693.58	150.17	412.0	299.25	269.6
BRD3	177.53	123.5	167.9	146.03	305.55	162.14	85.82	101.54	191.67	209.84	120.94	260.38	131.51	131.51	109.66	125.24	171.45	162.14	78.34	193.01	314.17	231.32	507.46	291.04	229.72	287.01	123.5	193.01	493.56	759.08	314.17	297.17	214.27	229.72	237.86	343.89	193.01	256.78	332.14	325.29	323.03
BRPF1	142.01	87.65	97.36	162.14	177.53	88.26	70.01	50.98	144.01	191.67	101.54	175.07	100.83	96.68	79.45	85.82	141.02	155.5	98.73	116.78	273.37	205.5	232.94	258.57	241.19	156.59	287.01	267.73	220.32	226.54	249.73	166.73	146.03	241.19	231.32	195.72	273.37	248.0	239.52	126.12	165.57
C1orf116	1.04	0.69	1.35	0.38	3.17	2.43	29.06	3.59	5.63	11.82	32.36	107.38	0.97	4.58	39.79	8.38	9.48	116.78	3.66	256.78	1551.09	866.07	967.76	842.36	791.35	412.0	107.38	127.0	3690.52	2018.8	287.01	3146.52	1781.89	6887.62	178.77	947.83	224.97	748.61	1143.1	234.57	162.14
C2CD2L	155.5	148.09	114.36	198.47	202.66	96.68	126.12	97.36	258.57	329.84	161.02	214.27	135.24	92.05	181.28	83.45	164.42	180.02	139.07	199.85	540.19	521.76	514.56	703.28	167.9	638.15	297.17	193.01	620.67	579.04	223.41	583.07	507.46	325.29	624.99	559.28	480.04	265.87	379.04	237.86	191.67
CAPN7	258.57	173.85	231.32	256.78	229.72	217.27	172.65	239.52	152.28	248.0	122.64	246.28	221.86	206.94	204.07	205.5	244.57	244.57	211.31	232.94	336.79	356.05	866.07	329.84	447.82	854.13	371.22	447.82	624.99	848.22	647.07	353.59	432.53	429.54	521.76	718.08	480.04	629.35	473.41	480.04	591.22
CARNS1	6.26	5.19	4.74	7.94	6.11	4.62	2.2	2.94	8.13	24.11	6.16	11.91	10.0	1.36	12.64	3.96	6.57	15.56	3.38	5.28	20.71	271.48	43.02	13.03	26.47	23.08	15.8	21.01	51.35	96.68	21.94	76.71	22.1	19.82	18.29	32.82	11.21	13.93	39.5	10.79	81.14
CASZ1	22.1	30.78	26.86	74.06	84.63	23.76	16.27	8.78	68.07	100.13	12.64	88.88	35.0	31.0	31.45	53.57	34.75	36.27	15.56	31.67	384.34	94.67	848.22	249.73	587.13	693.58	297.17	211.31	791.35	981.29	633.73	551.56	463.65	329.84	159.9	688.78	409.15	234.57	532.74	713.11	521.76
CCDC120	53.57	45.85	33.78	61.25	71.5	36.01	42.11	34.02	69.52	81.14	44.25	99.43	57.08	48.52	38.67	51.35	52.08	72.52	31.0	67.12	182.55	148.09	420.68	105.15	147.06	435.55	143.01	59.55	366.09	320.8	237.86	194.36	395.18	153.34	62.12	309.83	199.85	84.63	190.34	63.45	194.36
CD82	540.19	536.45	480.04	842.36	674.59	656.11	208.38	848.22	947.83	1208.34	368.65	708.18	480.04	190.34	341.51	759.08	748.61	785.88	713.11	1175.27	2090.03	703.28	2133.97	1936.53	6381.92	2935.74	2701.35	4671.57	1467.37	1950.0	2591.27	2209.26	1457.23	1923.14	5112.16	3146.52	1781.89	1832.01	2682.69	1407.55	2319.15
CDC42BPG	63.0	61.25	44.57	61.68	13.32	37.85	23.42	10.31	85.22	47.5	54.33	120.1	26.1	27.25	31.22	32.36	42.41	59.97	46.84	19.82	327.56	125.24	466.88	145.02	299.25	309.83	244.57	141.02	607.87	490.14	161.02	368.65	454.09	329.84	166.73	314.17	341.51	88.88	480.04	265.87	164.42
CDC42SE1	1561.89	967.76	954.43	1322.37	1605.83	902.89	1015.93	1044.52	1378.57	2104.58	785.88	1350.18	1183.45	1037.29	1304.15	1378.57	1225.22	1639.59	1066.48	1183.45	1721.16	2061.24	2319.15	2417.67	2758.13	3235.01	3589.58	4358.66	2004.85	2417.67	2777.33	2119.22	1896.65	2090.03	2855.44	3303.0	2537.92	2591.27	2895.31	3515.68	3847.29
CDK11B	642.59	486.75	473.41	551.56	540.19	511.0	275.28	255.0	733.19	825.0	571.05	836.53	503.95	438.59	429.54	435.55	555.41	688.78	497.0	511.0	1167.14	2047.0	1498.22	1242.34	1909.85	1191.69	4181.07	2061.24	802.41	928.3	1487.87	981.29	660.68	684.02	1183.45	2739.08	3564.78	759.08	1119.56	1259.69	1709.26
CDR2L	112.77	96.68	98.73	88.88	99.43	94.01	81.71	85.82	69.03	152.28	253.23	269.6	23.93	77.79	153.34	108.14	115.16	156.59	106.63	146.03	236.21	209.84	406.31	733.19	493.56	299.25	660.68	351.14	171.45	198.47	718.08	123.5	140.04	104.42	183.82	409.15	1030.12	110.43	392.44	246.28	269.6
CDYL	283.05	134.3	167.9	236.21	293.07	193.01	144.01	279.14	133.36	269.6	173.85	279.14	145.02	142.01	180.02	237.86	224.97	211.31	176.29	271.48	387.02	262.2	249.73	195.72	251.48	255.0	264.03	218.79	514.56	669.92	264.03	429.54	283.05	387.02	217.27	271.48	211.31	466.88	361.04	339.14	607.87
CEBPB	450.94	441.64	420.68	638.15	248.0	507.46	450.94	1143.1	536.45	1037.29	497.0	532.74	353.59	417.77	224.97	896.64	241.19	334.46	915.51	525.39	2976.74	8598.28	1844.76	3395.89	1870.53	3103.19	3018.3	3257.52	1721.16	1304.15	2319.15	1340.84	2163.77	1427.22	2935.74	3039.3	3419.52	6516.03	2555.58	2682.69	3212.66
CGB7	1.41	0.0	0.0	3.63	0.74	1.79	1.46	1.13	1.04	5.87	2.76	1.07	1.97	1.03	0.73	0.0	0.72	4.43	0.77	1.77	21.63	5.32	6.89	5.19	14.35	51.71	3.23	11.47	24.99	25.91	11.91	10.55	49.21	3.76	21.01	23.42	2.23	3.96	2.39	0.0	17.0
CHD2	470.14	164.42	220.32	500.46	511.0	226.54	127.0	158.79	283.05	525.39	193.01	486.75	226.54	177.53	346.29	279.14	395.18	417.77	417.77	218.79	748.61	563.18	1216.75	587.13	1119.56	1819.35	1175.27	1119.56	1268.46	1369.04	1199.98	1023.0	954.43	769.69	1286.18	1250.98	1417.35	1104.13	884.29	1023.0	1127.35
CHD3	389.72	264.03	299.25	409.15	738.29	226.54	132.44	206.94	547.75	1104.13	406.31	703.28	251.48	114.36	157.68	332.14	353.59	579.04	320.8	529.06	1457.23	1044.52	1733.13	1745.2	1819.35	2701.35	1745.2	1175.27	1857.6	1844.76	2018.8	1991.0	1030.12	1397.83	2287.2	2935.74	2209.26	947.83	1437.15	1407.55	1709.26
CHD7	64.8	42.11	57.89	86.43	68.55	35.76	27.84	38.12	41.81	78.34	26.86	115.97	40.64	31.45	38.12	48.18	62.56	72.52	67.12	45.53	248.0	118.43	267.73	131.51	309.83	258.57	135.24	183.82	193.01	195.72	620.67	204.07	221.86	94.67	214.27	353.59	441.64	144.01	237.86	361.04	163.28
CHL1	25.91	6.11	37.05	23.59	33.54	29.27	39.79	20.56	9.63	87.65	33.78	157.68	17.9	19.39	2.43	35.25	25.54	11.3	5.45	6.84	348.71	106.63	199.85	41.52	624.99	232.94	248.0	684.02	118.43	78.34	403.5	65.72	1081.39	6.94	503.95	165.57	83.45	3.59	175.07	325.29	279.14
CLIC3	31.22	189.02	27.64	60.39	59.55	46.18	58.71	50.27	24.11	71.0	13.32	127.89	33.3	21.16	12.93	23.42	51.71	82.29	19.97	63.0	1340.84	2075.59	2104.58	1832.01	1963.57	1175.27	2335.28	642.59	2240.11	2720.15	1104.13	2720.15	1250.98	2148.82	647.07	2720.15	1794.29	529.06	3742.05	2004.85	1216.75
CNGB1	0.35	0.0	0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.59	1.28	2.32	0.0	0.0	5.32	3.96	13.32	17.13	7.63	2.29	0.0	967.76	0.0	11.21	1.25	2.81	3.89	1.23	0.0	30.34
COL16A1	69.52	21.63	39.5	42.11	46.84	38.67	33.54	223.41	57.08	384.34	169.07	218.79	53.57	25.17	35.25	145.02	88.88	69.03	35.25	176.29	325.29	99.43	775.05	769.69	392.44	703.28	295.11	738.29	289.02	669.92	563.18	967.76	201.25	441.64	540.19	780.44	264.03	543.96	713.11	775.05	723.08
CRAMP1L	85.22	54.33	80.57	127.89	134.3	52.45	57.49	49.56	94.67	164.42	59.97	178.77	94.01	65.72	145.02	87.03	89.51	158.79	63.0	92.05	325.29	150.17	348.71	229.72	190.34	420.68	141.02	158.79	447.82	563.18	409.15	323.03	191.67	190.34	264.03	423.61	239.52	325.29	234.57	244.57	336.79
CSNK1E	1066.48	656.11	808.0	1407.55	796.86	1059.11	1508.65	780.44	830.75	1594.73	1674.06	1191.69	915.51	1397.83	1059.11	884.29	825.0	1359.57	1059.11	902.89	2468.49	1457.23	3395.89	2133.97	3257.52	3467.27	3768.09	2758.13	2240.11	2997.45	3742.05	2148.82	1794.29	1427.22	2384.37	3467.27	4802.93	1963.57	2303.12	2758.13	3081.75
CTD-3088G3.8	2.84	1.43	0.38	4.78	1.48	1.46	2.94	1.14	1.75	15.11	2.78	10.55	6.89	4.06	1.81	1.85	2.48	8.58	2.66	1.81	7.75	10.88	9.34	18.29	6.84	23.25	39.79	10.08	18.16	7.75	14.67	4.21	10.0	6.62	11.21	27.05	40.07	25.91	12.27	9.7	5.23
CXCL3	10.71	1.43	2.05	13.72	7.22	5.32	96.68	0.77	18.56	25.54	7.57	38.4	8.45	8.71	7.75	27.44	3.17	8.85	21.16	34.75	1923.14	1870.53	438.59	1127.35	674.59	909.17	529.06	260.38	154.42	151.22	334.46	483.38	769.69	1304.15	587.13	1359.57	713.11	420.68	511.0	232.94	11909.94
CYP11B1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04	0.0	0.0	0.0	0.42	1.04	0.0	1.23	2.63	1.71	0.79	0.0	0.0	0.0	0.26	1.06	1.68	0.59	0.82	0.0	0.8
CYTH1	612.11	441.64	371.22	708.18	780.44	460.44	262.2	500.46	579.04	1023.0	348.71	688.78	412.0	215.77	336.79	651.58	638.15	703.28	417.77	583.07	2163.77	2573.36	3515.68	1991.0	3325.99	4512.4	4481.23	3257.52	2997.45	3540.14	3039.3	2701.35	2485.67	1487.87	3742.05	5183.54	3303.0	2777.33	3257.52	3901.01	3515.68
DAZAP1	1259.69	1151.06	1088.92	1313.23	1259.69	1104.13	884.29	941.27	1250.98	1721.16	1143.1	1417.35	1259.69	1143.1	1457.23	1051.79	1051.79	1551.09	1806.78	1250.98	1745.2	1628.26	2018.8	2240.11	1594.73	2319.15	1733.13	1662.49	1745.2	1519.15	2434.5	1467.37	1857.6	896.64	1397.83	1806.78	2335.28	1498.22	1685.71	1639.59	1407.55
DEK	1819.35	1151.06	1151.06	1397.83	1487.87	1388.16	1008.9	1551.09	1088.92	1628.26	974.5	1498.22	1175.27	733.19	1259.69	1397.83	1388.16	1313.23	1572.76	1340.84	1651.0	1388.16	2758.13	1199.98	1896.65	2061.24	3257.52	1991.0	1674.06	2835.7	2777.33	1628.26	2287.2	1259.69	2468.49	2178.83	2119.22	1225.22	2287.2	2255.7	2018.8
DIS3L2	258.57	265.87	265.87	206.94	289.02	205.5	130.6	195.72	232.94	299.25	220.32	244.57	249.73	205.5	262.2	215.77	376.41	241.19	185.11	291.04	379.04	217.27	447.82	234.57	400.71	295.11	131.51	343.89	514.56	412.0	336.79	559.28	607.87	595.34	325.29	432.53	70.01	470.14	314.17	346.29	309.83
EHMT1	476.71	297.17	291.04	454.09	551.56	287.01	164.42	287.01	305.55	620.67	208.38	450.94	239.52	248.0	271.48	316.37	470.14	463.65	248.0	348.71	884.29	551.56	1529.73	753.83	780.44	1896.65	559.28	708.18	1127.35	1051.79	1583.71	1008.9	713.11	420.68	1151.06	1437.15	684.02	1417.35	981.29	791.35	954.43
ENGASE	113.56	56.68	77.79	159.9	100.13	76.71	99.43	57.89	80.57	353.59	96.01	154.42	165.57	130.6	129.69	98.04	76.71	305.55	111.21	87.65	186.4	220.32	563.18	105.15	229.72	551.56	163.28	316.37	320.8	503.95	289.02	583.07	190.34	323.03	417.77	775.05	122.64	525.39	361.04	204.07	150.17
ENTPD4	301.33	118.43	146.03	269.6	231.32	135.24	101.54	156.59	186.4	414.87	100.13	305.55	194.36	105.15	159.9	209.84	285.03	329.84	163.28	186.4	785.88	669.92	708.18	540.19	1044.52	1037.29	723.08	902.89	656.11	660.68	1295.13	733.19	802.41	420.68	1015.93	854.13	684.02	629.35	679.29	775.05	616.37
FAM122B	395.18	269.6	253.23	435.55	420.68	289.02	228.13	384.34	303.44	486.75	267.73	493.56	379.04	241.19	314.17	363.56	336.79	387.02	366.09	356.05	316.37	348.71	426.57	532.74	521.76	246.28	493.56	457.25	301.33	341.51	674.59	493.56	466.88	769.69	563.18	543.96	435.55	358.54	387.02	500.46	409.15
FAM188B	101.54	204.07	130.6	162.14	102.97	107.38	117.6	87.65	129.69	151.22	81.71	111.21	104.42	106.63	136.19	108.14	122.64	69.03	155.5	166.73	171.45	94.67	223.41	127.0	194.36	155.5	228.13	110.43	343.89	195.72	279.14	265.87	376.41	127.0	128.79	206.94	206.94	253.23	172.65	140.04	147.06
FAM221B	0.36	0.0	0.0	0.38	0.0	0.37	0.37	0.0	0.35	1.83	0.35	0.36	0.0	0.67	0.36	0.0	0.36	0.68	0.0	0.36	10.71	0.88	2.56	0.0	2.29	8.38	0.0	1.3	7.51	1.62	2.84	8.99	12.27	4.43	1.55	0.0	1.53	2.43	1.19	0.56	8.58
FBRSL1	351.14	351.14	287.01	518.15	551.56	234.57	289.02	115.97	432.53	587.13	579.04	616.37	314.17	503.95	429.54	320.8	376.41	341.51	279.14	226.54	954.43	967.76	1242.34	947.83	563.18	941.27	236.21	1397.83	651.58	981.29	961.07	842.36	483.38	579.04	764.36	1044.52	435.55	1023.0	813.63	647.07	802.41
FBXW7	265.87	145.02	136.19	234.57	325.29	154.42	120.1	133.36	135.24	285.03	125.24	255.0	201.25	102.97	162.14	218.79	232.94	241.19	129.69	246.28	341.51	253.23	400.71	447.82	476.71	575.03	718.08	376.41	384.34	343.89	387.02	417.77	387.02	332.14	432.53	543.96	624.99	507.46	323.03	447.82	323.03
FHDC1	12.93	8.85	8.32	6.46	10.55	8.0	11.38	9.7	8.32	6.89	10.08	29.06	6.41	4.94	28.86	9.85	13.93	12.36	5.15	33.06	132.44	108.14	193.01	97.36	52.08	176.29	68.07	113.56	397.93	228.13	97.36	144.01	182.55	269.6	80.57	102.25	103.69	155.5	92.05	67.59	149.12
FNDC7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.46	0.28	0.59	0.0	0.97	1.25	0.0	0.67	0.09	1.25	0.0	0.0	1.97	0.09	0.79	2.92	0.0	0.27	1.19	0.0
FOXK2	301.33	205.5	248.0	281.09	285.03	194.36	152.28	180.02	265.87	351.14	209.84	327.56	161.02	201.25	220.32	269.6	291.04	312.0	170.25	320.8	503.95	521.76	723.08	575.03	536.45	860.08	780.44	624.99	688.78	638.15	591.22	490.14	483.38	199.85	387.02	624.99	656.11	612.11	629.35	902.89	629.35
FOXP4	114.36	146.03	140.04	177.53	239.52	108.14	115.97	118.43	189.02	325.29	171.45	283.05	112.77	223.41	148.09	140.04	223.41	154.42	86.43	236.21	1135.2	633.73	1369.04	555.41	796.86	1540.37	547.75	591.22	2090.03	1594.73	665.29	1233.75	860.08	514.56	483.38	866.07	486.75	583.07	1295.13	802.41	1295.13
FPGS	532.74	854.13	490.14	684.02	656.11	616.37	532.74	454.09	684.02	1008.9	529.06	679.29	660.68	651.58	543.96	587.13	698.41	769.69	638.15	591.22	2287.2	1709.26	934.76	1388.16	1313.23	1066.48	1088.92	1259.69	1617.0	571.05	1143.1	1794.29	1427.22	521.76	1457.23	1167.14	934.76	860.08	1498.22	995.0	1268.46
FRMPD3	4.43	1.03	0.67	1.79	2.12	0.36	0.37	0.37	1.0	7.94	0.0	1.73	1.28	0.34	0.69	1.41	1.36	2.01	0.38	0.69	11.55	6.21	11.38	6.11	2.2	19.39	6.01	0.62	4.94	15.45	6.67	18.03	5.77	20.11	6.67	11.04	1.2	1.5	5.82	10.39	12.0
GABBR1	57.89	119.26	69.52	36.53	43.32	33.78	53.95	80.01	18.56	232.94	61.25	96.68	77.25	64.8	105.89	32.36	86.43	153.34	21.78	81.14	229.72	87.65	848.22	289.02	232.94	693.58	135.24	275.28	366.09	356.05	567.1	397.93	141.02	764.36	358.54	796.86	181.28	177.53	346.29	316.37	376.41
GLTSCR1	94.67	66.18	52.45	100.13	143.01	70.01	49.56	55.1	114.36	143.01	55.49	106.63	75.64	73.03	70.01	53.19	90.77	105.15	76.17	72.01	226.54	78.89	190.34	209.84	246.28	218.79	118.43	363.56	170.25	251.48	166.73	249.73	176.29	128.79	273.37	241.19	136.19	320.8	209.84	256.78	175.07
GOLGA2	1159.07	738.29	669.92	842.36	1044.52	656.11	343.89	356.05	830.75	1030.12	567.1	909.17	607.87	490.14	872.1	518.15	860.08	1001.93	1183.45	591.22	921.88	532.74	1359.57	808.0	1127.35	934.76	497.0	1151.06	1191.69	1769.57	1697.45	1628.26	995.0	713.11	1208.34	1427.22	791.35	753.83	825.0	1457.23	1111.82
GRK6	305.55	379.04	279.14	435.55	417.77	285.03	217.27	186.4	454.09	728.11	373.81	417.77	320.8	205.5	293.07	429.54	392.44	429.54	211.31	264.03	536.45	1151.06	450.94	713.11	579.04	728.11	796.86	1175.27	497.0	470.14	629.35	733.19	397.93	507.46	866.07	753.83	607.87	656.11	836.53	679.29	412.0
