	GTEX.13OVI.1126.SM.5KLZF	TCGA.AK.3429.01A.02R.1325.07	TCGA.B2.3924.01A.02R.1325.07	TCGA.CJ.5672.01A.11R.1541.07	TCGA.B8.5164.01A.01R.1420.07	TCGA.BP.4775.01A.01R.1289.07	TCGA.CJ.4903.01A.01R.1426.07	TCGA.BP.5180.01A.01R.1426.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.AK.3444.01A.02R.1325.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.A3.3343.01A.01R.0864.07	TCGA.BP.5173.01A.01R.1426.07	TCGA.CJ.4916.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.DV.5573.01A.01R.1541.07	TCGA.CJ.6032.01A.11R.1672.07	TCGA.BP.5004.01A.01R.1334.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.AK.3455.01A.01R.0864.07	TCGA.CJ.4887.01A.01R.1305.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.B0.5712.01A.11R.1672.07	TCGA.CW.5587.01A.01R.1541.07	TCGA.BP.4340.01A.01R.1289.07	TCGA.B0.5692.01A.11R.1541.07	TCGA.B0.5713.01A.11R.1672.07	TCGA.CZ.4864.01A.01R.1503.07	TCGA.CJ.4640.01A.02R.1325.07	TCGA.CJ.5680.11A.01R.1541.07	GTEX.132NY.1226.SM.5PNVF	GTEX.139TT.0726.SM.5K7XW	GTEX.14ABY.1126.SM.5Q5F8	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.1313W.0926.SM.5EQ56	GTEX.12WSD.0826.SM.5GCNE	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.Y111.1026.SM.4TT22	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.11UD2.0726.SM.5EQ69	GTEX.WZTO.0426.SM.3NM99	GTEX.11WQC.0626.SM.5EQMF	GTEX.11EI6.0826.SM.5985V	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13QJC.0526.SM.5RQKB	GTEX.13FLV.0426.SM.5KLZA	GTEX.T6MN.0826.SM.32PM4	GTEX.13VXU.2726.SM.5LU4N	GTEX.13O3Q.0526.SM.5KM18	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.145LU.0526.SM.5O9AT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.148VJ.0826.SM.5LU8V	GTEX.VJYA.0326.SM.3GAEX	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
AC007390.5	647.07	665.29	688.78	1044.52	514.56	941.27	1159.07	1001.93	612.11	785.88	656.11	796.86	624.99	759.08	890.44	688.78	896.64	698.41	674.59	1001.93	759.08	669.92	1127.35	679.29	1088.92	555.41	665.29	764.36	842.36	743.43	363.56	307.69	529.06	703.28	366.09	466.88	480.04	669.92	638.15	896.64	915.51	297.17	620.67	483.38	403.5	318.57	353.59	693.58	420.68	995.0	748.61	249.73	500.46	575.03	125.24	457.25	441.64	454.09	529.06	336.79	234.57	579.04	603.67	460.44	679.29	417.77	444.72	961.07	339.14	363.56	414.87	253.23	518.15	327.56	387.02	444.72
AC106876.2	5.73	11.91	7.51	34.75	1.08	11.73	12.27	5.68	17.64	12.36	11.21	6.21	28.86	4.66	15.68	4.17	16.03	9.34	0.0	16.51	2.71	1.46	5.45	5.45	15.91	20.71	11.64	19.68	6.89	5.15	0.0	2.97	0.0	3.17	2.36	3.14	3.53	0.0	0.0	4.74	3.86	0.0	4.78	0.0	0.0	10.55	6.52	0.0	4.1	21.47	2.92	0.0	0.0	10.16	0.0	1.75	0.0	2.14	17.13	0.0	0.0	2.07	0.0	0.0	6.84	2.68	26.86	0.0	0.0	3.08	0.0	0.0	3.5	3.38	0.0	3.41
AC114783.1	5.06	3.41	2.14	17.64	0.0	2.76	0.0	2.48	1.99	8.65	0.0	2.76	0.0	12.36	0.0	0.0	20.26	3.11	2.25	7.06	1.14	2.16	2.05	16.15	30.56	2.76	7.69	0.0	2.41	0.0	0.0	0.0	0.0	0.0	1.64	0.0	0.0	0.0	0.0	0.0	0.0	4.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACE2	633.73	583.07	497.0	1477.58	4268.94	733.19	3443.31	1923.14	2976.74	1757.34	490.14	1477.58	500.46	915.51	1594.73	941.27	4575.41	2367.9	134.3	2520.38	1183.45	1369.04	5329.3	1175.27	1794.29	860.08	2573.36	2997.45	1662.49	1008.9	14.67	28.86	9.34	42.41	21.78	40.07	31.45	21.01	10.63	15.0	5.06	6.62	40.07	17.64	5.19	56.68	32.82	30.34	10.71	2.34	17.9	3.76	1.58	16.15	1.5	2.86	41.22	16.88	8.32	13.12	10.08	13.52	71.5	31.0	30.78	11.21	41.52	5.15	3.17	10.63	50.63	13.62	229.72	11.38	11.91	27.05
ACMSD	1073.91	3018.3	974.5	2163.77	1498.22	1806.78	2520.38	3467.27	1745.2	4038.61	264.03	2032.85	1073.91	1950.0	1883.54	1066.48	5441.3	1111.82	493.56	5366.37	1857.6	1250.98	4419.52	4419.52	3901.01	1378.57	2609.3	2367.9	2895.31	1417.35	0.0	0.0	0.0	1.71	1.17	0.0	0.0	0.96	0.0	0.21	3.96	0.78	0.3	4.9	0.29	0.0	1.19	0.33	0.77	3.35	11.64	2.23	11.04	0.0	0.0	0.19	2.32	0.0	0.6	0.0	0.24	1.28	4.94	2.46	10.79	0.0	2.66	4.9	0.0	0.0	0.0	0.0	4.82	5.92	0.0	0.0
ACO2	3235.01	3395.89	2935.74	5255.91	4239.45	4903.87	4704.07	4769.75	3820.7	4802.93	2335.28	3212.66	5672.41	3419.52	3168.41	3303.0	4972.34	5076.84	1628.26	3901.01	3742.05	2701.35	8363.13	5366.37	6471.02	3235.01	3419.52	2796.65	2468.49	3280.18	1628.26	884.29	1407.55	1081.39	1923.14	769.69	1167.14	1936.53	1498.22	1191.69	1037.29	854.13	2319.15	1073.91	1051.79	842.36	1457.23	1313.23	1259.69	1277.29	1151.06	961.07	1322.37	1487.87	1183.45	1519.15	1583.71	1008.9	1135.2	928.3	848.22	2018.8	1883.54	1594.73	872.1	988.12	775.05	1733.13	2148.82	1508.65	1175.27	723.08	1498.22	1286.18	1313.23	1529.73
ADM2	153.34	208.38	305.55	417.77	444.72	684.02	579.04	567.1	414.87	473.41	234.57	351.14	444.72	376.41	559.28	312.0	547.75	366.09	312.0	403.5	420.68	387.02	493.56	403.5	693.58	713.11	518.15	361.04	336.79	325.29	11.91	1.87	9.63	14.56	12.45	8.85	5.45	11.82	17.25	21.16	7.88	9.7	14.14	12.74	3.86	7.82	6.31	15.8	8.85	2.48	2.61	16.39	18.97	20.11	16.75	11.55	10.39	7.51	10.71	34.26	9.13	5.45	22.1	8.71	10.63	7.17	11.04	59.97	7.88	5.68	17.64	15.8	9.93	5.23	6.94	17.77
AGXT2	836.53	1191.69	1733.13	947.83	988.12	2104.58	1159.07	884.29	928.3	1857.6	154.42	1340.84	2835.7	1295.13	974.5	1044.52	4152.18	2047.0	94.67	2335.28	2287.2	1605.83	1561.89	3589.58	2178.83	860.08	1857.6	1733.13	1286.18	884.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.01	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	2.05	0.43	0.0	0.0	0.0	0.0	1.5	0.0	1.5	0.0	0.0	2.12	1.07	0.0	1.03	0.0
AIFM1	1498.22	1407.55	1023.0	3039.3	2502.97	2209.26	2384.37	1059.11	2835.7	2271.4	1151.06	928.3	1119.56	1628.26	2209.26	2434.5	2367.9	1467.37	921.88	1977.24	2609.3	1457.23	4239.45	1457.23	2645.74	2090.03	1857.6	1540.37	1977.24	2591.27	409.15	267.73	361.04	503.95	376.41	232.94	392.44	429.54	450.94	368.65	403.5	246.28	571.05	376.41	314.17	258.57	277.2	532.74	228.13	339.14	392.44	232.94	376.41	346.29	182.55	414.87	348.71	212.78	329.84	269.6	194.36	420.68	490.14	293.07	514.56	277.2	295.11	748.61	264.03	229.72	295.11	218.79	486.75	307.69	289.02	277.2
AIMP2	796.86	629.35	651.58	518.15	563.18	551.56	575.03	291.04	559.28	603.67	384.34	316.37	764.36	358.54	555.41	595.34	441.64	825.0	429.54	595.34	684.02	551.56	738.29	423.61	463.65	507.46	543.96	432.53	547.75	575.03	403.5	151.22	175.07	348.71	363.56	291.04	275.28	417.77	271.48	255.0	303.44	159.9	389.72	460.44	145.02	166.73	116.78	305.55	217.27	343.89	316.37	116.78	301.33	119.26	147.06	253.23	162.14	275.28	173.85	228.13	156.59	223.41	387.02	281.09	323.03	123.5	244.57	733.19	156.59	212.78	217.27	178.77	208.38	269.6	205.5	162.14
ALG14	158.79	140.04	163.28	173.85	87.65	87.65	98.73	112.77	159.9	139.07	86.43	109.66	89.51	90.14	183.82	71.5	198.47	90.14	31.9	248.0	117.6	106.63	92.05	223.41	100.83	144.01	124.37	66.65	70.51	118.43	63.0	40.36	93.35	88.88	103.69	57.08	49.56	78.34	68.55	67.12	92.7	195.72	161.02	48.52	177.53	28.45	60.82	191.67	25.35	54.33	83.45	43.94	106.63	40.64	29.27	195.72	71.0	40.93	63.45	21.63	46.5	55.1	72.52	29.06	98.73	68.07	18.43	84.63	264.03	52.82	57.49	236.21	61.68	35.5	80.01	22.26
ALPI	1.69	124.37	15.11	2018.8	82.29	106.63	44.89	0.36	39.5	40.64	5.02	32.13	1709.26	161.02	177.53	18.29	830.75	368.65	1.13	114.36	150.17	490.14	260.38	1225.22	343.89	872.1	44.57	12.55	514.56	3.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.83	0.0	3.35	0.0	0.0	0.0	1.85	3.08	0.0	1.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANXA7	5183.54	3491.39	3349.13	3794.3	3901.01	1977.24	3325.99	1457.23	3901.01	3589.58	3212.66	3039.3	2451.44	2720.15	3349.13	4010.71	2018.8	2895.31	2502.97	3716.2	3081.75	3716.2	4388.98	3928.15	4010.71	3820.7	3564.78	3928.15	4152.18	4095.0	3540.14	1936.53	2133.97	2004.85	3690.52	3768.09	2609.3	2645.74	2573.36	2915.45	2520.38	3060.45	2796.65	2664.15	2032.85	1674.06	2004.85	2739.08	3257.52	3874.05	2537.92	1909.85	2520.38	2148.82	1457.23	2209.26	2367.9	3467.27	2451.44	2485.67	1477.58	3372.43	5292.48	2701.35	2417.67	2451.44	3081.75	4543.8	1832.01	2976.74	2976.74	1697.45	3395.89	3564.78	3395.89	3168.41
AOC1	8191.0	8363.13	10154.69	11345.82	10883.59	10440.2	4575.41	3235.01	2133.97	31650.8	3768.09	1551.09	20737.16	1088.92	5517.27	7803.01	20737.16	7382.04	3103.19	3690.52	19348.38	18052.61	267.73	14867.79	6471.02	5751.61	1388.16	4671.57	10659.59	1628.26	13.93	72.52	130.6	49.91	14.24	1.53	64.34	33.54	8.0	258.57	83.45	3.23	15.8	2.58	17.25	11.04	3.06	279.14	45.53	6.84	17.13	23.42	9.78	20.41	2.12	6.84	2.32	1.75	7.34	6.84	15.8	87.03	258.57	3.38	228.13	66.18	2.81	186.4	10.47	6.84	0.84	7.88	7.0	10.08	10.79	66.65
APOM	2591.27	1709.26	860.08	1340.84	521.76	1250.98	1674.06	1073.91	2104.58	3081.75	256.78	2224.63	1350.18	2209.26	2255.7	974.5	4543.8	447.82	190.34	3168.41	1832.01	2047.0	1857.6	2609.3	2417.67	1572.76	3443.31	748.61	2133.97	647.07	47.5	59.13	98.04	145.02	107.38	135.24	156.59	158.79	63.89	105.15	107.38	44.57	190.34	65.72	52.08	41.22	36.53	133.36	76.17	123.5	119.26	40.36	105.15	81.71	51.71	72.52	61.25	107.38	76.17	35.0	28.04	120.94	108.14	95.34	209.84	96.68	176.29	262.2	50.63	42.11	70.01	10.39	83.45	100.13	34.51	81.71
ARSF	5.36	35.5	18.7	139.07	146.03	215.77	251.48	2.43	40.93	314.17	30.12	151.22	36.79	83.45	59.97	11.47	39.79	205.5	0.74	228.13	17.25	177.53	239.52	27.84	244.57	181.28	68.07	178.77	2.03	20.11	2.2	3.2	3.29	0.93	0.93	0.93	1.38	0.84	0.99	2.63	3.79	0.0	0.93	0.0	0.47	0.87	2.39	0.0	2.97	8.71	1.75	0.93	0.93	8.65	6.41	1.25	3.47	5.36	2.68	1.85	10.55	3.53	2.41	7.11	0.0	4.86	0.0	0.44	11.55	3.32	1.35	0.91	1.01	4.74	3.08	0.0
ATP5G3	6840.04	7537.18	5329.3	10659.59	6079.61	6983.79	4268.94	7433.4	7081.29	9409.14	4543.8	5147.73	6935.54	6294.04	6250.56	7433.4	10440.2	5872.48	2627.46	8901.53	7230.1	5183.54	8479.89	8963.45	7382.04	6079.61	3982.99	4836.35	7230.1	7280.4	6426.31	2384.37	4239.45	4298.64	5995.9	2520.38	6745.86	4972.34	5329.3	3395.89	3491.39	2739.08	3395.89	4328.55	2956.17	1923.14	2537.92	2777.33	3212.66	3847.29	2573.36	2451.44	4328.55	2609.3	3349.13	2777.33	3124.78	3325.99	3303.0	2384.37	2485.67	4972.34	4736.79	2468.49	6337.83	4268.94	2400.97	6840.04	2739.08	4066.71	4239.45	2701.35	3349.13	3982.99	3395.89	4736.79
ATPAF1	1477.58	1487.87	1583.71	1697.45	1909.85	1709.26	941.27	1674.06	1832.01	2163.77	1242.34	1674.06	1225.22	1417.35	1417.35	1551.09	1857.6	1322.37	1127.35	2090.03	1477.58	1437.15	2351.53	2133.97	1081.39	1551.09	1662.49	988.12	1259.69	1745.2	748.61	403.5	775.05	848.22	748.61	293.07	665.29	974.5	1059.11	1030.12	1044.52	454.09	1127.35	486.75	603.67	414.87	607.87	1159.07	366.09	1135.2	896.64	460.44	500.46	540.19	353.59	743.43	743.43	480.04	723.08	450.94	412.0	698.41	909.17	612.11	1417.35	612.11	409.15	1617.0	414.87	521.76	693.58	332.14	967.76	444.72	493.56	599.49
B3GNT3	279.14	212.78	3.56	241.19	409.15	2.76	121.79	237.86	403.5	384.34	50.27	7.94	109.66	19.53	248.0	563.18	152.28	205.5	20.56	264.03	122.64	97.36	551.56	108.9	314.17	323.03	607.87	173.85	878.17	50.98	15.91	0.0	7.94	2.94	189.02	109.66	11.91	10.79	81.14	201.25	16.63	2.2	45.53	77.25	25.54	3.53	0.0	133.36	4.7	17.77	13.03	38.4	13.12	7.06	9.78	4.17	3.82	21.78	0.0	0.0	2.05	21.16	249.73	2.03	51.35	4.5	34.51	15.56	2.1	2.12	2.86	2.86	10.0	2.07	2.25	65.72
BCL2L13	1417.35	995.0	1104.13	1037.29	1467.37	1030.12	1487.87	1322.37	1015.93	981.29	733.19	1044.52	1259.69	1059.11	884.29	1051.79	1242.34	1757.34	796.86	902.89	890.44	1008.9	1378.57	1088.92	1651.0	1250.98	1015.93	1340.84	1388.16	1151.06	409.15	406.31	616.37	473.41	848.22	551.56	854.13	532.74	480.04	825.0	624.99	507.46	1001.93	454.09	454.09	363.56	457.25	587.13	457.25	890.44	638.15	318.57	435.55	299.25	269.6	723.08	346.29	559.28	438.59	353.59	287.01	514.56	878.17	796.86	748.61	447.82	633.73	1127.35	412.0	603.67	403.5	346.29	656.11	529.06	607.87	525.39
BDH2	5292.48	2935.74	2384.37	4704.07	2739.08	2573.36	2018.8	3768.09	2351.53	3639.7	1369.04	2664.15	2287.2	3303.0	3325.99	5112.16	2555.58	2976.74	1617.0	5329.3	2956.17	3280.18	4298.64	3103.19	3820.7	4095.0	2485.67	3874.05	3060.45	4575.41	947.83	1857.6	2224.63	2367.9	2104.58	1242.34	1662.49	1135.2	1857.6	1417.35	2796.65	1183.45	1127.35	808.0	808.0	1322.37	1769.57	2255.7	902.89	3372.43	2434.5	563.18	941.27	3190.46	674.59	1745.2	1127.35	1259.69	2271.4	813.63	791.35	1909.85	954.43	1322.37	3395.89	2104.58	1175.27	1605.83	1119.56	1183.45	2032.85	503.95	1397.83	1015.93	1487.87	1991.0
BPHL	1268.46	780.44	830.75	1104.13	616.37	728.11	921.88	518.15	620.67	1447.15	289.02	967.76	684.02	647.07	688.78	1051.79	921.88	928.3	191.67	1135.2	1397.83	1044.52	1167.14	718.08	1378.57	674.59	1059.11	660.68	988.12	1008.9	155.5	142.01	384.34	403.5	363.56	187.71	291.04	248.0	351.14	688.78	373.81	49.56	232.94	256.78	189.02	63.89	220.32	447.82	86.43	480.04	500.46	162.14	165.57	169.07	81.71	258.57	205.5	145.02	217.27	82.87	136.19	514.56	490.14	209.84	353.59	258.57	129.69	536.45	183.82	204.07	101.54	90.14	214.27	106.63	285.03	244.57
C11orf1	1286.18	2485.67	2240.11	2271.4	1295.13	2004.85	2451.44	3039.3	1991.0	1697.45	1183.45	1457.23	2451.44	1757.34	2075.59	2502.97	1407.55	2047.0	1030.12	2627.46	1477.58	2451.44	2701.35	1721.16	2178.83	2956.17	1331.57	1923.14	2816.11	830.75	429.54	429.54	563.18	1030.12	651.58	314.17	988.12	536.45	693.58	620.67	612.11	454.09	660.68	314.17	285.03	264.03	450.94	802.41	277.2	842.36	579.04	242.88	329.84	353.59	226.54	420.68	356.05	323.03	397.93	153.34	167.9	587.13	974.5	256.78	1467.37	412.0	244.57	1519.15	366.09	426.57	384.34	153.34	753.83	295.11	423.61	444.72
C11orf52	521.76	211.31	264.03	884.29	500.46	620.67	830.75	595.34	426.57	511.0	206.94	460.44	163.28	283.05	878.17	842.36	423.61	521.76	435.55	723.08	476.71	540.19	1437.15	256.78	612.11	854.13	647.07	529.06	860.08	748.61	75.64	106.63	511.0	490.14	854.13	148.09	287.01	525.39	249.73	450.94	336.79	119.26	684.02	497.0	348.71	5.59	297.17	743.43	152.28	547.75	521.76	295.11	129.69	68.55	63.0	136.19	351.14	85.22	234.57	149.12	46.84	316.37	1313.23	135.24	802.41	66.65	175.07	934.76	239.52	267.73	381.68	101.54	234.57	189.02	111.99	320.8
C11orf54	5831.91	4419.52	4972.34	2520.38	4704.07	4802.93	3491.39	1662.49	3212.66	5711.87	1883.54	3794.3	1870.53	2739.08	1794.29	2303.12	7433.4	5872.48	1674.06	8134.41	2835.7	1844.76	5913.33	4388.98	5913.33	2520.38	5751.61	4450.27	3303.0	4066.71	312.0	318.57	723.08	808.0	612.11	129.69	571.05	656.11	447.82	1015.93	738.29	154.42	890.44	236.21	543.96	363.56	343.89	825.0	191.67	813.63	1104.13	373.81	197.09	223.41	108.9	599.49	723.08	281.09	307.69	291.04	312.0	674.59	536.45	379.04	1757.34	575.03	325.29	1096.5	497.0	232.94	218.79	175.07	738.29	303.44	244.57	277.2
C1orf210	529.06	395.18	363.56	273.37	260.38	199.85	406.31	260.38	647.07	493.56	106.63	435.55	158.79	157.68	511.0	575.03	713.11	134.3	45.85	836.53	172.65	327.56	866.07	353.59	223.41	133.36	860.08	351.14	297.17	525.39	201.25	183.82	409.15	438.59	339.14	67.12	190.34	124.37	368.65	217.27	89.51	105.89	1081.39	314.17	708.18	57.49	206.94	363.56	119.26	195.72	170.25	246.28	32.13	55.1	82.87	63.89	507.46	57.08	80.01	78.89	96.01	299.25	521.76	57.08	395.18	82.87	78.34	620.67	197.09	251.48	414.87	153.34	470.14	305.55	148.09	157.68
C2orf43	281.09	417.77	249.73	346.29	454.09	343.89	420.68	303.44	223.41	412.0	264.03	267.73	273.37	256.78	195.72	275.28	409.15	279.14	220.32	336.79	236.21	293.07	473.41	406.31	571.05	351.14	269.6	320.8	297.17	325.29	182.55	96.68	151.22	291.04	134.3	40.07	130.6	253.23	205.5	312.0	320.8	65.26	145.02	71.0	111.99	110.43	161.02	231.32	59.13	332.14	312.0	76.71	85.22	78.34	24.11	156.59	121.79	55.49	130.6	85.82	59.13	115.16	102.97	125.24	392.44	99.43	88.88	229.72	92.05	83.45	67.59	57.89	127.89	78.34	83.45	125.24
C2orf47	521.76	808.0	483.38	583.07	497.0	651.58	579.04	389.72	366.09	866.07	273.37	438.59	540.19	414.87	397.93	473.41	884.29	420.68	293.07	708.18	403.5	470.14	414.87	713.11	866.07	409.15	473.41	417.77	583.07	503.95	204.07	164.42	223.41	314.17	285.03	249.73	253.23	244.57	267.73	299.25	320.8	145.02	318.57	205.5	178.77	201.25	180.02	273.37	110.43	384.34	376.41	87.03	162.14	143.01	165.57	224.97	180.02	147.06	190.34	145.02	153.34	177.53	283.05	187.71	392.44	121.79	218.79	454.09	127.89	172.65	199.85	163.28	208.38	193.01	131.51	234.57
C9orf64	497.0	470.14	423.61	316.37	536.45	567.1	381.68	395.18	371.22	384.34	320.8	493.56	392.44	309.83	366.09	414.87	669.92	363.56	237.86	371.22	312.0	307.69	297.17	346.29	389.72	334.46	438.59	447.82	358.54	409.15	139.07	86.43	156.59	249.73	236.21	74.58	185.11	190.34	224.97	271.48	316.37	80.01	314.17	170.25	102.97	66.65	114.36	285.03	82.87	323.03	316.37	62.56	108.9	88.88	59.97	144.01	170.25	113.56	115.97	68.55	95.34	206.94	218.79	108.14	299.25	96.01	137.14	441.64	83.45	128.79	135.24	66.65	170.25	147.06	119.26	81.71
CD74	69753.56	294926.33	368165.8	378516.38	327241.36	85283.74	140478.49	180294.02	443937.41	79572.48	466008.55	131071.0	466008.55	383800.28	341137.96	368165.8	73730.83	86474.27	506427.83	186652.11	397335.0	118127.7	91404.92	309589.14	90773.53	324980.94	100719.65	329517.51	280957.98	68793.23	402881.61	147462.67	253213.41	527933.71	726195.27	262143.0	1196176.45	485798.0	682276.92	585779.24	338781.54	116501.39	619179.28	343510.77	419990.32	92680.9	394590.4	757033.75	358098.26	313910.86	269512.87	1019901.63	475800.4	414208.18	932018.1	459592.86	265802.39	1503610.06	450134.56	135693.24	45701.96	1229805.58	649962.87	205673.01	437825.58	741454.2	145432.49	610654.84	363097.14	593956.43	345900.08	375901.76	1877002.62	636586.81	1196176.45	531605.79
CDHR2	125.24	1242.34	242.88	629.35	267.73	150.17	312.0	314.17	59.55	521.76	9.27	8.13	854.13	148.09	551.56	147.06	417.77	28.04	3.14	29.27	181.28	84.63	1059.11	42.41	400.71	612.11	301.33	836.53	143.01	189.02	0.0	7.0	6.21	1.57	1.19	3.59	0.0	4.78	7.17	0.72	4.35	3.35	4.5	48.52	0.21	0.0	1.2	39.5	0.0	3.96	5.41	2.32	13.52	3.47	0.0	6.06	6.67	3.96	0.0	1.51	0.0	2.07	18.29	1.36	0.0	4.86	9.85	0.0	0.8	0.2	3.86	4.82	0.29	1.1	0.27	5.5
CHPF	529.06	2915.45	723.08	2816.11	1088.92	1991.0	2739.08	2032.85	941.27	2367.9	896.64	718.08	1781.89	934.76	1909.85	1250.98	1991.0	1508.65	2133.97	872.1	947.83	1662.49	1427.22	1233.75	1216.75	2319.15	698.41	1250.98	1437.15	775.05	2075.59	454.09	351.14	728.11	423.61	395.18	521.76	525.39	2720.15	713.11	575.03	463.65	483.38	435.55	1369.04	743.43	1605.83	733.19	353.59	587.13	748.61	848.22	551.56	2875.3	954.43	384.34	764.36	447.82	1268.46	860.08	764.36	521.76	819.3	688.78	255.0	1037.29	211.31	743.43	1233.75	356.05	1304.15	323.03	567.1	1340.84	665.29	967.76
CLDN10	1073.91	1331.57	796.86	728.11	665.29	1397.83	947.83	525.39	1088.92	1369.04	301.33	878.17	1143.1	954.43	1023.0	848.22	1250.98	497.0	206.94	1733.13	1059.11	974.5	1991.0	1015.93	1378.57	854.13	896.64	988.12	1295.13	1417.35	46.5	303.44	182.55	123.5	656.11	181.28	46.18	12.93	285.03	420.68	53.95	2.01	36.79	665.29	84.04	239.52	69.03	57.08	90.77	50.98	92.05	518.15	0.28	6.36	12.83	3.14	4.17	232.94	7.57	31.22	195.72	84.04	8363.13	7.4	57.89	470.14	4.39	60.39	26.67	297.17	43.94	2004.85	10.08	100.13	41.81	2133.97
CNPPD1	3212.66	3443.31	1757.34	6337.83	2224.63	3325.99	3928.15	3419.52	3467.27	5517.27	1963.57	4152.18	2915.45	2895.31	3303.0	3039.3	5441.3	2758.13	1183.45	3018.3	3690.52	2591.27	2976.74	4095.0	3639.7	3103.19	3190.46	2627.46	3419.52	3303.0	902.89	563.18	836.53	2240.11	1369.04	450.94	995.0	1407.55	1073.91	1519.15	1447.15	466.88	1950.0	808.0	693.58	414.87	764.36	2133.97	813.63	1757.34	1628.26	507.46	1167.14	595.34	591.22	1111.82	1096.5	866.07	909.17	480.04	536.45	1605.83	902.89	896.64	1437.15	688.78	1051.79	2287.2	728.11	769.69	961.07	454.09	1259.69	1167.14	872.1	764.36
COQ9	1088.92	1685.71	1605.83	2591.27	1498.22	1651.0	1909.85	3303.0	2520.38	1594.73	1175.27	1674.06	2287.2	2075.59	1806.78	2956.17	1781.89	1733.13	1359.57	2335.28	2335.28	2400.97	2956.17	1685.71	1923.14	2224.63	1216.75	1685.71	2468.49	2018.8	497.0	343.89	769.69	1030.12	713.11	406.31	571.05	1008.9	785.88	909.17	878.17	198.47	769.69	612.11	483.38	426.57	525.39	1104.13	244.57	748.61	995.0	397.93	395.18	571.05	144.01	616.37	457.25	358.54	559.28	305.55	318.57	595.34	679.29	536.45	1030.12	346.29	336.79	988.12	409.15	346.29	409.15	178.77	435.55	450.94	255.0	309.83
CPT2	718.08	624.99	759.08	733.19	703.28	638.15	647.07	417.77	647.07	915.51	397.93	583.07	348.71	486.75	363.56	543.96	909.17	339.14	269.6	748.61	878.17	470.14	1111.82	764.36	429.54	854.13	848.22	559.28	379.04	497.0	191.67	90.77	175.07	450.94	381.68	130.6	277.2	244.57	293.07	265.87	307.69	92.7	511.0	205.5	142.01	145.02	135.24	423.61	199.85	316.37	265.87	78.89	143.01	161.02	81.71	224.97	303.44	236.21	175.07	111.21	98.04	381.68	334.46	209.84	444.72	201.25	260.38	555.41	165.57	129.69	167.9	72.52	412.0	198.47	221.86	209.84
CRYZ	6471.02	6935.54	4903.87	5555.65	1757.34	5006.93	2451.44	6699.25	7280.4	7485.11	3564.78	4736.79	4268.94	5441.3	5872.48	6207.38	7749.1	3874.05	2255.7	13215.02	5791.62	4607.24	12676.65	5183.54	3540.14	6121.9	6337.83	5555.65	3018.3	5995.9	232.94	583.07	1457.23	525.39	239.52	114.36	341.51	647.07	698.41	941.27	376.41	190.34	532.74	120.94	1233.75	543.96	764.36	713.11	147.06	1519.15	1883.54	406.31	228.13	348.71	435.55	339.14	432.53	647.07	988.12	334.46	65.72	563.18	713.11	314.17	3665.02	157.68	409.15	1135.2	395.18	1397.83	718.08	234.57	571.05	718.08	595.34	536.45
