	TCGA.E2.A3DX.01A.21R.A213.07	GTEX.ZF29.1926.SM.5S2P1	GTEX.Y8LW.1626.SM.5IFHX	GTEX.S4UY.0726.SM.4AD6X	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.S32W.1926.SM.4AD63	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.13QJC.0726.SM.5RQJK	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	TCGA.38.4625.01A.01R.1206.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.HC.7818.01A.11R.2118.07	TCGA.CH.5738.01A.11R.1580.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.EJ.5502.01A.01R.1580.07
KIAA0100	1936.53	1733.13	1242.34	1857.6	125.24	103.69	163.28	332.14	334.46	412.0	497.0	500.46	514.56	409.15	265.87	211.31	384.34	242.88	500.46	293.07	130.6	400.71	575.03	483.38	470.14	231.32	303.44	616.37	125.24	450.94	312.0	490.14	295.11	0.0	1369.04	802.41	1304.15	1551.09	1313.23
KMT2D	624.99	1015.93	866.07	703.28	136.19	119.26	98.04	190.34	90.14	325.29	199.85	199.85	211.31	232.94	181.28	162.14	297.17	212.78	417.77	147.06	54.72	251.48	287.01	239.52	361.04	60.39	198.47	289.02	55.49	265.87	161.02	255.0	141.02	0.0	1059.11	460.44	532.74	866.07	638.15
LTB4R2	33.06	30.56	60.39	33.06	15.91	17.13	9.27	22.92	12.0	47.84	32.13	8.19	36.53	8.06	15.34	20.71	27.05	0.0	31.22	0.0	0.0	10.08	34.51	14.03	14.89	0.0	0.0	59.55	26.86	18.84	9.48	16.03	0.0	0.0	31.67	31.9	19.25	24.28	56.68
MBTPS1	1594.73	2555.58	2193.99	2104.58	567.1	483.38	723.08	872.1	493.56	1183.45	819.3	884.29	878.17	928.3	567.1	769.69	1135.2	909.17	1081.39	733.19	551.56	813.63	988.12	941.27	723.08	532.74	1030.12	1143.1	490.14	1051.79	1127.35	1001.93	842.36	819.3	1407.55	1340.84	1498.22	934.76	1651.0
MGAT5	454.09	507.46	356.05	587.13	21.94	27.25	27.84	87.65	43.94	128.79	84.04	134.3	112.77	62.12	84.63	39.79	208.38	52.45	57.49	28.45	32.59	40.93	82.29	100.83	108.14	51.35	36.79	162.14	12.45	69.03	96.68	77.79	72.01	0.0	395.18	283.05	438.59	221.86	389.72
NACC2	224.97	236.21	297.17	301.33	82.29	100.13	59.97	166.73	137.14	239.52	177.53	169.07	228.13	208.38	115.97	113.56	220.32	111.99	201.25	75.11	121.79	161.02	224.97	275.28	223.41	83.45	119.26	217.27	55.89	164.42	121.79	325.29	123.5	0.0	287.01	237.86	226.54	214.27	334.46
NDST1	1662.49	2997.45	902.89	1628.26	332.14	269.6	341.51	473.41	279.14	909.17	718.08	854.13	629.35	353.59	289.02	205.5	1359.57	361.04	813.63	223.41	231.32	571.05	753.83	1023.0	723.08	423.61	525.39	896.64	361.04	693.58	395.18	842.36	543.96	0.0	854.13	507.46	651.58	825.0	791.35
PCNXL3	624.99	651.58	503.95	575.03	146.03	137.14	232.94	348.71	197.09	412.0	275.28	214.27	246.28	283.05	135.24	147.06	423.61	236.21	334.46	189.02	181.28	249.73	316.37	244.57	264.03	171.45	190.34	426.57	69.52	262.2	211.31	271.48	172.65	277.2	603.67	529.06	579.04	660.68	753.83
PRSS27	44.57	66.18	33.54	63.0	4.74	5.54	11.91	9.56	6.57	43.02	22.92	12.09	3.63	5.36	5.82	3.29	19.53	5.19	24.99	3.69	6.67	10.88	13.32	28.65	14.67	21.16	5.23	16.27	2.76	12.36	5.92	11.04	13.62	0.0	36.01	34.51	16.88	26.67	38.4
PTPN1	1111.82	1015.93	1233.75	638.15	316.37	269.6	215.77	414.87	273.37	595.34	351.14	414.87	384.34	305.55	325.29	214.27	532.74	312.0	438.59	232.94	309.83	283.05	297.17	387.02	379.04	291.04	205.5	356.05	228.13	295.11	201.25	351.14	269.6	0.0	791.35	620.67	684.02	1233.75	759.08
PTPRF	3982.99	4239.45	2915.45	6079.61	1313.23	1540.37	1991.0	1991.0	1250.98	4358.66	2061.24	1709.26	3665.02	2004.85	1806.78	2271.4	3589.58	1832.01	3614.55	1519.15	796.86	2591.27	2976.74	2018.8	1651.0	1477.58	2319.15	3768.09	1477.58	2287.2	2468.49	3325.99	2319.15	1359.57	4481.23	4388.98	3124.78	3639.7	4123.49
PTPRG	435.55	551.56	825.0	612.11	79.45	73.54	49.21	316.37	93.35	255.0	143.01	221.86	239.52	123.5	144.01	102.97	332.14	128.79	189.02	31.45	39.79	119.26	201.25	154.42	205.5	43.32	82.87	366.09	71.0	147.06	45.53	169.07	80.57	0.0	289.02	164.42	214.27	171.45	204.07
RBM15B	665.29	703.28	536.45	674.59	154.42	162.14	138.1	224.97	185.11	303.44	173.85	208.38	262.2	197.09	166.73	155.5	320.8	161.02	241.19	201.25	159.9	208.38	246.28	223.41	229.72	165.57	154.42	251.48	77.79	206.94	181.28	248.0	236.21	0.0	688.78	470.14	503.95	514.56	547.75
RGP1	400.71	591.22	392.44	435.55	97.36	107.38	91.41	180.02	158.79	205.5	161.02	154.42	208.38	133.36	94.67	110.43	175.07	159.9	121.79	132.44	80.01	143.01	204.07	171.45	158.79	84.63	133.36	244.57	50.27	173.85	111.99	183.82	107.38	0.0	476.71	260.38	361.04	511.0	420.68
RSPH4A	10.39	43.32	8.19	16.15	2.71	2.14	0.0	2.53	0.95	5.87	4.74	2.71	6.46	4.35	1.71	2.48	8.38	1.93	10.16	1.3	2.71	3.08	1.48	2.27	4.98	0.17	0.46	8.25	0.23	2.56	0.92	2.97	0.71	0.0	9.13	9.63	18.03	10.24	15.68
SERPINA3	31215.04	19892.37	16269.83	4639.29	202841.44	184082.4	201440.3	701458.36	482442.34	800198.39	828417.36	772940.66	857631.47	434801.29	447025.24	345900.08	772940.66	383800.28	789181.81	233003.78	80125.95	851707.37	900270.11	539026.74	851707.37	299043.36	456418.21	1041331.96	400098.69	912837.43	381149.17	721179.07	606436.73	0.0	7749.1	363097.14	447025.24	242898.5	411347.03
SLC9A8	249.73	373.81	242.88	343.89	115.16	111.21	123.5	127.89	82.87	255.0	153.34	217.27	166.73	206.94	124.37	100.13	267.73	148.09	209.84	120.1	92.7	139.07	209.84	218.79	150.17	100.13	115.16	229.72	43.63	135.24	136.19	137.14	94.67	0.0	283.05	195.72	204.07	232.94	297.17
SOCS7	191.67	441.64	153.34	171.45	7.88	11.3	6.41	33.78	17.13	24.46	18.97	35.0	19.39	16.27	11.82	6.89	33.06	9.41	23.08	8.25	5.82	22.1	26.1	26.47	29.48	5.23	16.51	36.79	2.58	22.43	14.89	37.32	21.01	0.0	289.02	108.9	138.1	167.9	186.4
TBC1D16	791.35	954.43	915.51	1781.89	61.25	61.68	49.91	132.44	126.12	209.84	137.14	163.28	194.36	90.77	55.49	64.34	80.01	80.57	244.57	77.25	94.01	224.97	155.5	327.56	198.47	57.49	42.41	258.57	52.82	143.01	88.26	376.41	76.17	0.0	1151.06	447.82	830.75	511.0	915.51
TMEM198	62.56	114.36	162.14	86.43	31.9	32.59	31.45	47.84	23.08	171.45	111.99	68.07	35.76	55.49	5.5	6.52	135.24	31.45	49.56	40.36	36.27	56.68	65.72	67.12	43.94	37.59	14.89	176.29	20.11	56.28	51.35	43.02	43.94	0.0	96.68	99.43	90.77	145.02	131.51
TRIM39	226.54	447.82	476.71	353.59	119.26	103.69	115.16	191.67	132.44	273.37	182.55	116.78	147.06	124.37	96.68	111.21	242.88	145.02	167.9	103.69	78.34	128.79	117.6	128.79	162.14	140.04	110.43	156.59	68.07	205.5	96.68	106.63	107.38	0.0	287.01	208.38	232.94	258.57	248.0
UGGT2	249.73	525.39	669.92	208.38	116.78	163.28	147.06	189.02	144.01	291.04	134.3	158.79	166.73	149.12	151.22	107.38	242.88	96.68	153.34	78.89	71.5	189.02	212.78	154.42	172.65	134.3	131.51	157.68	81.14	147.06	118.43	183.82	96.01	0.0	229.72	236.21	277.2	202.66	212.78
USP22	2777.33	3820.7	2739.08	2664.15	295.11	414.87	358.54	532.74	463.65	1199.98	703.28	748.61	819.3	764.36	397.93	351.14	656.11	525.39	825.0	417.77	567.1	651.58	723.08	1015.93	769.69	529.06	486.75	974.5	166.73	476.71	397.93	703.28	507.46	543.96	3443.31	1757.34	2148.82	3018.3	2400.97
UVSSA	197.09	167.9	167.9	242.88	21.94	32.82	23.93	64.34	22.1	113.56	97.36	51.35	69.03	42.41	17.51	25.54	51.71	57.49	89.51	27.25	8.51	149.12	33.3	48.18	73.03	30.78	21.32	163.28	9.78	88.26	21.47	72.52	29.7	0.0	175.07	118.43	183.82	154.42	157.68
ZBTB42	403.5	307.69	198.47	343.89	65.26	43.02	51.71	111.21	72.01	218.79	126.12	105.89	129.69	74.06	53.95	73.03	251.48	61.68	153.34	67.12	65.72	92.7	115.97	154.42	126.12	69.52	57.08	170.25	47.84	101.54	64.34	156.59	55.1	0.0	348.71	368.65	429.54	503.95	490.14
ZNF142	414.87	429.54	316.37	297.17	27.25	31.45	24.46	81.71	39.22	127.89	76.71	42.11	52.82	60.82	33.78	33.78	90.77	90.77	118.43	80.57	31.22	59.97	94.67	76.17	125.24	29.7	35.0	91.41	15.8	84.04	48.18	53.95	32.13	0.0	341.51	229.72	236.21	309.83	299.25
ZNF778	103.69	221.86	105.89	90.77	37.05	22.75	26.47	26.1	22.26	61.25	45.85	47.17	35.0	50.98	36.53	36.53	81.14	36.79	87.03	26.86	21.16	35.0	84.04	64.8	79.45	18.56	30.12	45.21	9.56	22.43	29.48	55.1	40.64	0.0	90.14	41.81	79.45	111.99	100.83
ZZEF1	473.41	836.53	583.07	457.25	45.21	85.82	66.65	94.67	50.27	223.41	143.01	118.43	195.72	131.51	81.14	103.69	183.82	96.01	236.21	105.89	53.95	191.67	142.01	145.02	214.27	70.51	95.34	185.11	29.48	182.55	75.64	159.9	100.13	0.0	444.72	260.38	334.46	366.09	409.15
