	TCGA.FV.A3R3.01A.11R.A22L.07	TCGA.5C.A9VH.01A.11R.A37K.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.DD.AAD1.01A.11R.A41C.07	TCGA.DD.AAD3.01A.11R.A41C.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.DD.AACN.01A.11R.A41C.07	TCGA.ED.A97K.01A.21R.A38B.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.ED.A66X.01A.11R.A311.07	TCGA.DD.A113.01A.11R.A131.07	TCGA.DD.A1EC.01A.21R.A131.07	TCGA.GJ.A9DB.01A.11R.A37K.07	TCGA.BC.A216.01A.11R.A155.07	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.13NYB.1026.SM.5IFH3	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.13N11.0926.SM.5IJG2	GTEX.13FTW.1126.SM.5J2NV	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.1497J.0726.SM.5Q5D1	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	TCGA.D7.8578.01A.21R.2343.13	TCGA.BR.8286.01A.12R.2343.13	TCGA.BR.8682.01A.11R.2402.13	TCGA.F1.6874.01A.11R.1884.13	TCGA.BR.8592.01A.11R.2402.13	TCGA.ZA.A8F6.01A.23R.A36D.31	TCGA.BR.8683.01A.11R.2402.13	TCGA.D7.8572.01A.11R.2343.13	TCGA.MX.A663.01A.11R.A31P.31	TCGA.CD.8529.01A.11R.2343.13
C2CD4D	12.09	12.45	3.59	12.36	7.94	11.91	12.45	12.0	3.63	5.11	17.0	2.81	6.06	8.32	12.27	2.92	7.28	3.89	0.06	0.25	1.1	0.4	0.82	0.0	4.54	2.39	0.89	3.66	5.63	2.14	4.21	1.87	0.0	1.62	1.85	2.66	1.69	1.2	5.36	4.98	0.55	0.72	0.78	0.88	0.69	5.06	25.35	57.08	19.11	56.68	7.06	19.68	11.91	20.26	22.59	151.22
CALU	1259.69	1059.11	1119.56	1295.13	1111.82	1304.15	1437.15	1457.23	1427.22	1259.69	1870.53	854.13	1340.84	1135.2	3491.39	967.76	563.18	480.04	2032.85	429.54	1417.35	379.04	366.09	473.41	842.36	836.53	703.28	299.25	454.09	536.45	486.75	486.75	368.65	409.15	921.88	457.25	743.43	426.57	444.72	293.07	974.5	915.51	346.29	447.82	460.44	842.36	4181.07	2032.85	2224.63	3665.02	3146.52	1685.71	4210.15	2895.31	2400.97	3168.41
CAMSAP2	165.57	166.73	133.36	206.94	104.42	176.29	358.54	142.01	120.94	142.01	176.29	96.01	204.07	358.54	190.34	135.24	287.01	65.72	69.52	58.3	53.19	50.27	25.17	36.27	74.06	49.91	40.07	41.22	20.56	71.0	32.59	48.87	46.84	57.89	69.03	48.87	79.45	53.19	38.12	16.51	84.04	90.77	35.76	68.55	28.65	40.36	346.29	267.73	371.22	237.86	358.54	236.21	409.15	293.07	341.51	185.11
CCDC112	36.27	40.36	73.54	39.79	34.51	40.36	78.34	83.45	95.34	116.78	114.36	60.82	74.06	35.5	109.66	51.71	68.55	2.97	52.08	34.51	39.79	16.03	19.68	11.38	36.53	14.14	34.51	29.06	9.2	12.93	36.27	16.03	8.45	16.39	21.01	10.16	37.32	72.52	7.28	17.0	14.35	31.67	6.67	10.24	7.11	26.28	175.07	187.71	181.28	135.24	307.69	212.78	181.28	139.07	142.01	178.77
CCDC97	356.05	348.71	212.78	387.02	327.56	381.68	669.92	305.55	397.93	486.75	529.06	387.02	381.68	373.81	457.25	309.83	307.69	118.43	143.01	175.07	105.89	241.19	136.19	120.94	232.94	101.54	163.28	176.29	120.1	204.07	299.25	138.1	164.42	201.25	165.57	167.9	127.0	153.34	172.65	299.25	307.69	206.94	122.64	129.69	70.51	161.02	616.37	579.04	441.64	503.95	466.88	397.93	426.57	497.0	607.87	470.14
CNOT3	417.77	669.92	476.71	684.02	507.46	785.88	866.07	738.29	708.18	703.28	842.36	624.99	866.07	733.19	974.5	575.03	651.58	228.13	157.68	295.11	231.32	260.38	457.25	346.29	267.73	198.47	356.05	463.65	205.5	228.13	301.33	400.71	387.02	579.04	236.21	265.87	476.71	341.51	305.55	476.71	269.6	273.37	255.0	339.14	120.94	239.52	1111.82	1051.79	813.63	796.86	791.35	656.11	921.88	909.17	1175.27	1001.93
COG5	224.97	189.02	157.68	228.13	185.11	223.41	202.66	332.14	202.66	199.85	297.17	191.67	183.82	163.28	551.56	177.53	166.73	73.03	101.54	139.07	115.97	111.21	82.87	93.35	291.04	112.77	147.06	71.0	78.89	157.68	78.34	81.71	104.42	105.15	145.02	64.8	152.28	141.02	109.66	59.97	122.64	102.97	120.1	94.67	84.04	102.97	536.45	420.68	587.13	674.59	426.57	507.46	723.08	389.72	397.93	371.22
COPG2	638.15	612.11	525.39	500.46	571.05	591.22	575.03	563.18	780.44	473.41	198.47	435.55	633.73	612.11	967.76	470.14	260.38	209.84	318.57	293.07	295.11	389.72	246.28	285.03	1066.48	287.01	397.93	173.85	297.17	381.68	180.02	212.78	234.57	285.03	438.59	217.27	400.71	295.11	244.57	199.85	403.5	239.52	450.94	283.05	214.27	312.0	629.35	532.74	708.18	791.35	543.96	536.45	967.76	665.29	728.11	507.46
CSNK1G1	78.34	40.93	59.13	58.71	53.19	58.3	102.97	77.79	60.82	65.72	107.38	77.79	88.26	48.18	77.79	45.85	72.01	31.22	31.22	41.52	23.59	32.82	14.89	29.91	40.93	17.38	30.12	32.13	22.1	33.3	18.97	35.0	30.12	32.13	35.25	21.78	33.3	18.43	31.22	38.67	46.84	33.3	39.5	24.28	16.39	23.42	134.3	95.34	161.02	180.02	123.5	142.01	289.02	214.27	121.79	146.03
CTBP1	2701.35	2875.3	1950.0	3190.46	3847.29	2816.11	2502.97	2193.99	2701.35	2816.11	3081.75	2758.13	2997.45	3280.18	5147.73	2777.33	3018.3	1709.26	1167.14	2573.36	1242.34	2319.15	2047.0	2287.2	1769.57	1350.18	1769.57	1709.26	1268.46	1674.06	1674.06	2319.15	1572.76	2502.97	1870.53	1806.78	2104.58	2209.26	1977.24	2935.74	1950.0	1583.71	2335.28	2075.59	1286.18	1151.06	9151.82	2956.17	3235.01	2875.3	3467.27	2777.33	4239.45	2855.44	3103.19	3639.7
CTD-2583A14.10	35.5	36.79	32.36	72.52	18.7	42.41	106.63	60.39	37.05	82.29	80.57	85.82	111.99	53.19	121.79	17.9	45.21	22.1	21.47	24.28	8.51	11.38	15.22	13.83	43.63	29.7	10.63	22.43	36.01	12.27	30.78	18.56	29.48	12.64	48.87	18.56	47.17	4.54	39.79	23.59	15.91	7.88	45.85	6.36	5.5	16.27	164.42	146.03	163.28	136.19	199.85	128.79	136.19	173.85	167.9	109.66
CYB561D1	46.5	45.53	90.14	84.04	22.59	53.57	98.73	84.63	101.54	17.38	78.89	67.12	81.71	71.5	152.28	46.18	69.52	32.82	24.46	5.45	14.56	22.43	12.45	18.29	27.64	23.93	5.82	16.63	22.59	16.03	19.68	17.13	13.93	23.76	19.25	9.56	12.09	4.82	23.42	35.25	31.9	13.83	8.99	7.94	0.72	34.02	265.87	171.45	358.54	161.02	146.03	351.14	237.86	86.43	173.85	177.53
CYTH2	884.29	1008.9	825.0	902.89	974.5	1015.93	1378.57	775.05	1023.0	1175.27	1519.15	909.17	988.12	941.27	947.83	954.43	660.68	327.56	909.17	555.41	384.34	406.31	348.71	327.56	470.14	426.57	371.22	460.44	303.44	457.25	221.86	426.57	525.39	395.18	713.11	441.64	753.83	785.88	486.75	297.17	759.08	934.76	547.75	633.73	356.05	703.28	2104.58	1427.22	995.0	947.83	1167.14	1008.9	1340.84	961.07	1127.35	1030.12
DNM1L	332.14	490.14	368.65	559.28	332.14	432.53	595.34	532.74	351.14	480.04	1769.57	432.53	507.46	540.19	547.75	447.82	521.76	226.54	297.17	218.79	279.14	215.77	152.28	231.32	547.75	271.48	287.01	110.43	198.47	185.11	191.67	147.06	91.41	239.52	332.14	105.89	269.6	295.11	202.66	193.01	348.71	356.05	176.29	241.19	55.49	255.0	748.61	884.29	981.29	780.44	1286.18	1008.9	748.61	884.29	1051.79	713.11
DPAGT1	1088.92	1277.29	1044.52	1369.04	1175.27	728.11	1304.15	1477.58	1594.73	995.0	1369.04	1487.87	1295.13	1268.46	1639.59	1159.07	723.08	409.15	669.92	525.39	974.5	420.68	551.56	470.14	733.19	713.11	607.87	426.57	575.03	638.15	379.04	679.29	438.59	555.41	703.28	503.95	703.28	493.56	423.61	497.0	688.78	693.58	503.95	500.46	363.56	753.83	1037.29	1594.73	1175.27	1143.1	780.44	819.3	909.17	2119.22	1151.06	1467.37
EIF2AK3	183.82	242.88	198.47	202.66	183.82	249.73	529.06	307.69	173.85	267.73	285.03	202.66	239.52	260.38	521.76	166.73	153.34	116.78	244.57	143.01	248.0	75.64	154.42	187.71	121.79	195.72	295.11	56.28	84.63	127.89	146.03	170.25	88.26	132.44	183.82	178.77	158.79	92.7	74.58	103.69	118.43	123.5	92.7	88.88	77.25	171.45	420.68	316.37	316.37	647.07	264.03	417.77	412.0	457.25	314.17	638.15
ELOVL1	1605.83	1457.23	1350.18	1832.01	2090.03	1685.71	1617.0	1350.18	2627.46	1721.16	1844.76	1651.0	1806.78	1617.0	2627.46	1685.71	1819.35	551.56	1733.13	567.1	1331.57	693.58	708.18	718.08	1233.75	884.29	567.1	525.39	521.76	780.44	753.83	638.15	503.95	341.51	1051.79	723.08	708.18	563.18	454.09	493.56	2104.58	796.86	1073.91	595.34	454.09	928.3	2163.77	3768.09	2004.85	2895.31	1427.22	2367.9	1757.34	2104.58	2287.2	2434.5
FAM220A	159.9	255.0	246.28	251.48	244.57	220.32	223.41	323.03	241.19	314.17	211.31	231.32	260.38	215.77	366.09	190.34	162.14	111.99	136.19	111.21	162.14	98.73	110.43	132.44	86.43	96.68	120.94	63.89	117.6	140.04	133.36	104.42	84.04	114.36	91.41	187.71	89.51	77.25	72.52	94.01	123.5	124.37	117.6	95.34	71.0	82.29	299.25	236.21	172.65	175.07	237.86	202.66	249.73	201.25	205.5	264.03
FAM53C	194.36	166.73	244.57	271.48	181.28	246.28	323.03	334.46	275.28	312.0	232.94	256.78	293.07	226.54	392.44	228.13	287.01	169.07	198.47	129.69	116.78	128.79	70.51	150.17	102.97	162.14	108.14	85.22	123.5	104.42	132.44	137.14	97.36	163.28	145.02	137.14	136.19	123.5	88.26	131.51	170.25	173.85	137.14	133.36	90.77	142.01	403.5	204.07	423.61	325.29	511.0	327.56	371.22	571.05	414.87	406.31
FBXL18	33.3	77.79	49.56	49.91	72.01	29.91	78.89	90.77	55.1	42.41	39.22	66.18	76.71	86.43	144.01	100.13	25.35	9.85	29.27	16.15	22.75	6.26	8.85	16.75	21.94	39.79	13.12	8.38	7.4	11.21	11.13	12.18	9.2	6.11	21.94	13.22	11.82	9.34	7.82	21.32	16.03	8.85	8.0	12.55	10.16	26.1	229.72	202.66	206.94	176.29	115.97	151.22	307.69	182.55	167.9	194.36
FIZ1	193.01	224.97	195.72	214.27	191.67	262.2	384.34	212.78	208.38	265.87	289.02	212.78	279.14	285.03	291.04	221.86	214.27	111.21	49.56	89.51	67.59	170.25	187.71	116.78	106.63	106.63	100.13	100.83	109.66	96.68	167.9	109.66	128.79	167.9	144.01	166.73	159.9	68.07	131.51	291.04	138.1	108.14	76.71	98.73	46.18	103.69	483.38	323.03	223.41	236.21	346.29	241.19	277.2	356.05	376.41	281.09
FOXK1	74.06	102.25	134.3	106.63	96.01	120.94	102.97	169.07	171.45	130.6	172.65	154.42	137.14	138.1	244.57	100.13	84.63	84.63	56.68	66.18	22.75	60.82	48.52	29.91	50.98	48.52	55.1	73.03	27.64	26.1	50.98	41.52	32.82	49.56	40.36	48.87	52.82	61.25	25.72	52.82	55.49	98.73	38.95	64.8	43.63	39.22	529.06	480.04	651.58	848.22	466.88	438.59	928.3	275.28	587.13	409.15
GAB2	166.73	171.45	132.44	87.03	153.34	169.07	146.03	91.41	141.02	150.17	173.85	212.78	181.28	86.43	332.14	166.73	123.5	43.63	67.12	57.89	20.86	25.54	27.84	24.81	45.53	38.95	25.91	23.93	18.7	69.03	25.54	48.87	56.28	55.49	82.29	40.36	33.78	30.34	33.54	50.27	65.72	39.79	34.02	66.18	31.67	69.03	395.18	389.72	406.31	325.29	336.79	521.76	281.09	251.48	329.84	281.09
GALNT10	325.29	164.42	260.38	244.57	190.34	221.86	255.0	228.13	248.0	158.79	575.03	153.34	229.72	155.5	236.21	176.29	241.19	78.34	102.97	92.05	76.71	100.13	66.18	81.14	137.14	88.26	60.82	26.86	46.84	92.7	69.03	57.08	41.81	58.3	122.64	59.97	65.72	55.1	29.7	98.04	140.04	70.51	78.34	38.95	29.7	82.29	1322.37	1127.35	915.51	1015.93	941.27	723.08	775.05	974.5	603.67	1191.69
GGA2	575.03	629.35	384.34	860.08	633.73	633.73	921.88	633.73	647.07	470.14	759.08	1088.92	753.83	2061.24	954.43	559.28	665.29	287.01	285.03	417.77	237.86	339.14	314.17	248.0	305.55	251.48	406.31	480.04	320.8	356.05	555.41	309.83	327.56	529.06	336.79	318.57	536.45	612.11	532.74	435.55	273.37	438.59	387.02	371.22	191.67	253.23	1259.69	813.63	1233.75	860.08	1295.13	988.12	941.27	1286.18	1073.91	1081.39
GIT1	470.14	423.61	373.81	379.04	260.38	432.53	629.35	303.44	457.25	332.14	447.82	314.17	409.15	397.93	435.55	265.87	400.71	122.64	269.6	161.02	63.45	163.28	155.5	83.45	358.54	83.45	77.79	246.28	133.36	120.94	145.02	118.43	109.66	88.88	180.02	202.66	155.5	127.89	181.28	237.86	244.57	204.07	105.15	137.14	34.26	151.22	1037.29	1583.71	1295.13	1127.35	791.35	802.41	1359.57	967.76	860.08	1208.34
GOLGA3	237.86	273.37	285.03	297.17	178.77	265.87	441.64	277.2	277.2	236.21	334.46	318.57	363.56	287.01	417.77	239.52	307.69	85.22	111.21	78.89	159.9	173.85	91.41	155.5	172.65	120.1	110.43	88.26	102.25	84.63	136.19	136.19	92.7	127.89	110.43	128.79	153.34	91.41	64.8	156.59	198.47	172.65	59.13	88.88	59.13	126.12	884.29	525.39	620.67	1030.12	796.86	591.22	1216.75	791.35	698.41	802.41
HCFC1	497.0	447.82	547.75	723.08	473.41	583.07	941.27	575.03	575.03	457.25	587.13	567.1	665.29	775.05	759.08	571.05	759.08	176.29	271.48	166.73	332.14	299.25	248.0	208.38	305.55	341.51	182.55	220.32	152.28	248.0	159.9	244.57	204.07	212.78	309.83	236.21	229.72	153.34	150.17	314.17	361.04	334.46	194.36	143.01	98.73	287.01	1008.9	1127.35	1233.75	1304.15	1313.23	988.12	1295.13	1583.71	1313.23	1159.07
HEATR1	119.26	157.68	170.25	193.01	137.14	161.02	368.65	303.44	141.02	291.04	220.32	157.68	273.37	209.84	157.68	120.94	193.01	36.79	72.01	32.13	96.68	50.98	33.54	39.5	81.71	78.34	49.21	38.4	34.75	81.14	55.49	31.22	36.27	56.28	104.42	45.85	47.84	47.5	51.35	40.07	64.8	58.71	30.56	37.32	15.45	78.34	295.11	460.44	371.22	409.15	289.02	241.19	511.0	599.49	334.46	281.09
HEATR2	260.38	376.41	327.56	239.52	307.69	318.57	303.44	420.68	262.2	368.65	447.82	309.83	414.87	285.03	651.58	249.73	195.72	83.45	191.67	212.78	218.79	167.9	172.65	176.29	358.54	159.9	123.5	182.55	113.56	189.02	105.89	94.01	88.26	289.02	224.97	115.97	170.25	267.73	211.31	162.14	204.07	144.01	102.25	182.55	108.14	156.59	563.18	1167.14	503.95	890.44	435.55	571.05	555.41	669.92	738.29	836.53
HIRA	336.79	332.14	275.28	343.89	212.78	346.29	447.82	316.37	264.03	395.18	412.0	366.09	500.46	218.79	429.54	285.03	343.89	194.36	297.17	139.07	334.46	265.87	242.88	217.27	295.11	316.37	139.07	139.07	246.28	239.52	305.55	239.52	212.78	155.5	314.17	209.84	193.01	141.02	142.01	229.72	215.77	211.31	180.02	143.01	198.47	285.03	348.71	525.39	476.71	591.22	555.41	426.57	718.08	620.67	620.67	470.14
IDUA	348.71	796.86	318.57	642.59	988.12	733.19	595.34	1015.93	381.68	607.87	1023.0	583.07	457.25	656.11	1551.09	633.73	447.82	80.01	20.56	83.45	59.55	138.1	269.6	79.45	336.79	115.16	255.0	194.36	106.63	116.78	105.15	82.29	191.67	267.73	88.26	142.01	187.71	234.57	117.6	612.11	193.01	176.29	96.01	115.97	94.01	208.38	1697.45	651.58	473.41	297.17	511.0	575.03	1073.91	460.44	379.04	878.17
INPP5F	65.72	96.68	95.34	163.28	46.5	85.22	140.04	57.49	53.19	112.77	119.26	98.04	80.01	85.82	68.55	64.8	63.45	30.12	38.95	49.91	37.85	36.01	21.94	41.22	82.87	33.06	26.47	24.11	25.72	56.28	19.11	22.92	21.32	39.5	90.77	43.02	47.84	47.5	45.85	28.24	48.87	68.07	26.28	51.71	17.51	70.51	199.85	248.0	334.46	199.85	387.02	220.32	231.32	316.37	316.37	215.77
IQCE	158.79	162.14	116.78	149.12	176.29	134.3	121.79	183.82	113.56	106.63	334.46	153.34	117.6	164.42	275.28	90.14	80.57	22.43	94.01	32.13	49.56	49.56	29.48	35.76	151.22	78.89	51.35	30.12	36.01	40.93	40.07	41.52	30.12	30.78	85.22	19.25	57.49	36.79	39.5	52.08	108.9	47.5	71.0	58.71	30.34	83.45	665.29	703.28	412.0	483.38	314.17	679.29	525.39	353.59	334.46	334.46
IRGQ	149.12	175.07	325.29	137.14	109.66	170.25	262.2	305.55	182.55	124.37	256.78	204.07	197.09	258.57	358.54	142.01	193.01	69.52	85.22	80.01	100.13	111.99	71.5	132.44	94.01	83.45	52.45	50.98	112.77	53.19	125.24	112.77	79.45	96.68	79.45	78.89	58.3	43.02	69.03	150.17	113.56	98.04	60.82	42.41	42.41	80.57	587.13	236.21	332.14	246.28	351.14	309.83	343.89	281.09	387.02	255.0
KCTD7	73.54	92.7	105.15	96.01	69.52	108.9	147.06	131.51	121.79	87.03	145.02	123.5	142.01	143.01	186.4	94.67	64.34	54.72	28.86	33.06	33.06	40.93	30.34	72.52	33.78	29.06	33.06	40.93	23.08	52.08	27.05	44.25	41.81	59.97	30.34	24.63	45.85	30.78	39.5	60.39	55.1	28.65	55.1	34.51	14.14	22.1	260.38	209.84	591.22	366.09	555.41	363.56	521.76	334.46	191.67	291.04
KLC2	153.34	417.77	395.18	579.04	218.79	373.81	466.88	417.77	387.02	368.65	497.0	336.79	295.11	204.07	511.0	291.04	258.57	57.89	77.25	41.22	67.12	104.42	60.39	44.89	376.41	78.34	88.88	40.36	53.95	59.97	67.59	96.68	49.56	90.14	85.82	26.28	132.44	81.71	55.89	53.95	156.59	78.89	62.12	68.55	47.84	111.21	743.43	559.28	571.05	713.11	802.41	540.19	536.45	529.06	620.67	450.94
MAEA	1088.92	813.63	753.83	866.07	1242.34	890.44	1127.35	791.35	995.0	808.0	1540.37	981.29	1331.57	1159.07	1733.13	872.1	878.17	334.46	500.46	543.96	612.11	507.46	521.76	612.11	718.08	551.56	559.28	460.44	420.68	633.73	665.29	529.06	698.41	497.0	718.08	486.75	753.83	323.03	693.58	1001.93	896.64	480.04	400.71	426.57	205.5	693.58	2758.13	1277.29	1304.15	1561.89	1250.98	1175.27	1909.85	1417.35	1295.13	1447.15
