	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.QXCU.0626.SM.2TC69	GTEX.XYKS.0526.SM.4BRW2	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.SE5C.0526.SM.2XCE1	GTEX.WFG7.0526.SM.3GIKI	GTEX.117YX.1326.SM.5H125	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.13OW6.0826.SM.5L3GA	GTEX.T8EM.0326.SM.3DB7F	GTEX.PLZ5.0726.SM.2I5F9	GTEX.11LCK.0426.SM.5A5M8	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ
LY6G5B	21.32	0.0	1.23	154.42	74.58	1259.69	214.27	110.43	147.06	162.14	69.03	77.25	309.83	152.28	379.04	157.68	123.5	57.08	96.01	51.71
MAGEB17	1.79	0.0	0.1	0.0	2.66	2.43	3.47	0.0	1.17	15.0	0.0	1.2	7.34	7.4	11.91	1.25	2.56	0.0	10.16	7.51
MARCH9	154.42	0.0	0.72	201.25	441.64	656.11	703.28	334.46	551.56	603.67	361.04	339.14	423.61	532.74	633.73	334.46	309.83	267.73	361.04	258.57
MED26	52.82	0.0	0.17	275.28	175.07	647.07	273.37	128.79	173.85	329.84	132.44	155.5	289.02	264.03	314.17	234.57	122.64	198.47	217.27	138.1
MICALL2	128.79	0.0	1.28	371.22	169.07	490.14	1030.12	146.03	395.18	748.61	153.34	125.24	423.61	189.02	525.39	281.09	234.57	159.9	262.2	255.0
MIDN	1733.13	909.17	2047.0	3564.78	1143.1	5954.47	1467.37	624.99	1757.34	3665.02	1208.34	1059.11	3349.13	2271.4	4937.99	1417.35	616.37	1088.92	1457.23	1477.58
MT1E	830.75	0.0	0.41	18950.18	14971.21	30361.44	5594.3	9876.98	2061.24	44761.41	11267.44	12764.83	46662.28	10296.45	40904.3	29943.43	2468.49	12502.12	10733.74	10733.74
MTA1	264.03	0.0	1.33	599.49	460.44	866.07	1617.0	361.04	796.86	872.1	293.07	490.14	1388.16	947.83	1066.48	320.8	432.53	532.74	733.19	476.71
NBPF9	255.0	0.0	1.06	229.72	181.28	426.57	551.56	361.04	281.09	708.18	395.18	275.28	450.94	454.09	460.44	320.8	379.04	289.02	381.68	206.94
NPIPB4	131.51	0.0	1.33	669.92	198.47	1769.57	915.51	234.57	309.83	775.05	329.84	323.03	571.05	351.14	848.22	414.87	507.46	312.0	264.03	287.01
NSMF	309.83	0.0	1.14	299.25	406.31	493.56	743.43	182.55	329.84	684.02	291.04	289.02	392.44	305.55	457.25	327.56	231.32	277.2	241.19	262.2
NTRK3	9.93	0.0	0.53	21.63	88.26	87.03	38.95	55.1	39.22	86.43	12.45	39.5	161.02	58.71	105.89	23.93	123.5	55.1	37.32	35.0
NUTM2B	20.56	0.0	0.0	78.89	25.54	124.37	35.76	32.36	47.17	49.21	40.64	5.92	78.34	24.46	63.89	30.78	33.54	28.65	68.55	11.04
OR10G2	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.89	0.0	0.0	0.0	1.33	0.0	1.2	0.59	0.0	0.0	1.87	0.0
OTUB1	1119.56	0.0	1.04	1709.26	1674.06	2075.59	2119.22	1407.55	2303.12	2351.53	1304.15	1407.55	2240.11	1857.6	2609.3	1639.59	1467.37	1697.45	1529.73	1467.37
PAQR6	10.39	0.0	0.91	61.25	12.83	181.28	73.54	12.83	27.25	58.71	12.27	12.64	63.0	20.11	35.25	17.51	42.71	26.28	5.11	6.46
PCSK7	540.19	295.11	363.56	890.44	629.35	2178.83	1757.34	473.41	665.29	1477.58	476.71	470.14	1111.82	688.78	1096.5	514.56	587.13	579.04	579.04	435.55
PDLIM3	1081.39	0.0	0.46	878.17	651.58	1216.75	587.13	343.89	961.07	2133.97	1183.45	842.36	1844.76	1733.13	1733.13	1159.07	497.0	536.45	1081.39	1295.13
POU5F1B	3.96	0.0	0.09	8.58	8.0	6.73	29.06	16.15	23.25	37.59	25.17	17.13	19.53	8.45	22.92	3.29	1.55	15.8	21.63	5.87
PPP6R2	267.73	713.11	473.41	555.41	587.13	543.96	1331.57	748.61	941.27	1304.15	536.45	497.0	802.41	796.86	896.64	473.41	591.22	723.08	785.88	529.06
PRKAB1	1127.35	0.0	0.4	2004.85	1757.34	2609.3	1073.91	2319.15	1242.34	1359.57	1191.69	1583.71	2061.24	1721.16	1674.06	1378.57	1191.69	1457.23	1304.15	896.64
PRKD2	441.64	0.0	0.18	961.07	620.67	1073.91	915.51	403.5	1001.93	967.76	463.65	708.18	836.53	954.43	1295.13	463.65	612.11	547.75	854.13	854.13
PRR7	7.63	0.0	0.21	24.11	4.39	49.21	98.04	3.92	24.46	29.7	6.78	17.38	43.63	27.05	31.45	16.27	4.98	12.18	18.84	22.26
RALGDS	229.72	0.0	0.49	2178.83	759.08	2271.4	1304.15	802.41	1191.69	2384.37	934.76	854.13	3060.45	1519.15	2956.17	1407.55	547.75	684.02	1216.75	1183.45
RELA	1051.79	1051.79	466.88	2075.59	1350.18	2520.38	1457.23	1304.15	1437.15	1832.01	1119.56	1628.26	2061.24	1870.53	2178.83	1295.13	1369.04	1378.57	1540.37	2163.77
REN	31.9	0.0	0.0	78.89	41.81	33.06	22.92	15.0	45.85	59.97	18.7	62.56	50.27	43.32	82.87	40.36	20.56	18.29	44.89	23.42
ROM1	102.25	0.0	0.41	163.28	275.28	54.72	283.05	156.59	124.37	373.81	107.38	145.02	258.57	143.01	214.27	183.82	182.55	201.25	182.55	109.66
RP4-583P15.14	41.22	0.0	0.0	81.14	78.34	57.08	178.77	0.0	165.57	251.48	170.25	183.82	180.02	241.19	135.24	82.87	15.8	44.89	53.19	57.49
RPUSD1	93.35	0.0	0.01	283.05	231.32	384.34	480.04	228.13	346.29	336.79	283.05	287.01	361.04	314.17	371.22	267.73	248.0	264.03	295.11	253.23
RTEL1	83.45	0.0	0.93	102.25	68.07	185.11	199.85	102.97	96.68	202.66	41.52	50.63	70.51	57.49	95.34	82.29	76.17	95.34	137.14	51.71
RTEL1-TNFRSF6B	7.88	0.0	1.17	28.86	34.26	175.07	163.28	24.46	65.72	102.97	13.62	11.82	27.05	30.12	63.0	31.67	22.92	17.25	49.91	15.91
SBNO2	381.68	0.0	0.47	1923.14	543.96	2224.63	1286.18	438.59	555.41	1313.23	460.44	575.03	1467.37	555.41	1991.0	583.07	323.03	665.29	1023.0	1208.34
SCYL1	583.07	0.0	1.1	967.76	1111.82	3564.78	3060.45	902.89	1081.39	2335.28	961.07	1073.91	1467.37	1757.34	1697.45	872.1	785.88	1015.93	1066.48	1721.16
SFTPA1	0.39	0.0	0.0	5809569.18	4987895.16	3028138.0	450134.56	3156730.23	3576208.94	1715263.94	1432396.03	4252853.3	3832885.91	3968052.37	2691538.19	2710259.32	2546350.23	1171559.48	2425749.94	3028138.0
SFTPA2	7.28	22225.61	123.5	6014443.23	4495342.72	4051429.61	485798.0	3995652.37	3806410.22	1997825.68	1308968.45	5163792.94	5163792.94	3968052.37	2825352.59	2904784.09	2511293.86	1668359.93	3406832.48	4051429.61
SGSM2	237.86	0.0	1.04	785.88	612.11	941.27	1242.34	693.58	638.15	825.0	420.68	323.03	1295.13	1023.0	769.69	420.68	642.59	279.14	934.76	397.93
SLC24A5	21.32	0.0	0.17	2.39	15.0	23.93	36.01	14.03	14.24	18.29	17.0	8.38	29.48	9.7	29.7	15.11	9.63	9.27	20.11	9.48
SLC25A2	0.37	0.0	0.13	0.85	0.48	0.8	0.58	0.0	0.75	1.99	0.0	0.6	0.66	0.0	0.75	0.06	0.08	0.92	0.41	0.24
SNAI1	305.55	0.0	0.37	336.79	90.77	279.14	204.07	51.35	115.16	607.87	269.6	450.94	603.67	146.03	785.88	100.13	69.03	65.72	423.61	112.77
SRA1	518.15	0.0	0.48	688.78	529.06	1427.22	1250.98	483.38	529.06	1159.07	466.88	518.15	775.05	551.56	780.44	571.05	532.74	616.37	563.18	599.49
STRC	2.61	0.0	0.55	4.7	0.82	3.44	2.2	2.29	3.38	0.0	0.0	1.3	8.13	3.5	5.92	2.1	1.62	0.0	1.68	1.16
STX16-NPEPL1	4.62	0.0	1.22	98.04	93.35	157.68	76.71	28.65	22.92	30.34	12.36	20.56	30.34	84.63	54.33	66.18	15.45	29.06	45.85	6.01
SUPV3L1	332.14	0.0	0.65	543.96	295.11	1769.57	738.29	529.06	532.74	441.64	384.34	406.31	540.19	470.14	775.05	521.76	429.54	412.0	395.18	457.25
TCF25	1159.07	0.0	1.11	2895.31	2835.7	5041.77	3081.75	1769.57	2148.82	2434.5	1388.16	1819.35	2645.74	3515.68	3716.2	1674.06	1529.73	1832.01	1977.24	1044.52
TMEM173	1037.29	0.0	0.95	3303.0	1378.57	9409.14	4869.99	1733.13	4972.34	2701.35	1175.27	2209.26	7803.01	1794.29	6381.92	1896.65	1883.54	1322.37	3443.31	2209.26
TMEM259	928.3	0.0	1.07	1340.84	1540.37	3124.78	4802.93	1277.29	2468.49	2287.2	928.3	1540.37	2645.74	2434.5	2645.74	1233.75	995.0	1427.22	1639.59	1001.93
TOR3A	432.53	0.0	0.74	532.74	366.09	896.64	1208.34	629.35	819.3	1119.56	486.75	567.1	708.18	521.76	738.29	638.15	486.75	603.67	656.11	432.53
TRABD	212.78	0.0	0.95	406.31	441.64	1104.13	1208.34	358.54	647.07	748.61	199.85	351.14	624.99	503.95	896.64	353.59	297.17	483.38	376.41	379.04
TRMU	193.01	0.0	1.16	199.85	158.79	480.04	493.56	239.52	248.0	392.44	178.77	140.04	329.84	327.56	476.71	234.57	307.69	208.38	251.48	236.21
TSSC4	395.18	0.0	0.66	1250.98	511.0	1388.16	1977.24	503.95	974.5	1572.76	651.58	775.05	1519.15	1175.27	1191.69	525.39	470.14	713.11	813.63	902.89
TUSC1	170.25	0.0	0.56	387.02	209.84	1135.2	403.5	269.6	423.61	819.3	251.48	414.87	748.61	417.77	674.59	221.86	164.42	165.57	384.34	171.45
UBE2J2	514.56	0.0	0.85	1066.48	813.63	1457.23	1322.37	974.5	1242.34	1870.53	1044.52	1216.75	1378.57	1331.57	1498.22	1277.29	1044.52	693.58	1096.5	1467.37
VPS16	275.28	0.0	0.93	466.88	389.72	759.08	1096.5	376.41	647.07	660.68	258.57	389.72	514.56	551.56	651.58	387.02	423.61	454.09	409.15	251.48
ZBTB17	115.16	0.0	0.78	638.15	406.31	825.0	825.0	271.48	381.68	536.45	244.57	305.55	529.06	497.0	669.92	358.54	341.51	275.28	633.73	353.59
ZFP92	10.24	0.0	0.31	27.44	28.86	47.84	15.91	4.9	11.82	43.63	4.74	24.63	46.5	36.53	41.81	5.45	11.55	19.53	12.93	16.15
ZFYVE27	314.17	0.0	0.75	336.79	199.85	1242.34	371.22	262.2	409.15	366.09	242.88	273.37	483.38	403.5	426.57	285.03	336.79	264.03	423.61	392.44
ZFYVE28	156.59	0.0	0.73	60.39	120.94	98.04	159.9	81.71	75.64	161.02	76.17	103.69	228.13	98.73	215.77	35.0	204.07	98.73	96.01	83.45
ZNF513	136.19	0.0	0.88	267.73	191.67	718.08	775.05	234.57	271.48	348.71	147.06	204.07	363.56	251.48	540.19	224.97	246.28	255.0	293.07	305.55
ZNF593	98.73	0.0	0.0	341.51	283.05	212.78	503.95	215.77	262.2	423.61	289.02	248.0	473.41	327.56	432.53	249.73	145.02	329.84	180.02	450.94
ZNF7	187.71	0.0	0.54	384.34	346.29	327.56	486.75	403.5	426.57	518.15	303.44	376.41	426.57	384.34	400.71	346.29	376.41	341.51	423.61	287.01
ZNF787	146.03	285.03	231.32	728.11	368.65	669.92	974.5	242.88	514.56	403.5	285.03	371.22	656.11	514.56	748.61	239.52	182.55	507.46	426.57	441.64
