	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.ZP.A9D0.01A.11R.A37K.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.RC.A7SF.01A.11R.A352.07
MEX3C	511.0	759.08	336.79	988.12	182.55	435.55	256.78	368.65	426.57	318.57	540.19	212.78	529.06	363.56	265.87	693.58	234.57	387.02	312.0	194.36	226.54	373.81	332.14	269.6	356.05	500.46	780.44	518.15	251.48	88.26	75.11	110.43	42.11	99.43	83.45	153.34	169.07	56.68	76.71	75.64	96.01	92.05	118.43	64.8
PLGRKT	738.29	1127.35	2018.8	1487.87	665.29	854.13	1721.16	1313.23	1685.71	1191.69	1143.1	1350.18	1015.93	688.78	679.29	1950.0	1001.93	525.39	802.41	518.15	753.83	236.21	473.41	1583.71	1059.11	1936.53	743.43	995.0	444.72	371.22	447.82	389.72	397.93	381.68	395.18	381.68	603.67	579.04	616.37	470.14	665.29	470.14	353.59	281.09
PPAPDC2	197.09	285.03	381.68	293.07	146.03	185.11	178.77	256.78	281.09	193.01	314.17	224.97	346.29	145.02	94.01	503.95	198.47	172.65	521.76	123.5	214.27	135.24	163.28	397.93	271.48	208.38	466.88	325.29	246.28	90.14	251.48	162.14	204.07	157.68	153.34	248.0	67.12	183.82	115.16	136.19	121.79	55.89	108.14	98.73
RAB31	4802.93	4543.8	1487.87	6207.38	1111.82	1721.16	3690.52	1088.92	4181.07	2018.8	7433.4	2855.44	3794.3	2796.65	3742.05	5255.91	638.15	3874.05	688.78	358.54	323.03	264.03	769.69	1832.01	567.1	967.76	368.65	327.56	703.28	336.79	31.9	121.79	25.54	69.52	44.25	117.6	124.37	17.77	107.38	13.03	48.52	28.65	90.14	25.72
RABGAP1	808.0	728.11	567.1	660.68	384.34	525.39	423.61	708.18	780.44	493.56	819.3	412.0	647.07	547.75	470.14	915.51	500.46	633.73	934.76	567.1	819.3	884.29	620.67	547.75	551.56	1096.5	848.22	612.11	429.54	142.01	122.64	115.16	77.79	100.13	95.34	141.02	141.02	110.43	120.94	102.97	173.85	83.45	98.73	145.02
RANBP6	231.32	540.19	228.13	348.71	123.5	127.0	141.02	256.78	234.57	164.42	351.14	198.47	356.05	145.02	187.71	432.53	118.43	249.73	497.0	154.42	164.42	103.69	150.17	267.73	305.55	291.04	316.37	163.28	167.9	96.68	80.57	92.05	64.34	63.0	47.17	50.63	115.16	68.07	75.11	80.57	109.66	44.25	70.01	45.85
RASA1	507.46	397.93	325.29	665.29	291.04	470.14	607.87	406.31	358.54	341.51	466.88	400.71	507.46	688.78	384.34	642.59	249.73	447.82	713.11	299.25	624.99	341.51	483.38	466.88	476.71	890.44	791.35	376.41	327.56	226.54	84.63	92.7	98.04	104.42	82.87	94.67	185.11	85.22	109.66	136.19	134.3	106.63	59.13	69.52
RASL11B	158.79	232.94	51.71	293.07	202.66	120.1	59.55	166.73	325.29	60.39	39.79	117.6	201.25	118.43	48.18	384.34	50.63	163.28	159.9	31.22	220.32	34.02	98.04	202.66	438.59	285.03	297.17	40.36	11.13	8.19	4.06	8.71	0.62	6.78	0.62	5.73	3.2	0.97	4.82	0.97	12.64	0.85	9.7	0.0
RRAGA	1662.49	1950.0	2090.03	1651.0	1208.34	1769.57	1359.57	2178.83	2148.82	1819.35	2303.12	1388.16	2104.58	1286.18	1104.13	2758.13	1295.13	1794.29	2351.53	1605.83	1175.27	1135.2	1477.58	1991.0	2287.2	2816.11	1662.49	1697.45	1709.26	651.58	1159.07	1037.29	842.36	802.41	1135.2	1286.18	866.07	1286.18	961.07	915.51	1304.15	836.53	775.05	543.96
RYBP	395.18	444.72	293.07	441.64	218.79	246.28	309.83	320.8	363.56	403.5	297.17	255.0	356.05	334.46	212.78	490.14	144.01	334.46	525.39	293.07	295.11	271.48	220.32	426.57	470.14	361.04	417.77	273.37	171.45	82.29	81.14	85.22	139.07	97.36	63.45	101.54	119.26	122.64	66.18	77.79	110.43	84.63	68.07	104.42
SEPT10	1008.9	934.76	392.44	764.36	567.1	480.04	780.44	802.41	708.18	507.46	397.93	371.22	769.69	426.57	312.0	954.43	551.56	669.92	1081.39	406.31	529.06	723.08	599.49	579.04	429.54	579.04	1015.93	476.71	473.41	536.45	269.6	277.2	242.88	309.83	303.44	312.0	334.46	327.56	163.28	441.64	303.44	170.25	221.86	318.57
SMARCA2	1896.65	1477.58	1457.23	1674.06	669.92	1001.93	1143.1	1617.0	1191.69	1437.15	2104.58	1417.35	759.08	1088.92	1208.34	1628.26	713.11	928.3	2032.85	1208.34	1733.13	620.67	688.78	1923.14	2119.22	1051.79	1870.53	1151.06	738.29	454.09	521.76	403.5	327.56	248.0	497.0	511.0	329.84	429.54	384.34	381.68	587.13	215.77	299.25	314.17
SNAPC3	624.99	1066.48	293.07	332.14	258.57	237.86	267.73	463.65	403.5	332.14	559.28	312.0	547.75	387.02	256.78	511.0	316.37	241.19	890.44	234.57	253.23	307.69	381.68	460.44	287.01	521.76	529.06	307.69	285.03	123.5	185.11	105.15	72.52	94.67	178.77	158.79	133.36	77.79	116.78	105.15	158.79	129.69	90.14	85.82
SPTY2D1	587.13	624.99	234.57	409.15	217.27	305.55	220.32	438.59	409.15	212.78	320.8	255.0	277.2	409.15	291.04	587.13	299.25	248.0	441.64	262.2	305.55	277.2	237.86	379.04	361.04	376.41	860.08	232.94	133.36	131.51	75.11	62.56	104.42	66.65	64.8	71.5	89.51	68.07	56.68	77.25	89.51	67.12	87.65	75.64
TAF3	115.97	149.12	161.02	156.59	115.16	103.69	143.01	187.71	88.88	102.97	209.84	170.25	62.56	131.51	96.68	223.41	82.87	123.5	126.12	99.43	121.79	100.13	115.97	158.79	117.6	163.28	83.45	217.27	132.44	47.17	35.76	45.21	41.22	36.01	30.34	32.59	69.52	55.89	33.06	46.18	69.03	48.87	42.11	47.17
TOPORS	232.94	334.46	237.86	314.17	102.25	361.04	193.01	279.14	122.64	189.02	289.02	199.85	305.55	190.34	172.65	358.54	194.36	155.5	320.8	123.5	202.66	307.69	180.02	264.03	343.89	215.77	281.09	429.54	135.24	126.12	108.14	63.89	57.89	67.59	92.05	88.26	119.26	98.73	85.82	90.77	205.5	57.89	72.01	74.06
TPBG	909.17	507.46	332.14	1350.18	1081.39	669.92	1225.22	2104.58	1721.16	551.56	536.45	733.19	866.07	503.95	420.68	2384.37	595.34	764.36	2209.26	1008.9	1340.84	693.58	1015.93	1757.34	1135.2	1175.27	703.28	3690.52	392.44	5.15	4.46	16.75	1.28	8.0	5.19	18.43	21.63	1.62	7.69	2.01	8.99	4.7	18.16	4.66
TRAK2	490.14	289.02	248.0	785.88	239.52	264.03	201.25	435.55	1059.11	169.07	316.37	299.25	536.45	275.28	253.23	693.58	547.75	543.96	543.96	224.97	283.05	181.28	647.07	262.2	339.14	796.86	420.68	616.37	163.28	55.89	114.36	96.68	77.79	120.94	98.73	97.36	144.01	84.63	129.69	87.03	116.78	81.14	140.04	148.09
TXNDC2	5.96	4.7	3.0	3.2	0.34	1.01	2.12	0.69	2.23	0.0	5.11	3.2	2.23	2.73	2.84	7.22	0.97	2.66	0.66	0.6	0.97	0.0	1.58	6.31	1.33	1.68	1.27	1.19	0.87	0.51	0.54	0.48	0.0	0.0	0.0	0.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
