	TCGA.L5.A88W.01A.11R.A354.31	GTEX.S4P3.0426.SM.4AD56	TCGA.CV.7183.01A.11R.2016.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.7416.11A.01R.2081.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.S32W.1926.SM.4AD63	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139TS.1426.SM.5IFJD	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13NZB.0626.SM.5IFH6	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.1212Z.0226.SM.59HLF	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11WQK.2926.SM.5EQKT
CREB3L4	70.01	133.36	65.26	113.56	40.36	149.12	140.04	327.56	287.01	258.57	244.57	156.59	521.76	209.84	194.36	297.17	153.34	201.25	409.15	172.65	373.81	113.56	332.14	113.56	256.78	267.73	135.24	236.21	366.09	684.02	301.33	599.49	176.29	177.53	291.04	221.86	0.0	0.45	127.0
CSRNP3	2.14	1.23	3.14	4.1	1.22	0.59	1.57	10.96	45.85	2.43	4.39	0.0	11.38	23.59	4.62	9.2	0.65	9.34	2.58	6.67	3.99	0.74	7.88	0.32	7.75	7.22	1.04	10.08	11.13	19.97	5.19	26.28	30.56	9.06	6.67	8.85	0.0	0.0	1.07
DOLPP1	320.8	260.38	283.05	309.83	229.72	265.87	267.73	361.04	463.65	307.69	438.59	325.29	555.41	543.96	376.41	409.15	267.73	414.87	432.53	532.74	483.38	332.14	447.82	249.73	348.71	579.04	316.37	329.84	511.0	575.03	341.51	525.39	423.61	305.55	483.38	423.61	0.0	0.0	307.69
ENHO	0.0	3.47	0.0	1.0	1.68	9.93	5.11	275.28	403.5	13.62	29.91	0.85	423.61	1023.0	22.59	189.02	107.38	153.34	55.89	1044.52	764.36	31.0	460.44	55.89	36.53	303.44	45.53	114.36	728.11	1295.13	71.0	567.1	764.36	389.72	674.59	32.36	0.0	0.0	0.0
EXOC3L4	1.25	28.24	1.6	115.97	13.93	52.45	3.96	1572.76	353.59	248.0	312.0	197.09	3639.7	3639.7	457.25	5441.3	1001.93	878.17	2835.7	2133.97	1508.65	728.11	2047.0	460.44	1044.52	1594.73	320.8	1104.13	3540.14	2645.74	684.02	2997.45	2133.97	579.04	3716.2	954.43	0.0	0.54	0.0
F11	0.0	0.0	0.0	0.0	0.0	2.14	0.0	4972.34	12589.08	555.41	2004.85	447.82	7032.37	4836.35	3901.01	6207.38	1417.35	2682.69	6652.97	7032.37	2133.97	3280.18	6294.04	2148.82	2485.67	3124.78	1397.83	3257.52	15180.22	9876.98	1233.75	9215.48	8479.89	1378.57	14065.74	4038.61	0.0	0.0	0.0
FGFR4	53.57	114.36	44.57	14.03	56.68	55.49	20.56	1757.34	1819.35	343.89	872.1	251.48	1757.34	2224.63	759.08	1225.22	1216.75	599.49	1359.57	1498.22	1745.2	780.44	1819.35	1295.13	1277.29	1295.13	848.22	785.88	2133.97	2434.5	872.1	1340.84	2417.67	1001.93	1819.35	1135.2	0.0	0.61	73.54
GCAT	320.8	246.28	231.32	69.03	204.07	65.26	348.71	1437.15	2816.11	353.59	620.67	177.53	1059.11	3212.66	329.84	2133.97	825.0	1250.98	2004.85	2240.11	2895.31	162.14	941.27	309.83	708.18	587.13	423.61	1583.71	4481.23	1023.0	514.56	2485.67	3103.19	1685.71	3325.99	854.13	0.0	0.21	127.89
GCGR	0.0	2.16	0.0	0.79	0.48	5.63	0.83	4937.99	3491.39	130.6	76.17	50.63	6983.79	5791.62	624.99	3372.43	106.63	438.59	4972.34	2520.38	10959.3	728.11	1388.16	329.84	669.92	2271.4	450.94	1183.45	18178.19	13033.07	583.07	6207.38	4869.99	406.31	7749.1	915.51	0.0	0.31	2.23
GGT7	44.57	104.42	49.56	26.28	38.67	19.68	90.14	255.0	211.31	73.54	43.02	241.19	226.54	224.97	90.14	208.38	100.83	96.01	146.03	161.02	143.01	109.66	234.57	110.43	208.38	170.25	94.01	88.88	189.02	339.14	102.97	191.67	249.73	104.42	273.37	132.44	0.0	0.83	108.9
HSD17B3	0.0	3.35	6.26	6.06	0.0	6.31	4.13	63.0	67.59	20.71	2.92	9.2	139.07	55.1	6.78	8.78	3.06	10.47	29.48	38.67	104.42	13.52	44.89	17.51	6.46	17.64	19.39	49.21	82.87	75.11	6.73	45.21	67.12	6.89	78.89	6.31	0.0	0.79	0.47
HYI	332.14	361.04	223.41	255.0	242.88	599.49	346.29	1909.85	1806.78	1066.48	723.08	698.41	2895.31	2061.24	665.29	753.83	860.08	1066.48	1233.75	764.36	1733.13	1008.9	1794.29	1051.79	921.88	1175.27	1008.9	1175.27	2271.4	2400.97	896.64	2816.11	1950.0	1159.07	1605.83	583.07	0.0	0.75	186.4
KANK4	0.73	0.44	25.72	8.65	17.9	1.11	0.65	36.27	41.52	0.75	7.22	3.26	113.56	112.77	41.52	24.63	5.63	16.03	22.1	155.5	11.3	4.46	54.33	11.04	16.88	37.32	3.69	1.62	130.6	17.77	64.8	154.42	102.25	20.26	77.25	8.92	0.0	0.01	0.0
KIAA2018	102.97	127.0	92.05	97.36	120.1	132.44	125.24	220.32	295.11	152.28	183.82	128.79	417.77	218.79	220.32	309.83	161.02	287.01	239.52	314.17	353.59	178.77	249.73	190.34	189.02	198.47	182.55	220.32	327.56	363.56	190.34	267.73	299.25	258.57	275.28	191.67	0.0	0.45	55.1
LCAT	403.5	208.38	46.84	87.65	69.52	400.71	215.77	10296.45	16269.83	336.79	713.11	607.87	17078.76	31215.04	3589.58	14361.31	4268.94	13033.07	6983.79	16383.0	14262.1	2976.74	5791.62	2720.15	5913.33	10512.82	4869.99	11584.24	30999.42	14163.58	3103.19	15934.98	25179.16	13033.07	15607.02	3639.7	0.0	1.11	158.79
LCN12	0.0	12.0	0.0	0.0	0.93	5.54	0.88	607.87	379.04	63.0	57.49	56.68	1023.0	543.96	100.13	493.56	194.36	52.82	356.05	199.85	587.13	232.94	587.13	241.19	297.17	226.54	77.79	420.68	1044.52	791.35	253.23	497.0	525.39	299.25	759.08	169.07	0.0	0.62	4.35
LIPG	52.08	220.32	571.05	379.04	43.63	125.24	249.73	819.3	1259.69	518.15	583.07	397.93	3419.52	1407.55	397.93	860.08	187.71	384.34	457.25	1697.45	1225.22	303.44	563.18	785.88	629.35	476.71	356.05	444.72	1286.18	2209.26	248.0	1183.45	1870.53	273.37	1081.39	305.55	0.0	0.0	297.17
LRRC29	23.76	18.03	18.7	13.72	24.81	23.08	22.43	64.34	89.51	30.56	34.51	33.78	82.87	108.9	34.02	70.51	29.48	45.53	60.39	44.89	128.79	45.21	81.14	22.59	79.45	79.45	27.44	111.21	136.19	148.09	37.32	99.43	113.56	63.0	111.99	28.24	0.0	0.3	14.03
MARC2	13.22	111.21	32.82	18.43	17.0	3.59	75.64	5517.27	6887.62	1662.49	1359.57	1313.23	5403.7	6745.86	2468.49	5366.37	1572.76	6164.49	4239.45	5479.15	5672.41	3419.52	2875.3	2224.63	2758.13	4388.98	1781.89	4575.41	6840.04	7130.55	3303.0	9540.5	5711.87	3124.78	4972.34	1936.53	0.0	0.74	47.17
MROH8	3.66	15.22	4.78	7.88	4.06	3.32	14.67	55.49	29.91	26.67	19.97	17.38	115.16	126.12	52.45	37.85	27.25	33.54	17.51	80.01	144.01	43.32	82.87	30.78	56.68	97.36	45.85	64.8	53.19	104.42	98.04	115.97	37.05	35.76	91.41	73.54	0.0	0.17	10.79
ORM2	0.04	66.18	13.03	0.0	0.0	2.36	0.0	459592.86	654483.73	254974.66	239554.43	701458.36	217400.14	1139523.1	602247.76	800198.39	535303.41	1739208.14	805764.22	1800541.22	757033.75	677564.08	397335.0	668235.84	1041331.96	998912.34	550352.86	1318073.06	691801.16	459592.86	863596.77	2476720.12	751804.53	1093103.58	1514068.5	585779.24	0.0	0.0	2.14
PAN2	403.5	409.15	136.19	218.79	127.89	303.44	202.66	753.83	693.58	412.0	351.14	301.33	1340.84	555.41	429.54	669.92	366.09	397.93	860.08	379.04	718.08	389.72	1286.18	297.17	497.0	669.92	363.56	543.96	444.72	1583.71	575.03	954.43	638.15	249.73	775.05	420.68	0.0	1.06	44.25
PRSS42	0.0	1.08	0.0	0.0	0.0	0.0	0.0	3.5	3.86	0.53	0.06	0.0	3.32	2.78	0.56	1.11	0.29	0.0	0.55	0.0	3.38	0.49	1.58	0.0	1.58	0.78	0.16	1.68	4.03	7.17	0.49	2.56	3.06	1.17	3.03	0.32	0.0	0.27	0.0
RAB37	5.82	15.8	6.84	18.16	7.69	5.87	13.32	343.89	295.11	66.65	85.22	127.89	514.56	417.77	180.02	665.29	323.03	253.23	384.34	265.87	514.56	120.1	295.11	138.1	417.77	457.25	241.19	323.03	480.04	764.36	314.17	571.05	297.17	514.56	579.04	341.51	0.0	0.34	7.51
RDH16	48.87	26.47	33.3	115.97	118.43	241.19	12.55	14971.21	19348.38	90.77	1081.39	70.01	72715.74	81244.48	1991.0	20310.37	921.88	20030.74	12676.65	44452.21	58250.19	1369.04	20170.07	3540.14	7857.29	5183.54	3564.78	7433.4	29531.18	24660.96	1832.01	23656.34	78476.96	12764.83	34396.12	2720.15	0.0	0.57	5.87
RP5-966M1.6	7.22	15.68	0.89	7.11	1.51	13.32	4.39	1037.29	323.03	183.82	82.87	117.6	1259.69	368.65	236.21	1015.93	358.54	470.14	1331.57	211.31	1151.06	260.38	656.11	113.56	201.25	208.38	167.9	403.5	1250.98	2400.97	237.86	1331.57	460.44	105.89	1066.48	169.07	0.0	0.91	2.68
SFXN5	117.6	50.98	59.97	228.13	141.02	142.01	132.44	896.64	1437.15	395.18	525.39	295.11	1340.84	1508.65	497.0	1081.39	483.38	376.41	872.1	1015.93	1561.89	532.74	780.44	825.0	775.05	860.08	620.67	718.08	1233.75	1388.16	674.59	1167.14	1225.22	743.43	928.3	567.1	0.0	0.57	33.06
SHF	39.5	53.57	38.4	19.39	66.65	7.82	84.63	802.41	547.75	281.09	318.57	36.79	896.64	1359.57	373.81	1096.5	178.77	438.59	1159.07	1066.48	1950.0	169.07	947.83	96.01	525.39	392.44	287.01	400.71	2133.97	1081.39	267.73	842.36	915.51	759.08	1143.1	198.47	0.0	0.56	221.86
SKAP1	7.17	58.3	7.51	84.63	38.12	15.8	14.78	1508.65	3540.14	457.25	150.17	59.13	2303.12	2163.77	181.28	1883.54	155.5	387.02	1896.65	2434.5	2976.74	85.22	988.12	173.85	318.57	825.0	236.21	1286.18	3794.3	915.51	269.6	1909.85	2468.49	1259.69	3690.52	258.57	0.0	0.29	31.45
SLC34A1	9.2	1.71	3.59	5.63	2.51	2.71	4.74	9.13	69.03	0.0	9.85	0.0	116.78	64.34	18.56	43.32	28.45	19.39	45.85	34.75	42.71	14.89	28.45	7.57	38.12	37.05	9.85	14.35	55.89	38.67	20.86	39.22	25.35	48.52	59.13	24.46	0.0	0.06	0.0
SLC46A3	41.81	45.21	44.57	37.05	67.12	20.71	8.13	444.72	3540.14	551.56	1015.93	236.21	3280.18	1950.0	1369.04	1015.93	848.22	1936.53	1721.16	3190.46	6164.49	389.72	2400.97	1208.34	1175.27	1651.0	403.5	1295.13	1697.45	941.27	1467.37	2520.38	1617.0	825.0	2573.36	1096.5	0.0	0.47	48.52
SMIM1	7.46	11.38	29.7	6.52	8.78	0.0	21.78	536.45	175.07	53.95	101.54	27.44	287.01	660.68	73.03	316.37	273.37	167.9	164.42	490.14	612.11	69.03	201.25	109.66	193.01	368.65	204.07	244.57	866.07	400.71	217.27	579.04	1159.07	521.76	579.04	134.3	0.0	0.17	48.18
STEAP3	104.42	473.41	417.77	336.79	127.0	591.22	231.32	4450.27	5329.3	1304.15	1697.45	3303.0	9876.98	8191.0	2400.97	6164.49	3847.29	4152.18	3349.13	7180.15	6471.02	4095.0	3443.31	3081.75	6037.61	10154.69	3847.29	3168.41	7032.37	7130.55	6840.04	10883.59	3515.68	2835.7	6381.92	5711.87	4769.75	156.59	356.05
SYNE4	6.36	28.86	1.5	5.32	2.16	9.85	12.27	204.07	309.83	7.17	38.4	39.22	518.15	314.17	7.51	228.13	66.65	97.36	64.8	195.72	497.0	24.46	144.01	55.1	59.97	40.64	53.19	214.27	279.14	224.97	120.1	281.09	336.79	186.4	318.57	46.18	0.0	0.4	16.51
TANGO6	150.17	93.35	108.9	183.82	112.77	142.01	135.24	334.46	521.76	138.1	173.85	158.79	503.95	450.94	289.02	301.33	189.02	503.95	314.17	507.46	473.41	187.71	339.14	221.86	194.36	325.29	246.28	182.55	830.75	291.04	356.05	521.76	249.73	314.17	500.46	339.14	0.0	0.24	93.35
TBC1D24	69.03	17.38	71.0	62.56	21.47	72.01	15.91	182.55	156.59	91.41	94.67	63.0	366.09	293.07	97.36	177.53	82.87	141.02	92.05	208.38	189.02	80.57	204.07	143.01	150.17	175.07	82.87	183.82	178.77	226.54	108.9	211.31	162.14	193.01	256.78	158.79	83.45	73.03	54.33
TSPAN33	37.05	108.9	75.64	197.09	52.45	64.8	275.28	974.5	1950.0	412.0	381.68	275.28	1259.69	2004.85	368.65	665.29	665.29	1259.69	1508.65	1685.71	902.89	941.27	759.08	429.54	723.08	866.07	212.78	1119.56	2178.83	476.71	1037.29	2451.44	1407.55	441.64	988.12	435.55	0.0	0.55	318.57
WBP1	866.07	743.43	483.38	529.06	896.64	808.0	733.19	1639.59	2148.82	808.0	836.53	961.07	2400.97	2061.24	896.64	1295.13	825.0	988.12	1417.35	1477.58	2119.22	1127.35	1551.09	1088.92	1183.45	1487.87	748.61	1467.37	2061.24	2163.77	1191.69	2796.65	1745.2	1104.13	1378.57	808.0	0.0	0.42	555.41
XKR8	64.34	77.79	117.6	64.8	107.38	57.49	46.84	202.66	273.37	142.01	169.07	143.01	262.2	299.25	144.01	178.77	96.68	249.73	208.38	253.23	255.0	187.71	242.88	121.79	134.3	237.86	98.04	260.38	353.59	423.61	157.68	403.5	181.28	193.01	273.37	146.03	0.0	0.23	95.34
ZNF444	205.5	239.52	175.07	161.02	132.44	178.77	198.47	1001.93	1015.93	629.35	532.74	543.96	1259.69	981.29	642.59	928.3	591.22	368.65	1331.57	915.51	1208.34	825.0	1037.29	791.35	764.36	1015.93	575.03	842.36	1242.34	1350.18	934.76	1159.07	1199.98	669.92	1127.35	759.08	0.0	0.54	105.89
