	TCGA.GU.A42P.01A.11R.A23W.07	TCGA.E7.A7PW.01A.11R.A352.07	TCGA.CF.A47X.01A.31R.A23W.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.DK.A1A3.01A.11R.A13Y.07	TCGA.GU.A767.01A.11R.A32O.07	TCGA.K4.A3WU.01B.11R.A23N.07	TCGA.FJ.A3ZF.01A.11R.A23N.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.ZF.A9R4.01A.11R.A38B.07	TCGA.GD.A3OP.01A.21R.A220.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.DK.A2I1.01A.11R.A180.07	TCGA.DK.A3IL.01A.11R.A20F.07	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.BH.A0DO.11A.22R.A12D.07	TCGA.BH.A0C3.11A.23R.A12P.07	TCGA.E2.A1LB.11A.22R.A144.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A0E1.11A.13R.A089.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.BH.A0HA.11A.31R.A12P.07
BACH2	1.5	1.73	5.45	5.87	1.01	7.69	1.64	30.56	1.57	4.43	1.3	4.66	1.6	8.25	5.41	69.03	125.24	96.01	116.78	109.66	70.01	100.83	88.26
BBX	269.6	129.69	255.0	96.01	49.91	429.54	68.07	332.14	139.07	152.28	403.5	285.03	125.24	145.02	120.1	1111.82	684.02	633.73	660.68	1111.82	490.14	703.28	796.86
C2CD5	356.05	271.48	256.78	244.57	279.14	285.03	157.68	323.03	547.75	258.57	438.59	447.82	381.68	161.02	189.02	878.17	599.49	791.35	540.19	961.07	406.31	759.08	651.58
CAMSAP2	242.88	232.94	301.33	223.41	120.94	299.25	142.01	190.34	158.79	154.42	314.17	363.56	139.07	180.02	194.36	490.14	366.09	343.89	318.57	629.35	251.48	379.04	409.15
CCNT1	150.17	102.25	90.14	66.18	95.34	66.18	81.14	182.55	183.82	123.5	206.94	137.14	79.45	80.01	100.83	536.45	348.71	343.89	303.44	595.34	251.48	371.22	414.87
CDC27	624.99	244.57	395.18	480.04	234.57	540.19	457.25	674.59	314.17	271.48	346.29	624.99	336.79	412.0	417.77	1015.93	728.11	733.19	607.87	1066.48	567.1	693.58	723.08
CDV3	1159.07	866.07	988.12	718.08	775.05	1781.89	1030.12	1529.73	769.69	1023.0	1639.59	995.0	872.1	1572.76	591.22	3349.13	2119.22	2018.8	1950.0	3060.45	1936.53	2303.12	1896.65
CEP350	376.41	177.53	366.09	88.88	246.28	277.2	226.54	138.1	107.38	267.73	123.5	316.37	120.94	99.43	148.09	638.15	316.37	281.09	301.33	432.53	180.02	358.54	281.09
CHST15	23.76	8.06	9.06	20.86	27.05	423.61	44.89	180.02	18.56	60.82	9.78	64.8	47.17	117.6	24.28	616.37	473.41	460.44	332.14	497.0	267.73	406.31	316.37
CREB1	305.55	212.78	215.77	159.9	173.85	353.59	221.86	264.03	323.03	217.27	206.94	353.59	166.73	170.25	211.31	947.83	599.49	616.37	551.56	1066.48	414.87	665.29	703.28
CRLF3	285.03	123.5	193.01	156.59	94.01	190.34	87.03	234.57	279.14	183.82	211.31	218.79	185.11	157.68	107.38	412.0	273.37	236.21	303.44	381.68	228.13	297.17	289.02
CSNK1G1	91.41	78.34	70.51	75.64	74.58	65.72	99.43	77.79	96.01	58.3	88.26	124.37	59.13	70.51	88.26	339.14	173.85	173.85	156.59	217.27	116.78	189.02	143.01
CTDSPL2	275.28	126.12	187.71	139.07	101.54	159.9	43.94	177.53	170.25	137.14	100.83	218.79	211.31	97.36	171.45	718.08	473.41	426.57	400.71	808.0	363.56	518.15	651.58
CTNNB1	2777.33	1508.65	3235.01	2319.15	1991.0	3614.55	1457.23	3235.01	1963.57	2502.97	5006.93	3540.14	2739.08	2468.49	1417.35	6337.83	9740.98	9740.98	11267.44	12502.12	10084.54	9740.98	12764.83
DYRK3	26.86	27.25	32.82	50.63	11.21	53.95	36.79	60.39	21.94	40.07	63.0	59.55	37.85	53.57	26.1	204.07	246.28	165.57	201.25	341.51	208.38	214.27	186.4
ERCC6	109.66	64.8	77.79	98.73	50.27	89.51	80.01	50.98	69.03	27.84	68.07	81.14	38.12	49.91	41.22	146.03	114.36	125.24	106.63	171.45	82.87	148.09	145.02
ESCO1	249.73	121.79	244.57	111.21	161.02	132.44	136.19	172.65	287.01	164.42	173.85	209.84	157.68	80.01	97.36	334.46	234.57	244.57	251.48	392.44	193.01	334.46	348.71
ETNK1	297.17	144.01	309.83	145.02	211.31	305.55	180.02	271.48	397.93	279.14	309.83	320.8	397.93	137.14	158.79	995.0	525.39	400.71	381.68	854.13	295.11	599.49	466.88
FAM208B	414.87	547.75	423.61	426.57	277.2	540.19	115.16	409.15	400.71	283.05	341.51	327.56	281.09	231.32	346.29	878.17	483.38	432.53	503.95	854.13	336.79	607.87	547.75
FGD6	76.17	19.97	46.5	18.56	47.17	91.41	17.64	68.55	64.8	69.03	38.95	82.29	37.32	22.1	34.02	320.8	118.43	132.44	157.68	136.19	77.25	115.97	120.1
FGFR1OP2	420.68	237.86	373.81	217.27	426.57	387.02	293.07	571.05	547.75	438.59	454.09	414.87	366.09	447.82	314.17	974.5	748.61	693.58	587.13	1233.75	571.05	830.75	764.36
FKBP15	353.59	215.77	291.04	301.33	209.84	406.31	151.22	299.25	293.07	332.14	493.56	381.68	351.14	348.71	366.09	629.35	426.57	473.41	429.54	543.96	389.72	497.0	514.56
FKTN	101.54	60.39	71.5	68.55	20.26	81.71	30.12	103.69	119.26	105.89	147.06	109.66	63.89	51.35	90.14	400.71	178.77	198.47	161.02	291.04	87.65	201.25	197.09
G2E3	167.9	75.11	126.12	86.43	67.12	102.25	43.63	109.66	125.24	80.57	122.64	135.24	90.14	80.01	91.41	373.81	215.77	215.77	202.66	397.93	158.79	264.03	262.2
GNA13	607.87	389.72	567.1	316.37	262.2	414.87	176.29	665.29	423.61	262.2	583.07	624.99	665.29	346.29	314.17	921.88	638.15	511.0	521.76	1001.93	420.68	616.37	575.03
GOLT1B	599.49	264.03	267.73	314.17	346.29	1015.93	348.71	759.08	698.41	486.75	743.43	397.93	400.71	591.22	281.09	981.29	599.49	392.44	432.53	848.22	395.18	503.95	536.45
HIVEP1	358.54	99.43	316.37	97.36	162.14	351.14	101.54	228.13	132.44	189.02	121.79	217.27	136.19	140.04	223.41	358.54	305.55	281.09	348.71	490.14	316.37	348.71	381.68
HMGXB4	389.72	131.51	241.19	193.01	163.28	199.85	128.79	209.84	197.09	173.85	275.28	231.32	171.45	137.14	158.79	511.0	379.04	373.81	303.44	426.57	293.07	444.72	417.77
IPMK	66.18	28.24	102.25	51.71	28.45	224.97	15.34	41.22	18.29	43.63	59.13	50.63	71.5	36.01	22.26	140.04	136.19	76.71	99.43	264.03	87.03	110.43	116.78
IPO7	555.41	363.56	555.41	460.44	511.0	819.3	244.57	595.34	624.99	329.84	603.67	836.53	642.59	406.31	318.57	1259.69	1143.1	1340.84	1529.73	1896.65	1096.5	1313.23	1295.13
KCTD20	417.77	108.14	299.25	258.57	438.59	277.2	214.27	392.44	195.72	249.73	379.04	414.87	182.55	780.44	201.25	813.63	674.59	674.59	629.35	902.89	521.76	647.07	629.35
KDM3A	381.68	620.67	429.54	283.05	507.46	314.17	289.02	473.41	802.41	285.03	457.25	591.22	267.73	356.05	366.09	860.08	830.75	802.41	642.59	1096.5	563.18	878.17	872.1
KDM5A	185.11	123.5	157.68	91.41	180.02	199.85	199.85	283.05	201.25	194.36	334.46	316.37	165.57	151.22	118.43	738.29	403.5	438.59	444.72	612.11	373.81	575.03	559.28
KDSR	563.18	325.29	665.29	211.31	674.59	921.88	341.51	665.29	371.22	429.54	633.73	854.13	395.18	327.56	264.03	1639.59	1467.37	1407.55	1127.35	1467.37	1313.23	1135.2	1340.84
KIAA0922	24.28	67.59	22.59	65.26	14.56	46.18	55.49	186.4	17.38	42.11	35.25	48.52	33.54	47.84	58.3	283.05	297.17	271.48	323.03	363.56	149.12	255.0	258.57
KIAA1715	215.77	125.24	120.1	100.83	187.71	145.02	334.46	119.26	127.0	102.97	191.67	161.02	60.39	115.97	217.27	579.04	356.05	273.37	264.03	460.44	223.41	277.2	327.56
KLHL11	47.84	6.89	29.7	3.72	3.66	27.64	4.62	18.03	6.52	12.27	41.81	37.85	4.78	3.32	9.56	108.9	84.63	72.01	70.51	84.63	27.44	53.19	52.82
KPNA6	497.0	164.42	242.88	234.57	198.47	392.44	206.94	307.69	281.09	438.59	339.14	423.61	466.88	303.44	279.14	518.15	480.04	444.72	429.54	612.11	432.53	536.45	483.38
LRRC58	217.27	181.28	182.55	100.83	98.04	403.5	72.52	217.27	246.28	159.9	305.55	209.84	108.14	165.57	166.73	490.14	400.71	323.03	376.41	591.22	277.2	403.5	412.0
LTN1	327.56	54.72	85.22	76.71	50.63	155.5	18.43	165.57	123.5	103.69	183.82	226.54	112.77	75.11	102.25	417.77	287.01	281.09	267.73	599.49	212.78	376.41	387.02
MAP3K2	130.6	94.67	186.4	133.36	105.15	121.79	53.19	303.44	113.56	107.38	130.6	206.94	94.67	85.22	90.77	518.15	366.09	309.83	249.73	447.82	176.29	295.11	301.33
MAPK1	656.11	191.67	329.84	420.68	460.44	1081.39	291.04	629.35	224.97	371.22	769.69	921.88	403.5	309.83	507.46	1561.89	1467.37	1540.37	1191.69	2032.85	1104.13	1277.29	1397.83
MAPK8	346.29	264.03	490.14	336.79	217.27	318.57	226.54	358.54	299.25	281.09	540.19	332.14	351.14	318.57	246.28	836.53	974.5	1208.34	902.89	1175.27	947.83	1167.14	995.0
MED21	251.48	205.5	332.14	218.79	518.15	336.79	253.23	612.11	441.64	277.2	414.87	563.18	389.72	299.25	363.56	1208.34	733.19	688.78	674.59	1159.07	688.78	665.29	775.05
MEX3C	316.37	206.94	450.94	224.97	244.57	260.38	141.02	271.48	297.17	183.82	368.65	327.56	329.84	178.77	148.09	764.36	780.44	728.11	928.3	1111.82	633.73	802.41	866.07
MGA	139.07	98.04	99.43	102.25	68.07	157.68	55.1	139.07	129.69	112.77	92.05	145.02	100.13	65.72	116.78	265.87	258.57	277.2	281.09	444.72	177.53	339.14	363.56
MIB1	301.33	51.35	229.72	85.22	127.89	155.5	45.53	195.72	271.48	153.34	169.07	256.78	178.77	74.06	88.26	417.77	409.15	366.09	423.61	674.59	277.2	470.14	441.64
MSL2	309.83	279.14	260.38	158.79	144.01	166.73	127.89	283.05	141.02	197.09	323.03	264.03	136.19	182.55	173.85	819.3	514.56	500.46	500.46	813.63	493.56	521.76	599.49
MTPN	708.18	323.03	830.75	441.64	420.68	1059.11	265.87	872.1	466.88	312.0	802.41	1225.22	503.95	579.04	529.06	2018.8	1437.15	1487.87	1721.16	2032.85	1388.16	1498.22	1457.23
MTX3	46.84	9.34	60.82	7.46	5.68	34.51	3.99	36.53	25.35	28.86	39.5	65.72	11.13	8.45	23.42	312.0	183.82	185.11	146.03	295.11	77.79	161.02	189.02
NF1	400.71	173.85	334.46	234.57	246.28	190.34	150.17	281.09	228.13	265.87	289.02	395.18	293.07	212.78	154.42	514.56	551.56	559.28	529.06	769.69	368.65	551.56	583.07
NSD1	249.73	165.57	173.85	70.51	80.01	95.34	150.17	180.02	172.65	217.27	255.0	223.41	120.1	87.65	148.09	819.3	447.82	414.87	514.56	656.11	309.83	483.38	480.04
NUAK1	15.22	14.56	41.81	16.03	26.28	49.91	59.13	141.02	24.99	59.13	31.45	68.07	55.49	44.25	35.0	242.88	154.42	129.69	70.51	167.9	75.64	122.64	79.45
NUP153	647.07	157.68	371.22	171.45	164.42	221.86	123.5	303.44	231.32	204.07	343.89	285.03	205.5	146.03	316.37	571.05	612.11	583.07	583.07	1088.92	629.35	674.59	819.3
NUP160	435.55	244.57	255.0	237.86	194.36	289.02	121.79	366.09	348.71	202.66	316.37	334.46	283.05	134.3	201.25	674.59	547.75	486.75	529.06	830.75	403.5	579.04	665.29
NUP43	297.17	182.55	185.11	264.03	234.57	287.01	171.45	358.54	348.71	303.44	429.54	255.0	366.09	110.43	193.01	497.0	454.09	607.87	490.14	638.15	234.57	540.19	486.75
NUPL1	567.1	145.02	334.46	244.57	212.78	205.5	102.97	323.03	256.78	226.54	253.23	426.57	197.09	139.07	246.28	551.56	470.14	429.54	460.44	693.58	353.59	536.45	521.76
PDE4B	19.39	15.0	12.27	42.41	15.11	127.89	34.26	251.48	6.84	34.26	23.25	77.25	41.52	48.52	28.45	287.01	967.76	703.28	713.11	1832.01	723.08	1143.1	915.51
PHC3	253.23	112.77	148.09	69.52	50.98	299.25	50.27	173.85	124.37	234.57	162.14	258.57	127.0	107.38	119.26	769.69	447.82	429.54	303.44	1015.93	193.01	409.15	551.56
PLXDC2	14.67	38.12	29.91	65.72	32.59	264.03	97.36	260.38	16.88	131.51	25.54	309.83	48.52	400.71	82.87	1037.29	796.86	785.88	759.08	1313.23	656.11	860.08	1143.1
POGLUT1	212.78	195.72	409.15	277.2	124.37	301.33	236.21	291.04	226.54	265.87	249.73	241.19	117.6	353.59	185.11	293.07	241.19	255.0	339.14	400.71	231.32	371.22	314.17
POLA1	161.02	130.6	75.11	46.18	120.1	96.01	94.01	94.67	108.9	92.7	157.68	145.02	84.04	92.7	149.12	299.25	185.11	173.85	190.34	262.2	180.02	228.13	226.54
PTPN11	454.09	211.31	368.65	221.86	318.57	785.88	264.03	624.99	432.53	303.44	450.94	612.11	368.65	323.03	325.29	1151.06	1059.11	928.3	1059.11	1268.46	785.88	1030.12	981.29
PUS7L	38.95	29.06	36.79	22.1	25.72	78.89	14.03	59.13	48.18	42.71	92.05	66.65	26.47	29.27	35.76	226.54	102.25	102.97	97.36	212.78	63.0	117.6	127.89
PYROXD1	248.0	155.5	135.24	126.12	221.86	251.48	205.5	283.05	363.56	211.31	239.52	236.21	241.19	255.0	86.43	514.56	409.15	325.29	327.56	748.61	384.34	454.09	536.45
QSER1	157.68	128.79	141.02	74.58	69.03	96.68	43.02	108.14	141.02	84.04	134.3	141.02	73.54	51.71	82.87	371.22	307.69	305.55	387.02	486.75	181.28	371.22	346.29
QTRTD1	289.02	187.71	325.29	180.02	102.25	237.86	127.0	223.41	327.56	265.87	389.72	246.28	170.25	277.2	172.65	438.59	358.54	305.55	376.41	698.41	392.44	450.94	500.46
RAP2A	212.78	136.19	218.79	148.09	105.15	169.07	139.07	124.37	164.42	101.54	176.29	187.71	118.43	111.99	131.51	343.89	293.07	305.55	493.56	587.13	248.0	334.46	392.44
RAPH1	106.63	171.45	221.86	108.14	171.45	154.42	60.82	68.55	83.45	91.41	246.28	224.97	124.37	55.1	58.71	693.58	466.88	376.41	293.07	507.46	287.01	447.82	332.14
RBM12	791.35	343.89	656.11	356.05	260.38	665.29	406.31	503.95	387.02	334.46	890.44	733.19	368.65	381.68	490.14	1037.29	921.88	896.64	813.63	1662.49	1008.9	928.3	1037.29
RECQL	186.4	157.68	149.12	155.5	177.53	438.59	162.14	379.04	264.03	163.28	176.29	358.54	171.45	251.48	156.59	941.27	450.94	460.44	397.93	595.34	348.71	507.46	466.88
REL	50.98	79.45	392.44	68.55	52.45	67.59	39.22	120.1	104.42	182.55	71.0	217.27	32.82	57.89	56.68	387.02	143.01	114.36	121.79	295.11	55.49	134.3	145.02
REST	226.54	127.89	176.29	72.01	147.06	289.02	104.42	173.85	185.11	164.42	228.13	214.27	159.9	96.01	112.77	480.04	332.14	301.33	343.89	435.55	170.25	366.09	273.37
RFX7	85.82	96.01	146.03	85.22	46.84	127.89	49.56	111.99	63.45	72.52	85.22	148.09	81.71	50.27	67.59	371.22	249.73	239.52	265.87	400.71	132.44	258.57	285.03
RIF1	186.4	98.04	116.78	81.14	76.17	104.42	53.57	134.3	159.9	84.63	144.01	135.24	84.63	59.55	135.24	473.41	400.71	358.54	305.55	684.02	214.27	409.15	493.56
RLF	204.07	117.6	106.63	100.83	108.9	480.04	84.04	152.28	155.5	101.54	231.32	165.57	130.6	84.04	111.21	246.28	273.37	237.86	234.57	483.38	221.86	297.17	373.81
RLIM	197.09	171.45	157.68	67.12	92.7	281.09	66.18	186.4	169.07	150.17	246.28	175.07	142.01	136.19	177.53	629.35	397.93	318.57	361.04	591.22	323.03	403.5	376.41
RNF138	197.09	195.72	253.23	113.56	153.34	127.0	117.6	236.21	155.5	113.56	244.57	236.21	121.79	121.79	112.77	521.76	466.88	426.57	718.08	974.5	476.71	624.99	620.67
RNF6	334.46	215.77	629.35	281.09	249.73	339.14	133.36	463.65	346.29	769.69	466.88	563.18	283.05	379.04	293.07	669.92	629.35	543.96	607.87	620.67	473.41	571.05	525.39
SBNO1	199.85	162.14	167.9	53.95	90.14	209.84	85.82	161.02	165.57	158.79	267.73	198.47	100.13	96.01	94.67	529.06	301.33	299.25	307.69	473.41	215.77	343.89	295.11
SCAF11	934.76	476.71	860.08	327.56	708.18	1073.91	466.88	759.08	813.63	1250.98	1397.83	819.3	432.53	813.63	551.56	1832.01	1268.46	1183.45	1175.27	1674.06	1119.56	1191.69	1457.23
SENP1	206.94	100.83	130.6	53.19	129.69	133.36	72.01	156.59	122.64	115.16	137.14	177.53	86.43	85.22	108.9	414.87	241.19	229.72	197.09	397.93	212.78	277.2	291.04
SHOX2	0.91	6.46	2.07	1.5	1.35	20.26	2.63	2.07	1.27	5.92	0.66	4.31	0.0	8.32	3.06	84.63	45.21	53.95	17.51	40.64	23.08	23.25	12.74
SHPRH	47.5	12.74	57.89	31.22	28.24	51.35	8.58	59.55	45.21	29.27	97.36	72.52	24.11	14.56	23.42	163.28	209.84	204.07	190.34	429.54	145.02	301.33	348.71
SLC30A6	217.27	126.12	228.13	148.09	166.73	392.44	159.9	190.34	239.52	229.72	271.48	291.04	145.02	175.07	117.6	412.0	309.83	253.23	271.48	493.56	253.23	318.57	307.69
SMAD1	275.28	83.45	251.48	85.82	56.68	312.0	78.89	209.84	71.0	94.01	147.06	316.37	177.53	91.41	138.1	559.28	633.73	748.61	525.39	796.86	403.5	587.13	547.75
SMAD2	1143.1	450.94	1104.13	656.11	633.73	1277.29	575.03	934.76	718.08	438.59	941.27	1427.22	728.11	540.19	435.55	1437.15	1508.65	1540.37	1651.0	1896.65	1369.04	1561.89	1519.15
SMARCAD1	301.33	185.11	339.14	102.25	81.71	165.57	128.79	195.72	256.78	157.68	237.86	271.48	264.03	105.89	156.59	426.57	473.41	389.72	447.82	785.88	346.29	551.56	595.34
SMC1A	651.58	209.84	217.27	104.42	279.14	518.15	170.25	417.77	281.09	226.54	483.38	785.88	125.24	316.37	543.96	961.07	688.78	743.43	854.13	476.71	723.08	902.89	860.08
SMEK2	587.13	376.41	748.61	656.11	368.65	796.86	412.0	1447.15	1119.56	603.67	693.58	808.0	466.88	603.67	363.56	1233.75	1001.93	954.43	1111.82	1447.15	884.29	1096.5	1081.39
SMURF2	295.11	229.72	204.07	130.6	152.28	186.4	166.73	353.59	327.56	136.19	256.78	361.04	177.53	217.27	157.68	406.31	432.53	457.25	435.55	629.35	299.25	507.46	547.75
SP1	624.99	575.03	583.07	226.54	447.82	688.78	329.84	540.19	441.64	438.59	791.35	836.53	620.67	363.56	563.18	1794.29	1175.27	1167.14	995.0	1529.73	909.17	1268.46	1233.75
SP3	595.34	403.5	503.95	346.29	368.65	473.41	164.42	563.18	679.29	273.37	476.71	607.87	521.76	249.73	414.87	1909.85	1378.57	1268.46	1066.48	2047.0	941.27	1540.37	1397.83
SPRED2	363.56	521.76	1175.27	470.14	264.03	444.72	312.0	429.54	514.56	543.96	389.72	571.05	387.02	323.03	158.79	595.34	698.41	638.15	713.11	769.69	591.22	743.43	693.58
SS18	764.36	307.69	947.83	426.57	591.22	934.76	363.56	1008.9	1508.65	1159.07	753.83	974.5	624.99	339.14	323.03	1540.37	1331.57	1397.83	1277.29	1662.49	1088.92	1457.23	1397.83
STAG1	406.31	101.54	176.29	113.56	136.19	248.0	88.26	262.2	148.09	134.3	244.57	229.72	132.44	173.85	163.28	457.25	511.0	470.14	381.68	693.58	403.5	540.19	543.96
STAG2	483.38	612.11	579.04	279.14	470.14	525.39	229.72	607.87	679.29	521.76	587.13	733.19	607.87	759.08	483.38	1757.34	1407.55	1304.15	1331.57	1883.54	1073.91	1477.58	1447.15
TAF4B	20.86	14.67	31.67	16.63	6.31	44.25	14.35	37.32	81.71	41.52	31.45	27.05	25.17	11.64	16.63	91.41	150.17	144.01	175.07	262.2	169.07	190.34	242.88
TBC1D5	389.72	117.6	218.79	71.0	157.68	115.16	102.25	285.03	206.94	228.13	406.31	457.25	202.66	127.0	167.9	848.22	759.08	651.58	669.92	860.08	466.88	723.08	656.11
TEX28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMEM39A	480.04	223.41	258.57	234.57	187.71	836.53	212.78	444.72	246.28	297.17	642.59	351.14	229.72	392.44	186.4	802.41	486.75	624.99	540.19	738.29	450.94	490.14	679.29
TMF1	303.44	175.07	291.04	146.03	96.01	651.58	55.1	309.83	244.57	187.71	358.54	397.93	198.47	195.72	126.12	819.3	532.74	463.65	447.82	915.51	371.22	624.99	656.11
TNPO1	476.71	135.24	297.17	255.0	258.57	974.5	256.78	366.09	309.83	157.68	432.53	723.08	339.14	204.07	267.73	1745.2	825.0	808.0	718.08	1322.37	470.14	884.29	830.75
TP53BP2	414.87	246.28	406.31	212.78	182.55	438.59	204.07	244.57	312.0	165.57	329.84	420.68	161.02	285.03	249.73	532.74	400.71	450.94	397.93	473.41	387.02	503.95	400.71
TRAM2	133.36	37.85	66.65	57.89	53.95	135.24	71.0	120.94	64.8	112.77	94.01	113.56	100.83	82.87	63.0	483.38	262.2	329.84	218.79	351.14	130.6	307.69	193.01
TROVE2	220.32	102.97	150.17	99.43	45.53	217.27	63.89	169.07	260.38	563.18	293.07	194.36	61.25	63.0	89.51	638.15	403.5	329.84	348.71	607.87	256.78	412.0	323.03
TULP4	70.51	68.07	108.9	77.25	67.59	64.8	39.79	95.34	117.6	86.43	112.77	91.41	67.59	40.36	65.72	123.5	138.1	125.24	128.79	122.64	83.45	125.24	96.01
UBE4A	297.17	128.79	251.48	177.53	178.77	301.33	115.97	275.28	273.37	255.0	273.37	318.57	236.21	176.29	231.32	551.56	507.46	507.46	432.53	830.75	332.14	543.96	497.0
UPK2	40062.48	50709.61	93974.69	124863.17	66449.85	61999.83	36610.26	110983.6	69271.73	85283.74	54349.29	64186.29	195931.88	149521.18	68318.04	3.5	13.72	21.63	18.7	13.62	12.36	7.69	21.47
USP37	65.26	40.93	24.11	15.11	25.91	47.84	7.57	30.34	12.74	15.91	41.81	76.17	16.15	16.27	21.01	258.57	142.01	127.89	131.51	289.02	103.69	181.28	186.4
VEZT	607.87	194.36	450.94	368.65	511.0	825.0	309.83	674.59	532.74	486.75	583.07	915.51	518.15	521.76	366.09	1467.37	981.29	974.5	1015.93	1529.73	785.88	1030.12	1216.75
XPO4	136.19	39.22	105.15	82.87	54.33	86.43	38.4	95.34	88.26	82.87	105.15	122.64	70.51	51.35	85.22	244.57	190.34	190.34	161.02	334.46	134.3	229.72	224.97
XRN1	150.17	87.03	194.36	132.44	76.17	143.01	49.21	199.85	154.42	94.67	176.29	154.42	81.71	109.66	90.77	441.64	343.89	320.8	217.27	486.75	140.04	327.56	325.29
Z98049.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.41	0.0	0.4	0.41	0.0	0.0	0.4
ZBED6	86.43	6.89	51.35	8.92	1.71	76.71	1.69	17.51	21.63	28.86	37.85	133.36	11.13	5.15	20.71	325.29	232.94	283.05	173.85	323.03	63.0	208.38	152.28
ZBTB11	170.25	139.07	175.07	127.0	90.14	191.67	47.84	181.28	133.36	120.1	199.85	156.59	93.35	111.21	90.14	373.81	258.57	224.97	265.87	463.65	212.78	301.33	351.14
ZDHHC20	470.14	76.17	813.63	234.57	161.02	305.55	80.01	403.5	281.09	329.84	1015.93	1529.73	371.22	163.28	155.5	708.18	486.75	571.05	629.35	802.41	318.57	612.11	500.46
ZMYM1	181.28	119.26	53.19	68.55	26.86	67.12	30.78	77.79	159.9	72.52	123.5	105.15	74.06	53.57	73.03	221.86	185.11	214.27	197.09	361.04	92.05	197.09	279.14
ZNF148	190.34	90.14	171.45	90.77	72.52	318.57	61.68	176.29	131.51	146.03	190.34	217.27	119.26	124.37	117.6	780.44	483.38	441.64	412.0	612.11	303.44	480.04	497.0
