	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.U3ZH.1326.SM.4DXSF	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.131XE.1226.SM.5EGKF	GTEX.WYVS.0826.SM.4RTXB	GTEX.13G51.1026.SM.5K7YQ	GTEX.U3ZH.1126.SM.4DXUG	GTEX.RNOR.1326.SM.48FDE	GTEX.146FQ.1126.SM.5NQBM	GTEX.P78B.1126.SM.3P615	GTEX.ZAB5.1026.SM.5HL91	GTEX.U3ZN.1826.SM.4DXUY	GTEX.UPK5.1326.SM.4IHLE	GTEX.WZTO.1526.SM.4PQYQ	GTEX.T2IS.0926.SM.4DM5B	GTEX.144GM.1326.SM.5LU5E	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3732.11A.01R.1660.07	TCGA.BR.A453.01A.11R.A24K.31	GTEX.T5JC.1926.SM.4DM6Q	GTEX.P4PQ.1526.SM.3NMCK	GTEX.13X6H.1626.SM.5Q5CT	GTEX.U8T8.1226.SM.4E3IH	GTEX.Y114.1226.SM.4TT88	GTEX.1211K.1426.SM.5FQTF	GTEX.R55G.1126.SM.48FDG	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.12C56.0526.SM.5FQST	GTEX.S4P3.0726.SM.4AD57	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UPIC.1826.SM.4IHKC	GTEX.12WSJ.0926.SM.5P9JD	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG	GTEX.WFJO.1126.SM.4LVLZ	GTEX.XPVG.1526.SM.4B66C
AP4B1	346.29	363.56	260.38	281.09	616.37	231.32	361.04	563.18	409.15	836.53	551.56	909.17	256.78	435.55	277.2	353.59	486.75	738.29	603.67	118.43	0.0	0.48	154.42	323.03	239.52	432.53	212.78	131.51	142.01	135.24	178.77	167.9	173.85	182.55	167.9	170.25	90.77	73.54	138.1	285.03	144.01	221.86	129.69	100.83	177.53
ARHGAP44	35.25	212.78	223.41	75.11	262.2	90.77	112.77	264.03	143.01	234.57	152.28	281.09	118.43	156.59	145.02	121.79	244.57	211.31	265.87	4.58	0.0	0.32	41.52	281.09	95.34	146.03	48.18	27.44	17.38	62.12	53.19	44.57	59.55	41.22	74.06	53.95	24.63	49.56	23.42	162.14	32.13	71.5	73.03	73.03	36.79
BCS1L	738.29	848.22	902.89	819.3	954.43	872.1	1008.9	1359.57	902.89	1806.78	1447.15	1781.89	854.13	1044.52	890.44	896.64	1225.22	1397.83	1487.87	283.05	0.0	0.0	480.04	872.1	723.08	753.83	423.61	521.76	353.59	373.81	616.37	514.56	587.13	551.56	426.57	532.74	371.22	351.14	417.77	612.11	647.07	674.59	409.15	320.8	540.19
BIVM	201.25	232.94	232.94	256.78	373.81	212.78	327.56	361.04	395.18	435.55	395.18	450.94	183.82	339.14	236.21	334.46	361.04	403.5	409.15	129.69	0.0	0.59	187.71	303.44	287.01	397.93	193.01	127.0	166.73	100.13	157.68	234.57	191.67	169.07	120.1	152.28	81.14	85.82	137.14	258.57	158.79	217.27	167.9	161.02	178.77
C1orf63	791.35	1216.75	1051.79	753.83	2047.0	830.75	2032.85	2485.67	2720.15	3146.52	3060.45	3103.19	1023.0	2609.3	1709.26	1617.0	3820.7	2976.74	3874.05	217.27	0.0	1.66	346.29	1111.82	775.05	1378.57	575.03	389.72	476.71	277.2	518.15	420.68	703.28	819.3	620.67	599.49	206.94	287.01	450.94	934.76	387.02	1037.29	329.84	599.49	723.08
C2CD5	343.89	466.88	651.58	511.0	1104.13	389.72	693.58	728.11	928.3	1015.93	1127.35	928.3	368.65	638.15	563.18	497.0	974.5	909.17	791.35	70.01	0.0	0.26	363.56	660.68	348.71	902.89	444.72	307.69	285.03	406.31	361.04	507.46	497.0	559.28	400.71	563.18	180.02	277.2	260.38	728.11	234.57	444.72	490.14	616.37	429.54
C7orf13	41.22	73.54	52.82	58.71	102.25	26.1	48.18	73.54	45.85	63.89	97.36	74.06	57.89	45.85	45.85	66.65	39.79	59.97	69.03	8.32	0.0	0.25	47.84	30.12	42.11	48.87	13.52	20.11	5.59	5.23	11.64	13.72	20.41	21.78	22.26	25.35	11.13	10.0	39.5	40.07	15.56	27.25	5.54	17.38	13.32
CCDC14	356.05	497.0	435.55	447.82	607.87	400.71	669.92	1037.29	764.36	1250.98	769.69	1331.57	303.44	708.18	656.11	532.74	842.36	1216.75	947.83	34.51	0.0	1.07	127.89	529.06	392.44	507.46	287.01	90.77	228.13	214.27	120.94	363.56	291.04	438.59	226.54	208.38	104.42	78.89	162.14	441.64	214.27	420.68	206.94	201.25	316.37
CDAN1	143.01	218.79	183.82	201.25	279.14	161.02	260.38	341.51	241.19	334.46	323.03	348.71	152.28	232.94	154.42	171.45	361.04	343.89	457.25	73.03	0.0	0.59	187.71	186.4	156.59	220.32	109.66	133.36	205.5	71.0	117.6	102.25	134.3	133.36	66.18	90.14	71.5	65.26	102.25	232.94	82.29	138.1	120.1	68.55	120.94
CNOT3	775.05	759.08	665.29	785.88	1151.06	642.59	775.05	1073.91	633.73	1127.35	947.83	1088.92	698.41	808.0	748.61	563.18	1104.13	1127.35	988.12	283.05	389.72	454.09	599.49	633.73	759.08	1081.39	579.04	493.56	819.3	414.87	753.83	483.38	785.88	785.88	567.1	500.46	387.02	511.0	441.64	791.35	684.02	543.96	567.1	595.34	543.96
COPS7B	860.08	748.61	698.41	813.63	1037.29	848.22	928.3	1225.22	921.88	1551.09	1199.98	1378.57	884.29	967.76	909.17	915.51	1286.18	1540.37	1183.45	167.9	0.0	0.57	567.1	802.41	915.51	1059.11	460.44	429.54	483.38	395.18	529.06	341.51	563.18	629.35	379.04	490.14	336.79	366.09	490.14	638.15	466.88	624.99	473.41	376.41	563.18
CYB561D1	107.38	215.77	138.1	132.44	260.38	117.6	150.17	273.37	154.42	178.77	242.88	176.29	209.84	157.68	260.38	212.78	215.77	159.9	191.67	15.11	0.0	0.01	72.52	158.79	107.38	100.83	109.66	115.97	24.11	41.81	137.14	107.38	102.97	90.14	69.03	85.22	86.43	77.79	146.03	109.66	120.1	108.14	70.01	83.45	96.01
DPH7	559.28	559.28	470.14	532.74	718.08	397.93	669.92	1051.79	819.3	1519.15	1104.13	1697.45	432.53	830.75	571.05	638.15	988.12	1369.04	1313.23	162.14	0.0	0.93	267.73	529.06	373.81	674.59	246.28	191.67	518.15	241.19	312.0	183.82	327.56	353.59	253.23	177.53	206.94	152.28	224.97	555.41	251.48	351.14	281.09	166.73	403.5
EIF2D	764.36	764.36	947.83	1008.9	1175.27	802.41	974.5	1322.37	974.5	961.07	974.5	1037.29	941.27	974.5	842.36	1001.93	1250.98	1023.0	1208.34	262.2	0.0	0.55	890.44	1066.48	775.05	1051.79	884.29	813.63	301.33	599.49	660.68	620.67	607.87	708.18	688.78	684.02	567.1	679.29	723.08	743.43	738.29	713.11	669.92	1001.93	802.41
ELMOD3	241.19	358.54	323.03	339.14	532.74	332.14	432.53	796.86	536.45	775.05	616.37	785.88	373.81	540.19	493.56	417.77	713.11	785.88	688.78	108.9	0.0	0.65	277.2	376.41	318.57	511.0	299.25	217.27	251.48	170.25	271.48	318.57	409.15	368.65	255.0	262.2	224.97	206.94	256.78	389.72	320.8	339.14	301.33	271.48	358.54
ENGASE	432.53	571.05	432.53	423.61	612.11	420.68	603.67	1378.57	591.22	1369.04	1096.5	1628.26	309.83	1023.0	656.11	551.56	1508.65	1733.13	1159.07	80.57	0.0	1.27	127.89	476.71	417.77	514.56	208.38	96.01	175.07	172.65	180.02	152.28	256.78	361.04	163.28	166.73	120.1	77.79	94.01	260.38	226.54	260.38	262.2	135.24	285.03
FAM156A	283.05	301.33	185.11	316.37	444.72	332.14	454.09	679.29	363.56	961.07	624.99	693.58	162.14	426.57	395.18	403.5	813.63	921.88	764.36	55.1	0.0	1.07	171.45	314.17	273.37	332.14	117.6	79.45	129.69	69.52	164.42	150.17	172.65	172.65	147.06	75.11	23.25	66.65	78.34	187.71	166.73	186.4	158.79	108.9	224.97
FUK	228.13	320.8	255.0	171.45	432.53	190.34	242.88	483.38	279.14	603.67	521.76	684.02	195.72	295.11	295.11	279.14	529.06	583.07	476.71	113.56	0.0	0.64	125.24	253.23	191.67	358.54	170.25	104.42	159.9	108.14	146.03	119.26	198.47	164.42	108.14	169.07	89.51	94.67	93.35	346.29	136.19	208.38	202.66	107.38	166.73
GGA1	954.43	1096.5	934.76	988.12	1104.13	928.3	1030.12	1191.69	928.3	1268.46	1088.92	1417.35	928.3	1051.79	967.76	921.88	1242.34	1437.15	1277.29	400.71	0.0	0.92	551.56	974.5	884.29	733.19	665.29	518.15	674.59	486.75	703.28	728.11	764.36	785.88	543.96	753.83	493.56	571.05	507.46	941.27	583.07	791.35	825.0	575.03	842.36
ING4	890.44	866.07	1331.57	1295.13	1628.26	974.5	1378.57	1733.13	1081.39	1259.69	1242.34	1331.57	954.43	1151.06	1051.79	909.17	1437.15	1286.18	1551.09	299.25	0.0	0.33	1044.52	1447.15	1044.52	1477.58	808.0	836.53	486.75	457.25	748.61	348.71	718.08	728.11	525.39	693.58	332.14	743.43	642.59	1369.04	503.95	723.08	532.74	698.41	607.87
KIAA0907	463.65	514.56	500.46	583.07	607.87	532.74	878.17	842.36	1066.48	1508.65	1233.75	1350.18	450.94	954.43	612.11	764.36	1151.06	947.83	995.0	96.68	0.0	1.35	339.14	591.22	432.53	543.96	226.54	186.4	423.61	190.34	316.37	186.4	397.93	457.25	190.34	258.57	163.28	131.51	212.78	575.03	256.78	514.56	198.47	149.12	490.14
LIG4	105.89	144.01	148.09	142.01	265.87	148.09	182.55	220.32	316.37	197.09	214.27	220.32	140.04	214.27	260.38	251.48	197.09	273.37	157.68	66.65	0.0	0.39	74.58	176.29	156.59	134.3	147.06	102.97	27.44	120.1	80.57	115.97	157.68	114.36	82.87	87.03	74.06	108.9	146.03	55.89	92.05	135.24	86.43	92.05	81.14
LRRC14	571.05	480.04	361.04	500.46	507.46	567.1	612.11	909.17	669.92	947.83	915.51	1159.07	450.94	642.59	591.22	638.15	1111.82	836.53	1066.48	124.37	0.0	0.72	332.14	384.34	486.75	599.49	327.56	197.09	244.57	303.44	265.87	229.72	511.0	429.54	237.86	264.03	275.28	209.84	226.54	559.28	287.01	409.15	361.04	264.03	373.81
MED12	423.61	536.45	389.72	551.56	819.3	470.14	642.59	708.18	665.29	514.56	775.05	878.17	389.72	651.58	571.05	497.0	866.07	1111.82	599.49	153.34	189.02	193.01	271.48	511.0	511.0	599.49	299.25	454.09	723.08	264.03	454.09	277.2	540.19	583.07	289.02	454.09	242.88	242.88	329.84	607.87	457.25	409.15	373.81	536.45	351.14
METTL17	1037.29	1088.92	1225.22	1023.0	1340.84	785.88	1199.98	1909.85	1331.57	2720.15	2018.8	2434.5	728.11	1662.49	1191.69	1313.23	2104.58	2193.99	2485.67	426.57	0.0	1.16	591.22	1135.2	595.34	1487.87	447.82	441.64	974.5	497.0	486.75	473.41	764.36	796.86	435.55	713.11	429.54	395.18	503.95	836.53	555.41	848.22	395.18	392.44	748.61
METTL3	540.19	723.08	607.87	713.11	728.11	825.0	866.07	1001.93	1175.27	1477.58	1088.92	1467.37	642.59	1023.0	743.43	896.64	995.0	1369.04	1407.55	165.57	0.0	1.16	603.67	624.99	629.35	848.22	329.84	303.44	503.95	339.14	466.88	387.02	555.41	559.28	353.59	429.54	262.2	249.73	336.79	896.64	363.56	575.03	325.29	223.41	563.18
MKS1	258.57	258.57	314.17	366.09	406.31	234.57	397.93	325.29	339.14	612.11	466.88	633.73	265.87	303.44	271.48	269.6	457.25	583.07	500.46	40.64	0.0	0.0	234.57	341.51	265.87	277.2	195.72	191.67	131.51	144.01	182.55	161.02	131.51	202.66	173.85	199.85	92.7	161.02	132.44	253.23	194.36	173.85	197.09	177.53	183.82
MSANTD2	154.42	108.9	142.01	150.17	187.71	105.89	209.84	329.84	297.17	395.18	301.33	351.14	135.24	228.13	186.4	173.85	318.57	353.59	341.51	28.45	0.0	0.61	54.72	176.29	164.42	186.4	70.01	63.89	114.36	65.72	84.04	92.05	100.13	92.05	82.29	84.63	68.07	53.19	74.58	119.26	72.01	154.42	65.72	58.71	100.83
MSS51	20.11	19.25	24.11	38.12	46.84	25.91	58.3	80.01	74.06	161.02	105.89	107.38	21.32	72.01	43.02	39.5	94.67	130.6	80.01	3.0	0.0	0.66	10.24	31.45	19.82	40.64	8.32	4.98	23.93	14.24	8.25	11.38	25.72	12.27	5.59	10.63	3.2	2.73	7.82	26.28	6.73	26.1	9.27	7.22	20.41
NEIL1	221.86	400.71	361.04	363.56	490.14	346.29	444.72	981.29	684.02	1950.0	1001.93	1844.76	279.14	909.17	503.95	579.04	1378.57	1685.71	1540.37	102.25	0.0	1.1	74.58	358.54	426.57	463.65	142.01	52.45	111.21	177.53	241.19	149.12	258.57	329.84	173.85	100.13	86.43	70.51	100.13	325.29	74.06	232.94	183.82	185.11	208.38
NPRL2	441.64	403.5	543.96	420.68	638.15	368.65	642.59	872.1	463.65	928.3	825.0	921.88	423.61	587.13	497.0	521.76	764.36	872.1	836.53	713.11	0.0	0.62	441.64	473.41	438.59	703.28	379.04	320.8	289.02	277.2	426.57	334.46	406.31	483.38	239.52	341.51	260.38	307.69	269.6	1059.11	305.55	429.54	336.79	256.78	429.54
PAN2	665.29	629.35	518.15	587.13	854.13	470.14	1216.75	2645.74	1477.58	3124.78	2287.2	3103.19	642.59	1883.54	1605.83	1208.34	2609.3	2451.44	2119.22	244.57	0.0	1.06	353.59	688.78	511.0	915.51	224.97	212.78	251.48	212.78	316.37	392.44	536.45	587.13	318.57	429.54	236.21	143.01	236.21	813.63	299.25	708.18	327.56	244.57	514.56
PEX6	301.33	332.14	429.54	237.86	540.19	285.03	447.82	1286.18	384.34	514.56	514.56	684.02	241.19	500.46	336.79	232.94	529.06	543.96	620.67	127.0	0.0	0.41	277.2	256.78	182.55	314.17	277.2	146.03	44.89	72.01	190.34	224.97	348.71	351.14	127.0	87.65	154.42	269.6	191.67	366.09	209.84	371.22	124.37	129.69	226.54
POLG2	175.07	158.79	153.34	182.55	281.09	118.43	312.0	316.37	232.94	293.07	353.59	336.79	144.01	237.86	215.77	169.07	371.22	327.56	307.69	46.18	0.0	0.85	112.77	223.41	144.01	148.09	114.36	100.13	157.68	59.13	141.02	100.83	114.36	141.02	84.63	96.01	65.72	62.12	71.0	221.86	83.45	198.47	98.73	74.06	105.89
PPOX	438.59	441.64	318.57	587.13	603.67	397.93	651.58	633.73	656.11	1359.57	1066.48	1295.13	525.39	698.41	473.41	567.1	842.36	1096.5	1388.16	89.51	0.0	0.39	277.2	511.0	547.75	688.78	232.94	209.84	194.36	177.53	361.04	162.14	318.57	348.71	215.77	293.07	159.9	172.65	197.09	583.07	223.41	341.51	253.23	209.84	312.0
PPP1R3E	193.01	186.4	253.23	246.28	371.22	262.2	305.55	384.34	356.05	728.11	587.13	656.11	206.94	373.81	248.0	329.84	591.22	559.28	775.05	45.85	0.0	0.58	186.4	299.25	248.0	220.32	132.44	79.45	79.45	88.26	147.06	68.55	126.12	171.45	85.22	76.17	54.72	73.54	72.52	189.02	60.39	150.17	106.63	99.43	177.53
PRIMPOL	271.48	323.03	426.57	363.56	559.28	279.14	363.56	438.59	376.41	780.44	473.41	759.08	279.14	400.71	348.71	295.11	583.07	813.63	764.36	47.17	0.0	0.0	217.27	480.04	253.23	309.83	217.27	163.28	140.04	80.57	158.79	134.3	221.86	204.07	165.57	158.79	93.35	155.5	162.14	258.57	108.9	211.31	173.85	191.67	172.65
PROX2	4.31	3.79	4.78	5.11	12.83	3.66	11.91	19.25	8.25	19.53	13.42	20.11	3.53	10.79	5.32	4.74	15.0	18.29	15.91	0.54	0.0	0.19	1.58	6.73	2.71	6.31	2.71	2.27	7.28	0.0	2.86	2.36	8.0	3.76	0.97	2.1	1.1	1.36	0.39	4.98	1.13	4.21	2.51	0.95	3.63
PRPSAP1	785.88	890.44	1066.48	961.07	1369.04	836.53	854.13	860.08	1268.46	1286.18	1175.27	1268.46	854.13	1242.34	1313.23	967.76	1709.26	1781.89	1487.87	525.39	0.0	0.1	723.08	1088.92	723.08	830.75	525.39	693.58	587.13	426.57	679.29	473.41	540.19	713.11	607.87	698.41	483.38	583.07	595.34	769.69	563.18	764.36	647.07	633.73	607.87
RBM4B	435.55	432.53	480.04	802.41	620.67	358.54	616.37	583.07	447.82	587.13	660.68	583.07	395.18	511.0	470.14	376.41	551.56	764.36	693.58	131.51	0.0	0.2	301.33	647.07	339.14	426.57	244.57	239.52	133.36	157.68	260.38	256.78	325.29	289.02	215.77	291.04	145.02	199.85	187.71	450.94	265.87	332.14	206.94	246.28	279.14
RHBDL1	28.86	42.11	52.45	34.26	96.68	19.82	88.26	267.73	58.3	457.25	121.79	103.69	40.36	83.45	51.71	34.26	90.77	206.94	232.94	6.21	0.0	0.78	16.63	36.01	52.45	423.61	14.03	5.02	36.53	23.42	26.1	24.46	39.22	38.12	19.53	21.32	17.51	23.25	10.24	70.01	9.56	19.39	19.82	12.55	29.27
SH2B1	813.63	1073.91	928.3	988.12	1388.16	1096.5	1259.69	1781.89	1286.18	1950.0	1936.53	1896.65	1159.07	1508.65	1225.22	1135.2	1844.76	1950.0	2104.58	178.77	0.0	0.84	638.15	954.43	1001.93	1208.34	563.18	371.22	493.56	314.17	669.92	432.53	785.88	791.35	373.81	444.72	376.41	400.71	460.44	1225.22	540.19	753.83	583.07	447.82	764.36
SLC35E2B	575.03	743.43	497.0	825.0	1159.07	563.18	848.22	1561.89	825.0	896.64	1216.75	1388.16	587.13	928.3	587.13	802.41	1487.87	1628.26	1066.48	186.4	0.0	0.68	336.79	642.59	551.56	684.02	633.73	368.65	379.04	384.34	460.44	346.29	624.99	480.04	312.0	406.31	221.86	438.59	441.64	825.0	279.14	540.19	1001.93	480.04	441.64
SLC7A6OS	212.78	251.48	267.73	309.83	316.37	301.33	303.44	389.72	339.14	289.02	332.14	327.56	291.04	293.07	373.81	295.11	309.83	264.03	318.57	71.5	0.0	0.36	171.45	291.04	183.82	269.6	246.28	178.77	195.72	122.64	256.78	171.45	218.79	197.09	162.14	140.04	139.07	113.56	197.09	241.19	161.02	226.54	155.5	151.22	228.13
TAS2R5	12.55	16.03	13.22	15.22	23.59	11.21	48.52	18.03	20.56	96.01	43.94	60.39	18.43	29.48	17.38	12.83	48.18	53.19	49.91	2.94	0.0	0.64	2.53	20.11	6.57	17.9	2.81	3.56	6.21	2.01	4.21	2.97	9.13	4.98	1.64	2.76	0.0	0.83	1.3	11.55	1.87	6.94	4.31	1.91	5.41
TMEM50B	967.76	1001.93	1104.13	1151.06	1685.71	1519.15	1397.83	1447.15	1437.15	2915.45	2224.63	2090.03	1081.39	1437.15	954.43	860.08	1674.06	1733.13	2209.26	244.57	0.0	0.69	1437.15	1388.16	1119.56	1447.15	947.83	909.17	1250.98	928.3	1001.93	884.29	866.07	1331.57	995.0	718.08	579.04	595.34	529.06	981.29	728.11	1508.65	785.88	928.3	1304.15
TNFRSF25	104.42	237.86	90.14	47.17	450.94	158.79	264.03	555.41	346.29	616.37	466.88	571.05	111.21	303.44	187.71	228.13	438.59	616.37	503.95	16.75	90.77	161.02	11.73	151.22	156.59	567.1	77.25	28.45	80.57	18.7	82.87	52.82	128.79	121.79	53.19	48.52	55.49	35.0	37.59	275.28	55.49	169.07	70.01	54.72	88.88
TRIM52	167.9	244.57	241.19	291.04	379.04	277.2	381.68	438.59	423.61	599.49	532.74	603.67	318.57	454.09	432.53	353.59	529.06	521.76	543.96	49.91	0.0	0.78	171.45	314.17	232.94	312.0	98.73	76.17	141.02	59.13	119.26	88.26	150.17	193.01	70.01	94.67	58.71	92.05	115.97	264.03	102.97	158.79	89.51	87.65	177.53
TRIM68	191.67	239.52	279.14	303.44	441.64	175.07	295.11	397.93	208.38	414.87	351.14	348.71	224.97	267.73	264.03	199.85	307.69	395.18	358.54	92.05	0.0	0.47	209.84	269.6	154.42	314.17	137.14	117.6	63.0	57.49	154.42	80.57	108.14	120.94	83.45	98.04	121.79	78.89	105.89	150.17	108.14	94.01	73.03	78.34	124.37
USP21	633.73	514.56	629.35	769.69	764.36	575.03	961.07	1407.55	775.05	1001.93	1059.11	1242.34	579.04	896.64	764.36	629.35	1233.75	921.88	1088.92	90.77	0.0	0.8	500.46	595.34	785.88	825.0	633.73	521.76	529.06	336.79	507.46	490.14	819.3	693.58	363.56	571.05	366.09	454.09	423.61	909.17	543.96	785.88	612.11	490.14	624.99
WDR6	2758.13	2816.11	2209.26	2796.65	3349.13	2468.49	3372.43	5517.27	3443.31	4869.99	4769.75	4450.27	1709.26	3639.7	3060.45	2682.69	6607.01	5112.16	4010.71	967.76	0.0	1.04	1498.22	2271.4	1963.57	2400.97	1135.2	785.88	1605.83	1127.35	1225.22	1477.58	2875.3	2303.12	947.83	1295.13	961.07	769.69	848.22	2935.74	1127.35	2591.27	1407.55	1066.48	1769.57
ZFYVE19	441.64	540.19	575.03	612.11	713.11	432.53	551.56	1023.0	525.39	830.75	629.35	836.53	483.38	713.11	607.87	536.45	738.29	921.88	921.88	239.52	0.0	0.35	316.37	547.75	343.89	684.02	236.21	289.02	182.55	171.45	224.97	323.03	435.55	297.17	273.37	389.72	231.32	323.03	229.72	363.56	341.51	409.15	269.6	323.03	218.79
