	GTEX.11ONC.1426.SM.5N9F4	TCGA.RC.A7SF.01A.11R.A352.07	GTEX.ZAB4.0826.SM.5LU9D	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZN.01A.11R.A23N.07	TCGA.IM.A4EB.01A.11R.A250.07	TCGA.EL.A3ZT.01A.12R.A23N.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.YEC3.0826.SM.4WWFP	GTEX.R53T.0526.SM.3GADL	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QMRM.0726.SM.2I5G8	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7
CYB5R1	1059.11	947.83	532.74	928.3	1447.15	1096.5	1183.45	921.88	836.53	995.0	1143.1	884.29	1295.13	1378.57	703.28	854.13	1037.29	785.88	743.43	866.07	1233.75	1001.93	1378.57	1651.0	1628.26	1427.22	1487.87	1447.15	1745.2	1127.35	1437.15	1529.73	1151.06	1447.15	1519.15	1183.45	1477.58	1437.15	1191.69	1191.69	1594.73	1561.89	1457.23	1477.58	1540.37	1685.71	1628.26	1378.57	1407.55	1127.35	1313.23	1457.23	1639.59	1745.2	1350.18	1697.45	1551.09	981.29	1183.45	1896.65	1225.22	1498.22	1594.73	1628.26	1457.23	1662.49	1437.15	1674.06	1487.87	1617.0	1583.71	1397.83	1540.37	1359.57	1268.46	1769.57	1685.71	1540.37	1467.37	1572.76	1417.35	1369.04	1477.58	1605.83	1561.89
DFFA	224.97	215.77	123.5	314.17	249.73	256.78	229.72	249.73	269.6	339.14	237.86	255.0	251.48	251.48	339.14	212.78	273.37	211.31	255.0	249.73	253.23	271.48	392.44	384.34	305.55	336.79	332.14	336.79	389.72	371.22	358.54	209.84	285.03	325.29	271.48	287.01	339.14	353.59	325.29	275.28	379.04	379.04	351.14	368.65	395.18	389.72	332.14	231.32	318.57	314.17	417.77	384.34	373.81	412.0	277.2	353.59	373.81	305.55	351.14	409.15	267.73	301.33	307.69	346.29	406.31	299.25	368.65	376.41	295.11	397.93	295.11	358.54	341.51	332.14	343.89	376.41	339.14	329.84	381.68	262.2	320.8	316.37	325.29	343.89	343.89
DHFRL1	42.71	49.91	55.1	61.25	65.26	67.12	55.89	59.13	43.94	82.29	44.89	58.3	57.08	70.51	29.7	87.65	48.52	54.33	55.89	85.22	85.82	87.03	155.5	191.67	50.63	129.69	108.9	114.36	142.01	102.97	115.97	56.68	90.14	105.89	102.25	108.14	97.36	143.01	147.06	94.67	99.43	96.68	156.59	150.17	120.1	176.29	139.07	67.59	133.36	67.59	156.59	110.43	135.24	201.25	107.38	182.55	127.89	109.66	92.05	166.73	95.34	146.03	99.43	172.65	98.04	88.26	145.02	107.38	91.41	123.5	78.89	82.29	108.9	88.88	100.13	117.6	127.89	140.04	100.13	111.99	122.64	76.17	147.06	141.02	127.0
DNAJC14	127.89	260.38	131.51	323.03	316.37	336.79	332.14	303.44	229.72	358.54	358.54	291.04	265.87	358.54	260.38	312.0	275.28	255.0	277.2	329.84	392.44	339.14	813.63	607.87	314.17	603.67	583.07	571.05	536.45	532.74	486.75	389.72	346.29	651.58	466.88	397.93	497.0	607.87	674.59	423.61	638.15	624.99	551.56	620.67	579.04	733.19	490.14	281.09	514.56	460.44	764.36	684.02	490.14	708.18	559.28	551.56	599.49	447.82	503.95	612.11	450.94	473.41	603.67	444.72	698.41	403.5	575.03	633.73	688.78	723.08	441.64	642.59	583.07	403.5	540.19	665.29	660.68	620.67	679.29	460.44	438.59	387.02	480.04	579.04	559.28
DTD2	92.7	149.12	88.88	121.79	113.56	156.59	132.44	109.66	69.03	211.31	125.24	134.3	125.24	150.17	111.21	143.01	84.63	99.43	96.01	105.15	218.79	158.79	301.33	318.57	164.42	316.37	167.9	223.41	217.27	191.67	361.04	76.17	279.14	198.47	204.07	249.73	187.71	209.84	251.48	214.27	255.0	195.72	323.03	220.32	181.28	214.27	176.29	159.9	249.73	157.68	260.38	305.55	231.32	255.0	199.85	299.25	316.37	215.77	220.32	327.56	171.45	251.48	265.87	320.8	214.27	232.94	229.72	199.85	167.9	244.57	181.28	228.13	287.01	221.86	214.27	221.86	295.11	325.29	218.79	201.25	198.47	251.48	205.5	303.44	256.78
FAM168B	967.76	293.07	281.09	529.06	642.59	532.74	555.41	444.72	361.04	555.41	591.22	567.1	607.87	748.61	503.95	536.45	447.82	532.74	429.54	473.41	738.29	579.04	1167.14	1313.23	571.05	1159.07	1151.06	1208.34	1143.1	679.29	1001.93	928.3	775.05	1167.14	848.22	890.44	842.36	995.0	1037.29	915.51	1208.34	848.22	1096.5	1191.69	1073.91	1259.69	890.44	836.53	941.27	764.36	1331.57	1896.65	1023.0	1268.46	1151.06	1233.75	1369.04	728.11	728.11	1304.15	848.22	921.88	1295.13	941.27	1001.93	791.35	947.83	1259.69	1250.98	1437.15	825.0	1407.55	1066.48	733.19	1044.52	878.17	1167.14	1340.84	1304.15	866.07	733.19	819.3	928.3	1059.11	934.76
FDXACB1	15.91	16.27	21.63	43.94	34.26	37.59	28.04	38.95	37.32	45.53	25.91	31.9	41.22	24.11	31.45	24.81	33.54	26.28	30.78	32.36	34.75	35.76	50.63	47.5	33.78	45.21	52.82	50.27	25.54	50.98	35.76	25.72	40.64	43.94	38.95	42.41	40.64	45.53	58.71	56.28	51.35	61.68	45.53	50.63	57.08	52.82	40.36	29.06	32.36	38.12	70.51	63.0	40.36	56.28	56.28	47.17	41.81	44.57	52.08	76.17	40.93	52.08	47.17	42.71	51.71	47.5	60.39	46.84	32.36	57.08	37.05	57.49	70.01	48.18	55.49	64.34	56.68	73.54	48.52	43.63	45.53	31.22	47.84	40.07	55.89
G3BP2	698.41	432.53	363.56	796.86	1127.35	921.88	1008.9	688.78	607.87	848.22	928.3	796.86	896.64	1208.34	728.11	728.11	703.28	665.29	591.22	629.35	1151.06	842.36	1857.6	2032.85	1051.79	1551.09	1781.89	1388.16	1447.15	1417.35	1594.73	1322.37	1167.14	1508.65	1259.69	1044.52	1104.13	1457.23	1709.26	1066.48	1561.89	1268.46	1350.18	1340.84	1467.37	1551.09	860.08	995.0	1119.56	1037.29	1674.06	1844.76	1127.35	1651.0	1519.15	1199.98	1721.16	947.83	1073.91	1896.65	995.0	1350.18	1529.73	1159.07	1437.15	1250.98	1498.22	1551.09	1594.73	1870.53	1540.37	2303.12	2047.0	1268.46	1651.0	1437.15	1685.71	2148.82	1628.26	1073.91	1233.75	1216.75	1037.29	1745.2	1674.06
GCC1	84.63	107.38	67.12	104.42	96.01	102.97	76.17	86.43	91.41	100.13	100.83	93.35	81.14	111.99	68.55	77.25	92.7	54.72	87.65	105.89	115.16	80.01	239.52	214.27	110.43	199.85	226.54	185.11	103.69	165.57	131.51	108.9	122.64	186.4	145.02	158.79	154.42	191.67	211.31	178.77	193.01	187.71	158.79	224.97	209.84	291.04	187.71	162.14	125.24	131.51	260.38	262.2	115.16	264.03	206.94	215.77	211.31	109.66	146.03	283.05	127.89	191.67	195.72	175.07	217.27	173.85	212.78	223.41	206.94	309.83	170.25	237.86	177.53	177.53	205.5	241.19	189.02	271.48	204.07	171.45	130.6	156.59	175.07	124.37	194.36
GOLPH3L	267.73	191.67	144.01	329.84	414.87	325.29	332.14	312.0	332.14	457.25	327.56	309.83	353.59	432.53	277.2	414.87	316.37	218.79	341.51	358.54	500.46	412.0	954.43	708.18	392.44	571.05	567.1	529.06	638.15	567.1	591.22	397.93	438.59	483.38	555.41	473.41	460.44	536.45	775.05	463.65	656.11	575.03	563.18	603.67	607.87	753.83	441.64	332.14	486.75	454.09	878.17	713.11	547.75	860.08	476.71	567.1	575.03	555.41	525.39	764.36	366.09	511.0	463.65	507.46	842.36	629.35	764.36	547.75	612.11	651.58	435.55	791.35	651.58	486.75	665.29	703.28	624.99	651.58	583.07	497.0	536.45	447.82	441.64	607.87	764.36
GSPT2	46.5	18.03	7.88	84.04	112.77	110.43	49.56	96.68	89.51	100.83	114.36	71.5	119.26	105.89	83.45	87.03	100.13	52.45	94.01	91.41	97.36	82.87	246.28	193.01	98.73	156.59	159.9	153.34	115.97	130.6	105.15	84.63	93.35	162.14	122.64	146.03	112.77	155.5	177.53	128.79	156.59	163.28	127.0	191.67	186.4	208.38	144.01	130.6	90.77	104.42	232.94	226.54	114.36	289.02	165.57	161.02	186.4	90.77	119.26	264.03	99.43	158.79	159.9	185.11	182.55	159.9	162.14	204.07	167.9	218.79	107.38	169.07	149.12	145.02	154.42	162.14	176.29	191.67	191.67	139.07	144.01	96.01	169.07	144.01	181.28
GTF3C4	35.25	38.12	26.67	59.13	97.36	94.01	88.26	62.12	53.19	94.01	89.51	78.34	94.01	123.5	59.97	94.01	65.26	81.71	65.26	74.58	141.02	88.26	234.57	197.09	126.12	249.73	226.54	194.36	139.07	175.07	112.77	147.06	95.34	197.09	287.01	128.79	165.57	167.9	204.07	175.07	244.57	166.73	150.17	206.94	211.31	237.86	134.3	137.14	94.67	112.77	267.73	223.41	134.3	244.57	202.66	197.09	228.13	139.07	137.14	277.2	96.01	153.34	220.32	182.55	197.09	194.36	147.06	229.72	242.88	246.28	127.89	264.03	226.54	177.53	209.84	169.07	229.72	265.87	221.86	173.85	123.5	122.64	166.73	122.64	209.84
KIF1C	1183.45	780.44	612.11	1447.15	1662.49	1519.15	1225.22	1225.22	1066.48	1008.9	1594.73	1159.07	1583.71	1259.69	988.12	1127.35	1277.29	1225.22	1073.91	1359.57	1388.16	1111.82	2573.36	2335.28	1617.0	1923.14	2537.92	2148.82	2255.7	2193.99	2367.9	2004.85	1572.76	2104.58	1977.24	1883.54	1936.53	2104.58	1685.71	1721.16	2303.12	2209.26	2351.53	2163.77	2047.0	2148.82	2758.13	2032.85	2104.58	1662.49	2451.44	2287.2	2018.8	1551.09	1977.24	2075.59	2303.12	1369.04	2119.22	2193.99	1794.29	2090.03	2739.08	2240.11	2835.7	1151.06	1745.2	2133.97	2720.15	2915.45	1733.13	2209.26	1977.24	1832.01	2163.77	1721.16	2319.15	2193.99	2468.49	1583.71	1427.22	2875.3	2255.7	2090.03	2384.37
KLHL9	123.5	54.72	199.85	187.71	189.02	204.07	193.01	178.77	143.01	156.59	159.9	166.73	157.68	226.54	157.68	202.66	170.25	164.42	169.07	182.55	264.03	199.85	457.25	470.14	246.28	384.34	379.04	376.41	312.0	432.53	273.37	232.94	285.03	325.29	307.69	289.02	293.07	329.84	447.82	283.05	323.03	260.38	334.46	392.44	353.59	532.74	271.48	291.04	248.0	287.01	571.05	466.88	293.07	540.19	332.14	463.65	351.14	334.46	234.57	679.29	281.09	312.0	299.25	426.57	417.77	320.8	381.68	329.84	358.54	460.44	314.17	476.71	403.5	231.32	376.41	305.55	395.18	476.71	339.14	327.56	341.51	255.0	368.65	301.33	403.5
LDOC1L	127.89	7.22	43.32	117.6	110.43	95.34	76.71	99.43	81.14	105.15	102.97	117.6	127.89	152.28	98.73	115.16	103.69	117.6	108.14	102.25	154.42	141.02	353.59	327.56	194.36	314.17	366.09	269.6	289.02	199.85	246.28	197.09	185.11	343.89	249.73	224.97	221.86	295.11	323.03	239.52	392.44	291.04	320.8	325.29	297.17	414.87	312.0	198.47	251.48	112.77	363.56	379.04	255.0	392.44	301.33	291.04	414.87	183.82	236.21	454.09	162.14	273.37	353.59	267.73	389.72	242.88	239.52	363.56	361.04	447.82	154.42	334.46	285.03	241.19	281.09	353.59	366.09	332.14	341.51	244.57	165.57	173.85	283.05	289.02	312.0
MED1	169.07	129.69	82.87	172.65	214.27	189.02	182.55	158.79	149.12	165.57	214.27	186.4	193.01	191.67	156.59	181.28	147.06	173.85	169.07	177.53	218.79	181.28	395.18	406.31	145.02	299.25	255.0	246.28	249.73	289.02	269.6	151.22	234.57	249.73	269.6	229.72	205.5	277.2	273.37	249.73	242.88	253.23	329.84	307.69	267.73	312.0	283.05	224.97	218.79	180.02	387.02	346.29	253.23	329.84	307.69	334.46	316.37	251.48	199.85	409.15	205.5	303.44	260.38	295.11	293.07	220.32	258.57	307.69	293.07	379.04	232.94	376.41	279.14	191.67	241.19	248.0	299.25	387.02	336.79	205.5	260.38	237.86	244.57	303.44	258.57
METTL13	269.6	256.78	265.87	281.09	269.6	264.03	226.54	283.05	320.8	334.46	287.01	341.51	444.72	420.68	334.46	218.79	267.73	265.87	309.83	285.03	318.57	258.57	529.06	356.05	249.73	368.65	450.94	447.82	435.55	343.89	329.84	224.97	231.32	346.29	379.04	273.37	426.57	466.88	409.15	381.68	540.19	473.41	363.56	547.75	417.77	414.87	406.31	239.52	285.03	291.04	480.04	497.0	341.51	503.95	381.68	409.15	441.64	395.18	361.04	483.38	241.19	312.0	400.71	334.46	540.19	450.94	466.88	389.72	397.93	525.39	297.17	406.31	363.56	387.02	389.72	420.68	438.59	441.64	368.65	493.56	381.68	258.57	371.22	358.54	525.39
MFAP1	314.17	256.78	201.25	521.76	426.57	363.56	323.03	309.83	303.44	518.15	426.57	571.05	532.74	540.19	334.46	409.15	329.84	397.93	323.03	438.59	551.56	454.09	954.43	780.44	470.14	647.07	842.36	669.92	713.11	660.68	642.59	500.46	543.96	688.78	647.07	551.56	633.73	775.05	842.36	647.07	836.53	866.07	629.35	842.36	890.44	974.5	603.67	486.75	555.41	476.71	878.17	961.07	587.13	1030.12	808.0	733.19	890.44	551.56	620.67	1001.93	521.76	629.35	825.0	595.34	941.27	688.78	759.08	802.41	813.63	896.64	583.07	934.76	738.29	713.11	808.0	974.5	796.86	890.44	785.88	583.07	728.11	460.44	656.11	684.02	896.64
