	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.V5.AASW.01A.11R.A406.31	TCGA.L5.A4OX.01A.21R.A28J.31	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.KN.8425.11A.01R.2315.07	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	TCGA.KN.8424.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZVZP.0926.SM.5GIDB	GTEX.ZYFG.1626.SM.5GZYY	GTEX.ZLFU.0926.SM.5P9F8	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	GTEX.13RTJ.2226.SM.5S2Q1	TCGA.CW.6087.11A.01R.1672.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.CZ.5467.11A.01R.1503.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.BQ.5887.11A.01R.1965.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.HU.8610.01A.22R.2402.13	TCGA.BR.8060.01A.11R.2343.13	TCGA.BR.8682.01A.11R.2402.13	TCGA.BR.8680.01A.11R.2402.13	TCGA.BR.8678.01A.11R.2402.13	TCGA.IP.7968.01A.11R.2203.13	TCGA.D7.A4YY.01A.11R.A251.31	TCGA.D7.8579.01A.11R.2343.13	TCGA.BR.8483.01A.31R.2402.13
ARL3	27.84	135.24	91.41	131.51	98.04	514.56	400.71	483.38	612.11	743.43	381.68	490.14	400.71	497.0	376.41	329.84	595.34	397.93	470.14	486.75	457.25	493.56	563.18	463.65	490.14	373.81	395.18	397.93	361.04	167.9	103.69	169.07	262.2	144.01	95.34	262.2	162.14	172.65	175.07	153.34
ARL4D	1199.98	136.19	95.34	995.0	647.07	1769.57	1369.04	1628.26	1870.53	3212.66	1295.13	1111.82	878.17	2682.69	1397.83	896.64	2032.85	2485.67	796.86	1340.84	2384.37	1378.57	1119.56	1594.73	872.1	1066.48	854.13	1883.54	1023.0	0.0	0.71	17.9	454.09	80.01	12.64	44.57	36.79	10.79	129.69	28.24
BBIP1	195.72	387.02	171.45	265.87	239.52	896.64	738.29	796.86	854.13	1008.9	483.38	728.11	567.1	928.3	511.0	723.08	842.36	1051.79	836.53	802.41	909.17	878.17	1159.07	902.89	665.29	679.29	540.19	529.06	738.29	0.0	0.66	493.56	769.69	457.25	473.41	438.59	435.55	339.14	521.76	435.55
BBS2	255.0	353.59	395.18	96.68	202.66	1119.56	854.13	1167.14	954.43	1268.46	1051.79	1225.22	1175.27	1378.57	1183.45	780.44	1225.22	872.1	1191.69	1259.69	1023.0	890.44	1001.93	1037.29	848.22	1096.5	909.17	872.1	842.36	0.0	0.18	220.32	166.73	624.99	358.54	387.02	397.93	384.34	543.96	624.99
BEND5	5.92	2.23	5.54	3.89	6.89	414.87	228.13	301.33	497.0	1322.37	183.82	199.85	379.04	638.15	301.33	713.11	775.05	309.83	332.14	356.05	323.03	133.36	409.15	275.28	500.46	327.56	251.48	323.03	138.1	0.0	0.25	12.83	55.1	50.98	7.51	5.96	55.89	11.55	77.25	16.27
BEX4	285.03	79.45	134.3	117.6	74.58	2485.67	2417.67	3443.31	3639.7	5954.47	1191.69	1844.76	1167.14	3060.45	2351.53	2468.49	4769.75	4123.49	1769.57	2645.74	2627.46	1883.54	3614.55	2875.3	2627.46	2915.45	2133.97	2682.69	2193.99	0.0	0.74	111.21	253.23	387.02	61.68	66.65	123.5	150.17	483.38	161.02
BLOC1S5	108.14	118.43	134.3	152.28	93.35	497.0	529.06	463.65	521.76	642.59	277.2	435.55	289.02	656.11	480.04	525.39	860.08	503.95	575.03	543.96	486.75	368.65	438.59	624.99	466.88	379.04	457.25	518.15	435.55	0.0	0.19	181.28	149.12	209.84	223.41	241.19	214.27	115.16	187.71	173.85
BMP6	22.75	10.31	22.43	123.5	13.03	1304.15	1015.93	503.95	1008.9	2875.3	152.28	1359.57	271.48	1832.01	1037.29	463.65	2133.97	186.4	547.75	941.27	896.64	995.0	995.0	1457.23	511.0	285.03	301.33	775.05	813.63	0.0	0.34	31.45	80.01	30.34	5.5	69.03	49.91	6.46	39.79	11.13
C12orf60	8.13	11.64	10.24	8.32	16.03	108.14	108.14	81.14	145.02	145.02	31.9	57.49	59.55	120.1	109.66	78.34	161.02	99.43	81.14	108.9	96.01	65.26	127.0	88.88	80.01	88.88	72.52	75.11	72.52	0.0	0.0	21.47	57.89	15.45	24.28	12.55	15.34	18.16	25.35	17.13
C21orf119	65.72	64.34	77.25	76.71	81.14	836.53	384.34	575.03	633.73	909.17	285.03	470.14	277.2	612.11	507.46	211.31	848.22	341.51	318.57	301.33	521.76	392.44	486.75	363.56	444.72	325.29	336.79	497.0	281.09	0.0	0.26	77.79	94.01	82.87	100.83	148.09	269.6	162.14	96.68	133.36
C2orf73	0.42	0.0	0.0	0.0	0.0	15.0	27.25	28.65	21.63	60.39	22.43	23.25	8.51	40.93	41.22	19.68	85.22	35.76	25.72	31.67	29.27	26.1	43.32	43.32	18.29	20.71	17.13	20.71	23.76	0.0	0.0	0.0	5.36	0.0	1.51	0.0	3.59	0.32	3.23	0.0
C2orf74	45.53	307.69	17.51	287.01	39.5	567.1	514.56	567.1	878.17	1757.34	224.97	343.89	507.46	1135.2	738.29	591.22	1167.14	785.88	450.94	785.88	463.65	547.75	1407.55	728.11	460.44	466.88	684.02	753.83	307.69	0.0	0.36	141.02	131.51	88.88	38.4	22.1	348.71	82.87	154.42	202.66
C6orf226	183.82	167.9	277.2	198.47	171.45	753.83	612.11	764.36	638.15	1529.73	551.56	532.74	529.06	651.58	836.53	262.2	1030.12	563.18	323.03	406.31	532.74	616.37	441.64	466.88	587.13	497.0	463.65	555.41	511.0	0.0	0.45	158.79	144.01	199.85	110.43	199.85	189.02	205.5	194.36	361.04
C7orf41	195.72	63.45	157.68	299.25	80.57	3168.41	3039.3	2701.35	2485.67	5633.22	1594.73	3742.05	1427.22	4181.07	2287.2	1950.0	6037.61	1745.2	3901.01	4066.71	3349.13	2417.67	3280.18	2855.44	3168.41	2997.45	1923.14	3847.29	3081.75	145.02	71.5	301.33	684.02	595.34	283.05	61.68	143.01	420.68	603.67	299.25
CCDC104	612.11	507.46	679.29	309.83	301.33	1498.22	1594.73	1594.73	1757.34	2485.67	665.29	1225.22	1081.39	1757.34	1175.27	1199.98	2468.49	1806.78	1605.83	1378.57	1378.57	1583.71	2104.58	1639.59	1477.58	1250.98	1208.34	1167.14	1304.15	0.0	0.78	819.3	915.51	511.0	981.29	769.69	633.73	718.08	866.07	1477.58
CCDC11	4.66	5.63	7.0	2.76	3.38	56.28	68.55	57.89	57.49	73.03	54.72	66.18	34.51	98.73	61.25	46.84	139.07	51.35	73.54	61.68	45.21	41.22	59.55	54.72	72.01	34.26	57.49	48.87	41.52	0.0	0.0	8.45	12.83	7.22	5.11	5.41	10.0	15.68	8.45	15.22
CCDC121	18.97	37.85	61.68	10.0	32.36	186.4	114.36	138.1	180.02	142.01	99.43	185.11	84.04	217.27	183.82	176.29	249.73	117.6	180.02	201.25	175.07	138.1	173.85	161.02	136.19	113.56	117.6	127.89	117.6	0.0	0.0	63.45	80.57	77.25	34.75	73.54	32.36	78.34	80.01	97.36
CCDC176	44.57	53.57	94.01	61.25	67.12	255.0	262.2	285.03	231.32	267.73	236.21	348.71	143.01	297.17	279.14	346.29	332.14	228.13	214.27	271.48	231.32	295.11	248.0	271.48	197.09	248.0	220.32	166.73	226.54	0.0	0.06	118.43	89.51	100.13	29.91	26.47	81.71	57.08	120.1	51.71
CCDC24	130.6	287.01	209.84	104.42	143.01	733.19	525.39	473.41	647.07	1199.98	323.03	323.03	277.2	902.89	808.0	353.59	1059.11	480.04	368.65	438.59	432.53	444.72	466.88	395.18	476.71	571.05	287.01	409.15	463.65	0.0	0.16	463.65	476.71	206.94	361.04	190.34	381.68	486.75	214.27	423.61
CCDC28A	325.29	161.02	206.94	201.25	154.42	1331.57	967.76	1167.14	1322.37	1639.59	733.19	860.08	802.41	1397.83	802.41	954.43	1651.0	1359.57	1143.1	1199.98	1295.13	1051.79	1259.69	1175.27	1073.91	884.29	848.22	988.12	934.76	0.0	0.18	339.14	497.0	473.41	251.48	285.03	303.44	480.04	406.31	426.57
CCDC30	8.25	21.16	18.43	4.54	2.92	145.02	128.79	209.84	159.9	269.6	136.19	152.28	98.04	323.03	279.14	241.19	264.03	53.57	189.02	202.66	180.02	121.79	175.07	166.73	112.77	170.25	180.02	161.02	155.5	0.0	0.1	39.22	76.71	34.51	29.7	14.24	47.17	37.85	52.45	75.11
CLCN5	66.65	52.45	137.14	17.25	51.35	723.08	743.43	1388.16	575.03	1617.0	633.73	1066.48	567.1	1259.69	1331.57	1119.56	2061.24	435.55	1295.13	1191.69	1175.27	599.49	647.07	1159.07	1350.18	1457.23	1268.46	1572.76	947.83	0.0	0.43	214.27	85.82	201.25	44.89	72.01	147.06	72.52	107.38	149.12
COA3	1135.2	2367.9	1295.13	1175.27	1340.84	11664.82	5791.62	7589.61	11992.79	13586.57	4769.75	6983.79	4972.34	9740.98	7032.37	5076.84	10154.69	8778.97	9409.14	6250.56	6207.38	7433.4	8901.53	6792.79	8718.32	6516.03	5255.91	8078.22	6516.03	0.0	0.22	1331.57	4543.8	2502.97	2682.69	1662.49	2351.53	2502.97	2502.97	2997.45
CRYZ	447.82	312.0	518.15	273.37	37.05	6840.04	4769.75	6607.01	5831.91	8247.98	3103.19	7382.04	4671.57	5517.27	6792.79	6935.54	11267.44	6426.31	6652.97	5995.9	6792.79	6207.38	6121.9	7032.37	5831.91	4575.41	4869.99	5555.65	5791.62	0.0	0.39	1322.37	819.3	1467.37	860.08	417.77	854.13	1331.57	884.29	890.44
CYFIP2	55.1	90.77	34.75	61.25	303.44	13968.57	5441.3	7589.61	10225.32	23656.34	4095.0	7485.11	4358.66	20030.74	7485.11	4869.99	20310.37	4239.45	13968.57	11992.79	8538.88	9540.5	12244.81	8305.36	10440.2	8963.45	8363.13	13872.08	12676.65	114.36	80.01	521.76	693.58	579.04	872.1	73.54	529.06	500.46	748.61	392.44
DBT	33.3	37.85	60.39	68.07	131.51	371.22	273.37	371.22	232.94	457.25	193.01	454.09	193.01	376.41	363.56	420.68	507.46	239.52	525.39	438.59	656.11	260.38	287.01	490.14	329.84	329.84	417.77	463.65	297.17	156.59	127.89	150.17	217.27	187.71	105.15	161.02	187.71	123.5	211.31	69.03
DCDC1	0.72	0.46	0.45	1.51	0.0	24.46	19.25	31.22	20.86	39.79	36.01	44.25	26.1	58.71	75.11	30.56	66.18	16.51	27.25	27.25	31.22	17.13	24.46	29.7	25.91	20.41	21.16	25.35	32.13	0.0	0.0	0.49	13.42	6.57	1.99	0.43	4.62	0.84	0.0	2.86
DMRTC1B	0.0	0.02	0.0	0.0	3.23	93.35	52.82	48.52	108.14	143.01	55.49	52.45	183.82	85.82	78.34	87.03	275.28	44.57	87.03	55.1	42.11	51.71	69.52	74.58	60.82	53.95	45.85	49.21	59.55	0.0	0.0	0.0	10.0	5.68	0.0	0.0	0.71	0.73	1.25	34.26
DNAJC19	872.1	1001.93	651.58	624.99	540.19	3639.7	2032.85	2935.74	3081.75	3901.01	1225.22	1651.0	1457.23	2627.46	1651.0	1605.83	3794.3	1519.15	2720.15	2573.36	2664.15	1781.89	4239.45	1991.0	2720.15	2367.9	1477.58	2240.11	1769.57	0.0	0.77	629.35	1268.46	723.08	954.43	723.08	642.59	915.51	595.34	1023.0
DYNLRB2	4.28	0.0	0.0	3.96	0.0	166.73	145.02	221.86	256.78	808.0	87.65	165.57	264.03	303.44	182.55	281.09	567.1	277.2	223.41	201.25	191.67	145.02	255.0	167.9	273.37	171.45	217.27	147.06	131.51	0.0	0.0	2.66	6.16	12.18	0.0	2.27	2.05	2.16	2.05	67.12
EFCAB6	3.96	8.99	10.63	1.55	1.87	80.01	65.26	55.49	59.97	104.42	51.35	50.98	48.18	89.51	85.22	46.84	194.36	46.5	50.98	64.8	61.25	30.12	46.5	64.34	49.56	69.03	45.85	70.51	49.56	0.0	0.0	20.26	59.13	17.13	12.55	8.99	20.26	12.64	23.93	32.59
ENAM	0.0	0.0	0.0	0.39	0.0	211.31	307.69	275.28	118.43	368.65	57.08	463.65	59.13	182.55	215.77	271.48	665.29	713.11	226.54	301.33	457.25	229.72	256.78	460.44	281.09	307.69	221.86	353.59	167.9	0.0	0.0	0.13	141.02	2.68	0.34	0.09	0.1	0.0	10.71	0.0
FAM161B	17.38	34.26	25.54	27.64	43.02	128.79	102.97	113.56	100.83	135.24	173.85	87.65	113.56	246.28	88.26	121.79	177.53	91.41	124.37	152.28	154.42	88.26	198.47	146.03	87.65	105.89	152.28	125.24	119.26	0.0	0.0	37.59	27.84	58.71	9.56	25.91	28.65	31.22	55.49	20.56
FAM171A1	63.89	198.47	358.54	6.36	28.86	1781.89	1225.22	1572.76	1819.35	3955.48	1159.07	2240.11	1127.35	4704.07	1896.65	1135.2	4152.18	819.3	1963.57	2047.0	1806.78	1313.23	1844.76	1781.89	1769.57	1781.89	1331.57	2255.7	1407.55	0.0	0.53	97.36	346.29	543.96	249.73	101.54	514.56	234.57	656.11	480.04
FAM227B	29.27	29.06	47.84	29.7	33.78	420.68	275.28	381.68	420.68	486.75	260.38	229.72	289.02	358.54	295.11	307.69	567.1	297.17	293.07	371.22	346.29	303.44	329.84	429.54	269.6	301.33	244.57	271.48	275.28	0.0	0.09	100.83	75.11	105.89	59.13	56.28	78.89	115.97	69.03	64.8
FAM229B	35.25	13.72	38.95	47.84	65.26	1304.15	995.0	890.44	1359.57	2591.27	718.08	1175.27	1104.13	1397.83	825.0	521.76	1757.34	1088.92	1051.79	1015.93	1225.22	1015.93	1216.75	1088.92	1044.52	775.05	703.28	947.83	902.89	0.0	0.28	58.71	285.03	124.37	27.84	161.02	159.9	63.89	297.17	228.13
FGGY	76.17	145.02	110.43	224.97	229.72	389.72	381.68	521.76	406.31	493.56	529.06	547.75	480.04	718.08	490.14	551.56	738.29	232.94	536.45	403.5	503.95	514.56	373.81	420.68	373.81	409.15	629.35	438.59	353.59	0.0	0.0	193.01	70.01	262.2	110.43	127.89	127.0	165.57	93.35	115.16
FHOD3	67.12	40.93	33.3	258.57	106.63	1037.29	567.1	995.0	947.83	2758.13	493.56	1037.29	738.29	1721.16	961.07	1073.91	2287.2	500.46	934.76	785.88	825.0	647.07	748.61	642.59	624.99	1023.0	723.08	743.43	775.05	0.0	0.35	15.56	215.77	90.14	351.14	32.13	73.03	33.3	132.44	41.52
FUZ	153.34	84.63	84.04	148.09	39.5	1073.91	909.17	1051.79	1044.52	1151.06	633.73	684.02	642.59	1350.18	780.44	638.15	1286.18	718.08	551.56	819.3	665.29	848.22	967.76	860.08	961.07	915.51	1030.12	1044.52	915.51	287.01	275.28	232.94	616.37	295.11	152.28	46.84	444.72	60.39	191.67	414.87
FXYD6-FXYD2	0.0	0.0	4.21	0.0	0.0	389.72	435.55	135.24	748.61	1135.2	40.07	260.38	55.89	575.03	273.37	124.37	872.1	110.43	305.55	171.45	293.07	208.38	241.19	141.02	406.31	249.73	190.34	199.85	236.21	0.0	0.0	0.0	0.0	0.0	0.0	5.82	0.0	0.0	0.0	0.0
GABARAPL2	1685.71	1199.98	1561.89	2209.26	1044.52	6207.38	4575.41	5006.93	7331.05	7857.29	3820.7	4802.93	4328.55	5633.22	3742.05	4543.8	6745.86	6207.38	5147.73	4972.34	4869.99	4903.87	6607.01	5366.37	4736.79	4328.55	3742.05	4388.98	4210.15	0.0	0.91	1199.98	2163.77	1991.0	1594.73	1844.76	1594.73	2758.13	1551.09	2119.22
GINM1	376.41	242.88	406.31	674.59	551.56	2335.28	1697.45	2061.24	2090.03	2956.17	1721.16	2417.67	1551.09	1857.6	1794.29	2451.44	2163.77	2224.63	2075.59	2075.59	2303.12	1769.57	2434.5	2032.85	1794.29	1844.76	2287.2	1769.57	1745.2	0.0	0.58	728.11	764.36	665.29	307.69	915.51	947.83	669.92	836.53	595.34
GMPR2	1059.11	1081.39	1225.22	1572.76	1447.15	2303.12	2075.59	2417.67	2502.97	2956.17	2319.15	2758.13	2061.24	3081.75	2720.15	1857.6	3018.3	2090.03	2451.44	2609.3	2701.35	2417.67	2240.11	2701.35	2351.53	2193.99	2682.69	2163.77	2032.85	0.0	0.62	703.28	1216.75	1286.18	1175.27	571.05	974.5	1199.98	1111.82	802.41
GSTO2	147.06	376.41	457.25	301.33	201.25	974.5	884.29	723.08	830.75	4607.24	320.8	748.61	647.07	1378.57	1369.04	612.11	2193.99	1208.34	796.86	764.36	947.83	743.43	698.41	713.11	713.11	769.69	493.56	733.19	563.18	0.0	0.26	595.34	358.54	316.37	450.94	90.14	220.32	599.49	358.54	497.0
HDDC2	1322.37	1059.11	1259.69	1199.98	848.22	3467.27	2627.46	3103.19	3690.52	5329.3	2104.58	3018.3	2193.99	3955.48	2758.13	2875.3	3820.7	2664.15	3190.46	3168.41	3018.3	2555.58	3716.2	2627.46	3639.7	2855.44	2367.9	3443.31	2573.36	0.0	0.73	934.76	1963.57	902.89	1745.2	1313.23	1457.23	854.13	1183.45	1674.06
HELT	0.0	0.0	0.0	0.0	0.0	52.82	23.59	49.21	62.56	26.1	6.41	15.91	13.62	49.21	18.97	23.08	49.21	10.16	24.28	36.01	18.16	11.04	73.03	20.11	46.18	50.98	29.91	51.35	38.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HEXA	1151.06	1447.15	1259.69	1378.57	1268.46	4095.0	2816.11	2997.45	4010.71	4802.93	3190.46	3443.31	2758.13	3794.3	2935.74	3235.01	4123.49	3515.68	3235.01	3742.05	4481.23	2976.74	3540.14	3874.05	3467.27	1721.16	2956.17	2777.33	2875.3	0.0	0.78	2520.38	2384.37	1936.53	1259.69	1540.37	1896.65	1806.78	1697.45	1233.75
HHAT	17.77	26.67	28.04	27.25	54.33	176.29	133.36	162.14	169.07	256.78	212.78	251.48	249.73	234.57	175.07	384.34	303.44	264.03	193.01	208.38	267.73	182.55	190.34	193.01	236.21	201.25	155.5	198.47	148.09	0.0	0.18	21.94	77.79	72.01	16.51	52.45	95.34	101.54	57.49	52.45
HIBADH	902.89	551.56	723.08	351.14	264.03	5479.15	3349.13	6037.61	3874.05	6745.86	2351.53	3060.45	2335.28	5112.16	3768.09	3768.09	6840.04	3955.48	4937.99	4575.41	5183.54	3716.2	5995.9	4239.45	4450.27	3589.58	4671.57	4802.93	3589.58	0.0	0.35	738.29	563.18	1233.75	312.0	334.46	988.12	1417.35	1487.87	1594.73
HOXD8	36.27	29.27	67.59	90.77	57.89	2758.13	2178.83	2119.22	3768.09	3820.7	1697.45	4038.61	995.0	4937.99	2645.74	4671.57	4095.0	3639.7	3280.18	2777.33	4210.15	2047.0	4388.98	3018.3	2997.45	2835.7	1950.0	2018.8	1950.0	0.0	0.24	68.55	66.18	49.21	34.75	58.71	46.5	16.27	59.13	37.05
HS6ST2	23.25	1.79	3.47	121.79	65.72	547.75	470.14	848.22	323.03	1583.71	116.78	1135.2	246.28	872.1	808.0	1268.46	1477.58	358.54	1001.93	941.27	896.64	417.77	575.03	723.08	974.5	836.53	738.29	1001.93	503.95	0.0	0.08	2.29	10.08	11.55	273.37	0.56	0.59	2.78	4.66	6.41
ID4	120.94	59.55	67.59	19.39	44.57	1407.55	791.35	1639.59	1936.53	13123.73	1059.11	647.07	1216.75	3395.89	796.86	599.49	3742.05	358.54	921.88	1540.37	921.88	698.41	2148.82	1233.75	1143.1	547.75	808.0	1991.0	1313.23	0.0	0.47	156.59	191.67	239.52	88.88	928.3	114.36	46.5	341.51	176.29
IMMP2L	177.53	98.73	193.01	301.33	120.94	1350.18	1167.14	1350.18	1561.89	1844.76	947.83	1242.34	785.88	1359.57	1051.79	928.3	1662.49	1066.48	1277.29	1225.22	1259.69	1044.52	1477.58	1397.83	1233.75	1088.92	1066.48	1331.57	981.29	0.0	0.3	132.44	229.72	309.83	221.86	42.71	111.99	423.61	351.14	409.15
IQCK	106.63	115.16	149.12	82.87	53.95	1073.91	836.53	848.22	1397.83	1733.13	575.03	909.17	753.83	1487.87	1008.9	1159.07	1651.0	796.86	860.08	995.0	1001.93	830.75	1199.98	954.43	928.3	836.53	688.78	830.75	791.35	0.0	0.22	493.56	417.77	218.79	318.57	348.71	441.64	444.72	351.14	473.41
IQUB	18.29	3.38	3.29	1.43	3.38	108.14	39.5	61.68	59.55	269.6	92.05	87.65	71.5	161.02	96.68	162.14	271.48	22.92	57.89	90.77	107.38	49.56	72.52	63.89	43.02	52.08	59.55	66.18	53.19	0.0	0.0	5.19	11.38	4.31	1.46	1.77	9.13	1.62	8.32	13.12
ISPD	2.39	6.78	9.27	13.42	17.25	87.65	30.56	53.57	53.57	84.63	55.89	75.64	49.56	84.04	57.89	111.99	69.52	52.45	76.71	68.55	81.71	59.97	50.63	63.45	55.49	44.57	51.71	63.89	66.18	0.0	0.04	15.68	27.05	25.72	18.7	22.92	34.26	10.0	46.18	35.25
KCNJ12	0.33	0.68	0.09	17.38	80.57	65.26	100.13	82.29	52.45	371.22	56.68	105.15	58.71	237.86	135.24	40.64	199.85	11.73	121.79	202.66	87.03	86.43	72.01	126.12	145.02	80.57	105.15	136.19	77.79	0.0	0.37	1.99	6.11	16.15	8.38	12.09	8.51	4.43	12.74	2.58
KCNMB2	0.11	0.16	0.0	1.46	0.34	220.32	371.22	189.02	314.17	1909.85	638.15	224.97	84.04	414.87	264.03	112.77	934.76	166.73	273.37	316.37	264.03	260.38	291.04	327.56	348.71	197.09	141.02	318.57	228.13	0.0	0.0	0.39	35.5	10.39	3.08	10.47	10.0	2.1	9.56	1.19
