	TCGA.XF.AAME.01A.12R.A42T.07	TCGA.AR.A5QQ.01A.11R.A28M.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.44.6147.11A.01R.1858.07	GTEX.147F4.0926.SM.5Q5EO	GTEX.13FLV.0426.SM.5KLZA	TCGA.22.5472.11A.11R.1635.07
LETM2	100.13	277.2	62.56	890.44	0.46	79.45	8.0	138.1	36.79
LSM5	2133.97	2915.45	1477.58	4038.61	1044.52	836.53	551.56	325.29	915.51
MALSU1	1191.69	1721.16	753.83	1617.0	0.64	1051.79	579.04	638.15	808.0
METTL1	974.5	1111.82	518.15	1304.15	0.0	607.87	366.09	255.0	555.41
METTL5	1051.79	1519.15	1183.45	1832.01	0.59	603.67	318.57	316.37	703.28
MKI67IP	1594.73	1963.57	941.27	3515.68	0.17	1242.34	532.74	429.54	651.58
MRPL12	2434.5	4704.07	2485.67	3491.39	0.27	860.08	400.71	395.18	1008.9
MRPL27	2335.28	3564.78	1870.53	3515.68	0.0	1119.56	511.0	480.04	1407.55
MRPL28	1950.0	3280.18	1508.65	4802.93	0.89	1127.35	521.76	872.1	1167.14
MRPL39	642.59	748.61	638.15	928.3	0.41	366.09	353.59	218.79	486.75
MRPL46	587.13	728.11	486.75	974.5	0.0	373.81	176.29	211.31	417.77
MRPS11	1191.69	1950.0	1135.2	2047.0	0.21	559.28	158.79	327.56	830.75
MRPS14	624.99	1059.11	511.0	679.29	0.48	426.57	199.85	190.34	559.28
MRPS24	3540.14	4937.99	3874.05	7911.95	0.92	1605.83	688.78	633.73	1745.2
MRPS34	2351.53	3639.7	2627.46	4869.99	0.36	902.89	466.88	591.22	1427.22
MRPS5	1286.18	1111.82	872.1	2287.2	0.75	791.35	490.14	532.74	909.17
MRTO4	836.53	1477.58	435.55	1407.55	0.0	571.05	249.73	228.13	403.5
MTIF3	1250.98	1051.79	1268.46	651.58	0.44	703.28	426.57	470.14	1023.0
NABP2	941.27	1242.34	463.65	1242.34	575.03	343.89	236.21	269.6	536.45
NAPRT1	1757.34	1199.98	9606.86	5954.47	1.13	743.43	493.56	1832.01	947.83
NCL	10014.87	9808.75	7695.57	10296.45	7230.1	8305.36	4769.75	4239.45	6983.79
NDUFB1	7130.55	6792.79	6381.92	10084.54	0.95	4869.99	2485.67	947.83	4937.99
NDUFB10	3564.78	4450.27	2148.82	4481.23	0.78	2104.58	1030.12	1685.71	2627.46
NDUFC2	6745.86	8247.98	4010.71	9279.58	231.32	3467.27	1242.34	3325.99	3039.3
NDUFV3	684.02	665.29	409.15	379.04	303.44	258.57	232.94	309.83	441.64
NME1	4010.71	7911.95	2335.28	8247.98	0.0	967.76	567.1	579.04	1388.16
NME2	166.73	246.28	262.2	389.72	0.37	84.04	201.25	194.36	68.07
NME7	327.56	764.36	231.32	909.17	0.43	256.78	135.24	224.97	417.77
NMRAL1	988.12	1498.22	2004.85	2004.85	0.53	551.56	172.65	403.5	703.28
NUDT1	1477.58	2701.35	2451.44	3190.46	0.56	351.14	197.09	232.94	389.72
ORMDL2	1572.76	2835.7	3018.3	3257.52	0.13	1477.58	915.51	1037.29	1498.22
OST4	11992.79	11267.44	7230.1	12329.98	0.99	6381.92	3820.7	5329.3	6652.97
PAGR1	547.75	928.3	363.56	703.28	0.0	253.23	353.59	205.5	376.41
PDE6D	536.45	713.11	540.19	988.12	0.56	314.17	190.34	293.07	444.72
PET100	1628.26	1674.06	1286.18	2119.22	0.61	995.0	483.38	769.69	928.3
PFDN6	2367.9	3491.39	1233.75	4419.52	1397.83	988.12	703.28	854.13	1313.23
PHB	4512.4	6337.83	2367.9	6561.36	0.25	2255.7	1378.57	1697.45	2875.3
PIN4	563.18	669.92	226.54	753.83	0.24	329.84	199.85	151.22	339.14
POLE4	2591.27	2915.45	587.13	9088.59	0.73	1199.98	872.1	616.37	1781.89
POLR1D	2935.74	2976.74	9808.75	3639.7	0.97	2303.12	1674.06	813.63	1832.01
POLR2G	3372.43	4066.71	1923.14	5555.65	0.56	1242.34	547.75	995.0	1923.14
POMP	2915.45	4010.71	2004.85	3467.27	0.62	2271.4	2701.35	2255.7	1617.0
PPP1R14B	4836.35	12076.21	5329.3	14765.09	0.35	1208.34	616.37	708.18	1617.0
PRDX5	7485.11	16157.44	30361.44	30361.44	0.59	8022.41	4388.98	5041.77	8538.88
PSMD1	1551.09	1883.54	1529.73	2627.46	0.54	1233.75	743.43	896.64	1378.57
PSMG1	1551.09	2573.36	1350.18	2255.7	497.0	813.63	555.41	395.18	616.37
PSPN	23.93	25.91	15.34	27.44	0.05	14.35	11.55	5.77	22.59
RBM45	201.25	265.87	189.02	269.6	0.0	172.65	61.68	134.3	189.02
RNF25	571.05	607.87	376.41	764.36	198.47	470.14	239.52	547.75	460.44
RP11-159D12.5	101.54	37.32	127.89	178.77	0.96	26.86	31.67	56.68	35.76
RP11-41O4.1	12.55	3.26	15.22	14.14	0.0	1.45	2.36	0.0	3.72
RP9	480.04	392.44	146.03	603.67	0.6	299.25	106.63	178.77	275.28
RPA3	981.29	1794.29	1909.85	3257.52	0.36	493.56	273.37	371.22	563.18
RPL30	77396.54	83528.61	44761.41	134755.94	1.71	38164.99	67846.12	24490.61	32994.92
RPL38	52863.07	59063.35	40621.74	74243.68	1447.15	25708.25	36864.92	16843.62	22692.63
RPS20	79022.82	67377.47	47974.16	127486.83	1.6	38966.94	72213.45	13399.51	34635.37
RWDD1	1594.73	1572.76	796.86	1529.73	0.69	1277.29	1583.71	674.59	1015.93
RWDD3	603.67	351.14	202.66	327.56	0.0	185.11	64.8	214.27	267.73
S100A2	96616.71	195931.88	3.15251512E7	171754.88	0.87	497.0	56.68	20.11	1369.04
S100A5	7.46	15.0	21.63	14.78	0.06	2.71	4.54	7.4	7.75
SAP18	4038.61	4298.64	5479.15	4328.55	0.89	2997.45	3018.3	2739.08	3467.27
SDHAF2	1350.18	1529.73	638.15	1709.26	0.18	1088.92	429.54	612.11	813.63
SEC61G	8363.13	12329.98	9279.58	10440.2	0.91	4972.34	3794.3	1721.16	3639.7
SIVA1	2915.45	5441.3	1781.89	7642.41	121.79	1733.13	860.08	1457.23	1923.14
SLIRP	5183.54	7857.29	4869.99	10883.59	0.68	2287.2	1111.82	1023.0	2047.0
SMIM7	2018.8	2335.28	1051.79	2701.35	249.73	1388.16	860.08	884.29	1896.65
SMUG1	1037.29	1519.15	785.88	1225.22	0.0	348.71	136.19	327.56	514.56
SNF8	3395.89	4769.75	1216.75	4802.93	796.86	1662.49	1208.34	1191.69	1991.0
SNRPE	4671.57	6792.79	2997.45	5872.48	0.74	1909.85	1183.45	1008.9	1909.85
SREK1IP1	260.38	928.3	854.13	775.05	0.27	329.84	343.89	218.79	239.52
ST20	223.41	281.09	61.68	265.87	0.49	135.24	136.19	60.82	109.66
SUMO1	2664.15	2855.44	3639.7	3372.43	0.79	2032.85	2777.33	1794.29	1991.0
SYF2	1583.71	1304.15	1467.37	1745.2	0.51	1175.27	1417.35	1037.29	1208.34
TECR	3564.78	5555.65	24832.5	5219.6	0.58	2520.38	1250.98	2224.63	3103.19
TIMM10	2956.17	1950.0	1331.57	2739.08	0.4	866.07	420.68	361.04	974.5
TMEM126A	1037.29	1540.37	366.09	1781.89	0.4	860.08	353.59	295.11	679.29
TMEM126B	1135.2	1059.11	211.31	1313.23	361.04	775.05	674.59	507.46	1030.12
TMEM216	532.74	412.0	309.83	941.27	0.03	189.02	105.15	120.1	309.83
TMEM258	6250.56	7382.04	3443.31	9945.68	0.93	3639.7	2468.49	2976.74	3794.3
TRMT112	6745.86	10585.95	7230.1	14765.09	444.72	4152.18	3081.75	2956.17	3982.99
TRPT1	785.88	1119.56	1697.45	1008.9	0.66	435.55	376.41	389.72	629.35
TSR3	1498.22	2664.15	1135.2	2061.24	0.34	988.12	358.54	507.46	1127.35
TUBA4A	2004.85	9088.59	42641.37	17437.64	0.87	2004.85	3639.7	2835.7	1313.23
TXNDC17	4419.52	10512.82	20451.65	14765.09	0.43	1733.13	713.11	466.88	2075.59
UBE2S	2855.44	4575.41	3467.27	7695.57	1.03	884.29	406.31	264.03	454.09
UQCC2	1769.57	5555.65	1857.6	6426.31	0.52	890.44	551.56	567.1	1369.04
UQCRB	10959.3	9215.48	4972.34	14262.1	1.03	5594.3	7642.41	4066.71	5076.84
USMG5	7537.18	9474.59	8718.32	8247.98	1.06	5112.16	3467.27	2178.83	4512.4
VIL1	35.76	39.79	50.63	64.34	0.53	15.8	29.06	14.78	9.48
WDR12	830.75	947.83	514.56	1250.98	44.89	231.32	149.12	164.42	497.0
