	TCGA.BH.A0BO.01A.23R.A12D.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.E2.A1BD.01A.11R.A12P.07	TCGA.A8.A09G.01A.21R.A00Z.07	TCGA.D8.A27P.01A.11R.A16F.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AC.A3W5.01A.11R.A22K.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.A7.A0DB.01A.11R.A00Z.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.B6.A0WZ.01A.11R.A109.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.A7.A0DB.01A.11R.A277.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.A7.A0CG.01A.12R.A056.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.131YS.0626.SM.5EGKL	GTEX.TMMY.0726.SM.33HBE	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.13NYC.2626.SM.5K7VN
CHM	231.32	115.16	155.5	199.85	291.04	212.78	242.88	156.59	267.73	187.71	141.02	92.05	273.37	224.97	198.47	299.25	454.09	64.34	281.09	426.57	320.8	358.54	307.69	156.59	503.95	470.14	283.05	54.33	90.14	54.33	42.71	190.34
CNOT6L	320.8	97.36	190.34	194.36	264.03	463.65	423.61	215.77	205.5	291.04	183.82	100.13	267.73	194.36	169.07	438.59	381.68	102.25	583.07	825.0	547.75	466.88	389.72	283.05	638.15	733.19	187.71	61.25	55.89	54.33	59.13	287.01
CNOT7	1059.11	591.22	954.43	1313.23	1508.65	1191.69	1268.46	480.04	909.17	947.83	555.41	748.61	1191.69	1001.93	1151.06	1030.12	1467.37	463.65	2119.22	2148.82	1477.58	2193.99	1757.34	1096.5	1551.09	1950.0	1331.57	470.14	312.0	228.13	457.25	669.92
CTNND1	2645.74	1322.37	1662.49	1508.65	2895.31	3190.46	2537.92	1709.26	2193.99	2434.5	1286.18	1977.24	1896.65	1721.16	1832.01	2758.13	2148.82	1662.49	3257.52	4419.52	3614.55	3614.55	3589.58	3564.78	2895.31	5366.37	2224.63	775.05	769.69	819.3	1044.52	1583.71
DCP1A	329.84	62.12	114.36	153.34	178.77	293.07	251.48	144.01	141.02	186.4	136.19	106.63	289.02	123.5	150.17	277.2	301.33	93.35	287.01	536.45	353.59	480.04	460.44	244.57	563.18	253.23	190.34	62.12	40.93	45.21	48.52	165.57
DENND6A	279.14	108.9	181.28	262.2	269.6	351.14	318.57	149.12	214.27	293.07	186.4	166.73	299.25	170.25	150.17	262.2	633.73	98.73	279.14	698.41	341.51	532.74	417.77	249.73	599.49	429.54	277.2	82.87	69.52	61.68	48.52	226.54
DIS3	607.87	68.55	307.69	267.73	289.02	432.53	392.44	224.97	281.09	441.64	220.32	215.77	303.44	314.17	246.28	450.94	540.19	90.14	457.25	802.41	483.38	941.27	656.11	420.68	941.27	457.25	281.09	50.98	53.57	108.9	89.51	348.71
DNAJC24	165.57	39.5	102.97	97.36	194.36	229.72	170.25	81.71	101.54	195.72	103.69	102.25	116.78	133.36	127.89	166.73	295.11	37.32	183.82	281.09	198.47	301.33	199.85	193.01	301.33	194.36	260.38	20.11	51.71	74.06	22.26	117.6
EIF4E3	435.55	152.28	162.14	239.52	115.97	500.46	389.72	169.07	221.86	384.34	155.5	297.17	473.41	242.88	392.44	379.04	457.25	126.12	432.53	633.73	483.38	521.76	463.65	441.64	1199.98	656.11	366.09	111.21	26.67	3.89	69.52	312.0
ETV3	486.75	161.02	141.02	273.37	438.59	591.22	624.99	193.01	323.03	444.72	275.28	237.86	336.79	191.67	127.89	514.56	603.67	275.28	463.65	521.76	497.0	842.36	603.67	277.2	595.34	656.11	217.27	70.51	41.52	64.34	39.22	397.93
FAM188A	412.0	92.7	363.56	279.14	343.89	432.53	392.44	567.1	395.18	490.14	316.37	228.13	356.05	301.33	329.84	450.94	587.13	156.59	454.09	688.78	503.95	703.28	713.11	384.34	713.11	1104.13	299.25	120.94	119.26	158.79	137.14	283.05
FAM35A	466.88	346.29	420.68	403.5	769.69	511.0	483.38	244.57	457.25	406.31	353.59	125.24	493.56	490.14	269.6	493.56	743.43	117.6	624.99	660.68	599.49	733.19	595.34	543.96	954.43	1104.13	507.46	75.64	275.28	348.71	224.97	144.01
FBXO3	723.08	251.48	289.02	387.02	579.04	813.63	780.44	361.04	567.1	647.07	303.44	387.02	536.45	389.72	450.94	624.99	698.41	209.84	713.11	1191.69	934.76	1111.82	1096.5	638.15	1407.55	1183.45	1037.29	162.14	269.6	343.89	397.93	679.29
FNDC3A	669.92	85.22	212.78	309.83	420.68	674.59	607.87	291.04	379.04	612.11	251.48	170.25	423.61	466.88	256.78	629.35	1088.92	63.0	642.59	1037.29	890.44	1208.34	1030.12	540.19	928.3	1044.52	343.89	51.35	84.63	151.22	146.03	136.19
FZD3	70.51	83.45	61.25	103.69	103.69	117.6	75.11	45.53	48.87	102.25	21.32	110.43	68.07	77.25	17.13	100.83	130.6	44.89	109.66	217.27	155.5	198.47	120.94	95.34	133.36	162.14	106.63	24.11	15.91	4.58	6.62	17.9
GNAQ	703.28	162.14	150.17	406.31	403.5	836.53	339.14	236.21	291.04	435.55	351.14	234.57	633.73	409.15	616.37	599.49	769.69	124.37	473.41	1331.57	866.07	947.83	1037.29	669.92	1030.12	1259.69	503.95	124.37	71.5	96.68	100.83	291.04
GTF3C3	318.57	215.77	187.71	287.01	271.48	403.5	400.71	435.55	246.28	275.28	201.25	157.68	312.0	412.0	366.09	414.87	642.59	173.85	387.02	738.29	480.04	842.36	733.19	450.94	708.18	511.0	264.03	117.6	185.11	123.5	81.14	341.51
IPO8	529.06	181.28	301.33	289.02	316.37	583.07	587.13	258.57	299.25	412.0	368.65	279.14	420.68	343.89	248.0	543.96	607.87	208.38	579.04	769.69	651.58	656.11	723.08	400.71	866.07	679.29	395.18	165.57	181.28	134.3	187.71	312.0
KIAA1430	656.11	100.13	242.88	253.23	197.09	759.08	511.0	291.04	325.29	460.44	301.33	141.02	400.71	417.77	198.47	607.87	688.78	84.04	612.11	1268.46	769.69	808.0	961.07	373.81	1015.93	1909.85	363.56	50.98	75.64	40.93	63.89	348.71
LIG4	178.77	19.97	84.63	119.26	76.71	139.07	117.6	40.93	116.78	271.48	111.21	41.52	88.26	80.57	64.34	122.64	175.07	20.41	104.42	297.17	136.19	305.55	291.04	78.34	151.22	153.34	136.19	13.22	28.24	44.89	14.56	109.66
LIN7C	267.73	85.22	116.78	162.14	332.14	291.04	262.2	150.17	175.07	206.94	145.02	201.25	185.11	157.68	166.73	237.86	587.13	77.79	358.54	493.56	320.8	497.0	291.04	190.34	438.59	264.03	209.84	41.81	185.11	165.57	136.19	221.86
LINS	343.89	123.5	142.01	159.9	305.55	255.0	293.07	134.3	309.83	417.77	212.78	125.24	148.09	343.89	236.21	267.73	392.44	157.68	318.57	642.59	318.57	348.71	297.17	194.36	346.29	246.28	256.78	67.12	84.63	88.88	51.71	162.14
LRRC57	303.44	171.45	214.27	170.25	353.59	329.84	314.17	269.6	264.03	281.09	293.07	138.1	228.13	262.2	208.38	312.0	423.61	185.11	309.83	460.44	368.65	392.44	417.77	269.6	450.94	507.46	392.44	100.83	129.69	106.63	59.55	212.78
MANEA	133.36	21.16	54.72	109.66	214.27	162.14	177.53	105.89	88.88	202.66	90.77	26.67	152.28	121.79	87.03	176.29	341.51	19.97	221.86	403.5	237.86	204.07	175.07	90.77	264.03	279.14	234.57	20.11	49.21	67.12	34.02	67.59
MAP3K7	429.54	106.63	191.67	299.25	363.56	450.94	412.0	389.72	273.37	476.71	285.03	120.94	368.65	406.31	389.72	454.09	559.28	169.07	414.87	688.78	518.15	698.41	612.11	368.65	775.05	532.74	275.28	101.54	111.99	111.21	64.34	334.46
MIB1	351.14	67.12	137.14	154.42	281.09	454.09	325.29	237.86	194.36	271.48	186.4	66.65	373.81	237.86	163.28	432.53	1008.9	55.1	358.54	674.59	493.56	660.68	612.11	244.57	616.37	470.14	189.02	18.29	49.56	60.82	46.18	143.01
MIS12	329.84	182.55	182.55	312.0	237.86	343.89	366.09	271.48	267.73	277.2	232.94	242.88	312.0	303.44	132.44	244.57	414.87	110.43	283.05	567.1	371.22	551.56	629.35	320.8	444.72	476.71	381.68	67.12	108.14	93.35	78.89	285.03
MRE11A	209.84	105.15	149.12	217.27	339.14	273.37	301.33	122.64	166.73	267.73	197.09	121.79	237.86	202.66	138.1	287.01	429.54	67.59	351.14	775.05	366.09	532.74	332.14	197.09	529.06	444.72	384.34	25.17	37.85	43.94	26.1	150.17
MSANTD4	186.4	58.71	93.35	74.58	175.07	137.14	137.14	94.67	65.26	158.79	97.36	75.11	195.72	140.04	86.43	249.73	309.83	39.22	185.11	232.94	229.72	287.01	271.48	165.57	466.88	500.46	157.68	39.22	20.11	47.5	34.51	159.9
MUCL1	506427.83	36.27	2216726.5	550352.86	794671.01	307450.64	919186.72	828417.36	593956.43	1273174.62	524287.0	1255646.43	900270.11	668235.84	985160.01	434801.29	411347.03	112.77	554180.87	26614.89	253213.41	294926.33	292889.12	887875.81	11992.79	492579.5	1299926.74	0.0	53.19	0.0	9.2	9635979.21
N4BP2	72.01	19.11	30.56	25.17	54.72	86.43	63.0	35.0	37.32	76.17	49.56	20.11	35.25	38.67	30.12	94.67	187.71	18.56	100.83	211.31	121.79	211.31	204.07	100.13	129.69	146.03	52.82	3.29	12.55	14.35	10.39	32.59
NEBL	571.05	212.78	314.17	366.09	698.41	896.64	1259.69	599.49	503.95	575.03	197.09	175.07	503.95	316.37	316.37	616.37	860.08	249.73	836.53	1519.15	1216.75	1001.93	748.61	674.59	890.44	1216.75	753.83	3.69	2.41	0.0	9.41	255.0
NEK7	612.11	180.02	214.27	476.71	540.19	603.67	669.92	395.18	450.94	693.58	438.59	264.03	547.75	518.15	186.4	764.36	1397.83	84.04	819.3	995.0	708.18	1151.06	842.36	651.58	1427.22	1857.6	679.29	109.66	102.25	260.38	91.41	521.76
NPAT	169.07	48.18	100.13	98.73	205.5	193.01	131.51	82.87	127.0	194.36	98.04	84.04	118.43	108.9	136.19	205.5	309.83	42.71	221.86	384.34	229.72	277.2	289.02	156.59	423.61	283.05	76.71	9.2	32.82	36.53	12.64	139.07
NPTN	2835.7	1487.87	2468.49	1277.29	3982.99	3419.52	2090.03	2004.85	2075.59	2997.45	1757.34	1135.2	2104.58	3372.43	1519.15	2835.7	2682.69	1508.65	3874.05	3190.46	3515.68	2664.15	4328.55	2645.74	3039.3	4038.61	4239.45	1417.35	476.71	1397.83	785.88	1388.16
NUP153	743.43	136.19	175.07	249.73	536.45	500.46	500.46	339.14	303.44	457.25	318.57	170.25	339.14	305.55	209.84	493.56	616.37	121.79	514.56	1088.92	559.28	848.22	579.04	417.77	981.29	1015.93	332.14	131.51	103.69	208.38	144.01	426.57
PAFAH1B2	1119.56	368.65	579.04	753.83	1088.92	1073.91	693.58	563.18	660.68	830.75	444.72	813.63	1119.56	836.53	860.08	890.44	1529.73	395.18	1286.18	1313.23	1359.57	1051.79	1073.91	473.41	1508.65	1388.16	665.29	341.51	381.68	297.17	265.87	536.45
PJA2	1322.37	351.14	567.1	748.61	1242.34	1369.04	1572.76	679.29	884.29	1159.07	764.36	371.22	1388.16	1044.52	543.96	1519.15	2451.44	314.17	1477.58	2627.46	1794.29	2287.2	1844.76	1143.1	2485.67	4123.49	1350.18	366.09	381.68	679.29	476.71	688.78
PRPF4B	848.22	283.05	332.14	366.09	769.69	884.29	854.13	432.53	633.73	791.35	540.19	438.59	543.96	444.72	373.81	753.83	854.13	239.52	775.05	1594.73	1023.0	1151.06	1127.35	1066.48	1540.37	825.0	480.04	59.97	287.01	379.04	85.22	595.34
PTER	289.02	99.43	199.85	190.34	195.72	409.15	438.59	204.07	249.73	204.07	111.21	191.67	249.73	246.28	217.27	255.0	417.77	63.45	423.61	444.72	412.0	480.04	599.49	264.03	275.28	995.0	162.14	70.01	48.18	162.14	76.71	77.79
PUM2	1044.52	253.23	591.22	848.22	1051.79	1427.22	1135.2	669.92	733.19	1331.57	607.87	490.14	988.12	713.11	836.53	1008.9	1685.71	376.41	1447.15	2193.99	1594.73	1832.01	1745.2	954.43	2004.85	1662.49	878.17	275.28	299.25	316.37	291.04	825.0
PURB	400.71	181.28	223.41	253.23	323.03	395.18	327.56	612.11	161.02	379.04	269.6	138.1	368.65	283.05	303.44	332.14	563.18	156.59	392.44	854.13	486.75	660.68	507.46	353.59	633.73	353.59	236.21	46.5	96.68	89.51	37.32	194.36
RAPGEF2	612.11	82.29	265.87	189.02	249.73	363.56	379.04	217.27	181.28	379.04	301.33	86.43	199.85	412.0	90.14	688.78	629.35	75.11	417.77	1015.93	802.41	854.13	764.36	400.71	1111.82	438.59	312.0	162.14	137.14	142.01	242.88	158.79
RBL2	642.59	351.14	460.44	351.14	551.56	642.59	836.53	738.29	872.1	796.86	412.0	264.03	346.29	587.13	403.5	728.11	796.86	320.8	688.78	1639.59	1583.71	1572.76	896.64	612.11	3372.43	1794.29	775.05	148.09	173.85	414.87	249.73	358.54
RBM7	848.22	132.44	376.41	223.41	708.18	540.19	392.44	423.61	281.09	473.41	258.57	587.13	454.09	379.04	195.72	599.49	500.46	155.5	780.44	1096.5	708.18	928.3	591.22	490.14	825.0	1216.75	417.77	95.34	258.57	157.68	212.78	406.31
RFK	441.64	117.6	124.37	224.97	353.59	279.14	264.03	373.81	201.25	244.57	223.41	202.66	387.02	244.57	158.79	316.37	395.18	109.66	384.34	490.14	429.54	376.41	348.71	175.07	450.94	665.29	486.75	152.28	148.09	142.01	187.71	193.01
RICTOR	139.07	40.36	70.01	156.59	140.04	191.67	147.06	115.16	100.83	106.63	67.59	52.08	72.01	94.01	80.57	161.02	295.11	32.59	166.73	480.04	291.04	454.09	265.87	208.38	507.46	412.0	111.21	11.82	41.81	43.94	24.11	100.83
SEC24B	555.41	187.71	258.57	236.21	265.87	543.96	420.68	214.27	275.28	297.17	283.05	220.32	343.89	281.09	251.48	525.39	470.14	131.51	483.38	988.12	620.67	860.08	620.67	438.59	1081.39	941.27	289.02	88.26	119.26	112.77	198.47	346.29
SERAC1	82.29	89.51	72.52	85.82	125.24	141.02	140.04	121.79	95.34	119.26	91.41	26.86	94.01	150.17	114.36	93.35	183.82	36.27	111.21	165.57	158.79	176.29	135.24	129.69	215.77	239.52	139.07	74.58	19.68	18.56	32.13	62.56
SLMAP	759.08	251.48	429.54	486.75	738.29	830.75	1023.0	429.54	483.38	1096.5	387.02	305.55	733.19	555.41	536.45	813.63	1639.59	312.0	674.59	1662.49	775.05	1369.04	947.83	1008.9	1015.93	2224.63	1037.29	98.73	95.34	175.07	87.65	595.34
SMC3	591.22	493.56	363.56	591.22	764.36	769.69	651.58	511.0	441.64	571.05	460.44	281.09	497.0	616.37	450.94	642.59	688.78	295.11	825.0	1259.69	961.07	1259.69	1340.84	684.02	1427.22	1167.14	559.28	47.17	131.51	193.01	73.54	435.55
SNX19	665.29	351.14	547.75	283.05	669.92	860.08	447.82	514.56	466.88	759.08	303.44	409.15	579.04	457.25	595.34	808.0	813.63	224.97	748.61	703.28	753.83	555.41	1498.22	457.25	1233.75	780.44	587.13	231.32	226.54	236.21	237.86	414.87
SOS2	361.04	156.59	281.09	260.38	384.34	466.88	400.71	262.2	209.84	444.72	264.03	178.77	356.05	323.03	264.03	463.65	674.59	112.77	447.82	890.44	563.18	651.58	638.15	285.03	1081.39	483.38	441.64	114.36	82.87	85.82	63.45	353.59
SPG20	1277.29	154.42	363.56	703.28	170.25	780.44	921.88	389.72	743.43	638.15	417.77	208.38	813.63	647.07	507.46	981.29	1167.14	241.19	599.49	1806.78	1242.34	1594.73	1397.83	607.87	4802.93	2976.74	559.28	285.03	237.86	10.31	144.01	679.29
SWAP70	1674.06	208.38	651.58	551.56	954.43	785.88	738.29	432.53	620.67	819.3	567.1	400.71	603.67	656.11	559.28	1216.75	791.35	273.37	1233.75	1199.98	915.51	836.53	802.41	665.29	1167.14	1781.89	607.87	358.54	89.51	90.77	63.89	447.82
SYNJ2	336.79	277.2	100.13	169.07	205.5	341.51	358.54	271.48	269.6	155.5	120.94	43.63	186.4	287.01	166.73	277.2	262.2	68.55	285.03	444.72	368.65	336.79	283.05	269.6	305.55	384.34	237.86	63.45	19.68	28.65	52.08	193.01
TBC1D15	872.1	346.29	454.09	476.71	612.11	759.08	860.08	579.04	583.07	620.67	525.39	514.56	599.49	595.34	486.75	860.08	785.88	283.05	848.22	1709.26	981.29	1159.07	836.53	769.69	1304.15	1781.89	620.67	137.14	293.07	218.79	180.02	848.22
THAP9	52.82	28.24	45.53	63.0	61.25	78.89	67.59	28.86	46.18	63.89	50.63	36.01	54.72	50.98	35.76	59.55	98.73	26.47	73.03	178.77	93.35	176.29	112.77	87.03	122.64	81.14	72.01	6.62	31.67	28.04	11.55	40.93
TMEM30A	1844.76	346.29	688.78	813.63	1407.55	2004.85	1781.89	1594.73	947.83	1322.37	796.86	438.59	1745.2	1551.09	974.5	1628.26	2875.3	312.0	2004.85	2209.26	1950.0	1467.37	2451.44	967.76	2502.97	3614.55	1540.37	579.04	232.94	336.79	642.59	642.59
TRAF6	202.66	49.21	85.22	73.54	211.31	199.85	147.06	88.88	77.79	128.79	79.45	108.14	120.1	113.56	97.36	173.85	195.72	74.06	178.77	314.17	211.31	281.09	237.86	239.52	256.78	281.09	191.67	69.03	58.3	45.53	60.82	145.02
UBE4A	435.55	91.41	279.14	172.65	669.92	555.41	264.03	215.77	241.19	363.56	149.12	232.94	312.0	271.48	303.44	473.41	638.15	98.73	507.46	830.75	567.1	769.69	785.88	371.22	890.44	447.82	234.57	69.03	143.01	155.5	163.28	220.32
UBXN7	146.03	63.45	96.68	143.01	197.09	242.88	191.67	115.16	96.68	249.73	110.43	83.45	182.55	156.59	97.36	269.6	341.51	84.63	241.19	490.14	305.55	389.72	486.75	193.01	503.95	193.01	131.51	53.95	22.26	40.07	39.22	149.12
ULK2	206.94	82.87	106.63	153.34	127.0	312.0	224.97	94.67	229.72	165.57	115.16	63.0	115.16	201.25	63.89	226.54	236.21	178.77	120.94	457.25	334.46	543.96	651.58	191.67	389.72	131.51	127.89	95.34	2.46	41.22	48.52	182.55
USP22	1870.53	1081.39	1233.75	1427.22	1794.29	3564.78	2502.97	1096.5	1208.34	2163.77	1359.57	1044.52	1561.89	1127.35	579.04	2434.5	2209.26	1023.0	1883.54	2591.27	3235.01	5329.3	3540.14	2271.4	3716.2	1781.89	1617.0	1572.76	351.14	373.81	406.31	2047.0
USP8	638.15	271.48	387.02	358.54	660.68	693.58	563.18	392.44	473.41	441.64	316.37	287.01	486.75	507.46	363.56	651.58	796.86	208.38	703.28	981.29	878.17	1286.18	928.3	669.92	1066.48	1467.37	400.71	57.89	285.03	283.05	105.15	511.0
WAC	1757.34	575.03	1104.13	1151.06	1896.65	1963.57	1721.16	1498.22	1191.69	1628.26	1111.82	1268.46	1286.18	1167.14	1059.11	1769.57	1216.75	713.11	2004.85	3491.39	2193.99	2591.27	2351.53	1950.0	3060.45	3257.52	1322.37	420.68	323.03	543.96	343.89	1183.45
WDR82	1359.57	511.0	954.43	872.1	1437.15	1286.18	1191.69	656.11	854.13	1216.75	842.36	802.41	1313.23	988.12	693.58	1447.15	1457.23	743.43	1674.06	1909.85	1498.22	1617.0	1950.0	1208.34	1794.29	1617.0	995.0	674.59	236.21	312.0	299.25	1427.22
ZBTB38	961.07	94.67	253.23	301.33	400.71	830.75	665.29	397.93	334.46	633.73	384.34	108.9	543.96	633.73	241.19	995.0	1628.26	105.89	723.08	1529.73	1143.1	1477.58	1378.57	620.67	1709.26	1508.65	703.28	100.13	47.84	201.25	92.7	281.09
ZFR	1044.52	368.65	493.56	764.36	854.13	954.43	854.13	599.49	660.68	941.27	583.07	579.04	775.05	708.18	603.67	1023.0	1519.15	186.4	1051.79	1819.35	1277.29	1781.89	1551.09	1096.5	1639.59	1832.01	723.08	124.37	323.03	343.89	148.09	559.28
ZFX	366.09	186.4	147.06	199.85	277.2	414.87	356.05	152.28	191.67	251.48	172.65	101.54	348.71	267.73	133.36	420.68	890.44	76.71	384.34	759.08	532.74	595.34	748.61	305.55	674.59	358.54	234.57	27.44	62.56	35.0	29.48	206.94
ZHX1	543.96	199.85	289.02	279.14	532.74	708.18	423.61	297.17	351.14	460.44	289.02	199.85	412.0	301.33	246.28	567.1	733.19	151.22	497.0	981.29	718.08	896.64	854.13	366.09	738.29	1508.65	575.03	67.59	325.29	403.5	169.07	490.14
ZHX2	638.15	152.28	201.25	403.5	444.72	454.09	503.95	299.25	463.65	571.05	312.0	204.07	373.81	255.0	199.85	457.25	305.55	217.27	406.31	607.87	540.19	684.02	638.15	529.06	780.44	532.74	258.57	262.2	258.57	255.0	209.84	289.02
ZNF143	454.09	186.4	189.02	307.69	320.8	444.72	318.57	281.09	234.57	371.22	221.86	287.01	323.03	251.48	289.02	341.51	432.53	138.1	395.18	583.07	470.14	470.14	361.04	441.64	603.67	490.14	316.37	87.65	107.38	178.77	62.56	303.44
ZNF24	808.0	242.88	287.01	507.46	633.73	1096.5	884.29	353.59	603.67	447.82	387.02	229.72	612.11	500.46	423.61	665.29	1044.52	187.71	693.58	1313.23	1023.0	1781.89	1467.37	624.99	1583.71	1208.34	607.87	70.01	189.02	178.77	148.09	305.55
ZNF286A	303.44	77.25	83.45	234.57	142.01	271.48	224.97	138.1	145.02	244.57	195.72	182.55	262.2	209.84	78.34	255.0	476.71	88.88	202.66	332.14	414.87	348.71	371.22	237.86	363.56	642.59	208.38	36.53	44.57	28.65	16.88	176.29
ZNF322	351.14	61.68	98.73	125.24	279.14	412.0	260.38	153.34	152.28	303.44	154.42	81.14	231.32	220.32	127.89	314.17	483.38	26.47	358.54	444.72	435.55	417.77	460.44	271.48	587.13	432.53	194.36	30.12	30.78	63.45	26.86	111.99
