	TCGA.GI.A2C8.11A.22R.A16F.07	GTEX.11OF3.2326.SM.5GU73	GTEX.WEY5.0926.SM.4LMI4	TCGA.CQ.6222.01A.11R.1915.07	TCGA.DQ.5625.01A.01R.1873.07	TCGA.CV.5442.01A.01R.1514.07	TCGA.WA.A7GZ.11A.11R.A34R.07	TCGA.H7.A6C4.11A.21R.A466.07	TCGA.CV.7091.11A.01R.2016.07	TCGA.CV.6959.11A.01R.1915.07	TCGA.CV.6939.11A.01R.1915.07	GTEX.13NYC.2626.SM.5K7VN	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.CD.A489.01A.11R.A24K.31	GTEX.XBEW.1826.SM.4RTWX	GTEX.145MO.2226.SM.5Q5BN
MAFA	172.65	2.01	0.34	66.18	16.63	2.89	88.88	88.88	124.37	24.81	165.57	109.66	70.01	275.28	3.2	1.43	2.39	1.1
MB	517068.97	165.57	77.79	85283.74	28328.16	5.5	237899.7	271387.49	294926.33	66912.05	273275.14	345900.08	517068.97	4817989.11	57.49	19.97	97.36	25.72
MUM1L1	312.0	7.22	0.8	43.02	25.72	0.0	111.21	139.07	198.47	42.71	224.97	166.73	111.99	316.37	3.23	4.35	21.01	8.99
MURC	3794.3	7.51	1.85	483.38	341.51	2.23	1191.69	2148.82	2400.97	567.1	2997.45	693.58	490.14	4704.07	6.62	12.27	5.82	11.04
MYADML2	1268.46	6.67	2.34	127.89	142.01	0.31	285.03	291.04	743.43	127.89	591.22	400.71	63.0	11035.54	1.41	1.27	1.41	0.73
MYBPC1	218912.29	76.17	59.55	15285.81	5076.84	0.0	37121.34	37639.55	80683.28	15607.02	38430.46	290865.98	195931.88	938500.81	16.15	0.0	40.93	1.57
MYBPH	2193.99	0.77	1.53	4388.98	1697.45	0.0	1508.65	6652.97	1963.57	423.61	7485.11	5872.48	72715.74	10959.3	0.59	0.0	0.0	0.0
MYF5	94.67	0.0	0.0	31.45	9.41	0.0	20.26	30.56	108.9	18.7	137.14	147.06	71.5	253.23	0.0	0.0	0.0	0.0
MYF6	7433.4	2.68	2.34	1909.85	429.54	0.0	1757.34	6164.49	5403.7	1259.69	3515.68	8421.31	8538.88	12676.65	4.21	0.0	1.6	0.0
MYH1	7331.05	12.36	5.36	733.19	271.48	0.0	4671.57	2193.99	1923.14	463.65	15180.22	3847.29	4543.8	836.53	1.68	1.5	6.16	0.61
MYH2	294926.33	10.55	2.48	29531.18	12076.21	0.0	107203.06	75280.1	205673.01	38966.94	190574.09	186652.11	119776.72	118949.35	7.75	1.2	4.78	3.32
MYH7	425853.18	29.06	5.92	20593.91	6381.92	0.0	51417.5	53973.86	80125.95	14461.21	36610.26	85876.94	57051.4	1890058.21	1.83	0.0	8.19	3.11
MYH8	242.88	0.0	0.4	90.14	25.17	0.0	175.07	205.5	480.04	38.12	503.95	305.55	406.31	12764.83	1.62	0.0	0.0	1.58
MYL1	828417.36	26.86	13.42	50359.33	25179.16	0.0	102125.66	133825.1	198667.0	34876.28	208544.12	800198.39	269512.87	1255646.43	0.0	0.0	6.26	1.43
MYL3	77934.88	93.35	51.71	5711.87	1857.6	0.0	14561.8	8840.04	12589.08	4802.93	8658.09	6652.97	1857.6	869603.57	32.36	20.71	31.67	80.01
MYL6B	23009.42	2434.5	728.11	4010.71	1378.57	514.56	13215.02	15934.98	14065.74	4575.41	5292.48	4769.75	10959.3	26248.46	947.83	808.0	995.0	830.75
MYLK2	8134.41	40.93	3.92	995.0	309.83	3.06	967.76	1268.46	2119.22	199.85	1467.37	688.78	616.37	2875.3	3.47	8.78	5.92	8.45
MYLK3	507.46	1.6	2.01	264.03	91.41	1.51	1388.16	808.0	2018.8	220.32	1757.34	220.32	896.64	764.36	11.55	2.32	6.52	0.0
MYO18B	3124.78	4.03	5.68	616.37	251.48	0.96	890.44	1233.75	2163.77	423.61	2255.7	1572.76	2485.67	2004.85	9.48	20.26	27.64	1.99
MYOD1	660.68	0.0	0.0	84.63	30.34	0.0	75.11	128.79	249.73	52.82	518.15	45.85	249.73	145.02	0.0	0.0	0.92	0.0
MYOG	1674.06	1.0	0.0	896.64	231.32	0.0	718.08	2816.11	1950.0	273.37	2148.82	607.87	23009.42	5441.3	1.95	2.07	0.0	0.0
MYOM1	17558.94	147.06	205.5	2047.0	642.59	7.0	6164.49	4095.0	10512.82	1923.14	7911.95	13399.51	1950.0	56657.31	220.32	229.72	117.6	93.35
MYOM3	4328.55	2.05	8.06	1819.35	460.44	90.77	3690.52	2287.2	4903.87	1216.75	3901.01	5076.84	1096.5	9025.81	9.27	87.65	14.24	0.26
MYOT	44145.15	444.72	148.09	3614.55	1477.58	0.0	11035.54	10808.41	15824.9	3146.52	13872.08	13492.72	4769.75	221968.2	91.41	111.21	176.29	273.37
MYOZ1	70727.3	16.03	47.5	7180.15	3515.68	0.27	21172.91	30999.42	46662.28	8134.41	36357.37	57051.4	33688.23	57448.23	20.71	11.73	39.22	6.84
MYOZ2	4575.41	43.94	6.16	665.29	543.96	0.0	1159.07	1427.22	2816.11	693.58	825.0	1769.57	1551.09	45701.96	35.0	6.78	13.12	8.0
MYOZ3	3235.01	51.71	3.86	890.44	403.5	0.54	2209.26	2303.12	3847.29	647.07	1923.14	3349.13	848.22	11035.54	15.34	47.84	11.21	8.38
MYPN	4481.23	6.16	14.67	733.19	209.84	0.0	1359.57	1883.54	2468.49	529.06	2956.17	1044.52	3303.0	2119.22	1.07	0.25	3.72	1.58
NEB	109455.64	80.01	61.68	27363.16	6607.01	16.75	45701.96	38966.94	94628.34	16611.71	64186.29	78476.96	77934.88	130165.62	74.58	115.16	84.04	1.11
NMRK2	4937.99	19.39	34.02	780.44	1208.34	0.0	3235.01	1030.12	2591.27	583.07	4972.34	1721.16	547.75	21026.65	5.45	0.0	15.91	14.14
NRAP	52863.07	9.85	3.26	6699.25	1963.57	0.0	10368.08	11504.21	31215.04	5711.87	15715.58	46986.85	14461.21	106462.55	0.0	0.87	6.73	0.82
PADI2	10440.2	52.45	19.11	2609.3	902.89	8.92	4358.66	5147.73	8901.53	3235.01	8963.45	5147.73	15392.14	5594.3	22.59	69.03	38.12	114.36
PDE4DIP	57448.23	2855.44	2502.97	11584.24	5517.27	197.09	21026.65	25708.25	40341.14	9215.48	28132.47	18178.19	9945.68	52497.92	2047.0	1159.07	2047.0	2178.83
PEBP4	11909.94	36.53	47.5	988.12	403.5	0.0	4095.0	1651.0	3742.05	896.64	5751.61	1143.1	454.09	7589.61	241.19	35.76	97.36	77.25
PFKM	21026.65	1259.69	878.17	3716.2	1540.37	248.0	14065.74	14867.79	21026.65	3820.7	23492.92	5329.3	7280.4	7749.1	753.83	738.29	860.08	728.11
PGAM2	48643.87	130.6	7.57	7081.29	3325.99	0.0	22072.07	15715.58	26800.01	5076.84	29943.43	36357.37	7130.55	136637.07	8.45	5.36	55.1	14.24
PHKG1	3794.3	28.24	14.56	890.44	291.04	6.26	2271.4	1572.76	3955.48	693.58	2163.77	3540.14	258.57	6745.86	135.24	220.32	10.39	51.71
PKIA	19348.38	134.3	123.5	1605.83	902.89	5.36	3820.7	4328.55	8901.53	1721.16	4937.99	12676.65	8421.31	26431.04	161.02	73.03	111.99	180.02
PPAPDC3	2537.92	318.57	45.53	454.09	231.32	0.78	1250.98	947.83	2351.53	320.8	1844.76	759.08	514.56	5183.54	105.89	96.68	117.6	132.44
PPP1R1A	14163.58	2271.4	45.53	1896.65	647.07	0.0	3820.7	6079.61	9808.75	1769.57	4671.57	3018.3	3124.78	11584.24	551.56	38.12	1088.92	1477.58
PPP1R3A	4903.87	0.65	0.0	106.63	126.12	0.0	819.3	493.56	1437.15	205.5	1844.76	183.82	363.56	1674.06	0.0	0.0	0.27	0.0
PRKAG3	536.45	0.0	2.41	132.44	38.4	0.31	150.17	532.74	447.82	86.43	214.27	466.88	327.56	470.14	0.0	0.0	0.0	1.91
PYGM	120609.84	514.56	195.72	10296.45	4152.18	0.64	39785.74	28923.41	70238.75	11664.82	59474.18	23492.92	15392.14	65990.84	353.59	205.5	361.04	242.88
RAB9B	183.82	103.69	66.18	33.06	14.35	0.0	75.11	69.52	126.12	30.78	92.7	59.13	70.01	237.86	127.0	103.69	105.15	117.6
RAPSN	1216.75	0.92	5.41	212.78	96.01	0.77	532.74	674.59	842.36	193.01	759.08	785.88	1208.34	1242.34	12.55	7.75	4.24	1.36
RBFOX1	1191.69	7.82	6.94	191.67	71.5	0.0	547.75	660.68	848.22	151.22	796.86	575.03	660.68	1059.11	3.29	0.0	7.22	12.36
RBM24	6607.01	234.57	94.67	633.73	214.27	0.0	1519.15	1936.53	1674.06	348.71	2351.53	1745.2	3768.09	9279.58	105.89	208.38	83.45	110.43
RP11-362K2.2	24.99	0.0	0.0	15.56	15.0	0.0	97.36	237.86	172.65	66.65	45.21	128.79	57.49	241.19	0.0	0.0	0.0	0.0
RP11-766F14.2	1175.27	0.0	0.53	100.83	51.35	0.0	194.36	255.0	909.17	88.26	684.02	387.02	277.2	547.75	0.66	1.5	1.43	0.0
RPL3L	11267.44	6.36	2.58	1457.23	688.78	2.58	4388.98	4512.4	7695.57	1208.34	6079.61	2133.97	1233.75	3443.31	3.44	1.14	6.73	1.17
RTN2	9025.81	299.25	181.28	1896.65	651.58	209.84	3303.0	4639.29	6471.02	1378.57	7280.4	1135.2	3419.52	4802.93	435.55	525.39	376.41	417.77
S100A1	47974.16	236.21	98.73	12244.81	4450.27	42.71	16157.44	43236.64	70727.3	10368.08	32540.65	11584.24	14065.74	35118.87	244.57	146.03	341.51	277.2
SBK2	3.72	0.0	0.0	103.69	11.73	0.0	842.36	161.02	212.78	16.63	234.57	5.45	7.46	143.01	0.0	0.0	0.0	0.0
SCN4A	1883.54	2.25	4.39	229.72	79.45	0.0	616.37	532.74	1208.34	279.14	1268.46	1313.23	529.06	813.63	12.45	5.5	15.68	13.32
SGCG	2417.67	267.73	8.25	616.37	285.03	0.0	1250.98	1427.22	2537.92	679.29	1745.2	2319.15	1225.22	7857.29	3.17	9.34	37.05	34.51
SH3BGR	8305.36	954.43	432.53	1477.58	607.87	34.02	3349.13	5329.3	7280.4	1268.46	3847.29	4152.18	2609.3	3768.09	738.29	493.56	463.65	348.71
SLC8A3	325.29	5.15	6.52	89.51	24.28	0.0	136.19	211.31	348.71	48.52	150.17	273.37	236.21	164.42	13.72	4.66	5.41	6.46
SLN	140478.49	53.95	16.39	25530.66	11909.94	0.0	26067.14	41475.31	69753.56	12329.98	29736.59	226632.25	37639.55	365622.68	2.27	0.0	23.42	3.47
SMCO1	4152.18	0.0	0.74	180.02	109.66	1.07	796.86	444.72	1225.22	129.69	579.04	417.77	22.75	3768.09	0.0	0.0	0.64	0.0
SMPX	21320.18	743.43	202.66	5672.41	3794.3	0.0	9409.14	13123.73	13492.72	3257.52	10959.3	42937.97	18819.27	447025.24	603.67	387.02	457.25	248.0
SMTNL1	7695.57	2.76	6.21	2627.46	642.59	0.0	3982.99	2119.22	5672.41	878.17	2485.67	6207.38	309.83	20593.91	25.54	14.03	6.89	0.27
SMTNL2	2485.67	34.02	84.63	2209.26	204.07	0.0	2224.63	2075.59	5594.3	1359.57	3039.3	3081.75	518.15	1936.53	4.28	11.38	22.1	89.51
SMYD1	7485.11	346.29	2.68	633.73	316.37	0.0	2701.35	2591.27	4298.64	764.36	4358.66	3303.0	1340.84	8022.41	514.56	607.87	297.17	139.07
SRL	8598.28	26.86	28.45	1378.57	486.75	0.0	4181.07	3614.55	5995.9	1286.18	5954.47	5366.37	4671.57	7857.29	19.53	15.91	37.85	6.57
SRPK3	2400.97	674.59	34.02	555.41	275.28	5.96	1233.75	1397.83	2178.83	339.14	1388.16	1883.54	2047.0	3982.99	128.79	159.9	120.94	127.89
STAC3	24832.5	34.26	35.76	10512.82	2627.46	8.38	20881.4	29327.18	28525.2	6561.36	23009.42	20030.74	22850.48	48643.87	90.77	45.53	27.64	25.72
SYPL2	5633.22	180.02	65.72	503.95	226.54	0.79	1870.53	2163.77	2997.45	503.95	3018.3	1088.92	1721.16	2573.36	124.37	85.82	122.64	100.83
TBX15	2335.28	2.34	3.03	665.29	265.87	1.87	1498.22	1467.37	2271.4	379.04	1950.0	521.76	1199.98	1216.75	19.11	5.19	3.86	1.31
TCAP	152662.96	128.79	21.78	52863.07	16960.78	6.89	112532.89	106462.55	154794.07	30361.44	87681.42	331809.5	31870.96	2141216.62	47.84	32.82	44.25	19.39
TMEM233	450.94	2.14	8.92	39.5	40.93	0.0	162.14	214.27	275.28	34.02	323.03	40.07	205.5	59.97	21.01	18.97	7.17	10.39
TMEM52	4607.24	103.69	55.1	624.99	339.14	87.03	2209.26	2956.17	5112.16	896.64	4639.29	4937.99	543.96	12764.83	205.5	18.7	109.66	107.38
TMOD4	14561.8	17.77	18.43	1909.85	825.0	4.62	4769.75	5954.47	8363.13	1388.16	5292.48	5751.61	3847.29	14461.21	17.64	12.36	10.31	10.47
TNNC2	279017.26	134.3	62.12	38966.94	14461.21	5.41	69271.73	122293.5	204252.32	42346.82	159145.95	649962.87	119776.72	136637.07	36.79	130.6	148.09	49.56
TNNI1	189257.69	44.89	16.27	32994.92	10014.87	7.28	45386.27	43537.38	60723.88	13681.08	21468.49	76330.98	127486.83	1290947.48	7.57	25.54	29.27	9.63
TNNI2	207103.59	48.87	164.42	46339.95	15934.98	21.47	102836.01	116501.39	190574.09	41475.31	201440.3	253213.41	170568.48	184082.4	144.01	31.22	94.67	41.81
TNNT1	207103.59	85.22	84.04	79022.82	19482.97	403.5	147462.67	189257.69	170568.48	40062.48	89523.81	35118.87	74243.68	254974.66	258.57	38.12	63.89	7.82
TNNT3	189257.69	231.32	44.89	31650.8	16843.62	48.87	86474.27	129266.49	195931.88	40621.74	202841.44	531605.79	558035.51	185362.8	46.5	9.2	66.65	13.12
TRDN	19214.73	5.06	0.79	2573.36	1015.93	0.0	4671.57	5517.27	13215.02	2319.15	10225.32	11504.21	13586.57	10440.2	29.27	0.74	4.43	0.26
