	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.AZ.4323.01A.21R.1839.07	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.JY.A6FA.01A.11R.A336.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.LN.A49K.01A.11R.A24K.31	TCGA.L5.A8NG.01A.11R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.L5.A8NN.01A.11R.A37I.31	TCGA.R6.A6KZ.01A.11R.A31P.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.52.7809.01A.21R.2125.07	TCGA.NK.A5D1.01A.11R.A26W.07	TCGA.AF.2687.01A.02R.1736.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	GTEX.ZYY3.1726.SM.5EGH3
C17orf75	255.0	368.65	358.54	314.17	279.14	291.04	420.68	373.81	239.52	251.48	529.06	503.95	426.57	186.4	142.01	0.0	0.15	921.88	1457.23	480.04	204.07	198.47	84.04	273.37	297.17	287.01	95.34	111.21
C1orf112	69.52	191.67	441.64	356.05	146.03	223.41	258.57	214.27	90.77	181.28	329.84	285.03	400.71	92.05	31.22	0.0	0.38	490.14	289.02	197.09	103.69	66.18	36.79	92.7	59.97	50.27	41.22	20.41
C2orf44	59.55	239.52	258.57	239.52	95.34	80.57	127.89	77.79	76.17	63.89	125.24	271.48	224.97	71.5	27.25	0.0	0.0	371.22	215.77	226.54	55.49	23.76	63.0	44.89	43.94	33.3	28.65	21.94
C5orf24	228.13	473.41	836.53	624.99	366.09	457.25	460.44	366.09	353.59	376.41	551.56	599.49	759.08	318.57	194.36	318.57	95.34	457.25	457.25	490.14	563.18	287.01	237.86	323.03	204.07	251.48	275.28	194.36
C7orf26	129.69	909.17	753.83	1286.18	529.06	532.74	571.05	583.07	358.54	703.28	802.41	915.51	616.37	563.18	159.9	0.0	0.54	1051.79	603.67	698.41	217.27	231.32	293.07	387.02	281.09	389.72	339.14	172.65
CBLL1	139.07	392.44	507.46	384.34	339.14	642.59	551.56	392.44	190.34	228.13	921.88	447.82	507.46	283.05	128.79	0.0	0.38	633.73	291.04	395.18	358.54	244.57	291.04	339.14	167.9	166.73	256.78	102.25
CCDC132	175.07	226.54	381.68	389.72	297.17	414.87	297.17	368.65	314.17	262.2	251.48	303.44	303.44	251.48	169.07	0.0	0.0	318.57	215.77	273.37	223.41	205.5	185.11	346.29	145.02	244.57	217.27	67.12
CCDC59	536.45	1340.84	1119.56	947.83	698.41	1037.29	1127.35	896.64	536.45	780.44	1119.56	775.05	1540.37	476.71	497.0	0.0	0.61	1268.46	1662.49	1477.58	1447.15	884.29	890.44	624.99	543.96	629.35	934.76	320.8
CHCHD7	713.11	1250.98	529.06	902.89	591.22	860.08	896.64	764.36	507.46	665.29	665.29	1015.93	1104.13	497.0	441.64	0.0	0.65	928.3	1977.24	1437.15	890.44	283.05	262.2	371.22	239.52	368.65	368.65	486.75
CIAO1	896.64	1844.76	1268.46	1628.26	1015.93	878.17	1135.2	1088.92	884.29	1051.79	1896.65	1745.2	1225.22	802.41	633.73	0.0	0.82	2384.37	1286.18	1369.04	890.44	854.13	961.07	872.1	819.3	684.02	483.38	476.71
CIR1	759.08	1088.92	830.75	493.56	543.96	743.43	808.0	848.22	591.22	493.56	688.78	909.17	988.12	450.94	620.67	536.45	432.53	769.69	872.1	825.0	753.83	571.05	226.54	651.58	500.46	460.44	708.18	303.44
COA5	334.46	1104.13	1135.2	1359.57	521.76	563.18	995.0	884.29	595.34	579.04	974.5	1447.15	753.83	529.06	253.23	0.0	0.56	1437.15	1417.35	1135.2	718.08	246.28	239.52	327.56	251.48	343.89	358.54	251.48
CORT	10.24	22.1	10.08	22.1	3.72	12.64	20.26	24.63	12.0	12.0	9.27	19.39	41.22	13.62	3.0	0.0	0.16	10.79	37.59	10.71	0.64	2.01	0.16	2.01	5.41	1.1	1.27	10.16
CRNN	971597.0	0.0	97965.44	469249.9	2171106.91	1221310.69	21.63	24.46	2805836.45	951601.81	5.06	0.0	3820.7	4107985.47	854.13	0.0	0.0	1.71	0.0	0.0	3336720.86	4851500.88	894051.48	834179.46	6183532.28	4558095.38	5534416.31	20.56
CTDSPL2	137.14	297.17	423.61	327.56	205.5	309.83	351.14	312.0	159.9	201.25	279.14	264.03	397.93	149.12	82.87	194.36	163.28	684.02	547.75	194.36	167.9	165.57	90.77	142.01	156.59	176.29	114.36	217.27
DBR1	88.26	303.44	265.87	551.56	197.09	220.32	336.79	371.22	183.82	212.78	363.56	348.71	403.5	129.69	107.38	0.0	0.0	559.28	426.57	289.02	193.01	100.83	72.01	205.5	138.1	161.02	95.34	98.04
DDX20	73.54	173.85	299.25	237.86	159.9	223.41	187.71	208.38	119.26	127.0	305.55	265.87	406.31	126.12	55.89	0.0	0.3	198.47	226.54	205.5	111.21	55.49	111.21	97.36	93.35	98.04	68.07	47.17
DISC1	20.71	102.97	49.91	32.82	25.91	30.78	81.71	36.27	21.63	21.47	60.82	68.07	43.94	18.56	6.52	0.0	0.33	75.11	27.84	37.59	10.08	10.96	10.63	11.04	7.34	4.03	3.47	13.83
DPH2	128.79	1369.04	599.49	915.51	607.87	603.67	633.73	708.18	409.15	579.04	860.08	1127.35	813.63	457.25	199.85	0.0	0.31	1167.14	490.14	708.18	392.44	255.0	679.29	376.41	271.48	275.28	241.19	214.27
DUS4L	115.16	136.19	198.47	187.71	109.66	244.57	267.73	229.72	115.16	108.9	202.66	199.85	158.79	80.57	38.4	0.0	0.28	361.04	229.72	271.48	108.9	77.25	46.5	143.01	82.29	115.16	96.68	37.59
EIF2AK4	251.48	633.73	642.59	536.45	353.59	493.56	647.07	583.07	332.14	295.11	466.88	457.25	703.28	295.11	497.0	0.0	0.31	698.41	738.29	583.07	536.45	327.56	327.56	392.44	236.21	363.56	258.57	141.02
EIF2B1	432.53	1561.89	1023.0	1059.11	1015.93	1191.69	934.76	830.75	954.43	890.44	1685.71	1685.71	1216.75	842.36	507.46	0.0	0.36	1313.23	902.89	974.5	802.41	1088.92	624.99	753.83	647.07	669.92	599.49	334.46
EWSR1	2720.15	5366.37	5555.65	4095.0	4769.75	4671.57	5112.16	4937.99	3372.43	4239.45	5076.84	5711.87	6079.61	3168.41	2777.33	3639.7	2240.11	6745.86	4639.29	5112.16	2018.8	4298.64	2163.77	3639.7	4358.66	2645.74	2875.3	2739.08
FAM185A	76.17	81.14	153.34	167.9	132.44	177.53	173.85	124.37	100.83	87.03	143.01	100.13	186.4	125.24	53.57	0.0	0.3	143.01	134.3	129.69	62.12	120.94	90.14	75.11	72.52	54.72	97.36	75.64
FAM192A	1651.0	2835.7	2061.24	1794.29	1769.57	2075.59	2240.11	2335.28	1883.54	1662.49	2047.0	2351.53	1697.45	1437.15	961.07	1733.13	961.07	2061.24	2875.3	2384.37	1111.82	1286.18	599.49	1175.27	1059.11	1175.27	1594.73	1286.18
FAM206A	358.54	423.61	525.39	438.59	356.05	525.39	366.09	309.83	320.8	376.41	476.71	493.56	283.05	293.07	289.02	0.0	0.21	954.43	624.99	460.44	412.0	397.93	229.72	363.56	228.13	287.01	229.72	164.42
FBXO4	255.0	260.38	237.86	161.02	164.42	339.14	215.77	343.89	148.09	144.01	226.54	293.07	264.03	120.94	89.51	0.0	0.38	392.44	242.88	209.84	221.86	111.21	58.71	104.42	125.24	105.15	125.24	74.06
FUS	3491.39	11584.24	13399.51	5076.84	4152.18	5441.3	9876.98	8134.41	3491.39	4268.94	8247.98	10733.74	7803.01	2178.83	3419.52	5791.62	1832.01	8840.04	14867.79	9945.68	1427.22	3303.0	2119.22	2835.7	2915.45	2032.85	2502.97	2090.03
GLMN	111.21	249.73	371.22	303.44	253.23	423.61	241.19	285.03	264.03	269.6	275.28	351.14	403.5	205.5	221.86	0.0	0.55	262.2	432.53	277.2	119.26	241.19	127.89	115.97	206.94	105.89	262.2	56.68
GPR89A	169.07	412.0	493.56	329.84	297.17	348.71	336.79	384.34	183.82	264.03	400.71	624.99	511.0	209.84	209.84	0.0	0.45	525.39	493.56	483.38	237.86	111.99	141.02	141.02	156.59	199.85	187.71	217.27
GTPBP10	305.55	287.01	409.15	529.06	320.8	616.37	381.68	454.09	269.6	318.57	351.14	371.22	387.02	236.21	223.41	0.0	0.47	728.11	395.18	457.25	412.0	251.48	127.0	182.55	205.5	181.28	493.56	129.69
HNRNPD	5872.48	10084.54	9409.14	4972.34	4388.98	6079.61	6079.61	4328.55	3690.52	4543.8	8305.36	7180.15	6121.9	2777.33	2645.74	0.0	1.3	8778.97	10733.74	7032.37	2895.31	4903.87	2335.28	3280.18	3303.0	2682.69	3491.39	4181.07
JMJD4	204.07	403.5	693.58	387.02	273.37	214.27	450.94	264.03	199.85	289.02	463.65	260.38	346.29	220.32	173.85	0.0	0.0	543.96	376.41	271.48	293.07	141.02	275.28	283.05	265.87	279.14	144.01	68.55
KBTBD6	102.25	182.55	143.01	95.34	60.82	110.43	66.65	77.79	48.18	37.05	63.0	76.71	178.77	45.85	23.76	0.0	0.0	91.41	87.65	171.45	80.01	40.93	58.3	40.64	26.1	34.51	38.4	31.45
KCNJ14	25.54	84.04	52.82	157.68	36.53	45.53	63.89	82.87	21.16	47.17	34.51	169.07	41.22	28.86	5.11	0.0	0.29	50.63	14.03	29.06	0.48	11.55	14.24	14.24	15.56	7.28	18.97	11.04
KIAA1731	57.89	224.97	363.56	253.23	138.1	198.47	536.45	341.51	127.89	149.12	312.0	262.2	256.78	110.43	60.39	0.0	0.57	412.0	169.07	214.27	49.56	51.35	31.9	87.03	77.79	57.49	47.17	22.75
LBX2	1.16	59.13	32.82	61.68	4.03	7.51	28.65	28.24	3.44	15.11	118.43	96.01	8.38	0.0	6.31	0.0	0.3	46.5	97.36	40.36	1.97	0.17	0.61	2.32	0.03	1.0	0.79	12.45
LIPT1	86.43	226.54	336.79	224.97	99.43	100.13	127.0	205.5	102.97	103.69	159.9	264.03	193.01	76.17	35.5	0.0	0.0	309.83	183.82	180.02	114.36	84.63	43.94	75.64	55.49	73.03	59.13	68.55
LRRC69	3.29	81.14	29.91	31.22	24.63	43.94	40.07	73.03	14.67	17.25	31.67	98.73	78.89	18.7	14.14	0.0	0.51	13.03	88.26	74.06	1.08	5.06	1.48	4.03	4.9	2.94	0.44	16.27
LSM11	17.77	70.51	133.36	155.5	62.12	65.26	124.37	80.57	29.91	35.25	115.97	173.85	107.38	26.28	15.8	0.0	0.21	80.01	64.34	119.26	14.24	16.03	13.22	27.25	19.68	15.34	13.32	26.1
MAP3K7	191.67	575.03	595.34	1001.93	336.79	466.88	444.72	463.65	325.29	287.01	473.41	466.88	466.88	255.0	307.69	209.84	94.67	473.41	511.0	603.67	214.27	232.94	358.54	211.31	231.32	190.34	198.47	153.34
MARCH8	100.83	483.38	197.09	511.0	293.07	249.73	289.02	409.15	237.86	221.86	325.29	353.59	295.11	246.28	127.89	0.0	0.39	273.37	237.86	202.66	154.42	241.19	81.14	226.54	163.28	202.66	66.18	187.71
MARCH9	571.05	842.36	426.57	500.46	314.17	279.14	547.75	466.88	255.0	353.59	878.17	896.64	514.56	293.07	395.18	0.0	0.72	473.41	743.43	438.59	87.65	112.77	318.57	172.65	127.89	123.5	232.94	116.78
MED10	343.89	1540.37	1135.2	1322.37	878.17	1286.18	1216.75	1277.29	819.3	1059.11	738.29	1151.06	1096.5	603.67	647.07	928.3	429.54	1963.57	1277.29	1023.0	1008.9	607.87	346.29	579.04	1159.07	417.77	1066.48	688.78
METTL21B	77.25	151.22	158.79	135.24	81.71	104.42	151.22	132.44	79.45	85.22	165.57	138.1	218.79	73.03	44.89	0.0	0.36	149.12	177.53	277.2	68.55	43.94	32.82	71.0	62.12	55.89	46.5	40.07
MGC4294	0.0	27.64	7.22	1.6	1.97	5.41	0.95	2.89	0.0	3.41	4.66	3.59	5.68	0.0	0.0	0.0	0.16	15.45	18.29	26.67	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0
MIS12	205.5	457.25	406.31	507.46	221.86	236.21	249.73	346.29	193.01	267.73	381.68	429.54	361.04	190.34	124.37	0.0	0.27	651.58	339.14	447.82	297.17	204.07	215.77	194.36	183.82	152.28	162.14	130.6
MOGS	457.25	1340.84	1551.09	1437.15	759.08	571.05	1104.13	808.0	587.13	974.5	1286.18	1498.22	1175.27	579.04	665.29	0.0	0.89	1350.18	1583.71	1561.89	295.11	395.18	450.94	521.76	476.71	476.71	397.93	967.76
MSL2	126.12	397.93	309.83	587.13	277.2	314.17	329.84	336.79	234.57	195.72	232.94	260.38	447.82	241.19	94.67	244.57	169.07	507.46	441.64	289.02	202.66	74.58	96.01	241.19	127.89	131.51	127.89	121.79
MTERFD1	242.88	450.94	547.75	454.09	363.56	579.04	693.58	595.34	309.83	447.82	587.13	547.75	607.87	241.19	189.02	0.0	0.13	454.09	532.74	791.35	450.94	106.63	444.72	187.71	176.29	212.78	239.52	97.36
MTHFD2L	132.44	279.14	275.28	381.68	153.34	186.4	211.31	158.79	144.01	156.59	253.23	242.88	283.05	151.22	178.77	0.0	0.4	291.04	223.41	262.2	83.45	41.52	113.56	132.44	65.72	73.03	73.03	180.02
MYBBP1A	457.25	1769.57	1191.69	1806.78	1286.18	1167.14	1427.22	1225.22	961.07	1313.23	1259.69	1350.18	1208.34	947.83	567.1	0.0	0.55	1519.15	954.43	2032.85	327.56	759.08	1359.57	808.0	791.35	642.59	409.15	262.2
NCAPD3	389.72	363.56	423.61	607.87	279.14	267.73	397.93	551.56	211.31	262.2	480.04	358.54	532.74	226.54	84.04	0.0	0.75	540.19	376.41	414.87	70.01	417.77	218.79	226.54	113.56	176.29	135.24	133.36
NDUFAF7	113.56	463.65	379.04	301.33	249.73	209.84	420.68	316.37	151.22	226.54	351.14	679.29	279.14	130.6	120.94	0.0	0.52	633.73	341.51	665.29	149.12	108.14	120.94	126.12	75.11	101.54	104.42	156.59
NFYB	368.65	1143.1	1437.15	884.29	312.0	575.03	1437.15	836.53	329.84	493.56	733.19	909.17	1167.14	327.56	229.72	0.0	0.35	1208.34	1151.06	2193.99	361.04	214.27	211.31	295.11	208.38	231.32	267.73	228.13
NHLRC1	21.16	37.85	92.05	145.02	33.06	90.77	92.7	74.58	43.94	49.91	157.68	134.3	84.04	27.44	35.0	0.0	0.0	258.57	170.25	28.04	98.73	7.06	18.29	55.1	37.85	57.89	13.12	2.36
NOL11	583.07	813.63	1001.93	1407.55	665.29	967.76	988.12	679.29	607.87	896.64	1427.22	1651.0	1388.16	476.71	387.02	0.0	0.16	1044.52	1268.46	1066.48	974.5	665.29	954.43	688.78	872.1	511.0	854.13	178.77
NOM1	127.89	414.87	438.59	447.82	224.97	248.0	384.34	384.34	182.55	271.48	327.56	277.2	521.76	189.02	103.69	0.0	0.68	318.57	307.69	429.54	53.19	164.42	316.37	180.02	135.24	115.16	80.57	79.45
NUDCD1	115.16	406.31	299.25	420.68	220.32	406.31	366.09	457.25	143.01	236.21	466.88	503.95	466.88	113.56	92.7	0.0	0.45	493.56	400.71	595.34	314.17	108.14	426.57	187.71	105.15	128.79	138.1	47.5
NUDT17	40.07	144.01	100.83	33.3	72.52	89.51	97.36	120.94	65.26	54.72	376.41	220.32	92.7	36.01	18.97	0.0	0.33	165.57	143.01	97.36	37.32	33.54	14.78	43.02	28.24	27.44	18.84	23.76
NUP107	283.05	718.08	785.88	796.86	612.11	753.83	842.36	836.53	351.14	432.53	1135.2	915.51	1073.91	253.23	176.29	0.0	0.65	1111.82	941.27	902.89	167.9	231.32	130.6	209.84	215.77	224.97	178.77	68.55
NUP133	265.87	703.28	836.53	529.06	447.82	651.58	713.11	612.11	417.77	423.61	575.03	1044.52	723.08	384.34	221.86	0.0	0.56	848.22	764.36	532.74	406.31	341.51	269.6	376.41	316.37	312.0	353.59	75.64
NUP160	242.88	518.15	703.28	395.18	400.71	473.41	563.18	587.13	312.0	346.29	733.19	579.04	693.58	293.07	144.01	0.0	0.73	967.76	473.41	660.68	246.28	277.2	232.94	229.72	136.19	185.11	148.09	156.59
NUP54	426.57	703.28	1088.92	1467.37	503.95	733.19	642.59	571.05	536.45	551.56	902.89	785.88	703.28	486.75	332.14	0.0	0.77	708.18	813.63	802.41	599.49	277.2	444.72	363.56	406.31	262.2	387.02	218.79
ORC4	665.29	642.59	981.29	947.83	500.46	660.68	872.1	780.44	500.46	435.55	748.61	860.08	915.51	447.82	384.34	0.0	0.41	1467.37	896.64	961.07	423.61	473.41	567.1	555.41	679.29	450.94	587.13	351.14
ORC5	253.23	332.14	409.15	373.81	327.56	511.0	638.15	438.59	303.44	314.17	392.44	346.29	435.55	241.19	181.28	0.0	0.03	651.58	366.09	543.96	441.64	180.02	189.02	239.52	275.28	234.57	371.22	62.56
PDCL	293.07	260.38	228.13	295.11	177.53	221.86	312.0	224.97	173.85	198.47	194.36	239.52	191.67	153.34	147.06	0.0	0.18	414.87	397.93	258.57	255.0	187.71	152.28	201.25	191.67	218.79	152.28	99.43
PGRMC1	2502.97	2537.92	2119.22	2835.7	1304.15	2090.03	2502.97	2303.12	1096.5	1225.22	3039.3	1977.24	3325.99	1111.82	896.64	0.0	0.74	3742.05	3257.52	2956.17	1870.53	988.12	1191.69	1277.29	738.29	909.17	1199.98	1991.0
PMS2	100.83	205.5	403.5	406.31	187.71	275.28	295.11	231.32	164.42	147.06	189.02	260.38	251.48	130.6	81.14	0.0	0.06	323.03	220.32	178.77	142.01	119.26	59.13	98.04	153.34	144.01	98.73	38.12
POLR2B	698.41	1529.73	1977.24	2573.36	941.27	1104.13	1151.06	1199.98	1001.93	1066.48	1806.78	1199.98	1001.93	842.36	616.37	0.0	1.07	1651.0	1242.34	1151.06	595.34	890.44	718.08	753.83	941.27	830.75	738.29	397.93
POP5	518.15	1529.73	1015.93	1313.23	884.29	1242.34	1066.48	1216.75	819.3	1605.83	2384.37	2720.15	1331.57	764.36	381.68	0.0	0.04	1208.34	1617.0	1295.13	638.15	575.03	651.58	713.11	507.46	796.86	483.38	529.06
PPIL4	212.78	480.04	551.56	381.68	305.55	426.57	366.09	426.57	253.23	301.33	397.93	435.55	483.38	236.21	173.85	0.0	0.49	540.19	607.87	684.02	255.0	201.25	277.2	285.03	190.34	197.09	258.57	212.78
PPP2R5D	346.29	780.44	848.22	1111.82	825.0	674.59	954.43	1286.18	775.05	713.11	825.0	878.17	902.89	665.29	463.65	0.0	0.68	591.22	988.12	1015.93	518.15	507.46	361.04	612.11	591.22	521.76	470.14	325.29
PRDM11	28.45	144.01	212.78	429.54	271.48	279.14	258.57	190.34	126.12	114.36	198.47	194.36	236.21	135.24	57.49	0.0	0.41	392.44	93.35	212.78	43.02	46.18	49.91	64.8	115.97	71.5	64.8	68.07
PRPF31	466.88	2061.24	1844.76	1277.29	1378.57	1583.71	1183.45	1427.22	967.76	1216.75	2075.59	2018.8	1883.54	1044.52	759.08	0.0	0.82	1023.0	1304.15	1088.92	825.0	1008.9	738.29	1143.1	769.69	995.0	638.15	260.38
PSPC1	363.56	1111.82	981.29	830.75	575.03	728.11	791.35	728.11	555.41	599.49	825.0	791.35	780.44	551.56	473.41	0.0	0.72	764.36	775.05	813.63	466.88	420.68	343.89	642.59	825.0	575.03	647.07	185.11
RAB40AL	0.0	5.54	2.61	5.23	2.23	3.5	8.51	13.93	0.0	0.0	6.73	13.83	10.63	0.0	0.0	0.0	0.0	5.82	6.21	6.31	0.42	1.87	0.0	0.0	0.0	0.0	0.21	0.0
RAB41	1.79	8.51	16.39	22.92	3.86	2.43	4.24	7.34	2.73	3.47	4.74	18.7	21.78	5.54	0.99	0.0	0.0	4.46	4.78	4.17	3.14	2.76	2.2	3.14	2.66	2.2	2.39	4.62
RBAK	78.34	173.85	249.73	291.04	143.01	176.29	202.66	170.25	167.9	131.51	150.17	202.66	211.31	134.3	98.73	0.0	0.54	215.77	151.22	149.12	175.07	113.56	75.64	129.69	114.36	135.24	129.69	50.63
RBM45	189.02	255.0	309.83	157.68	182.55	251.48	297.17	265.87	163.28	175.07	221.86	327.56	371.22	120.1	135.24	0.0	0.0	199.85	309.83	236.21	146.03	98.73	104.42	159.9	205.5	112.77	124.37	74.58
RFXAP	10.31	195.72	102.97	73.54	48.87	53.19	100.83	103.69	32.36	40.64	92.7	115.16	63.45	29.06	19.68	0.0	0.32	186.4	132.44	137.14	30.56	15.34	11.82	26.47	18.97	28.04	21.94	18.97
RNF216	112.77	808.0	961.07	1023.0	387.02	463.65	759.08	620.67	201.25	387.02	633.73	733.19	647.07	297.17	149.12	234.57	151.22	511.0	454.09	563.18	198.47	182.55	217.27	206.94	215.77	146.03	124.37	159.9
RNF219	36.01	371.22	228.13	130.6	138.1	181.28	166.73	199.85	97.36	109.66	214.27	253.23	164.42	84.04	43.02	0.0	0.16	514.56	119.26	332.14	191.67	75.11	66.18	101.54	100.83	81.71	85.22	49.21
RP11-697E2.6	1.45	8.0	8.85	4.66	4.1	4.58	6.73	2.46	5.02	10.08	5.11	5.77	13.72	6.21	7.94	0.0	0.15	4.66	5.36	4.28	2.36	0.0	2.51	0.68	1.11	1.43	0.16	0.66
SAYSD1	87.03	323.03	305.55	361.04	201.25	221.86	273.37	389.72	164.42	177.53	353.59	307.69	262.2	164.42	96.68	0.0	0.27	255.0	587.13	395.18	226.54	209.84	79.45	187.71	159.9	183.82	111.99	94.01
SEPHS1	723.08	1127.35	1030.12	1030.12	791.35	780.44	854.13	1001.93	620.67	684.02	954.43	878.17	830.75	629.35	547.75	0.0	0.74	1313.23	1963.57	1159.07	842.36	567.1	329.84	848.22	532.74	551.56	563.18	571.05
SFPQ	3540.14	9474.59	9740.98	4010.71	3491.39	4802.93	5441.3	5041.77	3372.43	3928.15	4869.99	6887.62	8658.09	3372.43	2384.37	3768.09	3395.89	8134.41	12415.75	6887.62	1628.26	3039.3	2303.12	2895.31	3190.46	2417.67	2796.65	1857.6
SIAH1	232.94	460.44	536.45	397.93	314.17	718.08	595.34	540.19	314.17	314.17	532.74	518.15	808.0	269.6	624.99	0.0	0.59	429.54	780.44	525.39	279.14	176.29	147.06	269.6	204.07	212.78	214.27	395.18
SLC25A13	156.59	295.11	358.54	361.04	397.93	460.44	361.04	429.54	295.11	312.0	679.29	463.65	426.57	246.28	299.25	0.0	0.71	769.69	463.65	642.59	490.14	332.14	205.5	312.0	287.01	312.0	346.29	384.34
SPDYE3	48.52	93.35	105.89	50.98	57.08	84.04	106.63	100.13	49.91	43.63	84.63	102.25	91.41	37.85	24.28	0.0	0.0	141.02	89.51	75.64	30.34	67.59	25.17	50.63	77.79	59.55	41.22	30.78
STARD7	1407.55	2061.24	1757.34	2609.3	1159.07	1111.82	2061.24	1447.15	802.41	1242.34	2240.11	1508.65	1883.54	764.36	665.29	1388.16	105.15	2417.67	1745.2	2351.53	1208.34	684.02	902.89	1594.73	1208.34	1498.22	1359.57	423.61
TAF11	323.03	854.13	733.19	1127.35	674.59	703.28	723.08	813.63	603.67	679.29	988.12	934.76	460.44	507.46	660.68	0.0	0.83	866.07	1233.75	1030.12	599.49	603.67	397.93	473.41	518.15	529.06	559.28	199.85
TAF3	55.49	157.68	82.87	100.13	55.1	152.28	81.71	163.28	50.63	74.06	146.03	127.0	107.38	47.17	43.02	0.0	0.28	109.66	114.36	96.01	85.22	60.82	69.03	65.26	57.08	53.57	70.51	63.45
TBCEL	48.18	181.28	131.51	165.57	83.45	111.99	122.64	94.01	87.65	62.12	167.9	140.04	97.36	85.22	67.59	0.0	0.29	155.5	111.21	248.0	101.54	41.22	34.26	92.05	41.81	65.72	44.89	8.0
