	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.BH.A1F5.01A.12R.A13Q.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.ZF3C.2326.SM.5S2MZ	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.13OVG.1426.SM.5K7VP	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11NUK.2426.SM.5BC4U
TMEM81	22.26	59.55	34.26	72.01	73.54	53.95	57.89	67.12	71.0	35.5	55.1	66.18	30.34	85.82	40.07	70.01	36.53	40.64	62.12	50.27	31.9	28.45	48.18	0.0	0.24	8.85
TPRA1	547.75	412.0	555.41	878.17	941.27	420.68	473.41	607.87	587.13	612.11	503.95	493.56	454.09	647.07	373.81	728.11	392.44	358.54	738.29	665.29	547.75	500.46	409.15	0.0	0.75	191.67
TPRG1L	656.11	616.37	866.07	2090.03	1508.65	1594.73	1594.73	1617.0	1551.09	1477.58	1662.49	1583.71	1242.34	1769.57	1350.18	1832.01	1369.04	1447.15	1191.69	1378.57	1467.37	1073.91	890.44	0.0	0.42	1277.29
TRAPPC3	1250.98	1216.75	1617.0	2520.38	1963.57	1832.01	1639.59	1583.71	1870.53	1487.87	1757.34	1896.65	1583.71	2193.99	1991.0	2148.82	1044.52	1662.49	1781.89	1233.75	1208.34	1159.07	1127.35	0.0	0.71	647.07
TRIP6	420.68	450.94	432.53	1208.34	2061.24	547.75	518.15	866.07	796.86	947.83	718.08	860.08	559.28	575.03	309.83	947.83	738.29	307.69	575.03	518.15	1388.16	1088.92	785.88	0.0	1.14	486.75
UBXN1	277.2	447.82	346.29	5711.87	5041.77	1183.45	1037.29	3303.0	2758.13	3257.52	2997.45	3039.3	674.59	2090.03	3103.19	5751.61	2178.83	2796.65	3742.05	3820.7	3372.43	3146.52	1844.76	0.0	0.97	1709.26
UCK1	173.85	129.69	251.48	1096.5	698.41	575.03	470.14	665.29	703.28	583.07	679.29	743.43	289.02	954.43	490.14	1088.92	435.55	353.59	579.04	607.87	629.35	480.04	301.33	0.0	0.59	115.97
UROD	693.58	836.53	961.07	4066.71	3349.13	2400.97	2163.77	2997.45	2609.3	2319.15	3349.13	2777.33	1487.87	1617.0	2255.7	3018.3	1250.98	2255.7	2997.45	1639.59	1870.53	1388.16	921.88	0.0	0.51	356.05
USF2	1044.52	444.72	961.07	4388.98	5255.91	2720.15	2271.4	4123.49	3257.52	3901.01	4512.4	4239.45	1015.93	5255.91	2163.77	4972.34	2032.85	2855.44	4010.71	3768.09	2287.2	2555.58	1151.06	0.0	1.04	638.15
VPS4A	1088.92	791.35	466.88	2485.67	2018.8	1350.18	1259.69	1870.53	1781.89	1832.01	1896.65	2133.97	860.08	1594.73	1397.83	2915.45	1104.13	1583.71	2119.22	1697.45	1639.59	1447.15	928.3	0.0	0.97	902.89
ZCWPW1	55.89	33.06	54.72	231.32	191.67	131.51	59.13	171.45	195.72	131.51	187.71	180.02	99.43	191.67	157.68	133.36	152.28	70.01	69.03	206.94	65.26	87.03	60.82	0.0	0.37	21.94
ZNF219	55.89	55.1	152.28	1697.45	791.35	503.95	493.56	1001.93	514.56	1001.93	866.07	1127.35	262.2	1540.37	316.37	2018.8	234.57	728.11	1037.29	470.14	457.25	480.04	141.02	0.0	0.92	318.57
ZNF32	947.83	669.92	878.17	1437.15	1540.37	1191.69	1135.2	1175.27	1216.75	967.76	1175.27	1119.56	1191.69	1322.37	1286.18	1331.57	1073.91	713.11	1151.06	961.07	995.0	579.04	612.11	0.0	0.56	226.54
ZNF358	476.71	612.11	854.13	2555.58	2047.0	1457.23	1388.16	1697.45	1250.98	1572.76	1457.23	1322.37	947.83	2875.3	1605.83	3212.66	743.43	1529.73	1757.34	1119.56	1331.57	1225.22	470.14	0.0	0.67	346.29
