	TCGA.E2.A1B1.01A.21R.A12P.07	TCGA.EW.A1IY.01A.11R.A13Q.07	TCGA.AR.A252.01A.11R.A169.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0BW.11A.12R.A115.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.E9.A1N4.11A.33R.A14M.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZZPU.0626.SM.5E43T	GTEX.11P81.1926.SM.5BC53	GTEX.13QIC.2326.SM.5LU5N	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZQUD.0426.SM.57WFR	GTEX.ZVP2.1326.SM.57WCE	GTEX.T6MO.0526.SM.4DM6R	GTEX.ZC5H.1326.SM.5HL7E	GTEX.14E6E.0726.SM.5S2R3	GTEX.ZE9C.1126.SM.4WWBD	GTEX.WRHK.0526.SM.4MVOF	GTEX.R55C.0826.SM.48FCL	GTEX.XOTO.2126.SM.4B64U	GTEX.111CU.0726.SM.5GZYD	GTEX.146FQ.1026.SM.5LU8I	GTEX.11P7K.1326.SM.5BC5G	GTEX.14H4A.1626.SM.5SI69	GTEX.13D11.1926.SM.5IFGB	GTEX.REY6.1326.SM.48FDO	GTEX.11NSD.1126.SM.5N9BQ	GTEX.ZPU1.1426.SM.4WWFU	GTEX.1399R.0826.SM.5IJEL	GTEX.139T6.0626.SM.5IFF9	GTEX.WQUQ.1626.SM.4OOSH	GTEX.S95S.0426.SM.4B64I	GTEX.W5WG.1626.SM.4LMKG	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.11GSP.1826.SM.5N9DQ	GTEX.11P81.0826.SM.5P9GR	GTEX.139YR.1726.SM.5IFFK	GTEX.ZDYS.0826.SM.4WWCR	GTEX.QV44.1126.SM.4R1KO	GTEX.11DXY.1426.SM.5N9CN	GTEX.13FLV.1126.SM.5J2NO	GTEX.XQ3S.1126.SM.4BOPK	GTEX.YEC3.2526.SM.4YCDN	GTEX.VUSG.1226.SM.4KKZF	GTEX.13QBU.1026.SM.5LU3R	GTEX.OXRN.1726.SM.3NM9B	GTEX.P4PQ.0626.SM.3NMCU	GTEX.U3ZH.1026.SM.4DXUZ	GTEX.OIZG.1026.SM.3LK5X	GTEX.XBEW.1326.SM.4AT63	GTEX.X4XY.1726.SM.46MVO	GTEX.14AS3.0626.SM.5QGQD	GTEX.133LE.0626.SM.5IFFJ	GTEX.OIZI.1426.SM.3NB1T	GTEX.1399S.1326.SM.5P9GH	GTEX.12ZZX.1326.SM.5DUWI	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.6962.11A.01R.1915.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.7424.11A.01R.2081.07	TCGA.CV.7103.11A.01R.2016.07	TCGA.HD.8635.11A.01R.2403.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ARHGAP18	387.02	466.88	507.46	339.14	384.34	412.0	339.14	412.0	287.01	320.8	265.87	432.53	514.56	291.04	441.64	540.19	759.08	145.02	97.36	43.94	44.89	34.02	35.5	67.12	74.06	34.26	41.52	40.93	31.22	50.63	23.76	85.82	52.45	16.75	32.59	159.9	76.17	87.03	74.06	170.25	52.45	136.19	94.01	81.71	149.12	166.73	95.34	42.41	172.65	47.84	116.78	229.72	108.9	182.55	113.56	60.82	108.9	66.18	38.67	120.94	87.03	156.59	105.15	43.94	63.89	43.94	131.51	75.64	107.38	45.53	142.01	120.94	70.01	66.65	35.5	54.33	202.66	166.73	72.52	63.0	107.38	109.66	52.45	92.7	122.64	226.54	90.77	135.24	132.44	144.01	194.36	37.32	42.11	144.01	45.85	96.68	40.93
ARMC1	647.07	819.3	674.59	571.05	525.39	603.67	703.28	728.11	656.11	518.15	532.74	543.96	743.43	638.15	642.59	660.68	928.3	236.21	316.37	295.11	361.04	620.67	246.28	395.18	301.33	256.78	423.61	563.18	283.05	356.05	283.05	271.48	423.61	273.37	224.97	339.14	214.27	226.54	215.77	379.04	226.54	329.84	177.53	181.28	332.14	480.04	283.05	260.38	329.84	323.03	309.83	341.51	309.83	305.55	299.25	202.66	283.05	287.01	141.02	341.51	329.84	379.04	291.04	209.84	157.68	226.54	329.84	205.5	277.2	182.55	312.0	373.81	181.28	206.94	157.68	231.32	529.06	387.02	182.55	220.32	403.5	287.01	241.19	397.93	529.06	379.04	356.05	420.68	379.04	334.46	842.36	457.25	301.33	409.15	260.38	273.37	371.22
BAZ1B	902.89	780.44	1096.5	819.3	915.51	819.3	896.64	819.3	780.44	884.29	836.53	872.1	651.58	915.51	995.0	921.88	733.19	373.81	414.87	480.04	409.15	483.38	293.07	764.36	713.11	368.65	854.13	780.44	358.54	403.5	470.14	490.14	764.36	417.77	336.79	518.15	397.93	420.68	339.14	547.75	316.37	412.0	403.5	262.2	547.75	543.96	417.77	432.53	525.39	363.56	497.0	547.75	521.76	480.04	438.59	400.71	406.31	417.77	287.01	567.1	444.72	483.38	529.06	309.83	269.6	312.0	518.15	361.04	444.72	332.14	438.59	490.14	414.87	343.89	291.04	381.68	679.29	503.95	348.71	264.03	555.41	493.56	435.55	483.38	239.52	624.99	529.06	555.41	507.46	432.53	444.72	518.15	381.68	460.44	334.46	400.71	285.03
BLOC1S6	769.69	1208.34	1008.9	825.0	830.75	974.5	848.22	1051.79	928.3	909.17	819.3	723.08	1096.5	988.12	674.59	785.88	961.07	195.72	376.41	273.37	277.2	356.05	208.38	457.25	381.68	234.57	476.71	518.15	287.01	303.44	341.51	379.04	423.61	376.41	221.86	397.93	289.02	255.0	281.09	432.53	262.2	392.44	273.37	325.29	435.55	559.28	289.02	414.87	392.44	368.65	309.83	457.25	309.83	454.09	281.09	214.27	348.71	269.6	221.86	381.68	339.14	532.74	323.03	500.46	426.57	193.01	371.22	293.07	341.51	242.88	339.14	414.87	267.73	241.19	224.97	248.0	579.04	551.56	212.78	518.15	447.82	346.29	329.84	429.54	463.65	387.02	412.0	500.46	314.17	271.48	825.0	363.56	329.84	361.04	312.0	329.84	316.37
C7orf31	93.35	83.45	80.01	112.77	88.88	108.9	53.19	132.44	120.94	121.79	77.25	100.13	134.3	108.9	121.79	105.89	190.34	4.54	83.45	47.5	11.82	4.58	42.11	55.1	48.18	42.71	46.84	46.84	41.22	34.75	26.1	44.89	166.73	21.01	37.32	72.01	35.5	67.59	36.27	59.97	25.72	69.03	28.04	19.25	64.34	72.01	57.08	43.32	80.01	43.94	35.25	80.01	65.26	57.89	34.02	31.9	37.05	50.63	16.88	69.03	43.32	98.73	24.46	14.03	25.54	16.15	42.41	32.59	50.63	25.91	57.08	63.45	44.25	21.47	18.29	24.81	79.45	71.0	22.75	6.62	21.32	49.21	13.72	27.84	22.59	48.52	36.01	34.51	44.57	43.63	42.71	14.89	3.5	42.11	27.84	38.12	14.24
CAND1	2255.7	2335.28	1950.0	1697.45	1519.15	1870.53	8479.89	2400.97	1662.49	1745.2	1540.37	1651.0	2004.85	2758.13	2032.85	2224.63	2075.59	1277.29	1015.93	1331.57	1143.1	1023.0	884.29	1594.73	1242.34	1001.93	1685.71	1540.37	1167.14	1001.93	1259.69	1143.1	1216.75	1023.0	967.76	1286.18	1135.2	896.64	633.73	1963.57	620.67	1119.56	1001.93	551.56	1508.65	1216.75	1322.37	1119.56	1498.22	1059.11	1407.55	1583.71	1104.13	1508.65	738.29	902.89	1208.34	1088.92	447.82	1674.06	1233.75	1407.55	1277.29	854.13	723.08	500.46	1417.35	642.59	1191.69	457.25	1250.98	1268.46	896.64	848.22	361.04	1208.34	1977.24	1388.16	941.27	698.41	1268.46	1073.91	921.88	1295.13	1044.52	1350.18	1378.57	1359.57	1277.29	1066.48	1313.23	1950.0	1628.26	909.17	1407.55	934.76	1143.1
CCDC112	325.29	314.17	318.57	198.47	161.02	224.97	255.0	223.41	214.27	237.86	199.85	271.48	171.45	248.0	236.21	217.27	214.27	119.26	111.99	70.51	54.33	123.5	105.15	195.72	126.12	56.28	98.04	72.01	70.01	94.67	94.01	96.68	72.01	54.33	52.08	146.03	67.12	75.11	104.42	136.19	88.26	113.56	120.94	36.79	118.43	155.5	143.01	80.01	180.02	67.12	75.64	128.79	127.89	147.06	92.05	85.22	74.58	64.34	42.11	125.24	97.36	128.79	111.99	87.65	64.34	65.26	137.14	77.79	139.07	21.63	145.02	94.01	77.25	83.45	52.45	157.68	120.94	159.9	58.3	53.95	104.42	66.65	71.5	85.22	75.11	85.22	75.11	107.38	69.52	91.41	88.88	50.63	37.85	106.63	63.45	65.72	47.17
CCDC25	902.89	909.17	1015.93	890.44	718.08	909.17	947.83	915.51	743.43	1151.06	896.64	941.27	1081.39	698.41	1208.34	1369.04	825.0	525.39	363.56	339.14	358.54	620.67	258.57	387.02	253.23	309.83	543.96	327.56	318.57	363.56	384.34	314.17	291.04	571.05	316.37	698.41	503.95	529.06	305.55	753.83	251.48	633.73	373.81	283.05	660.68	748.61	647.07	791.35	769.69	616.37	579.04	796.86	503.95	967.76	454.09	353.59	620.67	476.71	334.46	796.86	567.1	1015.93	400.71	351.14	316.37	339.14	825.0	381.68	559.28	267.73	638.15	480.04	295.11	476.71	178.77	432.53	1023.0	884.29	400.71	616.37	684.02	536.45	389.72	603.67	567.1	612.11	651.58	679.29	587.13	647.07	1199.98	651.58	301.33	647.07	450.94	429.54	688.78
CDC40	454.09	423.61	476.71	483.38	435.55	540.19	460.44	571.05	435.55	497.0	432.53	457.25	457.25	647.07	497.0	571.05	559.28	190.34	267.73	182.55	167.9	155.5	130.6	277.2	267.73	199.85	242.88	267.73	199.85	173.85	154.42	199.85	142.01	205.5	166.73	295.11	170.25	246.28	185.11	318.57	156.59	366.09	167.9	123.5	293.07	329.84	285.03	242.88	406.31	221.86	299.25	336.79	206.94	353.59	214.27	178.77	281.09	226.54	71.0	295.11	255.0	497.0	309.83	182.55	148.09	116.78	356.05	138.1	271.48	130.6	336.79	447.82	194.36	204.07	127.0	190.34	343.89	514.56	189.02	120.94	269.6	229.72	141.02	283.05	285.03	269.6	281.09	293.07	293.07	197.09	368.65	366.09	161.02	279.14	336.79	281.09	371.22
CDC5L	463.65	329.84	417.77	454.09	429.54	473.41	500.46	583.07	429.54	460.44	497.0	540.19	529.06	599.49	587.13	409.15	529.06	249.73	307.69	229.72	239.52	134.3	178.77	273.37	320.8	229.72	248.0	309.83	232.94	231.32	224.97	248.0	255.0	186.4	193.01	269.6	211.31	223.41	135.24	358.54	116.78	277.2	217.27	141.02	264.03	269.6	206.94	249.73	323.03	193.01	239.52	289.02	241.19	279.14	199.85	167.9	232.94	237.86	106.63	297.17	221.86	291.04	279.14	162.14	137.14	112.77	295.11	147.06	239.52	98.04	249.73	299.25	177.53	180.02	84.63	231.32	379.04	325.29	166.73	121.79	299.25	256.78	211.31	314.17	202.66	325.29	318.57	275.28	295.11	283.05	381.68	297.17	265.87	299.25	242.88	220.32	314.17
CNOT7	1259.69	2434.5	2004.85	1477.58	1477.58	1674.06	1806.78	2148.82	1508.65	1721.16	1508.65	1594.73	1950.0	2193.99	1397.83	1819.35	2485.67	813.63	775.05	808.0	866.07	1119.56	780.44	796.86	607.87	854.13	1044.52	819.3	808.0	825.0	947.83	693.58	785.88	791.35	708.18	995.0	775.05	669.92	620.67	1001.93	536.45	934.76	579.04	432.53	884.29	1304.15	808.0	836.53	928.3	743.43	961.07	928.3	693.58	967.76	718.08	595.34	934.76	753.83	420.68	915.51	902.89	1143.1	878.17	674.59	529.06	463.65	915.51	642.59	842.36	376.41	884.29	1037.29	555.41	532.74	392.44	733.19	1159.07	1096.5	500.46	633.73	1088.92	738.29	796.86	954.43	967.76	878.17	954.43	941.27	733.19	791.35	1417.35	660.68	785.88	759.08	612.11	571.05	708.18
COIL	454.09	389.72	387.02	381.68	420.68	389.72	476.71	567.1	343.89	438.59	460.44	500.46	406.31	660.68	395.18	417.77	414.87	231.32	244.57	236.21	231.32	283.05	202.66	237.86	281.09	187.71	283.05	265.87	237.86	237.86	251.48	246.28	244.57	217.27	193.01	307.69	226.54	234.57	236.21	236.21	201.25	307.69	212.78	142.01	283.05	318.57	271.48	260.38	351.14	246.28	260.38	305.55	248.0	251.48	239.52	221.86	273.37	221.86	148.09	303.44	293.07	289.02	314.17	94.67	127.0	186.4	316.37	165.57	228.13	143.01	293.07	381.68	191.67	220.32	115.97	281.09	341.51	314.17	215.77	123.5	265.87	241.19	172.65	287.01	301.33	283.05	291.04	255.0	246.28	242.88	295.11	246.28	167.9	307.69	334.46	183.82	279.14
COPA	3325.99	3820.7	3018.3	2178.83	2133.97	2664.15	3168.41	1896.65	2032.85	2178.83	2018.8	1991.0	1794.29	1923.14	2720.15	2335.28	1794.29	1216.75	1628.26	1359.57	1225.22	988.12	961.07	1407.55	1286.18	1023.0	1340.84	1369.04	1199.98	1199.98	1001.93	1259.69	1167.14	909.17	1015.93	1519.15	1208.34	1277.29	775.05	1487.87	743.43	1199.98	1183.45	1023.0	1417.35	1277.29	1242.34	1551.09	1417.35	1388.16	1651.0	1617.0	1388.16	1529.73	896.64	1088.92	1407.55	1225.22	764.36	1529.73	1467.37	1540.37	1286.18	872.1	1096.5	656.11	1457.23	1096.5	1427.22	629.35	1427.22	1457.23	1023.0	967.76	490.14	1159.07	1551.09	1477.58	1135.2	1119.56	1674.06	1561.89	1096.5	1572.76	1135.2	1685.71	1674.06	1709.26	1594.73	1359.57	1457.23	1295.13	1066.48	1477.58	1175.27	1242.34	854.13
