	TCGA.DK.AA6W.01A.12R.A39I.07	TCGA.LL.A441.01A.11R.A24H.07	TCGA.WD.A7RX.01A.12R.A41I.07	TCGA.AZ.4323.01A.21R.1839.07	TCGA.R6.A6KZ.01A.11R.A31P.31	TCGA.CC.A7IE.01A.21R.A38B.07	TCGA.RG.A7D4.01A.12R.A33R.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.G3.A7M9.01A.23R.A352.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.BC.4072.01B.11R.A155.07	TCGA.CC.A5UC.01A.11R.A28V.07	TCGA.G3.A5SJ.01A.11R.A27V.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.DD.A4ND.01A.11R.A266.07	TCGA.DD.A1EF.01A.11R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.12WSI.0226.SM.5GCNA	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.NC.A5HJ.01A.11R.A26W.07	TCGA.56.8083.01A.11R.2247.07	TCGA.63.A5MW.01A.11R.A26W.07	TCGA.52.7809.01A.21R.2125.07	TCGA.85.A510.01A.11R.A26W.07	TCGA.NK.A5D1.01A.11R.A26W.07	TCGA.43.7656.01A.11R.2125.07	TCGA.AF.2687.01A.02R.1736.07	TCGA.N6.A4VG.01A.31R.A28V.07
BMS1	334.46	214.27	253.23	371.22	371.22	165.57	187.71	177.53	223.41	341.51	189.02	166.73	198.47	305.55	193.01	214.27	166.73	175.07	92.05	68.55	101.54	76.71	136.19	113.56	106.63	107.38	76.17	118.43	96.68	110.43	88.88	90.77	65.26	102.25	75.64	102.25	119.26	98.73	98.04	127.89	98.04	108.14	115.16	105.89	75.11	102.97	136.19	108.14	123.5	49.21	120.94	81.14	301.33	397.93	295.11	279.14	346.29	283.05	414.87	303.44	583.07
CCDC77	397.93	229.72	138.1	466.88	234.57	147.06	187.71	108.9	111.99	351.14	137.14	140.04	201.25	122.64	150.17	191.67	109.66	152.28	37.59	32.36	101.54	68.55	74.06	67.59	61.25	64.34	80.57	119.26	26.86	77.79	38.67	105.89	54.72	44.57	55.1	100.83	94.67	51.71	45.85	85.82	33.78	119.26	85.82	136.19	28.24	33.54	36.79	85.82	94.67	27.44	73.54	34.02	414.87	232.94	540.19	438.59	384.34	397.93	291.04	221.86	660.68
CDK5RAP1	974.5	775.05	698.41	1111.82	1331.57	738.29	1066.48	583.07	1037.29	954.43	995.0	733.19	896.64	708.18	1104.13	961.07	866.07	698.41	356.05	332.14	417.77	563.18	432.53	493.56	389.72	435.55	493.56	563.18	392.44	514.56	409.15	483.38	473.41	384.34	483.38	503.95	490.14	363.56	363.56	555.41	305.55	579.04	486.75	403.5	536.45	497.0	457.25	400.71	450.94	368.65	473.41	463.65	954.43	591.22	961.07	860.08	1340.84	1216.75	620.67	1498.22	1135.2
CEP135	426.57	83.45	57.08	154.42	166.73	21.63	26.28	35.5	54.72	50.63	27.64	44.57	19.68	27.25	35.5	70.51	37.32	39.79	6.84	8.71	9.78	14.03	9.93	14.03	11.91	21.32	11.55	12.45	6.31	13.83	15.22	6.46	6.57	4.98	8.45	10.71	15.34	6.06	5.73	13.12	11.55	20.56	11.82	29.27	20.71	12.93	9.85	23.25	19.82	3.35	13.03	7.22	105.15	208.38	113.56	198.47	105.15	152.28	351.14	103.69	153.34
CERS5	819.3	1216.75	1015.93	1794.29	1322.37	848.22	656.11	503.95	460.44	764.36	595.34	607.87	830.75	647.07	507.46	921.88	575.03	353.59	171.45	275.28	232.94	303.44	312.0	237.86	214.27	507.46	269.6	414.87	159.9	329.84	289.02	253.23	171.45	73.54	332.14	295.11	312.0	271.48	244.57	223.41	299.25	291.04	228.13	409.15	400.71	273.37	189.02	334.46	232.94	143.01	271.48	159.9	1216.75	1159.07	1023.0	1037.29	954.43	1477.58	1340.84	1447.15	878.17
CHD8	1639.59	1066.48	967.76	1001.93	808.0	688.78	738.29	567.1	1066.48	1242.34	450.94	665.29	547.75	579.04	669.92	954.43	708.18	718.08	297.17	229.72	264.03	348.71	656.11	493.56	441.64	514.56	423.61	521.76	384.34	525.39	277.2	444.72	258.57	314.17	376.41	466.88	275.28	507.46	373.81	384.34	351.14	473.41	358.54	341.51	221.86	346.29	356.05	256.78	371.22	187.71	575.03	426.57	830.75	884.29	860.08	961.07	988.12	1191.69	769.69	842.36	830.75
DEF8	825.0	1651.0	1044.52	2384.37	967.76	551.56	624.99	785.88	603.67	941.27	967.76	995.0	1008.9	518.15	1685.71	1135.2	620.67	915.51	529.06	409.15	351.14	532.74	353.59	267.73	567.1	403.5	186.4	473.41	363.56	255.0	251.48	287.01	381.68	363.56	567.1	264.03	329.84	387.02	381.68	353.59	414.87	366.09	638.15	620.67	371.22	460.44	336.79	287.01	305.55	169.07	218.79	242.88	961.07	1437.15	1030.12	819.3	1388.16	1322.37	1350.18	1991.0	1143.1
DGKZ	866.07	1769.57	684.02	1697.45	1151.06	1340.84	563.18	842.36	988.12	872.1	909.17	967.76	651.58	486.75	743.43	738.29	884.29	669.92	211.31	166.73	314.17	325.29	255.0	224.97	384.34	361.04	176.29	341.51	269.6	316.37	229.72	293.07	195.72	201.25	371.22	287.01	295.11	211.31	234.57	316.37	287.01	392.44	420.68	507.46	242.88	293.07	246.28	329.84	303.44	111.99	258.57	202.66	1313.23	1806.78	2485.67	1594.73	967.76	802.41	5076.84	1467.37	808.0
DHX38	1159.07	1340.84	1313.23	1594.73	1313.23	624.99	656.11	775.05	753.83	1477.58	669.92	587.13	532.74	780.44	995.0	1721.16	579.04	825.0	412.0	316.37	400.71	438.59	420.68	454.09	536.45	529.06	275.28	748.61	470.14	503.95	412.0	688.78	325.29	323.03	281.09	511.0	490.14	629.35	551.56	368.65	529.06	583.07	624.99	371.22	297.17	316.37	616.37	514.56	480.04	277.2	607.87	267.73	872.1	1757.34	1119.56	909.17	1304.15	1350.18	1359.57	1044.52	1417.35
DNAJC8	3018.3	1936.53	1594.73	2915.45	2367.9	1397.83	1769.57	1769.57	1757.34	1757.34	2255.7	2209.26	1639.59	3742.05	1487.87	2047.0	2119.22	2178.83	1250.98	830.75	1216.75	967.76	713.11	836.53	791.35	1437.15	954.43	1030.12	1199.98	890.44	1397.83	941.27	1295.13	974.5	1015.93	819.3	1088.92	1059.11	1111.82	967.76	1259.69	1183.45	872.1	1519.15	988.12	1008.9	1037.29	1437.15	1242.34	981.29	1167.14	1015.93	2627.46	2502.97	2609.3	1721.16	2417.67	3614.55	2777.33	2555.58	2104.58
DPF2	1628.26	1350.18	759.08	1295.13	1477.58	693.58	620.67	603.67	988.12	1295.13	579.04	642.59	426.57	432.53	642.59	967.76	457.25	629.35	228.13	231.32	221.86	239.52	358.54	305.55	373.81	320.8	215.77	432.53	341.51	316.37	224.97	525.39	283.05	265.87	368.65	314.17	379.04	205.5	389.72	325.29	323.03	435.55	441.64	201.25	265.87	244.57	228.13	285.03	316.37	100.83	429.54	253.23	947.83	1572.76	1088.92	1467.37	961.07	1819.35	1447.15	1447.15	896.64
DPH2	928.3	743.43	514.56	1369.04	1127.35	403.5	525.39	379.04	392.44	1617.0	890.44	251.48	438.59	896.64	872.1	674.59	373.81	490.14	173.85	105.89	117.6	158.79	224.97	132.44	211.31	180.02	164.42	167.9	149.12	149.12	140.04	129.69	159.9	220.32	177.53	193.01	177.53	133.36	166.73	220.32	143.01	138.1	244.57	161.02	119.26	130.6	175.07	167.9	159.9	56.28	169.07	161.02	620.67	1191.69	718.08	1167.14	1135.2	490.14	928.3	708.18	808.0
E2F4	1268.46	1605.83	1304.15	2875.3	2502.97	764.36	860.08	981.29	1167.14	2209.26	866.07	819.3	708.18	842.36	1733.13	1583.71	743.43	934.76	346.29	217.27	242.88	438.59	262.2	336.79	688.78	351.14	363.56	466.88	346.29	295.11	287.01	241.19	249.73	414.87	348.71	363.56	447.82	332.14	353.59	483.38	312.0	318.57	480.04	429.54	356.05	283.05	473.41	397.93	358.54	102.25	379.04	314.17	1119.56	2417.67	1397.83	2400.97	2367.9	1769.57	1605.83	2384.37	2090.03
EDC4	1340.84	1295.13	1277.29	1437.15	1023.0	669.92	860.08	759.08	909.17	1030.12	607.87	669.92	660.68	748.61	1111.82	1225.22	555.41	713.11	403.5	429.54	381.68	363.56	567.1	444.72	791.35	412.0	214.27	872.1	518.15	387.02	231.32	848.22	320.8	444.72	392.44	305.55	514.56	503.95	376.41	500.46	547.75	571.05	825.0	348.71	441.64	460.44	426.57	376.41	426.57	194.36	571.05	332.14	866.07	1295.13	947.83	1015.93	1605.83	1651.0	1572.76	1059.11	1378.57
FANCI	848.22	361.04	228.13	612.11	759.08	217.27	265.87	66.18	182.55	373.81	214.27	271.48	127.0	161.02	176.29	181.28	173.85	98.73	7.63	8.06	14.89	23.25	13.22	16.15	24.81	20.56	18.97	13.72	7.75	50.27	25.91	30.34	36.53	9.06	8.99	13.42	20.86	8.71	9.27	33.06	18.16	42.41	19.11	116.78	35.25	14.24	19.39	30.12	46.5	8.32	23.42	11.3	825.0	1216.75	483.38	1508.65	1159.07	1313.23	748.61	412.0	466.88
FUS	12415.75	9945.68	8022.41	11584.24	10733.74	7331.05	8479.89	4512.4	5517.27	8901.53	4181.07	3820.7	3639.7	4736.79	6607.01	5791.62	3665.02	5913.33	1331.57	1037.29	2701.35	2555.58	3665.02	2485.67	2163.77	2739.08	2119.22	3419.52	2133.97	2075.59	1819.35	3146.52	1551.09	1909.85	947.83	2271.4	2835.7	1896.65	2645.74	2796.65	1844.76	2875.3	2956.17	2287.2	1295.13	2367.9	2664.15	2855.44	3124.78	616.37	2520.38	1794.29	6471.02	9279.58	10733.74	8840.04	12764.83	14867.79	9409.14	9945.68	12076.21
FZD6	579.04	587.13	226.54	307.69	536.45	50.98	150.17	105.89	46.84	138.1	135.24	406.31	56.68	193.01	133.36	435.55	146.03	117.6	38.4	15.34	51.71	59.13	36.27	68.07	74.58	103.69	100.13	37.05	9.34	18.03	38.67	52.08	27.44	22.75	25.72	16.51	37.85	6.46	68.07	27.64	46.18	100.13	31.45	59.55	17.0	43.63	27.84	50.27	84.63	17.51	13.12	12.09	414.87	457.25	830.75	392.44	412.0	819.3	547.75	291.04	158.79
GAR1	921.88	1159.07	447.82	896.64	1277.29	414.87	759.08	361.04	366.09	909.17	543.96	361.04	796.86	753.83	567.1	514.56	275.28	406.31	273.37	223.41	229.72	397.93	206.94	157.68	183.82	381.68	244.57	262.2	204.07	180.02	417.77	205.5	149.12	279.14	248.0	226.54	332.14	366.09	220.32	341.51	178.77	234.57	249.73	327.56	173.85	232.94	275.28	329.84	186.4	148.09	343.89	291.04	603.67	1151.06	540.19	490.14	825.0	947.83	435.55	764.36	796.86
GMEB1	178.77	167.9	103.69	175.07	115.97	86.43	80.01	123.5	90.77	167.9	120.94	94.01	64.8	126.12	118.43	194.36	136.19	115.97	54.72	40.93	68.55	82.29	32.13	55.89	48.18	88.88	51.71	62.12	44.57	42.71	68.55	59.13	33.78	39.5	47.84	53.95	66.18	28.86	51.71	71.5	73.03	50.63	48.18	90.77	57.08	74.58	43.94	47.17	69.52	36.79	46.18	46.84	249.73	334.46	176.29	231.32	121.79	182.55	260.38	140.04	176.29
GPATCH1	323.03	231.32	176.29	193.01	241.19	129.69	183.82	132.44	295.11	303.44	90.77	119.26	131.51	120.1	228.13	316.37	224.97	159.9	64.34	64.34	81.71	93.35	98.73	113.56	69.03	82.29	84.63	115.16	74.06	162.14	75.64	148.09	55.89	71.0	63.45	104.42	134.3	57.89	90.77	127.89	83.45	133.36	113.56	100.83	77.25	92.05	121.79	96.68	113.56	35.76	131.51	70.01	341.51	285.03	217.27	638.15	305.55	234.57	791.35	226.54	215.77
HAUS5	1051.79	305.55	281.09	607.87	748.61	220.32	435.55	204.07	813.63	718.08	325.29	289.02	248.0	223.41	387.02	656.11	248.0	307.69	59.13	154.42	103.69	183.82	90.77	161.02	138.1	81.71	92.7	218.79	123.5	187.71	80.57	197.09	125.24	75.11	133.36	163.28	162.14	118.43	121.79	117.6	146.03	212.78	171.45	137.14	129.69	141.02	98.04	136.19	161.02	45.53	120.1	114.36	738.29	988.12	575.03	2004.85	1143.1	738.29	493.56	397.93	540.19
HDAC1	3395.89	1909.85	2434.5	3491.39	3146.52	1857.6	1467.37	1806.78	1417.35	4152.18	3349.13	2739.08	1407.55	3589.58	1745.2	2796.65	2178.83	1963.57	866.07	854.13	860.08	738.29	395.18	769.69	1015.93	921.88	753.83	1119.56	791.35	988.12	723.08	1073.91	629.35	651.58	915.51	802.41	866.07	866.07	743.43	769.69	1088.92	896.64	693.58	1259.69	684.02	708.18	791.35	1073.91	1073.91	450.94	934.76	638.15	3928.15	3467.27	4481.23	4903.87	2609.3	4769.75	4298.64	2224.63	2104.58
HID1	1457.23	1001.93	642.59	759.08	271.48	180.02	157.68	400.71	463.65	214.27	187.71	612.11	147.06	819.3	171.45	497.0	356.05	74.06	54.33	45.85	155.5	66.65	22.26	14.24	31.45	178.77	18.43	241.19	75.11	17.51	56.28	96.68	17.51	19.39	28.86	29.48	180.02	40.07	45.21	120.1	134.3	63.89	41.52	395.18	143.01	152.28	105.15	46.84	220.32	7.75	31.9	11.82	521.76	934.76	224.97	624.99	890.44	507.46	303.44	198.47	438.59
HNRNPA0	3039.3	2255.7	2148.82	2178.83	1685.71	1378.57	2209.26	1540.37	1340.84	2148.82	1225.22	1397.83	1685.71	1119.56	2400.97	1286.18	1844.76	2178.83	848.22	587.13	909.17	603.67	934.76	1066.48	579.04	988.12	775.05	902.89	669.92	629.35	1407.55	753.83	830.75	934.76	718.08	703.28	748.61	1233.75	775.05	995.0	785.88	802.41	775.05	1066.48	733.19	954.43	1001.93	796.86	493.56	718.08	1059.11	728.11	2004.85	2163.77	1594.73	2417.67	2178.83	2935.74	1844.76	1662.49	4972.34
HNRNPD	7485.11	6840.04	5479.15	10084.54	7180.15	3212.66	5366.37	3589.58	4038.61	5633.22	3768.09	3742.05	4607.24	4268.94	2796.65	5403.7	3190.46	4210.15	1745.2	2627.46	2255.7	2451.44	1540.37	2133.97	2796.65	1857.6	1437.15	3372.43	3039.3	2645.74	2682.69	3039.3	2224.63	2075.59	2018.8	1519.15	2875.3	2335.28	2417.67	3124.78	2224.63	3716.2	2895.31	3742.05	1551.09	2796.65	3146.52	4388.98	5219.6	1350.18	2664.15	2468.49	7433.4	9279.58	4937.99	8778.97	9673.69	10733.74	6699.25	7032.37	7695.57
HNRNPDL	6426.31	7485.11	5594.3	12076.21	9279.58	4181.07	5006.93	4450.27	5112.16	5219.6	3690.52	3901.01	4268.94	4543.8	2664.15	5831.91	3794.3	3190.46	1457.23	2075.59	1923.14	2075.59	1286.18	2193.99	2400.97	2209.26	1769.57	3235.01	2319.15	2555.58	2664.15	2417.67	2104.58	1651.0	1135.2	1662.49	3419.52	2915.45	1870.53	2537.92	2090.03	2645.74	2163.77	2555.58	1467.37	2816.11	2935.74	3419.52	3280.18	1081.39	2287.2	1781.89	8718.32	6337.83	7180.15	8078.22	9409.14	6840.04	6561.36	10368.08	6983.79
HNRNPR	3847.29	1963.57	1417.35	2816.11	2468.49	1225.22	1447.15	1167.14	1551.09	1794.29	1769.57	1617.0	1250.98	2032.85	1259.69	1437.15	1208.34	1909.85	624.99	616.37	684.02	1111.82	463.65	860.08	476.71	954.43	808.0	551.56	567.1	713.11	890.44	708.18	684.02	688.78	607.87	616.37	612.11	521.76	480.04	743.43	595.34	624.99	454.09	1096.5	764.36	738.29	651.58	928.3	796.86	928.3	819.3	723.08	2855.44	3419.52	2835.7	3419.52	3614.55	4210.15	3212.66	2351.53	2835.7
IQCB1	587.13	555.41	395.18	579.04	616.37	186.4	346.29	249.73	242.88	466.88	224.97	171.45	116.78	387.02	212.78	279.14	262.2	224.97	84.63	55.49	81.71	74.06	51.35	76.17	96.01	96.68	69.52	97.36	53.19	124.37	69.52	49.91	33.3	80.57	88.88	59.13	137.14	50.98	58.71	93.35	59.97	96.01	108.14	136.19	50.27	68.55	111.21	111.99	87.65	25.91	78.89	70.01	435.55	493.56	836.53	988.12	808.0	444.72	708.18	463.65	483.38
IST1	3081.75	4769.75	2895.31	3419.52	2895.31	1457.23	1457.23	1963.57	2047.0	2148.82	1819.35	3212.66	1437.15	2104.58	2119.22	3146.52	1651.0	2351.53	928.3	1096.5	1191.69	1199.98	1066.48	1457.23	1322.37	1313.23	866.07	1561.89	769.69	1605.83	1059.11	1662.49	813.63	1111.82	1081.39	1250.98	1487.87	1183.45	878.17	1225.22	1081.39	1498.22	1437.15	1498.22	1030.12	1467.37	1709.26	1447.15	1594.73	457.25	1295.13	1008.9	3564.78	3901.01	3665.02	2875.3	4038.61	4268.94	4512.4	3190.46	4268.94
KHDRBS1	3614.55	2075.59	2075.59	2468.49	2400.97	1175.27	1447.15	1322.37	1487.87	2520.38	1508.65	1498.22	1572.76	2018.8	1350.18	2104.58	1467.37	1733.13	738.29	995.0	842.36	884.29	441.64	624.99	460.44	1159.07	674.59	728.11	743.43	713.11	1233.75	679.29	974.5	638.15	791.35	629.35	796.86	872.1	651.58	890.44	743.43	769.69	532.74	1331.57	866.07	796.86	1081.39	1127.35	769.69	679.29	830.75	813.63	2796.65	3372.43	2627.46	3325.99	2796.65	3614.55	3467.27	2133.97	3467.27
MAML1	389.72	441.64	244.57	450.94	571.05	194.36	251.48	256.78	191.67	231.32	205.5	220.32	201.25	156.59	217.27	191.67	281.09	332.14	97.36	108.9	96.68	155.5	96.01	113.56	172.65	139.07	117.6	193.01	92.05	151.22	94.67	171.45	69.52	135.24	115.97	106.63	161.02	43.94	98.04	150.17	120.1	169.07	193.01	136.19	87.03	112.77	96.01	115.16	140.04	70.51	178.77	118.43	329.84	403.5	395.18	866.07	316.37	438.59	400.71	307.69	713.11
MARCKSL1	11827.67	7803.01	3690.52	5479.15	1781.89	2018.8	1295.13	1963.57	961.07	5672.41	3372.43	2739.08	3280.18	3124.78	3018.3	3639.7	1572.76	4298.64	547.75	287.01	656.11	571.05	249.73	262.2	185.11	1151.06	128.79	785.88	387.02	679.29	563.18	325.29	183.82	218.79	295.11	339.14	379.04	860.08	234.57	503.95	909.17	409.15	295.11	2485.67	412.0	669.92	507.46	470.14	507.46	224.97	412.0	332.14	7695.57	3540.14	7032.37	6792.79	11189.6	10512.82	7966.99	2400.97	10883.59
