	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.A7.A0DB.11A.33R.A089.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11P81.1926.SM.5BC53	GTEX.Y5V5.2126.SM.4WWFO	GTEX.11ZTT.2326.SM.5EQLG	GTEX.132AR.0826.SM.5EGK6	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	TCGA.C5.A1MP.01A.11R.A14Y.07	TCGA.EK.A2GZ.01A.11R.A180.07	TCGA.FU.A3WB.01A.11R.A22U.07	TCGA.DS.A1O9.01A.11R.A14Y.07	TCGA.C5.A2LZ.01A.11R.A213.07	GTEX.13OVG.1426.SM.5K7VP	TCGA.CR.7369.01A.11R.2132.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.A6K2.01A.11R.A31N.07	TCGA.CN.5364.01A.01R.1436.07	TCGA.CV.6936.01A.11R.1915.07	TCGA.CN.6994.01A.11R.1915.07	TCGA.CN.4741.01A.01R.1436.07	TCGA.D6.6516.01A.11R.1873.07	TCGA.BA.4077.01B.01R.1436.07	TCGA.CN.4740.01A.01R.1436.07	GTEX.1313W.0926.SM.5EQ56
CASC5	7.63	3.08	7.75	12.36	8.06	4.17	3.79	30.12	4.98	14.35	6.94	2.97	28.04	6.52	1.93	4.66	14.67	17.25	4.82	42.41	16.63	28.65	16.15	10.0	85.82	4.5	5.32	19.39	20.11	199.85	111.99	387.02	171.45	124.37	24.28	159.9	51.35	146.03	169.07	156.59	111.21	134.3	87.65	127.0	114.36	12.45
CCNA2	42.71	15.91	13.93	98.73	19.39	23.76	8.51	114.36	34.75	31.0	21.01	19.53	60.39	18.03	18.7	11.55	25.72	153.34	15.68	134.3	44.89	122.64	102.25	3.23	46.84	12.93	21.47	47.5	45.85	974.5	547.75	1769.57	928.3	775.05	80.01	616.37	309.83	563.18	708.18	599.49	307.69	633.73	463.65	780.44	796.86	35.25
CCNB1	191.67	86.43	111.21	329.84	101.54	83.45	102.25	323.03	111.99	77.25	107.38	135.24	320.8	63.89	92.7	81.14	149.12	112.77	76.71	1104.13	368.65	583.07	293.07	106.63	248.0	94.67	135.24	107.38	226.54	1331.57	1662.49	3847.29	1561.89	2609.3	215.77	1268.46	2591.27	2287.2	3716.2	2193.99	1427.22	2133.97	1037.29	2758.13	2240.11	122.64
CCNB2	45.21	9.06	24.11	155.5	5.87	11.82	6.16	129.69	29.27	31.67	21.94	11.55	136.19	10.71	7.46	3.56	21.63	22.26	40.36	212.78	105.89	336.79	57.49	18.43	156.59	12.0	17.64	30.78	23.25	1437.15	759.08	2485.67	1030.12	1529.73	114.36	884.29	595.34	981.29	1457.23	819.3	718.08	921.88	819.3	1286.18	1143.1	66.18
CCNE2	13.42	4.1	20.41	19.39	7.34	12.74	13.83	53.19	31.67	32.36	15.34	32.13	85.22	27.25	8.99	18.03	44.25	40.07	12.36	90.14	29.91	39.5	32.13	63.45	33.78	41.81	9.06	21.47	46.18	389.72	189.02	854.13	426.57	579.04	50.27	587.13	54.72	66.18	151.22	224.97	94.01	376.41	69.52	351.14	176.29	27.05
CDC20	50.98	15.11	20.11	267.73	38.67	11.3	17.13	194.36	33.54	31.0	21.78	23.76	265.87	4.7	19.68	6.01	14.03	48.52	27.05	194.36	121.79	400.71	50.98	19.11	118.43	20.86	14.35	34.75	45.85	967.76	1268.46	3060.45	2434.5	1733.13	128.79	1639.59	1407.55	1605.83	2739.08	1991.0	974.5	1806.78	878.17	2573.36	1806.78	30.12
CDC25C	5.36	0.95	3.14	14.35	1.07	1.79	2.16	12.18	2.76	6.06	3.32	4.46	9.13	0.74	3.32	2.58	3.63	9.06	9.7	19.97	11.04	63.89	7.28	3.47	12.93	4.5	3.38	0.0	10.24	107.38	104.42	420.68	108.9	204.07	11.82	126.12	81.14	98.04	199.85	150.17	79.45	198.47	59.13	228.13	108.9	8.99
CDC45	20.11	2.1	7.46	96.01	1.19	3.08	5.77	56.68	12.45	20.71	15.45	6.41	55.49	6.21	13.93	5.11	16.75	10.24	8.45	87.65	19.25	44.89	12.36	36.79	28.65	21.63	24.46	19.68	93.35	497.0	353.59	1104.13	473.41	555.41	51.71	339.14	251.48	312.0	595.34	1639.59	318.57	480.04	224.97	536.45	379.04	16.88
CDC6	28.24	8.38	12.36	73.03	14.67	11.82	8.85	94.67	25.54	23.08	17.77	14.45	69.52	13.93	16.63	12.09	36.79	22.43	4.94	103.69	69.03	32.82	187.71	34.02	10.39	16.88	15.45	37.05	100.13	457.25	450.94	1088.92	447.82	583.07	77.79	473.41	180.02	314.17	529.06	435.55	285.03	587.13	285.03	518.15	299.25	15.91
CDCA3	33.78	17.13	9.93	119.26	12.55	13.22	13.22	109.66	31.45	21.47	13.93	28.65	74.58	17.77	4.78	6.89	9.85	38.67	18.56	101.54	37.59	73.03	43.63	1.64	53.95	2.92	38.95	17.0	26.28	808.0	753.83	1844.76	967.76	1059.11	84.63	540.19	450.94	480.04	743.43	500.46	638.15	688.78	463.65	603.67	532.74	38.4
CDCA5	28.86	26.86	15.45	90.14	8.32	8.92	8.19	73.54	28.65	23.25	24.46	24.28	112.77	8.38	13.03	17.64	22.1	40.07	19.39	260.38	34.26	231.32	60.39	32.13	66.18	7.06	9.34	27.84	89.51	536.45	536.45	988.12	647.07	759.08	105.15	500.46	629.35	559.28	2240.11	896.64	348.71	575.03	633.73	703.28	587.13	30.78
CDCA8	23.59	13.72	8.13	71.5	12.64	17.77	12.09	50.98	23.59	23.08	17.38	18.56	75.11	13.03	17.0	11.55	30.34	22.92	13.32	198.47	67.12	108.14	67.59	17.25	41.52	7.17	6.62	71.0	25.17	395.18	376.41	1208.34	796.86	674.59	74.58	547.75	242.88	420.68	775.05	633.73	251.48	511.0	283.05	693.58	493.56	25.91
CDK1	167.9	62.12	60.39	194.36	133.36	80.01	40.07	293.07	110.43	126.12	93.35	100.13	309.83	78.89	79.45	52.45	83.45	150.17	113.56	438.59	166.73	483.38	86.43	48.87	260.38	186.4	70.51	142.01	171.45	1340.84	1561.89	2956.17	2061.24	2178.83	175.07	785.88	629.35	1378.57	1242.34	915.51	642.59	1340.84	507.46	1561.89	902.89	93.35
CDKN3	201.25	37.59	15.56	149.12	24.28	38.12	10.08	218.79	34.51	60.82	48.18	28.45	91.41	19.25	29.91	22.59	16.27	70.51	77.79	128.79	49.91	118.43	239.52	89.51	78.89	19.97	438.59	56.28	40.07	825.0	961.07	2047.0	1208.34	866.07	152.28	674.59	819.3	665.29	1378.57	718.08	665.29	624.99	395.18	825.0	1081.39	42.71
CDT1	14.56	18.16	2.56	126.12	3.99	1.97	1.99	36.79	24.46	11.13	5.59	16.39	29.06	2.97	14.24	2.41	30.56	6.57	5.73	105.15	35.76	25.35	14.78	7.75	13.32	5.77	3.59	17.64	90.14	647.07	368.65	660.68	563.18	483.38	48.52	409.15	161.02	236.21	476.71	563.18	339.14	551.56	444.72	988.12	211.31	17.25
CENPF	29.48	2.41	28.45	122.64	15.91	12.0	7.51	214.27	34.26	45.85	35.5	24.11	226.54	17.25	16.75	14.14	49.21	46.5	21.63	343.89	48.52	281.09	50.27	15.91	57.08	60.82	8.45	23.59	95.34	967.76	780.44	1709.26	684.02	1242.34	50.27	651.58	299.25	457.25	1304.15	1605.83	285.03	890.44	316.37	555.41	532.74	35.5
CENPK	29.7	14.89	12.36	62.56	10.39	21.01	7.88	55.1	24.28	45.53	20.26	21.01	50.27	18.16	18.7	16.75	50.27	65.72	21.94	83.45	58.71	55.89	70.51	19.25	43.02	0.39	42.11	18.03	105.15	500.46	429.54	1313.23	842.36	759.08	110.43	264.03	332.14	202.66	373.81	169.07	129.69	493.56	94.67	381.68	162.14	48.87
CENPM	30.78	18.03	6.73	201.25	2.76	1.55	2.73	108.9	11.91	23.08	9.56	12.64	62.56	2.94	7.17	5.19	15.45	18.56	17.64	99.43	27.44	79.45	16.51	9.93	31.22	7.0	19.82	36.79	73.03	718.08	253.23	2018.8	529.06	974.5	60.82	293.07	241.19	361.04	567.1	514.56	775.05	540.19	339.14	723.08	796.86	70.01
CEP55	35.5	4.62	5.92	85.82	7.4	6.21	2.92	96.68	16.75	24.46	17.13	5.73	57.49	6.31	6.31	4.1	12.83	9.93	8.32	134.3	21.47	301.33	42.41	11.82	126.12	6.73	14.56	21.16	44.25	368.65	595.34	1008.9	457.25	647.07	35.25	473.41	371.22	595.34	769.69	514.56	395.18	555.41	287.01	764.36	713.11	17.77
CKAP2L	8.38	5.96	2.36	22.43	3.32	3.63	1.81	35.25	3.99	8.13	9.27	4.9	19.97	4.31	6.67	0.72	6.67	4.31	5.68	38.95	26.86	41.52	8.58	5.19	25.35	0.0	4.13	5.32	23.76	150.17	139.07	325.29	177.53	159.9	18.97	307.69	107.38	155.5	547.75	246.28	92.7	183.82	148.09	265.87	231.32	35.25
CKS2	514.56	237.86	246.28	674.59	176.29	108.9	80.01	493.56	251.48	204.07	95.34	92.7	674.59	21.78	172.65	138.1	147.06	318.57	579.04	708.18	555.41	718.08	860.08	239.52	285.03	155.5	255.0	397.93	285.03	2537.92	2573.36	5633.22	3564.78	3794.3	555.41	1457.23	2351.53	2816.11	2956.17	1896.65	1350.18	3235.01	1769.57	3716.2	1508.65	1233.75
CLSPN	12.27	6.73	11.21	18.84	5.68	9.27	4.1	29.27	11.73	19.11	24.81	15.34	24.81	8.45	3.79	0.37	8.32	16.39	20.26	51.35	16.63	57.89	33.3	16.88	49.56	11.73	10.71	34.75	44.57	71.0	92.7	312.0	289.02	195.72	30.56	285.03	54.72	108.9	161.02	180.02	70.51	262.2	40.07	189.02	120.1	6.41
DEPDC1B	7.63	1.04	5.73	19.68	3.08	3.79	1.91	20.86	7.4	7.34	6.57	3.82	18.56	4.5	4.62	4.66	1.75	16.15	21.32	55.1	17.38	37.32	6.67	8.65	19.39	16.51	14.03	5.77	24.11	218.79	177.53	444.72	220.32	205.5	32.36	133.36	189.02	221.86	316.37	273.37	130.6	204.07	86.43	260.38	127.0	13.83
DLGAP5	13.93	1.6	2.32	47.17	1.81	2.14	1.41	70.51	7.94	12.09	8.13	2.81	34.51	1.13	2.92	1.45	10.08	34.75	17.64	87.03	29.27	98.73	16.63	14.78	59.13	5.19	19.68	22.1	23.93	201.25	208.38	684.02	412.0	406.31	25.54	426.57	246.28	320.8	651.58	303.44	400.71	397.93	212.78	409.15	371.22	20.26
DTL	30.12	5.41	7.69	32.59	5.68	6.73	2.61	51.35	18.29	18.56	23.08	14.14	87.03	8.06	8.38	4.21	48.52	16.27	13.03	48.52	22.75	29.48	64.34	6.73	18.97	23.08	8.85	6.89	58.3	525.39	571.05	583.07	497.0	334.46	28.65	320.8	87.03	127.0	432.53	514.56	111.99	486.75	166.73	395.18	260.38	13.72
E2F2	5.23	1.39	2.07	23.42	0.79	1.16	1.16	15.8	5.36	5.96	3.5	7.17	21.32	2.07	1.57	0.79	6.78	5.5	12.74	40.07	8.0	29.91	5.63	6.84	7.11	4.86	8.06	7.11	21.32	121.79	73.54	291.04	75.64	297.17	41.81	117.6	24.81	87.65	101.54	117.6	65.72	182.55	100.83	100.13	122.64	15.68
E2F7	4.24	0.0	2.1	3.17	1.58	0.4	0.4	11.13	1.69	3.92	5.06	4.28	9.48	0.85	0.41	0.0	6.78	0.97	0.09	7.46	2.73	5.02	3.41	0.0	3.08	0.51	4.31	5.45	1.58	106.63	152.28	341.51	172.65	180.02	5.5	177.53	76.71	68.07	97.36	112.77	77.79	303.44	72.01	154.42	69.52	3.06
E2F8	9.27	0.67	1.22	12.55	0.37	0.37	0.37	19.97	4.9	6.26	1.53	0.41	9.34	0.0	0.38	0.38	1.07	2.36	4.1	47.17	6.89	77.79	1.69	1.64	13.12	0.0	12.64	1.68	12.27	95.34	85.82	136.19	159.9	318.57	16.51	139.07	44.25	51.35	158.79	191.67	98.73	218.79	98.04	181.28	75.11	4.03
ESCO2	6.94	0.27	3.89	20.26	6.21	3.2	3.59	33.06	9.85	17.0	4.39	9.27	53.57	1.91	4.39	0.68	21.94	24.63	15.45	50.63	9.41	39.5	10.71	4.39	63.0	4.5	3.17	3.26	25.54	131.51	46.84	121.79	108.14	157.68	17.64	100.13	55.89	62.12	251.48	76.71	135.24	151.22	103.69	152.28	111.99	6.67
EXO1	10.88	1.35	11.64	38.67	3.03	6.67	4.1	38.4	11.73	13.03	7.22	2.07	56.68	1.2	1.51	1.51	33.3	1.31	5.68	39.5	12.64	44.25	30.56	5.92	29.91	18.7	20.86	25.54	84.04	356.05	332.14	336.79	339.14	256.78	13.72	218.79	87.03	156.59	231.32	447.82	79.45	185.11	102.97	197.09	214.27	22.1
EZH2	37.59	11.38	23.08	100.83	20.56	19.82	15.8	70.01	28.24	36.01	34.02	22.59	107.38	18.29	16.88	34.02	31.45	43.02	25.17	151.22	80.01	35.5	37.05	23.76	24.28	17.13	53.19	50.27	73.03	825.0	438.59	1617.0	753.83	638.15	116.78	244.57	217.27	224.97	341.51	412.0	197.09	651.58	339.14	444.72	303.44	103.69
FABP4	313910.86	365622.68	253213.41	211455.3	322736.12	386469.83	394590.4	201440.3	348306.01	327241.36	358098.26	370726.6	205673.01	489177.0	292889.12	273275.14	447025.24	716197.51	602247.76	198667.0	284880.02	184082.4	569761.05	558035.51	906531.99	417089.23	1078054.48	1838374.44	394590.4	161367.56	163620.18	19.39	263966.36	97965.44	636586.81	152662.96	129266.49	148488.36	150561.19	135693.24	194578.47	198667.0	143430.26	160252.91	137587.47	408505.64
FAM111B	8.92	0.28	3.11	43.63	1.81	8.99	1.41	45.85	16.03	16.15	10.63	2.39	82.87	2.71	2.18	0.69	19.25	10.16	4.62	136.19	28.86	71.0	27.25	5.63	57.49	4.43	35.25	32.13	74.58	395.18	248.0	435.55	397.93	612.11	25.91	718.08	158.79	158.79	334.46	197.09	65.26	497.0	122.64	305.55	185.11	16.39
FAM64A	21.01	4.46	4.94	62.12	2.71	2.29	4.54	82.29	9.93	14.67	5.02	2.56	24.11	2.46	2.71	4.28	4.7	0.0	15.91	53.95	29.48	132.44	21.16	11.04	75.64	4.5	18.56	18.29	18.29	397.93	267.73	1030.12	293.07	417.77	33.78	373.81	99.43	36.27	251.48	366.09	167.9	368.65	63.0	518.15	185.11	11.21
FBXO43	2.16	1.43	0.44	3.89	0.41	0.41	0.41	7.57	2.14	0.74	1.62	2.63	2.05	0.44	1.6	1.62	2.27	2.56	0.46	5.41	2.12	12.36	0.4	0.0	1.87	0.4	1.93	2.1	2.18	19.68	4.31	36.79	16.75	10.16	0.62	3.86	3.56	4.28	7.94	9.78	6.67	13.32	1.27	12.0	5.45	2.16
FOXM1	27.25	10.08	11.64	120.1	10.08	10.31	8.78	197.09	31.45	30.56	38.4	12.0	113.56	6.52	19.25	8.58	14.67	62.12	10.79	205.5	52.08	163.28	27.84	8.32	57.08	10.16	8.58	12.93	40.07	890.44	791.35	2090.03	1073.91	896.64	61.25	785.88	647.07	642.59	1457.23	708.18	1259.69	1304.15	679.29	1119.56	780.44	32.82
GINS1	21.47	5.5	14.14	43.63	13.32	14.89	5.68	31.67	19.97	22.1	13.42	18.29	73.54	11.3	9.56	6.16	31.67	28.24	6.52	119.26	44.89	36.79	31.22	12.09	10.24	9.27	19.53	15.22	43.63	447.82	438.59	521.76	361.04	457.25	25.54	336.79	224.97	162.14	384.34	299.25	152.28	514.56	208.38	277.2	224.97	19.68
GSG2	3.56	3.17	3.79	14.03	2.39	2.34	1.95	6.11	4.66	3.26	7.94	2.63	8.06	2.53	1.2	2.39	2.18	2.46	3.63	18.84	7.82	8.06	3.82	3.23	4.13	2.94	3.11	2.89	13.32	54.72	52.82	110.43	57.08	80.57	24.63	89.51	35.5	32.82	74.58	103.69	55.49	103.69	75.64	96.68	63.45	74.06
GTSE1	12.09	18.16	14.24	48.18	4.74	12.36	8.51	72.52	9.7	28.45	16.51	6.52	27.84	19.53	13.32	1.62	11.13	8.32	14.24	74.06	20.26	169.07	21.01	22.1	63.0	17.0	2.89	10.88	9.7	209.84	107.38	642.59	291.04	361.04	22.75	180.02	106.63	152.28	223.41	432.53	212.78	299.25	86.43	241.19	171.45	24.81
HJURP	8.32	2.05	5.73	51.71	4.98	3.79	3.03	50.27	12.0	13.93	8.51	3.82	24.28	14.24	4.62	4.24	11.13	11.73	14.89	41.22	19.11	104.42	16.63	17.77	65.26	10.0	5.68	3.56	20.86	221.86	178.77	353.59	363.56	176.29	16.75	232.94	68.07	251.48	299.25	287.01	79.45	193.01	165.57	142.01	126.12	19.82
HMMR	21.16	6.01	3.59	38.67	4.46	4.03	5.15	76.71	16.88	12.93	8.99	4.54	52.08	8.71	3.0	1.48	18.7	4.74	18.03	102.97	41.81	123.5	28.65	16.03	59.55	3.86	11.73	5.63	33.54	152.28	220.32	532.74	332.14	293.07	35.0	169.07	124.37	275.28	205.5	301.33	283.05	209.84	175.07	256.78	297.17	18.84
IQGAP3	8.32	1.35	3.66	38.12	4.58	3.76	2.63	30.12	9.06	24.81	10.79	2.53	42.41	2.43	2.29	1.53	4.03	10.96	4.1	53.57	17.0	45.53	13.52	2.58	53.57	8.13	4.21	4.43	14.89	384.34	209.84	547.75	329.84	518.15	23.59	154.42	77.79	119.26	166.73	813.63	98.73	486.75	81.71	287.01	147.06	49.21
KIAA0101	61.68	11.64	14.35	201.25	21.63	5.82	4.74	191.67	32.82	24.81	12.36	23.76	244.57	9.85	18.29	18.43	27.64	66.65	37.05	327.56	85.22	217.27	90.77	6.94	59.55	10.16	55.49	43.32	111.21	2701.35	1073.91	3901.01	2956.17	2915.45	135.24	1583.71	836.53	1540.37	1551.09	1909.85	674.59	902.89	995.0	1757.34	1651.0	143.01
KIF11	21.78	9.2	12.55	52.45	22.1	12.74	10.47	81.14	27.05	25.72	24.99	24.81	67.59	17.25	13.72	9.56	43.02	31.9	21.32	187.71	64.8	170.25	42.11	8.78	75.11	18.43	15.56	21.16	38.67	379.04	293.07	842.36	275.28	579.04	35.25	287.01	127.0	320.8	620.67	454.09	293.07	521.76	260.38	473.41	429.54	17.25
KIF14	1.73	0.34	1.62	4.06	1.14	1.13	0.0	15.8	3.26	3.79	3.06	1.27	14.78	0.82	0.77	0.39	0.0	1.25	2.43	19.68	8.92	33.3	8.99	1.2	12.18	0.49	1.14	1.25	3.38	80.57	89.51	172.65	88.88	98.73	3.92	115.97	27.44	46.5	69.03	194.36	35.0	60.39	33.54	51.35	71.0	1.89
KIF15	13.83	14.67	15.11	28.86	6.16	15.0	12.09	36.27	11.55	21.16	12.74	15.56	50.98	11.82	8.51	13.52	8.32	18.16	15.45	50.27	21.01	82.29	35.0	12.64	42.11	41.22	8.45	9.13	45.53	202.66	201.25	684.02	187.71	353.59	28.65	90.14	65.26	109.66	170.25	171.45	9.7	251.48	69.03	99.43	82.29	12.27
KIF18A	8.58	3.41	4.9	16.88	3.06	4.13	2.63	21.01	6.16	6.26	6.52	6.67	28.04	3.26	4.98	2.71	19.82	6.01	10.55	34.51	25.17	14.03	11.64	4.28	5.77	0.0	6.41	8.58	14.89	74.58	141.02	182.55	147.06	101.54	16.75	152.28	92.7	118.43	173.85	49.91	94.67	143.01	61.68	155.5	39.22	50.63
KIF18B	3.14	0.0	1.22	29.06	0.75	0.74	0.74	17.51	2.89	8.06	3.86	0.4	12.64	0.39	1.93	0.0	1.75	5.96	3.56	40.93	18.29	48.87	23.08	3.76	33.06	1.14	4.13	1.14	9.48	228.13	177.53	551.56	183.82	397.93	14.78	181.28	75.11	137.14	224.97	325.29	198.47	314.17	96.01	232.94	93.35	8.25
KIF20A	23.25	6.67	7.63	78.89	2.25	4.82	3.32	173.85	19.25	21.47	23.59	9.13	62.12	10.0	4.9	2.25	14.35	16.27	23.08	170.25	41.81	172.65	41.22	17.77	75.64	18.56	6.62	8.78	21.94	423.61	373.81	1037.29	733.19	599.49	26.86	511.0	277.2	447.82	753.83	503.95	351.14	665.29	314.17	848.22	507.46	19.53
KIF23	24.81	5.54	12.55	62.56	21.01	25.72	7.28	96.68	22.1	36.53	36.53	11.64	117.6	13.83	12.27	7.88	39.5	20.11	34.51	66.18	90.14	40.36	22.1	7.94	30.34	19.82	24.28	30.12	82.29	540.19	343.89	1037.29	633.73	842.36	100.83	511.0	273.37	547.75	536.45	518.15	299.25	616.37	323.03	796.86	547.75	34.51
KIF2C	22.59	3.26	10.08	75.11	5.19	11.3	6.31	63.45	16.03	17.51	14.56	16.39	95.34	3.86	12.64	6.84	27.64	11.21	8.92	108.14	73.54	128.79	63.45	6.57	31.0	8.06	44.25	25.91	47.17	490.14	420.68	1268.46	848.22	1023.0	44.25	612.11	273.37	444.72	915.51	842.36	309.83	583.07	214.27	753.83	507.46	34.51
