	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.E8.A416.01A.11R.A23N.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.QV31.0726.SM.3GAEG	GTEX.OHPM.2626.SM.33HC5	GTEX.11I78.0526.SM.5986A	GTEX.XUZC.0126.SM.4BOO6	GTEX.146FR.0326.SM.5SI8U	GTEX.ZV7C.0126.SM.57WDE	GTEX.X4LF.0426.SM.3NMB5	GTEX.TKQ1.0126.SM.33HB3	GTEX.PWCY.2326.SM.2I3EQ	GTEX.XUJ4.0726.SM.4BOOP	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.T8EM.0226.SM.3DB7C
CSNK2B-LY6G5B-1181	0.0	0.48	81.14	40.36	42.71	66.18	22.92	116.78	77.79	20.26	133.36	130.6	87.03	136.19	105.89	41.52	53.19	82.29
CTBP1	1378.57	7537.18	2777.33	1594.73	1883.54	1651.0	1605.83	2555.58	2537.92	2271.4	2609.3	2682.69	2032.85	2720.15	2351.53	2133.97	2271.4	2178.83
CTD-2510F5.6	0.0	0.0	28.04	39.5	0.0	0.0	20.26	62.12	0.0	21.01	77.79	59.13	0.0	38.67	42.41	0.0	46.18	6.01
CTD-2587H24.4	0.0	0.0	2.53	0.0	0.0	0.0	0.0	1.64	0.0	0.0	0.0	1.25	0.0	0.0	2.18	0.0	0.0	0.0
FAM109A	0.0	0.43	234.57	77.79	119.26	62.12	124.37	172.65	134.3	76.17	111.99	231.32	86.43	155.5	100.13	89.51	112.77	158.79
FAM27E2	0.0	0.0	33.06	5.73	0.0	4.21	6.21	2.86	8.38	5.11	9.78	12.64	0.82	17.9	9.7	7.88	8.99	6.89
FAM47E-STBD1	0.0	0.48	68.55	27.44	22.1	19.68	40.07	42.71	22.75	31.9	53.19	46.18	22.1	59.13	153.34	47.17	37.32	23.25
FBXO24	0.0	0.17	27.05	6.73	8.19	9.48	1.69	12.64	19.11	8.13	17.0	22.43	10.39	20.26	18.56	5.87	12.0	9.34
FLII	0.0	1.39	3257.52	2520.38	2701.35	2178.83	1757.34	3874.05	2739.08	2400.97	3349.13	4010.71	2537.92	3690.52	2976.74	3820.7	3690.52	3325.99
GET4	0.0	1.03	1037.29	450.94	503.95	420.68	423.61	665.29	728.11	514.56	825.0	1233.75	785.88	780.44	791.35	669.92	764.36	748.61
GNA11	866.07	909.17	1088.92	941.27	785.88	819.3	934.76	1111.82	1183.45	909.17	1104.13	1295.13	830.75	1143.1	1127.35	825.0	915.51	995.0
GPT	0.0	0.58	100.83	9.63	8.0	8.99	9.85	9.34	19.39	37.59	45.53	62.12	12.27	21.01	74.06	29.48	22.1	12.55
HAGHL	0.0	0.82	205.5	27.44	17.38	15.56	10.79	56.28	42.41	31.9	81.14	127.0	22.75	39.79	51.71	14.67	42.71	19.11
HAPLN2	0.0	0.39	4.86	0.0	10.55	4.1	2.03	17.0	10.88	8.06	15.11	29.27	6.73	12.0	15.0	9.93	5.15	11.3
HHEX	0.0	0.49	4181.07	2895.31	1388.16	947.83	2351.53	2163.77	1781.89	1313.23	2384.37	2935.74	2573.36	2148.82	2351.53	2178.83	2335.28	1709.26
HIC2	0.0	0.48	74.58	63.0	77.79	52.82	50.98	71.0	71.0	55.1	100.83	88.26	37.85	80.57	89.51	60.39	97.36	50.98
HSF1	0.0	0.93	1529.73	1508.65	1225.22	1051.79	1427.22	1583.71	1427.22	1369.04	1529.73	1769.57	1477.58	1529.73	1508.65	1487.87	1277.29	1529.73
IDUA	0.0	1.0	624.99	236.21	202.66	139.07	79.45	480.04	392.44	307.69	395.18	473.41	197.09	316.37	463.65	214.27	262.2	229.72
KCNC4	0.0	0.4	102.25	46.84	63.45	65.26	76.71	129.69	52.45	31.0	116.78	93.35	47.84	77.79	90.14	85.82	86.43	63.45
KIAA0195	0.0	0.92	1487.87	1151.06	1015.93	1331.57	1397.83	1540.37	1199.98	1119.56	1313.23	1594.73	1001.93	1529.73	1572.76	1233.75	1304.15	1457.23
KIF7	77.25	94.67	94.67	68.55	80.01	63.89	52.08	104.42	74.58	41.81	161.02	113.56	69.52	112.77	186.4	71.0	116.78	88.88
KIFC2	0.0	1.5	642.59	100.13	128.79	113.56	144.01	281.09	209.84	215.77	191.67	334.46	269.6	363.56	265.87	525.39	366.09	194.36
LYL1	0.0	0.22	157.68	18.7	41.81	90.77	41.81	129.69	83.45	52.45	115.97	102.97	75.11	90.77	97.36	42.11	134.3	84.04
LZTR1	0.0	0.99	1051.79	521.76	457.25	591.22	583.07	921.88	703.28	543.96	1044.52	848.22	708.18	743.43	733.19	698.41	1119.56	813.63
MAP3K12	0.0	0.71	466.88	134.3	115.16	191.67	112.77	217.27	122.64	122.64	214.27	291.04	180.02	226.54	242.88	220.32	175.07	143.01
MIB2	0.0	1.16	1733.13	307.69	507.46	414.87	463.65	988.12	866.07	693.58	1199.98	967.76	633.73	866.07	1037.29	703.28	674.59	836.53
MST1	0.0	1.0	1674.06	698.41	620.67	759.08	395.18	1651.0	1250.98	1001.93	954.43	2148.82	503.95	808.0	1037.29	1651.0	947.83	1191.69
MTA1	0.0	1.33	2816.11	1167.14	1268.46	928.3	698.41	1674.06	1572.76	1135.2	2075.59	2209.26	1304.15	1769.57	1950.0	1498.22	1857.6	1583.71
MXD4	0.0	0.38	1628.26	679.29	1127.35	842.36	1242.34	1572.76	1242.34	1030.12	1417.35	1498.22	872.1	1313.23	1427.22	1225.22	1407.55	1286.18
NADK	802.41	571.05	1143.1	624.99	896.64	775.05	748.61	1096.5	921.88	791.35	1104.13	1322.37	954.43	1096.5	988.12	842.36	967.76	1051.79
NCKIPSD	0.0	0.3	366.09	297.17	226.54	265.87	244.57	269.6	246.28	258.57	297.17	384.34	229.72	336.79	287.01	353.59	281.09	303.44
NOXA1	0.0	0.58	454.09	71.5	137.14	120.1	125.24	232.94	189.02	158.79	281.09	351.14	134.3	281.09	318.57	185.11	246.28	191.67
NOXO1	0.0	0.32	12.64	0.0	5.5	0.0	0.0	9.48	4.58	1.81	7.51	6.78	1.51	7.34	5.63	0.0	4.28	4.94
NPEPL1	0.0	0.84	1295.13	457.25	708.18	521.76	444.72	830.75	718.08	547.75	842.36	1216.75	848.22	988.12	748.61	748.61	723.08	1066.48
OMP	0.0	0.0	4.43	0.0	0.0	4.06	0.0	4.54	0.0	0.0	2.46	4.7	0.0	5.41	3.35	0.0	2.97	1.58
PANK4	0.0	0.56	460.44	314.17	397.93	363.56	368.65	483.38	547.75	518.15	521.76	583.07	384.34	447.82	525.39	466.88	473.41	444.72
PCBP4	0.0	0.69	743.43	371.22	384.34	332.14	327.56	579.04	624.99	503.95	587.13	521.76	403.5	674.59	693.58	454.09	457.25	629.35
PCGF2	0.0	0.91	1216.75	780.44	629.35	607.87	473.41	928.3	974.5	780.44	890.44	995.0	759.08	947.83	860.08	1143.1	723.08	836.53
PDHA1	0.0	1.25	3564.78	3419.52	3768.09	2777.33	2271.4	3794.3	3467.27	3419.52	3874.05	4972.34	3060.45	3768.09	3820.7	5831.91	5076.84	2796.65
PDLIM2	0.0	0.53	579.04	115.97	186.4	217.27	183.82	493.56	258.57	343.89	559.28	432.53	299.25	314.17	414.87	156.59	273.37	287.01
PICK1	563.18	848.22	860.08	483.38	738.29	429.54	403.5	808.0	780.44	660.68	928.3	872.1	651.58	808.0	872.1	748.61	854.13	642.59
PKN1	0.0	1.01	1208.34	764.36	921.88	669.92	1015.93	1331.57	941.27	878.17	1119.56	1313.23	1037.29	1519.15	1167.14	1104.13	1008.9	961.07
PLEKHH3	0.0	0.57	693.58	256.78	273.37	253.23	163.28	532.74	395.18	327.56	532.74	718.08	406.31	348.71	463.65	435.55	480.04	447.82
PPP6R2	713.11	473.41	1208.34	674.59	1059.11	796.86	660.68	1259.69	1051.79	988.12	1242.34	1709.26	1295.13	1359.57	1304.15	967.76	1135.2	1369.04
PRRC2A	2485.67	629.35	2255.7	1359.57	2351.53	2090.03	1709.26	2178.83	2271.4	1870.53	2855.44	3081.75	2303.12	2664.15	2682.69	1870.53	2485.67	2537.92
PRSS27	0.0	0.49	50.63	11.47	22.59	4.54	7.17	30.12	35.76	11.73	53.95	57.49	30.34	40.93	52.08	19.11	26.1	19.11
RABEP2	0.0	0.62	460.44	127.0	318.57	248.0	281.09	435.55	414.87	381.68	457.25	616.37	339.14	387.02	397.93	423.61	521.76	447.82
RARG	0.0	0.72	808.0	389.72	287.01	403.5	260.38	476.71	348.71	329.84	511.0	656.11	303.44	525.39	480.04	323.03	423.61	361.04
RBCK1	2255.7	435.55	1685.71	1059.11	1167.14	961.07	890.44	1175.27	1030.12	1191.69	1378.57	1628.26	1216.75	1233.75	1369.04	1096.5	1295.13	1277.29
RBM14-RBM4	0.0	0.29	84.04	37.32	57.89	56.28	47.17	108.9	96.68	49.56	65.72	118.43	28.65	67.59	133.36	67.12	62.12	54.33
RFNG	0.0	0.83	1037.29	371.22	660.68	563.18	599.49	764.36	728.11	698.41	842.36	860.08	713.11	813.63	860.08	775.05	819.3	759.08
RNF44	0.0	0.61	928.3	366.09	728.11	511.0	435.55	684.02	624.99	718.08	796.86	878.17	629.35	825.0	723.08	703.28	825.0	607.87
RP11-1212A22.4	0.0	1.0	1583.71	2502.97	872.1	1023.0	878.17	1617.0	808.0	1487.87	2018.8	2400.97	1259.69	2468.49	830.75	1143.1	988.12	713.11
RP11-1220K2.2	0.0	0.32	0.47	0.39	0.0	1.03	0.27	1.77	0.27	0.27	0.74	1.28	0.27	0.82	0.82	1.07	0.0	0.26
SDR42E2	0.0	0.0	1.93	0.92	0.43	0.67	0.41	2.53	0.41	2.51	0.85	2.73	0.41	0.44	2.12	0.96	1.13	0.39
SF3A2	0.0	1.07	1594.73	884.29	954.43	651.58	525.39	1037.29	1066.48	995.0	1378.57	1457.23	1159.07	1313.23	1143.1	934.76	1001.93	1322.37
SHANK3	0.0	0.77	441.64	69.03	171.45	158.79	89.51	293.07	161.02	121.79	267.73	366.09	159.9	237.86	248.0	162.14	193.01	214.27
SMIM6	0.0	0.03	2.1	2.81	0.0	0.0	2.58	2.43	3.08	2.97	3.82	5.77	2.05	6.78	9.41	4.24	1.23	0.62
SNX21	0.0	0.77	620.67	201.25	314.17	327.56	275.28	295.11	346.29	255.0	420.68	540.19	287.01	480.04	483.38	228.13	376.41	323.03
SORBS3	0.0	0.88	2537.92	1508.65	1757.34	1605.83	1529.73	2645.74	2018.8	1781.89	2701.35	3081.75	1896.65	3235.01	2319.15	1870.53	1950.0	2255.7
SP5	0.0	0.24	26.28	0.37	0.0	0.59	1.11	1.45	1.89	0.6	2.34	13.42	1.66	1.19	6.16	2.58	0.58	0.54
SPAG4	0.0	0.53	73.54	57.89	38.67	61.25	25.91	53.19	63.0	69.52	94.67	175.07	46.5	89.51	101.54	48.18	62.56	81.14
SPRN	0.0	0.39	76.17	38.95	45.85	37.59	58.71	76.71	72.01	46.84	92.7	100.83	37.32	71.0	58.71	47.84	84.63	59.55
SPSB3	0.0	0.64	1896.65	420.68	836.53	525.39	723.08	1191.69	1030.12	1051.79	1359.57	1733.13	1127.35	1233.75	1151.06	1119.56	825.0	1250.98
STARD3	0.0	0.73	1233.75	1015.93	819.3	713.11	791.35	1088.92	896.64	902.89	1111.82	1127.35	866.07	1037.29	1023.0	1008.9	934.76	954.43
TBC1D10A	0.0	0.69	620.67	353.59	403.5	239.52	403.5	583.07	547.75	587.13	884.29	825.0	414.87	595.34	633.73	551.56	514.56	780.44
TFEB	226.54	1561.89	688.78	414.87	616.37	412.0	447.82	583.07	406.31	423.61	743.43	872.1	536.45	743.43	764.36	684.02	595.34	591.22
TINAGL1	2255.7	2119.22	4358.66	1369.04	2148.82	2303.12	1883.54	2895.31	1936.53	2287.2	2720.15	4358.66	1417.35	3039.3	2895.31	2573.36	3018.3	3039.3
TLE2	0.0	0.97	2609.3	1407.55	1639.59	1936.53	1167.14	1519.15	1628.26	1417.35	2520.38	2451.44	1674.06	2303.12	2255.7	1001.93	1991.0	1950.0
TMEM204	0.0	0.45	738.29	229.72	332.14	928.3	432.53	1111.82	1037.29	595.34	1127.35	1870.53	693.58	802.41	921.88	660.68	808.0	934.76
TMEM229A	0.0	0.01	2.58	0.15	0.0	0.0	1.77	1.35	0.78	0.0	0.49	1.33	0.0	1.08	0.82	0.53	0.79	0.48
TNFSF12	0.0	0.67	1023.0	521.76	607.87	543.96	830.75	753.83	529.06	603.67	708.18	808.0	633.73	878.17	909.17	559.28	587.13	624.99
TPO	0.0	0.62	32315.87	45386.27	645473.24	619179.28	260332.24	402881.61	1078054.48	687022.54	636586.81	598087.73	672883.8	443937.41	492579.5	1327240.99	875652.15	2111737.85
TREX1	0.0	0.59	507.46	341.51	429.54	476.71	429.54	684.02	507.46	351.14	532.74	848.22	444.72	441.64	438.59	503.95	656.11	624.99
TREX2	0.0	0.42	35.0	6.94	12.36	10.55	3.69	27.44	12.45	15.11	27.25	40.64	11.91	5.73	28.65	15.68	21.32	6.52
TRIP6	0.0	1.14	2224.63	961.07	1540.37	1183.45	1059.11	2133.97	2133.97	1745.2	1963.57	2255.7	1757.34	2018.8	2193.99	1857.6	1896.65	1583.71
U2AF2	0.0	1.23	3103.19	1991.0	2148.82	2133.97	1870.53	2816.11	2816.11	2720.15	3212.66	2976.74	2468.49	2664.15	2997.45	2468.49	2758.13	2627.46
UBE2J2	0.0	0.85	1143.1	656.11	890.44	830.75	974.5	1216.75	1135.2	1030.12	1233.75	1359.57	1159.07	1073.91	1119.56	988.12	1151.06	1104.13
VPS51	0.0	0.79	2537.92	1781.89	2119.22	1388.16	1977.24	2976.74	2997.45	2573.36	2609.3	3280.18	1950.0	3124.78	3018.3	2417.67	2163.77	2627.46
WDR13	0.0	0.95	2758.13	1583.71	2163.77	1427.22	1857.6	2701.35	2573.36	2209.26	2720.15	3190.46	2240.11	2591.27	2485.67	2875.3	2537.92	2287.2
WDR90	0.0	0.97	1143.1	384.34	525.39	409.15	273.37	703.28	612.11	540.19	669.92	1277.29	785.88	915.51	860.08	647.07	571.05	866.07
XAB2	0.0	0.85	1008.9	629.35	688.78	497.0	563.18	878.17	941.27	954.43	1008.9	1259.69	909.17	988.12	1023.0	860.08	796.86	928.3
ZNF580	239.52	486.75	2075.59	1088.92	1111.82	860.08	521.76	1651.0	1322.37	1216.75	1857.6	1769.57	995.0	1594.73	1561.89	1199.98	1388.16	775.05
