	GTEX.SE5C.1026.SM.4BRUG	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.117XS.2226.SM.5GIE1	GTEX.ZF28.2526.SM.57WFH	GTEX.ZDTS.2726.SM.5L3E2	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.13PVQ.1926.SM.5L3GN	GTEX.11NUK.1726.SM.5A5L2	GTEX.ZYW4.1626.SM.5GIE6	GTEX.148VI.1226.SM.5RQJR	GTEX.12696.1526.SM.5EGL6	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.ZYW4.1426.SM.5SIAX	GTEX.13YAN.2026.SM.5Q5EY	GTEX.146FQ.1126.SM.5NQBM	GTEX.13PVQ.1826.SM.5L3GU	GTEX.ZAB4.1226.SM.5CVN5	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.117YW.2026.SM.5N9BH	GTEX.ZYT6.1226.SM.5E44Q	GTEX.12696.1426.SM.5EGJ6	GTEX.148VJ.1126.SM.5NQBZ	GTEX.RWSA.1326.SM.47JX9	TCGA.38.4625.01A.01R.1206.07	GTEX.NPJ8.2426.SM.3MJHL	GTEX.WK11.2626.SM.4OOSK	TCGA.FP.7735.11A.01R.2055.13	TCGA.AX.A2HC.11A.11R.A32Y.07	GTEX.R55G.1626.SM.48FF4
GON4L	195.72	279.14	444.72	454.09	493.56	287.01	167.9	190.34	780.44	733.19	684.02	473.41	684.02	872.1	638.15	1059.11	961.07	921.88	647.07	830.75	599.49	555.41	934.76	854.13	947.83	1151.06	409.15	1073.91	780.44	718.08	728.11	693.58	718.08	536.45	743.43	1088.92	769.69	395.18	246.28	312.0	348.71	253.23	242.88
GRIPAP1	444.72	514.56	669.92	647.07	575.03	532.74	587.13	314.17	819.3	679.29	785.88	698.41	733.19	854.13	620.67	1378.57	967.76	1233.75	713.11	909.17	551.56	642.59	674.59	1037.29	928.3	1331.57	511.0	988.12	896.64	780.44	780.44	1030.12	603.67	629.35	974.5	921.88	748.61	651.58	713.11	395.18	575.03	447.82	346.29
GTPBP1	406.31	497.0	684.02	848.22	713.11	532.74	435.55	420.68	1088.92	941.27	921.88	866.07	848.22	1350.18	723.08	1477.58	921.88	947.83	836.53	679.29	813.63	769.69	684.02	620.67	1199.98	941.27	638.15	1529.73	591.22	974.5	738.29	775.05	872.1	540.19	1044.52	947.83	909.17	540.19	395.18	493.56	1044.52	447.82	241.19
HUWE1	1199.98	1721.16	2075.59	1674.06	1883.54	1304.15	1183.45	890.44	2664.15	1923.14	1977.24	1896.65	2119.22	2520.38	1674.06	2720.15	1923.14	1977.24	1605.83	1781.89	1259.69	1477.58	1685.71	1896.65	2004.85	2104.58	1295.13	2855.44	1540.37	2417.67	1540.37	1832.01	1175.27	1583.71	1487.87	2271.4	1909.85	1313.23	1529.73	1111.82	1883.54	1286.18	1111.82
ICA1L	50.27	185.11	144.01	228.13	540.19	89.51	63.0	57.49	249.73	299.25	348.71	309.83	379.04	327.56	199.85	540.19	346.29	429.54	145.02	312.0	187.71	177.53	285.03	299.25	493.56	454.09	107.38	432.53	343.89	476.71	190.34	285.03	165.57	236.21	403.5	587.13	361.04	47.5	59.13	133.36	242.88	107.38	99.43
INO80D	29.27	57.49	80.01	82.29	66.65	63.45	57.08	31.22	119.26	82.87	117.6	87.03	138.1	190.34	86.43	144.01	156.59	180.02	115.97	113.56	59.13	86.43	132.44	119.26	140.04	171.45	67.59	220.32	144.01	145.02	119.26	136.19	100.13	95.34	127.0	141.02	150.17	17.38	51.71	65.72	60.82	44.25	32.13
KIAA0907	191.67	215.77	463.65	514.56	583.07	368.65	336.79	237.86	1096.5	808.0	860.08	532.74	860.08	1857.6	974.5	2384.37	1594.73	1519.15	947.83	1331.57	860.08	1295.13	1304.15	1508.65	1832.01	1991.0	450.94	2004.85	1427.22	1583.71	1127.35	1487.87	674.59	981.29	1295.13	2090.03	1467.37	0.0	295.11	339.14	336.79	211.31	175.07
LRRC39	1.62	11.04	15.56	9.13	33.54	14.45	14.24	3.72	29.27	15.0	29.7	12.45	18.7	47.17	28.04	65.72	111.21	132.44	15.68	55.1	40.64	37.85	36.79	62.12	74.58	130.6	11.04	53.19	84.04	43.02	30.34	34.02	24.11	19.11	136.19	183.82	29.7	0.0	18.7	2.53	7.22	4.43	9.93
LRRFIP2	1151.06	842.36	665.29	890.44	723.08	890.44	981.29	1437.15	890.44	842.36	1191.69	1277.29	1250.98	1088.92	1277.29	1467.37	1322.37	1304.15	825.0	1540.37	1295.13	1127.35	1268.46	1359.57	1662.49	1561.89	1073.91	1340.84	1437.15	1605.83	830.75	1259.69	1044.52	1183.45	1572.76	1733.13	1322.37	0.0	759.08	1111.82	723.08	1208.34	974.5
LY6G5B	72.01	59.55	90.14	169.07	241.19	142.01	61.68	60.39	447.82	182.55	447.82	199.85	575.03	934.76	480.04	1250.98	1674.06	967.76	521.76	830.75	642.59	260.38	665.29	1088.92	934.76	1183.45	214.27	1331.57	679.29	890.44	679.29	1066.48	318.57	470.14	866.07	2240.11	1088.92	0.0	18.03	24.81	183.82	45.21	50.27
MAN2C1	693.58	915.51	1757.34	1844.76	1819.35	2400.97	2148.82	1397.83	2520.38	2664.15	4239.45	1487.87	4639.29	8078.22	4671.57	10883.59	10808.41	9215.48	7081.29	8658.09	4903.87	5403.7	6935.54	7589.61	7966.99	9344.14	2032.85	8658.09	5183.54	5292.48	7081.29	7857.29	3564.78	4388.98	6652.97	7803.01	5112.16	0.0	2240.11	1378.57	1769.57	1037.29	988.12
MCCC2	303.44	336.79	463.65	579.04	299.25	389.72	283.05	392.44	543.96	307.69	312.0	287.01	511.0	575.03	371.22	532.74	536.45	603.67	297.17	389.72	314.17	334.46	466.88	470.14	612.11	543.96	351.14	629.35	480.04	525.39	346.29	438.59	323.03	429.54	785.88	703.28	583.07	0.0	201.25	289.02	387.02	239.52	325.29
MFSD8	74.58	92.05	134.3	169.07	148.09	166.73	88.88	103.69	275.28	146.03	237.86	137.14	209.84	277.2	237.86	327.56	547.75	381.68	223.41	320.8	224.97	181.28	316.37	376.41	348.71	426.57	139.07	351.14	320.8	262.2	198.47	305.55	208.38	190.34	371.22	503.95	387.02	0.0	98.73	143.01	133.36	94.01	93.35
MTMR1	167.9	223.41	246.28	316.37	275.28	201.25	173.85	194.36	1498.22	460.44	358.54	325.29	379.04	336.79	231.32	503.95	432.53	463.65	204.07	291.04	206.94	209.84	356.05	303.44	403.5	384.34	223.41	500.46	334.46	389.72	262.2	361.04	189.02	269.6	417.77	470.14	353.59	0.0	117.6	246.28	214.27	105.89	122.64
MTR	116.78	279.14	301.33	249.73	441.64	183.82	103.69	120.1	423.61	426.57	567.1	529.06	454.09	525.39	381.68	713.11	579.04	547.75	301.33	395.18	269.6	223.41	483.38	486.75	708.18	543.96	256.78	733.19	563.18	559.28	339.14	457.25	267.73	265.87	490.14	974.5	486.75	126.12	169.07	224.97	323.03	204.07	142.01
MYSM1	53.19	117.6	156.59	185.11	202.66	92.7	95.34	68.07	314.17	262.2	305.55	166.73	351.14	547.75	190.34	507.46	463.65	366.09	161.02	248.0	115.16	202.66	307.69	373.81	493.56	476.71	106.63	532.74	444.72	384.34	209.84	387.02	173.85	173.85	395.18	543.96	518.15	101.54	55.89	107.38	132.44	55.89	68.07
NKTR	130.6	236.21	444.72	674.59	669.92	507.46	228.13	129.69	974.5	819.3	1378.57	579.04	1551.09	1639.59	1388.16	2835.7	2720.15	2133.97	1088.92	1457.23	647.07	1233.75	1467.37	1909.85	2287.2	2209.26	599.49	1617.0	2417.67	1883.54	1277.29	2384.37	1498.22	1191.69	1963.57	2520.38	1963.57	223.41	171.45	303.44	366.09	141.02	169.07
NME9	1.99	1.35	18.43	12.36	15.68	4.24	4.06	0.58	25.91	11.38	21.47	6.01	20.11	16.51	9.41	53.19	45.21	37.32	12.93	9.13	17.38	8.71	28.65	23.42	24.81	20.56	16.75	20.56	29.7	37.32	9.27	27.64	5.54	14.03	23.42	33.54	48.52	0.0	21.78	2.71	13.93	3.38	7.75
NPIPB15	38.12	37.59	39.22	0.0	52.82	5.15	1.43	72.52	277.2	121.79	70.51	27.44	212.78	361.04	312.0	688.78	483.38	476.71	248.0	753.83	8.0	199.85	656.11	295.11	723.08	902.89	3.41	490.14	387.02	255.0	262.2	325.29	246.28	275.28	387.02	595.34	490.14	0.0	1.3	50.27	35.0	21.94	3.76
NUP107	275.28	186.4	423.61	325.29	384.34	205.5	176.29	187.71	915.51	595.34	371.22	325.29	343.89	669.92	198.47	392.44	723.08	718.08	186.4	309.83	208.38	244.57	409.15	293.07	470.14	665.29	244.57	836.53	400.71	356.05	204.07	417.77	256.78	327.56	647.07	967.76	500.46	0.0	220.32	269.6	241.19	341.51	289.02
OVGP1	31.22	26.67	76.17	38.95	49.21	82.29	28.45	19.25	81.71	86.43	67.59	39.79	68.07	190.34	108.14	281.09	299.25	500.46	127.0	120.1	148.09	87.65	197.09	202.66	244.57	414.87	31.0	198.47	273.37	262.2	189.02	231.32	131.51	113.56	540.19	493.56	176.29	0.0	38.95	43.02	24.81	15.56	43.02
PAPD4	285.03	366.09	441.64	483.38	403.5	476.71	277.2	291.04	579.04	547.75	620.67	403.5	607.87	1268.46	555.41	1008.9	1208.34	791.35	447.82	483.38	397.93	525.39	647.07	848.22	1001.93	921.88	371.22	1119.56	1044.52	791.35	507.46	688.78	612.11	392.44	796.86	1286.18	830.75	0.0	172.65	414.87	409.15	368.65	366.09
PHF7	82.87	100.83	88.26	118.43	104.42	110.43	44.25	73.54	154.42	143.01	138.1	164.42	146.03	111.21	147.06	267.73	389.72	239.52	94.67	197.09	175.07	150.17	251.48	221.86	343.89	334.46	101.54	130.6	264.03	229.72	117.6	218.79	133.36	181.28	279.14	775.05	293.07	0.0	68.55	101.54	152.28	56.68	55.89
PHF8	115.97	167.9	251.48	289.02	283.05	218.79	190.34	98.04	361.04	397.93	343.89	283.05	361.04	490.14	312.0	738.29	447.82	532.74	301.33	214.27	180.02	120.94	343.89	371.22	595.34	435.55	159.9	503.95	356.05	507.46	361.04	406.31	295.11	197.09	397.93	723.08	339.14	255.0	199.85	211.31	214.27	208.38	101.54
PIAS2	211.31	244.57	180.02	232.94	218.79	175.07	162.14	142.01	182.55	194.36	229.72	231.32	264.03	264.03	185.11	334.46	339.14	281.09	187.71	180.02	152.28	208.38	262.2	275.28	293.07	283.05	228.13	253.23	262.2	285.03	260.38	255.0	180.02	229.72	366.09	327.56	242.88	177.53	191.67	183.82	224.97	189.02	85.22
PIGL	111.99	165.57	154.42	285.03	277.2	279.14	211.31	190.34	638.15	316.37	447.82	182.55	567.1	967.76	629.35	1447.15	1250.98	961.07	575.03	791.35	529.06	616.37	775.05	909.17	1175.27	1216.75	273.37	1001.93	988.12	902.89	728.11	830.75	403.5	473.41	775.05	1277.29	842.36	0.0	84.04	157.68	264.03	154.42	133.36
POLM	162.14	185.11	379.04	279.14	299.25	249.73	120.94	85.22	441.64	346.29	412.0	301.33	441.64	426.57	633.73	1037.29	769.69	1104.13	555.41	780.44	444.72	403.5	651.58	624.99	540.19	633.73	258.57	389.72	679.29	493.56	518.15	684.02	314.17	403.5	688.78	575.03	412.0	0.0	208.38	205.5	366.09	218.79	178.77
POLR3A	72.01	93.35	150.17	136.19	116.78	104.42	71.5	72.52	141.02	108.9	170.25	133.36	130.6	285.03	122.64	234.57	255.0	251.48	127.0	165.57	135.24	119.26	198.47	198.47	214.27	221.86	107.38	490.14	161.02	173.85	135.24	190.34	141.02	108.14	209.84	348.71	164.42	0.0	99.43	115.16	91.41	92.7	91.41
