	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EL.A3ZT.11A.13R.A23N.07	TCGA.H2.A2K9.11A.11R.A180.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OIZI.0726.SM.2XCEI	GTEX.13N1W.0826.SM.5MR5J	GTEX.OHPM.2626.SM.33HC5	GTEX.12WSK.0926.SM.5CVNQ	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.WFJO.0226.SM.3GIKW	GTEX.1128S.0126.SM.5H12S	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.OOBK.2626.SM.2HMKY	GTEX.RWSA.0826.SM.2XCBF	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.YF7O.0726.SM.4W213	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.QXCU.0326.SM.2TC63	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3
B3GALT6	208.38	175.07	164.42	0.0	303.44	493.56	429.54	547.75	435.55	318.57	305.55	351.14	201.25	211.31	178.77	267.73	234.57	316.37	275.28	98.73	323.03	327.56	251.48	234.57	212.78	205.5	161.02	215.77	175.07	336.79	323.03	140.04	332.14	371.22	232.94	327.56	320.8	176.29	346.29	358.54	267.73	224.97	201.25	336.79	180.02	341.51	303.44	414.87	175.07	414.87	368.65	323.03	249.73	435.55	182.55	414.87	339.14	305.55	381.68	303.44	403.5	145.02	163.28	334.46	239.52	137.14	353.59
B3GAT3	205.5	164.42	540.19	0.93	1519.15	1540.37	1508.65	1529.73	1143.1	1697.45	1295.13	1437.15	775.05	688.78	299.25	748.61	500.46	988.12	647.07	529.06	860.08	947.83	780.44	836.53	684.02	441.64	559.28	633.73	587.13	890.44	954.43	620.67	961.07	866.07	748.61	830.75	842.36	679.29	813.63	1044.52	890.44	733.19	854.13	743.43	543.96	1159.07	642.59	1199.98	665.29	1023.0	1277.29	753.83	733.19	1030.12	684.02	1143.1	674.59	941.27	1183.45	642.59	1015.93	559.28	769.69	698.41	1073.91	612.11	738.29
B3GNT9	77.25	110.43	134.3	0.45	896.64	825.0	780.44	1081.39	1529.73	2119.22	941.27	1437.15	633.73	764.36	607.87	647.07	480.04	1225.22	1225.22	305.55	988.12	748.61	1199.98	507.46	967.76	674.59	1001.93	563.18	587.13	775.05	1037.29	571.05	896.64	1001.93	698.41	791.35	842.36	599.49	947.83	1167.14	915.51	518.15	497.0	1059.11	819.3	728.11	813.63	941.27	356.05	1066.48	808.0	981.29	780.44	915.51	866.07	1143.1	759.08	928.3	928.3	934.76	1059.11	525.39	438.59	813.63	890.44	432.53	896.64
B9D1	289.02	198.47	295.11	0.0	1417.35	1417.35	1896.65	1832.01	2417.67	2367.9	2075.59	1519.15	1167.14	1059.11	902.89	1340.84	1088.92	1183.45	1407.55	934.76	1628.26	1295.13	1519.15	1191.69	1250.98	1191.69	1331.57	1151.06	1233.75	1407.55	1551.09	928.3	2193.99	1628.26	1225.22	1709.26	1096.5	1397.83	1268.46	2061.24	1417.35	1066.48	995.0	1909.85	1167.14	1605.83	1769.57	2032.85	1008.9	2451.44	2061.24	1628.26	1378.57	1639.59	1397.83	2163.77	1594.73	1551.09	2468.49	1617.0	1844.76	860.08	974.5	1977.24	1685.71	775.05	1388.16
BAD	559.28	525.39	642.59	0.73	4639.29	3372.43	3955.48	3665.02	2720.15	4038.61	3280.18	3901.01	2018.8	2047.0	1073.91	1529.73	1437.15	4239.45	2976.74	1477.58	2255.7	2417.67	2627.46	1427.22	3280.18	995.0	2133.97	2004.85	1844.76	2701.35	2537.92	1572.76	2591.27	2591.27	1757.34	2209.26	3190.46	3847.29	2209.26	2335.28	3690.52	1457.23	1806.78	2573.36	1529.73	2701.35	2319.15	2468.49	1208.34	3419.52	2133.97	2119.22	2047.0	4010.71	1963.57	3190.46	1651.0	2468.49	4358.66	2434.5	3372.43	1437.15	1477.58	2075.59	4095.0	2075.59	2591.27
BANF1	4358.66	4210.15	3060.45	0.62	7280.4	8305.36	6561.36	5517.27	4769.75	10014.87	7130.55	7130.55	3018.3	3794.3	4066.71	3820.7	3443.31	7280.4	5791.62	3349.13	4972.34	4095.0	5791.62	3742.05	5954.47	3515.68	4450.27	4607.24	3372.43	3443.31	4388.98	2609.3	5255.91	5633.22	4802.93	4388.98	5041.77	4769.75	5751.61	6381.92	5555.65	3419.52	3820.7	5672.41	4481.23	5479.15	4607.24	5872.48	3874.05	5292.48	5183.54	4736.79	3955.48	5633.22	5292.48	5791.62	4210.15	4152.18	4903.87	4298.64	5831.91	3564.78	3443.31	4419.52	5594.3	4419.52	6121.9
BCKDK	633.73	486.75	536.45	0.72	1259.69	1023.0	1081.39	921.88	995.0	1259.69	909.17	1286.18	813.63	791.35	497.0	620.67	521.76	848.22	759.08	961.07	796.86	733.19	808.0	599.49	684.02	460.44	785.88	791.35	587.13	902.89	884.29	854.13	921.88	848.22	830.75	723.08	974.5	896.64	723.08	713.11	738.29	607.87	629.35	909.17	579.04	915.51	764.36	860.08	511.0	915.51	748.61	769.69	647.07	1023.0	748.61	928.3	665.29	688.78	813.63	693.58	1051.79	738.29	327.56	728.11	921.88	878.17	896.64
BLOC1S1	1159.07	1447.15	1769.57	915.51	6983.79	7537.18	7642.41	8247.98	5711.87	5517.27	7331.05	13681.08	3564.78	3124.78	3419.52	3190.46	2664.15	5147.73	3716.2	2434.5	4903.87	5112.16	5219.6	3614.55	4575.41	2434.5	3235.01	4123.49	3081.75	4450.27	4123.49	2163.77	5076.84	4671.57	4419.52	5076.84	4972.34	5006.93	4704.07	5183.54	5517.27	3212.66	3325.99	6652.97	2875.3	7485.11	3716.2	5076.84	3395.89	6652.97	4937.99	5183.54	4123.49	5913.33	3768.09	5403.7	4010.71	3235.01	6471.02	5791.62	5954.47	3564.78	3081.75	4152.18	6561.36	4298.64	5219.6
C11orf83	63.0	39.5	61.25	170.25	420.68	316.37	392.44	368.65	325.29	397.93	303.44	547.75	167.9	152.28	78.89	86.43	145.02	202.66	169.07	72.52	220.32	162.14	205.5	138.1	198.47	96.68	81.14	117.6	108.9	236.21	162.14	73.54	224.97	229.72	214.27	229.72	217.27	151.22	170.25	220.32	164.42	143.01	128.79	249.73	68.07	309.83	150.17	223.41	83.45	293.07	217.27	212.78	150.17	295.11	145.02	301.33	112.77	107.38	309.83	163.28	277.2	144.01	100.13	224.97	205.5	113.56	249.73
C12orf10	780.44	620.67	612.11	0.64	1977.24	1819.35	1991.0	1819.35	2645.74	2777.33	1936.53	3081.75	1477.58	1304.15	1059.11	1088.92	1250.98	1628.26	1551.09	825.0	1208.34	1175.27	1529.73	1119.56	1508.65	1208.34	1199.98	1135.2	1437.15	1639.59	1594.73	791.35	1191.69	1477.58	1477.58	1378.57	2224.63	1832.01	1781.89	1674.06	1561.89	1143.1	1059.11	1313.23	1233.75	1388.16	1457.23	1628.26	1378.57	1639.59	1397.83	1427.22	1119.56	1594.73	1427.22	1909.85	1001.93	1259.69	2032.85	1135.2	2133.97	1059.11	1259.69	1143.1	1628.26	1199.98	1950.0
C17orf89	995.0	1044.52	713.11	0.54	2555.58	2287.2	2400.97	2520.38	3515.68	3443.31	1991.0	2384.37	1268.46	1242.34	1662.49	708.18	1295.13	2193.99	1233.75	819.3	1295.13	1225.22	1540.37	1909.85	1378.57	1037.29	1216.75	503.95	909.17	1199.98	1111.82	860.08	2061.24	1977.24	1950.0	1551.09	1340.84	1529.73	1844.76	1594.73	2209.26	1059.11	1051.79	1844.76	1030.12	2573.36	1331.57	1819.35	1242.34	1662.49	1685.71	1397.83	1199.98	1233.75	1529.73	2133.97	1447.15	813.63	1304.15	1583.71	1685.71	1081.39	909.17	1819.35	1467.37	796.86	1757.34
C19orf24	363.56	476.71	438.59	0.15	2645.74	2384.37	2701.35	1781.89	1923.14	3820.7	2104.58	3491.39	1295.13	1111.82	256.78	718.08	848.22	1883.54	921.88	693.58	1519.15	1697.45	1417.35	1407.55	1277.29	642.59	1268.46	967.76	813.63	1388.16	1467.37	848.22	1844.76	1697.45	1143.1	1135.2	1561.89	1498.22	1857.6	1977.24	1757.34	1175.27	1208.34	1498.22	808.0	2384.37	1208.34	2119.22	836.53	2720.15	1745.2	1427.22	1225.22	2032.85	1151.06	2417.67	1135.2	1199.98	2555.58	1397.83	1991.0	961.07	981.29	1639.59	1709.26	1167.14	1551.09
C1orf122	486.75	603.67	738.29	0.72	3768.09	2855.44	2434.5	3589.58	2090.03	2178.83	2271.4	2816.11	928.3	1104.13	647.07	1159.07	813.63	2061.24	1397.83	813.63	1594.73	1639.59	1467.37	1225.22	1757.34	647.07	1023.0	1143.1	830.75	1605.83	1674.06	813.63	2090.03	1605.83	1225.22	1870.53	1096.5	1498.22	947.83	2133.97	1225.22	1143.1	825.0	1909.85	599.49	2018.8	1397.83	1806.78	624.99	3257.52	1977.24	1216.75	1183.45	2520.38	1183.45	3212.66	1191.69	1709.26	3443.31	1331.57	2255.7	651.58	796.86	1857.6	1427.22	872.1	1088.92
C1orf56	158.79	119.26	133.36	0.31	432.53	420.68	358.54	387.02	633.73	497.0	414.87	665.29	285.03	264.03	209.84	204.07	180.02	400.71	366.09	134.3	325.29	327.56	309.83	329.84	351.14	258.57	201.25	248.0	264.03	389.72	403.5	164.42	334.46	295.11	258.57	283.05	262.2	269.6	368.65	384.34	329.84	249.73	183.82	392.44	275.28	420.68	303.44	334.46	153.34	490.14	336.79	258.57	218.79	358.54	348.71	454.09	244.57	265.87	414.87	351.14	525.39	325.29	131.51	275.28	320.8	189.02	423.61
C9orf16	693.58	785.88	1781.89	0.83	4210.15	4869.99	3257.52	2627.46	2303.12	3395.89	2976.74	2240.11	1199.98	1191.69	341.51	836.53	1529.73	1447.15	1225.22	1030.12	921.88	1151.06	3060.45	866.07	1508.65	629.35	974.5	1051.79	791.35	1322.37	1295.13	616.37	1561.89	1508.65	1359.57	1199.98	1844.76	2303.12	1286.18	1674.06	1832.01	848.22	1233.75	1417.35	638.15	2682.69	915.51	1427.22	967.76	2645.74	1159.07	1191.69	718.08	3146.52	1467.37	2240.11	848.22	813.63	4328.55	1551.09	2224.63	651.58	860.08	1059.11	1936.53	1167.14	1359.57
CCDC124	197.09	206.94	708.18	1.0	4769.75	4095.0	2997.45	3081.75	2090.03	3564.78	2777.33	3639.7	1721.16	1709.26	647.07	1286.18	1051.79	2367.9	1832.01	1250.98	1662.49	1781.89	2148.82	1378.57	2178.83	759.08	1250.98	1359.57	1487.87	2004.85	1757.34	1286.18	2351.53	1832.01	1769.57	2047.0	2193.99	2104.58	1733.13	2148.82	2224.63	1378.57	1605.83	2255.7	915.51	2417.67	1529.73	2178.83	1304.15	2018.8	2075.59	1936.53	1572.76	2777.33	1832.01	2224.63	1088.92	1457.23	2664.15	1639.59	2758.13	1191.69	1295.13	1617.0	2163.77	1551.09	1963.57
CCDC92	525.39	651.58	470.14	88.88	2193.99	1250.98	1487.87	1088.92	1143.1	2104.58	1977.24	1721.16	981.29	1030.12	848.22	718.08	848.22	1350.18	1250.98	791.35	1350.18	1378.57	1225.22	1044.52	1378.57	633.73	780.44	954.43	848.22	836.53	1104.13	915.51	1127.35	1477.58	1167.14	1127.35	1111.82	1167.14	988.12	1044.52	1143.1	961.07	1225.22	1199.98	728.11	1697.45	1350.18	988.12	802.41	1331.57	1081.39	1073.91	1143.1	1151.06	1250.98	947.83	1023.0	1023.0	1369.04	1594.73	1135.2	981.29	796.86	1208.34	1051.79	967.76	1709.26
CD320	432.53	291.04	293.07	0.51	3018.3	1832.01	2148.82	1233.75	1909.85	2682.69	1923.14	2758.13	1268.46	1111.82	575.03	1135.2	579.04	2591.27	1662.49	651.58	1088.92	1175.27	1529.73	674.59	1883.54	599.49	1135.2	1540.37	748.61	1781.89	1259.69	718.08	1143.1	1359.57	1304.15	1605.83	2956.17	1233.75	1369.04	1963.57	1605.83	1350.18	1277.29	1250.98	1111.82	1639.59	1073.91	1605.83	1081.39	2018.8	780.44	1757.34	656.11	2148.82	1313.23	1388.16	656.11	1023.0	2720.15	1001.93	1467.37	1519.15	896.64	1519.15	1806.78	769.69	2720.15
CENPB	460.44	447.82	848.22	1051.79	1340.84	1437.15	1561.89	1819.35	1388.16	1617.0	1159.07	1447.15	808.0	1023.0	511.0	961.07	775.05	1066.48	954.43	733.19	1059.11	974.5	995.0	961.07	934.76	583.07	961.07	743.43	743.43	1159.07	1081.39	1242.34	1096.5	1313.23	842.36	934.76	1059.11	954.43	1175.27	1135.2	1159.07	748.61	842.36	1143.1	708.18	1073.91	995.0	1628.26	785.88	941.27	902.89	1081.39	1104.13	1175.27	842.36	1059.11	1119.56	934.76	981.29	836.53	1081.39	909.17	1059.11	974.5	1159.07	848.22	934.76
CHCHD2	5441.3	5041.77	5479.15	1.35	11827.67	10368.08	10296.45	9606.86	13968.57	8963.45	9945.68	23656.34	6294.04	6426.31	5329.3	5672.41	5555.65	11992.79	9279.58	6471.02	8538.88	7081.29	11035.54	5255.91	11189.6	5751.61	6745.86	7180.15	5831.91	7280.4	7433.4	8963.45	9088.59	7230.1	7857.29	7485.11	7642.41	10014.87	7803.01	8963.45	9540.5	5954.47	6792.79	9151.82	6516.03	8479.89	7485.11	8718.32	4972.34	9540.5	9344.14	7382.04	7642.41	10368.08	7032.37	9945.68	6792.79	6516.03	8901.53	7966.99	11035.54	5517.27	5555.65	7230.1	9606.86	8078.22	7589.61
CHCHD5	397.93	381.68	432.53	0.3	1963.57	1662.49	2075.59	1709.26	1540.37	1769.57	1697.45	2502.97	1015.93	854.13	616.37	802.41	808.0	1745.2	1175.27	651.58	1216.75	1175.27	1639.59	1268.46	1457.23	830.75	1001.93	967.76	1037.29	1277.29	1340.84	708.18	1757.34	1388.16	1096.5	1277.29	1359.57	1467.37	1304.15	1498.22	1551.09	785.88	842.36	1457.23	842.36	1794.29	1151.06	1331.57	713.11	1639.59	1259.69	1508.65	1059.11	1594.73	1304.15	1572.76	1268.46	1051.79	1794.29	1350.18	1639.59	1044.52	743.43	1313.23	1551.09	1023.0	1369.04
CHMP2A	1183.45	1447.15	2351.53	1.01	7081.29	8538.88	7803.01	8134.41	6699.25	9945.68	7382.04	8658.09	4181.07	4038.61	3901.01	3794.3	3614.55	6607.01	4903.87	3257.52	5913.33	5147.73	5633.22	4607.24	4736.79	3847.29	3639.7	5076.84	3665.02	4769.75	4869.99	2555.58	6294.04	4937.99	4607.24	5517.27	3901.01	5041.77	5255.91	6337.83	5255.91	3665.02	4358.66	6381.92	3874.05	7695.57	4802.93	5791.62	3467.27	5517.27	6426.31	6207.38	5292.48	5672.41	4704.07	6426.31	4450.27	4736.79	5872.48	5872.48	7433.4	2935.74	3564.78	4358.66	6037.61	4512.4	5403.7
CISD3	262.2	316.37	444.72	0.38	1909.85	1605.83	2047.0	1819.35	2163.77	2209.26	1950.0	3168.41	1030.12	954.43	674.59	848.22	483.38	1769.57	1295.13	819.3	1662.49	1519.15	1127.35	1216.75	1322.37	607.87	934.76	1015.93	759.08	1437.15	1250.98	490.14	1870.53	1662.49	1304.15	1216.75	1151.06	1159.07	1397.83	1721.16	1397.83	1030.12	830.75	1721.16	785.88	2335.28	1073.91	1477.58	607.87	2434.5	1857.6	1388.16	1111.82	2104.58	1030.12	2018.8	995.0	1151.06	2520.38	1477.58	1709.26	808.0	599.49	1295.13	2287.2	1023.0	1369.04
CLPP	543.96	395.18	764.36	0.55	1977.24	1508.65	1709.26	1617.0	1529.73	2627.46	1605.83	2255.7	1183.45	1135.2	748.61	836.53	1023.0	1806.78	1295.13	738.29	1388.16	1313.23	1651.0	1051.79	1340.84	759.08	1208.34	1030.12	988.12	1378.57	1467.37	909.17	1769.57	1369.04	1397.83	1407.55	1242.34	1175.27	1286.18	1467.37	1378.57	848.22	974.5	1605.83	808.0	1447.15	1359.57	1551.09	748.61	1583.71	1388.16	1519.15	1225.22	1709.26	1208.34	1583.71	1199.98	1119.56	1685.71	1167.14	1757.34	1081.39	748.61	1427.22	1407.55	1088.92	1175.27
