	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.A7.A13G.11A.51R.A13Q.07	GTEX.11ZTT.2326.SM.5EQLG	GTEX.145ME.1526.SM.5Q5F2	TCGA.KN.8427.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	TCGA.CW.6087.11A.01R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.CZ.5986.11A.01R.1672.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BR.7722.01A.31R.2203.13	TCGA.D7.6521.01A.11R.1802.13	TCGA.D7.6526.01A.11R.1802.13	TCGA.CG.5719.01A.11R.1602.13	TCGA.D7.6524.01A.11R.1802.13	TCGA.BR.8483.01A.31R.2402.13
CLCN1	0.39	0.78	0.79	2.53	2.25	0.91	8.45	4.24	3.96	29.48	4.46	2.29	4.54	3.32	4.9	0.78	6.52	11.82	2.32	0.8	0.06	9.2	7.17	9.7	4.98	13.62	11.04
CSNK1G2	426.57	343.89	599.49	447.82	587.13	514.56	769.69	656.11	595.34	775.05	866.07	647.07	551.56	624.99	536.45	547.75	500.46	521.76	890.44	753.83	0.66	1304.15	1745.2	1313.23	1437.15	1583.71	1721.16
CTU2	63.89	88.88	135.24	94.01	89.51	92.05	273.37	221.86	146.03	163.28	214.27	191.67	99.43	142.01	122.64	108.9	157.68	166.73	232.94	201.25	0.42	285.03	490.14	579.04	567.1	356.05	397.93
DCAF15	194.36	167.9	299.25	221.86	183.82	246.28	420.68	320.8	346.29	406.31	497.0	339.14	327.56	231.32	293.07	281.09	348.71	332.14	384.34	327.56	0.75	759.08	579.04	571.05	591.22	603.67	825.0
DDX51	92.7	88.26	155.5	119.26	99.43	139.07	231.32	197.09	193.01	348.71	249.73	166.73	191.67	121.79	181.28	194.36	223.41	214.27	297.17	264.03	105.89	429.54	291.04	708.18	269.6	275.28	497.0
DDX54	329.84	332.14	718.08	466.88	507.46	432.53	1216.75	1059.11	796.86	1388.16	769.69	583.07	629.35	748.61	703.28	733.19	915.51	753.83	1467.37	1119.56	8658.09	1417.35	1350.18	2468.49	1457.23	1417.35	1397.83
DHX34	51.35	56.28	79.45	63.45	76.17	62.56	273.37	147.06	122.64	258.57	309.83	153.34	141.02	116.78	118.43	125.24	148.09	151.22	176.29	164.42	0.53	376.41	460.44	1104.13	312.0	312.0	713.11
DUS3L	96.01	135.24	172.65	170.25	94.67	105.89	412.0	309.83	305.55	291.04	327.56	334.46	232.94	150.17	194.36	212.78	299.25	241.19	363.56	376.41	0.68	599.49	698.41	941.27	579.04	500.46	921.88
E4F1	75.11	87.65	133.36	96.01	99.43	126.12	358.54	249.73	229.72	429.54	275.28	218.79	241.19	132.44	231.32	138.1	262.2	234.57	248.0	262.2	0.85	417.77	447.82	679.29	414.87	397.93	540.19
ELF3	143.01	1.51	170.25	9.13	87.65	191.67	7749.1	791.35	3124.78	1127.35	5147.73	6079.61	2400.97	1950.0	2104.58	884.29	1977.24	7803.01	3589.58	4512.4	532.74	25887.07	11992.79	30999.42	8247.98	7081.29	17804.06
EPN3	8.65	0.66	7.4	4.74	3.44	9.41	327.56	1685.71	703.28	3212.66	470.14	769.69	967.76	532.74	571.05	368.65	400.71	483.38	591.22	327.56	0.0	1628.26	1135.2	3589.58	1733.13	921.88	988.12
FAM207A	103.69	84.63	199.85	115.97	271.48	166.73	511.0	409.15	444.72	295.11	297.17	229.72	221.86	237.86	255.0	171.45	279.14	314.17	540.19	454.09	0.31	656.11	651.58	620.67	571.05	599.49	450.94
FAM83H	30.56	5.5	32.59	29.27	90.14	50.27	514.56	373.81	511.0	536.45	723.08	325.29	293.07	287.01	329.84	291.04	406.31	379.04	457.25	406.31	0.0	842.36	441.64	2485.67	1208.34	2367.9	1950.0
FZR1	260.38	228.13	366.09	271.48	249.73	281.09	540.19	612.11	426.57	490.14	591.22	559.28	392.44	373.81	336.79	432.53	343.89	406.31	547.75	438.59	0.68	974.5	981.29	967.76	854.13	1015.93	896.64
GALNT3	84.04	13.62	41.81	48.18	21.78	35.0	651.58	896.64	1457.23	624.99	444.72	878.17	473.41	629.35	688.78	389.72	583.07	884.29	529.06	314.17	0.27	1151.06	1685.71	988.12	830.75	921.88	2485.67
IER5L	22.26	33.54	25.54	34.75	3.76	5.87	872.1	753.83	158.79	490.14	205.5	500.46	466.88	122.64	197.09	57.08	346.29	616.37	341.51	460.44	0.51	819.3	1023.0	708.18	629.35	753.83	830.75
KIF26B	1.57	0.78	2.32	0.84	0.53	0.51	23.42	62.12	102.25	103.69	30.78	33.3	100.13	18.7	57.08	46.84	22.59	55.89	13.72	23.08	0.12	29.48	264.03	125.24	248.0	185.11	60.39
LAD1	14.89	2.73	38.12	2.94	7.75	23.59	1447.15	1583.71	3794.3	366.09	2367.9	2502.97	202.66	1104.13	616.37	872.1	836.53	1008.9	1104.13	1051.79	884.29	5791.62	7857.29	8658.09	5255.91	4358.66	4543.8
LAMC2	83.45	25.17	70.01	38.4	13.83	22.26	825.0	154.42	1477.58	69.52	591.22	693.58	92.7	194.36	444.72	112.77	231.32	688.78	309.83	126.12	0.42	1350.18	1794.29	2255.7	2485.67	5995.9	521.76
LRCH4	182.55	246.28	336.79	327.56	241.19	297.17	713.11	674.59	651.58	848.22	769.69	688.78	665.29	438.59	547.75	403.5	547.75	518.15	642.59	638.15	1.22	1119.56	961.07	2178.83	1111.82	1119.56	1963.57
LSM7	400.71	536.45	928.3	624.99	536.45	551.56	2224.63	2591.27	1268.46	2271.4	1225.22	1447.15	1359.57	974.5	1096.5	934.76	1487.87	1225.22	1844.76	1561.89	0.79	4419.52	3212.66	3395.89	3235.01	2319.15	4836.35
MAP1S	420.68	447.82	366.09	511.0	486.75	318.57	1159.07	400.71	563.18	532.74	624.99	587.13	341.51	460.44	397.93	429.54	616.37	583.07	693.58	629.35	0.54	1477.58	1397.83	1331.57	1477.58	1457.23	1199.98
MAP3K11	733.19	665.29	669.92	836.53	860.08	1216.75	1183.45	1127.35	575.03	1407.55	825.0	1183.45	785.88	848.22	603.67	890.44	954.43	684.02	1322.37	1378.57	0.38	2032.85	1540.37	1963.57	1870.53	1794.29	1709.26
MED25	236.21	289.02	417.77	346.29	529.06	293.07	967.76	884.29	708.18	1277.29	967.76	713.11	890.44	540.19	660.68	665.29	808.0	791.35	921.88	1081.39	0.71	1794.29	1572.76	4419.52	1447.15	1359.57	2303.12
MFSD10	392.44	450.94	563.18	599.49	325.29	373.81	1594.73	1151.06	638.15	1407.55	967.76	836.53	1059.11	808.0	555.41	507.46	848.22	842.36	1183.45	872.1	1.23	2255.7	1697.45	1819.35	2351.53	2148.82	2537.92
MRM1	36.27	30.12	46.84	36.53	37.59	55.89	142.01	122.64	130.6	139.07	123.5	87.03	90.77	100.83	103.69	87.03	96.68	99.43	158.79	128.79	0.06	158.79	221.86	316.37	204.07	198.47	256.78
MZT2A	318.57	264.03	693.58	514.56	336.79	379.04	1883.54	4298.64	909.17	1936.53	1950.0	1208.34	2573.36	941.27	1023.0	728.11	1417.35	1151.06	1963.57	1844.76	0.71	3901.01	3018.3	2163.77	2047.0	2351.53	3419.52
NELFA	177.53	183.82	277.2	205.5	164.42	197.09	633.73	599.49	511.0	674.59	624.99	486.75	559.28	336.79	426.57	343.89	518.15	454.09	547.75	540.19	0.88	713.11	521.76	915.51	878.17	629.35	718.08
NOC4L	127.89	172.65	204.07	163.28	156.59	146.03	575.03	429.54	343.89	543.96	480.04	265.87	397.93	246.28	221.86	242.88	363.56	323.03	435.55	503.95	0.58	836.53	808.0	1111.82	1073.91	785.88	563.18
NSUN5	186.4	214.27	275.28	228.13	289.02	182.55	607.87	414.87	500.46	483.38	511.0	318.57	309.83	327.56	392.44	273.37	454.09	409.15	460.44	444.72	0.49	647.07	679.29	1617.0	660.68	591.22	1322.37
PLEKHN1	1.73	0.88	2.14	1.39	2.43	1.85	21.47	0.13	8.25	2.66	21.16	13.32	2.32	6.06	4.78	2.51	10.24	14.03	15.0	5.5	0.67	158.79	25.35	134.3	88.26	98.04	154.42
PNKP	185.11	194.36	318.57	224.97	291.04	141.02	656.11	493.56	507.46	529.06	1066.48	432.53	397.93	441.64	348.71	351.14	629.35	503.95	703.28	660.68	0.97	1277.29	764.36	1685.71	974.5	796.86	1135.2
PRICKLE3	84.04	94.67	112.77	102.25	95.34	85.22	114.36	84.04	136.19	93.35	127.0	127.89	52.08	90.77	103.69	93.35	94.67	92.7	105.15	69.52	0.67	327.56	406.31	656.11	253.23	309.83	429.54
R3HDM4	463.65	470.14	547.75	389.72	397.93	444.72	2319.15	629.35	848.22	723.08	1104.13	1359.57	599.49	713.11	854.13	624.99	934.76	1059.11	1259.69	947.83	1437.15	2701.35	3190.46	1674.06	2485.67	2451.44	2061.24
RAI1	85.22	76.17	98.04	72.01	77.79	55.1	289.02	158.79	234.57	224.97	325.29	189.02	170.25	149.12	159.9	173.85	176.29	186.4	220.32	223.41	289.02	518.15	277.2	525.39	414.87	642.59	536.45
RRP7A	371.22	563.18	785.88	351.14	264.03	279.14	728.11	620.67	490.14	540.19	651.58	555.41	414.87	599.49	633.73	483.38	693.58	567.1	718.08	848.22	105.15	1233.75	748.61	915.51	1119.56	884.29	1015.93
RUSC1	211.31	301.33	285.03	248.0	314.17	232.94	775.05	389.72	483.38	656.11	703.28	551.56	389.72	435.55	397.93	358.54	470.14	551.56	587.13	480.04	0.85	1088.92	1923.14	1397.83	1008.9	1127.35	1427.22
SCAF1	289.02	287.01	420.68	363.56	525.39	334.46	836.53	791.35	780.44	928.3	733.19	583.07	688.78	414.87	514.56	444.72	656.11	665.29	629.35	896.64	848.22	961.07	1051.79	2032.85	1073.91	872.1	974.5
SF3A2	363.56	429.54	624.99	563.18	480.04	441.64	785.88	674.59	616.37	836.53	934.76	638.15	684.02	420.68	503.95	567.1	819.3	555.41	738.29	866.07	1.07	2384.37	2591.27	2384.37	2384.37	1950.0	3235.01
SHB	78.34	88.26	80.57	90.14	97.36	57.08	791.35	1159.07	432.53	921.88	454.09	567.1	591.22	470.14	665.29	356.05	583.07	559.28	525.39	665.29	0.24	1135.2	647.07	1208.34	651.58	759.08	463.65
SIRT6	64.34	94.01	178.77	101.54	96.01	90.14	629.35	325.29	356.05	376.41	486.75	341.51	336.79	229.72	334.46	202.66	346.29	312.0	497.0	384.34	0.71	723.08	743.43	555.41	808.0	651.58	830.75
SLC12A8	22.1	26.47	24.99	13.32	20.41	19.97	197.09	239.52	616.37	212.78	279.14	155.5	173.85	228.13	178.77	112.77	130.6	220.32	145.02	151.22	0.27	178.77	450.94	320.8	384.34	301.33	356.05
SLC45A3	6.94	18.29	27.64	25.35	4.13	10.31	130.6	414.87	139.07	1127.35	251.48	127.89	244.57	220.32	131.51	135.24	336.79	273.37	236.21	417.77	0.29	1175.27	318.57	244.57	769.69	693.58	273.37
SMAGP	204.07	197.09	255.0	224.97	94.01	126.12	1159.07	2004.85	802.41	2271.4	587.13	503.95	1268.46	1001.93	884.29	551.56	890.44	1096.5	872.1	785.88	323.03	2875.3	1844.76	1757.34	1417.35	1628.26	1008.9
SPAG1	46.84	41.22	46.18	36.53	30.12	34.26	121.79	64.34	133.36	65.26	166.73	72.01	96.68	73.54	97.36	73.03	117.6	115.97	80.57	65.72	0.31	309.83	87.03	312.0	206.94	376.41	343.89
SURF6	176.29	157.68	346.29	136.19	163.28	217.27	514.56	358.54	507.46	371.22	595.34	420.68	305.55	271.48	460.44	293.07	414.87	473.41	480.04	503.95	0.73	629.35	518.15	819.3	579.04	629.35	612.11
TELO2	98.04	107.38	226.54	189.02	132.44	189.02	460.44	218.79	318.57	563.18	493.56	275.28	420.68	178.77	221.86	198.47	312.0	283.05	441.64	426.57	1.13	808.0	791.35	2047.0	723.08	698.41	1044.52
TESC	98.04	95.34	150.17	120.1	126.12	107.38	1096.5	441.64	1030.12	518.15	500.46	579.04	748.61	651.58	571.05	228.13	500.46	748.61	830.75	197.09	0.79	9540.5	1721.16	3847.29	9808.75	3742.05	7537.18
TGIF1	684.02	819.3	1015.93	674.59	579.04	842.36	4038.61	713.11	1819.35	1023.0	2104.58	2148.82	1119.56	1059.11	1037.29	1127.35	2090.03	2609.3	1175.27	1529.73	0.58	3820.7	2468.49	2193.99	2400.97	2018.8	3039.3
THOC6	115.16	146.03	197.09	147.06	154.42	185.11	587.13	633.73	392.44	638.15	571.05	412.0	346.29	291.04	275.28	244.57	483.38	397.93	547.75	346.29	0.41	825.0	651.58	1191.69	1001.93	518.15	909.17
TMEM161A	246.28	255.0	279.14	325.29	191.67	195.72	559.28	796.86	536.45	575.03	836.53	435.55	503.95	490.14	373.81	429.54	441.64	480.04	638.15	743.43	0.61	660.68	1242.34	791.35	1023.0	791.35	878.17
TRABD	90.14	88.26	201.25	161.02	185.11	115.16	642.59	470.14	441.64	551.56	490.14	403.5	301.33	318.57	387.02	271.48	392.44	332.14	555.41	409.15	0.95	1359.57	1340.84	679.29	1378.57	1540.37	934.76
TRPM4	110.43	237.86	277.2	190.34	194.36	154.42	1044.52	684.02	638.15	486.75	2018.8	1191.69	738.29	836.53	547.75	624.99	647.07	679.29	769.69	848.22	518.15	2351.53	1508.65	1208.34	1378.57	1498.22	1594.73
UMOD	0.0	0.0	0.0	0.0	0.0	0.39	602247.76	3178687.03	1318073.06	789181.81	1070607.81	565825.41	1299926.74	585779.24	431797.89	327241.36	422911.59	636586.81	502929.67	641014.63	0.0	0.0	6.11	4.35	0.0	0.0	0.0
USH1C	0.0	0.0	0.83	0.0	0.0	1.01	379.04	273.37	507.46	36.27	1417.35	406.31	191.67	813.63	392.44	1225.22	387.02	309.83	1350.18	1175.27	0.12	2303.12	2032.85	2417.67	2287.2	1617.0	2224.63
WDR18	115.16	152.28	368.65	366.09	389.72	209.84	1561.89	954.43	878.17	981.29	915.51	616.37	1030.12	511.0	529.06	547.75	638.15	607.87	988.12	1051.79	0.24	1378.57	1583.71	896.64	1051.79	921.88	660.68
YDJC	41.52	39.5	52.08	36.53	75.64	43.94	599.49	406.31	384.34	559.28	656.11	258.57	236.21	363.56	334.46	258.57	325.29	366.09	483.38	379.04	0.67	848.22	808.0	1216.75	967.76	693.58	1167.14
ZBTB45	100.13	101.54	132.44	112.77	154.42	75.11	305.55	178.77	229.72	260.38	251.48	166.73	170.25	152.28	163.28	150.17	175.07	159.9	220.32	234.57	0.02	358.54	412.0	236.21	432.53	409.15	301.33
ZNF579	108.14	95.34	90.77	159.9	122.64	70.01	332.14	209.84	193.01	307.69	323.03	218.79	170.25	193.01	126.12	122.64	305.55	277.2	248.0	271.48	0.74	934.76	603.67	341.51	825.0	543.96	848.22
ZNF628	6.36	18.56	23.76	23.08	19.25	27.05	85.82	80.57	100.13	111.21	86.43	71.0	69.03	32.36	56.28	47.17	73.54	65.26	75.64	95.34	0.44	137.14	223.41	255.0	228.13	201.25	122.64
ZNF777	81.14	91.41	143.01	101.54	95.34	92.05	275.28	244.57	285.03	381.68	164.42	164.42	218.79	137.14	190.34	152.28	197.09	206.94	218.79	255.0	115.16	327.56	291.04	307.69	264.03	275.28	353.59
