	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.L6.A4EQ.01A.11R.A250.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.KS.A4IC.01A.11R.A250.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.ET.A3BT.01A.11R.A19O.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.EM.A22M.01A.11R.A32Y.07	TCGA.DJ.A3V2.01A.11R.A22U.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.ZYFC.0926.SM.5GZWW	GTEX.145LU.0426.SM.5O9AH	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.ZDTS.0926.SM.4WAXG	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
LPP	61.25	37.85	86.43	40.07	85.22	53.95	43.02	80.57	85.22	76.17	67.12	81.71	87.03	60.82	62.56	169.07	134.3	167.9	165.57	187.71	412.0	141.02	118.43	145.02	171.45	111.21	186.4	145.02	149.12	131.51	113.56	134.3	173.85	102.97	113.56	202.66	142.01	147.06	85.22	387.02	106.63	146.03	172.65	127.89	117.6	114.36
LRRFIP1	825.0	511.0	764.36	559.28	961.07	718.08	642.59	1037.29	819.3	775.05	813.63	848.22	1059.11	753.83	728.11	1832.01	1151.06	1427.22	1457.23	1508.65	1819.35	1127.35	1119.56	1250.98	1340.84	1378.57	1697.45	1191.69	1378.57	1143.1	1519.15	1143.1	1819.35	884.29	896.64	1322.37	1277.29	1183.45	1073.91	2434.5	1104.13	1250.98	1467.37	1111.82	1407.55	1457.23
MBNL2	242.88	341.51	366.09	228.13	366.09	325.29	214.27	275.28	358.54	366.09	215.77	309.83	299.25	226.54	353.59	1066.48	551.56	688.78	780.44	802.41	1295.13	532.74	423.61	665.29	470.14	438.59	679.29	775.05	660.68	633.73	457.25	708.18	1295.13	624.99	633.73	633.73	693.58	638.15	728.11	1331.57	503.95	780.44	728.11	493.56	536.45	674.59
NBEAL1	46.84	33.54	49.21	30.56	50.27	32.13	32.36	38.67	36.53	34.75	71.5	47.17	40.93	24.11	24.81	110.43	70.51	98.73	141.02	146.03	142.01	85.82	84.63	88.88	90.77	92.7	152.28	84.63	104.42	75.11	70.01	78.89	202.66	64.8	83.45	90.14	127.0	125.24	46.84	138.1	75.64	60.82	116.78	91.41	54.33	100.13
NEK1	72.01	65.26	69.03	65.26	80.01	74.06	57.49	66.18	64.34	85.22	120.1	94.01	65.72	72.01	84.63	231.32	155.5	178.77	255.0	198.47	199.85	166.73	159.9	190.34	135.24	119.26	164.42	158.79	226.54	159.9	112.77	148.09	215.77	136.19	130.6	136.19	181.28	170.25	119.26	181.28	134.3	161.02	154.42	164.42	158.79	223.41
NEXN	22.92	16.51	27.44	27.05	76.71	21.94	49.91	72.52	37.59	34.51	17.9	14.89	30.12	29.06	32.82	205.5	234.57	176.29	202.66	136.19	599.49	224.97	281.09	154.42	435.55	157.68	231.32	169.07	176.29	327.56	198.47	273.37	236.21	215.77	91.41	358.54	264.03	126.12	189.02	547.75	226.54	287.01	387.02	269.6	102.25	155.5
PAPOLA	1216.75	1457.23	1417.35	1242.34	1487.87	1583.71	1378.57	1745.2	1111.82	1183.45	1233.75	1508.65	1331.57	1159.07	1583.71	2104.58	1572.76	1709.26	2178.83	2032.85	2047.0	1467.37	1407.55	1583.71	1662.49	1883.54	1896.65	2004.85	2004.85	1628.26	1498.22	1685.71	2627.46	1709.26	1674.06	1540.37	1963.57	1977.24	1498.22	2004.85	1757.34	1757.34	1721.16	2193.99	1844.76	2104.58
PELI2	19.82	32.59	18.97	31.67	35.76	36.01	26.67	23.59	21.94	27.25	10.47	39.22	24.63	18.7	37.59	95.34	45.53	67.59	87.03	88.88	189.02	75.64	49.91	45.85	96.01	112.77	123.5	75.64	69.52	84.63	28.86	65.26	132.44	30.34	25.54	74.06	117.6	91.41	53.19	197.09	42.71	64.8	146.03	128.79	67.12	62.12
PHF20	162.14	130.6	178.77	180.02	166.73	161.02	126.12	129.69	161.02	183.82	178.77	185.11	166.73	152.28	158.79	293.07	251.48	221.86	332.14	237.86	295.11	285.03	182.55	221.86	224.97	253.23	293.07	279.14	256.78	249.73	177.53	214.27	343.89	181.28	220.32	262.2	265.87	305.55	163.28	346.29	223.41	264.03	217.27	202.66	208.38	295.11
PLSCR4	164.42	115.16	303.44	136.19	267.73	224.97	142.01	229.72	204.07	146.03	134.3	167.9	221.86	173.85	165.57	1242.34	460.44	536.45	1127.35	808.0	974.5	660.68	450.94	529.06	651.58	728.11	1322.37	616.37	759.08	718.08	271.48	466.88	1388.16	423.61	497.0	684.02	633.73	941.27	318.57	1519.15	518.15	693.58	733.19	543.96	660.68	872.1
PPP1R12A	348.71	255.0	351.14	264.03	514.56	297.17	197.09	320.8	356.05	423.61	217.27	332.14	353.59	301.33	363.56	616.37	529.06	693.58	507.46	743.43	1127.35	540.19	432.53	713.11	723.08	603.67	567.1	551.56	551.56	571.05	493.56	693.58	954.43	346.29	603.67	808.0	802.41	665.29	366.09	1073.91	738.29	684.02	954.43	457.25	429.54	511.0
PPP1R12B	67.12	87.65	77.25	62.12	148.09	66.18	46.5	80.01	102.25	122.64	68.07	84.04	68.07	37.59	76.17	289.02	131.51	211.31	289.02	514.56	1023.0	158.79	127.89	232.94	214.27	246.28	426.57	198.47	255.0	145.02	157.68	182.55	406.31	105.89	194.36	343.89	358.54	189.02	87.03	915.51	159.9	147.06	507.46	248.0	161.02	221.86
PRELP	76.71	25.72	28.86	80.57	130.6	52.45	518.15	74.06	53.19	33.06	16.51	120.94	67.59	309.83	197.09	234.57	660.68	295.11	647.07	140.04	967.76	435.55	237.86	127.89	579.04	231.32	532.74	587.13	246.28	651.58	130.6	854.13	339.14	138.1	74.06	733.19	255.0	297.17	67.59	1447.15	348.71	409.15	409.15	244.57	239.52	248.0
RBM24	7.17	5.11	6.26	2.23	10.79	3.23	5.36	5.11	3.72	2.66	4.66	3.82	3.89	2.39	1.62	39.5	12.36	13.12	43.32	93.35	543.96	27.64	22.59	25.72	44.57	39.79	75.64	14.56	41.81	23.93	17.25	30.12	73.54	14.03	12.18	29.48	130.6	13.83	8.13	249.73	17.77	17.9	189.02	31.9	9.48	52.08
RCAN2	115.97	62.12	199.85	53.95	220.32	106.63	123.5	190.34	136.19	102.25	72.52	100.83	94.67	95.34	149.12	802.41	591.22	633.73	896.64	466.88	1617.0	466.88	305.55	679.29	620.67	490.14	974.5	791.35	780.44	447.82	703.28	316.37	579.04	334.46	486.75	796.86	620.67	612.11	244.57	1225.22	603.67	327.56	1651.0	698.41	507.46	503.95
RP11-438J1.1	0.0	1.83	11.91	13.12	7.94	5.15	3.08	0.0	10.55	3.38	0.0	5.82	0.88	1.39	8.13	34.51	16.88	12.36	41.22	21.78	38.95	0.0	6.94	29.06	15.34	85.22	63.45	24.99	59.55	2.66	6.94	4.5	22.59	6.41	4.46	18.16	15.0	42.41	3.14	52.08	17.51	21.32	27.05	54.33	19.39	63.89
RPS6KA5	12.27	16.75	14.89	12.27	19.97	13.93	10.47	17.77	12.36	18.03	9.06	14.45	13.42	20.11	17.38	144.01	66.18	75.11	103.69	98.73	169.07	71.5	49.56	64.8	70.51	97.36	145.02	57.08	111.21	69.52	48.52	80.57	231.32	68.07	61.68	108.14	119.26	115.97	49.56	128.79	76.17	73.03	116.78	58.71	94.01	128.79
RRAS2	387.02	447.82	409.15	432.53	389.72	473.41	381.68	500.46	341.51	529.06	518.15	438.59	503.95	305.55	412.0	1066.48	708.18	665.29	1066.48	669.92	679.29	575.03	547.75	723.08	679.29	802.41	698.41	669.92	819.3	684.02	435.55	819.3	1015.93	947.83	555.41	1001.93	688.78	748.61	813.63	713.11	718.08	713.11	555.41	785.88	738.29	819.3
SDCBP	1407.55	1286.18	2018.8	1369.04	1870.53	1844.76	1605.83	2255.7	1340.84	1268.46	2119.22	2209.26	2319.15	1806.78	2224.63	3419.52	2367.9	2367.9	4639.29	3018.3	4512.4	2664.15	2468.49	2271.4	2384.37	4095.0	3901.01	2400.97	2915.45	3146.52	2468.49	2133.97	5183.54	3103.19	2895.31	3039.3	3395.89	3982.99	2434.5	6164.49	2739.08	2835.7	3257.52	3614.55	1733.13	3235.01
SLC25A25	145.02	177.53	136.19	195.72	198.47	155.5	154.42	98.73	123.5	167.9	224.97	224.97	167.9	131.51	144.01	447.82	723.08	848.22	490.14	2468.49	748.61	665.29	1008.9	514.56	791.35	780.44	703.28	612.11	947.83	974.5	656.11	651.58	1313.23	536.45	470.14	753.83	2555.58	1127.35	703.28	669.92	536.45	1208.34	802.41	669.92	183.82	1088.92
SLC25A32	172.65	155.5	157.68	123.5	156.59	165.57	113.56	166.73	150.17	206.94	127.0	220.32	214.27	171.45	193.01	246.28	234.57	239.52	265.87	285.03	356.05	202.66	237.86	206.94	237.86	218.79	273.37	204.07	199.85	281.09	197.09	255.0	285.03	234.57	239.52	273.37	297.17	346.29	291.04	334.46	199.85	242.88	277.2	215.77	161.02	231.32
SLMAP	231.32	231.32	275.28	190.34	305.55	237.86	208.38	273.37	301.33	305.55	283.05	379.04	312.0	180.02	277.2	860.08	665.29	703.28	854.13	825.0	2178.83	599.49	507.46	733.19	684.02	543.96	764.36	902.89	587.13	603.67	500.46	665.29	1151.06	500.46	620.67	878.17	1023.0	693.58	633.73	2875.3	785.88	612.11	1088.92	525.39	563.18	947.83
SNRNP27	457.25	414.87	511.0	395.18	802.41	486.75	521.76	684.02	454.09	497.0	470.14	438.59	612.11	567.1	624.99	1159.07	796.86	819.3	1331.57	1059.11	1037.29	703.28	785.88	738.29	928.3	748.61	1066.48	890.44	825.0	791.35	718.08	836.53	1322.37	693.58	909.17	1088.92	1023.0	848.22	607.87	1044.52	819.3	848.22	909.17	921.88	743.43	1015.93
SRF	299.25	320.8	260.38	271.48	343.89	309.83	267.73	248.0	253.23	279.14	287.01	320.8	285.03	264.03	307.69	708.18	642.59	674.59	1001.93	1709.26	1208.34	698.41	723.08	753.83	947.83	791.35	1322.37	1096.5	775.05	928.3	579.04	884.29	1561.89	457.25	555.41	961.07	1662.49	1277.29	392.44	1350.18	514.56	674.59	1127.35	796.86	563.18	1963.57
STARD4	42.41	43.32	153.34	34.02	150.17	32.13	77.79	101.54	67.59	90.77	35.25	90.77	98.04	60.82	86.43	277.2	111.21	215.77	318.57	334.46	223.41	123.5	201.25	96.68	312.0	182.55	307.69	182.55	140.04	105.89	201.25	142.01	376.41	170.25	583.07	167.9	320.8	190.34	231.32	295.11	232.94	264.03	198.47	147.06	104.42	195.72
STK38L	144.01	106.63	153.34	146.03	154.42	130.6	88.88	144.01	145.02	146.03	102.97	152.28	156.59	136.19	159.9	341.51	175.07	249.73	289.02	483.38	728.11	239.52	193.01	242.88	206.94	265.87	500.46	177.53	237.86	205.5	135.24	224.97	780.44	142.01	194.36	314.17	435.55	251.48	153.34	928.3	186.4	271.48	373.81	273.37	134.3	236.21
TACC1	595.34	483.38	599.49	476.71	629.35	540.19	429.54	525.39	595.34	629.35	514.56	656.11	571.05	551.56	651.58	860.08	1295.13	921.88	1340.84	743.43	3372.43	1259.69	872.1	896.64	1119.56	1340.84	2537.92	878.17	1519.15	1199.98	842.36	1242.34	2104.58	540.19	483.38	1277.29	1628.26	1870.53	514.56	2664.15	854.13	1073.91	1304.15	1159.07	748.61	995.0
TG	294926.33	353168.2	569761.05	221968.2	731246.37	244588.0	296977.71	531605.79	524287.0	350728.68	265802.39	246289.25	248002.34	214407.12	365622.68	2068278.89	2247670.86	2126426.15	2375828.71	1611529.43	466008.55	1838374.44	1997825.68	1984025.69	1997825.68	2986448.72	1567462.05	2025714.3	2425749.94	1929772.37	1943195.01	1727194.55	881742.8	2636147.11	2263304.65	2111737.85	1691649.38	1668359.93	3178687.03	509950.32	3886391.01	2263304.65	1535204.12	2672946.37	1864037.21	1634025.56
TMOD1	56.68	45.21	80.01	22.75	107.38	187.71	228.13	249.73	66.18	121.79	98.04	159.9	234.57	66.65	82.87	961.07	660.68	323.03	497.0	289.02	1572.76	480.04	603.67	521.76	595.34	1369.04	532.74	167.9	775.05	1286.18	460.44	500.46	1477.58	529.06	327.56	1991.0	525.39	660.68	579.04	2645.74	587.13	417.77	703.28	1388.16	669.92	392.44
