	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.YEC4.0826.SM.5P9FV	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZTX8.0626.SM.59HKC	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.YEC3.0826.SM.4WWFP	GTEX.V955.0426.SM.3GAEL	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.PLZ4.1226.SM.2I5FE	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N
GALNTL6	0.0	12.55	0.0	1.01	0.57	1.08	0.0	0.0	0.0	0.62	5.19	4.78	4.5	4.13	9.27	3.56	5.73	6.01	3.32	18.97	0.0	0.3	0.0	5.45	1.01	0.0	0.0
GEMIN4	102.97	155.5	88.88	105.89	90.14	105.89	92.7	0.0	0.21	218.79	334.46	454.09	343.89	242.88	297.17	366.09	412.0	251.48	197.09	518.15	314.17	303.44	283.05	312.0	743.43	392.44	277.2
GLB1L2	1.68	9.06	10.55	8.0	8.58	0.0	5.23	0.0	0.39	503.95	764.36	995.0	890.44	748.61	665.29	854.13	603.67	1498.22	547.75	947.83	438.59	493.56	567.1	848.22	718.08	511.0	624.99
GLB1L3	0.51	2.23	0.48	0.0	0.57	0.0	3.06	0.0	0.18	107.38	164.42	30.78	82.87	126.12	29.48	28.24	56.68	10.24	193.01	426.57	4.66	44.25	1.36	187.71	3.76	28.86	21.78
GPALPP1	123.5	129.69	134.3	169.07	127.0	63.0	115.16	0.0	0.4	269.6	316.37	379.04	363.56	307.69	283.05	325.29	366.09	379.04	228.13	406.31	379.04	281.09	271.48	373.81	457.25	307.69	346.29
HDX	19.82	28.04	20.26	18.56	13.42	5.63	33.78	0.0	0.31	35.25	37.05	36.79	58.3	23.08	30.56	43.94	36.53	58.71	32.36	77.25	32.36	35.25	23.76	24.63	59.97	49.21	60.39
HFM1	0.58	2.29	0.0	2.41	0.75	1.35	0.91	0.0	0.2	17.25	35.0	132.44	92.7	19.53	81.14	65.72	25.17	50.63	38.95	114.36	85.82	48.52	81.71	53.95	176.29	59.97	39.5
HK2	3.03	18.43	25.72	13.12	7.11	9.63	17.13	0.0	0.36	579.04	555.41	343.89	348.71	312.0	423.61	143.01	285.03	223.41	244.57	629.35	120.94	314.17	258.57	595.34	208.38	444.72	299.25
HOOK3	36.27	52.08	53.57	87.03	36.79	28.65	29.7	127.89	223.41	303.44	507.46	764.36	395.18	246.28	497.0	262.2	366.09	264.03	307.69	693.58	713.11	435.55	361.04	543.96	1745.2	567.1	275.28
IFT80	73.54	37.32	63.0	81.71	62.56	16.63	10.88	0.0	0.16	397.93	476.71	500.46	642.59	285.03	438.59	551.56	409.15	551.56	343.89	713.11	559.28	381.68	260.38	532.74	808.0	470.14	457.25
KLHL38	0.57	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.0	3.41	1.45	1.06	0.38	0.0	2.05	0.37	1.66	1.23	0.19	3.69	0.39	0.0	0.0	0.41	1.27	0.85	0.0
LIPG	277.2	197.09	346.29	718.08	665.29	303.44	603.67	0.0	0.0	8718.32	6381.92	9409.14	3395.89	6164.49	9474.59	2255.7	4038.61	2502.97	6699.25	10154.69	7382.04	9344.14	8963.45	6337.83	995.0	11584.24	1697.45
LMLN	8.38	12.74	27.44	40.93	13.03	23.42	1.17	0.0	0.25	78.89	100.83	132.44	96.01	80.57	127.89	102.97	100.83	108.14	85.82	178.77	132.44	75.64	60.39	119.26	166.73	124.37	72.01
LRRC69	10.71	3.41	0.0	2.84	5.32	1.71	1.07	0.0	0.51	29.91	22.26	48.18	18.84	30.12	24.11	18.84	33.54	25.54	29.48	89.51	30.12	21.63	15.34	20.26	36.79	40.64	49.91
MAPK10	10.39	32.82	10.96	27.44	20.11	7.69	33.78	0.0	0.37	703.28	575.03	928.3	791.35	351.14	624.99	656.11	503.95	780.44	426.57	723.08	339.14	518.15	426.57	753.83	708.18	665.29	307.69
METTL7A	5831.91	7280.4	7032.37	7857.29	7180.15	5633.22	6745.86	327.56	1529.73	7911.95	9025.81	10808.41	10296.45	6381.92	7857.29	6840.04	8022.41	8363.13	6887.62	15075.35	8022.41	14065.74	11345.82	16157.44	14867.79	8778.97	11664.82
MPHOSPH9	197.09	111.99	114.36	198.47	155.5	157.68	50.27	0.0	0.62	129.69	208.38	151.22	199.85	151.22	214.27	231.32	318.57	208.38	228.13	376.41	180.02	237.86	141.02	167.9	303.44	212.78	162.14
MYO10	16.27	104.42	43.63	57.49	64.34	95.34	21.01	0.0	0.8	665.29	928.3	1135.2	836.53	514.56	785.88	356.05	723.08	595.34	583.07	902.89	915.51	483.38	473.41	1001.93	1151.06	884.29	563.18
N4BP2L2	429.54	503.95	435.55	684.02	406.31	320.8	318.57	0.0	0.79	1397.83	1605.83	1794.29	1529.73	1023.0	1781.89	1685.71	1447.15	1407.55	995.0	2148.82	2133.97	1051.79	1143.1	1757.34	3491.39	1457.23	1127.35
NFYA	120.94	132.44	158.79	145.02	108.14	129.69	65.26	0.0	0.39	334.46	444.72	540.19	395.18	406.31	412.0	320.8	532.74	346.29	305.55	616.37	463.65	232.94	189.02	493.56	647.07	447.82	285.03
NLK	149.12	121.79	118.43	172.65	143.01	112.77	89.51	147.06	197.09	356.05	426.57	511.0	447.82	264.03	309.83	507.46	483.38	348.71	348.71	473.41	507.46	265.87	305.55	473.41	669.92	305.55	529.06
NT5E	379.04	947.83	332.14	591.22	457.25	356.05	40.93	0.0	0.45	493.56	890.44	819.3	473.41	679.29	981.29	612.11	432.53	1023.0	334.46	3742.05	915.51	775.05	1183.45	1350.18	915.51	571.05	381.68
OSCP1	46.18	73.54	38.12	43.94	44.25	25.35	0.0	0.0	0.0	633.73	361.04	595.34	389.72	583.07	624.99	346.29	497.0	633.73	473.41	620.67	748.61	603.67	551.56	651.58	395.18	633.73	511.0
OXTR	1.79	1.06	1.01	1.11	1.69	0.15	0.0	0.0	0.01	3.82	2.92	6.67	2.56	1.89	1.73	4.58	3.2	1.68	4.58	3.29	9.06	5.11	2.46	1.06	7.75	2.51	3.76
PARM1	12.93	16.75	12.18	12.36	12.27	8.92	5.63	153.34	84.04	6037.61	4543.8	5791.62	3039.3	3639.7	3716.2	3491.39	2591.27	3103.19	4123.49	6426.31	5255.91	3349.13	4066.71	7803.01	4239.45	4802.93	2573.36
PCDHA12	0.21	0.75	4.35	6.31	6.78	0.0	0.0	0.0	0.0	31.45	59.55	28.65	50.27	20.86	163.28	29.7	36.01	74.58	16.88	167.9	42.41	69.03	42.71	144.01	36.01	55.1	19.25
PGBD3	23.93	28.04	18.56	19.82	22.59	13.52	27.64	0.0	0.04	59.13	57.89	74.06	46.84	50.27	68.55	55.49	53.57	34.02	57.89	99.43	53.19	66.65	77.25	63.0	41.81	48.87	33.06
PKNOX1	120.1	137.14	113.56	148.09	81.71	56.68	104.42	0.0	0.27	332.14	438.59	1096.5	660.68	224.97	500.46	521.76	633.73	389.72	320.8	616.37	651.58	529.06	587.13	299.25	1233.75	679.29	269.6
PPIH	551.56	323.03	258.57	395.18	293.07	258.57	140.04	0.0	0.69	909.17	902.89	1167.14	1159.07	988.12	1304.15	915.51	860.08	1030.12	842.36	1437.15	1151.06	1081.39	1199.98	1225.22	848.22	1216.75	1001.93
PSMC3IP	56.68	27.64	31.67	20.86	21.78	26.67	52.82	0.0	0.67	143.01	105.15	127.0	102.97	92.7	123.5	105.15	96.01	90.14	120.94	316.37	183.82	86.43	52.45	147.06	153.34	109.66	147.06
PTPN13	1.83	15.8	9.2	22.92	10.71	11.47	7.94	0.0	0.2	473.41	473.41	583.07	1059.11	363.56	426.57	356.05	500.46	476.71	348.71	743.43	457.25	312.0	441.64	954.43	802.41	688.78	571.05
RAD17	191.67	186.4	159.9	234.57	177.53	215.77	131.51	0.0	0.0	366.09	387.02	363.56	500.46	373.81	406.31	373.81	454.09	389.72	373.81	633.73	454.09	447.82	358.54	450.94	447.82	406.31	406.31
RAD51AP1	26.1	6.36	9.78	16.27	7.22	10.39	6.16	0.0	0.23	27.44	19.68	28.24	32.13	31.67	60.39	46.84	34.02	32.59	36.27	69.03	38.67	23.08	14.67	38.95	41.81	44.25	11.91
RBM12B	18.43	16.27	17.77	40.36	17.13	22.43	12.18	0.0	0.24	191.67	195.72	281.09	118.43	120.1	199.85	109.66	234.57	150.17	92.05	314.17	251.48	76.71	73.54	209.84	297.17	197.09	110.43
RBM14	454.09	325.29	376.41	423.61	363.56	426.57	540.19	0.0	0.16	660.68	753.83	928.3	567.1	825.0	860.08	688.78	1111.82	660.68	796.86	1127.35	928.3	813.63	713.11	775.05	1008.9	743.43	651.58
RBM46	1.33	0.0	0.59	2.2	0.68	0.0	0.42	0.0	0.04	15.91	5.32	32.13	6.11	12.83	5.36	2.39	3.96	0.0	10.08	36.79	18.97	11.73	2.97	8.13	2.23	13.62	4.86
RNF157	181.28	21.01	19.25	12.0	18.7	33.06	10.55	0.0	0.49	55.89	22.92	108.14	53.19	59.97	96.01	38.4	190.34	187.71	20.26	127.89	60.82	46.5	34.51	85.22	58.3	84.04	31.9
RNF185	665.29	656.11	591.22	748.61	884.29	1277.29	426.57	0.0	0.6	1183.45	1151.06	1081.39	947.83	890.44	1331.57	902.89	1111.82	1037.29	934.76	2018.8	884.29	1304.15	1167.14	1304.15	981.29	1183.45	954.43
RP11-1220K2.2	0.0	0.0	0.61	0.66	0.69	0.0	0.0	0.0	0.32	0.78	1.04	0.54	0.77	0.27	0.55	2.07	0.27	0.53	1.38	3.38	1.03	0.54	0.26	1.07	1.28	1.3	0.49
SCAND3	15.34	16.39	4.06	21.01	12.0	13.03	3.41	0.0	0.0	24.28	39.5	31.9	23.25	26.86	50.98	27.64	63.89	20.11	29.48	59.13	30.78	31.0	21.47	49.56	34.75	27.05	21.78
SLC22A13	0.0	0.0	0.0	0.0	0.0	0.38	0.04	0.0	0.11	0.0	1.46	0.56	0.13	1.58	0.75	0.88	1.13	0.0	0.16	1.43	1.28	1.11	0.0	0.0	1.66	1.5	0.51
SLC35F3	0.43	0.46	0.85	1.38	0.0	0.0	0.0	0.0	0.04	1.87	51.71	18.03	72.52	29.91	121.79	14.14	11.38	10.39	15.22	44.89	0.47	29.27	29.7	72.01	25.35	15.56	19.39
SLC44A1	854.13	575.03	339.14	674.59	612.11	1639.59	490.14	603.67	525.39	1051.79	1286.18	1175.27	1304.15	819.3	733.19	642.59	1088.92	884.29	791.35	1794.29	813.63	743.43	583.07	1721.16	1051.79	633.73	1216.75
SNRNP48	78.34	70.51	56.28	105.15	92.7	43.32	21.47	0.0	0.43	113.56	134.3	148.09	148.09	95.34	109.66	134.3	181.28	125.24	90.77	212.78	175.07	132.44	108.9	139.07	241.19	125.24	129.69
SNRPN	134.3	423.61	131.51	103.69	161.02	191.67	180.02	0.0	0.57	1340.84	1437.15	2061.24	2627.46	1001.93	1427.22	1806.78	1769.57	1819.35	1242.34	2468.49	947.83	2004.85	2485.67	2148.82	2351.53	2032.85	2090.03
SP1	154.42	167.9	218.79	251.48	158.79	191.67	138.1	395.18	256.78	432.53	470.14	612.11	392.44	339.14	463.65	361.04	599.49	470.14	325.29	638.15	624.99	287.01	209.84	473.41	934.76	460.44	312.0
SP3	239.52	289.02	303.44	420.68	253.23	185.11	139.07	0.0	0.57	819.3	934.76	1167.14	1378.57	607.87	954.43	698.41	954.43	780.44	718.08	1159.07	995.0	802.41	753.83	830.75	1059.11	995.0	633.73
SSFA2	417.77	693.58	796.86	1151.06	802.41	1059.11	543.96	500.46	166.73	1233.75	1183.45	1529.73	2351.53	866.07	1417.35	1073.91	1073.91	1242.34	1350.18	2351.53	1529.73	1233.75	1143.1	1159.07	1427.22	1870.53	1059.11
STAT5B	279.14	426.57	334.46	395.18	358.54	253.23	295.11	358.54	94.01	591.22	647.07	723.08	629.35	480.04	624.99	703.28	738.29	591.22	460.44	813.63	819.3	400.71	329.84	612.11	909.17	624.99	633.73
SWT1	32.59	24.63	22.75	44.89	35.25	36.53	4.39	0.0	0.2	55.49	76.71	68.55	102.97	51.35	77.25	76.71	79.45	75.11	59.13	127.0	83.45	63.45	57.49	97.36	136.19	71.0	85.22
SYTL3	12.93	59.97	53.19	23.25	31.22	101.54	214.27	0.0	0.39	429.54	679.29	1151.06	1151.06	567.1	785.88	819.3	1233.75	872.1	460.44	1583.71	738.29	791.35	417.77	743.43	1104.13	775.05	934.76
TCP11L2	17.38	17.77	36.27	35.76	18.97	81.71	11.47	0.0	0.23	172.65	239.52	316.37	187.71	141.02	159.9	142.01	214.27	165.57	100.13	400.71	371.22	100.83	51.35	246.28	791.35	224.97	103.69
TDRD9	5.96	13.22	6.94	2.84	3.66	4.13	19.68	0.0	0.39	2061.24	2032.85	2758.13	1457.23	1572.76	612.11	2319.15	595.34	915.51	1769.57	7331.05	1617.0	4298.64	1963.57	4358.66	4328.55	3443.31	1467.37
TET2	15.0	25.17	25.17	32.82	23.59	17.25	11.73	0.0	0.47	71.5	106.63	118.43	63.0	68.55	98.04	87.03	102.25	74.06	62.56	127.0	123.5	60.39	53.57	94.67	127.89	94.67	44.25
TFIP11	454.09	638.15	444.72	529.06	497.0	665.29	384.34	0.0	0.56	723.08	660.68	674.59	412.0	718.08	825.0	476.71	884.29	529.06	723.08	1167.14	884.29	723.08	748.61	718.08	624.99	802.41	571.05
TG	69.52	9.7	1.38	20.26	22.59	29.48	24.63	0.0	0.64	2247670.86	2126426.15	1273174.62	2375828.71	1997825.68	1984025.69	2986448.72	2025714.3	2425749.94	1943195.01	1100706.72	1336472.68	2636147.11	3178687.03	3886391.01	1155430.26	2263304.65	2672946.37
THG1L	150.17	142.01	119.26	264.03	137.14	189.02	105.15	0.0	0.38	260.38	229.72	314.17	318.57	232.94	295.11	441.64	312.0	260.38	161.02	389.72	244.57	208.38	202.66	283.05	420.68	221.86	343.89
THYN1	723.08	1277.29	759.08	1378.57	1015.93	775.05	351.14	0.0	0.57	1651.0	1551.09	1883.54	1794.29	1268.46	1529.73	1806.78	1674.06	1806.78	1551.09	2178.83	1540.37	1225.22	1407.55	1857.6	2271.4	1447.15	1883.54
TLDC1	35.5	33.54	15.11	50.27	37.32	6.89	1.38	0.0	0.4	231.32	215.77	307.69	161.02	316.37	202.66	153.34	248.0	154.42	193.01	265.87	248.0	167.9	182.55	224.97	202.66	194.36	156.59
TP53BP1	89.51	93.35	49.21	95.34	92.05	31.9	30.56	0.0	0.39	567.1	620.67	651.58	511.0	708.18	713.11	688.78	693.58	642.59	567.1	947.83	638.15	547.75	423.61	651.58	866.07	728.11	567.1
TTC9C	341.51	279.14	318.57	353.59	299.25	226.54	155.5	0.0	0.44	567.1	698.41	633.73	441.64	595.34	607.87	595.34	796.86	571.05	595.34	1096.5	743.43	713.11	624.99	624.99	656.11	595.34	514.56
TXNRD3NB	0.0	0.0	0.0	1.06	0.0	0.0	0.0	0.0	0.0	1.25	0.0	4.1	0.0	1.23	0.0	0.0	2.68	0.0	0.0	4.54	1.97	1.27	0.0	2.29	3.53	0.0	0.96
TYW3	167.9	279.14	289.02	248.0	215.77	214.27	186.4	0.0	0.49	309.83	376.41	470.14	500.46	409.15	417.77	447.82	376.41	518.15	291.04	532.74	432.53	363.56	318.57	454.09	567.1	412.0	466.88
ULK2	40.93	56.68	26.1	46.84	48.18	21.32	6.84	0.0	0.37	156.59	170.25	220.32	198.47	153.34	220.32	166.73	241.19	173.85	116.78	305.55	212.78	150.17	129.69	134.3	363.56	190.34	161.02
UNC80	0.0	0.0	0.47	0.52	0.56	0.0	0.44	0.0	0.04	9.93	3.76	18.16	12.36	7.06	8.65	19.97	4.78	12.09	2.29	23.93	11.55	10.71	3.82	18.43	5.11	19.97	2.27
VRK3	808.0	669.92	616.37	665.29	791.35	529.06	260.38	0.0	0.52	791.35	830.75	860.08	878.17	728.11	836.53	848.22	890.44	974.5	728.11	1225.22	1119.56	679.29	693.58	860.08	1015.93	733.19	791.35
WDR52	26.86	26.47	30.78	47.5	23.25	24.81	4.62	0.0	0.6	98.73	165.57	214.27	165.57	96.01	169.07	123.5	162.14	120.94	67.12	269.6	172.65	140.04	82.87	211.31	246.28	190.34	90.77
ZADH2	172.65	323.03	299.25	480.04	435.55	348.71	301.33	223.41	129.69	607.87	660.68	713.11	674.59	540.19	607.87	470.14	836.53	559.28	389.72	819.3	656.11	607.87	514.56	555.41	775.05	559.28	490.14
