	TCGA.UY.A8OD.01A.11R.A36F.07	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	TCGA.AA.A01P.01A.21R.A083.07	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.L5.A4OS.01A.11R.A28J.31	TCGA.2H.A9GI.01A.11R.A37I.31	GTEX.YB5E.0326.SM.5IFHU	GTEX.TKQ2.1726.SM.4DXUP	GTEX.Z9EW.0426.SM.5CVM9	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZF29.2026.SM.4WWB7	GTEX.13PVR.0126.SM.5S2PY	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.CG.5718.01A.11R.1602.13	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.VQ.A91W.01A.11R.A414.31	GTEX.T8EM.1226.SM.4DM5J	GTEX.QDVN.1226.SM.48TZ5
DROSHA	2351.53	830.75	738.29	1096.5	1697.45	1359.57	1183.45	1159.07	1508.65	211.31	297.17	314.17	277.2	262.2	336.79	0.0	0.77	1175.27	878.17	1561.89	1073.91	409.15	616.37
ENGASE	1487.87	236.21	486.75	511.0	1639.59	2895.31	343.89	1225.22	1159.07	53.57	146.03	121.79	163.28	90.14	128.79	0.0	1.27	381.68	318.57	813.63	403.5	234.57	312.0
EVX1	165.57	23.59	8.45	0.29	9.63	18.03	1.11	1.89	8.92	0.0	0.0	0.0	5.11	0.0	0.0	0.0	0.06	69.52	0.66	75.11	3.53	5.82	13.22
FKSG48	41.52	0.0	7.63	26.67	7.22	7.82	1.43	8.45	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	4.35	0.0	4.66	2.97	0.0	6.16
FUK	470.14	303.44	460.44	309.83	363.56	638.15	264.03	285.03	447.82	72.52	149.12	189.02	169.07	139.07	170.25	0.0	0.64	358.54	157.68	547.75	356.05	194.36	291.04
GTF3C2	1662.49	1143.1	890.44	915.51	1628.26	1540.37	1250.98	1561.89	1427.22	206.94	260.38	265.87	289.02	316.37	323.03	0.0	0.78	1447.15	1111.82	1447.15	1208.34	723.08	988.12
IL17D	819.3	703.28	591.22	178.77	265.87	111.99	275.28	373.81	555.41	12.74	7.17	6.06	7.57	1.87	6.41	0.0	0.18	41.81	171.45	218.79	189.02	165.57	90.14
KIFC2	2895.31	1685.71	583.07	665.29	915.51	1397.83	1119.56	1427.22	872.1	17.77	43.63	40.93	111.21	39.79	57.89	0.0	1.5	1709.26	167.9	954.43	665.29	197.09	334.46
KLHL23	764.36	33.3	105.89	116.78	483.38	1001.93	381.68	514.56	819.3	64.8	74.06	115.97	26.28	44.25	35.5	0.0	0.38	194.36	82.87	283.05	563.18	126.12	74.58
LCN2	3467.27	1179708.33	706337.4	542775.98	343510.77	606436.73	654483.73	131071.0	1238359.56	4152.18	432.53	68.07	1407.55	123.5	309.83	0.0	0.43	1034138.94	1472666.19	593956.43	466008.55	197294.7	320506.81
MANBAL	1896.65	1417.35	1350.18	1467.37	2287.2	1617.0	1909.85	3443.31	2384.37	1135.2	525.39	507.46	669.92	896.64	688.78	0.0	0.87	1277.29	1313.23	2075.59	1104.13	1572.76	1508.65
MLLT6	4152.18	480.04	1662.49	896.64	2520.38	2032.85	1322.37	1709.26	1081.39	61.25	185.11	84.63	162.14	198.47	157.68	454.09	579.04	1806.78	529.06	1628.26	2119.22	665.29	1709.26
MTA1	3303.0	1304.15	2367.9	1498.22	2682.69	2384.37	1896.65	2104.58	1757.34	197.09	395.18	368.65	466.88	500.46	514.56	0.0	1.33	1844.76	1008.9	2047.0	2148.82	1250.98	1583.71
NKPD1	15.34	289.02	6.06	0.0	5.59	13.62	1.68	1.91	13.03	0.0	0.0	0.0	0.0	0.0	1.22	0.0	0.28	13.12	0.0	7.11	4.62	1.38	4.28
NUP85	2119.22	796.86	884.29	1457.23	2061.24	1551.09	1008.9	2739.08	1417.35	567.1	514.56	361.04	599.49	583.07	532.74	0.0	1.0	890.44	728.11	1437.15	1081.39	612.11	629.35
PCGF1	1628.26	551.56	629.35	406.31	723.08	866.07	665.29	633.73	591.22	185.11	271.48	234.57	215.77	194.36	318.57	0.0	0.0	988.12	543.96	1008.9	555.41	460.44	507.46
PPP1R3E	633.73	318.57	536.45	194.36	287.01	289.02	170.25	314.17	397.93	72.01	75.11	63.45	88.88	52.08	76.71	0.0	0.58	312.0	218.79	301.33	164.42	161.02	194.36
PPP1R9B	1322.37	490.14	995.0	642.59	1119.56	1096.5	529.06	1051.79	688.78	343.89	211.31	248.0	351.14	198.47	183.82	0.0	0.62	915.51	547.75	1208.34	1008.9	444.72	616.37
RNF207	457.25	389.72	1639.59	379.04	1561.89	567.1	426.57	1030.12	392.44	27.84	100.83	29.27	98.73	35.0	35.5	0.0	0.83	638.15	186.4	785.88	444.72	182.55	246.28
RNF224	211.31	18.16	10.0	4.58	109.66	21.01	3.59	142.01	8.99	0.32	0.0	0.23	1.5	0.47	2.07	0.0	0.27	37.05	5.41	5.41	12.93	8.45	3.79
RP11-1407O15.2	1295.13	536.45	412.0	223.41	860.08	1127.35	521.76	660.68	708.18	47.84	92.05	62.56	100.83	71.0	63.89	0.0	1.0	124.37	236.21	633.73	366.09	199.85	297.17
RP11-697E2.6	14.45	3.63	2.84	3.44	7.06	16.51	5.68	5.73	7.34	0.09	1.38	0.87	0.96	2.05	0.49	0.0	0.15	1.6	1.38	2.63	2.56	2.53	2.58
RPIA	785.88	753.83	454.09	267.73	723.08	759.08	366.09	759.08	728.11	173.85	163.28	62.56	137.14	88.88	119.26	0.0	0.06	529.06	271.48	759.08	414.87	361.04	376.41
SEMA5B	211.31	22.43	35.5	41.81	190.34	24.46	26.47	137.14	11.21	4.46	5.41	17.0	10.71	11.91	5.82	0.0	0.16	27.84	34.26	92.05	40.64	10.88	9.63
SRCIN1	1304.15	4.46	164.42	99.43	450.94	236.21	69.52	251.48	171.45	20.56	23.42	63.0	65.72	73.03	139.07	0.0	0.31	543.96	23.25	397.93	603.67	46.84	73.03
TBC1D3	688.78	199.85	202.66	139.07	215.77	500.46	275.28	228.13	77.25	8.51	12.83	18.7	23.76	30.56	28.86	0.0	0.67	103.69	61.25	164.42	125.24	85.82	100.83
TBC1D3B	73.03	0.0	13.12	12.55	21.47	25.72	13.03	40.64	6.11	0.64	4.46	1.91	2.48	2.68	1.27	0.0	0.44	13.32	2.76	13.12	14.45	3.82	5.96
TBC1D3F	1572.76	503.95	291.04	234.57	301.33	1066.48	236.21	529.06	262.2	5.23	53.57	23.08	43.94	25.17	36.27	0.0	1.08	167.9	98.04	351.14	198.47	134.3	190.34
TERT	127.0	3.29	2.92	85.82	3.5	7.46	7.51	27.25	1.31	1.22	0.0	2.05	0.0	0.0	0.0	0.0	0.21	9.13	0.0	26.28	2.34	8.85	0.55
THUMPD2	441.64	379.04	293.07	327.56	483.38	351.14	256.78	403.5	316.37	50.98	52.82	42.71	40.93	80.57	110.43	0.0	0.51	164.42	147.06	420.68	309.83	120.94	165.57
TMEM42	796.86	567.1	954.43	356.05	450.94	289.02	299.25	395.18	260.38	234.57	232.94	163.28	229.72	138.1	187.71	0.0	0.17	226.54	255.0	540.19	108.14	209.84	260.38
TSEN54	1259.69	743.43	1088.92	909.17	2434.5	1167.14	825.0	3257.52	1551.09	236.21	323.03	178.77	229.72	154.42	178.77	0.0	0.56	1923.14	414.87	2468.49	878.17	583.07	579.04
UBR4	6935.54	3847.29	2537.92	4298.64	3589.58	4210.15	4512.4	3540.14	2335.28	1605.83	1508.65	1757.34	2384.37	2075.59	2816.11	0.0	0.57	2935.74	3235.01	2591.27	2485.67	2193.99	2133.97
UCN	239.52	16.39	14.89	48.87	48.87	167.9	51.71	72.01	71.0	1.79	9.2	11.47	11.13	3.66	42.11	0.0	0.56	8.58	43.32	150.17	50.27	12.55	4.82
USP40	1467.37	395.18	723.08	638.15	656.11	665.29	329.84	366.09	503.95	195.72	323.03	301.33	361.04	289.02	358.54	0.0	0.67	642.59	358.54	848.22	497.0	392.44	406.31
ZBED5	974.5	470.14	775.05	366.09	796.86	476.71	497.0	693.58	603.67	86.43	74.06	73.54	81.71	100.83	88.88	0.0	0.69	318.57	412.0	909.17	521.76	435.55	543.96
ZNF280D	780.44	563.18	890.44	457.25	599.49	928.3	412.0	420.68	813.63	159.9	267.73	189.02	241.19	246.28	273.37	0.0	0.27	403.5	490.14	679.29	387.02	309.83	356.05
ZNF341	395.18	76.17	77.79	104.42	120.94	92.05	80.57	127.89	115.16	9.85	22.1	18.7	17.77	12.09	23.08	0.0	0.13	82.87	60.39	183.82	85.82	72.52	81.71
ZNF385C	87.03	40.93	159.9	29.7	135.24	47.5	25.54	63.0	58.71	0.39	0.27	3.53	0.92	2.16	0.26	0.0	0.13	31.0	9.63	78.89	13.93	6.89	22.1
ZNF600	543.96	543.96	215.77	148.09	473.41	159.9	118.43	187.71	307.69	20.56	4.54	13.03	45.21	10.71	29.48	0.0	0.62	316.37	211.31	127.0	249.73	260.38	169.07
