	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.EP.A26S.01A.11R.A16W.07	TCGA.ZP.A9D4.01A.11R.A37K.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.BC.A10U.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A118.11A.11R.A131.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A10W.11A.11R.A131.07	TCGA.BC.A10T.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.ZTPG.1426.SM.51MT3	GTEX.13FTZ.0726.SM.5IFFY	GTEX.X4EO.1126.SM.4QARQ	GTEX.147F4.1426.SM.5LUA8	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.144GM.1326.SM.5LU5E	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.RU72.1426.SM.46MUF	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.T6MN.1226.SM.3NMA5	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.11ZVC.0726.SM.5FQT9	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13O3O.1826.SM.5IFGW	GTEX.11OF3.0726.SM.5BC4Z	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.14C38.1526.SM.5RQJ7	GTEX.REY6.1226.SM.48FDR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4589.01A.01R.1443.07	GTEX.11WQK.2926.SM.5EQKT	GTEX.11NUK.2426.SM.5BC4U
C14orf159	429.54	226.54	255.0	199.85	470.14	647.07	387.02	384.34	559.28	320.8	417.77	403.5	518.15	486.75	503.95	397.93	551.56	353.59	414.87	336.79	595.34	718.08	525.39	802.41	728.11	183.82	507.46	532.74	642.59	1111.82	642.59	872.1	466.88	791.35	638.15	90.14	830.75	567.1	733.19	915.51	878.17	466.88	665.29	684.02	698.41	1023.0	256.78	441.64	836.53	1208.34	1111.82	376.41	1331.57	642.59	674.59	579.04	660.68	1015.93	212.78	759.08	379.04	511.0	463.65	139.07	341.51	0.0	0.62	323.03	159.9	612.11
C9orf173	4.43	1.03	0.0	0.72	55.1	62.56	0.0	7.51	12.83	2.51	2.46	17.51	3.44	3.47	7.34	0.0	3.14	0.0	1.73	11.3	3.99	9.34	15.91	8.25	34.75	0.2	23.42	5.15	4.03	43.02	12.93	14.14	1.23	17.0	8.92	0.0	24.11	17.38	5.54	34.26	23.76	3.82	9.2	14.89	15.45	7.4	0.0	1.83	23.42	12.18	39.5	1.55	7.06	13.62	10.47	2.92	17.0	8.58	0.6	18.7	9.7	10.79	12.27	0.17	0.91	0.0	0.31	0.0	0.57	0.0
C9orf37	181.28	87.03	117.6	83.45	236.21	366.09	124.37	161.02	169.07	94.67	136.19	116.78	175.07	136.19	142.01	79.45	112.77	106.63	118.43	116.78	178.77	255.0	220.32	170.25	305.55	115.97	220.32	134.3	224.97	232.94	198.47	316.37	193.01	249.73	190.34	55.1	221.86	199.85	229.72	236.21	239.52	190.34	166.73	202.66	241.19	346.29	151.22	119.26	211.31	205.5	336.79	119.26	205.5	202.66	167.9	158.79	193.01	229.72	123.5	246.28	88.26	228.13	251.48	153.34	140.04	0.0	0.73	127.0	106.63	94.67
CDHR3	85.22	3.86	9.13	1.36	127.89	121.79	31.67	49.56	30.12	45.53	65.26	46.18	42.11	27.84	84.04	20.11	37.05	65.72	43.94	75.64	116.78	70.01	111.21	108.14	114.36	18.03	93.35	39.5	62.56	158.79	92.05	113.56	85.82	111.21	54.33	11.04	79.45	51.35	67.59	85.22	176.29	65.26	61.25	148.09	74.58	146.03	7.82	42.11	80.57	68.55	158.79	32.36	106.63	120.1	100.83	85.22	57.08	98.73	22.1	68.07	47.5	131.51	116.78	17.38	19.68	0.0	0.0	11.47	12.74	21.78
CNNM3	591.22	71.5	87.03	80.57	780.44	698.41	373.81	470.14	251.48	376.41	409.15	231.32	400.71	389.72	346.29	395.18	363.56	368.65	336.79	371.22	497.0	435.55	575.03	638.15	603.67	237.86	536.45	361.04	417.77	825.0	769.69	974.5	518.15	854.13	490.14	153.34	629.35	684.02	583.07	674.59	656.11	514.56	595.34	698.41	435.55	728.11	223.41	366.09	775.05	842.36	860.08	373.81	540.19	500.46	718.08	412.0	723.08	551.56	141.02	540.19	267.73	743.43	660.68	194.36	231.32	154.42	110.43	44.57	46.84	103.69
COQ10A	444.72	39.22	53.57	28.24	1143.1	2319.15	444.72	511.0	309.83	264.03	341.51	366.09	532.74	718.08	540.19	260.38	426.57	343.89	447.82	297.17	660.68	713.11	1008.9	555.41	1359.57	106.63	1216.75	239.52	547.75	1487.87	1572.76	1639.59	660.68	1378.57	470.14	185.11	878.17	713.11	642.59	764.36	1331.57	723.08	836.53	902.89	470.14	1617.0	114.36	305.55	819.3	1151.06	1268.46	480.04	713.11	813.63	988.12	629.35	1066.48	1350.18	185.11	1447.15	353.59	1605.83	1127.35	329.84	141.02	0.0	0.33	37.59	122.64	46.5
CRY2	1268.46	128.79	147.06	136.19	1467.37	1498.22	693.58	547.75	503.95	532.74	764.36	490.14	679.29	684.02	511.0	346.29	387.02	343.89	563.18	713.11	507.46	872.1	473.41	1685.71	1081.39	454.09	651.58	441.64	1059.11	1397.83	728.11	1745.2	679.29	2004.85	842.36	129.69	902.89	460.44	674.59	1674.06	1199.98	381.68	1286.18	2061.24	1044.52	738.29	358.54	1023.0	974.5	1721.16	1540.37	624.99	1397.83	775.05	921.88	1225.22	974.5	1250.98	209.84	1313.23	480.04	651.58	921.88	409.15	381.68	0.0	0.41	49.21	325.29	295.11
CTC-241N9.1	23.59	5.68	3.76	6.31	40.64	25.91	11.64	17.25	7.51	5.5	8.06	10.16	17.25	12.74	6.11	18.43	11.64	8.51	14.89	35.0	11.3	22.92	20.86	16.63	33.06	14.45	21.94	12.45	11.13	46.84	22.26	25.72	15.68	17.51	34.51	0.0	20.56	22.92	18.43	22.59	33.06	20.56	21.63	24.81	10.47	20.41	6.89	7.69	27.44	24.99	29.91	6.62	10.31	24.46	19.82	8.38	41.22	18.16	8.32	35.76	1.36	29.48	35.5	10.24	16.63	0.0	0.0	8.85	2.78	3.69
DCAF8	2090.03	738.29	813.63	890.44	3372.43	4575.41	1277.29	1870.53	1674.06	1733.13	1639.59	1806.78	1628.26	1628.26	2018.8	1896.65	1819.35	1407.55	1487.87	2075.59	2303.12	1991.0	1709.26	2816.11	3212.66	1216.75	2133.97	1781.89	2384.37	3614.55	2555.58	2434.5	1697.45	2956.17	2384.37	1397.83	2367.9	2434.5	2148.82	2935.74	3168.41	1295.13	1936.53	3018.3	2240.11	2434.5	878.17	1277.29	2739.08	3018.3	4575.41	1639.59	2796.65	2417.67	2701.35	2875.3	3303.0	4010.71	941.27	2468.49	1733.13	2163.77	2104.58	753.83	1529.73	1295.13	796.86	341.51	595.34	896.64
DRD1	13.42	0.29	0.0	0.0	173.85	249.73	1.58	7.22	5.41	2.86	5.41	4.82	8.38	4.06	4.17	2.48	6.01	4.31	3.89	3.08	17.13	7.34	13.93	8.38	29.27	0.0	14.78	3.06	12.74	28.45	27.25	23.08	10.96	27.64	11.91	0.0	21.16	15.8	9.06	41.81	118.43	7.57	21.78	64.8	4.98	50.63	2.63	1.62	47.84	20.41	126.12	11.04	2.66	17.77	36.01	7.34	22.26	16.27	0.64	15.56	4.46	49.91	35.5	0.21	0.85	0.0	0.0	0.0	1.19	0.0
FBXL4	241.19	122.64	84.04	132.44	341.51	253.23	104.42	156.59	131.51	140.04	122.64	92.7	173.85	129.69	195.72	171.45	135.24	156.59	113.56	172.65	189.02	269.6	253.23	305.55	260.38	121.79	226.54	79.45	152.28	206.94	195.72	198.47	229.72	265.87	205.5	102.25	187.71	351.14	149.12	202.66	244.57	113.56	205.5	236.21	156.59	199.85	91.41	146.03	285.03	341.51	265.87	161.02	175.07	208.38	165.57	115.97	260.38	327.56	62.56	309.83	99.43	279.14	251.48	79.45	117.6	0.0	0.04	100.13	90.77	70.01
FMO4	595.34	53.95	48.52	42.41	1769.57	1088.92	432.53	503.95	503.95	371.22	555.41	567.1	808.0	384.34	674.59	490.14	571.05	633.73	688.78	954.43	974.5	1697.45	743.43	1104.13	1529.73	58.3	669.92	518.15	1008.9	1119.56	902.89	713.11	974.5	974.5	1216.75	78.89	748.61	1001.93	796.86	1519.15	1769.57	327.56	896.64	1583.71	612.11	1225.22	88.26	507.46	961.07	1259.69	2004.85	587.13	1030.12	647.07	1001.93	483.38	1088.92	1350.18	178.77	1259.69	351.14	1250.98	872.1	20.26	316.37	0.0	0.08	31.0	8.92	105.89
HDHD3	2240.11	346.29	647.07	567.1	3257.52	4802.93	872.1	2133.97	1437.15	514.56	1199.98	525.39	1963.57	1457.23	1427.22	551.56	1111.82	796.86	1044.52	1437.15	2451.44	2591.27	2018.8	2240.11	3146.52	967.76	2895.31	665.29	1369.04	3419.52	3190.46	3515.68	2434.5	3103.19	1950.0	309.83	2895.31	2609.3	2384.37	3060.45	3103.19	1685.71	2351.53	2875.3	2255.7	3491.39	514.56	1286.18	2758.13	3103.19	3372.43	1757.34	3235.01	1304.15	2935.74	1819.35	3146.52	2417.67	403.5	2627.46	587.13	3303.0	3564.78	2434.5	1268.46	651.58	665.29	381.68	567.1	1437.15
HEATR4	26.1	0.89	0.64	2.73	56.28	51.71	8.58	20.86	15.91	12.27	12.45	6.41	6.01	49.56	38.12	1.85	5.41	1.1	32.13	14.67	17.64	23.59	23.42	66.65	45.53	2.36	17.51	10.63	28.86	77.25	36.01	106.63	39.5	53.57	42.71	3.29	42.71	17.38	53.57	53.19	54.33	21.01	39.22	57.89	17.9	82.29	2.27	9.85	77.25	70.01	52.82	3.82	18.03	70.51	22.92	17.13	72.52	55.89	8.58	41.52	0.64	82.87	42.11	1.58	11.47	0.0	0.1	0.43	8.99	1.62
HEXIM2	406.31	46.18	39.79	96.68	603.67	684.02	205.5	363.56	158.79	128.79	171.45	132.44	373.81	201.25	223.41	66.18	155.5	220.32	105.15	134.3	368.65	320.8	293.07	221.86	381.68	79.45	400.71	104.42	194.36	616.37	318.57	414.87	297.17	460.44	320.8	93.35	414.87	412.0	316.37	384.34	521.76	221.86	450.94	384.34	215.77	612.11	84.04	159.9	395.18	371.22	412.0	204.07	343.89	283.05	309.83	187.71	312.0	265.87	92.7	435.55	130.6	387.02	420.68	82.87	206.94	0.0	0.0	95.34	42.71	37.05
HIRIP3	429.54	147.06	104.42	137.14	480.04	1001.93	387.02	325.29	293.07	201.25	283.05	236.21	258.57	242.88	249.73	161.02	206.94	297.17	204.07	251.48	327.56	291.04	525.39	316.37	444.72	176.29	232.94	195.72	587.13	555.41	466.88	379.04	265.87	325.29	395.18	134.3	543.96	301.33	332.14	389.72	660.68	307.69	500.46	669.92	271.48	420.68	170.25	237.86	497.0	473.41	571.05	346.29	409.15	361.04	368.65	426.57	249.73	289.02	125.24	130.6	199.85	450.94	381.68	81.14	293.07	0.0	0.01	187.71	29.06	51.35
HNF4A	2816.11	0.64	0.41	0.0	5112.16	6516.03	1529.73	2400.97	1709.26	1733.13	2720.15	1572.76	2119.22	1745.2	2148.82	1417.35	1628.26	1350.18	1605.83	3639.7	1605.83	2835.7	4123.49	6294.04	3124.78	1397.83	995.0	2351.53	1991.0	3280.18	4802.93	3124.78	1896.65	14065.74	2335.28	150.17	2018.8	7382.04	2645.74	4095.0	1498.22	1923.14	3372.43	7230.1	1674.06	2224.63	346.29	974.5	4543.8	3039.3	3419.52	1870.53	1359.57	1331.57	3901.01	1844.76	2133.97	4358.66	90.14	4736.79	836.53	3540.14	2287.2	2739.08	2555.58	0.0	0.0	1.31	0.0	450.94
KLHDC9	141.02	7.69	16.27	4.74	536.45	435.55	172.65	148.09	137.14	101.54	71.5	151.22	108.14	167.9	173.85	110.43	170.25	151.22	211.31	246.28	363.56	244.57	500.46	351.14	493.56	38.12	307.69	130.6	178.77	346.29	332.14	229.72	208.38	241.19	256.78	12.0	323.03	341.51	260.38	532.74	521.76	314.17	88.88	221.86	232.94	189.02	40.93	189.02	368.65	309.83	466.88	201.25	258.57	283.05	368.65	127.0	269.6	195.72	48.52	260.38	163.28	332.14	237.86	22.59	121.79	0.0	0.22	17.38	4.39	15.8
KLLN	7.69	1.22	4.35	3.63	20.26	26.67	3.89	6.41	6.26	3.26	2.63	1.43	8.13	5.5	9.34	5.23	5.36	4.7	6.73	5.5	7.82	10.55	10.39	8.85	11.13	1.62	16.03	3.17	4.24	22.59	15.34	7.11	13.72	6.57	12.09	2.56	6.84	9.2	13.32	15.0	6.41	3.26	12.0	22.26	6.73	23.42	3.59	4.1	17.9	16.27	15.34	9.85	10.16	7.34	4.62	3.35	11.73	9.41	2.84	22.59	3.72	18.03	18.7	1.83	6.46	0.0	0.0	1.45	0.83	1.25
LBX2	208.38	20.71	5.41	3.72	220.32	559.28	116.78	70.51	67.59	43.02	40.36	43.32	112.77	77.25	148.09	41.52	57.49	52.08	89.51	150.17	95.34	94.01	183.82	149.12	194.36	7.63	113.56	29.27	81.71	265.87	217.27	260.38	126.12	116.78	128.79	4.7	91.41	191.67	153.34	373.81	320.8	78.34	99.43	232.94	111.99	285.03	7.51	80.01	198.47	136.19	212.78	126.12	108.14	195.72	98.04	90.77	164.42	147.06	19.39	167.9	107.38	183.82	242.88	14.35	23.59	0.0	0.3	5.73	4.28	3.63
LRRC45	291.04	148.09	91.41	107.38	1066.48	1030.12	224.97	346.29	206.94	138.1	151.22	153.34	358.54	297.17	197.09	146.03	307.69	123.5	193.01	165.57	318.57	656.11	928.3	271.48	769.69	130.6	392.44	128.79	224.97	567.1	447.82	518.15	309.83	426.57	334.46	55.1	429.54	432.53	327.56	473.41	642.59	339.14	346.29	457.25	435.55	476.71	220.32	191.67	273.37	529.06	633.73	265.87	389.72	417.77	281.09	189.02	248.0	457.25	123.5	525.39	103.69	500.46	503.95	111.99	158.79	0.0	0.19	46.5	38.95	59.13
METAP1D	94.01	49.56	26.47	55.49	190.34	142.01	80.01	78.34	74.58	73.03	72.52	78.34	76.17	84.04	80.57	87.65	80.57	77.79	78.89	63.45	134.3	123.5	108.14	136.19	132.44	54.33	84.63	103.69	125.24	155.5	103.69	98.73	97.36	122.64	154.42	17.9	106.63	85.22	100.83	181.28	154.42	68.07	40.36	172.65	82.29	111.21	54.72	92.7	138.1	129.69	153.34	59.13	60.82	180.02	122.64	70.51	68.55	126.12	29.06	90.77	38.12	82.29	120.1	64.34	75.64	0.0	0.32	37.59	8.0	21.94
MRI1	358.54	231.32	148.09	109.66	327.56	417.77	165.57	264.03	223.41	262.2	223.41	244.57	194.36	267.73	265.87	283.05	218.79	253.23	204.07	547.75	279.14	323.03	226.54	273.37	384.34	193.01	111.21	251.48	297.17	612.11	379.04	336.79	231.32	285.03	371.22	151.22	323.03	409.15	429.54	466.88	518.15	229.72	147.06	429.54	246.28	262.2	241.19	122.64	551.56	435.55	703.28	202.66	314.17	381.68	237.86	271.48	476.71	361.04	68.55	376.41	115.16	283.05	269.6	164.42	202.66	0.0	0.68	151.22	138.1	76.71
MTFR1L	1313.23	429.54	334.46	232.94	1781.89	1757.34	1242.34	1044.52	1127.35	647.07	808.0	915.51	1175.27	1088.92	1467.37	733.19	842.36	1015.93	934.76	1477.58	1313.23	1540.37	1769.57	1561.89	2209.26	842.36	1697.45	934.76	1519.15	2335.28	2018.8	2351.53	1250.98	2032.85	1350.18	603.67	1685.71	1685.71	1407.55	2090.03	2351.53	1175.27	1639.59	1832.01	1304.15	2119.22	412.0	974.5	1487.87	2163.77	2417.67	1015.93	1104.13	1477.58	1447.15	1250.98	1540.37	2004.85	909.17	2148.82	896.64	2148.82	1991.0	1135.2	1088.92	0.0	0.69	346.29	426.57	507.46
N6AMT1	70.01	35.76	40.93	36.01	125.24	148.09	76.71	33.06	67.12	45.85	53.19	44.25	72.01	60.82	64.34	64.34	39.5	66.18	81.14	97.36	70.51	111.99	78.89	79.45	136.19	75.11	113.56	34.02	84.63	126.12	78.89	53.57	59.13	92.05	88.26	22.92	64.34	68.55	72.01	90.77	140.04	57.89	54.72	127.0	67.59	107.38	50.98	41.22	102.97	94.67	154.42	58.3	72.01	59.97	61.25	59.13	115.97	83.45	22.75	101.54	28.45	92.7	127.89	74.58	35.5	0.0	0.09	50.98	20.11	35.25
NEIL1	599.49	17.13	13.83	4.13	796.86	591.22	353.59	450.94	392.44	273.37	223.41	547.75	384.34	299.25	277.2	249.73	438.59	224.97	332.14	454.09	684.02	693.58	638.15	769.69	941.27	154.42	543.96	432.53	457.25	1427.22	796.86	1066.48	432.53	1359.57	432.53	102.25	599.49	387.02	423.61	848.22	791.35	536.45	511.0	775.05	521.76	802.41	106.63	265.87	660.68	902.89	1359.57	400.71	551.56	583.07	638.15	518.15	595.34	1023.0	187.71	796.86	444.72	802.41	896.64	130.6	211.31	0.0	1.1	31.45	27.44	73.03
