	GTEX.1211K.1326.SM.5FQV2	TCGA.A3.3373.01A.02R.1420.07	TCGA.BP.4959.01A.01R.1334.07	TCGA.BP.4963.01A.01R.1334.07	TCGA.BP.4325.01A.02R.1289.07	TCGA.BP.4766.01A.01R.1289.07	TCGA.B0.4714.01A.01R.1277.07	TCGA.93.7348.01A.21R.2039.07	TCGA.J2.A4AD.01A.11R.A24H.07	GTEX.12WSI.0826.SM.5EGKD	GTEX.11NSD.0326.SM.5A5LS	GTEX.X5EB.0426.SM.46MVY	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.X3Y1.0626.SM.3P5YS	GTEX.145MN.0926.SM.5NQBT	GTEX.ZPU1.0926.SM.57WDO	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.11ZTT.0626.SM.5EQLM	GTEX.1399U.0826.SM.5KM1P
C11orf88	0.82	1.08	1.87	2.84	0.34	1.31	1.11	249.73	181.28	3794.3	2627.46	3168.41	1529.73	2777.33	3190.46	4038.61	3540.14	9945.68	5672.41	2384.37	6983.79	5751.61	2485.67
C12orf74	0.0	1.06	1.1	1.73	0.99	0.64	0.72	9.06	4.24	40.93	31.67	28.45	14.67	24.99	53.19	40.93	31.9	85.82	68.55	71.5	121.79	92.05	10.96
C15orf26	5.73	4.28	0.74	6.01	12.45	20.11	6.57	31.0	9.85	152.28	115.97	186.4	162.14	253.23	120.1	123.5	246.28	299.25	195.72	249.73	543.96	264.03	92.05
C1orf141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.32	8.85	70.01	59.13	119.26	46.18	45.53	57.08	136.19	123.5	106.63	152.28	105.15	101.54	214.27	55.89
C1orf158	0.0	0.0	0.0	0.0	1.01	0.0	0.0	49.21	15.56	392.44	325.29	529.06	159.9	406.31	373.81	339.14	409.15	775.05	703.28	346.29	607.87	633.73	277.2
C1orf173	0.39	0.38	0.0	7.46	2.05	0.67	5.19	58.3	30.78	480.04	256.78	555.41	269.6	525.39	417.77	432.53	547.75	896.64	915.51	389.72	1119.56	872.1	318.57
C1orf189	0.0	0.0	0.0	0.0	0.0	2.32	4.1	61.68	22.43	890.44	414.87	802.41	187.71	198.47	759.08	559.28	368.65	1651.0	981.29	454.09	1721.16	1051.79	414.87
C1orf194	4.74	1.81	4.13	1.45	0.0	4.62	3.35	426.57	234.57	7485.11	3665.02	8134.41	2682.69	5831.91	3081.75	6337.83	6699.25	13586.57	14065.74	4328.55	16269.83	9673.69	4298.64
C1orf222	0.28	11.55	3.41	10.39	16.63	24.28	13.72	56.68	32.82	373.81	318.57	703.28	343.89	718.08	429.54	420.68	529.06	1143.1	974.5	307.69	738.29	723.08	305.55
C1orf228	41.52	27.84	16.63	47.17	40.36	39.79	114.36	172.65	665.29	896.64	376.41	947.83	195.72	642.59	698.41	872.1	674.59	1359.57	2758.13	473.41	1359.57	460.44	547.75
C1orf87	2.68	0.71	3.29	0.0	0.0	0.0	2.53	30.56	29.27	555.41	559.28	791.35	293.07	454.09	595.34	743.43	703.28	1407.55	1233.75	591.22	1331.57	884.29	353.59
C20orf201	0.0	0.0	0.0	0.72	0.68	0.67	0.0	7.57	9.63	54.72	68.07	121.79	34.02	8.92	41.22	28.65	47.84	119.26	22.75	74.58	70.51	81.71	30.12
C20orf85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	624.99	285.03	15075.35	8778.97	20310.37	6607.01	11584.24	13306.94	12502.12	11424.74	34396.12	27553.49	11504.21	38430.46	20881.4	8022.41
C21orf128	0.0	0.37	0.0	2.53	1.03	0.0	0.75	25.54	6.46	40.64	18.03	56.28	3.99	17.13	21.94	30.78	19.82	91.41	62.12	33.06	52.08	46.5	22.59
C21orf58	27.25	10.71	8.06	42.11	33.54	32.36	81.14	127.0	189.02	260.38	251.48	417.77	157.68	297.17	423.61	450.94	320.8	743.43	743.43	307.69	507.46	567.1	201.25
C22orf15	3.47	6.21	3.79	17.25	1.73	6.31	10.08	117.6	33.54	483.38	466.88	723.08	171.45	497.0	660.68	679.29	420.68	1388.16	1175.27	423.61	1023.0	733.19	348.71
C22orf31	0.0	2.16	0.0	0.0	0.68	0.0	3.69	0.0	0.66	13.32	1.39	3.44	15.34	13.03	3.72	1.36	10.16	10.55	25.17	7.82	9.7	3.72	0.0
C4orf22	28.24	2.16	7.46	14.14	7.4	0.0	29.27	52.08	27.25	358.54	180.02	417.77	231.32	521.76	320.8	366.09	316.37	441.64	708.18	293.07	679.29	454.09	111.21
C9orf117	9.13	18.97	7.63	10.16	16.15	11.38	12.0	323.03	264.03	642.59	450.94	902.89	406.31	1030.12	753.83	764.36	651.58	1437.15	1594.73	579.04	1051.79	928.3	698.41
CAPSL	0.0	2.84	7.75	0.0	0.0	3.56	0.0	392.44	90.77	1857.6	1111.82	2090.03	780.44	1277.29	1447.15	1417.35	1651.0	3742.05	2915.45	1651.0	4972.34	2777.33	1051.79
CATSPERD	0.73	0.0	0.0	0.0	0.0	0.0	0.0	6.62	8.78	764.36	679.29	1551.09	295.11	825.0	463.65	1111.82	1088.92	2303.12	1733.13	624.99	1104.13	1447.15	723.08
CCDC147	13.83	4.74	5.32	9.7	12.27	6.94	30.56	31.0	15.22	129.69	65.72	281.09	96.01	185.11	139.07	127.89	171.45	406.31	291.04	133.36	470.14	264.03	85.82
CCDC151	9.06	7.69	8.38	9.78	3.82	11.91	25.17	104.42	45.85	120.94	182.55	267.73	140.04	232.94	206.94	237.86	226.54	529.06	507.46	218.79	348.71	309.83	147.06
CCDC153	16.63	10.55	14.35	44.25	25.17	24.81	22.26	253.23	189.02	688.78	379.04	759.08	264.03	579.04	507.46	708.18	595.34	1651.0	1437.15	563.18	1104.13	974.5	463.65
CCDC17	13.62	6.01	1.6	25.17	17.38	14.89	51.35	202.66	183.82	896.64	518.15	1674.06	403.5	1388.16	902.89	1001.93	848.22	2400.97	3443.31	981.29	2004.85	1151.06	679.29
CCDC33	0.0	0.0	0.38	0.36	0.0	0.0	0.0	48.18	33.3	237.86	145.02	376.41	146.03	493.56	273.37	273.37	204.07	575.03	743.43	256.78	599.49	361.04	204.07
CCDC39	38.12	2.94	2.68	14.03	10.63	2.68	21.32	65.72	54.72	147.06	80.57	414.87	32.13	115.16	178.77	197.09	185.11	346.29	368.65	99.43	379.04	403.5	273.37
CCDC42B	4.21	2.92	0.77	3.96	4.1	1.99	7.4	74.58	59.55	708.18	438.59	1313.23	356.05	665.29	836.53	684.02	780.44	1628.26	2104.58	660.68	1167.14	1088.92	490.14
CCDC81	14.03	8.78	24.28	14.14	12.74	13.62	10.88	19.97	23.25	111.99	126.12	145.02	85.22	140.04	232.94	183.82	277.2	320.8	130.6	85.82	106.63	264.03	129.69
CCP110	128.79	127.0	100.83	139.07	211.31	156.59	206.94	346.29	237.86	346.29	289.02	450.94	228.13	647.07	358.54	232.94	309.83	351.14	1073.91	242.88	620.67	444.72	199.85
CD1B	0.0	6.78	5.59	4.24	1.68	1.95	1.1	24.63	1.23	99.43	43.63	74.58	6.94	23.93	271.48	0.0	61.68	11.47	12.93	48.52	176.29	21.32	35.76
CD1C	8.58	72.01	98.73	72.01	8.92	27.64	26.47	120.1	12.74	808.0	466.88	579.04	78.89	54.33	466.88	152.28	819.3	61.25	185.11	206.94	366.09	146.03	384.34
CD1E	2.05	66.65	67.59	68.07	13.62	21.63	23.59	93.35	6.06	197.09	185.11	373.81	16.39	0.0	921.88	177.53	348.71	76.17	103.69	130.6	153.34	248.0	273.37
CD200R1L	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	1.39	1.43	3.08	0.95	1.71	0.0	0.0	0.0	4.54	5.11	1.43	6.73	1.43	0.99
CDHR3	164.42	147.06	84.63	412.0	457.25	327.56	358.54	249.73	155.5	1963.57	1407.55	2915.45	909.17	2335.28	2303.12	2591.27	1561.89	3716.2	4419.52	1437.15	4575.41	3372.43	1487.87
CDHR4	0.97	1.85	1.16	0.38	1.39	0.0	3.38	125.24	79.45	651.58	470.14	1191.69	483.38	764.36	967.76	748.61	896.64	2417.67	2400.97	769.69	1397.83	1268.46	595.34
CHST6	1.81	0.34	0.35	0.68	0.65	0.62	0.35	111.99	128.79	100.13	64.8	226.54	151.22	312.0	63.0	96.68	47.5	209.84	108.14	100.83	417.77	132.44	94.01
CLEC19A	0.0	0.0	0.0	0.0	1.0	0.0	0.0	5.11	1.45	0.0	4.28	8.51	2.14	8.99	3.86	5.82	8.32	4.5	8.51	4.28	0.0	3.03	3.08
CNGA4	4.5	1.81	4.5	3.23	2.73	4.28	5.92	32.59	18.84	123.5	122.64	366.09	128.79	127.0	181.28	262.2	205.5	363.56	339.14	202.66	397.93	351.14	117.6
CRISP2	3.14	0.0	0.0	0.0	0.0	0.0	0.0	2.16	4.74	50.98	165.57	151.22	65.26	56.68	525.39	199.85	199.85	397.93	157.68	27.84	320.8	191.67	57.89
CYP2F1	1.25	0.0	1.51	0.72	8.19	1.33	0.38	35.0	57.08	1397.83	860.08	525.39	165.57	255.0	796.86	1233.75	1066.48	1639.59	1417.35	1104.13	3325.99	1605.83	1242.34
DCDC2B	6.62	1.87	1.17	5.45	8.92	4.7	9.78	41.52	30.34	429.54	249.73	708.18	127.89	536.45	595.34	529.06	466.88	1572.76	1030.12	406.31	954.43	860.08	358.54
DLEC1	25.35	2.27	3.14	7.69	3.89	5.77	8.38	73.03	73.54	264.03	220.32	764.36	267.73	579.04	493.56	525.39	395.18	1295.13	1350.18	435.55	669.92	423.61	325.29
DNAH10	2.51	8.58	1.5	5.63	5.36	7.17	7.69	31.9	29.7	291.04	256.78	507.46	285.03	486.75	323.03	429.54	511.0	854.13	842.36	351.14	708.18	521.76	262.2
DNAH12	4.58	2.92	1.14	2.86	4.1	4.28	5.59	102.97	64.34	563.18	309.83	563.18	221.86	633.73	579.04	518.15	507.46	1447.15	1709.26	392.44	1015.93	723.08	476.71
DNAH2	1.73	1.1	4.5	0.73	1.71	1.99	1.5	162.14	32.59	285.03	212.78	500.46	181.28	327.56	361.04	403.5	358.54	872.1	684.02	273.37	616.37	536.45	209.84
DNAH9	1.66	8.71	28.65	5.02	1.73	6.94	3.72	153.34	69.03	1417.35	830.75	1508.65	629.35	1268.46	1073.91	1417.35	995.0	3491.39	1963.57	954.43	3349.13	1832.01	808.0
DNAI1	1.51	10.0	6.57	24.28	4.54	5.73	9.85	108.9	132.44	493.56	409.15	791.35	351.14	819.3	629.35	633.73	713.11	1322.37	1487.87	529.06	1322.37	909.17	543.96
DNAI2	2.36	0.0	0.0	0.37	0.35	1.33	0.0	99.43	47.5	466.88	417.77	738.29	265.87	500.46	733.19	540.19	529.06	1073.91	1551.09	417.77	775.05	842.36	356.05
DRGX	0.0	0.0	0.0	0.0	0.0	0.33	0.0	1.36	0.19	43.63	0.0	2.32	53.95	0.0	0.0	5.82	1.16	0.0	0.0	10.63	2.48	8.19	8.38
DTHD1	0.0	7.22	4.13	10.0	28.65	3.96	15.91	41.81	20.41	251.48	242.88	318.57	94.67	341.51	341.51	275.28	332.14	511.0	432.53	228.13	808.0	567.1	206.94
DYDC1	1.66	0.0	0.0	1.07	0.0	0.0	0.0	23.76	5.06	135.24	67.12	80.57	46.18	107.38	129.69	70.01	120.1	264.03	124.37	87.03	185.11	178.77	100.13
ECT2L	2.78	1.45	0.75	2.14	1.36	1.97	0.74	19.11	12.83	226.54	170.25	543.96	82.29	211.31	226.54	246.28	303.44	497.0	356.05	289.02	660.68	470.14	161.02
EFCAB1	0.0	2.89	3.0	2.84	0.68	3.59	4.43	208.38	167.9	1498.22	1397.83	3124.78	1037.29	1350.18	1936.53	2303.12	2758.13	4937.99	4639.29	1757.34	4450.27	3639.7	1295.13
EFCAB10	4.7	8.78	8.38	12.27	25.35	8.99	42.41	78.89	43.63	353.59	218.79	612.11	267.73	295.11	409.15	351.14	403.5	934.76	884.29	339.14	1427.22	866.07	275.28
EFHC1	163.28	134.3	80.57	249.73	130.6	191.67	351.14	497.0	500.46	866.07	612.11	1030.12	379.04	902.89	813.63	896.64	660.68	1963.57	1977.24	713.11	2148.82	1216.75	854.13
ENKUR	0.0	8.19	7.82	108.9	8.38	18.7	13.52	135.24	48.52	420.68	563.18	830.75	348.71	224.97	656.11	693.58	642.59	1583.71	1685.71	733.19	1457.23	1104.13	376.41
EPPIN	1.17	0.0	0.0	0.0	0.37	0.0	0.39	11.21	9.7	63.89	32.13	54.33	8.78	18.7	38.67	64.8	44.57	155.5	121.79	22.1	84.04	143.01	57.49
FAM154B	43.32	22.43	21.78	34.02	17.77	28.65	67.59	178.77	106.63	848.22	525.39	1295.13	591.22	1304.15	961.07	1059.11	1008.9	1819.35	1781.89	860.08	1991.0	1467.37	660.68
FAM166B	12.09	11.64	13.22	2.89	7.88	5.96	34.02	120.94	53.57	954.43	708.18	1551.09	679.29	1066.48	1233.75	988.12	1088.92	2573.36	2061.24	921.88	1498.22	1857.6	866.07
FAM179A	22.43	0.8	2.39	12.55	14.03	4.13	40.07	102.25	77.79	341.51	279.14	708.18	246.28	684.02	575.03	463.65	351.14	1119.56	1540.37	334.46	698.41	642.59	395.18
FAM183A	5.87	16.88	15.22	91.41	198.47	75.11	171.45	567.1	473.41	3614.55	1844.76	3665.02	1977.24	3124.78	3103.19	2895.31	3081.75	6037.61	5366.37	2777.33	6381.92	4298.64	1806.78
FAM216B	0.0	0.0	0.0	0.35	0.0	0.0	0.37	120.94	58.71	1119.56	1268.46	1417.35	669.92	974.5	1378.57	1467.37	1709.26	2645.74	2271.4	1277.29	2627.46	2895.31	607.87
FAM92B	1.55	0.37	0.39	0.37	0.0	0.67	1.87	90.77	51.35	819.3	563.18	1081.39	363.56	915.51	759.08	902.89	775.05	1769.57	1923.14	679.29	1909.85	1135.2	616.37
FMO6P	3.03	0.37	0.38	0.36	1.03	0.0	0.0	5.63	6.94	31.67	42.71	24.28	0.96	23.93	43.02	39.79	7.82	161.02	147.06	36.01	54.33	54.72	10.71
GAS2L2	10.79	0.36	1.11	1.41	0.34	0.33	0.74	39.79	15.8	239.52	191.67	483.38	145.02	403.5	389.72	273.37	295.11	748.61	878.17	262.2	423.61	463.65	182.55
GPR12	0.87	0.0	0.0	0.0	0.0	0.0	0.0	2.53	0.61	4.98	2.78	5.77	0.97	0.0	5.15	0.3	1.71	3.63	0.84	0.0	0.99	1.87	0.32
GUCY2F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	1.75	3.03	0.29	0.0	0.0	1.28	0.0	1.46	2.36	0.82	1.51	1.53	1.33
HCRTR2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	1.73	0.0	2.1	1.23	0.0	0.0	1.73	2.63	2.14	0.71	0.0	0.0	0.82	0.37
IFLTD1	2.56	0.0	0.0	0.0	0.0	0.0	0.0	16.88	5.59	98.04	45.85	129.69	58.71	92.05	106.63	93.35	106.63	155.5	173.85	83.45	239.52	163.28	63.45
IL5RA	3.23	0.34	5.87	0.34	0.66	1.28	0.72	58.3	9.78	96.01	55.89	239.52	77.79	215.77	279.14	102.97	190.34	329.84	289.02	81.14	438.59	381.68	67.12
KCNE1	5.82	6.06	11.73	19.25	5.36	5.19	5.82	61.25	26.86	85.82	279.14	934.76	119.26	194.36	409.15	476.71	133.36	429.54	244.57	275.28	441.64	348.71	769.69
KCNRG	29.48	25.17	7.11	20.56	5.77	29.7	17.38	38.67	31.22	361.04	228.13	480.04	162.14	277.2	325.29	371.22	348.71	575.03	769.69	279.14	665.29	595.34	149.12
KNCN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.78	5.36	1.5	1.43	3.66	0.0	0.96	2.58	4.1	6.31	1.87	5.5	2.58	10.24	0.96
LCNL1	5.06	0.0	0.0	2.68	3.63	6.67	5.54	4.94	11.55	8.19	12.55	47.84	0.16	1.25	64.8	44.89	15.0	13.72	24.46	32.82	5.45	17.0	13.72
LDLRAD1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.54	111.99	1529.73	2224.63	4268.94	575.03	1467.37	2451.44	2351.53	2351.53	4481.23	3564.78	1733.13	7331.05	4575.41	1119.56
LIPJ	1.33	0.0	1.5	5.68	0.67	1.97	1.1	0.0	0.69	9.2	2.46	2.89	0.87	29.06	0.57	3.99	3.26	11.3	16.27	4.06	1.51	1.85	3.5
LRRC18	0.0	0.37	0.0	1.43	0.0	0.99	0.0	25.54	8.58	120.94	197.09	339.14	67.59	180.02	205.5	191.67	202.66	312.0	376.41	146.03	293.07	368.65	135.24
LRRC46	4.35	11.64	22.26	14.03	8.25	9.27	13.03	221.86	194.36	988.12	860.08	1477.58	708.18	1119.56	1295.13	1487.87	1225.22	2335.28	2520.38	1030.12	1936.53	1685.71	808.0
LRRC71	5.36	3.38	1.97	21.16	1.45	6.78	18.97	73.54	38.95	314.17	214.27	713.11	234.57	536.45	457.25	371.22	429.54	1151.06	1088.92	417.77	688.78	723.08	258.57
MOBP	0.15	0.0	0.39	3.26	0.37	0.0	0.77	2.07	13.22	30.12	24.28	55.89	19.68	39.79	31.0	73.54	45.53	125.24	129.69	38.95	167.9	102.25	11.3
MROH9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.16	4.43	33.78	48.87	75.11	52.82	40.64	87.65	85.22	125.24	223.41	58.71	49.56	88.26	105.15	63.45
NDNF	62.12	5.23	5.45	0.34	2.29	6.06	3.59	145.02	163.28	1350.18	4298.64	748.61	3257.52	185.11	607.87	728.11	3467.27	988.12	18304.63	2997.45	9151.82	1923.14	1044.52
NEK10	4.06	3.59	18.97	16.27	4.39	7.17	13.22	41.81	35.76	277.2	157.68	358.54	126.12	327.56	251.48	244.57	185.11	470.14	497.0	169.07	718.08	373.81	162.14
NPFFR1	0.0	0.37	0.38	0.37	0.35	0.0	4.03	6.41	0.16	2.53	13.22	6.46	7.75	15.8	22.75	6.89	7.57	4.9	22.92	13.32	6.94	6.11	10.24
NWD1	2.07	4.24	0.0	3.82	4.62	9.27	1.07	49.56	14.24	183.82	132.44	543.96	40.64	50.63	293.07	314.17	186.4	718.08	444.72	172.65	532.74	579.04	244.57
OMG	8.58	6.21	15.11	5.06	5.82	2.68	10.79	314.17	141.02	4769.75	872.1	3690.52	218.79	633.73	4298.64	1359.57	961.07	4575.41	15715.58	3614.55	8840.04	6699.25	1331.57
OSBPL6	7.34	3.26	5.23	3.56	3.41	2.97	13.22	73.03	17.25	312.0	381.68	753.83	187.71	507.46	547.75	616.37	713.11	599.49	836.53	547.75	1073.91	1191.69	191.67
PIH1D3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.5	15.91	242.88	169.07	312.0	118.43	201.25	224.97	236.21	246.28	583.07	503.95	232.94	713.11	406.31	147.06
PLEKHG7	1.04	3.56	1.48	3.5	2.01	0.32	1.81	43.32	21.32	199.85	99.43	124.37	35.25	111.21	244.57	144.01	65.72	237.86	547.75	241.19	417.77	198.47	127.89
POM121L7	1.46	0.39	0.0	0.75	1.77	0.0	0.0	4.62	2.41	0.24	0.66	2.56	1.99	3.63	2.53	1.53	0.99	17.13	1.13	5.92	6.52	8.38	1.85
PPIAL4C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	1.55	0.0	0.0	0.0	0.0	3.14	0.0	0.83	0.0	0.0
PPP1R42	3.92	3.23	4.1	0.0	0.0	0.0	2.58	69.03	42.41	460.44	293.07	395.18	165.57	339.14	275.28	273.37	368.65	802.41	860.08	287.01	796.86	607.87	242.88
PRG4	47.5	1.87	3.06	1.83	5.87	1.36	5.28	38.4	63.89	180.02	237.86	297.17	71.0	303.44	208.38	169.07	148.09	536.45	22.26	379.04	73.03	642.59	69.03
PTGDS	329.84	381.68	198.47	52.08	444.72	351.14	723.08	2739.08	1757.34	9540.5	2537.92	17804.06	3235.01	9740.98	71714.63	5872.48	10733.74	3372.43	54727.32	23986.58	13776.25	14867.79	7382.04
PZP	4.62	6.46	6.73	5.32	6.78	10.08	13.22	31.9	16.39	220.32	65.72	327.56	239.52	559.28	169.07	114.36	312.0	260.38	483.38	138.1	392.44	397.93	105.15
RABL2B	429.54	361.04	334.46	591.22	647.07	514.56	896.64	796.86	733.19	1175.27	1183.45	1963.57	872.1	1457.23	1936.53	1519.15	1369.04	2777.33	3081.75	1216.75	2193.99	2090.03	1088.92
ROPN1L	5.5	13.83	15.8	21.47	20.71	16.88	31.45	229.72	74.06	1709.26	708.18	2119.22	934.76	1561.89	1605.83	1407.55	1457.23	4298.64	3060.45	1508.65	5517.27	2271.4	825.0
RP11-503N18.3	0.0	0.39	1.16	0.0	0.0	0.0	1.89	26.86	6.21	50.27	39.22	96.01	38.95	92.7	59.13	66.65	58.3	100.13	117.6	53.19	85.82	84.63	49.56
RP11-794P6.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.7	0.0	0.0	0.0	3.92	0.0	0.97	0.0	6.01	0.89	1.27	0.0	1.13	3.26
RSPH1	23.76	49.21	34.75	76.71	40.93	38.67	30.34	603.67	269.6	3190.46	2075.59	3820.7	1417.35	2319.15	3257.52	3467.27	3212.66	5555.65	6037.61	2875.3	7749.1	5292.48	2417.67
RSPH10B	2.48	2.2	0.78	6.46	1.04	4.66	0.0	23.59	36.53	108.14	92.7	258.57	86.43	198.47	151.22	185.11	236.21	236.21	204.07	146.03	190.34	204.07	111.99
RSPH10B2	0.32	1.83	1.14	6.46	6.11	1.99	8.92	11.38	16.75	150.17	88.26	242.88	94.67	115.16	122.64	142.01	157.68	309.83	583.07	113.56	329.84	303.44	80.57
RSPH4A	12.64	3.26	1.51	3.56	2.73	5.23	11.04	71.5	40.36	660.68	536.45	1081.39	466.88	595.34	629.35	665.29	896.64	1313.23	1088.92	674.59	2271.4	1605.83	514.56
RSPH9	18.03	12.74	20.26	13.32	9.56	9.63	23.42	86.43	55.1	299.25	228.13	323.03	190.34	295.11	275.28	256.78	242.88	551.56	389.72	202.66	579.04	392.44	189.02
SCGB1A1	21.32	0.0	0.0	0.0	0.0	0.0	3.08	34396.12	3515.68	3336720.86	1212874.47	2141216.62	2068278.89	1739208.14	3156730.23	3178687.03	3091765.64	3968052.37	3134925.09	2082664.91	2825352.59	3070409.25	1374046.07
SDR42E2	3.32	0.0	0.39	0.37	0.35	0.34	2.23	6.21	2.01	6.11	4.94	15.22	2.86	9.56	6.89	14.67	11.38	24.46	19.82	6.06	12.18	9.13	11.3
SLC26A8	1.28	1.1	1.14	3.23	1.03	1.0	1.5	10.24	2.16	0.0	3.47	15.68	3.96	6.73	2.34	8.38	16.27	10.39	5.15	5.68	0.02	7.88	7.75
SLC26A9	2.51	301.33	195.72	713.11	76.17	106.63	100.13	253.23	11.3	921.88	848.22	848.22	3039.3	329.84	303.44	497.0	629.35	575.03	10.96	1685.71	1551.09	579.04	1015.93
SLC46A2	0.0	4.31	8.19	12.74	5.77	30.34	8.13	45.53	7.88	1991.0	1806.78	656.11	1322.37	54.72	363.56	358.54	791.35	860.08	28.45	1883.54	1015.93	575.03	406.31
SNTN	0.0	0.0	0.0	0.0	0.68	0.0	0.0	237.86	175.07	2875.3	2255.7	3491.39	1143.1	2018.8	2875.3	2956.17	1639.59	5112.16	4210.15	2485.67	8305.36	4671.57	1977.24
SOST	1.64	0.71	0.73	0.0	0.0	0.31	0.36	1.07	2.71	0.0	3.26	2.07	0.14	3.69	1.5	0.15	6.26	38.95	1.23	3.32	4.24	95.34	0.16
SPATS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.51	6.41	59.97	80.01	224.97	23.25	48.18	90.14	161.02	80.01	325.29	215.77	125.24	267.73	148.09	59.97
STMND1	0.0	0.0	0.0	0.36	0.0	0.66	1.1	128.79	48.87	915.51	466.88	669.92	281.09	521.76	684.02	679.29	603.67	1073.91	1111.82	444.72	1216.75	961.07	301.33
STOML3	0.0	1.43	0.38	1.06	2.34	2.27	1.1	46.84	33.06	361.04	353.59	629.35	202.66	145.02	470.14	511.0	518.15	669.92	669.92	249.73	1457.23	713.11	303.44
TAS1R1	1.87	0.0	0.36	1.04	4.35	0.64	0.72	19.25	4.62	3.14	12.55	17.25	0.43	2.16	2.84	14.67	15.0	22.59	42.71	2.86	3.53	8.13	7.4
