	TCGA.AN.A0XV.01A.11R.A109.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.BH.A0HL.01A.11R.A10U.07	TCGA.A2.A0D4.01A.11R.A00Z.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.EW.A1OX.01A.11R.A144.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A0AZ.11A.22R.A12P.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.13FTY.2226.SM.5J1ND
ENPP6	2.97	3.0	2.32	0.59	4.98	0.28	1.0	38.12	0.3	2.92	15.91	59.55	27.64	53.95	6.01
EPAS1	1757.34	1111.82	379.04	884.29	1340.84	287.01	728.11	1909.85	733.19	529.06	3690.52	2075.59	2895.31	4239.45	1794.29
ESYT3	2.48	11.55	1.27	1.62	4.1	2.51	11.13	41.81	2.68	4.13	44.57	47.84	55.89	33.06	77.79
EXT1	723.08	536.45	480.04	708.18	1277.29	457.25	381.68	780.44	612.11	547.75	1096.5	775.05	743.43	785.88	688.78
FAM160B1	239.52	145.02	74.06	79.45	186.4	144.01	209.84	239.52	169.07	176.29	403.5	307.69	341.51	397.93	202.66
FAM175A	314.17	105.15	104.42	65.72	113.56	202.66	124.37	232.94	62.12	128.79	339.14	327.56	305.55	373.81	173.85
FAM204A	1417.35	1037.29	1104.13	656.11	890.44	1044.52	1250.98	1639.59	1111.82	1605.83	1733.13	1340.84	1583.71	1781.89	1529.73
FAM227B	299.25	199.85	85.22	52.82	61.68	190.34	223.41	249.73	92.7	167.9	305.55	293.07	279.14	305.55	267.73
FAT1	934.76	226.54	291.04	285.03	708.18	115.97	176.29	1950.0	130.6	460.44	3168.41	2209.26	2758.13	2148.82	2434.5
FILIP1L	660.68	223.41	127.89	221.86	361.04	39.5	159.9	551.56	92.05	361.04	2351.53	1457.23	954.43	2739.08	1023.0
FNDC4	86.43	75.64	72.52	71.0	116.78	7.63	31.0	285.03	16.03	56.68	316.37	212.78	239.52	208.38	126.12
FOXP2	31.0	7.69	0.68	5.32	19.25	0.69	10.0	25.91	0.73	5.45	81.71	70.01	89.51	77.79	16.27
GABPA	389.72	199.85	120.94	155.5	332.14	202.66	231.32	507.46	226.54	228.13	647.07	547.75	559.28	647.07	379.04
GCFC2	460.44	220.32	209.84	215.77	327.56	275.28	353.59	703.28	181.28	346.29	521.76	591.22	457.25	684.02	567.1
HBEGF	154.42	175.07	97.36	120.1	81.14	72.52	117.6	289.02	107.38	109.66	500.46	231.32	273.37	387.02	511.0
HIVEP1	351.14	223.41	161.02	128.79	214.27	77.79	172.65	293.07	122.64	262.2	373.81	341.51	406.31	356.05	264.03
ICAM1	629.35	125.24	43.94	90.77	305.55	40.64	164.42	476.71	87.03	94.67	633.73	500.46	555.41	796.86	323.03
IL5RA	9.7	1.04	1.2	0.93	1.58	0.0	4.78	1.71	0.66	0.68	8.32	2.84	8.58	11.82	2.71
INMT-FAM188B	14.56	34.51	4.31	7.4	7.63	0.0	0.0	20.56	2.16	4.5	61.68	38.4	31.9	78.89	37.59
JAM3	595.34	157.68	98.73	136.19	251.48	83.45	176.29	854.13	96.68	190.34	733.19	1059.11	819.3	708.18	400.71
KANK1	543.96	144.01	52.08	147.06	403.5	356.05	185.11	753.83	42.41	339.14	934.76	854.13	1059.11	890.44	785.88
KCNT2	12.18	3.59	0.67	1.62	5.32	0.68	2.53	5.68	0.39	3.14	21.01	13.52	30.12	24.11	8.45
KDM4D	16.88	7.51	6.46	4.86	11.21	6.57	16.75	31.9	3.86	7.88	31.45	30.78	40.36	23.42	23.76
KDSR	1350.18	890.44	733.19	981.29	629.35	884.29	890.44	1447.15	775.05	1119.56	1709.26	1519.15	1498.22	1936.53	1135.2
KIAA0922	175.07	90.77	121.79	134.3	177.53	60.39	80.57	197.09	94.67	264.03	389.72	260.38	307.69	212.78	309.83
KIAA1217	1208.34	417.77	444.72	490.14	1233.75	131.51	860.08	1397.83	497.0	679.29	1467.37	2061.24	2224.63	1268.46	2004.85
KLHL14	10.79	4.86	0.0	2.51	1.66	1.28	2.81	7.22	0.71	1.07	17.51	9.34	23.25	19.53	4.17
KRCC1	1277.29	872.1	514.56	915.51	967.76	1023.0	1073.91	1199.98	551.56	967.76	1259.69	1175.27	1044.52	1369.04	1015.93
LAMC2	228.13	353.59	84.63	64.8	728.11	172.65	68.07	928.3	24.11	146.03	1757.34	1617.0	1697.45	1167.14	1508.65
MALL	320.8	147.06	50.63	211.31	397.93	43.94	50.98	384.34	42.41	170.25	521.76	285.03	376.41	909.17	221.86
MAMDC2	119.26	42.71	17.64	20.26	64.8	7.0	21.01	486.75	4.62	84.04	616.37	612.11	656.11	633.73	176.29
MBNL1	1127.35	353.59	229.72	379.04	1199.98	511.0	529.06	1487.87	620.67	518.15	2520.38	1685.71	2047.0	3124.78	1119.56
MCC	309.83	122.64	150.17	29.27	246.28	34.75	68.07	220.32	17.25	62.12	392.44	348.71	409.15	297.17	429.54
METTL10	511.0	346.29	435.55	358.54	271.48	353.59	323.03	525.39	208.38	536.45	651.58	587.13	536.45	713.11	392.44
MOB3B	65.72	20.56	7.11	13.12	43.32	9.93	13.72	212.78	6.06	23.25	262.2	251.48	275.28	232.94	189.02
MON2	518.15	217.27	320.8	339.14	723.08	353.59	438.59	518.15	325.29	395.18	713.11	723.08	836.53	775.05	954.43
MORC3	366.09	211.31	264.03	253.23	356.05	183.82	301.33	579.04	241.19	303.44	753.83	647.07	629.35	738.29	848.22
MPP6	64.8	18.16	3.5	10.08	44.25	19.82	37.32	74.58	4.43	37.32	126.12	101.54	163.28	139.07	10.47
MRC1	25.17	0.0	2.29	13.42	9.27	0.56	0.0	132.44	0.0	0.0	142.01	61.68	118.43	172.65	2.81
N4BP1	529.06	348.71	356.05	208.38	603.67	389.72	409.15	713.11	195.72	409.15	813.63	638.15	775.05	981.29	961.07
NALCN	17.38	8.38	5.82	2.12	38.4	1.2	10.63	32.82	2.53	4.58	43.63	65.72	49.21	38.67	48.87
NEK9	921.88	860.08	463.65	476.71	775.05	698.41	1044.52	1096.5	483.38	995.0	1208.34	1111.82	1225.22	1127.35	1769.57
NFYB	819.3	633.73	551.56	575.03	723.08	607.87	769.69	1081.39	555.41	884.29	1088.92	981.29	1119.56	1259.69	698.41
ODF3L1	12.27	12.36	2.2	1.97	4.78	0.54	1.91	34.26	1.48	2.78	46.5	33.06	40.07	84.63	24.11
PLSCR4	466.88	121.79	58.3	147.06	255.0	172.65	127.0	842.36	140.04	157.68	1388.16	1208.34	1191.69	1769.57	595.34
PODN	1340.84	420.68	83.45	246.28	633.73	57.89	251.48	796.86	86.43	559.28	1605.83	1268.46	1104.13	1437.15	253.23
PUM2	1277.29	854.13	1066.48	1167.14	1242.34	1295.13	1340.84	1378.57	825.0	1487.87	1721.16	1857.6	1697.45	1519.15	1331.57
RASA2	181.28	77.79	45.53	82.87	159.9	84.04	129.69	236.21	87.03	136.19	366.09	327.56	325.29	361.04	346.29
RBMS3	115.16	36.01	11.47	26.86	81.14	17.64	28.04	260.38	15.56	34.75	316.37	348.71	376.41	381.68	170.25
RDX	733.19	457.25	291.04	136.19	450.94	206.94	624.99	759.08	314.17	339.14	1199.98	791.35	974.5	1427.22	543.96
REP15	22.59	14.56	3.47	11.13	20.26	16.03	15.91	44.57	4.7	19.39	38.12	27.64	39.22	21.78	14.03
REV1	579.04	283.05	450.94	384.34	529.06	283.05	381.68	624.99	327.56	387.02	769.69	808.0	954.43	981.29	791.35
RFTN2	87.65	22.26	28.24	31.0	35.0	12.93	16.39	43.32	16.88	32.82	106.63	129.69	76.17	163.28	28.86
RNF122	208.38	86.43	76.71	55.49	96.68	108.14	49.21	195.72	40.64	126.12	186.4	205.5	148.09	435.55	314.17
RNF144B	389.72	115.97	85.82	133.36	251.48	154.42	133.36	379.04	87.65	229.72	642.59	616.37	563.18	480.04	379.04
RP11-3B7.1	11.73	3.56	2.18	1.31	4.1	0.67	1.81	11.82	2.34	1.75	24.11	17.38	15.56	21.94	4.39
RPP30	1023.0	540.19	684.02	555.41	555.41	551.56	511.0	1216.75	688.78	796.86	1001.93	769.69	842.36	1277.29	915.51
SCAF11	1175.27	603.67	753.83	656.11	1044.52	708.18	802.41	928.3	791.35	890.44	1378.57	1407.55	1427.22	1388.16	1407.55
SF3B1	5112.16	4095.0	3303.0	4481.23	5219.6	3540.14	4481.23	5872.48	3060.45	4298.64	6337.83	6207.38	6607.01	7230.1	5403.7
SFRP4	3443.31	1844.76	148.09	137.14	1709.26	42.71	780.44	3665.02	248.0	403.5	3665.02	1757.34	1781.89	8247.98	4450.27
SH3D19	743.43	241.19	176.29	318.57	493.56	255.0	379.04	896.64	101.54	466.88	1617.0	1447.15	1529.73	2018.8	961.07
SLC24A1	249.73	170.25	136.19	88.26	127.0	171.45	277.2	320.8	114.36	201.25	346.29	438.59	426.57	336.79	371.22
SNX18	379.04	110.43	94.01	107.38	249.73	158.79	165.57	454.09	208.38	198.47	607.87	400.71	454.09	543.96	473.41
SOD2	3491.39	1617.0	1844.76	1008.9	2163.77	1662.49	2209.26	6561.36	1225.22	1583.71	8598.28	4903.87	5006.93	9740.98	3124.78
STAM2	480.04	283.05	305.55	348.71	460.44	361.04	423.61	460.44	289.02	392.44	555.41	551.56	514.56	579.04	624.99
STK17A	642.59	131.51	145.02	201.25	450.94	161.02	204.07	748.61	135.24	329.84	723.08	447.82	981.29	1037.29	718.08
SVIL	521.76	218.79	129.69	255.0	409.15	173.85	182.55	708.18	92.7	587.13	1096.5	1037.29	1081.39	884.29	890.44
TAL1	52.82	19.97	11.13	18.97	12.36	7.88	11.47	36.27	9.7	14.24	100.83	47.5	75.64	148.09	38.95
TAOK3	463.65	332.14	144.01	242.88	507.46	332.14	346.29	547.75	275.28	432.53	669.92	728.11	616.37	473.41	825.0
TBC1D23	529.06	314.17	183.82	256.78	543.96	339.14	414.87	629.35	470.14	387.02	723.08	543.96	507.46	921.88	426.57
TCN2	400.71	563.18	88.88	146.03	417.77	111.21	215.77	514.56	100.13	115.97	624.99	599.49	583.07	796.86	197.09
TEC	43.94	8.19	6.21	11.91	16.15	18.97	12.36	53.57	30.56	17.64	47.84	68.55	53.57	42.71	80.57
THUMPD2	267.73	165.57	147.06	146.03	287.01	117.6	148.09	366.09	89.51	194.36	260.38	381.68	400.71	490.14	309.83
TMEM237	363.56	305.55	389.72	423.61	660.68	476.71	301.33	1199.98	122.64	536.45	961.07	1119.56	1286.18	1088.92	1233.75
TMSB15B	120.94	99.43	51.35	27.25	182.55	84.63	37.05	195.72	13.72	164.42	320.8	171.45	223.41	224.97	157.68
TXNRD3	190.34	138.1	65.72	74.58	172.65	165.57	253.23	199.85	135.24	169.07	231.32	229.72	255.0	214.27	287.01
UFSP2	780.44	693.58	703.28	503.95	587.13	368.65	713.11	1015.93	323.03	555.41	1119.56	759.08	947.83	1369.04	708.18
USP15	791.35	426.57	387.02	525.39	665.29	470.14	543.96	656.11	540.19	490.14	915.51	860.08	842.36	1127.35	902.89
WDPCP	121.79	92.05	58.3	66.18	108.9	56.68	80.57	100.13	55.1	78.89	193.01	140.04	194.36	260.38	277.2
WTIP	136.19	120.1	44.89	73.54	161.02	19.68	56.28	379.04	33.54	162.14	273.37	299.25	327.56	183.82	381.68
ZFP36L2	1832.01	1001.93	397.93	543.96	1417.35	536.45	563.18	4095.0	325.29	890.44	6792.79	7130.55	4836.35	5329.3	5219.6
ZNF750	104.42	78.34	33.54	52.08	64.8	26.86	78.89	141.02	16.63	25.35	126.12	172.65	156.59	82.29	237.86
ZNF93	151.22	115.16	108.14	79.45	167.9	41.22	117.6	153.34	85.22	158.79	241.19	178.77	162.14	163.28	183.82
