	GTEX.13NYS.1626.SM.5J2MU	GTEX.12WSI.0826.SM.5EGKD	GTEX.13D11.0326.SM.5LZXX	GTEX.145MH.0626.SM.5NQAK	GTEX.13O3O.0726.SM.5J1N7	GTEX.13OVJ.0726.SM.5KM1W	GTEX.144GN.0426.SM.5O9AP	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.X5EB.0426.SM.46MVY	GTEX.XBEC.1026.SM.4QASM	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.U8XE.1426.SM.3DB8Q	GTEX.X4XX.1026.SM.4QARO	GTEX.WWYW.0926.SM.3NB2Z	GTEX.XMD2.1026.SM.4WWE8	GTEX.13O61.0726.SM.5J2MD	GTEX.QDVJ.0926.SM.2I5FU	GTEX.X3Y1.0626.SM.3P5YS	GTEX.S33H.0626.SM.2XCBJ	GTEX.R55G.0826.SM.2TC5U	GTEX.12696.1026.SM.5FQUV	GTEX.U3ZN.0626.SM.3DB7U	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.13QJC.0526.SM.5RQKB	GTEX.1497J.0326.SM.5Q5CN	GTEX.P4QS.0526.SM.2I3ET	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.12ZZW.0926.SM.5LZUD	GTEX.XBEW.0226.SM.4AT6A	GTEX.QESD.0626.SM.2I5G4	GTEX.ZE7O.0826.SM.57WCP	GTEX.Q2AH.0426.SM.2I3EP	GTEX.13PL7.1726.SM.5J2NX	GTEX.11NUK.0826.SM.5HL4U	GTEX.146FQ.0926.SM.5LUAV	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.WH7G.0726.SM.3NMBM	GTEX.11TT1.1626.SM.5EQL7	GTEX.S341.0326.SM.2XCAU	GTEX.13FTX.0326.SM.5J2NG	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZYT6.0526.SM.5GIEA	GTEX.11ZTT.0626.SM.5EQLM	GTEX.13FH7.1726.SM.5IJE7	GTEX.ZYWO.0826.SM.5E45W	GTEX.UPK5.1126.SM.3GAEJ	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1399U.0826.SM.5KM1P	GTEX.QEG4.0526.SM.48TZD	GTEX.13FHO.1026.SM.5KM1Q	GTEX.WYVS.0526.SM.3NM9W	TCGA.43.5670.11A.01R.2125.07
DDX18	400.71	603.67	1096.5	703.28	723.08	1286.18	1088.92	693.58	934.76	521.76	332.14	473.41	665.29	1369.04	947.83	463.65	395.18	890.44	967.76	620.67	1030.12	866.07	866.07	1583.71	785.88	656.11	353.59	785.88	708.18	967.76	1037.29	575.03	775.05	1617.0	599.49	872.1	921.88	575.03	1127.35	921.88	665.29	723.08	1088.92	748.61	854.13	759.08	713.11	785.88	1111.82	1159.07	1216.75	961.07	753.83	551.56	595.34	1008.9	884.29
DERL1	967.76	1073.91	2451.44	693.58	1225.22	1331.57	2468.49	995.0	1427.22	551.56	629.35	620.67	1059.11	1662.49	1769.57	1208.34	775.05	1119.56	1991.0	1096.5	2224.63	1540.37	1191.69	1896.65	612.11	854.13	1059.11	1397.83	2018.8	1467.37	1674.06	928.3	603.67	2193.99	599.49	1498.22	1059.11	890.44	1378.57	884.29	1225.22	1572.76	1286.18	629.35	1233.75	896.64	1259.69	1457.23	1561.89	1844.76	2178.83	2287.2	995.0	825.0	1191.69	1709.26	1242.34
DNAJB11	1008.9	1963.57	4512.4	1487.87	2193.99	4419.52	3928.15	1923.14	1896.65	1378.57	1322.37	1447.15	1183.45	4328.55	3742.05	2271.4	1216.75	1721.16	2537.92	1832.01	3614.55	2664.15	2400.97	2591.27	1769.57	1427.22	1151.06	2193.99	3443.31	1896.65	2502.97	1369.04	1242.34	4123.49	1457.23	3589.58	1781.89	1467.37	2645.74	2032.85	2061.24	2075.59	3540.14	1639.59	1870.53	1417.35	2104.58	1662.49	4450.27	4450.27	4704.07	4937.99	1769.57	1001.93	1369.04	4543.8	1870.53
DPH2	131.51	217.27	403.5	255.0	307.69	571.05	334.46	295.11	264.03	260.38	218.79	173.85	249.73	480.04	444.72	246.28	90.77	361.04	381.68	339.14	450.94	264.03	325.29	371.22	234.57	279.14	115.16	497.0	325.29	366.09	327.56	138.1	343.89	941.27	271.48	417.77	316.37	135.24	518.15	253.23	193.01	204.07	406.31	356.05	429.54	208.38	237.86	175.07	463.65	587.13	316.37	563.18	255.0	145.02	214.27	371.22	327.56
EEF1E1	262.2	371.22	775.05	320.8	353.59	961.07	896.64	511.0	450.94	332.14	217.27	218.79	289.02	791.35	547.75	325.29	226.54	450.94	718.08	356.05	733.19	559.28	316.37	718.08	197.09	376.41	242.88	473.41	775.05	612.11	514.56	291.04	420.68	825.0	379.04	493.56	454.09	232.94	780.44	397.93	486.75	575.03	866.07	397.93	525.39	295.11	379.04	358.54	813.63	909.17	934.76	947.83	361.04	176.29	246.28	785.88	392.44
EIF2S1	954.43	988.12	2796.65	785.88	1417.35	2895.31	2303.12	1081.39	1757.34	733.19	688.78	642.59	1183.45	2591.27	1674.06	902.89	703.28	1685.71	2417.67	967.76	2271.4	2255.7	1143.1	2133.97	674.59	1135.2	764.36	2384.37	2855.44	1268.46	1674.06	995.0	928.3	2835.7	759.08	1628.26	1457.23	842.36	2119.22	1639.59	1397.83	1427.22	3443.31	1119.56	1388.16	1167.14	1175.27	1135.2	2997.45	3212.66	2739.08	3124.78	878.17	703.28	860.08	2835.7	1369.04
EIF4E	1015.93	954.43	1369.04	629.35	1304.15	1572.76	1268.46	728.11	1015.93	395.18	457.25	540.19	743.43	1883.54	1359.57	854.13	497.0	713.11	1167.14	660.68	1369.04	1175.27	941.27	1467.37	599.49	507.46	571.05	769.69	836.53	1008.9	890.44	620.67	547.75	1277.29	674.59	866.07	629.35	728.11	1457.23	1001.93	1135.2	909.17	1331.57	785.88	836.53	579.04	1030.12	909.17	1322.37	1508.65	1963.57	808.0	460.44	723.08	514.56	1225.22	961.07
EMG1	289.02	718.08	1340.84	723.08	624.99	1733.13	1151.06	1286.18	1286.18	587.13	343.89	591.22	1167.14	1806.78	1143.1	753.83	483.38	1111.82	1540.37	759.08	1322.37	1001.93	713.11	2018.8	607.87	1008.9	384.34	1685.71	1639.59	1250.98	1331.57	642.59	1096.5	2303.12	802.41	1135.2	753.83	599.49	1617.0	974.5	961.07	1059.11	2209.26	1794.29	1066.48	684.02	872.1	575.03	1844.76	1923.14	3018.3	2163.77	684.02	412.0	591.22	1662.49	802.41
ENTPD7	21.94	38.4	115.97	61.68	108.14	275.28	140.04	26.47	53.57	52.45	23.42	23.25	28.45	303.44	144.01	54.33	19.25	37.05	99.43	54.33	232.94	97.36	76.17	152.28	30.78	32.36	11.73	60.39	109.66	114.36	59.55	22.43	29.27	249.73	47.5	111.99	49.91	50.27	144.01	66.18	52.45	52.45	83.45	30.56	63.0	57.49	69.03	54.33	141.02	148.09	104.42	103.69	35.25	19.68	43.94	197.09	96.68
EXOSC2	149.12	287.01	536.45	312.0	318.57	743.43	463.65	361.04	353.59	346.29	197.09	191.67	423.61	493.56	397.93	215.77	228.13	457.25	483.38	629.35	454.09	371.22	480.04	423.61	283.05	423.61	124.37	466.88	497.0	470.14	466.88	201.25	438.59	934.76	327.56	438.59	299.25	358.54	660.68	441.64	258.57	307.69	521.76	392.44	409.15	361.04	334.46	361.04	591.22	708.18	603.67	616.37	351.14	214.27	279.14	486.75	334.46
FAM98A	547.75	226.54	656.11	400.71	381.68	802.41	854.13	409.15	713.11	412.0	312.0	305.55	466.88	559.28	723.08	309.83	212.78	624.99	679.29	599.49	1066.48	961.07	379.04	1015.93	351.14	332.14	239.52	426.57	536.45	483.38	559.28	251.48	414.87	884.29	389.72	733.19	309.83	211.31	769.69	540.19	351.14	563.18	571.05	336.79	583.07	366.09	540.19	412.0	723.08	796.86	1191.69	902.89	297.17	297.17	318.57	878.17	563.18
FARSB	147.06	381.68	759.08	409.15	400.71	1183.45	688.78	432.53	376.41	255.0	231.32	432.53	343.89	785.88	511.0	343.89	406.31	493.56	738.29	316.37	854.13	642.59	454.09	981.29	283.05	323.03	265.87	620.67	723.08	373.81	473.41	334.46	379.04	961.07	403.5	518.15	309.83	409.15	796.86	551.56	591.22	387.02	733.19	559.28	363.56	397.93	381.68	314.17	981.29	860.08	1001.93	921.88	323.03	307.69	356.05	909.17	514.56
FICD	45.21	63.45	275.28	70.01	39.22	251.48	246.28	112.77	151.22	128.79	49.91	39.5	94.67	193.01	206.94	47.17	28.86	159.9	205.5	108.14	283.05	158.79	159.9	218.79	58.71	100.13	49.91	132.44	164.42	158.79	199.85	44.25	80.57	351.14	81.14	260.38	87.65	67.12	182.55	123.5	82.29	164.42	187.71	90.14	123.5	83.45	102.25	98.73	197.09	281.09	154.42	346.29	120.1	60.82	62.56	180.02	109.66
GFM1	105.15	567.1	642.59	291.04	470.14	587.13	620.67	361.04	412.0	325.29	336.79	273.37	301.33	748.61	511.0	329.84	423.61	466.88	693.58	318.57	813.63	529.06	444.72	854.13	358.54	353.59	279.14	629.35	607.87	656.11	587.13	285.03	426.57	1008.9	314.17	493.56	384.34	403.5	595.34	493.56	493.56	511.0	525.39	551.56	450.94	392.44	392.44	409.15	669.92	647.07	1175.27	651.58	389.72	221.86	358.54	532.74	500.46
GPATCH4	173.85	297.17	860.08	346.29	536.45	1127.35	698.41	444.72	480.04	329.84	198.47	218.79	283.05	1151.06	748.61	343.89	260.38	529.06	802.41	397.93	825.0	536.45	555.41	830.75	251.48	368.65	218.79	463.65	764.36	624.99	579.04	346.29	426.57	1721.16	392.44	563.18	503.95	264.03	830.75	503.95	406.31	376.41	981.29	412.0	567.1	332.14	366.09	329.84	1051.79	1081.39	808.0	941.27	403.5	173.85	287.01	698.41	547.75
HCCS	368.65	629.35	764.36	299.25	497.0	733.19	830.75	447.82	571.05	264.03	202.66	211.31	379.04	620.67	551.56	441.64	258.57	460.44	583.07	262.2	567.1	642.59	426.57	748.61	220.32	490.14	269.6	476.71	612.11	595.34	423.61	267.73	234.57	802.41	281.09	314.17	332.14	371.22	599.49	480.04	567.1	543.96	733.19	356.05	457.25	341.51	476.71	555.41	915.51	733.19	825.0	529.06	392.44	209.84	281.09	733.19	432.53
HDAC2	1175.27	1096.5	2303.12	848.22	1369.04	2434.5	2163.77	941.27	1378.57	733.19	620.67	769.69	947.83	1819.35	1498.22	775.05	575.03	1096.5	1883.54	791.35	1572.76	1685.71	1096.5	2720.15	974.5	1023.0	620.67	1457.23	1883.54	1561.89	1674.06	947.83	1037.29	2485.67	909.17	1199.98	688.78	909.17	2075.59	1277.29	1639.59	1135.2	1605.83	981.29	988.12	860.08	1359.57	1359.57	2645.74	2796.65	2739.08	1757.34	728.11	848.22	753.83	2271.4	1081.39
HEATR1	70.51	90.14	173.85	106.63	136.19	269.6	166.73	73.03	140.04	96.01	68.55	76.17	74.58	197.09	197.09	95.34	101.54	120.1	193.01	159.9	264.03	156.59	158.79	293.07	83.45	115.16	75.64	194.36	281.09	185.11	127.89	92.05	105.15	403.5	100.13	170.25	90.14	101.54	289.02	137.14	125.24	98.04	191.67	111.21	136.19	107.38	100.83	109.66	249.73	255.0	269.6	244.57	98.04	62.12	119.26	260.38	157.68
HNRNPF	4671.57	3491.39	5913.33	2664.15	5791.62	3768.09	6079.61	4358.66	4181.07	2591.27	2645.74	1651.0	2796.65	6337.83	5479.15	2895.31	1963.57	4038.61	4972.34	2855.44	5255.91	5219.6	3124.78	5292.48	2451.44	2682.69	1936.53	3540.14	4388.98	4607.24	3690.52	2555.58	2976.74	10225.32	1832.01	3589.58	4152.18	1806.78	6037.61	3257.52	4419.52	3794.3	5441.3	3060.45	4450.27	2609.3	2591.27	3614.55	5041.77	6037.61	5555.65	5913.33	2895.31	1950.0	1819.35	5555.65	3491.39
HSPA13	119.26	214.27	688.78	165.57	529.06	616.37	457.25	265.87	273.37	151.22	130.6	277.2	131.51	1001.93	591.22	182.55	197.09	309.83	463.65	285.03	928.3	587.13	336.79	988.12	273.37	137.14	170.25	616.37	312.0	303.44	371.22	205.5	131.51	1143.1	153.34	384.34	249.73	159.9	283.05	275.28	476.71	269.6	587.13	199.85	231.32	293.07	199.85	229.72	511.0	511.0	371.22	497.0	152.28	191.67	147.06	454.09	291.04
HYOU1	595.34	642.59	2720.15	633.73	743.43	1757.34	2537.92	616.37	1111.82	718.08	688.78	529.06	470.14	3349.13	2591.27	1127.35	607.87	1111.82	1963.57	848.22	2502.97	1857.6	860.08	1617.0	785.88	567.1	728.11	1119.56	2240.11	872.1	1651.0	708.18	723.08	2935.74	441.64	3124.78	860.08	514.56	1350.18	1183.45	1225.22	791.35	2777.33	753.83	1073.91	785.88	583.07	785.88	2502.97	2537.92	1991.0	4419.52	571.05	536.45	555.41	2193.99	1167.14
ISG20L2	363.56	406.31	764.36	432.53	460.44	743.43	647.07	441.64	536.45	389.72	293.07	177.53	426.57	708.18	599.49	293.07	228.13	490.14	638.15	559.28	759.08	525.39	563.18	669.92	346.29	403.5	211.31	412.0	728.11	511.0	591.22	368.65	395.18	1250.98	341.51	633.73	441.64	251.48	624.99	536.45	262.2	457.25	599.49	400.71	563.18	381.68	460.44	381.68	718.08	718.08	769.69	651.58	403.5	285.03	237.86	688.78	460.44
IWS1	320.8	575.03	769.69	503.95	567.1	866.07	902.89	620.67	860.08	346.29	368.65	361.04	395.18	595.34	753.83	420.68	291.04	738.29	679.29	432.53	728.11	728.11	555.41	1191.69	753.83	612.11	435.55	796.86	540.19	785.88	599.49	387.02	441.64	947.83	463.65	624.99	651.58	567.1	941.27	738.29	651.58	511.0	890.44	525.39	723.08	540.19	723.08	429.54	748.61	988.12	1127.35	629.35	483.38	426.57	412.0	941.27	703.28
LTV1	205.5	420.68	759.08	339.14	414.87	1051.79	638.15	540.19	607.87	358.54	246.28	237.86	397.93	759.08	642.59	334.46	224.97	587.13	660.68	444.72	693.58	559.28	493.56	884.29	301.33	559.28	279.14	529.06	723.08	718.08	738.29	329.84	595.34	1001.93	309.83	607.87	559.28	435.55	769.69	521.76	536.45	503.95	884.29	555.41	616.37	325.29	480.04	417.77	1030.12	928.3	733.19	836.53	497.0	255.0	249.73	620.67	579.04
MANF	1359.57	1685.71	5041.77	1397.83	1397.83	3515.68	5006.93	1757.34	2032.85	1081.39	1378.57	1583.71	1096.5	3901.01	4802.93	2682.69	1225.22	1844.76	2956.17	1540.37	4769.75	2935.74	1806.78	2209.26	2018.8	860.08	1015.93	2502.97	3467.27	1572.76	1977.24	1331.57	995.0	2451.44	921.88	3443.31	1088.92	1081.39	2739.08	1617.0	1832.01	1757.34	3742.05	1397.83	1806.78	1628.26	1397.83	1477.58	4239.45	5791.62	3690.52	5872.48	825.0	1111.82	1295.13	5006.93	1844.76
MARS2	34.26	29.06	138.1	39.22	48.87	81.14	111.21	90.77	78.34	56.28	25.91	23.76	58.3	59.13	87.65	44.89	21.63	76.71	140.04	73.03	92.7	121.79	49.91	121.79	38.67	57.89	25.91	71.5	132.44	94.67	82.29	28.86	59.55	180.02	37.05	92.7	59.55	32.36	126.12	61.68	42.71	68.55	130.6	71.5	108.9	35.25	49.56	43.02	105.89	133.36	98.73	177.53	59.13	42.41	27.84	98.04	79.45
MGAT2	237.86	353.59	819.3	339.14	297.17	974.5	866.07	356.05	559.28	400.71	226.54	197.09	312.0	688.78	854.13	320.8	190.34	460.44	753.83	525.39	974.5	575.03	616.37	819.3	212.78	384.34	136.19	473.41	612.11	514.56	457.25	194.36	371.22	1104.13	277.2	669.92	490.14	194.36	669.92	423.61	409.15	559.28	583.07	470.14	567.1	229.72	392.44	438.59	684.02	679.29	616.37	825.0	358.54	167.9	283.05	848.22	406.31
MPZL1	1561.89	1208.34	2104.58	1397.83	1806.78	2075.59	2777.33	1233.75	1322.37	1073.91	860.08	1104.13	780.44	3564.78	2701.35	1331.57	775.05	1167.14	2915.45	1295.13	3955.48	2255.7	2434.5	1794.29	1044.52	1096.5	1044.52	1191.69	1991.0	1583.71	1111.82	1216.75	1322.37	1806.78	988.12	1857.6	961.07	1159.07	1628.26	1350.18	1447.15	1605.83	1896.65	1551.09	1143.1	961.07	1183.45	1457.23	2255.7	2303.12	2133.97	2240.11	764.36	1001.93	1008.9	1991.0	1427.22
MRPL3	723.08	679.29	2018.8	791.35	947.83	2319.15	1896.65	1111.82	921.88	769.69	511.0	536.45	813.63	1781.89	1359.57	759.08	669.92	1073.91	2178.83	808.0	1806.78	1594.73	1051.79	2178.83	476.71	860.08	473.41	1331.57	1709.26	1143.1	1250.98	759.08	830.75	2061.24	830.75	1350.18	896.64	575.03	1745.2	1208.34	1104.13	1277.29	2075.59	928.3	974.5	684.02	1051.79	981.29	2485.67	2255.7	1936.53	2104.58	796.86	403.5	718.08	1857.6	1066.48
MTF1	126.12	84.04	194.36	121.79	189.02	165.57	209.84	103.69	169.07	113.56	90.77	54.72	114.36	163.28	131.51	140.04	104.42	120.1	194.36	154.42	185.11	158.79	142.01	186.4	66.65	139.07	88.88	176.29	154.42	177.53	262.2	72.01	159.9	395.18	120.94	178.77	148.09	76.71	180.02	126.12	110.43	101.54	171.45	154.42	170.25	98.04	143.01	148.09	228.13	236.21	139.07	234.57	146.03	53.57	109.66	129.69	177.53
NAT10	187.71	381.68	642.59	435.55	371.22	1143.1	591.22	454.09	480.04	368.65	206.94	318.57	414.87	808.0	620.67	249.73	329.84	490.14	738.29	547.75	684.02	476.71	642.59	708.18	283.05	536.45	265.87	599.49	624.99	503.95	629.35	285.03	486.75	1313.23	400.71	688.78	480.04	373.81	872.1	529.06	457.25	334.46	723.08	480.04	486.75	460.44	483.38	348.71	819.3	941.27	555.41	967.76	432.53	283.05	339.14	679.29	490.14
NDUFAF4	248.0	447.82	547.75	323.03	540.19	1073.91	490.14	802.41	483.38	189.02	295.11	368.65	460.44	638.15	928.3	348.71	239.52	603.67	620.67	279.14	1167.14	791.35	314.17	813.63	283.05	323.03	153.34	647.07	995.0	638.15	521.76	186.4	420.68	1111.82	412.0	384.34	341.51	162.14	684.02	571.05	450.94	612.11	651.58	656.11	392.44	371.22	540.19	153.34	603.67	791.35	1662.49	733.19	339.14	295.11	339.14	813.63	483.38
NIPA2	525.39	642.59	1096.5	441.64	1088.92	1135.2	1216.75	713.11	743.43	414.87	497.0	476.71	607.87	1135.2	947.83	703.28	389.72	633.73	1023.0	567.1	1081.39	1037.29	607.87	346.29	323.03	493.56	166.73	612.11	967.76	819.3	713.11	356.05	403.5	1467.37	521.76	813.63	708.18	409.15	1477.58	551.56	878.17	836.53	909.17	616.37	769.69	384.34	559.28	555.41	941.27	2627.46	1233.75	1015.93	497.0	373.81	389.72	1167.14	733.19
NLN	50.27	49.56	283.05	61.68	75.64	173.85	236.21	90.14	111.21	52.82	40.93	57.89	55.89	189.02	146.03	60.82	52.45	124.37	215.77	63.0	231.32	223.41	137.14	332.14	54.33	90.77	74.58	212.78	303.44	154.42	147.06	81.14	64.34	231.32	66.18	112.77	87.65	89.51	223.41	157.68	97.36	137.14	316.37	90.77	81.71	64.8	78.34	104.42	249.73	262.2	215.77	226.54	76.17	76.71	46.5	241.19	102.25
NSUN4	258.57	231.32	295.11	209.84	312.0	381.68	441.64	271.48	327.56	297.17	232.94	239.52	269.6	409.15	336.79	218.79	212.78	480.04	511.0	241.19	351.14	420.68	381.68	426.57	279.14	332.14	214.27	314.17	314.17	348.71	325.29	180.02	303.44	708.18	320.8	521.76	285.03	221.86	414.87	320.8	164.42	291.04	511.0	237.86	384.34	293.07	256.78	279.14	351.14	343.89	476.71	420.68	332.14	173.85	215.77	463.65	325.29
