	TCGA.GC.A3RB.01A.12R.A220.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.KN.8425.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KO.8415.11A.01R.2315.07	TCGA.KN.8431.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	TCGA.KN.8424.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.13OVL.1826.SM.5KLZR	TCGA.A3.3387.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.A4.A4ZT.11A.11R.A26U.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
GPR108	780.44	1111.82	713.11	2224.63	2591.27	2400.97	2209.26	2148.82	2573.36	2287.2	2835.7	2193.99	2047.0	1806.78	1467.37	1437.15	1467.37	1605.83	2163.77	1781.89	1487.87	2148.82	2240.11	1991.0	1963.57	2104.58	2075.59	2061.24	1721.16	2255.7	1991.0	2240.11	1923.14	0.0	0.62
GPR113	1.73	0.91	2.05	332.14	76.71	4.54	131.51	193.01	32.59	163.28	139.07	376.41	28.65	29.06	18.43	35.25	26.86	44.57	52.82	24.99	3.99	191.67	59.55	17.25	30.78	55.89	30.78	20.26	41.22	41.22	14.35	33.54	28.65	0.0	0.17
GPX3	189.02	297.17	3874.05	10225.32	239554.43	783730.52	40904.3	29327.18	394590.4	20170.07	11189.6	17317.18	736332.6	450134.56	641014.63	417089.23	517068.97	482442.34	561916.97	472513.8	186652.11	10084.54	389157.95	453265.5	772940.66	422911.59	711250.37	668235.84	767601.56	524287.0	466008.55	577714.63	696613.03	0.0	1.17
IL5RA	0.0	0.0	0.0	64.34	7.57	3.86	23.59	23.76	2.58	26.1	27.25	24.99	3.56	4.98	6.94	3.99	2.05	3.76	17.13	6.62	2.39	27.84	1.04	6.57	5.92	6.78	2.16	2.32	4.1	2.51	29.27	2.76	5.11	0.0	0.0
IMMP2L	218.79	95.34	48.52	1350.18	1388.16	1457.23	1467.37	1268.46	1286.18	1561.89	1844.76	1662.49	743.43	988.12	713.11	878.17	928.3	764.36	1073.91	796.86	708.18	915.51	974.5	607.87	995.0	1066.48	753.83	785.88	743.43	769.69	679.29	775.05	708.18	0.0	0.3
IRX1	0.0	57.89	40.64	866.07	532.74	167.9	429.54	842.36	237.86	769.69	1159.07	1159.07	73.03	126.12	148.09	198.47	90.77	97.36	273.37	232.94	0.0	967.76	248.0	142.01	69.03	432.53	121.79	71.5	141.02	212.78	198.47	159.9	176.29	0.0	0.13
IRX2	1.46	148.09	111.21	860.08	435.55	170.25	466.88	723.08	187.71	718.08	1304.15	1617.0	95.34	220.32	287.01	295.11	115.16	149.12	295.11	332.14	0.0	872.1	381.68	206.94	133.36	503.95	220.32	161.02	258.57	273.37	260.38	202.66	258.57	0.0	0.28
ISCA2	536.45	343.89	629.35	1378.57	1151.06	1417.35	1233.75	1407.55	1519.15	1175.27	1388.16	1259.69	1151.06	902.89	934.76	1175.27	1183.45	848.22	1583.71	866.07	902.89	1183.45	909.17	842.36	1023.0	961.07	896.64	974.5	872.1	878.17	723.08	921.88	915.51	0.0	0.4
KCNJ9	0.28	0.0	0.0	8.65	3.66	1.75	5.96	7.75	1.62	4.74	5.5	6.16	1.99	1.81	2.86	1.08	0.83	1.51	1.95	2.34	0.0	7.22	2.46	1.1	1.48	7.57	1.08	0.39	2.25	2.53	1.1	1.19	0.78	0.0	0.0
KLHDC1	7.22	2.43	6.84	80.01	64.34	66.65	74.06	96.01	49.56	98.73	142.01	146.03	36.01	53.57	39.5	50.98	49.91	57.89	67.59	73.03	12.27	92.05	53.19	50.63	44.25	55.49	32.36	42.41	54.33	49.56	33.54	41.81	48.18	0.0	0.3
LCN6	0.0	0.77	0.0	27.25	7.51	6.52	8.45	8.32	10.39	48.52	37.05	12.93	2.89	2.36	10.96	6.01	0.0	1.58	13.72	3.63	0.0	15.91	0.39	10.24	0.0	7.82	1.14	1.23	1.19	1.14	0.0	1.25	0.83	0.0	0.34
LYRM9	78.34	47.84	16.63	2976.74	854.13	1487.87	1733.13	2090.03	1378.57	1757.34	2895.31	2758.13	759.08	808.0	607.87	679.29	679.29	575.03	1487.87	595.34	432.53	1977.24	769.69	753.83	547.75	902.89	713.11	718.08	616.37	733.19	412.0	1051.79	860.08	0.0	0.16
MED7	111.21	166.73	195.72	543.96	361.04	432.53	417.77	486.75	395.18	612.11	490.14	591.22	336.79	343.89	271.48	305.55	371.22	293.07	438.59	336.79	155.5	447.82	339.14	228.13	264.03	275.28	199.85	237.86	305.55	312.0	204.07	271.48	262.2	0.0	0.27
MRPS6	1685.71	1159.07	860.08	15715.58	6079.61	5329.3	10585.95	21172.91	4972.34	17804.06	21320.18	18052.61	2451.44	3443.31	2032.85	2682.69	3124.78	2627.46	6745.86	2591.27	1225.22	11992.79	4607.24	1685.71	2255.7	3901.01	2400.97	2209.26	2400.97	2468.49	1819.35	2193.99	2351.53	0.0	0.57
MTHFD2L	144.01	63.89	124.37	500.46	253.23	363.56	423.61	426.57	327.56	423.61	547.75	785.88	267.73	237.86	229.72	194.36	295.11	223.41	376.41	182.55	84.63	457.25	206.94	150.17	204.07	194.36	185.11	159.9	186.4	175.07	149.12	163.28	155.5	0.0	0.4
NAALAD2	3.76	2.32	5.11	16.75	45.53	13.32	45.21	54.72	21.78	68.07	49.91	89.51	31.67	18.03	18.43	15.56	17.25	31.22	29.91	32.59	2.07	33.78	12.83	41.81	19.97	37.85	14.03	6.01	21.47	20.86	23.25	21.01	13.22	0.0	0.23
NDUFA5	423.61	540.19	642.59	4802.93	3589.58	4239.45	4639.29	4607.24	3794.3	5219.6	5441.3	6250.56	3124.78	3103.19	2796.65	3491.39	3874.05	3419.52	3768.09	2875.3	1991.0	4123.49	2835.7	2240.11	3081.75	2739.08	2502.97	2796.65	2855.44	2400.97	2004.85	2400.97	2664.15	0.0	0.56
NGFRAP1	3742.05	2976.74	4210.15	10883.59	8778.97	7230.1	9673.69	10084.54	7081.29	11504.21	23009.42	14765.09	5147.73	6699.25	5555.65	5791.62	5791.62	4095.0	6164.49	6381.92	3124.78	10014.87	6840.04	4802.93	5183.54	5954.47	5183.54	5329.3	4481.23	5366.37	4388.98	5672.41	5954.47	0.0	1.0
NMUR2	0.0	0.0	0.0	18.56	13.62	1.01	24.63	8.0	6.11	51.71	38.4	16.63	1.95	0.0	1.19	0.0	0.0	0.0	3.86	0.0	0.0	23.76	0.32	0.71	0.0	6.41	0.0	0.0	1.08	0.33	0.0	0.36	0.75	0.0	0.03
NR5A2	4.31	3.66	5.02	19.39	10.96	5.28	17.64	25.91	7.46	71.0	119.26	35.76	9.56	10.88	8.58	3.66	4.98	5.32	12.45	8.99	3.26	26.47	4.94	12.09	4.82	15.11	3.66	3.53	7.88	3.63	9.56	7.11	4.35	0.0	0.01
OSBPL9	848.22	486.75	483.38	3235.01	2193.99	1628.26	2367.9	2520.38	1639.59	2758.13	3372.43	3639.7	1447.15	1806.78	1551.09	1936.53	1628.26	2018.8	2004.85	1794.29	988.12	2468.49	1721.16	1561.89	1605.83	1936.53	1529.73	1529.73	1721.16	1417.35	1286.18	1529.73	1745.2	0.0	0.41
PDE1A	3.47	3.72	5.5	3820.7	1806.78	1709.26	2400.97	2682.69	1733.13	2835.7	21320.18	15607.02	679.29	1322.37	1081.39	1037.29	902.89	967.76	2485.67	825.0	16.27	2303.12	1081.39	497.0	603.67	1437.15	669.92	559.28	802.41	890.44	921.88	497.0	651.58	0.0	0.34
PIN1	1233.75	1081.39	1008.9	2468.49	2119.22	2417.67	2133.97	2609.3	2627.46	2335.28	2133.97	1662.49	1651.0	988.12	1277.29	1331.57	1662.49	669.92	1769.57	1159.07	1605.83	2434.5	1936.53	1561.89	1427.22	1674.06	1697.45	1304.15	1233.75	1628.26	1369.04	1832.01	1340.84	0.0	0.75
POMC	1.77	5.54	4.13	118.43	65.26	53.57	64.8	122.64	56.68	231.32	206.94	27.05	38.4	22.92	5.54	32.13	8.99	5.11	39.22	18.84	6.26	76.71	22.43	27.25	20.26	55.89	23.25	10.08	11.64	30.34	10.24	8.99	23.42	0.0	0.46
PTGR2	79.45	82.87	102.97	780.44	571.05	356.05	525.39	860.08	332.14	981.29	1051.79	954.43	397.93	334.46	343.89	435.55	299.25	518.15	409.15	332.14	277.2	802.41	379.04	301.33	376.41	395.18	403.5	426.57	417.77	366.09	180.02	343.89	363.56	0.0	0.28
RANBP3L	0.59	0.0	0.0	1674.06	490.14	314.17	1143.1	2104.58	334.46	1745.2	1857.6	4512.4	161.02	307.69	237.86	229.72	199.85	291.04	733.19	255.0	2.76	1225.22	283.05	87.65	161.02	361.04	159.9	127.0	173.85	161.02	151.22	85.22	142.01	0.0	0.04
RBP7	221.86	70.51	25.54	1923.14	1233.75	616.37	1977.24	2133.97	1127.35	6079.61	11745.96	6471.02	376.41	723.08	429.54	309.83	529.06	239.52	748.61	409.15	96.68	2255.7	426.57	334.46	373.81	1044.52	269.6	281.09	343.89	389.72	271.48	389.72	314.17	0.0	0.33
RGCC	295.11	470.14	237.86	2520.38	848.22	1008.9	1685.71	3280.18	1551.09	4210.15	7382.04	6887.62	743.43	713.11	575.03	1008.9	947.83	473.41	1369.04	665.29	197.09	1151.06	579.04	665.29	567.1	466.88	473.41	819.3	764.36	825.0	603.67	607.87	638.15	0.0	0.46
RNF150	3.76	3.47	1.75	295.11	246.28	84.04	229.72	264.03	99.43	198.47	708.18	1304.15	116.78	277.2	122.64	215.77	133.36	241.19	189.02	273.37	7.69	343.89	244.57	141.02	140.04	291.04	157.68	133.36	171.45	163.28	190.34	183.82	182.55	0.0	0.26
RNF212	11.38	10.47	32.59	1936.53	441.64	373.81	842.36	1191.69	361.04	902.89	4836.35	11827.67	183.82	183.82	96.68	141.02	171.45	153.34	329.84	148.09	27.44	1757.34	246.28	156.59	142.01	256.78	191.67	71.0	171.45	307.69	109.66	128.79	94.67	0.0	0.59
RP11-176H8.1	16.27	28.45	14.67	49.56	43.63	90.14	43.94	63.45	112.77	88.26	131.51	84.04	56.68	42.71	50.27	44.25	47.5	35.5	92.05	43.63	9.41	70.01	40.93	32.82	19.82	50.63	50.63	20.86	42.41	30.56	41.22	38.4	58.71	0.0	0.06
RP11-650K20.3	0.0	0.0	1.51	50.63	28.04	23.08	31.0	42.11	16.39	26.86	65.72	69.03	9.85	8.58	19.97	25.35	13.12	24.99	29.27	20.26	29.27	24.63	19.53	9.48	19.97	18.56	12.64	14.35	17.25	6.46	8.06	16.88	18.03	0.0	0.0
RXRB	361.04	400.71	466.88	791.35	733.19	665.29	785.88	743.43	624.99	718.08	616.37	616.37	595.34	624.99	647.07	638.15	607.87	540.19	703.28	665.29	389.72	785.88	684.02	679.29	555.41	633.73	559.28	540.19	629.35	748.61	595.34	647.07	599.49	0.0	0.71
SCHIP1	12.36	13.52	8.45	314.17	173.85	144.01	371.22	312.0	123.5	435.55	540.19	426.57	62.56	115.16	63.45	121.79	81.14	98.04	185.11	102.97	15.56	170.25	146.03	80.01	90.14	129.69	77.25	30.12	100.13	97.36	38.67	88.88	48.87	0.0	0.21
SOX17	4.35	5.36	7.17	161.02	66.65	29.27	144.01	214.27	55.89	376.41	493.56	403.5	23.93	43.32	27.84	27.84	13.93	31.9	53.95	82.87	9.48	217.27	36.01	95.34	26.47	77.25	38.4	12.36	26.86	29.27	23.59	74.06	39.5	0.0	0.19
STPG2	1.14	0.91	0.0	19.39	13.32	8.45	8.25	12.83	7.17	17.13	26.28	29.06	6.41	9.13	8.19	6.21	7.06	8.0	11.38	10.16	0.82	17.77	4.58	4.43	4.46	7.22	4.74	3.92	10.16	7.22	2.97	2.39	5.54	0.0	0.06
THSD7B	1.14	1.07	0.34	43.94	47.5	30.78	46.84	27.25	25.17	50.98	36.79	176.29	18.29	37.85	10.24	27.44	14.03	15.56	22.26	31.45	0.4	50.27	32.59	21.63	10.71	28.24	5.11	19.11	19.53	21.16	12.09	16.51	12.55	0.0	0.0
TM2D1	928.3	629.35	460.44	1561.89	995.0	1322.37	1594.73	1617.0	1331.57	1561.89	1605.83	1685.71	967.76	928.3	988.12	1008.9	1159.07	1088.92	1561.89	995.0	909.17	1350.18	1030.12	947.83	921.88	890.44	708.18	854.13	928.3	967.76	842.36	796.86	860.08	0.0	0.67
TSSC1	497.0	518.15	629.35	967.76	753.83	819.3	819.3	836.53	759.08	866.07	728.11	718.08	674.59	503.95	629.35	563.18	651.58	500.46	629.35	551.56	647.07	860.08	656.11	651.58	633.73	624.99	595.34	616.37	536.45	660.68	656.11	651.58	620.67	0.0	0.22
UBTD1	211.31	381.68	389.72	1674.06	575.03	409.15	890.44	1583.71	571.05	1359.57	2004.85	1242.34	314.17	269.6	312.0	285.03	307.69	211.31	466.88	251.48	320.8	1216.75	543.96	417.77	314.17	543.96	409.15	255.0	314.17	389.72	529.06	429.54	332.14	0.0	0.49
XPA	224.97	153.34	194.36	921.88	435.55	341.51	514.56	738.29	366.09	616.37	1088.92	842.36	293.07	384.34	327.56	376.41	325.29	400.71	417.77	454.09	127.0	660.68	423.61	343.89	293.07	503.95	303.44	348.71	381.68	334.46	265.87	356.05	341.51	0.0	0.44
ZNF415	12.27	3.29	3.56	287.01	162.14	150.17	251.48	212.78	182.55	212.78	348.71	633.73	87.03	167.9	122.64	138.1	106.63	125.24	162.14	155.5	83.45	208.38	129.69	111.99	105.89	131.51	87.65	87.65	111.99	162.14	105.89	110.43	112.77	0.0	0.45
ZNF44	97.36	56.68	49.56	1066.48	642.59	420.68	764.36	848.22	486.75	988.12	1498.22	1508.65	264.03	429.54	406.31	470.14	403.5	503.95	563.18	521.76	88.26	1208.34	551.56	307.69	299.25	507.46	334.46	297.17	384.34	466.88	320.8	332.14	366.09	0.0	0.53
