	TCGA.AZ.6605.11A.01R.1839.07	GTEX.1399R.2226.SM.5P9JB	GTEX.Y8LW.1226.SM.4WWDP	GTEX.14E6E.1526.SM.5RQIG	GTEX.ZPIC.2626.SM.57WE2	GTEX.W5WG.2426.SM.4LMI6	GTEX.13PL7.2426.SM.5J2N3	GTEX.ZPCL.1626.SM.57WGC	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.144GM.1626.SM.5O9AG	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.YL.A8HM.01A.11R.A36G.07	TCGA.BR.A4IV.01A.31R.A251.31	TCGA.BR.A453.01A.11R.A24K.31	TCGA.BR.A4J9.01A.12R.A251.31	GTEX.P4PQ.1526.SM.3NMCK	GTEX.U8T8.1226.SM.4E3IH	GTEX.Y114.1226.SM.4TT88	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.S4P3.0726.SM.4AD57	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UPIC.1826.SM.4IHKC	GTEX.OIZH.1526.SM.3NB1J	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG
DENND4A	171.45	96.01	148.09	108.9	173.85	137.14	93.35	125.24	218.79	595.34	133.36	156.59	133.36	389.72	193.01	403.5	215.77	409.15	316.37	186.4	172.65	169.07	139.07	291.04	229.72	215.77	177.53
DGKI	16.75	0.0	2.58	5.73	3.76	0.42	3.41	6.36	24.11	34.51	1.97	0.75	3.5	95.34	20.71	165.57	10.24	29.7	17.77	5.96	20.86	15.0	22.75	7.06	13.12	13.03	10.08
DIMT1	525.39	175.07	460.44	132.44	420.68	226.54	253.23	371.22	647.07	713.11	273.37	327.56	183.82	651.58	679.29	603.67	571.05	656.11	638.15	595.34	486.75	679.29	595.34	466.88	575.03	579.04	599.49
DPYSL2	1487.87	232.94	624.99	159.9	693.58	232.94	551.56	769.69	1674.06	1628.26	57.08	48.18	134.3	1529.73	1628.26	1651.0	884.29	780.44	1359.57	543.96	1096.5	967.76	988.12	688.78	1096.5	1081.39	819.3
ECSCR	1233.75	231.32	325.29	164.42	262.2	201.25	239.52	403.5	1331.57	1844.76	79.45	381.68	289.02	1498.22	1697.45	1340.84	1340.84	1896.65	728.11	718.08	1572.76	1135.2	1487.87	1286.18	896.64	1037.29	1030.12
ELK3	629.35	67.12	264.03	58.71	273.37	107.38	87.03	256.78	536.45	612.11	53.95	57.49	148.09	813.63	713.11	708.18	457.25	718.08	848.22	226.54	909.17	698.41	551.56	351.14	525.39	486.75	426.57
EMCN	295.11	56.28	63.45	29.7	55.1	48.18	76.71	73.54	341.51	647.07	20.41	109.66	70.51	532.74	466.88	348.71	97.36	791.35	104.42	180.02	426.57	237.86	356.05	265.87	185.11	376.41	150.17
EOGT	647.07	51.35	231.32	64.8	351.14	102.25	318.57	191.67	1733.13	1781.89	94.01	54.33	100.13	1594.73	854.13	1417.35	500.46	902.89	1250.98	376.41	703.28	525.39	872.1	353.59	435.55	830.75	532.74
ERG	199.85	23.76	48.52	20.11	37.59	31.0	50.27	35.76	194.36	454.09	7.88	36.27	54.72	271.48	229.72	239.52	146.03	753.83	198.47	113.56	163.28	111.21	189.02	141.02	127.89	237.86	163.28
ESAM	693.58	269.6	175.07	144.01	175.07	205.5	217.27	183.82	759.08	1277.29	136.19	368.65	198.47	1250.98	1175.27	890.44	285.03	1350.18	226.54	358.54	587.13	346.29	1733.13	493.56	406.31	713.11	629.35
