	TCGA.EW.A1IY.01A.11R.A13Q.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.BH.A1F2.01A.31R.A13Q.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.BH.A18S.01A.11R.A12D.07	TCGA.BH.A0H3.01A.11R.A12P.07	TCGA.AR.A24X.01A.11R.A169.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.E9.A1RI.01A.11R.A169.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.VJWN.0726.SM.3GIJ8	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.EM.A1YE.01A.11R.A14Y.07	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.VJYA.0426.SM.3GIJK	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
ARPC5	4575.41	2701.35	5219.6	4298.64	2835.7	6699.25	3081.75	3665.02	4869.99	3639.7	3257.52	3467.27	2875.3	4543.8	6426.31	1923.14	1447.15	2796.65	3235.01	2133.97	2224.63	2855.44	3060.45	1594.73	3018.3	3280.18	1923.14	1806.78	2777.33	1628.26	1583.71	3039.3	2319.15	2271.4	1857.6	2573.36	2303.12	2627.46	2796.65	3060.45	1617.0	1923.14	3564.78	2915.45	1697.45	2287.2	2816.11	1870.53	3540.14	2451.44	2367.9	1936.53	1896.65	1769.57	2720.15	2224.63	1685.71	1963.57	1806.78	1909.85	2193.99	1923.14	2417.67
ASUN	616.37	480.04	638.15	414.87	454.09	1242.34	466.88	547.75	780.44	536.45	587.13	435.55	432.53	466.88	1268.46	220.32	339.14	379.04	287.01	236.21	279.14	291.04	293.07	151.22	255.0	309.83	255.0	202.66	303.44	256.78	307.69	264.03	275.28	249.73	237.86	204.07	248.0	269.6	305.55	384.34	307.69	201.25	447.82	334.46	178.77	334.46	231.32	237.86	255.0	343.89	376.41	189.02	226.54	281.09	323.03	242.88	231.32	220.32	255.0	312.0	180.02	363.56	279.14
ATP6V1G1	5006.93	3716.2	6516.03	5366.37	5711.87	5076.84	6745.86	4066.71	4869.99	6121.9	6426.31	3742.05	5329.3	3768.09	7695.57	3325.99	2627.46	4671.57	4704.07	3395.89	3060.45	5147.73	5872.48	3540.14	4239.45	4937.99	2915.45	2816.11	3794.3	3325.99	3168.41	4769.75	3395.89	3168.41	3212.66	4152.18	3716.2	3103.19	5219.6	3955.48	2417.67	3349.13	5441.3	4388.98	2451.44	2895.31	5183.54	3614.55	4836.35	3768.09	3257.52	3419.52	3847.29	3349.13	3212.66	3665.02	3589.58	3467.27	3372.43	3280.18	4358.66	3372.43	4388.98
BCCIP	1991.0	2148.82	1909.85	2075.59	2240.11	1832.01	2451.44	1369.04	2119.22	1662.49	2271.4	1572.76	1806.78	1605.83	2555.58	830.75	1259.69	1487.87	1286.18	995.0	928.3	1242.34	1378.57	775.05	1304.15	1407.55	848.22	872.1	1119.56	896.64	1073.91	1051.79	947.83	967.76	1044.52	961.07	1023.0	1135.2	1051.79	1127.35	674.59	1259.69	1551.09	1529.73	836.53	1081.39	1388.16	915.51	1340.84	1088.92	1167.14	928.3	928.3	890.44	1127.35	1051.79	934.76	796.86	1096.5	1037.29	1088.92	1037.29	1183.45
BTBD10	480.04	521.76	660.68	429.54	473.41	674.59	403.5	470.14	480.04	389.72	571.05	518.15	532.74	532.74	703.28	283.05	279.14	376.41	403.5	262.2	249.73	309.83	423.61	110.43	325.29	400.71	246.28	217.27	316.37	281.09	246.28	361.04	291.04	281.09	283.05	248.0	334.46	351.14	332.14	409.15	199.85	253.23	406.31	447.82	312.0	275.28	348.71	239.52	356.05	239.52	287.01	221.86	258.57	260.38	339.14	198.47	265.87	172.65	287.01	346.29	189.02	299.25	334.46
BTF3L4	2193.99	1583.71	1806.78	1709.26	1605.83	2485.67	1628.26	1322.37	1819.35	1304.15	1617.0	1594.73	1733.13	1757.34	2090.03	759.08	579.04	1001.93	1183.45	1051.79	921.88	981.29	1073.91	866.07	1081.39	1208.34	825.0	775.05	981.29	642.59	995.0	902.89	961.07	819.3	808.0	909.17	802.41	836.53	941.27	854.13	591.22	1001.93	1151.06	1008.9	713.11	872.1	961.07	878.17	1051.79	934.76	1059.11	1015.93	890.44	902.89	1088.92	748.61	1037.29	848.22	928.3	819.3	902.89	830.75	1030.12
BZW1	8479.89	7180.15	6294.04	4972.34	6699.25	3794.3	10014.87	4123.49	3820.7	10154.69	4802.93	4450.27	4481.23	5292.48	5791.62	872.1	748.61	1950.0	2271.4	1991.0	1437.15	1794.29	2502.97	808.0	2004.85	1909.85	1369.04	1594.73	1662.49	1268.46	1551.09	1936.53	1561.89	1498.22	1233.75	1639.59	1757.34	1674.06	1639.59	1769.57	785.88	1950.0	2384.37	2502.97	1191.69	1369.04	1923.14	1583.71	1950.0	1540.37	1733.13	1651.0	1519.15	1572.76	2627.46	1407.55	1477.58	1437.15	1806.78	1340.84	1551.09	1331.57	2090.03
C12orf29	389.72	329.84	387.02	358.54	429.54	836.53	447.82	397.93	435.55	583.07	417.77	521.76	463.65	563.18	872.1	153.34	143.01	239.52	503.95	249.73	258.57	287.01	361.04	279.14	279.14	525.39	232.94	267.73	373.81	301.33	262.2	339.14	283.05	297.17	255.0	303.44	241.19	343.89	289.02	329.84	195.72	295.11	536.45	403.5	223.41	215.77	256.78	253.23	381.68	293.07	320.8	287.01	303.44	336.79	264.03	236.21	236.21	307.69	307.69	226.54	332.14	236.21	277.2
C18orf32	3820.7	3212.66	3395.89	3303.0	3103.19	5006.93	3168.41	2400.97	2148.82	4210.15	2682.69	2133.97	3018.3	3103.19	3589.58	2591.27	2047.0	3235.01	2895.31	2609.3	2417.67	2384.37	3280.18	1487.87	2701.35	3325.99	2133.97	1639.59	2976.74	1819.35	2303.12	2796.65	2047.0	2061.24	1594.73	2163.77	2018.8	2148.82	3081.75	2796.65	1233.75	2384.37	3589.58	3124.78	1551.09	2664.15	3124.78	1870.53	2682.69	3124.78	3103.19	1936.53	1991.0	1832.01	2148.82	2645.74	2573.36	2133.97	2240.11	2163.77	3515.68	1870.53	2591.27
C2orf69	463.65	234.57	329.84	287.01	305.55	242.88	249.73	244.57	293.07	226.54	223.41	291.04	351.14	406.31	279.14	66.18	62.56	127.89	199.85	108.9	103.69	88.26	194.36	81.14	153.34	151.22	96.01	86.43	143.01	93.35	103.69	157.68	120.1	106.63	92.05	127.0	108.14	127.89	136.19	105.15	68.55	127.0	201.25	122.64	98.04	88.26	124.37	102.97	142.01	110.43	117.6	97.36	103.69	143.01	142.01	102.25	100.13	107.38	105.89	136.19	157.68	136.19	144.01
C3orf38	591.22	387.02	483.38	486.75	438.59	447.82	318.57	373.81	371.22	432.53	366.09	379.04	493.56	414.87	567.1	118.43	115.16	246.28	307.69	209.84	228.13	187.71	224.97	183.82	226.54	387.02	191.67	221.86	256.78	271.48	208.38	220.32	248.0	262.2	178.77	249.73	195.72	332.14	215.77	323.03	199.85	269.6	277.2	361.04	231.32	180.02	244.57	275.28	297.17	265.87	226.54	205.5	249.73	182.55	320.8	218.79	248.0	251.48	248.0	234.57	159.9	197.09	186.4
CAPRIN1	5183.54	3982.99	5183.54	4095.0	3794.3	7749.1	5441.3	4639.29	5219.6	5954.47	3742.05	3491.39	3768.09	3690.52	6935.54	1457.23	1369.04	1977.24	2400.97	1467.37	1467.37	2004.85	2075.59	1001.93	1977.24	2468.49	1242.34	1378.57	1883.54	1561.89	1467.37	2004.85	1639.59	1397.83	1340.84	1313.23	1662.49	1923.14	1733.13	2090.03	1096.5	1617.0	2573.36	2796.65	1208.34	1304.15	1781.89	1388.16	2163.77	1583.71	1709.26	1417.35	1417.35	1572.76	2075.59	1369.04	1457.23	1437.15	1477.58	1508.65	1561.89	1498.22	2224.63
CCT2	3614.55	2434.5	3928.15	2271.4	2701.35	5995.9	2485.67	2720.15	3443.31	3325.99	3018.3	2976.74	7382.04	3372.43	2895.31	1044.52	1350.18	1572.76	1617.0	1832.01	1697.45	1605.83	1447.15	1529.73	1674.06	1697.45	1369.04	1407.55	1685.71	1685.71	2119.22	1286.18	1769.57	1832.01	1151.06	1167.14	1199.98	1662.49	1467.37	1639.59	1508.65	1832.01	2104.58	2319.15	1447.15	1709.26	1313.23	1605.83	1304.15	1617.0	2319.15	1447.15	1572.76	1883.54	2209.26	1745.2	1417.35	1397.83	1870.53	1477.58	1313.23	1359.57	1540.37
CDK7	1583.71	1259.69	723.08	1088.92	1030.12	1127.35	1066.48	748.61	1073.91	1081.39	1051.79	693.58	974.5	842.36	796.86	656.11	743.43	567.1	698.41	603.67	420.68	483.38	693.58	591.22	547.75	738.29	529.06	429.54	567.1	457.25	559.28	480.04	620.67	563.18	444.72	395.18	420.68	441.64	551.56	473.41	429.54	555.41	693.58	656.11	457.25	463.65	669.92	543.96	507.46	493.56	521.76	490.14	638.15	503.95	583.07	486.75	633.73	470.14	470.14	555.41	693.58	406.31	674.59
CENPQ	177.53	131.51	291.04	177.53	83.45	295.11	103.69	121.79	129.69	169.07	164.42	195.72	163.28	186.4	165.57	60.39	45.21	108.9	116.78	65.72	62.12	102.97	94.67	38.95	94.01	132.44	66.18	61.25	113.56	76.17	67.12	118.43	75.11	108.14	90.14	72.52	102.25	84.04	102.97	100.13	72.52	71.5	132.44	95.34	79.45	71.5	81.71	66.18	97.36	84.04	81.71	68.07	84.04	70.01	100.83	53.57	77.79	103.69	64.34	85.82	69.52	76.71	76.17
CNOT6	738.29	497.0	808.0	497.0	470.14	490.14	336.79	387.02	665.29	341.51	483.38	493.56	629.35	341.51	409.15	132.44	115.97	204.07	291.04	175.07	170.25	209.84	220.32	128.79	201.25	368.65	178.77	132.44	211.31	211.31	143.01	236.21	191.67	175.07	186.4	140.04	215.77	220.32	189.02	229.72	154.42	153.34	295.11	246.28	159.9	157.68	195.72	163.28	269.6	189.02	205.5	156.59	151.22	195.72	204.07	144.01	141.02	221.86	171.45	191.67	140.04	198.47	262.2
COPS2	2895.31	1437.15	1721.16	1721.16	1639.59	3794.3	1498.22	1662.49	1923.14	2351.53	1551.09	1936.53	1794.29	2451.44	2816.11	1088.92	587.13	1081.39	1427.22	764.36	651.58	1096.5	1447.15	1037.29	967.76	1529.73	665.29	733.19	981.29	791.35	693.58	1066.48	884.29	713.11	1073.91	1199.98	896.64	995.0	1159.07	1208.34	703.28	836.53	1487.87	1540.37	718.08	669.92	1030.12	775.05	1437.15	753.83	796.86	703.28	825.0	909.17	1096.5	629.35	854.13	791.35	748.61	802.41	1151.06	884.29	1030.12
COPS8	2271.4	1529.73	2855.44	1540.37	1529.73	2520.38	1295.13	1583.71	1487.87	1359.57	1733.13	1467.37	1378.57	1697.45	2287.2	785.88	769.69	1199.98	1175.27	1023.0	921.88	1135.2	1250.98	738.29	1135.2	1304.15	1023.0	1175.27	1286.18	988.12	1313.23	1233.75	1127.35	1044.52	974.5	954.43	1030.12	1015.93	1331.57	1088.92	878.17	1015.93	1685.71	1417.35	974.5	854.13	1359.57	967.76	1159.07	1216.75	934.76	954.43	981.29	1044.52	1259.69	1001.93	1023.0	1001.93	866.07	988.12	1096.5	860.08	1242.34
COPZ1	7382.04	8598.28	6079.61	7280.4	8778.97	9540.5	8479.89	6079.61	6426.31	6652.97	6792.79	4095.0	4066.71	3982.99	8421.31	3280.18	6381.92	5672.41	5219.6	4639.29	4704.07	5329.3	5594.3	4210.15	4481.23	7695.57	4152.18	4038.61	6207.38	4704.07	5751.61	4419.52	5219.6	4704.07	3874.05	4239.45	4419.52	6037.61	4937.99	5366.37	3564.78	4671.57	5441.3	7485.11	3639.7	4671.57	4639.29	4210.15	5076.84	5872.48	4937.99	4038.61	4972.34	4152.18	5041.77	5594.3	4358.66	4450.27	4419.52	4038.61	5711.87	4152.18	5219.6
COX7A2L	3742.05	2720.15	4066.71	2835.7	2976.74	4972.34	3419.52	3212.66	2720.15	3349.13	2400.97	2895.31	2485.67	3820.7	4607.24	2018.8	1313.23	2351.53	3190.46	2287.2	1870.53	2303.12	3212.66	1769.57	2061.24	2502.97	1991.0	1781.89	2895.31	1639.59	1806.78	3103.19	2591.27	2224.63	3018.3	3372.43	1936.53	2417.67	3257.52	2701.35	1685.71	2485.67	3190.46	2287.2	2004.85	1651.0	3564.78	2287.2	3280.18	2451.44	2119.22	2485.67	1909.85	2047.0	1991.0	2032.85	2004.85	2303.12	2384.37	1757.34	2591.27	2335.28	3081.75
CSNK1G3	688.78	547.75	518.15	583.07	470.14	854.13	483.38	748.61	599.49	547.75	571.05	647.07	708.18	708.18	1407.55	158.79	116.78	228.13	336.79	211.31	236.21	269.6	371.22	170.25	389.72	423.61	194.36	208.38	277.2	185.11	172.65	291.04	217.27	195.72	212.78	183.82	320.8	249.73	221.86	271.48	166.73	205.5	406.31	371.22	189.02	214.27	299.25	205.5	279.14	198.47	226.54	181.28	244.57	218.79	256.78	206.94	191.67	182.55	165.57	237.86	251.48	182.55	291.04
DCAF12	947.83	674.59	860.08	718.08	842.36	674.59	651.58	802.41	921.88	633.73	896.64	759.08	866.07	718.08	1233.75	271.48	275.28	480.04	567.1	397.93	400.71	563.18	567.1	353.59	486.75	624.99	318.57	460.44	389.72	441.64	379.04	563.18	387.02	356.05	420.68	480.04	511.0	536.45	525.39	518.15	356.05	387.02	603.67	480.04	376.41	289.02	497.0	366.09	579.04	417.77	414.87	361.04	381.68	389.72	476.71	363.56	384.34	346.29	409.15	400.71	358.54	376.41	559.28
DCK	633.73	285.03	563.18	603.67	353.59	1051.79	353.59	363.56	507.46	368.65	366.09	363.56	435.55	511.0	511.0	194.36	140.04	226.54	287.01	176.29	291.04	285.03	267.73	76.71	253.23	438.59	193.01	197.09	336.79	232.94	173.85	307.69	373.81	197.09	195.72	195.72	251.48	248.0	195.72	490.14	183.82	239.52	334.46	307.69	180.02	223.41	275.28	221.86	314.17	190.34	215.77	198.47	191.67	202.66	228.13	229.72	291.04	205.5	218.79	258.57	176.29	223.41	251.48
DCUN1D5	830.75	780.44	947.83	872.1	607.87	896.64	642.59	563.18	785.88	595.34	753.83	507.46	432.53	669.92	511.0	403.5	332.14	432.53	423.61	351.14	307.69	392.44	395.18	249.73	389.72	417.77	289.02	295.11	412.0	258.57	376.41	417.77	334.46	387.02	318.57	361.04	371.22	332.14	409.15	387.02	271.48	392.44	400.71	368.65	291.04	334.46	381.68	291.04	376.41	366.09	371.22	318.57	366.09	320.8	361.04	389.72	320.8	291.04	363.56	264.03	366.09	323.03	384.34
DENR	1322.37	1159.07	1540.37	1191.69	1151.06	2061.24	1001.93	1167.14	1477.58	1159.07	1073.91	1175.27	988.12	1143.1	1561.89	497.0	486.75	785.88	830.75	551.56	660.68	759.08	785.88	567.1	748.61	830.75	521.76	591.22	733.19	629.35	595.34	713.11	669.92	567.1	698.41	563.18	612.11	743.43	728.11	733.19	591.22	543.96	967.76	738.29	529.06	543.96	723.08	579.04	878.17	733.19	718.08	529.06	521.76	591.22	703.28	616.37	620.67	633.73	616.37	693.58	647.07	642.59	764.36
DOCK7	348.71	285.03	351.14	318.57	299.25	301.33	241.19	283.05	309.83	248.0	379.04	575.03	432.53	521.76	521.76	88.88	94.67	205.5	248.0	135.24	157.68	151.22	204.07	127.0	177.53	289.02	133.36	156.59	194.36	155.5	195.72	212.78	206.94	169.07	166.73	152.28	220.32	144.01	198.47	223.41	147.06	142.01	320.8	218.79	128.79	123.5	211.31	208.38	224.97	128.79	205.5	155.5	178.77	202.66	226.54	125.24	161.02	152.28	149.12	177.53	149.12	146.03	191.67
DPH5	825.0	813.63	1651.0	490.14	624.99	698.41	1111.82	733.19	947.83	808.0	769.69	785.88	764.36	728.11	1143.1	583.07	438.59	769.69	660.68	463.65	463.65	647.07	764.36	376.41	633.73	796.86	463.65	587.13	587.13	444.72	603.67	547.75	629.35	559.28	728.11	616.37	620.67	688.78	595.34	738.29	480.04	507.46	813.63	830.75	587.13	490.14	688.78	511.0	616.37	559.28	543.96	547.75	497.0	518.15	571.05	587.13	547.75	470.14	483.38	507.46	532.74	633.73	638.15
DYNLT3	1135.2	928.3	1350.18	1044.52	819.3	1617.0	848.22	620.67	764.36	1388.16	738.29	884.29	872.1	1487.87	1015.93	305.55	397.93	620.67	954.43	483.38	409.15	616.37	896.64	309.83	591.22	860.08	389.72	363.56	595.34	403.5	348.71	743.43	493.56	379.04	412.0	595.34	620.67	473.41	507.46	575.03	249.73	460.44	934.76	629.35	403.5	389.72	743.43	466.88	769.69	507.46	387.02	417.77	563.18	521.76	476.71	426.57	444.72	381.68	412.0	532.74	656.11	444.72	638.15
EIF2A	2758.13	1909.85	2133.97	2451.44	2609.3	3325.99	2119.22	2645.74	2591.27	4575.41	2193.99	2451.44	2287.2	3146.52	4802.93	1977.24	1397.83	1529.73	2417.67	1709.26	1583.71	1832.01	2303.12	1977.24	1991.0	2555.58	1605.83	1651.0	2133.97	1427.22	1883.54	1685.71	1639.59	2193.99	2119.22	2271.4	1745.2	2032.85	2075.59	2178.83	1359.57	1447.15	3168.41	3124.78	1806.78	1529.73	1950.0	1447.15	2591.27	1529.73	2047.0	1909.85	1819.35	1769.57	2018.8	1674.06	1870.53	1617.0	1806.78	2209.26	1844.76	1950.0	2032.85
