	TCGA.EA.A1QS.01A.61R.A22U.07	GTEX.11P7K.1426.SM.5EGKY	GTEX.13O61.1226.SM.5KM21	GTEX.11EQ9.0926.SM.5HL6I	GTEX.ZT9W.1226.SM.57WE4	GTEX.111YS.1026.SM.5GZYE	TCGA.B0.5706.01A.11R.1541.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.CG.5732.01A.11R.1602.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.VQ.A8PX.01A.12R.A414.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.D7.6820.01A.11R.1884.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.6458.11A.01R.1802.13
DTX4	178.77	56.68	151.22	86.43	68.55	42.71	98.04	0.0	0.55	909.17	470.14	454.09	890.44	624.99	708.18	1437.15	343.89	1111.82	620.67	638.15
EFCAB4B	58.3	34.75	30.34	14.35	12.45	14.24	94.67	0.0	0.54	102.25	128.79	156.59	97.36	72.52	248.0	303.44	224.97	283.05	157.68	149.12
ESRRA	567.1	400.71	674.59	860.08	703.28	532.74	497.0	0.0	0.79	1991.0	723.08	1709.26	1769.57	764.36	759.08	2148.82	1378.57	2367.9	2047.0	1044.52
EXOSC4	414.87	363.56	518.15	312.0	376.41	332.14	346.29	0.0	0.24	1199.98	493.56	796.86	1175.27	830.75	769.69	1216.75	830.75	1721.16	1143.1	660.68
FAM203A	279.14	166.73	198.47	197.09	143.01	73.54	228.13	713.11	98.04	941.27	293.07	603.67	753.83	447.82	656.11	1233.75	738.29	1508.65	220.32	400.71
FBXL6	312.0	334.46	403.5	332.14	299.25	312.0	146.03	0.0	0.85	909.17	547.75	819.3	934.76	723.08	775.05	988.12	543.96	1870.53	647.07	343.89
FRAT2	133.36	105.89	144.01	117.6	162.14	98.73	48.18	0.0	0.41	444.72	281.09	808.0	493.56	423.61	320.8	1096.5	417.77	366.09	748.61	490.14
GCNT3	1.35	1.22	19.97	2.43	4.31	2.41	241.19	0.0	0.11	2417.67	387.02	872.1	928.3	58.71	866.07	2351.53	728.11	3081.75	2209.26	693.58
GHITM	1572.76	2956.17	2796.65	3039.3	3257.52	3768.09	2573.36	0.0	0.73	4607.24	2720.15	3419.52	3614.55	3081.75	1757.34	3982.99	3325.99	3901.01	3639.7	3419.52
GOT1	848.22	1119.56	896.64	825.0	753.83	872.1	1233.75	0.0	0.11	1427.22	1001.93	2004.85	3124.78	1685.71	921.88	2502.97	902.89	2645.74	2319.15	1583.71
HPS6	202.66	237.86	258.57	255.0	251.48	269.6	159.9	0.0	0.0	651.58	212.78	353.59	414.87	289.02	368.65	447.82	346.29	447.82	392.44	323.03
IL17C	0.0	0.0	1.79	0.0	0.0	0.0	0.0	0.0	0.0	514.56	5.11	2.78	5.41	120.94	9.7	305.55	3.11	309.83	6.36	1.99
IRAK2	49.56	32.59	31.9	22.43	19.11	24.99	91.41	0.0	0.21	307.69	130.6	169.07	80.01	87.03	154.42	384.34	93.35	218.79	119.26	78.89
MAP3K11	713.11	753.83	796.86	642.59	583.07	616.37	1151.06	0.0	0.38	1857.6	1159.07	1561.89	1883.54	1119.56	1397.83	2047.0	1225.22	2319.15	2148.82	1467.37
MARK2	518.15	363.56	336.79	423.61	381.68	379.04	356.05	373.81	351.14	791.35	473.41	718.08	934.76	579.04	521.76	974.5	791.35	928.3	830.75	693.58
MFSD3	121.79	145.02	246.28	149.12	152.28	133.36	132.44	0.0	0.45	909.17	334.46	466.88	521.76	444.72	271.48	808.0	656.11	1233.75	665.29	514.56
MRPL44	303.44	353.59	325.29	381.68	346.29	447.82	490.14	0.0	0.07	591.22	490.14	563.18	559.28	551.56	497.0	808.0	346.29	543.96	579.04	500.46
MRPS25	583.07	819.3	961.07	1023.0	896.64	981.29	293.07	0.0	1.01	1322.37	1015.93	733.19	1066.48	1066.48	1088.92	1572.76	647.07	1295.13	1350.18	620.67
NDUFV1	2090.03	3349.13	3614.55	3190.46	2739.08	2739.08	2032.85	0.0	1.08	4802.93	2537.92	4481.23	3982.99	2591.27	3614.55	5329.3	3018.3	4481.23	5711.87	3639.7
NFKB2	457.25	406.31	595.34	417.77	521.76	414.87	463.65	0.0	0.03	1605.83	974.5	1127.35	633.73	738.29	1295.13	2485.67	1199.98	1407.55	854.13	698.41
NOP16	323.03	392.44	435.55	353.59	426.57	371.22	339.14	0.0	0.0	872.1	547.75	728.11	915.51	713.11	587.13	1001.93	848.22	813.63	988.12	356.05
PDCD11	251.48	214.27	206.94	166.73	215.77	159.9	185.11	0.0	0.24	450.94	320.8	490.14	403.5	223.41	336.79	1175.27	348.71	503.95	249.73	239.52
PGC	0.0	27.05	8046889.67	1634025.56	144.01	3443.31	0.0	0.0	0.0	636586.81	2310861.52	2310861.52	2310861.52	3200796.55	1.011504819E7	1131651.83	5128124.01	757033.75	1956711.0	5690009.96
PPARGC1B	8.19	60.82	81.71	87.03	70.01	34.02	12.55	7.82	37.85	104.42	73.03	206.94	127.0	37.59	76.71	236.21	112.77	232.94	120.94	106.63
PPIF	988.12	441.64	842.36	575.03	616.37	587.13	718.08	0.0	0.55	3847.29	1467.37	2061.24	4512.4	1781.89	1757.34	4210.15	2163.77	4769.75	2627.46	3235.01
PPRC1	373.81	417.77	490.14	426.57	423.61	346.29	204.07	0.0	0.1	713.11	591.22	620.67	547.75	607.87	503.95	1397.83	909.17	728.11	500.46	329.84
PRRX2	85.22	70.51	41.22	76.17	36.79	102.97	26.86	0.0	0.59	567.1	103.69	86.43	130.6	70.51	133.36	902.89	395.18	616.37	109.66	76.17
RNF44	447.82	567.1	587.13	674.59	591.22	567.1	480.04	0.0	0.61	1233.75	1066.48	1540.37	753.83	1066.48	733.19	1447.15	1183.45	1259.69	1081.39	890.44
RPS6KA4	660.68	353.59	343.89	426.57	289.02	271.48	291.04	0.0	0.48	1167.14	718.08	1037.29	1870.53	698.41	703.28	1104.13	1143.1	1605.83	1191.69	759.08
SLC52A3	198.47	35.25	24.81	14.67	19.11	16.51	31.67	0.0	0.1	473.41	91.41	269.6	224.97	131.51	647.07	708.18	205.5	299.25	500.46	246.28
SLC8B1	587.13	351.14	395.18	307.69	273.37	218.79	381.68	0.0	0.88	723.08	435.55	679.29	629.35	890.44	532.74	896.64	273.37	642.59	529.06	480.04
SNPH	92.7	103.69	143.01	116.78	115.97	109.66	19.82	0.0	0.41	249.73	102.97	123.5	79.45	9.48	140.04	195.72	162.14	348.71	123.5	241.19
SPNS2	73.54	277.2	406.31	253.23	228.13	185.11	543.96	251.48	260.38	1225.22	733.19	237.86	2777.33	1561.89	417.77	2032.85	1733.13	2915.45	1159.07	521.76
TCF7L2	316.37	476.71	532.74	447.82	397.93	454.09	167.9	0.0	0.42	1127.35	708.18	620.67	703.28	483.38	277.2	1167.14	629.35	872.1	775.05	651.58
THEM6	346.29	172.65	191.67	146.03	84.63	107.38	466.88	0.0	0.1	2468.49	521.76	1008.9	1127.35	896.64	1268.46	2224.63	1498.22	3349.13	785.88	796.86
TIGD5	69.52	75.64	94.01	104.42	85.82	71.5	80.01	0.0	0.27	195.72	98.73	206.94	125.24	146.03	190.34	295.11	232.94	392.44	171.45	121.79
TMEM164	180.02	191.67	175.07	176.29	136.19	122.64	214.27	0.0	0.0	896.64	412.0	693.58	684.02	559.28	525.39	1001.93	559.28	921.88	603.67	529.06
TMEM45B	8.85	12.0	120.94	16.39	3.79	6.31	20.11	0.0	0.38	4095.0	384.34	1844.76	1066.48	100.83	1331.57	1417.35	149.12	3349.13	4095.0	902.89
TOR4A	177.53	104.42	91.41	64.8	59.97	48.87	217.27	0.0	0.56	1896.65	511.0	890.44	1295.13	866.07	860.08	988.12	595.34	1721.16	1242.34	791.35
TRIM31	10.47	11.21	256.78	7.51	0.0	0.0	6.67	0.0	0.12	2384.37	1250.98	1340.84	441.64	493.56	703.28	5292.48	397.93	1583.71	507.46	171.45
TSKU	1225.22	684.02	884.29	409.15	279.14	159.9	521.76	0.0	0.75	1340.84	591.22	1651.0	1519.15	813.63	830.75	1259.69	1322.37	1617.0	1268.46	1477.58
TSPAN15	332.14	1963.57	1540.37	902.89	665.29	1001.93	381.68	0.0	0.6	4298.64	1605.83	3103.19	2701.35	2739.08	1639.59	3955.48	2875.3	2367.9	2895.31	3146.52
XPNPEP1	974.5	890.44	896.64	624.99	620.67	620.67	563.18	0.0	0.96	1519.15	1081.39	1757.34	2384.37	819.3	1066.48	2075.59	1340.84	1167.14	2047.0	1191.69
ZFP41	86.43	189.02	151.22	191.67	166.73	208.38	82.87	0.0	0.23	426.57	115.16	346.29	153.34	295.11	277.2	460.44	490.14	295.11	170.25	121.79
ZFYVE27	309.83	376.41	463.65	361.04	373.81	262.2	289.02	0.0	0.75	967.76	486.75	575.03	536.45	547.75	256.78	988.12	583.07	713.11	514.56	417.77
ZNF488	11.21	4.13	1.3	4.13	3.44	0.88	0.0	0.0	0.2	77.79	9.41	21.78	51.71	12.64	41.52	81.71	38.95	90.77	82.87	23.25
