	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EM.A4FV.01A.11R.A250.07	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.ET.A3BS.01A.11R.A206.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.ET.A39I.01A.11R.A19O.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.DJ.A2PX.01A.11R.A18C.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.DJ.A3UV.01A.11R.A22L.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.EM.A22J.01A.11R.A180.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.FK.A3SB.01A.11R.A22L.07	TCGA.EL.A3T2.01A.11R.A22L.07	TCGA.ET.A39R.01A.11R.A19O.07	TCGA.CE.A3MD.01A.11R.A20F.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.DJ.A13X.01A.11R.A10U.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.EM.A3AP.01A.12R.A20F.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.EM.A22M.01A.11R.A32Y.07	TCGA.E8.A2JQ.11A.11R.A180.07	GTEX.Y111.1926.SM.4SOIS	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Q2AG.0826.SM.2HMKF	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.147F4.0826.SM.5QGRB	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.139YR.1226.SM.5IFEU	GTEX.SJXC.0726.SM.2XCFJ	GTEX.145MG.0826.SM.5Q5C2	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
C16orf46	0.0	0.0	106.63	151.22	104.42	158.79	74.58	135.24	88.88	56.28	170.25	124.37	106.63	113.56	63.89	98.04	133.36	134.3	73.03	89.51	96.01	92.05	73.54	41.52	137.14	94.01	108.9	104.42	87.65	138.1	131.51	98.04	103.69	88.88	134.3	40.07	80.01	102.25	201.25	84.63	76.17	115.16	94.67	78.34	145.02	151.22	102.97	70.01	147.06	314.17	253.23	186.4	307.69	248.0	248.0	198.47	215.77	126.12	249.73	281.09	262.2	125.24	209.84	217.27	323.03	307.69	208.38	180.02	202.66	202.66	253.23	214.27	170.25	343.89	253.23	151.22	232.94	177.53	332.14	269.6	262.2	264.03	170.25	129.69	303.44	358.54	414.87	258.57	242.88	395.18	223.41	175.07	265.87	190.34	281.09	234.57	256.78	239.52	199.85	346.29	162.14	193.01	112.77	185.11	229.72	279.14	511.0	208.38	287.01	156.59	161.02	151.22	305.55	209.84	314.17
C1orf74	0.0	0.09	34.26	45.85	40.93	40.07	35.0	25.54	37.59	42.71	31.9	37.85	24.81	29.06	17.9	34.26	38.95	47.84	34.02	34.02	32.36	26.1	21.16	23.93	38.95	36.27	28.24	33.78	29.91	38.4	37.32	32.59	40.93	29.27	38.95	21.47	23.76	32.82	35.25	32.36	36.79	45.21	29.91	32.59	29.06	35.25	45.21	25.35	45.53	49.91	69.52	80.57	84.04	84.04	51.71	75.64	66.65	71.5	25.17	136.19	37.05	54.33	35.5	58.3	79.45	71.5	81.71	78.89	58.71	70.51	75.11	30.78	52.08	63.89	65.72	31.0	33.54	70.51	54.72	57.49	32.82	65.26	88.26	69.03	57.49	90.77	74.06	70.01	56.28	55.49	62.56	52.08	67.59	48.52	60.82	92.7	36.01	54.72	62.12	92.7	54.72	60.82	63.0	59.55	41.22	54.33	50.63	93.35	57.89	29.06	16.15	22.1	47.84	43.94	72.01
C22orf39	0.0	0.55	698.41	764.36	591.22	954.43	718.08	473.41	890.44	406.31	1340.84	447.82	500.46	738.29	738.29	518.15	780.44	703.28	540.19	878.17	896.64	400.71	836.53	351.14	718.08	366.09	1023.0	1015.93	400.71	866.07	684.02	796.86	808.0	1051.79	543.96	743.43	928.3	688.78	441.64	665.29	651.58	872.1	825.0	947.83	567.1	842.36	802.41	423.61	854.13	1639.59	974.5	1001.93	1369.04	1388.16	1268.46	1605.83	1008.9	775.05	1135.2	961.07	1417.35	884.29	1551.09	1037.29	1388.16	1030.12	769.69	638.15	1437.15	1001.93	1191.69	1639.59	1059.11	1340.84	1250.98	1259.69	1151.06	909.17	1268.46	1242.34	1088.92	988.12	1250.98	1143.1	995.0	921.88	1066.48	1259.69	866.07	1331.57	1628.26	1037.29	1639.59	909.17	1313.23	902.89	1277.29	1199.98	878.17	1073.91	785.88	928.3	947.83	1023.0	974.5	1066.48	1437.15	738.29	921.88	1457.23	1044.52	947.83	1242.34	1322.37	1447.15
C3orf33	0.0	0.06	173.85	260.38	166.73	211.31	109.66	209.84	182.55	165.57	271.48	215.77	229.72	155.5	131.51	182.55	312.0	226.54	126.12	176.29	218.79	209.84	124.37	139.07	157.68	181.28	154.42	242.88	137.14	239.52	167.9	189.02	246.28	157.68	214.27	82.29	138.1	136.19	220.32	171.45	143.01	220.32	154.42	150.17	275.28	237.86	186.4	116.78	140.04	279.14	346.29	236.21	358.54	329.84	329.84	318.57	358.54	264.03	283.05	226.54	287.01	285.03	275.28	249.73	363.56	260.38	279.14	229.72	241.19	291.04	242.88	260.38	181.28	265.87	223.41	162.14	206.94	111.99	237.86	229.72	271.48	343.89	293.07	341.51	236.21	248.0	660.68	316.37	170.25	277.2	232.94	327.56	256.78	117.6	339.14	336.79	244.57	303.44	293.07	249.73	346.29	232.94	275.28	223.41	376.41	237.86	441.64	244.57	265.87	291.04	178.77	119.26	285.03	307.69	363.56
C3orf55	0.0	0.57	59.55	47.84	22.26	41.22	5.23	31.22	118.43	36.01	42.41	82.29	82.29	72.52	15.45	45.53	45.53	76.17	20.41	33.3	29.06	57.08	64.8	43.94	82.29	10.16	59.13	120.1	22.92	78.89	27.44	44.25	13.83	43.63	65.72	28.86	38.12	12.74	46.5	45.21	16.88	67.12	57.49	26.86	67.12	53.57	52.82	13.22	111.21	674.59	595.34	237.86	587.13	791.35	312.0	293.07	152.28	226.54	206.94	301.33	813.63	182.55	854.13	183.82	780.44	743.43	540.19	417.77	665.29	246.28	289.02	483.38	287.01	265.87	279.14	239.52	341.51	258.57	624.99	426.57	299.25	708.18	473.41	159.9	376.41	454.09	583.07	493.56	450.94	738.29	346.29	366.09	353.59	183.82	406.31	473.41	423.61	98.73	148.09	571.05	130.6	293.07	341.51	567.1	366.09	108.9	267.73	497.0	215.77	208.38	163.28	76.71	514.56	441.64	808.0
C5orf28	0.0	0.43	271.48	500.46	329.84	336.79	195.72	329.84	295.11	241.19	323.03	356.05	318.57	242.88	195.72	231.32	368.65	466.88	218.79	283.05	376.41	277.2	244.57	182.55	414.87	228.13	234.57	277.2	171.45	381.68	454.09	332.14	314.17	334.46	400.71	224.97	249.73	248.0	339.14	260.38	256.78	353.59	275.28	211.31	301.33	285.03	283.05	167.9	540.19	361.04	1008.9	1340.84	620.67	1119.56	878.17	748.61	769.69	967.76	665.29	836.53	860.08	688.78	624.99	884.29	1159.07	1008.9	836.53	603.67	336.79	808.0	651.58	587.13	403.5	961.07	759.08	497.0	490.14	387.02	872.1	647.07	571.05	624.99	902.89	718.08	954.43	642.59	1340.84	607.87	525.39	878.17	426.57	819.3	563.18	529.06	1001.93	1104.13	872.1	759.08	567.1	587.13	612.11	780.44	647.07	884.29	460.44	928.3	1233.75	860.08	656.11	454.09	466.88	258.57	878.17	775.05	791.35
C7orf31	0.0	0.25	107.38	97.36	127.89	93.35	123.5	126.12	65.72	88.26	95.34	75.11	69.03	96.01	83.45	54.33	95.34	95.34	108.9	105.15	57.08	67.12	77.79	72.52	107.38	82.87	79.45	55.89	75.11	74.06	106.63	101.54	88.88	90.14	85.22	74.58	91.41	65.72	100.13	68.07	82.29	90.14	76.71	92.05	129.69	72.01	80.01	74.06	120.94	186.4	109.66	148.09	154.42	212.78	181.28	180.02	85.22	109.66	162.14	164.42	172.65	102.25	159.9	98.73	159.9	115.16	105.15	70.51	161.02	149.12	101.54	173.85	158.79	156.59	193.01	156.59	144.01	76.71	195.72	140.04	169.07	193.01	148.09	99.43	134.3	151.22	195.72	190.34	61.68	198.47	162.14	142.01	197.09	142.01	135.24	107.38	105.89	144.01	142.01	141.02	122.64	121.79	100.13	109.66	119.26	149.12	77.79	88.26	120.1	149.12	139.07	164.42	149.12	162.14	167.9
C8orf48	0.0	0.0	38.67	51.35	28.24	47.5	25.91	82.29	28.45	34.02	42.11	45.85	41.52	39.5	24.99	27.25	64.8	71.5	22.1	49.56	33.78	42.11	18.03	27.64	52.08	22.59	67.59	33.06	38.95	61.25	43.63	54.72	18.16	52.45	75.64	23.08	30.56	21.63	45.85	26.47	39.22	65.72	21.16	24.28	53.19	40.64	52.45	25.91	47.84	150.17	139.07	88.26	127.0	131.51	85.82	134.3	105.89	121.79	63.45	58.3	32.13	66.18	94.01	96.68	96.68	129.69	58.71	85.82	98.73	141.02	87.65	70.01	99.43	152.28	84.04	64.34	75.11	16.51	119.26	75.64	72.01	211.31	106.63	102.25	92.7	128.79	185.11	138.1	100.13	119.26	75.11	73.03	171.45	77.79	162.14	140.04	60.39	127.89	124.37	40.64	81.71	91.41	80.57	97.36	109.66	87.65	130.6	120.94	62.12	61.25	55.1	57.08	142.01	51.71	136.19
CACNA1D	0.0	0.53	26.86	72.52	19.82	48.87	19.39	61.68	55.89	46.18	54.72	63.45	37.59	36.53	21.16	25.91	68.07	77.79	36.27	24.81	38.67	45.21	34.02	48.52	41.81	37.05	54.72	19.68	41.81	48.87	52.45	61.68	63.0	27.44	53.57	21.94	30.34	23.93	85.82	26.1	31.9	35.0	49.56	16.27	58.3	99.43	25.17	8.38	41.22	67.59	95.34	202.66	52.08	88.88	114.36	81.71	46.5	87.65	82.87	121.79	66.65	71.0	129.69	115.97	47.5	45.85	159.9	111.99	94.01	146.03	63.89	74.06	84.04	159.9	113.56	71.0	170.25	23.42	85.22	22.59	69.03	74.58	88.26	95.34	107.38	84.04	121.79	61.25	71.0	98.04	43.94	211.31	96.68	51.71	46.84	105.15	85.82	146.03	111.21	253.23	62.12	86.43	58.3	68.07	46.5	149.12	117.6	158.79	61.25	20.56	14.14	23.76	161.02	53.57	114.36
CBX1	0.0	0.82	656.11	872.1	1001.93	902.89	878.17	1015.93	825.0	1030.12	848.22	647.07	764.36	878.17	954.43	872.1	854.13	896.64	738.29	1081.39	674.59	769.69	825.0	791.35	1073.91	796.86	1208.34	738.29	848.22	753.83	928.3	981.29	909.17	780.44	1030.12	733.19	878.17	813.63	854.13	708.18	902.89	1023.0	802.41	620.67	921.88	1104.13	902.89	718.08	1066.48	1757.34	1378.57	1477.58	1733.13	2178.83	1304.15	1896.65	1051.79	1030.12	1594.73	1143.1	1870.53	954.43	1427.22	988.12	1617.0	1242.34	1199.98	967.76	1605.83	1427.22	1088.92	1628.26	1519.15	1583.71	1359.57	1143.1	1674.06	1191.69	1551.09	1277.29	1529.73	1794.29	1617.0	1167.14	1088.92	1709.26	1721.16	1950.0	890.44	1583.71	1561.89	1216.75	1757.34	1135.2	1159.07	1088.92	1407.55	1159.07	1225.22	1388.16	1037.29	1407.55	1073.91	1104.13	1250.98	1199.98	1295.13	1127.35	1175.27	1427.22	1183.45	1051.79	1572.76	1769.57	1617.0
CCDC121	0.0	0.0	66.18	125.24	102.97	78.34	82.87	62.12	78.34	80.01	69.03	96.01	59.55	88.26	84.04	80.57	115.97	102.97	75.11	99.43	65.72	90.77	79.45	55.89	81.71	68.07	72.52	41.81	74.58	85.22	91.41	97.36	78.89	102.97	115.97	40.93	53.57	57.49	102.97	45.85	63.45	100.83	66.65	64.34	90.14	136.19	75.11	50.98	93.35	119.26	162.14	186.4	150.17	209.84	145.02	193.01	108.9	115.97	116.78	81.14	170.25	92.7	145.02	123.5	163.28	183.82	131.51	127.0	142.01	175.07	120.94	117.6	137.14	162.14	154.42	103.69	102.25	80.01	186.4	131.51	122.64	190.34	185.11	104.42	161.02	215.77	172.65	131.51	99.43	248.0	138.1	155.5	190.34	109.66	159.9	154.42	130.6	135.24	116.78	122.64	124.37	164.42	120.1	131.51	167.9	202.66	175.07	119.26	101.54	75.11	64.34	91.41	170.25	117.6	177.53
CCDC126	137.14	155.5	111.21	165.57	100.83	149.12	65.72	130.6	141.02	105.15	128.79	214.27	176.29	112.77	108.14	120.1	141.02	156.59	138.1	111.21	172.65	135.24	120.94	82.87	158.79	118.43	105.89	108.14	59.13	163.28	163.28	130.6	293.07	161.02	152.28	99.43	116.78	127.89	163.28	154.42	129.69	120.94	111.21	103.69	285.03	136.19	126.12	81.71	209.84	198.47	267.73	241.19	368.65	366.09	255.0	273.37	366.09	256.78	353.59	156.59	389.72	341.51	167.9	141.02	190.34	314.17	180.02	162.14	214.27	242.88	246.28	289.02	151.22	194.36	217.27	173.85	215.77	127.0	246.28	295.11	217.27	249.73	177.53	363.56	193.01	327.56	460.44	303.44	199.85	183.82	285.03	283.05	242.88	214.27	271.48	327.56	158.79	343.89	346.29	332.14	293.07	255.0	215.77	244.57	256.78	341.51	392.44	287.01	249.73	224.97	234.57	151.22	217.27	356.05	224.97
CDR2	0.0	0.09	483.38	842.36	493.56	567.1	532.74	525.39	483.38	339.14	587.13	507.46	651.58	476.71	414.87	476.71	780.44	665.29	595.34	536.45	466.88	603.67	500.46	305.55	825.0	426.57	567.1	599.49	361.04	441.64	463.65	612.11	368.65	819.3	679.29	435.55	351.14	507.46	785.88	400.71	480.04	679.29	450.94	490.14	819.3	497.0	620.67	532.74	780.44	1037.29	1350.18	1225.22	1250.98	1498.22	2018.8	974.5	1407.55	1051.79	1583.71	2090.03	1963.57	753.83	1059.11	995.0	1313.23	1242.34	1467.37	836.53	1066.48	866.07	1208.34	1259.69	1259.69	1015.93	878.17	1242.34	1059.11	1199.98	1111.82	1208.34	1467.37	1119.56	1233.75	1250.98	1135.2	967.76	1388.16	1477.58	866.07	1467.37	1030.12	1447.15	1059.11	1044.52	1417.35	1008.9	947.83	1119.56	1277.29	1769.57	1322.37	1639.59	1208.34	1104.13	934.76	1498.22	1313.23	1096.5	1159.07	1135.2	1781.89	743.43	1259.69	1467.37	1350.18
CHST14	0.0	0.55	441.64	384.34	256.78	500.46	162.14	536.45	366.09	334.46	583.07	426.57	507.46	447.82	343.89	289.02	412.0	420.68	450.94	400.71	305.55	500.46	277.2	363.56	493.56	379.04	450.94	358.54	323.03	356.05	547.75	406.31	371.22	426.57	543.96	221.86	172.65	271.48	595.34	356.05	525.39	412.0	199.85	231.32	595.34	559.28	301.33	450.94	420.68	612.11	708.18	444.72	612.11	563.18	743.43	733.19	669.92	460.44	759.08	376.41	836.53	679.29	423.61	587.13	480.04	624.99	693.58	444.72	624.99	848.22	612.11	693.58	583.07	559.28	579.04	215.77	563.18	228.13	669.92	363.56	679.29	607.87	555.41	848.22	480.04	547.75	473.41	890.44	403.5	540.19	559.28	825.0	599.49	454.09	1119.56	441.64	341.51	551.56	629.35	521.76	684.02	808.0	866.07	409.15	808.0	854.13	400.71	743.43	395.18	435.55	376.41	320.8	607.87	819.3	555.41
CLDN8	0.0	0.0	177.53	239.52	90.77	81.14	20.26	178.77	102.97	106.63	132.44	40.64	48.87	78.89	120.1	140.04	152.28	221.86	105.15	63.45	120.1	41.81	97.36	53.19	229.72	97.36	66.65	101.54	162.14	101.54	109.66	177.53	108.14	131.51	224.97	154.42	49.91	53.57	130.6	55.89	68.07	120.94	171.45	325.29	96.01	128.79	221.86	17.64	264.03	532.74	2004.85	409.15	486.75	915.51	1277.29	193.01	514.56	579.04	1037.29	423.61	791.35	206.94	366.09	289.02	1208.34	1037.29	547.75	624.99	224.97	397.93	599.49	366.09	389.72	497.0	480.04	176.29	265.87	307.69	525.39	195.72	486.75	665.29	703.28	995.0	1096.5	743.43	866.07	764.36	974.5	738.29	476.71	954.43	1059.11	808.0	1304.15	796.86	293.07	237.86	432.53	392.44	312.0	1268.46	830.75	1066.48	934.76	1769.57	447.82	1008.9	403.5	384.34	223.41	96.68	529.06	638.15	1023.0
CLN3	2591.27	961.07	941.27	679.29	775.05	1059.11	684.02	1015.93	1073.91	884.29	1001.93	1023.0	1044.52	872.1	896.64	775.05	1088.92	1008.9	928.3	642.59	1127.35	988.12	748.61	713.11	981.29	656.11	1081.39	872.1	988.12	896.64	819.3	890.44	961.07	967.76	995.0	974.5	1051.79	583.07	842.36	947.83	995.0	872.1	796.86	599.49	1119.56	854.13	872.1	967.76	1175.27	1359.57	1498.22	866.07	1233.75	961.07	1540.37	1119.56	1259.69	1709.26	1208.34	1259.69	1066.48	1250.98	1447.15	1583.71	1242.34	1378.57	1651.0	1417.35	1233.75	1216.75	1477.58	1295.13	1427.22	1167.14	1437.15	1304.15	1304.15	954.43	1286.18	1051.79	1487.87	1322.37	1340.84	1359.57	909.17	1295.13	896.64	1277.29	1498.22	1304.15	1208.34	1594.73	1225.22	1498.22	1583.71	1059.11	1167.14	1617.0	1286.18	1104.13	1104.13	1183.45	2004.85	1397.83	1508.65	1769.57	1051.79	1369.04	1388.16	1498.22	1277.29	1286.18	1378.57	1059.11	1199.98
CLN5	0.0	0.48	890.44	1583.71	444.72	1551.09	718.08	902.89	896.64	813.63	1167.14	872.1	1081.39	1322.37	915.51	808.0	1529.73	1721.16	669.92	1151.06	1417.35	1617.0	1167.14	848.22	1143.1	830.75	1508.65	974.5	753.83	1467.37	1051.79	941.27	921.88	1832.01	1322.37	607.87	872.1	1159.07	1498.22	775.05	961.07	1322.37	819.3	941.27	1096.5	1277.29	947.83	381.68	1104.13	1697.45	2796.65	2875.3	3146.52	2119.22	2240.11	1175.27	2032.85	1883.54	1832.01	1313.23	2796.65	1378.57	2018.8	1127.35	1594.73	2537.92	1963.57	1781.89	1304.15	2720.15	2400.97	1551.09	1378.57	2032.85	1477.58	1322.37	1594.73	1745.2	1175.27	1487.87	2047.0	1467.37	1540.37	2178.83	2335.28	1498.22	2367.9	1477.58	2417.67	3018.3	1832.01	2434.5	1733.13	2319.15	4607.24	2451.44	1628.26	1605.83	1519.15	1651.0	1540.37	3280.18	3212.66	3325.99	1936.53	2417.67	1806.78	3443.31	1628.26	1781.89	1477.58	890.44	2119.22	2451.44	2209.26
CLUL1	0.0	0.01	29.06	77.79	10.63	70.51	78.34	73.03	16.39	9.13	37.32	76.71	27.05	22.75	32.13	25.17	72.01	49.21	30.78	63.89	97.36	32.13	17.25	6.57	108.9	44.89	138.1	23.42	24.11	46.18	38.67	57.08	49.56	89.51	78.89	6.73	16.39	18.16	87.03	28.65	31.45	52.08	50.63	11.04	42.41	38.12	66.18	38.4	102.97	483.38	409.15	463.65	890.44	244.57	291.04	312.0	224.97	145.02	497.0	249.73	703.28	215.77	343.89	208.38	395.18	248.0	277.2	197.09	612.11	450.94	289.02	480.04	420.68	343.89	269.6	265.87	547.75	109.66	208.38	591.22	819.3	575.03	447.82	281.09	244.57	269.6	780.44	334.46	246.28	336.79	733.19	409.15	348.71	323.03	285.03	89.51	173.85	214.27	155.5	376.41	158.79	363.56	275.28	138.1	42.71	348.71	325.29	323.03	323.03	143.01	112.77	271.48	312.0	1127.35	366.09
CNTN5	0.0	0.0	10.08	10.96	0.45	20.26	1.04	7.34	2.97	0.0	31.67	2.05	4.62	2.63	0.2	0.2	4.39	9.7	1.95	5.63	6.46	2.05	1.71	0.0	15.68	0.96	0.92	3.03	1.38	3.5	1.45	3.38	5.36	2.78	8.06	0.24	1.79	1.89	33.78	5.06	2.73	8.78	2.58	0.22	33.54	1.99	6.11	2.29	38.67	88.26	154.42	339.14	58.71	187.71	102.25	31.22	64.8	143.01	201.25	389.72	204.07	34.02	127.0	23.59	318.57	202.66	36.27	73.03	59.97	80.01	83.45	27.25	130.6	44.57	34.26	120.1	98.04	29.48	221.86	34.51	142.01	283.05	103.69	56.28	138.1	293.07	351.14	224.97	66.18	37.32	66.65	105.89	152.28	26.1	295.11	161.02	117.6	16.88	80.57	301.33	137.14	104.42	61.25	141.02	69.03	66.18	10.24	201.25	104.42	22.59	20.71	12.45	167.9	170.25	133.36
CSGALNACT1	0.0	0.4	241.19	1208.34	514.56	493.56	220.32	384.34	314.17	166.73	825.0	353.59	312.0	165.57	198.47	293.07	830.75	551.56	208.38	269.6	323.03	167.9	187.71	116.78	543.96	363.56	208.38	125.24	117.6	447.82	470.14	457.25	409.15	447.82	921.88	220.32	136.19	540.19	665.29	220.32	121.79	660.68	289.02	167.9	563.18	353.59	595.34	202.66	1001.93	3235.01	2739.08	1936.53	6471.02	4038.61	2915.45	2895.31	974.5	2664.15	2627.46	5791.62	5403.7	1733.13	5006.93	1175.27	3039.3	2032.85	1733.13	1066.48	8191.0	1001.93	1963.57	5954.47	2758.13	10883.59	2609.3	3690.52	2682.69	1111.82	4152.18	7857.29	3212.66	2835.7	1857.6	819.3	3716.2	1936.53	10084.54	4239.45	1369.04	1909.85	7130.55	1594.73	2895.31	1151.06	854.13	708.18	2855.44	1191.69	1551.09	7032.37	1417.35	2367.9	995.0	1199.98	1508.65	1651.0	1259.69	1467.37	4481.23	1605.83	1216.75	1662.49	1923.14	6887.62	1572.76
CTDSPL	339.14	166.73	201.25	275.28	215.77	172.65	279.14	202.66	212.78	169.07	142.01	215.77	237.86	186.4	224.97	211.31	283.05	214.27	339.14	228.13	220.32	152.28	314.17	211.31	299.25	295.11	148.09	156.59	214.27	265.87	273.37	271.48	137.14	195.72	325.29	262.2	204.07	295.11	303.44	164.42	182.55	205.5	267.73	289.02	206.94	145.02	271.48	178.77	260.38	457.25	444.72	420.68	409.15	466.88	543.96	733.19	400.71	307.69	353.59	215.77	497.0	368.65	423.61	444.72	656.11	327.56	343.89	246.28	409.15	271.48	287.01	476.71	490.14	551.56	323.03	223.41	447.82	217.27	536.45	248.0	497.0	476.71	473.41	295.11	215.77	381.68	463.65	392.44	281.09	220.32	503.95	376.41	438.59	260.38	406.31	236.21	336.79	358.54	246.28	325.29	579.04	373.81	237.86	228.13	303.44	281.09	348.71	277.2	318.57	305.55	281.09	232.94	312.0	521.76	441.64
CYP17A1	0.0	0.0	20.56	21.94	14.89	30.56	11.21	52.82	38.4	30.78	40.07	71.5	48.18	24.99	37.85	23.25	32.82	32.82	13.22	21.63	54.72	35.76	18.29	17.38	47.17	13.52	29.48	16.27	16.51	47.17	29.06	30.34	111.21	19.25	47.84	9.27	94.67	4.1	36.79	9.85	31.9	49.21	19.68	7.17	19.53	58.3	26.86	5.82	75.11	80.57	928.3	43.94	182.55	70.51	140.04	66.18	237.86	228.13	122.64	97.36	94.67	122.64	131.51	165.57	151.22	121.79	291.04	221.86	63.45	171.45	157.68	96.68	236.21	71.0	87.03	35.0	100.83	108.14	81.71	32.13	57.49	253.23	157.68	239.52	187.71	226.54	115.16	131.51	190.34	47.84	78.34	162.14	40.36	141.02	470.14	125.24	96.68	55.1	77.25	92.7	36.01	148.09	366.09	124.37	229.72	95.34	164.42	193.01	239.52	82.87	31.9	25.17	316.37	74.58	162.14
DEPTOR	0.0	0.16	400.71	1008.9	361.04	473.41	202.66	366.09	454.09	111.21	579.04	825.0	389.72	249.73	158.79	312.0	723.08	620.67	307.69	351.14	493.56	305.55	273.37	135.24	624.99	463.65	231.32	915.51	351.14	543.96	579.04	525.39	679.29	497.0	429.54	226.54	211.31	444.72	612.11	336.79	303.44	693.58	316.37	688.78	514.56	301.33	579.04	114.36	995.0	1277.29	2224.63	2255.7	3768.09	7857.29	1709.26	1268.46	1540.37	1977.24	3794.3	4736.79	4607.24	651.58	2209.26	1605.83	5219.6	1617.0	1096.5	2627.46	4419.52	1844.76	1388.16	2367.9	1295.13	2367.9	1015.93	1745.2	1529.73	2855.44	3901.01	3257.52	3820.7	3039.3	3665.02	1259.69	2591.27	3955.48	9151.82	3794.3	1883.54	2090.03	3955.48	1159.07	3372.43	2255.7	1359.57	1259.69	1977.24	1322.37	1561.89	5594.3	1378.57	825.0	1151.06	1529.73	2664.15	1191.69	3060.45	1081.39	3515.68	2004.85	1870.53	1286.18	2645.74	3901.01	2682.69
