	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.EK.A2PM.01A.11R.A18M.07	TCGA.A6.2685.11A.01R.A32Z.07	TCGA.AA.3534.11A.01R.A32Z.07	GTEX.S3XE.1126.SM.4AD4N	GTEX.XGQ4.1226.SM.4AT67	GTEX.UPIC.1726.SM.4IHKG	GTEX.WHWD.1226.SM.4OOS1	GTEX.ZVP2.1526.SM.5NQ82	GTEX.13PL7.2526.SM.5IFGR	GTEX.XMK1.1726.SM.4B64Z	GTEX.TKQ2.1326.SM.4DXT9	GTEX.RM2N.0926.SM.48FD1	GTEX.ZTSS.1126.SM.5985O	GTEX.PX3G.1426.SM.48U1J	GTEX.Q2AH.1226.SM.48TZL	GTEX.12C56.0626.SM.5EGGC	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.LN.A4A2.01A.31R.A260.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
CD27	102.25	8.58	137.14	660.68	567.1	529.06	1066.48	1437.15	2133.97	1397.83	1199.98	961.07	1073.91	559.28	1159.07	2224.63	1447.15	65.26	147.06	9.34	11.04	47.84	47.5	25.17	82.29	0.0	0.22	59.13	6.73	62.56	351.14	76.71	13.83
CD3D	884.29	9.2	341.51	220.32	327.56	444.72	1259.69	1519.15	934.76	624.99	1233.75	1001.93	909.17	435.55	1088.92	1304.15	1233.75	81.71	228.13	8.51	6.16	127.89	55.49	99.43	135.24	0.0	0.21	191.67	35.5	74.58	1208.34	51.35	189.02
CD3E	733.19	8.78	320.8	348.71	571.05	563.18	1407.55	1605.83	1322.37	988.12	1044.52	791.35	981.29	651.58	909.17	1819.35	1674.06	134.3	329.84	24.81	21.78	221.86	104.42	111.99	183.82	0.0	0.35	61.68	156.59	224.97	483.38	80.57	71.5
CD3G	206.94	0.62	81.71	50.98	83.45	108.9	229.72	237.86	202.66	128.79	131.51	119.26	217.27	121.79	146.03	303.44	262.2	18.7	47.5	1.11	5.59	29.27	7.82	12.93	14.45	44.57	447.82	24.99	9.56	11.55	63.0	26.67	2.1
CD48	406.31	20.86	239.52	543.96	642.59	429.54	1685.71	1896.65	1769.57	1313.23	1806.78	1073.91	1059.11	579.04	1191.69	2061.24	1304.15	90.14	201.25	18.43	41.52	90.14	51.35	70.51	189.02	0.0	0.42	1508.65	31.67	214.27	226.54	29.91	23.76
CD5	32.36	0.72	66.18	82.29	122.64	48.87	281.09	248.0	152.28	122.64	183.82	127.0	215.77	120.94	135.24	258.57	336.79	20.71	63.45	2.25	3.79	19.68	10.79	14.78	24.99	0.0	0.09	4.1	23.25	16.27	32.13	12.09	8.71
CD6	77.25	4.54	150.17	194.36	175.07	95.34	493.56	312.0	275.28	191.67	279.14	241.19	353.59	189.02	251.48	395.18	384.34	34.75	145.02	3.53	14.14	88.88	27.05	52.45	50.98	89.51	125.24	5.68	29.27	35.76	78.34	38.95	12.83
CGN	3614.55	9.7	1540.37	1295.13	2119.22	2935.74	4671.57	4152.18	3901.01	5219.6	3212.66	4937.99	4972.34	4388.98	2720.15	4152.18	3372.43	205.5	463.65	14.89	21.16	82.29	117.6	320.8	151.22	0.0	0.56	78.89	74.58	387.02	169.07	255.0	78.34
CLNK	1.01	0.0	2.32	4.28	4.43	3.72	12.45	9.13	5.06	8.13	4.62	6.41	13.03	5.06	9.78	16.51	22.92	2.68	3.66	0.06	0.42	4.98	0.96	0.97	5.92	0.0	0.03	0.0	4.24	1.66	1.38	0.79	0.42
CTD-2330K9.3	4.21	1.36	19.11	24.28	11.13	28.65	37.32	14.78	7.11	28.86	29.91	31.0	7.11	15.11	25.54	4.7	15.91	0.39	6.73	0.0	0.17	0.12	0.2	0.71	0.42	0.0	0.04	1.85	1.95	1.85	0.0	0.0	0.0
CXCR3	285.03	1.83	66.65	78.89	121.79	149.12	141.02	172.65	159.9	159.9	295.11	182.55	153.34	115.97	204.07	217.27	185.11	16.03	56.28	0.87	1.16	12.09	11.55	23.76	20.41	0.0	0.0	8.19	37.32	11.91	244.57	14.45	4.58
CXCR6	65.72	3.92	110.43	67.59	127.0	167.9	116.78	409.15	363.56	429.54	287.01	155.5	163.28	119.26	212.78	620.67	325.29	45.53	57.89	9.27	5.23	75.11	20.86	42.41	21.16	0.0	0.11	22.1	15.56	116.78	102.25	26.86	20.71
CYTH4	44.89	15.0	149.12	283.05	269.6	303.44	651.58	454.09	599.49	376.41	1127.35	551.56	341.51	239.52	473.41	571.05	417.77	106.63	189.02	59.55	88.26	96.01	59.97	131.51	117.6	0.0	0.62	146.03	17.0	59.97	114.36	29.27	20.26
CYTIP	67.59	13.12	142.01	195.72	279.14	190.34	651.58	521.76	842.36	543.96	327.56	206.94	483.38	291.04	275.28	921.88	651.58	34.75	79.45	12.55	17.0	33.06	14.24	27.05	55.1	0.0	0.41	68.07	19.82	46.18	58.3	23.93	18.97
DENND1C	974.5	441.64	941.27	802.41	915.51	902.89	1639.59	1733.13	1561.89	1709.26	1467.37	1378.57	1697.45	1286.18	1119.56	1745.2	1529.73	176.29	358.54	104.42	49.91	106.63	145.02	193.01	231.32	0.0	0.67	248.0	836.53	514.56	728.11	579.04	432.53
DOK3	96.01	65.26	113.56	384.34	299.25	316.37	571.05	525.39	536.45	500.46	629.35	466.88	283.05	285.03	409.15	785.88	483.38	183.82	371.22	113.56	153.34	105.89	135.24	248.0	186.4	0.0	0.53	67.59	14.89	48.87	70.51	28.24	22.59
DPEP3	0.85	0.0	2.86	9.13	15.56	3.06	2.94	14.24	10.71	6.52	4.74	4.94	11.3	2.86	6.26	8.99	15.8	1.23	2.36	0.74	0.0	0.8	0.85	0.0	0.0	0.0	0.25	4.31	0.75	0.18	0.72	0.22	0.0
EPS8L3	2.94	0.0	3103.19	1977.24	5183.54	10084.54	12415.75	12589.08	13586.57	12764.83	12329.98	13492.72	14262.1	9606.86	9474.59	11189.6	13399.51	9.13	25.54	0.0	0.0	0.0	0.0	21.16	0.53	0.0	0.18	0.0	0.0	0.78	0.46	0.0	0.0
F2RL1	3443.31	116.78	323.03	277.2	2255.7	2287.2	3982.99	3820.7	4123.49	4450.27	3325.99	3614.55	4937.99	4095.0	2591.27	4328.55	3146.52	29.06	368.65	90.77	100.83	30.34	25.72	45.85	27.84	0.0	0.35	480.04	301.33	591.22	595.34	660.68	175.07
FAM135B	0.36	0.0	9.56	11.73	14.24	11.73	12.27	23.59	9.41	8.13	27.05	16.27	6.36	8.71	15.45	13.42	7.06	0.0	7.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	1.19	0.92	2.05	1.39	0.31	0.35
FAM78A	11.91	12.74	65.26	111.99	98.73	96.01	154.42	249.73	140.04	161.02	119.26	127.89	193.01	119.26	111.21	376.41	251.48	55.89	90.14	29.48	38.12	38.67	26.86	51.71	39.5	0.0	0.39	90.14	9.7	31.22	18.84	18.43	14.78
FCGRT	384.34	320.8	4328.55	9409.14	7803.01	7382.04	16611.71	13776.25	8078.22	14663.09	13492.72	15607.02	15499.21	14163.58	10084.54	10585.95	16496.96	1923.14	3349.13	551.56	753.83	842.36	842.36	1639.59	988.12	0.0	0.95	2956.17	376.41	1030.12	703.28	559.28	620.67
FMNL1	205.5	31.0	287.01	518.15	457.25	389.72	860.08	961.07	802.41	599.49	791.35	693.58	995.0	532.74	669.92	785.88	967.76	358.54	616.37	218.79	309.83	318.57	229.72	366.09	414.87	0.0	0.85	165.57	106.63	141.02	163.28	73.54	37.05
GZMA	718.08	11.3	450.94	135.24	392.44	915.51	1277.29	2287.2	785.88	1651.0	1378.57	1216.75	287.01	262.2	540.19	1331.57	543.96	75.11	166.73	8.25	14.67	130.6	46.84	74.58	27.05	0.0	0.21	194.36	120.94	124.37	559.28	61.68	63.89
GZMM	275.28	2.29	101.54	72.01	109.66	67.12	218.79	414.87	100.13	102.97	332.14	164.42	148.09	84.04	256.78	217.27	185.11	21.63	43.94	5.96	0.0	17.25	5.96	15.68	26.47	0.0	0.13	6.26	10.96	21.47	224.97	9.06	26.86
HLA-DOA	81.14	8.51	109.66	202.66	281.09	105.15	525.39	629.35	450.94	454.09	376.41	392.44	679.29	151.22	748.61	1340.84	1199.98	96.68	151.22	34.02	32.36	68.07	63.89	58.3	104.42	0.0	0.17	127.89	149.12	117.6	150.17	20.41	30.56
HLA-DPA1	819.3	173.85	3212.66	5076.84	6561.36	4358.66	12589.08	14867.79	11345.82	15499.21	15607.02	6381.92	8538.88	5791.62	20310.37	36106.23	26614.89	3146.52	4575.41	1487.87	1001.93	2240.11	2468.49	1697.45	2739.08	0.0	0.79	10659.59	4836.35	3874.05	2335.28	769.69	2047.0
HLA-DPB1	353.59	193.01	2739.08	4010.71	2997.45	1963.57	9279.58	5441.3	7857.29	10296.45	8538.88	4972.34	5329.3	3901.01	12764.83	26248.46	18052.61	2209.26	2935.74	954.43	884.29	1447.15	1378.57	1286.18	1923.14	0.0	0.68	5517.27	4671.57	3419.52	3190.46	651.58	896.64
HMHA1	256.78	723.08	642.59	981.29	825.0	854.13	1498.22	1340.84	1081.39	1208.34	902.89	1081.39	1313.23	921.88	915.51	1674.06	1359.57	406.31	500.46	185.11	301.33	435.55	197.09	438.59	395.18	0.0	0.96	229.72	279.14	205.5	376.41	146.03	156.59
HRASLS2	85.82	165.57	435.55	35.76	1151.06	1322.37	738.29	941.27	1127.35	1832.01	743.43	473.41	813.63	860.08	140.04	1594.73	412.0	3.76	106.63	0.0	2.53	2.39	0.58	29.91	1.16	0.0	0.29	3.79	22.43	42.11	2.86	18.16	28.65
ICAM3	248.0	414.87	607.87	941.27	616.37	981.29	1359.57	1572.76	1437.15	1268.46	1397.83	1135.2	1159.07	941.27	1135.2	1529.73	1498.22	172.65	236.21	88.26	66.65	122.64	156.59	180.02	264.03	0.0	0.51	279.14	127.89	236.21	318.57	224.97	137.14
IKZF1	36.01	4.62	81.71	170.25	242.88	110.43	497.0	497.0	571.05	327.56	316.37	178.77	356.05	229.72	277.2	591.22	514.56	61.68	140.04	10.08	18.16	55.89	24.46	27.84	68.07	0.0	0.48	46.5	7.11	27.84	41.81	17.77	3.82
IL12RB1	29.48	3.2	47.5	78.34	161.02	107.38	228.13	281.09	273.37	145.02	320.8	217.27	93.35	81.14	215.77	190.34	217.27	27.05	65.26	6.73	9.56	19.53	17.9	32.59	28.04	0.0	0.25	59.13	3.86	43.63	96.01	8.58	5.87
IL2RG	518.15	35.25	1340.84	1096.5	2335.28	1870.53	4802.93	4575.41	4388.98	4038.61	4123.49	5041.77	3665.02	2915.45	3716.2	4328.55	4328.55	258.57	808.0	60.39	72.52	211.31	135.24	435.55	283.05	0.0	0.53	228.13	90.77	197.09	579.04	291.04	144.01
IRF4	15.56	1.97	61.68	334.46	195.72	150.17	890.44	842.36	507.46	400.71	684.02	361.04	194.36	260.38	511.0	312.0	269.6	23.76	43.02	0.78	1.79	12.45	5.5	6.01	17.77	0.0	0.36	5.54	2.36	14.24	84.63	7.0	6.73
KCNA3	4.06	0.0	15.45	45.85	36.53	35.0	134.3	124.37	148.09	71.0	92.7	53.95	60.39	29.7	90.77	70.01	87.03	3.72	9.41	0.89	0.4	2.68	0.93	1.57	3.44	0.0	0.08	0.35	0.0	1.71	7.69	1.28	0.0
KIR2DL4	0.0	0.85	13.72	13.52	15.22	95.34	53.57	78.34	60.82	161.02	31.9	72.01	43.63	58.71	15.56	166.73	36.01	4.39	21.63	0.38	0.0	6.94	0.79	5.32	3.63	0.0	0.36	14.78	15.22	22.43	0.0	11.64	0.0
KLC4	220.32	371.22	1685.71	1628.26	1551.09	1745.2	3060.45	3443.31	2018.8	2796.65	2384.37	2895.31	2537.92	1936.53	1832.01	2664.15	2664.15	329.84	679.29	163.28	281.09	299.25	264.03	351.14	241.19	0.0	0.42	82.29	85.82	281.09	164.42	151.22	106.63
KLHL6	12.55	3.96	37.85	165.57	125.24	137.14	414.87	409.15	536.45	379.04	237.86	156.59	348.71	149.12	214.27	480.04	384.34	26.67	111.99	9.2	21.47	16.63	9.85	19.53	34.02	0.0	0.49	7.88	0.44	14.89	13.62	6.16	1.51
KLRB1	100.83	0.45	105.15	114.36	102.97	100.13	476.71	497.0	325.29	403.5	287.01	224.97	220.32	175.07	277.2	336.79	679.29	14.45	19.68	1.57	1.23	26.86	5.73	15.11	20.11	0.0	0.21	36.79	2.32	34.02	30.56	3.59	1.45
KLRK1	140.04	12.55	124.37	100.13	78.34	152.28	153.34	277.2	242.88	232.94	87.65	165.57	151.22	141.02	105.89	629.35	249.73	53.95	73.03	9.06	7.75	59.55	24.28	35.5	47.84	0.0	0.3	5.15	33.06	38.95	28.86	9.7	8.78
KRT4	3.697379928E7	285.03	0.0	0.0	11.55	3.82	19.25	3.26	4.1	19.53	4.13	21.47	24.46	6.94	7.22	8.06	5.73	1.810644424E7	2263304.65	10.55	0.0	6140819.49	2.276004283E7	3359929.59	3.109113511E7	0.0	0.0	1.236706555E7	2.900905474E7	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7
LAX1	2.25	0.47	23.42	76.17	63.89	46.5	220.32	234.57	198.47	177.53	205.5	78.89	107.38	50.27	139.07	191.67	147.06	18.84	26.86	2.46	4.86	12.64	8.78	5.68	9.78	0.0	0.27	3.44	0.44	5.59	36.01	4.46	0.0
LCK	163.28	25.17	171.45	217.27	264.03	246.28	934.76	1051.79	511.0	400.71	432.53	503.95	547.75	301.33	503.95	878.17	660.68	65.72	215.77	10.63	27.84	98.73	40.64	90.77	112.77	0.0	0.24	16.51	67.59	73.54	194.36	31.67	34.51
LY9	65.72	2.14	52.82	127.89	119.26	96.68	633.73	363.56	271.48	265.87	159.9	170.25	246.28	137.14	214.27	325.29	318.57	13.62	38.67	1.38	2.89	14.56	6.84	6.78	31.67	0.0	0.28	15.8	2.01	23.08	38.4	5.41	2.61
MFNG	66.65	14.35	185.11	392.44	368.65	297.17	460.44	575.03	457.25	438.59	358.54	438.59	457.25	341.51	256.78	775.05	607.87	204.07	234.57	47.17	57.08	124.37	90.14	148.09	162.14	0.0	0.55	208.38	73.03	148.09	90.77	72.52	53.19
MOB3B	100.83	14.03	329.84	246.28	351.14	262.2	483.38	432.53	400.71	521.76	423.61	371.22	476.71	497.0	327.56	409.15	395.18	63.45	130.6	87.65	45.85	70.01	43.94	65.26	43.02	0.0	0.27	64.34	162.14	125.24	73.03	55.1	115.97
MS4A2	20.71	0.0	24.28	73.03	46.84	18.29	105.15	65.72	44.25	44.89	135.24	137.14	49.91	45.21	99.43	86.43	134.3	27.84	29.48	0.0	12.93	57.49	12.27	17.25	16.75	0.0	0.01	12.93	21.94	17.64	7.57	1.83	0.73
P2RY10	8.45	0.35	42.71	68.07	111.99	42.41	198.47	246.28	206.94	105.15	138.1	123.5	234.57	125.24	148.09	193.01	167.9	14.45	49.56	0.99	2.89	10.71	5.59	3.41	28.24	0.0	0.14	8.65	9.93	5.68	8.85	3.89	0.29
PPP1R16B	5.36	1.0	67.12	141.02	237.86	122.64	141.02	251.48	143.01	229.72	185.11	156.59	260.38	135.24	166.73	366.09	420.68	48.87	84.04	9.27	10.0	33.54	25.72	33.78	62.12	0.0	0.32	10.0	39.22	22.43	52.45	16.88	22.75
PRF1	177.53	13.83	83.45	67.12	120.94	201.25	140.04	392.44	429.54	316.37	327.56	206.94	197.09	73.03	154.42	775.05	218.79	54.72	76.17	15.8	19.25	51.35	19.82	52.45	29.06	178.77	146.03	30.56	30.78	40.36	121.79	20.11	46.5
PRR15L	9344.14	3.56	902.89	2720.15	3395.89	4543.8	8305.36	9673.69	7589.61	8078.22	8022.41	7130.55	9215.48	4704.07	5672.41	8022.41	5913.33	30.56	164.42	2.34	0.0	7.17	13.22	64.34	13.93	0.0	0.4	119.26	1.55	291.04	48.87	155.5	9.13
PRSS36	61.25	60.82	74.06	130.6	142.01	212.78	291.04	146.03	171.45	223.41	172.65	297.17	289.02	195.72	124.37	208.38	167.9	65.26	102.25	19.53	33.06	49.56	63.0	77.79	46.18	0.0	0.0	151.22	37.32	87.03	60.82	131.51	46.84
PTK2B	1023.0	56.28	921.88	1143.1	1127.35	1167.14	1977.24	2271.4	2335.28	2061.24	1583.71	1685.71	2004.85	1407.55	1242.34	2417.67	2240.11	547.75	866.07	559.28	559.28	529.06	376.41	559.28	444.72	0.0	0.82	158.79	126.12	532.74	236.21	309.83	234.57
PTPN22	9.93	3.5	71.5	84.63	58.3	70.01	166.73	178.77	118.43	171.45	150.17	111.99	150.17	90.77	81.71	156.59	137.14	22.75	58.3	26.86	10.79	55.89	30.56	22.92	39.5	0.0	0.42	24.46	14.89	28.86	13.42	14.03	9.63
PTPN7	125.24	4.74	85.22	147.06	206.94	183.82	567.1	684.02	583.07	417.77	476.71	403.5	441.64	153.34	376.41	525.39	470.14	72.01	165.57	19.39	29.27	66.18	48.52	71.5	86.43	0.0	0.53	36.79	20.41	33.54	128.79	21.16	7.88
PTPRC	118.43	7.88	275.28	444.72	753.83	457.25	1216.75	2400.97	1561.89	1159.07	1259.69	669.92	1651.0	603.67	954.43	2104.58	1417.35	151.22	348.71	39.5	75.64	158.79	84.04	108.9	187.71	0.0	0.68	318.57	115.16	99.43	191.67	24.63	46.84
PTPRCAP	124.37	38.4	379.04	808.0	796.86	660.68	1628.26	2400.97	1378.57	1508.65	1268.46	1073.91	1407.55	684.02	1073.91	2351.53	1662.49	183.82	444.72	50.27	61.68	157.68	114.36	156.59	346.29	0.0	0.52	21.01	57.49	97.36	346.29	48.52	45.21
RALGPS1	231.32	76.71	277.2	348.71	295.11	353.59	395.18	476.71	368.65	406.31	392.44	373.81	497.0	387.02	420.68	236.21	466.88	125.24	195.72	36.27	55.89	81.71	117.6	108.9	180.02	0.0	0.57	24.11	123.5	97.36	155.5	94.67	53.19
RASAL3	80.57	13.52	128.79	232.94	208.38	145.02	497.0	587.13	381.68	323.03	309.83	395.18	366.09	202.66	343.89	559.28	420.68	108.9	190.34	34.02	39.79	107.38	64.34	115.16	155.5	0.0	0.71	17.9	58.71	53.57	171.45	11.47	16.39
RBP5	71.5	8.71	116.78	229.72	175.07	152.28	536.45	406.31	264.03	166.73	642.59	525.39	265.87	183.82	555.41	423.61	371.22	112.77	145.02	21.94	55.89	49.21	60.82	50.27	111.21	0.0	0.27	33.06	30.12	17.64	44.57	7.51	5.23
RPS6KA1	1286.18	332.14	1397.83	1407.55	1745.2	2319.15	3443.31	3467.27	3235.01	3589.58	3235.01	3257.52	3768.09	2956.17	2193.99	3419.52	3103.19	198.47	1427.22	624.99	432.53	312.0	89.51	490.14	134.3	0.0	0.64	363.56	314.17	473.41	373.81	420.68	356.05
SCUBE1	1.5	1.73	34.75	89.51	42.11	59.55	99.43	145.02	98.04	93.35	86.43	102.97	81.71	76.71	90.77	88.26	183.82	102.97	119.26	1.62	6.73	27.64	13.42	18.03	57.49	0.0	0.15	4.66	17.9	4.06	11.3	2.46	9.56
SECTM1	764.36	43.32	3124.78	1733.13	2468.49	4181.07	4010.71	3103.19	3419.52	5831.91	1769.57	7032.37	7081.29	6699.25	2417.67	11189.6	660.68	295.11	791.35	297.17	71.5	155.5	255.0	543.96	72.52	0.0	0.45	791.35	438.59	872.1	612.11	1551.09	356.05
SHROOM1	166.73	87.03	896.64	890.44	387.02	753.83	1457.23	1199.98	642.59	1167.14	890.44	1313.23	1127.35	759.08	718.08	1081.39	708.18	159.9	212.78	81.71	89.51	120.94	136.19	151.22	187.71	178.77	212.78	28.65	27.84	96.01	31.9	45.53	39.22
SIRPG	69.52	0.95	39.5	68.07	109.66	138.1	299.25	269.6	182.55	155.5	139.07	169.07	149.12	80.57	139.07	389.72	239.52	27.44	63.0	1.69	2.61	30.34	16.03	15.11	44.25	0.0	0.1	2.76	26.28	55.89	61.25	22.59	8.25
SIT1	182.55	4.5	44.89	123.5	114.36	71.5	346.29	460.44	202.66	241.19	260.38	228.13	285.03	115.97	269.6	325.29	301.33	28.24	83.45	1.62	2.73	22.1	11.21	10.79	57.08	0.0	0.1	44.57	6.78	16.39	193.01	5.5	3.5
SLA2	14.35	2.12	45.53	40.36	40.36	43.32	82.87	104.42	76.17	83.45	90.77	58.3	71.5	41.52	68.55	95.34	96.68	16.39	35.25	6.46	3.0	21.16	9.85	16.27	18.16	0.0	0.2	7.34	6.84	23.42	22.92	4.54	8.06
SLAMF1	36.79	0.93	47.84	61.25	47.84	44.25	128.79	180.02	260.38	120.1	217.27	140.04	85.82	64.34	161.02	108.14	173.85	15.8	30.12	5.02	1.87	17.51	7.51	12.27	20.26	0.0	0.21	9.41	0.13	12.55	24.28	4.66	1.0
SLAMF6	18.7	0.74	34.26	83.45	141.02	87.65	239.52	248.0	293.07	253.23	151.22	96.68	234.57	154.42	102.25	392.44	346.29	30.78	53.19	2.92	3.41	24.46	9.48	10.79	30.34	0.0	0.33	7.82	1.71	44.57	25.35	10.47	4.82
SLC25A53	53.95	30.78	74.58	84.04	105.15	140.04	163.28	214.27	115.16	105.15	130.6	96.01	126.12	84.04	133.36	103.69	118.43	55.1	84.04	53.95	59.13	52.82	66.65	56.28	67.12	0.0	0.2	81.71	41.52	78.89	66.65	39.5	22.75
SLC35G1	16.88	45.85	185.11	215.77	193.01	194.36	493.56	299.25	356.05	392.44	277.2	332.14	483.38	559.28	251.48	346.29	220.32	38.95	84.04	40.64	59.97	46.84	31.9	43.32	29.06	70.51	248.0	64.8	21.63	19.39	8.92	20.26	16.51
SLC44A4	73.54	1.51	4298.64	2956.17	10225.32	14262.1	19214.73	23656.34	23492.92	22692.63	21320.18	19754.96	22535.88	15715.58	13215.02	21919.61	18431.96	23.93	81.71	3.59	0.21	1.39	0.0	34.26	3.86	0.0	0.21	16.27	0.0	29.48	4.43	14.78	9.78
