	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.A4.7828.01A.11R.2139.07	GTEX.1399R.1226.SM.5P9GF	TCGA.38.4625.01A.01R.1206.07.1	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2Q4.01A.21R.A18C.07	TCGA.J8.A3O2.01A.11R.A23N.07	TCGA.EM.A1CU.01A.11R.A13Y.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.BJ.A0Z9.01A.11R.A10U.07	TCGA.EL.A3H4.01A.11R.A206.07	TCGA.ET.A3BT.01A.11R.A19O.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.FY.A3RA.01A.11R.A220.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.133LE.0326.SM.5P9G4	GTEX.13YAN.0926.SM.5O9C3	GTEX.ZAB5.0726.SM.5P9JG	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.13NZ9.1126.SM.5MR37	GTEX.139YR.1226.SM.5IFEU	GTEX.13FHO.0926.SM.5N9EW	GTEX.WYVS.0326.SM.3NM9V	GTEX.13U4I.0526.SM.5LU59	GTEX.132AR.1126.SM.5P9GA	GTEX.QMRM.0726.SM.2I5G8	GTEX.11LCK.0526.SM.5A5M9	GTEX.11TT1.1126.SM.5P9GV	GTEX.Y8E4.0126.SM.4VBQ2	TCGA.BK.A13B.01A.51R.A22K.07
ASXL3	0.66	43.94	0.39	24.11	21.94	0.25	0.0	1.41	1.11	1.87	7.88	0.78	2.41	4.28	1.08	0.78	0.0	0.79	0.0	1.13	3.26	0.0	5.73	15.34	28.04	82.29	15.45	138.1	34.51	61.25	16.63	52.08	50.27	63.0	38.4	53.95	10.39	111.99	0.39
ATP2C2	612.11	1417.35	232.94	5.19	2.25	0.32	16.88	44.57	11.38	28.45	68.07	21.63	9.7	16.27	26.28	10.71	52.45	66.65	14.67	10.63	30.34	54.33	59.97	72.01	92.05	587.13	260.38	583.07	368.65	127.0	884.29	921.88	915.51	947.83	591.22	307.69	158.79	2163.77	293.07
ATP8B4	23.42	47.5	53.19	24.11	39.79	0.41	21.47	19.39	24.81	19.39	45.85	19.11	24.11	14.89	21.94	26.28	27.64	9.13	19.11	24.81	20.56	18.56	60.82	42.71	84.04	111.99	24.63	49.21	77.79	92.7	90.14	117.6	120.1	78.89	51.35	41.81	17.64	70.51	24.99
C10orf71	0.0	1.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.09	0.07	0.0	1.69	0.96	0.56	0.77	0.09	7.82	0.32	0.0	0.09	0.0
C1QTNF4	2.61	74.58	1.89	0.41	4.74	0.33	1.51	0.99	3.96	4.21	49.56	3.23	1.89	0.0	40.07	1.48	3.69	1.97	3.08	4.5	16.27	0.0	4.98	18.56	20.11	60.82	14.67	26.47	29.06	7.69	42.41	32.82	100.83	9.41	30.56	42.71	9.56	15.45	2.39
C1QTNF7	23.08	1487.87	11.64	37.59	17.77	0.0	2.18	8.45	7.4	7.22	19.97	3.14	5.73	29.7	4.9	12.27	2.14	10.88	5.92	13.52	14.89	2.73	27.44	28.45	40.36	228.13	55.49	58.71	102.25	115.16	72.52	135.24	164.42	57.49	64.8	132.44	19.82	91.41	2.76
C5orf28	309.83	400.71	201.25	241.19	68.55	0.43	356.05	194.36	275.28	312.0	271.48	246.28	389.72	253.23	237.86	260.38	348.71	307.69	265.87	241.19	197.09	476.71	312.0	563.18	656.11	780.44	1023.0	961.07	503.95	642.59	447.82	708.18	733.19	486.75	759.08	1051.79	525.39	902.89	147.06
C7	73.54	72.52	56.68	327.56	4419.52	0.97	79.45	320.8	82.29	150.17	1250.98	45.53	279.14	514.56	9.06	808.0	66.18	68.55	84.63	651.58	514.56	130.6	1870.53	2303.12	738.29	16611.71	3768.09	934.76	3146.52	32540.65	9540.5	5183.54	14361.31	2777.33	6121.9	2351.53	669.92	7695.57	6.73
C9orf156	157.68	318.57	183.82	239.52	164.42	0.0	273.37	283.05	334.46	307.69	361.04	221.86	273.37	339.14	265.87	285.03	236.21	242.88	241.19	264.03	267.73	305.55	327.56	381.68	612.11	381.68	559.28	567.1	376.41	470.14	507.46	395.18	591.22	403.5	723.08	473.41	363.56	470.14	172.65
CACNA2D4	50.63	148.09	248.0	58.71	29.27	0.51	38.12	52.08	42.41	32.13	85.82	52.45	40.64	15.22	57.89	33.78	36.79	35.0	37.05	41.22	59.55	31.67	70.01	120.1	114.36	92.05	67.12	56.28	103.69	63.45	124.37	54.33	163.28	37.85	57.89	105.15	44.25	69.52	31.67
CCDC36	3.35	20.71	1.11	6.31	0.33	0.2	4.17	6.11	3.92	2.39	6.11	4.03	3.11	3.59	4.58	4.46	2.78	2.84	3.06	4.43	3.86	3.92	7.34	16.27	10.47	36.27	14.14	17.51	17.9	25.17	18.56	32.59	42.11	18.97	21.94	23.59	16.63	10.08	0.48
CCDC85A	1.99	24.11	13.12	38.4	2.78	0.01	41.81	28.65	16.75	49.91	92.7	107.38	27.05	30.12	36.01	43.94	40.93	132.44	26.28	23.08	35.5	28.45	61.68	105.15	220.32	226.54	125.24	221.86	198.47	291.04	197.09	224.97	112.77	599.49	211.31	126.12	101.54	72.52	2.73
CDADC1	199.85	218.79	190.34	189.02	208.38	0.16	138.1	187.71	209.84	148.09	224.97	165.57	171.45	178.77	246.28	165.57	102.97	175.07	165.57	161.02	209.84	226.54	169.07	381.68	361.04	256.78	348.71	466.88	226.54	316.37	426.57	412.0	260.38	271.48	312.0	476.71	217.27	248.0	214.27
CDC42EP2	167.9	237.86	400.71	371.22	48.87	0.33	275.28	260.38	246.28	246.28	275.28	309.83	312.0	336.79	132.44	211.31	94.01	140.04	204.07	248.0	579.04	106.63	277.2	463.65	514.56	470.14	483.38	426.57	490.14	450.94	571.05	620.67	878.17	808.0	521.76	379.04	1183.45	679.29	209.84
CDON	85.22	33.3	33.78	28.65	40.93	0.04	40.93	61.68	61.68	50.98	108.9	60.39	82.29	74.06	54.72	72.01	43.32	63.45	46.84	52.08	64.8	63.0	127.89	356.05	435.55	764.36	201.25	860.08	215.77	1487.87	208.38	684.02	629.35	780.44	1721.16	525.39	595.34	718.08	20.11
CDRT1	0.0	39.79	0.75	0.0	3.72	0.0	1.83	1.91	0.0	1.5	9.93	0.0	0.19	0.51	8.32	1.13	0.82	0.0	2.25	0.0	8.51	2.01	0.0	17.13	11.64	24.99	15.0	0.0	21.94	0.0	22.43	21.01	29.06	0.0	8.71	24.46	30.12	43.32	1.69
CENPC	119.26	189.02	175.07	132.44	84.63	0.26	159.9	214.27	236.21	224.97	206.94	194.36	193.01	271.48	163.28	202.66	102.97	264.03	155.5	212.78	161.02	177.53	215.77	193.01	356.05	343.89	265.87	348.71	258.57	323.03	277.2	392.44	366.09	228.13	260.38	287.01	195.72	384.34	102.25
CHRD	22.1	3768.09	39.5	142.01	358.54	1.0	13.72	53.57	59.97	51.71	94.01	20.86	46.5	50.98	47.17	79.45	18.16	22.59	70.01	79.45	127.89	42.71	116.78	156.59	199.85	163.28	69.03	96.68	220.32	102.97	299.25	146.03	217.27	241.19	81.71	114.36	59.55	47.17	9.41
CHRDL1	17.77	22.59	1639.59	2.23	26.86	4543.8	4.1	23.59	5.68	11.82	136.19	16.27	8.51	26.47	6.31	12.74	50.27	18.43	11.73	22.1	94.67	8.99	106.63	409.15	718.08	4639.29	1242.34	361.04	450.94	1407.55	2090.03	775.05	3168.41	138.1	503.95	2537.92	507.46	825.0	9.7
CLEC4G	0.0	2.05	1.48	0.0	10014.87	0.24	6.01	5.41	0.0	5.41	12.18	6.41	3.38	2.34	1.69	2.92	3.5	3.03	3.29	2.89	5.5	0.75	3.5	5.23	23.42	4.78	6.21	4.94	7.82	218.79	26.28	7.63	33.06	65.26	50.27	1.93	4.54	1.97	0.0
CLU	1472666.19	2729110.67	1085552.95	894051.48	1383603.33	1.25	334117.42	370726.6	558035.51	419990.32	397335.0	524287.0	672883.8	641014.63	527933.71	598087.73	654483.73	402881.61	348306.01	938500.81	589853.66	397335.0	736332.6	687022.54	89523.81	76330.98	736332.6	691801.16	154794.07	179048.63	141455.6	110983.6	419990.32	682276.92	273275.14	244588.0	1131651.83	453265.5	355624.68
CPZ	53.19	4419.52	141.02	8.85	7.34	0.23	153.34	12.45	59.97	356.05	420.68	624.99	224.97	164.42	206.94	133.36	890.44	256.78	186.4	346.29	229.72	135.24	215.77	599.49	299.25	267.73	341.51	612.11	884.29	571.05	3280.18	285.03	2935.74	212.78	934.76	444.72	63.89	145.02	18.43
CRTAC1	4.5	211.31	25.72	201.25	17.25	0.0	42.41	139.07	2.81	72.01	77.79	23.42	10.08	22.59	19.25	21.78	49.91	17.38	82.29	48.87	31.67	44.89	31.45	251.48	507.46	172.65	466.88	251.48	64.34	397.93	249.73	92.05	543.96	718.08	73.03	201.25	226.54	406.31	2.48
CYP27A1	100.13	3349.13	221.86	392.44	37901.36	0.52	178.77	248.0	120.94	169.07	318.57	215.77	262.2	93.35	157.68	159.9	309.83	163.28	167.9	166.73	226.54	117.6	320.8	536.45	547.75	896.64	616.37	180.02	599.49	409.15	1167.14	941.27	1477.58	748.61	392.44	540.19	269.6	423.61	368.65
CYP27C1	0.38	21.94	2.18	2.97	1.66	0.21	0.0	0.0	0.0	0.0	1.14	0.73	0.72	1.14	0.69	3.17	0.0	1.17	1.1	0.73	1.48	1.11	1.14	2.63	4.28	3.32	3.38	1.14	0.89	1.27	1.64	2.25	5.54	0.78	0.75	2.76	2.03	0.53	0.0
CYTH3	120.1	642.59	314.17	267.73	44.57	0.71	209.84	239.52	299.25	253.23	450.94	265.87	307.69	323.03	351.14	246.28	226.54	269.6	277.2	285.03	376.41	314.17	457.25	941.27	674.59	1216.75	1322.37	633.73	825.0	1359.57	813.63	981.29	1331.57	728.11	1167.14	1250.98	974.5	507.46	59.13
DACT1	55.1	3665.02	39.22	143.01	48.87	0.45	89.51	65.26	36.01	59.97	194.36	139.07	41.22	49.91	54.33	49.21	17.13	91.41	49.21	43.32	180.02	37.59	76.71	151.22	426.57	974.5	141.02	231.32	327.56	441.64	447.82	563.18	633.73	890.44	256.78	239.52	107.38	237.86	13.83
DCAF5	476.71	1096.5	703.28	514.56	444.72	0.73	480.04	450.94	486.75	571.05	563.18	624.99	483.38	665.29	559.28	674.59	532.74	642.59	507.46	579.04	547.75	579.04	656.11	693.58	842.36	785.88	607.87	825.0	825.0	612.11	1096.5	819.3	819.3	638.15	759.08	780.44	571.05	660.68	318.57
DIO3	3.14	381.68	0.0	3.35	2.66	0.39	0.0	1.85	2.51	0.0	31.9	0.0	0.0	1.93	0.0	1.3	1.93	1.31	15.68	3.86	8.25	1.27	55.1	73.54	13.93	46.5	154.42	47.84	18.84	53.19	50.27	69.52	68.07	52.82	28.65	51.71	57.89	15.22	1.35
DTWD1	348.71	1651.0	371.22	490.14	277.2	0.56	497.0	417.77	423.61	444.72	651.58	463.65	511.0	507.46	486.75	514.56	392.44	435.55	435.55	426.57	447.82	480.04	532.74	616.37	819.3	928.3	551.56	708.18	575.03	860.08	733.19	1066.48	1096.5	974.5	551.56	583.07	624.99	1023.0	583.07
DUSP22	353.59	995.0	603.67	769.69	466.88	0.93	551.56	497.0	497.0	688.78	759.08	633.73	412.0	674.59	595.34	624.99	718.08	571.05	620.67	529.06	642.59	796.86	764.36	825.0	1233.75	941.27	780.44	647.07	1044.52	1199.98	1498.22	1167.14	1331.57	1199.98	1030.12	896.64	723.08	620.67	981.29
EGR1	1059.11	1295.13	947.83	28525.2	2224.63	1477.58	1096.5	1225.22	1857.6	1119.56	5183.54	177.53	2032.85	3349.13	2701.35	2335.28	1001.93	1023.0	921.88	2047.0	1923.14	1561.89	2209.26	6935.54	7857.29	15934.98	14867.79	2104.58	1551.09	11992.79	7485.11	26614.89	12076.21	72715.74	10659.59	20310.37	4769.75	6037.61	1313.23
ELMO1	130.6	723.08	373.81	529.06	507.46	0.59	120.94	327.56	198.47	204.07	454.09	239.52	329.84	228.13	148.09	146.03	141.02	283.05	154.42	195.72	264.03	108.14	438.59	1963.57	2271.4	633.73	759.08	5517.27	1216.75	1088.92	738.29	1397.83	902.89	518.15	1519.15	1199.98	896.64	314.17	100.83
EMILIN1	444.72	450.94	283.05	299.25	429.54	1.04	75.64	155.5	136.19	140.04	400.71	94.01	373.81	379.04	547.75	486.75	159.9	106.63	217.27	314.17	441.64	66.65	373.81	1304.15	624.99	1225.22	518.15	129.69	769.69	981.29	1044.52	947.83	1923.14	1304.15	688.78	457.25	1572.76	234.57	101.54
EPC1	417.77	567.1	221.86	297.17	141.02	507.46	387.02	379.04	507.46	400.71	583.07	417.77	426.57	493.56	457.25	463.65	265.87	356.05	295.11	503.95	305.55	368.65	579.04	647.07	860.08	954.43	651.58	743.43	728.11	616.37	759.08	764.36	830.75	764.36	748.61	825.0	470.14	769.69	175.07
ERICH1	161.02	297.17	406.31	406.31	95.34	0.84	297.17	255.0	231.32	332.14	503.95	412.0	291.04	320.8	361.04	279.14	285.03	361.04	265.87	283.05	426.57	366.09	417.77	480.04	532.74	567.1	486.75	473.41	507.46	480.04	620.67	607.87	669.92	412.0	429.54	571.05	397.93	511.0	287.01
F10	27.05	5594.3	11.82	41.22	11345.82	0.4	1.53	25.54	13.22	16.51	46.84	2.39	16.15	10.96	4.28	21.16	9.85	0.0	12.64	17.38	32.59	7.63	36.01	91.41	93.35	500.46	167.9	115.16	148.09	167.9	140.04	150.17	507.46	45.85	121.79	373.81	117.6	157.68	3.17
FAM126B	41.52	64.34	114.36	65.26	43.94	46.18	67.12	64.8	84.63	69.03	73.03	60.82	83.45	105.15	85.82	104.42	55.1	94.01	60.39	76.17	57.49	58.71	92.05	122.64	197.09	190.34	142.01	159.9	132.44	149.12	150.17	181.28	150.17	101.54	111.99	151.22	87.65	186.4	46.18
FAM180B	4.21	1.39	0.73	0.0	1.85	0.0	0.0	2.03	0.47	0.0	26.47	0.0	7.51	0.78	0.0	0.78	0.49	0.0	4.62	0.48	13.72	0.2	13.52	16.88	24.63	312.0	119.26	12.93	53.57	100.13	171.45	154.42	271.48	1.2	132.44	158.79	96.68	13.12	0.0
FAM65A	1088.92	909.17	988.12	954.43	363.56	0.91	381.68	612.11	507.46	633.73	638.15	733.19	420.68	642.59	819.3	738.29	633.73	934.76	536.45	599.49	909.17	559.28	665.29	1151.06	1001.93	1175.27	947.83	679.29	1359.57	902.89	1104.13	967.76	1350.18	1286.18	928.3	961.07	1023.0	1037.29	177.53
FBLN2	165.57	6792.79	60.82	316.37	279.14	108.9	96.68	361.04	177.53	273.37	559.28	194.36	100.13	325.29	116.78	366.09	156.59	241.19	312.0	476.71	500.46	283.05	633.73	1081.39	518.15	3874.05	1233.75	486.75	728.11	1794.29	1662.49	915.51	2163.77	660.68	2335.28	1674.06	1583.71	343.89	15.56
GARNL3	34.26	120.94	85.82	112.77	84.63	0.26	45.85	77.25	98.04	76.17	115.97	113.56	99.43	134.3	130.6	79.45	63.45	73.03	56.68	146.03	98.04	82.29	154.42	180.02	297.17	633.73	149.12	325.29	353.59	201.25	262.2	279.14	343.89	224.97	285.03	239.52	186.4	497.0	51.35
GFPT2	74.58	183.82	63.0	165.57	8.51	0.53	43.63	21.32	26.1	36.53	157.68	95.34	33.54	71.0	20.26	58.71	65.26	66.65	72.52	47.5	172.65	84.63	136.19	162.14	295.11	126.12	201.25	60.39	164.42	142.01	842.36	293.07	435.55	497.0	165.57	351.14	190.34	262.2	5.96
GFRA1	7.11	31.9	3.66	15.11	3768.09	37.85	0.0	1.58	0.0	3.26	15.91	0.0	2.36	3.53	1.57	2.43	0.0	7.57	2.32	6.62	5.73	1.62	10.96	39.5	32.36	165.57	127.0	48.18	101.54	89.51	107.38	57.49	117.6	70.01	38.4	75.11	8.38	66.18	0.58
GLT8D2	121.79	1037.29	860.08	169.07	40.93	0.28	17.9	128.79	44.89	69.03	251.48	39.22	171.45	103.69	73.54	94.01	51.35	67.59	64.8	100.13	138.1	43.32	182.55	607.87	708.18	1551.09	665.29	1950.0	733.19	1963.57	1467.37	1199.98	2997.45	591.22	941.27	902.89	327.56	1322.37	88.26
GOLGA8H	3.03	10.0	2.94	5.19	1.73	0.38	15.91	5.77	6.31	10.24	10.71	9.93	4.78	9.13	12.09	10.39	8.85	10.63	3.11	9.85	6.57	8.58	24.28	43.02	52.45	66.18	22.75	60.39	38.67	36.79	47.84	60.82	80.57	19.53	28.65	59.97	33.06	81.71	0.0
GP5	0.33	2.97	0.73	2.2	0.87	0.0	0.89	0.0	0.35	2.14	1.11	4.13	0.35	1.35	0.09	0.61	0.37	0.91	0.57	1.1	1.04	0.09	2.58	10.47	6.21	10.79	7.82	3.96	7.63	16.03	3.47	9.41	12.27	16.27	8.25	5.28	2.61	4.24	0.29
GPATCH2L	218.79	84.63	283.05	175.07	66.65	0.48	124.37	98.73	139.07	177.53	186.4	171.45	120.1	221.86	182.55	224.97	155.5	153.34	98.04	125.24	163.28	215.77	202.66	260.38	387.02	277.2	312.0	277.2	237.86	275.28	336.79	339.14	293.07	275.28	366.09	260.38	231.32	214.27	105.89
GPC3	28.24	35.76	7.57	163.28	339.14	0.93	4.39	14.78	7.17	8.51	64.8	8.25	15.91	6.52	6.57	14.45	3.35	8.99	7.46	15.11	64.34	17.51	69.03	114.36	242.88	2591.27	525.39	187.71	152.28	356.05	493.56	633.73	651.58	183.82	567.1	1225.22	591.22	808.0	73.54
GPM6A	0.69	119.26	12.09	44.57	208.38	0.0	12.18	54.72	10.31	9.63	46.18	12.09	20.26	13.52	30.34	23.42	10.63	11.73	16.03	10.55	28.45	33.78	21.16	73.03	135.24	555.41	571.05	406.31	155.5	343.89	232.94	193.01	327.56	115.97	723.08	518.15	137.14	1572.76	1.6
GPR123	0.0	142.01	0.0	0.0	8.78	0.0	0.0	4.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	3.06	1.6	2.05	0.48	2.05	0.0	1.27	2.2	1.1	3.92	0.97	1.66	4.39	0.12	0.48	0.24
GPR182	2.05	3.2	0.37	11.3	248.0	0.06	0.0	0.0	1.35	2.97	1.89	1.87	1.35	2.36	0.0	0.0	0.88	0.89	0.0	0.0	1.33	0.0	8.13	13.72	17.64	66.18	13.03	16.03	29.91	57.08	19.68	24.99	21.94	19.25	41.52	21.63	7.34	25.72	0.22
HCFC2	99.43	133.36	146.03	122.64	78.34	0.43	89.51	74.58	129.69	92.05	135.24	91.41	141.02	156.59	105.89	143.01	100.83	211.31	85.82	78.89	93.35	120.1	138.1	157.68	249.73	178.77	218.79	195.72	146.03	182.55	170.25	241.19	199.85	90.14	182.55	224.97	130.6	173.85	55.1
HCK	102.25	309.83	267.73	208.38	397.93	0.34	113.56	67.12	72.52	126.12	181.28	167.9	104.42	116.78	94.67	78.34	199.85	55.1	166.73	70.51	105.15	51.71	206.94	325.29	186.4	181.28	232.94	82.29	189.02	642.59	303.44	318.57	497.0	226.54	273.37	124.37	61.25	159.9	110.43
HIST1H4C	0.0	0.0	2.14	3.29	2.73	0.15	1.57	0.0	0.0	0.0	3.82	5.87	7.46	6.21	3.2	0.0	2.63	1.57	0.0	0.0	5.87	0.0	4.13	16.39	17.51	6.67	0.0	0.0	17.13	7.63	16.03	43.32	36.27	36.79	0.0	7.94	0.0	0.0	9.27
HSD17B3	2.92	341.51	6.52	10.08	28.45	0.79	6.06	18.03	11.47	12.18	34.75	20.56	9.85	11.21	15.34	5.32	11.3	5.45	11.82	11.82	18.7	7.57	27.64	53.57	201.25	96.68	35.25	36.53	85.82	22.43	94.67	175.07	223.41	44.25	57.08	182.55	45.53	384.34	5.45
IL2	0.0	8.65	1.08	1.85	0.0	0.0	0.0	0.0	0.0	0.78	5.45	0.0	0.0	0.0	0.97	0.0	0.0	0.0	0.0	0.0	0.0	1.03	0.0	0.0	12.09	5.41	1.77	6.11	6.62	3.29	2.78	3.59	10.96	3.32	3.26	3.59	0.0	3.29	0.0
IL33	99.43	1685.71	18.97	269.6	514.56	0.21	49.21	60.82	64.34	76.17	205.5	104.42	120.1	42.71	55.1	135.24	55.89	61.68	51.71	178.77	122.64	63.0	111.21	392.44	176.29	878.17	497.0	255.0	435.55	759.08	1208.34	743.43	928.3	366.09	392.44	253.23	231.32	559.28	616.37
KCNA1	1.23	1.11	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	10.71	0.0	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0	3.2	0.0	2.81	14.03	92.7	43.02	36.27	68.55	28.65	50.63	3.92	52.08	96.01	7.0	27.25	9.06	34.75	73.03	0.0
KCTD16	0.6	4.46	0.69	3.2	0.0	0.0	0.25	0.87	0.21	0.49	2.36	13.93	0.21	7.51	0.65	0.96	0.0	3.41	0.0	0.71	5.45	1.38	4.66	7.11	34.26	24.63	17.13	28.86	14.45	17.51	14.89	38.67	28.04	8.78	29.48	15.45	7.57	34.26	0.31
KIAA1377	7.11	154.42	80.57	65.72	2.14	56.68	49.21	64.34	93.35	56.68	96.01	46.5	62.12	82.87	57.08	95.34	33.78	65.26	44.89	75.11	73.03	67.59	94.67	100.13	171.45	182.55	106.63	127.0	126.12	77.25	148.09	124.37	140.04	138.1	81.14	116.78	77.25	118.43	15.34
KIAA1755	28.45	371.22	52.08	9.34	21.47	0.21	5.32	8.25	10.47	26.47	56.68	52.45	11.91	72.01	4.39	28.45	9.34	12.18	23.93	24.99	27.44	4.54	98.04	27.64	19.53	142.01	32.13	31.45	139.07	54.33	199.85	77.25	249.73	54.33	129.69	31.9	3.03	41.52	7.17
