	TCGA.KL.8342.01A.11R.2315.07	TCGA.KO.8414.01A.11R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.N7MS.1626.SM.3LK5F	TCGA.A3.3328.01A.01R.0864.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3440.01A.02R.1277.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.DW.5561.01A.01R.1592.07	GTEX.1497J.0726.SM.5Q5D1	TCGA.38.4625.01A.01R.1206.07	TCGA.33.4589.01A.01R.1443.07	TCGA.EM.A2OV.01A.11R.A206.07	TCGA.FY.A3TY.11A.12R.A22U.07	GTEX.W5X1.0426.SM.3GILB	GTEX.11NSD.0126.SM.5987F	GTEX.13U4I.0526.SM.5LU59	GTEX.12WSD.0926.SM.5GCNL	GTEX.13112.0326.SM.5P9IW
SART3	426.57	454.09	406.31	224.97	483.38	346.29	162.14	450.94	361.04	65.72	551.56	183.82	0.0	158.79	490.14	764.36	748.61	723.08	753.83	775.05	764.36
SETDB1	269.6	287.01	373.81	244.57	303.44	329.84	187.71	293.07	409.15	177.53	543.96	277.2	0.0	265.87	497.0	878.17	941.27	713.11	780.44	890.44	748.61
SF3B1	1991.0	1733.13	3349.13	1359.57	1963.57	1467.37	1119.56	2303.12	3955.48	1857.6	7537.18	1857.6	0.0	2468.49	3168.41	5366.37	6471.02	4736.79	5006.93	4903.87	4903.87
SHC2	1015.93	119.26	376.41	164.42	28.45	25.91	148.09	211.31	361.04	20.11	1143.1	429.54	0.0	16.88	1331.57	921.88	463.65	1208.34	902.89	1030.12	1044.52
SLC25A27	165.57	146.03	343.89	48.18	373.81	106.63	22.92	144.01	318.57	7.4	1233.75	28.86	0.0	6.06	289.02	1794.29	1594.73	796.86	775.05	1594.73	813.63
SMAD9	36.53	6.36	693.58	21.16	14.45	320.8	9.34	4.17	57.08	3.17	665.29	23.59	0.0	3.03	483.38	796.86	1037.29	591.22	688.78	708.18	514.56
SMG1	134.3	120.94	249.73	88.26	180.02	178.77	43.32	205.5	136.19	9.06	320.8	55.89	0.0	36.53	316.37	579.04	718.08	381.68	334.46	397.93	395.18
STX2	34.02	88.88	373.81	121.79	94.01	140.04	236.21	64.8	242.88	19.68	348.71	139.07	0.0	102.25	189.02	316.37	277.2	164.42	293.07	318.57	389.72
TAS2R10	1.62	4.13	0.0	1.77	3.99	4.1	1.51	0.78	2.84	0.0	9.2	0.0	0.0	0.0	6.36	17.25	4.31	5.96	8.19	4.58	5.23
TCTE1	0.0	0.39	1.2	0.91	1.64	0.82	0.75	1.13	2.1	0.0	2.71	0.67	0.0	0.0	2.46	1.66	12.0	1.69	7.28	6.89	10.71
