	TCGA.AA.3712.01A.21R.1723.07	TCGA.L5.A8NM.01A.11R.A37I.31	TCGA.L5.A43E.01A.11R.A24K.31	TCGA.L5.A4OG.01A.11R.A260.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.LN.A49O.01A.11R.A24K.31	TCGA.R6.A8WC.01A.11R.A37I.31	GTEX.13O61.1226.SM.5KM21	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZDYS.0426.SM.5IJEQ	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.6802.01A.11R.1884.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.VQ.AA69.01A.11R.A414.31	TCGA.VQ.A94T.01A.11R.A414.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.13FH7.1026.SM.5IJGF
CCDC101	521.76	480.04	450.94	400.71	269.6	387.02	387.02	1037.29	0.0	0.19	1313.23	620.67	525.39	571.05	426.57	309.83	723.08	361.04	343.89	400.71	713.11	836.53	669.92	607.87	438.59	909.17	902.89	813.63	896.64	1037.29	775.05
CCDC107	536.45	708.18	693.58	332.14	540.19	476.71	376.41	3874.05	0.0	0.82	1662.49	1183.45	819.3	1427.22	981.29	866.07	1104.13	299.25	947.83	1001.93	2090.03	1674.06	2032.85	1583.71	1519.15	2119.22	2075.59	3039.3	1909.85	2319.15	1832.01
CCDC11	8.0	14.45	6.46	3.47	4.66	4.78	5.15	19.97	0.0	0.0	117.6	11.64	14.45	2.16	10.79	5.28	29.91	5.77	2.25	10.16	5.11	8.06	7.11	5.11	5.41	11.47	14.67	16.27	23.25	9.56	6.31
CCDC181	1.31	1.33	1.77	38.95	1.81	1.08	1.04	62.12	0.0	0.0	123.5	9.06	6.46	10.55	3.86	4.9	5.5	1.22	4.86	8.65	13.83	5.41	18.43	25.54	8.78	24.28	12.09	17.38	30.78	33.3	9.06
CCL14	28.86	43.94	57.08	49.56	57.89	0.0	44.89	1583.71	0.0	0.04	6294.04	796.86	51.71	688.78	38.95	73.54	232.94	7.22	1.79	108.14	1242.34	457.25	872.1	343.89	412.0	2104.58	1697.45	4704.07	2645.74	3372.43	7966.99
CHST8	0.0	1.71	0.0	1.07	1.07	4.03	1.01	9.27	0.0	0.2	3.32	14.67	6.89	7.17	1.6	0.93	34.26	0.0	2.29	22.43	5.82	16.03	6.01	6.46	5.02	28.65	12.27	3.86	12.83	31.0	10.63
CLDN5	76.71	124.37	119.26	187.71	135.24	159.9	51.35	1369.04	0.0	0.77	3235.01	616.37	220.32	277.2	163.28	68.07	299.25	41.22	57.08	309.83	967.76	403.5	466.88	497.0	1015.93	1529.73	665.29	1037.29	1388.16	1111.82	2148.82
CLEC3B	79.45	44.25	68.55	26.47	85.82	10.79	20.56	1313.23	0.0	0.21	3325.99	536.45	265.87	366.09	88.26	67.12	358.54	14.14	16.39	161.02	3018.3	1127.35	1561.89	435.55	848.22	1685.71	1225.22	6745.86	1498.22	1617.0	3235.01
DHRS2	26.67	18.16	1.41	3.89	10.96	31.9	3.29	101.54	0.0	0.01	86.43	56.68	11.21	52.45	17.64	3.99	24.99	6.52	3.32	55.1	22.75	22.26	37.59	14.56	4.06	55.1	61.25	38.4	126.12	74.58	56.68
DHRS3	1277.29	1151.06	1477.58	1359.57	1561.89	246.28	785.88	4836.35	748.61	2935.74	3742.05	1378.57	1781.89	1963.57	1044.52	1407.55	2485.67	412.0	1037.29	1605.83	3018.3	1963.57	2664.15	2627.46	2224.63	1769.57	3103.19	3901.01	3081.75	1594.73	2758.13
DPT	120.1	91.41	21.32	10.79	8.38	5.92	1.19	2451.44	0.0	0.35	620.67	688.78	215.77	133.36	50.27	54.33	149.12	6.11	6.94	72.52	2018.8	351.14	1540.37	525.39	775.05	1427.22	878.17	2434.5	674.59	3168.41	3235.01
EPHB6	16.39	29.06	11.91	37.85	87.03	19.53	10.24	358.54	0.0	0.55	163.28	151.22	124.37	159.9	74.06	33.06	36.01	158.79	13.32	113.56	176.29	125.24	264.03	187.71	123.5	312.0	175.07	185.11	301.33	226.54	163.28
FAHD2B	147.06	202.66	17.9	111.21	53.57	115.97	136.19	780.44	0.0	0.44	629.35	366.09	325.29	490.14	86.43	366.09	409.15	336.79	162.14	217.27	563.18	441.64	547.75	693.58	348.71	575.03	698.41	878.17	884.29	647.07	454.09
FAM114A2	151.22	211.31	144.01	166.73	163.28	186.4	169.07	291.04	0.0	0.44	334.46	312.0	329.84	329.84	221.86	223.41	457.25	229.72	262.2	208.38	299.25	260.38	301.33	301.33	287.01	301.33	223.41	241.19	275.28	334.46	339.14
FAM229B	102.97	19.11	27.25	67.12	35.25	27.84	9.41	718.08	0.0	0.28	587.13	279.14	108.14	105.15	81.71	84.04	147.06	72.01	52.08	98.04	269.6	161.02	305.55	244.57	149.12	447.82	211.31	872.1	366.09	525.39	473.41
FBXO25	543.96	423.61	403.5	403.5	229.72	265.87	384.34	620.67	0.0	0.47	890.44	688.78	819.3	507.46	514.56	543.96	698.41	332.14	232.94	540.19	529.06	470.14	629.35	728.11	551.56	633.73	679.29	884.29	583.07	547.75	647.07
FNDC5	9.56	1.43	2.43	6.26	2.94	0.28	3.2	412.0	0.0	0.08	97.36	57.89	19.25	62.12	19.39	5.45	77.25	6.67	7.88	58.71	78.89	59.55	93.35	92.05	66.65	194.36	75.11	93.35	141.02	283.05	426.57
FXYD1	35.76	27.05	46.5	29.48	46.18	34.02	14.03	5995.9	0.0	0.34	1066.48	1572.76	155.5	199.85	47.17	34.02	171.45	13.93	26.1	161.02	981.29	616.37	995.0	318.57	669.92	1369.04	780.44	1950.0	1191.69	1950.0	2163.77
GADD45A	363.56	221.86	339.14	493.56	954.43	759.08	376.41	1250.98	0.0	0.1	532.74	1023.0	353.59	825.0	651.58	406.31	503.95	718.08	251.48	642.59	1183.45	1015.93	961.07	842.36	1183.45	860.08	1447.15	1340.84	1015.93	988.12	934.76
GSTM5	17.13	17.13	17.64	5.36	6.57	0.93	31.67	507.46	0.0	0.21	129.69	224.97	48.52	43.32	26.67	22.75	48.87	5.45	12.09	33.54	253.23	186.4	269.6	116.78	164.42	460.44	199.85	303.44	299.25	547.75	387.02
HRCT1	45.53	167.9	19.68	24.28	6.36	3.63	17.25	454.09	0.0	0.06	273.37	26.86	40.07	77.79	43.63	46.84	75.11	1.16	12.83	23.76	88.88	287.01	59.97	123.5	305.55	59.97	217.27	57.49	381.68	133.36	205.5
ID3	1639.59	450.94	1572.76	1304.15	603.67	1697.45	417.77	5954.47	0.0	0.39	4512.4	1594.73	1417.35	2573.36	1378.57	607.87	866.07	305.55	1250.98	1427.22	4769.75	3564.78	3874.05	3419.52	2777.33	4450.27	5594.3	7280.4	3690.52	5791.62	2303.12
IGFBP2	3146.52	1350.18	620.67	1594.73	507.46	1151.06	733.19	16383.0	0.0	1.06	28328.16	5633.22	5831.91	12589.08	1143.1	251.48	8901.53	4181.07	6079.61	12244.81	9945.68	11909.94	9215.48	12764.83	8305.36	11189.6	17078.76	14461.21	18950.18	11189.6	12329.98
KCTD18	209.84	149.12	202.66	202.66	121.79	223.41	182.55	285.03	0.0	0.0	473.41	249.73	226.54	145.02	146.03	187.71	206.94	202.66	142.01	224.97	241.19	186.4	202.66	275.28	231.32	226.54	217.27	256.78	218.79	234.57	314.17
KLHDC3	1135.2	1250.98	1096.5	954.43	728.11	775.05	1639.59	2485.67	1369.04	255.0	2148.82	1159.07	1023.0	1199.98	1066.48	1794.29	2816.11	1388.16	808.0	1651.0	1417.35	1457.23	1605.83	1407.55	1225.22	1721.16	1674.06	1721.16	1540.37	1936.53	1909.85
KLHDC9	59.55	54.33	63.45	40.07	28.24	17.13	126.12	314.17	0.0	0.22	497.0	55.49	111.99	53.95	144.01	107.38	368.65	89.51	96.01	242.88	132.44	122.64	165.57	144.01	134.3	211.31	129.69	336.79	112.77	241.19	186.4
LCN6	6.57	14.03	12.55	11.73	40.07	7.34	0.0	409.15	0.0	0.34	65.26	56.68	27.25	45.85	8.06	2.46	49.91	0.0	0.0	17.25	129.69	111.21	85.82	45.85	32.13	135.24	71.5	305.55	100.13	169.07	99.43
LIFR	16.75	2.48	18.29	22.26	7.11	31.67	4.21	612.11	0.0	0.38	1781.89	532.74	153.34	191.67	98.73	50.98	248.0	120.94	30.56	173.85	339.14	201.25	323.03	599.49	208.38	521.76	450.94	460.44	633.73	473.41	379.04
LIN37	228.13	105.15	152.28	229.72	403.5	395.18	277.2	480.04	0.0	0.56	323.03	147.06	165.57	228.13	273.37	158.79	232.94	112.77	197.09	228.13	214.27	215.77	208.38	246.28	180.02	353.59	309.83	316.37	638.15	412.0	260.38
ME3	170.25	115.97	91.41	138.1	99.43	22.92	81.14	591.22	0.0	0.96	389.72	463.65	301.33	361.04	208.38	221.86	145.02	232.94	94.01	181.28	384.34	332.14	511.0	444.72	231.32	567.1	376.41	591.22	743.43	403.5	417.77
MT1A	20.86	1.93	11.13	28.24	7.34	4.03	54.33	1407.55	0.0	0.38	82.87	68.07	96.01	159.9	43.02	2.76	31.0	0.0	13.52	133.36	76.71	215.77	162.14	466.88	981.29	157.68	563.18	723.08	981.29	429.54	1037.29
MT1E	291.04	954.43	1519.15	551.56	332.14	1883.54	356.05	3018.3	0.0	0.41	4607.24	2417.67	5711.87	5403.7	1639.59	271.48	536.45	808.0	1001.93	3212.66	5147.73	8191.0	8134.41	4543.8	13492.72	9151.82	23492.92	38164.99	26248.46	15392.14	8305.36
MT1M	33.54	9.63	167.9	9.85	2.66	6.89	7.17	1008.9	0.0	0.33	785.88	109.66	135.24	409.15	156.59	19.39	38.95	9.06	6.67	170.25	175.07	414.87	242.88	316.37	1709.26	693.58	2090.03	2287.2	2796.65	1225.22	1498.22
MTFR1L	555.41	607.87	884.29	579.04	450.94	423.61	660.68	1806.78	0.0	0.69	1066.48	723.08	703.28	909.17	587.13	420.68	620.67	595.34	503.95	791.35	1096.5	934.76	1259.69	941.27	1088.92	1331.57	915.51	1191.69	954.43	1397.83	1605.83
NFKBIL1	363.56	381.68	217.27	320.8	299.25	255.0	368.65	723.08	0.0	0.6	525.39	329.84	279.14	400.71	327.56	463.65	1001.93	301.33	241.19	575.03	480.04	480.04	575.03	454.09	409.15	555.41	638.15	351.14	547.75	587.13	595.34
NIM1	2.25	2.16	2.78	2.66	4.66	10.47	5.32	26.86	0.0	0.0	185.11	19.39	13.83	21.01	3.23	1.46	49.56	8.0	2.36	8.92	26.86	13.93	23.93	42.11	15.22	19.11	19.11	51.35	35.0	20.56	15.45
PEX11B	409.15	684.02	693.58	476.71	384.34	339.14	511.0	587.13	0.0	0.32	1127.35	543.96	674.59	802.41	587.13	555.41	1096.5	583.07	518.15	651.58	733.19	866.07	733.19	854.13	819.3	878.17	791.35	1073.91	825.0	718.08	836.53
PGC	54.33	0.0	7.82	1.93	0.0	0.0	0.0	8046889.67	0.0	0.0	2729110.67	2310861.52	2310861.52	2310861.52	363097.14	3200796.55	1.011504819E7	279.14	249.73	5128124.01	1851161.35	1956711.0	2068278.89	5690009.96	2025714.3	2025714.3	2126426.15	1634025.56	4885245.74	2654482.97	123144.13
PHYHD1	77.79	36.27	24.28	52.82	56.68	22.92	128.79	1378.57	0.0	0.56	6607.01	454.09	108.9	281.09	141.02	30.12	87.65	138.1	32.82	194.36	536.45	511.0	620.67	693.58	361.04	748.61	961.07	748.61	802.41	748.61	1733.13
PNPLA1	13.12	0.0	0.0	0.0	0.0	0.0	0.0	44.25	0.0	0.15	4.03	59.13	2.71	14.67	2.07	6.01	3.06	8.13	2.1	1.23	8.58	31.22	3.0	44.25	27.25	43.02	34.51	15.91	74.06	34.26	27.44
PPAP2A	591.22	223.41	583.07	327.56	575.03	389.72	447.82	2133.97	0.0	0.72	1313.23	1561.89	1225.22	1286.18	684.02	651.58	1508.65	470.14	329.84	928.3	1883.54	1127.35	1487.87	1628.26	2047.0	1508.65	1832.01	2032.85	1096.5	1883.54	2119.22
R3HCC1	743.43	587.13	708.18	733.19	182.55	195.72	363.56	848.22	0.0	0.34	890.44	575.03	764.36	733.19	563.18	638.15	1242.34	366.09	409.15	543.96	775.05	802.41	915.51	693.58	825.0	848.22	921.88	934.76	791.35	866.07	866.07
RAB4A	723.08	753.83	665.29	769.69	503.95	285.03	669.92	2178.83	0.0	0.55	1498.22	1183.45	1073.91	1051.79	493.56	1540.37	2178.83	718.08	1378.57	1023.0	1313.23	1037.29	1111.82	1295.13	928.3	1572.76	1183.45	1806.78	1388.16	1417.35	1662.49
RBPMS2	40.64	10.88	9.56	26.28	23.93	18.84	37.05	3443.31	0.0	0.64	142.01	249.73	82.29	175.07	94.67	27.25	115.16	12.83	49.91	177.53	684.02	155.5	791.35	223.41	291.04	339.14	275.28	228.13	412.0	981.29	981.29
RCAN2	77.25	23.08	25.54	42.11	30.34	26.47	22.26	4419.52	0.0	0.54	819.3	559.28	353.59	194.36	149.12	105.15	327.56	24.63	100.83	403.5	612.11	371.22	567.1	571.05	723.08	902.89	521.76	543.96	633.73	1096.5	1417.35
RILPL2	258.57	381.68	327.56	356.05	379.04	236.21	185.11	642.59	0.0	0.59	1697.45	583.07	373.81	258.57	318.57	450.94	665.29	281.09	143.01	651.58	454.09	403.5	432.53	305.55	301.33	791.35	511.0	409.15	301.33	674.59	563.18
RP11-279O9.4	9.7	4.24	3.92	6.41	6.26	24.11	7.63	71.0	0.0	0.04	15.0	15.11	4.62	19.82	6.94	0.0	0.0	0.0	1.28	0.0	26.28	43.94	41.22	19.97	23.76	57.89	35.25	77.79	64.8	23.25	48.52
RSPH9	8.51	11.82	11.21	7.51	7.34	7.34	15.22	29.06	0.0	0.0	103.69	13.32	12.27	17.9	11.13	19.82	15.8	10.31	9.78	13.12	18.84	18.84	18.29	19.68	17.13	17.25	20.71	31.45	26.28	22.59	15.45
SEC22C	224.97	384.34	223.41	392.44	150.17	555.41	518.15	1008.9	698.41	138.1	1781.89	728.11	454.09	607.87	463.65	579.04	511.0	595.34	309.83	500.46	651.58	878.17	555.41	669.92	1023.0	679.29	543.96	1127.35	571.05	718.08	884.29
SLC25A18	2.41	6.21	6.11	6.16	2.86	1.1	3.53	83.45	0.0	0.28	23.93	18.97	10.0	18.43	9.56	8.13	6.78	2.68	3.14	13.03	11.13	15.11	5.06	16.63	13.83	16.63	24.28	14.56	29.7	26.1	21.47
SLC25A21-AS1	10.96	0.0	19.39	17.13	8.13	6.67	22.26	92.7	0.0	0.16	106.63	42.11	10.0	21.32	18.43	42.71	11.13	6.62	31.45	14.35	45.21	24.46	28.04	28.04	21.32	44.25	37.05	91.41	38.12	57.49	78.34
SLC25A4	447.82	2.63	318.57	432.53	226.54	189.02	551.56	2956.17	0.0	0.26	1896.65	753.83	647.07	1059.11	503.95	764.36	392.44	379.04	395.18	583.07	1447.15	1073.91	1407.55	1508.65	1104.13	2133.97	1295.13	3419.52	2400.97	2400.97	2367.9
SLC2A12	37.05	10.08	9.78	13.12	43.94	13.12	10.16	511.0	0.0	0.18	420.68	215.77	19.25	70.51	73.54	67.59	28.24	32.13	14.35	57.08	56.28	155.5	70.01	295.11	187.71	224.97	256.78	209.84	417.77	181.28	403.5
SULT2A1	0.17	0.0	0.0	0.0	0.0	0.0	0.0	1427.22	0.0	0.0	20.56	76.71	19.53	2.94	5.02	0.0	0.0	0.0	0.58	0.0	35.5	693.58	7.11	281.09	915.51	279.14	23.59	1322.37	397.93	155.5	22.92
SURF1	974.5	733.19	848.22	808.0	633.73	547.75	813.63	1769.57	0.0	0.44	2537.92	1088.92	1066.48	1208.34	728.11	1081.39	1540.37	651.58	1044.52	1151.06	1277.29	1651.0	1295.13	1350.18	1467.37	1498.22	1781.89	2627.46	1757.34	2163.77	1561.89
TBCC	271.48	381.68	476.71	320.8	409.15	199.85	435.55	493.56	0.0	0.0	633.73	476.71	353.59	387.02	366.09	511.0	698.41	237.86	242.88	518.15	500.46	511.0	480.04	400.71	379.04	796.86	583.07	511.0	470.14	819.3	490.14
TGFBR2	1008.9	376.41	890.44	1369.04	1199.98	1259.69	1167.14	2609.3	0.0	0.67	6337.83	2335.28	1286.18	1477.58	830.75	2287.2	3395.89	1081.39	656.11	1733.13	1896.65	1259.69	1936.53	1963.57	1909.85	1936.53	1437.15	1208.34	1529.73	1427.22	1991.0
THAP3	303.44	356.05	279.14	371.22	316.37	194.36	279.14	575.03	0.0	0.54	336.79	283.05	303.44	275.28	363.56	182.55	389.72	253.23	248.0	343.89	339.14	384.34	339.14	239.52	234.57	500.46	444.72	638.15	525.39	591.22	403.5
TMEM100	12.18	11.38	14.24	8.0	11.3	10.88	3.59	529.06	0.0	0.47	1832.01	128.79	46.5	44.25	12.09	17.77	54.33	6.26	9.56	42.41	476.71	131.51	454.09	173.85	406.31	567.1	281.09	587.13	409.15	785.88	490.14
TMEM66	2935.74	2701.35	3515.68	1857.6	1697.45	2104.58	1268.46	3665.02	0.0	0.8	9279.58	5954.47	5479.15	4639.29	3716.2	4239.45	6037.61	3690.52	3928.15	4095.0	5633.22	4358.66	5872.48	5672.41	5872.48	6294.04	5479.15	5517.27	4869.99	6699.25	5555.65
TMEM88	42.11	46.5	89.51	82.87	72.01	40.07	36.27	547.75	0.0	0.16	316.37	214.27	109.66	190.34	143.01	37.05	167.9	37.59	60.39	122.64	336.79	209.84	320.8	281.09	217.27	336.79	500.46	679.29	563.18	500.46	249.73
TPSAB1	283.05	624.99	567.1	307.69	808.0	264.03	13.42	9279.58	0.0	0.46	9945.68	4671.57	1909.85	2335.28	1096.5	389.72	4268.94	3257.52	47.84	497.0	7032.37	4903.87	3060.45	5751.61	5913.33	6164.49	12502.12	5995.9	5479.15	6840.04	6381.92
TRIM73	37.32	28.86	32.13	14.14	23.08	33.78	46.18	173.85	0.0	0.53	148.09	209.84	48.18	62.56	38.67	9.78	95.34	101.54	17.25	30.78	62.12	169.07	131.51	236.21	66.65	212.78	587.13	1417.35	518.15	246.28	102.97
UBXN1	2004.85	2119.22	1923.14	2895.31	2777.33	2384.37	1832.01	4937.99	0.0	0.97	3491.39	2417.67	2061.24	1950.0	1923.14	2303.12	2163.77	1233.75	1104.13	1651.0	2777.33	3018.3	3018.3	1883.54	2178.83	3690.52	3820.7	2935.74	3060.45	4268.94	4095.0
WIPF3	3.41	2.86	1.41	42.71	2.43	0.51	41.81	251.48	1.46	84.63	89.51	141.02	119.26	137.14	47.17	61.68	241.19	5.82	11.55	220.32	132.44	134.3	161.02	194.36	111.99	215.77	176.29	98.73	271.48	171.45	325.29
ZNF467	48.52	24.81	19.97	53.57	32.36	31.9	115.97	327.56	0.0	0.75	128.79	256.78	145.02	199.85	145.02	95.34	583.07	33.78	221.86	358.54	341.51	190.34	426.57	339.14	267.73	486.75	341.51	98.04	466.88	435.55	343.89
