	GTEX.ZVP2.0626.SM.51MSO	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.R53T.0326.SM.48FEC	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.KK.A8I8.01A.11R.A36G.07	TCGA.KK.A8IG.01A.11R.A36G.07	TCGA.HC.A8D0.01A.11R.A36G.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.VP.AA1N.01A.31R.A41O.07	TCGA.CH.5752.01A.11R.1580.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.VP.A876.01A.11R.A352.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.HC.8262.01A.11R.2263.07	TCGA.YL.A8SJ.01B.11R.A37L.07	TCGA.YL.A8SP.01B.11R.A37L.07	TCGA.KK.A8I9.01A.11R.A36G.07	TCGA.V1.A9OY.01A.11R.A41O.07	TCGA.EJ.7321.01A.31R.2263.07	TCGA.G9.6499.11A.02R.1965.07
HOXB13	0.0	0.0	2.71	0.0	0.0	0.0	2.97	0.0	3.32	0.0	0.0	0.0	0.0	0.0	0.0	2.97	0.0	10.55	2.78	0.0	5006.93	6792.79	4358.66	5329.3	5292.48	2555.58	5219.6	3982.99	4736.79	7230.1	5711.87	6121.9	5751.61	5791.62	4736.79	4239.45	7749.1	2895.31
HP	1.307221145E7	3.671840259E7	1.219680449E7	1.654623811E7	3.174442598E7	1.410789979E7	1.533154663E7	8990686.44	1.785716745E7	1.430483875E7	1.598261246E7	3.066309426E7	1.501602794E7	1.169995688E7	1.325469274E7	1.512047268E7	2.614442391E7	1.381756339E7	1.025624901E7	9838451.64	8.65	33.3	15.91	9.56	6.84	19.82	7.06	39.5	19.53	27.44	18.29	9.34	19.53	2.97	111.99	22.75	1.01	9.48
IK	1259.69	1304.15	1508.65	1369.04	1447.15	1508.65	1015.93	1540.37	1304.15	1617.0	1250.98	1242.34	1628.26	1159.07	1151.06	1104.13	791.35	1127.35	1397.83	1378.57	2224.63	2434.5	1896.65	2573.36	1477.58	2090.03	1709.26	1977.24	2367.9	1639.59	2004.85	2209.26	2417.67	2075.59	1733.13	2367.9	2148.82	1745.2
KDM1A	327.56	371.22	450.94	444.72	493.56	454.09	351.14	409.15	392.44	567.1	466.88	480.04	303.44	197.09	500.46	389.72	176.29	366.09	287.01	395.18	1709.26	2664.15	1104.13	2119.22	1388.16	1127.35	1806.78	1250.98	2032.85	1397.83	1757.34	2104.58	1551.09	2400.97	1030.12	1628.26	2104.58	1059.11
KIAA1328	31.67	23.59	28.45	29.48	36.53	24.99	15.11	19.82	34.75	32.13	37.32	30.34	38.4	27.25	29.27	30.12	22.75	13.72	29.06	12.45	70.01	82.29	86.43	90.77	57.89	68.55	102.97	68.07	76.17	77.79	90.14	72.01	136.19	55.49	67.59	64.8	96.01	49.21
LRRK1	62.12	30.56	61.68	57.49	50.63	57.49	14.67	30.34	47.17	46.84	23.59	67.59	31.0	15.56	10.55	26.1	5.15	31.0	43.94	21.94	199.85	353.59	149.12	267.73	190.34	94.67	273.37	82.29	299.25	226.54	248.0	208.38	312.0	205.5	133.36	224.97	285.03	162.14
LUC7L3	603.67	381.68	848.22	1096.5	612.11	928.3	514.56	842.36	775.05	780.44	733.19	753.83	281.09	543.96	684.02	341.51	412.0	884.29	551.56	665.29	2835.7	2645.74	1540.37	2777.33	1605.83	1359.57	2193.99	1561.89	2555.58	1832.01	2209.26	2573.36	3491.39	3257.52	2061.24	2319.15	1857.6	1322.37
MAEA	540.19	476.71	480.04	616.37	633.73	825.0	518.15	444.72	599.49	718.08	500.46	454.09	490.14	473.41	432.53	497.0	205.5	480.04	603.67	551.56	1508.65	1639.59	1127.35	1313.23	1225.22	1088.92	1175.27	921.88	1340.84	1498.22	1529.73	1119.56	1685.71	1769.57	1023.0	1295.13	1119.56	981.29
MED17	144.01	119.26	190.34	285.03	128.79	334.46	151.22	131.51	194.36	107.38	165.57	84.63	140.04	258.57	301.33	221.86	86.43	232.94	103.69	211.31	785.88	1250.98	525.39	540.19	429.54	536.45	1037.29	339.14	896.64	555.41	674.59	679.29	780.44	708.18	507.46	638.15	947.83	460.44
MED28	251.48	406.31	265.87	429.54	409.15	486.75	212.78	299.25	423.61	277.2	358.54	426.57	305.55	318.57	353.59	242.88	334.46	318.57	255.0	323.03	780.44	769.69	525.39	988.12	500.46	703.28	703.28	457.25	791.35	470.14	532.74	651.58	693.58	780.44	723.08	669.92	1001.93	447.82
