	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.7330.01A.11R.2118.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.G9.7521.01A.11R.2263.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.CH.5751.01A.11R.1580.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
BTBD10	432.53	267.73	435.55	381.68	460.44	251.48	281.09	325.29	318.57	217.27	373.81	239.52	260.38	384.34	305.55	269.6	441.64	629.35	197.09	253.23	480.04	242.88	269.6	348.71	318.57	234.57	318.57	403.5	358.54	379.04	312.0	361.04	289.02	217.27	334.46	406.31	309.83	332.14	353.59	297.17	447.82	376.41	299.25
C5orf42	161.02	59.55	260.38	128.79	287.01	103.69	81.71	77.79	151.22	32.82	153.34	71.5	69.03	151.22	105.89	50.63	137.14	232.94	42.71	76.71	129.69	40.07	88.88	125.24	153.34	69.52	137.14	171.45	305.55	175.07	67.12	153.34	124.37	43.94	116.78	177.53	93.35	105.89	55.89	102.97	152.28	90.77	63.0
C6orf62	1819.35	995.0	1963.57	2400.97	2591.27	1639.59	1870.53	1378.57	1923.14	909.17	2209.26	1286.18	2018.8	2468.49	1259.69	1417.35	1529.73	2303.12	1127.35	1457.23	4328.55	1183.45	1844.76	2351.53	1769.57	1304.15	1628.26	1870.53	1870.53	2682.69	1159.07	2367.9	1561.89	1397.83	1561.89	2451.44	1572.76	2451.44	1340.84	1369.04	1923.14	1733.13	1685.71
CBL	102.25	21.01	90.14	108.14	105.89	56.28	52.82	73.03	61.25	15.11	77.79	45.53	46.84	61.25	39.22	34.51	90.14	120.94	15.45	27.44	178.77	36.01	26.47	50.63	52.45	30.78	46.18	73.03	124.37	95.34	44.89	102.25	59.55	30.12	48.87	100.83	47.5	78.89	37.59	37.32	104.42	75.11	37.85
CDV3	1322.37	669.92	1175.27	1397.83	1457.23	884.29	718.08	825.0	1073.91	551.56	1030.12	796.86	934.76	1216.75	961.07	854.13	1268.46	2591.27	551.56	708.18	2384.37	808.0	884.29	954.43	1015.93	642.59	1104.13	1277.29	1216.75	1639.59	748.61	1286.18	860.08	703.28	743.43	1417.35	669.92	1059.11	759.08	819.3	1350.18	934.76	884.29
CENPL	69.03	40.64	81.14	63.89	91.41	52.45	54.33	42.41	40.93	17.64	58.3	26.67	42.71	36.53	55.1	46.18	61.25	88.26	48.52	37.05	180.02	39.22	30.34	64.8	54.72	46.5	54.72	77.25	132.44	57.89	42.71	78.89	61.68	36.79	55.49	75.11	44.89	49.56	38.95	41.22	62.56	51.71	46.84
CNOT4	269.6	169.07	256.78	395.18	297.17	182.55	236.21	237.86	191.67	97.36	239.52	162.14	236.21	193.01	198.47	166.73	231.32	314.17	127.0	144.01	316.37	171.45	148.09	224.97	224.97	152.28	198.47	262.2	325.29	291.04	181.28	275.28	228.13	181.28	178.77	297.17	214.27	236.21	217.27	173.85	277.2	185.11	190.34
CPSF2	583.07	267.73	579.04	473.41	665.29	332.14	381.68	348.71	426.57	198.47	423.61	253.23	373.81	473.41	348.71	258.57	514.56	647.07	255.0	244.57	728.11	283.05	281.09	356.05	320.8	221.86	356.05	447.82	587.13	518.15	291.04	470.14	384.34	295.11	363.56	371.22	368.65	348.71	297.17	356.05	503.95	373.81	314.17
CSNK1A1	3212.66	1477.58	4181.07	3467.27	4066.71	2451.44	2367.9	2240.11	2777.33	1015.93	3847.29	1991.0	2287.2	3742.05	3018.3	1977.24	3018.3	4152.18	2193.99	1457.23	2956.17	1709.26	2255.7	2645.74	2609.3	1781.89	2367.9	3589.58	3467.27	5479.15	2303.12	4095.0	2384.37	1397.83	2701.35	4038.61	1806.78	2451.44	2287.2	1909.85	3491.39	2895.31	1963.57
CUL1	764.36	507.46	796.86	954.43	802.41	454.09	633.73	669.92	669.92	466.88	684.02	460.44	532.74	674.59	514.56	470.14	708.18	728.11	497.0	480.04	1259.69	525.39	624.99	679.29	713.11	529.06	466.88	647.07	1304.15	759.08	473.41	825.0	514.56	497.0	595.34	780.44	638.15	536.45	591.22	543.96	878.17	759.08	633.73
DCLRE1B	58.71	21.94	43.94	64.8	55.89	29.48	29.91	37.59	33.3	27.44	49.56	14.89	38.12	28.86	29.06	22.43	42.41	56.28	32.59	28.86	125.24	34.75	37.32	50.63	32.59	30.56	25.54	49.91	81.14	33.3	37.32	49.91	36.53	24.11	32.13	63.89	37.05	40.93	20.11	26.1	52.82	40.64	37.05
DICER1	511.0	146.03	555.41	463.65	620.67	480.04	186.4	271.48	497.0	82.87	373.81	480.04	217.27	872.1	429.54	237.86	285.03	420.68	116.78	121.79	775.05	169.07	138.1	291.04	529.06	170.25	277.2	395.18	532.74	1015.93	239.52	379.04	368.65	155.5	249.73	358.54	579.04	285.03	197.09	258.57	373.81	229.72	169.07
DNAL1	236.21	133.36	215.77	291.04	285.03	124.37	152.28	155.5	151.22	55.1	161.02	154.42	145.02	145.02	170.25	127.89	197.09	285.03	165.57	124.37	341.51	105.15	131.51	255.0	112.77	121.79	163.28	220.32	303.44	316.37	121.79	309.83	195.72	142.01	205.5	285.03	129.69	211.31	130.6	127.0	194.36	195.72	124.37
DYRK1A	802.41	267.73	830.75	842.36	915.51	460.44	435.55	432.53	490.14	217.27	665.29	353.59	414.87	500.46	403.5	409.15	647.07	599.49	127.0	283.05	896.64	295.11	358.54	476.71	480.04	341.51	483.38	638.15	728.11	872.1	392.44	738.29	559.28	293.07	490.14	748.61	447.82	483.38	412.0	384.34	866.07	493.56	417.77
E2F6	303.44	128.79	301.33	275.28	336.79	201.25	182.55	175.07	253.23	132.44	305.55	143.01	194.36	187.71	164.42	141.02	215.77	239.52	120.1	173.85	403.5	139.07	141.02	220.32	271.48	165.57	236.21	226.54	314.17	277.2	139.07	281.09	198.47	129.69	193.01	358.54	155.5	173.85	144.01	206.94	358.54	293.07	189.02
ERCC6L2	511.0	102.97	629.35	486.75	559.28	232.94	181.28	157.68	325.29	82.87	318.57	159.9	166.73	260.38	191.67	191.67	305.55	343.89	104.42	94.01	551.56	135.24	105.15	234.57	239.52	121.79	258.57	368.65	571.05	435.55	155.5	426.57	231.32	103.69	237.86	497.0	145.02	249.73	139.07	159.9	571.05	265.87	165.57
ESYT2	915.51	275.28	860.08	941.27	1030.12	466.88	529.06	457.25	591.22	234.57	660.68	341.51	483.38	525.39	435.55	454.09	607.87	947.83	283.05	273.37	1015.93	392.44	320.8	603.67	507.46	336.79	497.0	693.58	928.3	693.58	457.25	688.78	490.14	297.17	473.41	780.44	463.65	507.46	417.77	373.81	830.75	591.22	463.65
FAM133B	438.59	281.09	708.18	486.75	665.29	406.31	483.38	441.64	529.06	256.78	483.38	403.5	403.5	547.75	323.03	412.0	473.41	563.18	346.29	316.37	708.18	381.68	412.0	376.41	483.38	348.71	599.49	438.59	723.08	612.11	336.79	543.96	483.38	414.87	450.94	638.15	476.71	325.29	325.29	438.59	575.03	466.88	392.44
FRRS1	75.11	16.27	80.57	80.01	101.54	25.54	37.59	18.56	41.81	1.64	93.35	31.22	56.28	38.67	50.63	18.97	47.5	84.04	9.48	14.35	144.01	10.16	5.23	55.1	38.12	65.72	58.71	48.87	127.0	92.7	38.12	80.01	37.32	17.9	47.17	71.0	56.28	45.53	13.52	40.64	129.69	44.57	83.45
GAPVD1	406.31	112.77	423.61	381.68	389.72	182.55	172.65	186.4	232.94	73.03	318.57	151.22	164.42	237.86	181.28	180.02	232.94	251.48	98.04	105.15	450.94	137.14	127.0	215.77	182.55	128.79	201.25	279.14	497.0	373.81	190.34	299.25	212.78	117.6	190.34	314.17	176.29	204.07	130.6	143.01	341.51	231.32	161.02
GCC1	299.25	198.47	198.47	395.18	265.87	273.37	217.27	249.73	291.04	121.79	264.03	217.27	244.57	327.56	248.0	205.5	231.32	307.69	146.03	211.31	444.72	140.04	205.5	316.37	262.2	209.84	267.73	301.33	381.68	336.79	241.19	273.37	277.2	193.01	244.57	301.33	231.32	256.78	226.54	217.27	275.28	236.21	237.86
GRHL1	226.54	125.24	279.14	397.93	239.52	234.57	183.82	156.59	201.25	29.06	248.0	215.77	141.02	285.03	273.37	152.28	150.17	309.83	59.13	112.77	289.02	55.49	109.66	332.14	117.6	185.11	193.01	305.55	325.29	514.56	138.1	325.29	376.41	149.12	133.36	301.33	251.48	170.25	164.42	163.28	497.0	251.48	193.01
GRHL2	1883.54	490.14	1350.18	1259.69	1487.87	1008.9	995.0	769.69	961.07	392.44	1151.06	909.17	1066.48	1733.13	1250.98	796.86	808.0	3589.58	497.0	521.76	4010.71	438.59	521.76	1059.11	775.05	764.36	1369.04	1963.57	1651.0	2335.28	1037.29	1467.37	947.83	529.06	1242.34	1551.09	981.29	890.44	1208.34	660.68	1001.93	836.53	703.28
GTF3C4	228.13	92.7	289.02	248.0	248.0	127.0	116.78	118.43	167.9	86.43	172.65	112.77	154.42	156.59	140.04	111.99	164.42	187.71	90.77	78.34	346.29	87.65	103.69	133.36	126.12	110.43	120.94	198.47	332.14	194.36	119.26	211.31	145.02	82.29	134.3	277.2	120.94	161.02	99.43	113.56	201.25	145.02	121.79
GZF1	173.85	84.04	115.97	163.28	217.27	125.24	122.64	132.44	176.29	81.71	166.73	102.25	144.01	120.94	87.03	86.43	137.14	221.86	89.51	94.67	217.27	85.82	64.34	150.17	131.51	94.67	167.9	221.86	212.78	151.22	106.63	146.03	129.69	96.01	147.06	218.79	144.01	124.37	123.5	114.36	177.53	173.85	127.0
HIPK1	791.35	170.25	633.73	583.07	583.07	336.79	356.05	343.89	395.18	156.59	551.56	269.6	356.05	409.15	316.37	318.57	518.15	684.02	166.73	186.4	679.29	226.54	258.57	356.05	397.93	237.86	381.68	583.07	540.19	674.59	339.14	616.37	392.44	229.72	332.14	599.49	368.65	444.72	239.52	265.87	647.07	432.53	323.03
HIVEP2	208.38	36.53	241.19	258.57	221.86	140.04	100.13	117.6	90.77	40.64	177.53	104.42	95.34	126.12	78.89	88.26	115.16	237.86	27.05	43.94	269.6	82.87	46.5	59.55	123.5	60.82	76.71	138.1	275.28	180.02	88.26	191.67	67.12	52.45	85.22	211.31	75.64	111.99	55.89	61.25	223.41	96.68	80.57
INADL	511.0	251.48	718.08	525.39	599.49	353.59	249.73	356.05	356.05	329.84	525.39	414.87	327.56	483.38	356.05	353.59	239.52	555.41	271.48	221.86	860.08	147.06	339.14	403.5	287.01	242.88	376.41	363.56	595.34	656.11	318.57	507.46	540.19	289.02	341.51	480.04	363.56	406.31	185.11	318.57	559.28	420.68	283.05
KIAA1671	470.14	239.52	503.95	620.67	444.72	242.88	228.13	339.14	229.72	84.63	327.56	220.32	244.57	291.04	260.38	181.28	305.55	525.39	136.19	173.85	341.51	183.82	153.34	318.57	193.01	189.02	285.03	435.55	555.41	426.57	224.97	476.71	281.09	239.52	217.27	423.61	285.03	318.57	199.85	218.79	703.28	366.09	341.51
KIAA1958	83.45	24.46	54.72	53.95	96.01	58.3	27.84	27.64	48.87	41.22	40.64	29.48	47.5	76.17	63.0	26.28	58.71	126.12	19.39	20.86	128.79	24.81	14.03	43.63	35.25	22.75	53.95	102.25	126.12	177.53	30.34	48.87	82.87	25.72	27.64	66.65	30.78	66.65	34.75	27.05	46.18	16.03	26.1
KIDINS220	599.49	231.32	674.59	595.34	748.61	329.84	341.51	320.8	454.09	143.01	591.22	283.05	327.56	409.15	387.02	316.37	470.14	529.06	129.69	191.67	642.59	231.32	218.79	356.05	371.22	273.37	384.34	460.44	559.28	656.11	320.8	607.87	400.71	231.32	353.59	603.67	351.14	368.65	291.04	267.73	679.29	454.09	299.25
KLHL11	77.79	5.28	49.91	80.01	66.65	21.78	14.24	12.09	36.01	2.71	43.32	13.93	11.3	40.36	21.94	11.82	29.7	38.4	2.27	2.46	100.13	7.46	4.31	27.44	19.53	4.31	12.64	65.72	78.89	98.73	14.14	51.71	27.84	2.51	23.76	76.71	7.57	33.54	8.85	10.0	61.68	24.11	12.74
KLK3	772940.66	1345768.59	573724.06	389157.95	311742.51	1116072.03	1212874.47	1163466.92	1116072.03	373305.21	691801.16	1255646.43	1187913.85	1093103.58	1139523.1	919186.72	1327240.99	573724.06	887875.81	1147449.11	90773.53	978355.0	1412675.8	1238359.56	1327240.99	731246.37	1196176.45	985160.01	606436.73	805764.22	851707.37	767601.56	1063212.58	1212874.47	1238359.56	320506.81	1345768.59	1472666.19	1229805.58	938500.81	391864.76	985160.01	1063212.58
LARP4	555.41	162.14	373.81	540.19	551.56	305.55	283.05	291.04	273.37	108.14	334.46	224.97	273.37	403.5	248.0	281.09	429.54	708.18	155.5	165.57	403.5	217.27	209.84	303.44	242.88	158.79	265.87	486.75	497.0	679.29	234.57	447.82	244.57	234.57	249.73	579.04	246.28	339.14	187.71	264.03	384.34	255.0	231.32
MAGI1	454.09	150.17	336.79	518.15	312.0	131.51	123.5	220.32	325.29	49.56	414.87	244.57	185.11	323.03	305.55	180.02	237.86	316.37	88.26	113.56	417.77	143.01	156.59	183.82	198.47	157.68	229.72	273.37	476.71	395.18	190.34	305.55	277.2	116.78	242.88	353.59	182.55	248.0	132.44	138.1	384.34	232.94	129.69
MASTL	105.15	54.72	133.36	75.11	118.43	82.87	63.45	67.59	70.01	37.05	83.45	75.11	66.18	69.03	72.52	69.03	75.11	150.17	102.97	62.56	162.14	68.55	63.89	69.52	66.18	55.49	101.54	100.13	141.02	118.43	59.13	78.89	100.83	52.45	108.9	108.9	131.51	73.03	63.45	54.33	87.03	106.63	55.49
METTL2B	379.04	214.27	305.55	368.65	373.81	332.14	228.13	242.88	305.55	158.79	332.14	204.07	264.03	267.73	289.02	258.57	191.67	291.04	194.36	221.86	460.44	218.79	242.88	249.73	269.6	166.73	293.07	312.0	521.76	371.22	208.38	450.94	309.83	186.4	303.44	379.04	198.47	299.25	171.45	226.54	363.56	249.73	182.55
MTMR12	579.04	206.94	483.38	503.95	555.41	356.05	329.84	285.03	403.5	144.01	476.71	224.97	297.17	426.57	307.69	356.05	470.14	341.51	217.27	224.97	497.0	281.09	279.14	371.22	287.01	273.37	277.2	500.46	642.59	575.03	363.56	624.99	351.14	248.0	351.14	612.11	320.8	447.82	279.14	275.28	555.41	392.44	312.0
NCOA1	624.99	194.36	684.02	629.35	669.92	287.01	273.37	341.51	414.87	336.79	432.53	239.52	325.29	323.03	343.89	237.86	366.09	470.14	234.57	186.4	616.37	182.55	234.57	435.55	332.14	242.88	281.09	400.71	967.76	669.92	269.6	457.25	336.79	205.5	353.59	547.75	281.09	332.14	220.32	303.44	476.71	334.46	273.37
NCR3LG1	13.83	0.91	11.47	14.14	14.35	5.02	4.24	1.69	11.13	1.64	18.56	1.46	1.69	6.73	4.31	1.73	6.21	7.69	1.91	0.93	30.12	1.87	0.56	4.82	3.99	3.2	2.86	8.45	25.17	18.29	3.06	11.82	8.58	4.31	11.91	12.18	3.14	4.86	1.36	4.82	12.45	4.06	0.95
NUB1	1447.15	928.3	1540.37	1583.71	1583.71	785.88	825.0	902.89	1044.52	813.63	1175.27	733.19	947.83	1044.52	974.5	884.29	1242.34	2075.59	775.05	860.08	2537.92	764.36	1151.06	947.83	1059.11	813.63	693.58	1066.48	1721.16	1417.35	878.17	1427.22	890.44	769.69	967.76	1467.37	830.75	947.83	819.3	921.88	1498.22	1030.12	967.76
NUP43	426.57	275.28	420.68	397.93	426.57	363.56	226.54	281.09	373.81	171.45	412.0	295.11	336.79	156.59	220.32	301.33	253.23	325.29	285.03	220.32	536.45	248.0	187.71	395.18	220.32	248.0	267.73	406.31	412.0	417.77	297.17	395.18	348.71	239.52	217.27	392.44	293.07	318.57	223.41	289.02	395.18	260.38	217.27
PAQR3	255.0	65.26	217.27	241.19	195.72	152.28	159.9	140.04	156.59	36.53	297.17	75.64	147.06	223.41	135.24	116.78	183.82	460.44	112.77	46.84	218.79	87.65	65.72	241.19	209.84	100.83	164.42	260.38	242.88	295.11	55.1	248.0	157.68	64.34	105.89	251.48	132.44	173.85	157.68	104.42	323.03	265.87	133.36
PIK3C2A	684.02	115.97	718.08	567.1	791.35	215.77	260.38	206.94	358.54	111.99	486.75	220.32	204.07	406.31	305.55	208.38	400.71	403.5	94.01	111.21	642.59	178.77	120.1	309.83	260.38	165.57	264.03	457.25	525.39	665.29	251.48	559.28	314.17	134.3	303.44	563.18	236.21	314.17	166.73	206.94	616.37	366.09	194.36
PNPLA8	525.39	195.72	473.41	521.76	567.1	417.77	353.59	403.5	320.8	119.26	521.76	373.81	320.8	381.68	275.28	305.55	540.19	780.44	149.12	211.31	518.15	234.57	273.37	341.51	429.54	236.21	356.05	423.61	563.18	638.15	255.0	616.37	279.14	260.38	291.04	447.82	295.11	423.61	281.09	281.09	500.46	429.54	343.89
POP1	50.98	84.63	67.12	77.25	87.03	42.71	38.12	40.64	66.65	22.1	57.49	18.29	61.25	63.0	39.5	37.05	42.71	84.63	49.91	39.5	283.05	38.67	47.17	44.25	38.95	53.57	42.41	70.01	108.9	80.57	50.63	60.39	45.21	35.76	53.57	81.71	46.84	55.1	27.44	40.93	54.33	44.25	42.71
PPTC7	193.01	76.17	204.07	180.02	208.38	113.56	124.37	113.56	145.02	64.34	162.14	158.79	102.97	145.02	100.83	98.04	185.11	217.27	54.33	82.29	212.78	96.68	82.87	120.1	165.57	102.25	148.09	137.14	170.25	129.69	84.04	193.01	114.36	90.77	101.54	277.2	102.25	104.42	105.89	105.89	273.37	152.28	148.09
PRKAA1	1313.23	384.34	1359.57	848.22	1794.29	629.35	540.19	651.58	723.08	191.67	860.08	603.67	466.88	684.02	791.35	551.56	981.29	1199.98	381.68	332.14	1216.75	395.18	412.0	629.35	775.05	438.59	624.99	1242.34	1508.65	1651.0	563.18	1066.48	842.36	460.44	813.63	928.3	808.0	674.59	447.82	480.04	1051.79	651.58	486.75
PRKCE	94.67	38.12	74.06	115.16	77.79	59.13	47.5	61.25	52.45	24.28	71.5	55.1	52.08	51.71	54.33	46.5	67.59	73.03	16.15	31.45	69.52	52.08	23.08	61.68	65.72	39.79	55.89	81.71	141.02	74.58	50.27	59.13	51.35	31.22	37.85	70.51	64.34	78.34	40.64	45.21	94.01	63.89	50.27
QKI	703.28	61.25	688.78	540.19	698.41	124.37	220.32	211.31	241.19	40.36	423.61	226.54	180.02	209.84	162.14	141.02	366.09	346.29	50.27	105.89	1233.75	199.85	95.34	206.94	231.32	143.01	251.48	441.64	836.53	633.73	167.9	417.77	163.28	98.04	205.5	571.05	156.59	232.94	144.01	131.51	651.58	395.18	228.13
RANBP3L	334.46	98.04	275.28	273.37	309.83	189.02	142.01	206.94	231.32	20.11	162.14	98.73	170.25	183.82	139.07	162.14	249.73	551.56	125.24	64.34	285.03	84.04	122.64	435.55	122.64	72.52	102.97	201.25	571.05	285.03	144.01	332.14	246.28	176.29	124.37	256.78	353.59	226.54	93.35	125.24	228.13	193.01	131.51
RAPGEF1	638.15	211.31	620.67	708.18	583.07	293.07	305.55	406.31	591.22	283.05	543.96	265.87	387.02	500.46	312.0	231.32	403.5	612.11	281.09	289.02	967.76	220.32	323.03	567.1	429.54	341.51	381.68	579.04	830.75	607.87	325.29	521.76	389.72	293.07	358.54	669.92	329.84	429.54	231.32	339.14	708.18	420.68	343.89
RP11-458D21.5	39.79	0.0	23.42	29.91	28.45	18.97	2.94	6.89	10.31	0.0	18.84	6.94	6.57	20.71	7.57	0.0	4.35	3.92	0.0	0.0	28.24	2.51	0.0	7.82	2.68	1.2	6.67	26.86	36.01	36.27	7.94	18.7	11.91	0.48	9.27	9.06	6.11	10.16	4.94	5.63	25.72	6.78	1.57
RPP14	348.71	214.27	368.65	346.29	403.5	273.37	318.57	212.78	368.65	220.32	307.69	226.54	248.0	297.17	256.78	181.28	336.79	341.51	211.31	217.27	497.0	217.27	221.86	258.57	309.83	273.37	327.56	341.51	395.18	301.33	205.5	381.68	318.57	206.94	297.17	503.95	229.72	246.28	212.78	251.48	447.82	334.46	358.54
SFMBT1	130.6	87.65	132.44	171.45	149.12	98.73	77.25	108.9	94.67	55.1	108.9	80.01	57.08	151.22	97.36	59.55	93.35	112.77	78.34	54.33	264.03	57.08	93.35	92.05	121.79	61.68	87.03	105.89	158.79	218.79	84.04	139.07	88.26	75.11	97.36	121.79	111.21	77.79	68.55	79.45	153.34	98.04	77.79
