	TCGA.A7.A13E.11A.61R.A12P.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11P81.1926.SM.5BC53	GTEX.WRHU.0326.SM.3MJFY	GTEX.ZF3C.2326.SM.5S2MZ	GTEX.YJ8O.2226.SM.5IFHW	GTEX.ZQG8.0726.SM.5P9H9	GTEX.TML8.1226.SM.32QON	GTEX.12WSB.0626.SM.59HJO	GTEX.13OVG.1426.SM.5K7VP	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.ZYT6.0626.SM.5E45V	GTEX.P78B.1326.SM.3P611	GTEX.XMD2.1026.SM.4WWE8
NR3C2	132.44	114.36	186.4	171.45	149.12	111.99	164.42	289.02	136.19	242.88	142.01	195.72	199.85	151.22	473.41	135.24	305.55	316.37	551.56	381.68	77.79	361.04	397.93	305.55	97.36	65.72	88.26	96.01	127.0	94.67	114.36	61.25	521.76
NSUN3	144.01	88.26	91.41	121.79	108.9	77.25	127.0	176.29	100.83	165.57	115.97	159.9	115.16	90.14	195.72	128.79	241.19	218.79	229.72	167.9	82.87	206.94	173.85	164.42	63.45	67.12	64.34	71.5	106.63	94.67	51.71	61.68	291.04
PTBP3	414.87	194.36	226.54	412.0	363.56	195.72	341.51	429.54	264.03	403.5	400.71	463.65	320.8	267.73	507.46	361.04	723.08	620.67	974.5	507.46	285.03	748.61	769.69	599.49	122.64	105.89	57.49	127.0	104.42	148.09	177.53	129.69	708.18
PTPN2	463.65	329.84	384.34	457.25	454.09	387.02	438.59	543.96	389.72	521.76	532.74	521.76	384.34	409.15	414.87	353.59	775.05	769.69	559.28	429.54	223.41	866.07	540.19	480.04	368.65	320.8	113.56	258.57	195.72	209.84	208.38	195.72	647.07
RFX3	63.45	27.05	42.71	62.56	52.45	28.24	60.39	62.56	44.89	55.49	72.52	78.34	54.33	47.84	63.0	37.59	85.22	138.1	121.79	71.5	16.51	105.15	107.38	71.5	13.52	8.38	6.52	8.19	11.21	7.4	7.22	3.38	102.25
RIMKLB	656.11	480.04	819.3	753.83	1008.9	536.45	647.07	733.19	713.11	1073.91	1051.79	1044.52	1143.1	703.28	819.3	490.14	748.61	1605.83	1883.54	1119.56	1225.22	842.36	1639.59	647.07	81.71	35.0	12.55	18.97	26.86	23.76	26.67	40.36	1313.23
RNF138	334.46	199.85	358.54	297.17	307.69	201.25	202.66	356.05	214.27	334.46	287.01	339.14	283.05	327.56	473.41	417.77	480.04	633.73	802.41	457.25	205.5	808.0	447.82	656.11	185.11	139.07	140.04	153.34	178.77	189.02	159.9	108.9	473.41
RQCD1	466.88	287.01	397.93	392.44	435.55	397.93	381.68	403.5	348.71	406.31	409.15	435.55	400.71	376.41	384.34	395.18	571.05	775.05	518.15	420.68	249.73	796.86	417.77	473.41	269.6	199.85	182.55	176.29	165.57	181.28	220.32	197.09	638.15
RSRC2	981.29	759.08	1769.57	967.76	1216.75	1350.18	1350.18	1605.83	1268.46	1268.46	1561.89	1685.71	1183.45	1277.29	1199.98	1096.5	1923.14	2133.97	2224.63	1487.87	915.51	1819.35	1709.26	1388.16	633.73	536.45	309.83	483.38	669.92	473.41	435.55	435.55	2720.15
SCLT1	90.14	48.18	82.29	71.0	78.89	83.45	81.71	78.34	85.22	96.01	100.13	87.03	84.04	78.89	75.64	85.22	142.01	183.82	144.01	163.28	62.12	170.25	157.68	105.15	32.13	30.12	9.63	22.1	22.75	22.43	19.68	37.05	185.11
SEMA6A	248.0	202.66	176.29	255.0	265.87	127.0	217.27	260.38	209.84	329.84	297.17	327.56	228.13	241.19	287.01	146.03	473.41	961.07	417.77	514.56	110.43	587.13	1191.69	551.56	66.65	34.02	46.18	51.35	75.64	82.29	82.29	55.1	1073.91
