	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.E2.A1BD.01A.11R.A12P.07	TCGA.C8.A26X.01A.31R.A16F.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.A8.A09G.01A.21R.A00Z.07	TCGA.D8.A27P.01A.11R.A16F.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.AR.A24Z.01A.11R.A169.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AC.A3W5.01A.11R.A22K.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.A7.A0DB.01A.11R.A00Z.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.B6.A0WZ.01A.11R.A109.07	TCGA.A7.A0DB.01A.11R.A277.07	TCGA.A7.A0CG.01A.12R.A056.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.131YS.0626.SM.5EGKL	GTEX.11EMC.2026.SM.5A5JV	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A39Y.01A.11R.A213.07	GTEX.13NYC.2626.SM.5K7VN
C4orf29	38.4	115.97	85.22	64.34	186.4	120.94	170.25	127.0	102.25	166.73	116.78	147.06	74.58	139.07	61.25	100.83	67.12	117.6	176.29	124.37	156.59	212.78	132.44	133.36	156.59	61.68	39.79	68.07	68.55	70.51	66.18	43.02	115.16
C5orf15	665.29	693.58	1191.69	890.44	1295.13	1437.15	1832.01	1529.73	791.35	1304.15	1350.18	2287.2	1250.98	915.51	633.73	1781.89	1487.87	954.43	1781.89	1697.45	1757.34	1832.01	2997.45	1268.46	1437.15	1651.0	607.87	674.59	642.59	738.29	769.69	836.53	379.04
CABLES1	84.63	218.79	470.14	211.31	373.81	476.71	435.55	536.45	389.72	769.69	470.14	612.11	384.34	384.34	169.07	629.35	204.07	511.0	591.22	583.07	423.61	688.78	620.67	441.64	503.95	363.56	98.04	201.25	105.89	154.42	169.07	92.7	22.92
CAPN7	232.94	346.29	318.57	267.73	444.72	435.55	470.14	507.46	215.77	733.19	353.59	432.53	454.09	293.07	211.31	457.25	283.05	389.72	902.89	441.64	551.56	1066.48	624.99	480.04	599.49	406.31	153.34	187.71	169.07	176.29	162.14	164.42	281.09
CBFA2T2	122.64	136.19	202.66	99.43	358.54	265.87	409.15	251.48	185.11	269.6	153.34	220.32	182.55	211.31	153.34	242.88	90.77	170.25	295.11	236.21	246.28	379.04	379.04	299.25	320.8	140.04	67.12	64.34	56.28	54.72	133.36	51.35	75.11
CCNT2	141.02	195.72	269.6	189.02	426.57	358.54	429.54	325.29	149.12	412.0	218.79	275.28	269.6	209.84	86.43	283.05	231.32	426.57	708.18	341.51	470.14	693.58	423.61	334.46	463.65	147.06	140.04	84.04	87.03	87.65	51.35	62.12	197.09
CDKAL1	107.38	82.87	122.64	126.12	152.28	153.34	154.42	186.4	146.03	180.02	122.64	199.85	193.01	147.06	102.97	120.1	132.44	110.43	262.2	197.09	186.4	332.14	267.73	242.88	251.48	125.24	76.71	49.91	60.39	76.71	112.77	92.05	120.1
COG6	96.01	277.2	244.57	186.4	384.34	229.72	341.51	379.04	262.2	279.14	265.87	432.53	490.14	253.23	128.79	299.25	316.37	239.52	612.11	397.93	417.77	665.29	808.0	341.51	371.22	279.14	78.34	42.41	95.34	47.84	29.7	29.06	142.01
CPNE3	624.99	703.28	961.07	1268.46	848.22	1617.0	1617.0	1111.82	934.76	1757.34	759.08	1175.27	1963.57	848.22	802.41	1119.56	902.89	583.07	2148.82	1477.58	1437.15	1733.13	2935.74	1467.37	961.07	848.22	301.33	283.05	896.64	258.57	253.23	656.11	902.89
CTDSPL2	69.03	140.04	189.02	202.66	341.51	381.68	387.02	343.89	232.94	511.0	194.36	420.68	206.94	194.36	117.6	327.56	264.03	173.85	802.41	525.39	514.56	599.49	567.1	384.34	470.14	229.72	47.84	52.45	46.5	50.98	54.72	49.21	178.77
DDI2	114.36	228.13	217.27	198.47	412.0	429.54	457.25	373.81	262.2	414.87	234.57	351.14	293.07	248.0	234.57	279.14	269.6	191.67	595.34	417.77	426.57	368.65	318.57	275.28	500.46	129.69	140.04	163.28	163.28	198.47	177.53	100.83	283.05
DNAJC14	175.07	417.77	486.75	450.94	599.49	551.56	808.0	599.49	387.02	819.3	529.06	954.43	591.22	525.39	438.59	518.15	638.15	412.0	638.15	775.05	718.08	642.59	934.76	559.28	575.03	579.04	181.28	177.53	110.43	136.19	236.21	144.01	232.94
DOPEY1	51.35	92.05	91.41	68.55	334.46	190.34	283.05	195.72	148.09	320.8	123.5	255.0	141.02	111.99	64.34	145.02	135.24	126.12	497.0	183.82	376.41	457.25	389.72	332.14	490.14	197.09	43.02	29.06	25.54	21.32	26.1	27.64	132.44
DZIP3	27.44	65.72	106.63	50.98	108.9	90.77	146.03	147.06	50.63	136.19	131.51	161.02	148.09	75.64	53.95	164.42	126.12	56.28	246.28	127.0	181.28	356.05	454.09	223.41	217.27	109.66	49.21	27.44	28.04	31.0	55.49	31.67	139.07
ELF1	275.28	1277.29	878.17	607.87	1088.92	791.35	1369.04	1322.37	669.92	974.5	1073.91	1781.89	1127.35	567.1	273.37	866.07	878.17	796.86	1551.09	1350.18	1674.06	1331.57	1340.84	723.08	866.07	1037.29	178.77	77.79	178.77	162.14	84.63	55.89	759.08
EXD2	232.94	332.14	480.04	348.71	318.57	603.67	587.13	457.25	312.0	457.25	406.31	587.13	392.44	307.69	165.57	633.73	423.61	536.45	555.41	511.0	603.67	934.76	884.29	616.37	633.73	358.54	136.19	71.5	71.5	72.52	102.25	99.43	189.02
FAF2	366.09	540.19	813.63	476.71	656.11	791.35	808.0	775.05	457.25	703.28	543.96	718.08	555.41	633.73	423.61	909.17	688.78	723.08	1001.93	764.36	651.58	842.36	723.08	432.53	599.49	389.72	285.03	329.84	248.0	214.27	348.71	441.64	244.57
FBXO21	130.6	281.09	356.05	295.11	429.54	466.88	629.35	587.13	251.48	679.29	341.51	406.31	351.14	220.32	215.77	387.02	307.69	348.71	559.28	493.56	728.11	728.11	728.11	493.56	441.64	486.75	122.64	85.22	129.69	182.55	56.28	95.34	275.28
GCC2	84.04	454.09	175.07	229.72	447.82	616.37	603.67	395.18	224.97	563.18	281.09	432.53	559.28	242.88	447.82	301.33	260.38	208.38	1015.93	466.88	830.75	921.88	909.17	518.15	684.02	343.89	113.56	75.11	71.0	78.89	71.5	70.01	127.0
GIGYF2	327.56	483.38	500.46	563.18	748.61	688.78	1127.35	836.53	279.14	915.51	547.75	743.43	642.59	389.72	299.25	591.22	336.79	579.04	941.27	854.13	1051.79	1167.14	1340.84	698.41	1175.27	559.28	232.94	154.42	144.01	148.09	177.53	139.07	476.71
GMCL1	173.85	165.57	242.88	197.09	255.0	287.01	363.56	387.02	314.17	387.02	194.36	218.79	287.01	246.28	191.67	289.02	220.32	241.19	389.72	371.22	379.04	403.5	392.44	260.38	262.2	269.6	136.19	99.43	91.41	65.72	138.1	77.79	202.66
GOLGB1	341.51	848.22	1023.0	941.27	1519.15	1369.04	1295.13	1407.55	647.07	1540.37	954.43	1359.57	1015.93	1073.91	633.73	1208.34	995.0	878.17	1963.57	1015.93	1529.73	1369.04	1923.14	1242.34	1378.57	579.04	358.54	348.71	262.2	409.15	384.34	232.94	295.11
HEATR5B	78.89	186.4	183.82	147.06	368.65	336.79	429.54	325.29	126.12	262.2	228.13	237.86	232.94	181.28	167.9	212.78	202.66	204.07	470.14	314.17	438.59	669.92	656.11	283.05	283.05	226.54	67.59	74.06	40.36	52.82	31.0	36.27	98.73
HECTD2	31.9	88.26	142.01	66.18	136.19	110.43	149.12	147.06	58.71	363.56	73.03	325.29	66.65	106.63	36.01	88.26	112.77	271.48	285.03	134.3	228.13	346.29	361.04	180.02	218.79	94.67	33.3	21.63	19.11	15.91	31.22	20.56	55.89
HIF1AN	199.85	329.84	316.37	309.83	432.53	579.04	579.04	518.15	220.32	518.15	242.88	460.44	246.28	283.05	115.97	500.46	246.28	277.2	470.14	629.35	612.11	591.22	718.08	429.54	463.65	511.0	176.29	68.07	153.34	99.43	158.79	119.26	473.41
KDM4A	229.72	638.15	441.64	371.22	738.29	854.13	941.27	638.15	346.29	1066.48	514.56	629.35	432.53	373.81	397.93	620.67	406.31	454.09	848.22	587.13	713.11	813.63	1151.06	718.08	616.37	426.57	177.53	165.57	143.01	156.59	234.57	346.29	348.71
KIAA1958	17.0	34.02	51.35	17.0	63.0	127.89	152.28	50.63	29.27	90.77	35.0	108.14	55.89	30.34	73.54	64.34	35.0	43.32	138.1	94.01	87.03	118.43	175.07	79.45	109.66	44.89	18.16	17.0	16.39	17.9	28.45	17.9	15.34
KMT2A	40.64	127.0	154.42	127.89	400.71	327.56	529.06	275.28	109.66	620.67	142.01	325.29	218.79	100.83	121.79	208.38	143.01	156.59	708.18	346.29	551.56	703.28	579.04	536.45	595.34	198.47	44.57	48.87	45.53	50.98	50.63	60.82	120.1
LUZP1	107.38	164.42	96.01	123.5	241.19	273.37	293.07	217.27	154.42	218.79	114.36	214.27	220.32	198.47	86.43	149.12	169.07	94.67	248.0	281.09	336.79	420.68	633.73	151.22	231.32	127.89	32.82	27.44	29.27	28.45	24.28	67.12	180.02
MARCH5	454.09	679.29	633.73	902.89	1015.93	1208.34	1104.13	1051.79	1051.79	1268.46	813.63	1340.84	934.76	595.34	642.59	1037.29	651.58	921.88	536.45	1088.92	1369.04	1540.37	1277.29	1073.91	1183.45	764.36	303.44	191.67	343.89	253.23	295.11	316.37	713.11
MFAP1	376.41	518.15	497.0	616.37	587.13	825.0	708.18	738.29	599.49	836.53	583.07	796.86	373.81	540.19	397.93	748.61	698.41	454.09	599.49	802.41	878.17	1023.0	1378.57	785.88	708.18	830.75	273.37	297.17	275.28	343.89	376.41	305.55	567.1
MGA	45.53	100.83	90.77	121.79	180.02	241.19	211.31	143.01	102.97	406.31	105.15	197.09	162.14	90.14	87.65	142.01	136.19	84.63	579.04	228.13	289.02	466.88	409.15	249.73	281.09	90.77	28.65	22.92	28.24	30.34	24.28	24.63	97.36
MIB1	57.49	137.14	154.42	130.6	249.73	281.09	454.09	325.29	237.86	395.18	194.36	417.77	271.48	186.4	66.65	373.81	237.86	163.28	1008.9	358.54	493.56	660.68	612.11	244.57	366.09	189.02	67.12	49.56	40.07	52.08	44.25	40.36	143.01
MOB1B	65.26	71.5	98.73	76.71	130.6	87.65	417.77	339.14	138.1	432.53	153.34	211.31	123.5	153.34	132.44	111.21	144.01	85.82	283.05	166.73	269.6	447.82	432.53	189.02	293.07	108.14	33.78	35.5	40.64	44.89	31.22	35.5	112.77
MTMR6	84.63	189.02	164.42	150.17	195.72	166.73	309.83	255.0	218.79	234.57	209.84	356.05	346.29	193.01	94.01	224.97	199.85	152.28	406.31	348.71	343.89	368.65	363.56	170.25	231.32	224.97	90.77	40.93	88.88	76.71	56.68	32.36	128.79
MTX3	16.51	28.24	37.59	18.16	114.36	140.04	176.29	84.63	37.59	142.01	45.85	140.04	67.59	43.63	12.64	94.67	62.12	25.54	389.72	116.78	190.34	363.56	281.09	132.44	92.7	75.11	9.27	8.19	6.26	5.41	3.29	6.84	66.18
MUCL1	41475.31	2216726.5	550352.86	241220.67	736332.6	794671.01	307450.64	919186.72	828417.36	602247.76	593956.43	462789.59	1273174.62	524287.0	1255646.43	900270.11	668235.84	985160.01	411347.03	554180.87	253213.41	294926.33	292889.12	887875.81	677564.08	1299926.74	2.58	53.19	0.0	0.0	7.75	0.0	9635979.21
NAA35	157.68	309.83	291.04	178.77	351.14	567.1	525.39	414.87	190.34	555.41	371.22	447.82	353.59	229.72	251.48	397.93	251.48	389.72	532.74	423.61	486.75	466.88	525.39	356.05	389.72	299.25	143.01	53.57	74.58	107.38	72.01	102.97	162.14
NARG2	309.83	312.0	483.38	392.44	555.41	563.18	878.17	759.08	305.55	860.08	518.15	759.08	316.37	277.2	262.2	651.58	503.95	633.73	698.41	674.59	909.17	1127.35	1233.75	941.27	813.63	366.09	165.57	260.38	112.77	226.54	195.72	148.09	497.0
NBN	248.0	346.29	595.34	525.39	836.53	764.36	1127.35	995.0	607.87	1594.73	591.22	1268.46	872.1	414.87	563.18	703.28	559.28	693.58	1378.57	1175.27	866.07	1216.75	1331.57	1119.56	974.5	642.59	162.14	163.28	299.25	105.89	142.01	563.18	450.94
NCOA2	57.08	187.71	218.79	149.12	426.57	518.15	521.76	403.5	146.03	583.07	241.19	587.13	563.18	158.79	111.21	279.14	211.31	119.26	819.3	486.75	629.35	848.22	802.41	438.59	511.0	273.37	153.34	114.36	279.14	118.43	140.04	285.03	103.69
NHLRC2	39.5	46.84	53.19	46.84	103.69	153.34	136.19	100.83	33.78	162.14	54.72	118.43	62.56	55.1	44.89	92.05	49.91	75.64	267.73	145.02	153.34	260.38	214.27	121.79	151.22	46.5	27.84	25.91	31.45	18.7	27.84	13.72	84.04
OPHN1	12.83	68.55	71.5	38.67	123.5	69.52	106.63	83.45	55.89	72.01	43.94	105.89	51.71	47.5	34.26	62.56	28.45	69.52	212.78	96.01	159.9	186.4	204.07	175.07	220.32	100.83	6.21	1.57	1.62	2.48	3.44	1.95	36.01
OSBP	334.46	543.96	493.56	607.87	825.0	1286.18	1051.79	921.88	521.76	1111.82	842.36	1151.06	808.0	603.67	486.75	703.28	463.65	540.19	896.64	1066.48	1030.12	1159.07	1066.48	825.0	813.63	629.35	265.87	470.14	438.59	414.87	397.93	444.72	409.15
PARP4	190.34	423.61	460.44	343.89	297.17	376.41	651.58	497.0	307.69	529.06	466.88	693.58	612.11	262.2	289.02	301.33	595.34	248.0	669.92	521.76	785.88	684.02	1135.2	444.72	457.25	325.29	237.86	112.77	224.97	226.54	224.97	108.14	291.04
PDPK1	183.82	368.65	336.79	253.23	563.18	688.78	642.59	674.59	327.56	575.03	244.57	381.68	423.61	679.29	190.34	414.87	269.6	329.84	836.53	473.41	599.49	759.08	780.44	361.04	318.57	206.94	181.28	226.54	223.41	262.2	190.34	129.69	202.66
PHF3	78.34	379.04	336.79	409.15	423.61	540.19	684.02	559.28	320.8	909.17	301.33	660.68	435.55	251.48	251.48	395.18	392.44	295.11	1037.29	638.15	866.07	1119.56	947.83	1044.52	878.17	285.03	111.99	165.57	62.56	84.63	175.07	163.28	234.57
PHIP	53.95	66.18	181.28	159.9	258.57	511.0	323.03	316.37	120.94	532.74	122.64	289.02	255.0	125.24	70.51	217.27	165.57	161.02	620.67	336.79	493.56	769.69	529.06	327.56	432.53	189.02	38.95	22.26	15.68	23.42	36.79	63.0	138.1
RB1	226.54	371.22	521.76	318.57	555.41	503.95	607.87	514.56	409.15	665.29	316.37	825.0	633.73	329.84	68.55	470.14	638.15	307.69	842.36	738.29	587.13	819.3	656.11	283.05	518.15	417.77	94.01	46.18	120.94	95.34	29.06	29.06	403.5
REST	74.06	155.5	190.34	158.79	320.8	343.89	460.44	267.73	159.9	612.11	195.72	336.79	267.73	209.84	109.66	312.0	198.47	165.57	1037.29	371.22	432.53	392.44	587.13	251.48	187.71	242.88	32.82	43.63	56.68	53.95	57.49	52.08	133.36
RNF111	258.57	267.73	170.25	368.65	351.14	316.37	329.84	339.14	208.38	497.0	236.21	403.5	232.94	236.21	236.21	351.14	303.44	186.4	480.04	368.65	420.68	571.05	575.03	395.18	412.0	215.77	99.43	177.53	161.02	131.51	123.5	94.67	201.25
SACM1L	295.11	353.59	457.25	423.61	813.63	463.65	660.68	660.68	277.2	825.0	518.15	607.87	748.61	392.44	262.2	540.19	403.5	420.68	988.12	629.35	753.83	1030.12	1331.57	493.56	759.08	460.44	187.71	153.34	248.0	199.85	173.85	205.5	269.6
SETD2	209.84	320.8	426.57	329.84	532.74	540.19	595.34	470.14	248.0	813.63	376.41	540.19	575.03	303.44	281.09	483.38	339.14	318.57	1037.29	480.04	684.02	954.43	1008.9	529.06	529.06	289.02	138.1	127.89	156.59	165.57	154.42	165.57	325.29
SIN3A	264.03	368.65	543.96	518.15	612.11	698.41	947.83	896.64	470.14	1167.14	629.35	1066.48	457.25	334.46	260.38	583.07	532.74	536.45	612.11	796.86	974.5	1143.1	1350.18	825.0	961.07	409.15	115.16	204.07	123.5	202.66	162.14	84.63	426.57
SLC25A36	190.34	438.59	679.29	318.57	759.08	947.83	1208.34	921.88	555.41	599.49	511.0	665.29	941.27	441.64	251.48	890.44	836.53	507.46	1651.0	638.15	1457.23	2148.82	1639.59	1225.22	1104.13	708.18	18.29	11.47	18.03	18.84	17.51	7.46	253.23
SLC25A40	138.1	218.79	312.0	241.19	381.68	358.54	454.09	392.44	336.79	450.94	232.94	348.71	228.13	215.77	205.5	323.03	242.88	343.89	253.23	429.54	547.75	603.67	629.35	368.65	343.89	228.13	97.36	80.01	70.01	71.0	94.67	137.14	98.04
SLC35A5	128.79	371.22	318.57	547.75	441.64	941.27	684.02	540.19	409.15	693.58	423.61	684.02	693.58	358.54	236.21	647.07	651.58	299.25	633.73	698.41	813.63	1127.35	1191.69	642.59	669.92	591.22	182.55	177.53	176.29	204.07	228.13	130.6	289.02
SNX18	78.34	236.21	182.55	186.4	291.04	287.01	253.23	283.05	132.44	215.77	146.03	269.6	356.05	269.6	134.3	325.29	303.44	117.6	521.76	361.04	325.29	660.68	438.59	384.34	209.84	295.11	104.42	99.43	94.67	81.71	74.06	158.79	73.03
SPATA6	30.34	105.89	147.06	89.51	217.27	148.09	356.05	265.87	98.04	289.02	195.72	297.17	146.03	96.01	53.19	134.3	107.38	226.54	253.23	170.25	281.09	348.71	334.46	297.17	248.0	176.29	6.26	19.68	8.85	8.85	21.32	9.34	24.46
SPECC1L-ADORA2A	0.0	0.71	0.0	0.0	0.73	3.38	2.29	2.63	0.32	0.61	0.0	1.99	0.77	1.01	0.0	0.0	0.77	0.0	4.62	1.45	4.35	6.11	4.28	3.44	2.61	2.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0
STAM2	116.78	217.27	248.0	228.13	435.55	490.14	595.34	392.44	212.78	684.02	283.05	532.74	346.29	234.57	130.6	325.29	346.29	400.71	860.08	438.59	551.56	651.58	854.13	339.14	624.99	269.6	136.19	85.82	119.26	72.52	124.37	106.63	147.06
STRN	136.19	141.02	152.28	157.68	202.66	351.14	363.56	229.72	197.09	253.23	171.45	237.86	346.29	198.47	171.45	249.73	173.85	164.42	438.59	297.17	327.56	429.54	346.29	231.32	228.13	153.34	40.07	42.41	39.22	36.79	44.25	40.07	142.01
SWT1	34.02	59.97	90.14	43.94	70.51	138.1	120.94	111.21	46.5	62.56	72.52	78.34	116.78	66.65	43.32	102.97	72.01	39.79	218.79	96.68	122.64	202.66	208.38	75.11	69.52	59.13	37.85	31.45	32.59	26.28	26.1	29.27	25.91
TECPR2	68.07	226.54	137.14	98.04	262.2	187.71	246.28	239.52	125.24	131.51	178.77	228.13	134.3	214.27	66.65	183.82	146.03	146.03	314.17	191.67	295.11	420.68	406.31	275.28	273.37	214.27	61.68	46.84	63.45	59.13	46.84	29.91	119.26
THRAP3	718.08	1340.84	1583.71	1066.48	1617.0	1909.85	1685.71	2075.59	819.3	2287.2	1561.89	1628.26	1388.16	995.0	902.89	1350.18	1242.34	1167.14	1806.78	1628.26	2047.0	2178.83	2591.27	1088.92	1923.14	1135.2	579.04	429.54	400.71	647.07	412.0	435.55	1088.92
TLK1	183.82	329.84	366.09	329.84	651.58	674.59	902.89	612.11	518.15	896.64	384.34	656.11	473.41	244.57	412.0	454.09	423.61	698.41	612.11	759.08	780.44	890.44	967.76	529.06	559.28	454.09	182.55	173.85	231.32	155.5	166.73	116.78	183.82
TNKS2	183.82	329.84	287.01	287.01	660.68	718.08	612.11	708.18	684.02	660.68	329.84	518.15	473.41	332.14	156.59	346.29	476.71	269.6	693.58	629.35	791.35	1167.14	813.63	514.56	718.08	450.94	116.78	99.43	116.78	120.1	71.5	59.97	403.5
TP53BP1	211.31	358.54	463.65	595.34	629.35	532.74	629.35	583.07	343.89	703.28	612.11	785.88	429.54	470.14	293.07	693.58	463.65	521.76	1268.46	607.87	656.11	890.44	860.08	633.73	698.41	256.78	90.14	125.24	89.51	100.13	56.68	149.12	281.09
TRIM44	169.07	162.14	142.01	271.48	486.75	651.58	599.49	429.54	223.41	555.41	291.04	909.17	395.18	221.86	329.84	441.64	277.2	309.83	525.39	620.67	733.19	476.71	769.69	307.69	429.54	224.97	108.9	224.97	63.89	109.66	116.78	215.77	356.05
TRMT10A	80.01	114.36	162.14	105.89	155.5	137.14	214.27	166.73	71.5	260.38	112.77	183.82	75.11	95.34	104.42	153.34	102.25	92.05	193.01	169.07	152.28	229.72	204.07	87.65	152.28	73.03	49.91	46.18	59.13	52.82	54.72	38.95	63.0
TRUB1	150.17	212.78	221.86	206.94	211.31	325.29	647.07	376.41	194.36	426.57	232.94	353.59	186.4	176.29	178.77	320.8	209.84	144.01	559.28	341.51	334.46	490.14	473.41	320.8	211.31	417.77	111.21	84.63	89.51	101.54	57.89	76.71	275.28
UBR2	117.6	281.09	220.32	209.84	316.37	432.53	358.54	320.8	211.31	423.61	209.84	423.61	361.04	265.87	215.77	260.38	224.97	211.31	575.03	414.87	476.71	612.11	454.09	299.25	387.02	181.28	92.05	99.43	98.04	153.34	161.02	104.42	239.52
UBTD2	81.71	583.07	457.25	303.44	450.94	500.46	490.14	403.5	325.29	713.11	395.18	660.68	473.41	463.65	409.15	633.73	669.92	406.31	651.58	708.18	669.92	688.78	934.76	457.25	348.71	521.76	100.13	116.78	96.01	102.25	150.17	267.73	170.25
UPRT	105.15	165.57	325.29	244.57	202.66	251.48	299.25	271.48	151.22	248.0	248.0	293.07	287.01	186.4	120.1	241.19	201.25	178.77	301.33	307.69	267.73	327.56	346.29	271.48	201.25	208.38	265.87	80.01	81.71	115.97	67.59	69.52	131.51
USP33	353.59	476.71	620.67	473.41	796.86	511.0	1437.15	896.64	595.34	1457.23	674.59	866.07	624.99	507.46	521.76	551.56	679.29	674.59	1233.75	753.83	1127.35	1259.69	1081.39	785.88	1001.93	718.08	291.04	172.65	267.73	232.94	287.01	389.72	312.0
UTP14C	76.17	173.85	231.32	116.78	366.09	218.79	392.44	366.09	97.36	363.56	242.88	521.76	392.44	152.28	127.89	312.0	223.41	183.82	529.06	438.59	438.59	500.46	567.1	229.72	267.73	205.5	90.14	49.56	75.64	63.45	57.89	23.76	100.83
VEZF1	97.36	483.38	595.34	283.05	669.92	1437.15	1519.15	1304.15	753.83	1191.69	579.04	1242.34	529.06	447.82	275.28	796.86	808.0	511.0	1059.11	819.3	1437.15	1832.01	1721.16	915.51	1143.1	1030.12	185.11	116.78	115.97	147.06	172.65	177.53	297.17
WDR11	307.69	409.15	381.68	368.65	708.18	563.18	642.59	607.87	265.87	684.02	532.74	612.11	466.88	387.02	309.83	457.25	371.22	287.01	1044.52	483.38	753.83	1167.14	1015.93	559.28	796.86	368.65	426.57	220.32	279.14	297.17	316.37	237.86	285.03
