	TCGA.A1.A0SK.01A.12R.A084.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8469.01A.11R.2403.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.CH.5794.01A.11R.1580.07	TCGA.CH.5751.01A.11R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.EJ.5525.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07
BUB1B	438.59	35.5	17.13	83.45	21.47	35.76	106.63	65.26	47.17	10.55	18.03	76.71	19.97	202.66	103.69	44.89	47.84	21.63	23.08	64.8	273.37	21.32	63.0	24.28	29.48	43.94	104.42	112.77	40.64	38.95	30.56	41.22	46.84	30.78	20.56	10.79	8.85	5.28
C11orf82	145.02	9.56	5.41	42.11	8.92	8.78	68.55	28.24	8.58	6.01	6.21	46.84	3.0	59.97	22.43	8.71	15.34	8.58	12.36	19.39	153.34	11.55	9.41	7.46	14.35	17.51	34.75	65.72	12.83	18.29	12.93	11.21	28.24	11.55	11.47	5.92	8.06	9.63
CASC5	117.6	10.55	4.7	20.41	17.51	6.94	42.71	24.99	9.85	2.66	3.47	23.25	4.1	38.12	28.65	7.22	14.78	7.69	7.0	20.71	122.64	11.13	15.91	14.45	8.65	11.64	51.35	45.21	10.79	8.38	8.38	14.67	19.97	7.82	3.92	7.28	3.23	3.08
CCNE2	3168.41	12.27	6.73	81.14	26.28	26.1	127.89	82.29	16.27	10.71	15.22	45.21	21.32	312.0	46.18	35.0	22.92	15.0	13.03	26.67	336.79	22.59	37.85	14.24	21.32	31.22	156.59	159.9	16.51	31.0	21.16	32.82	22.43	7.06	12.18	17.25	11.13	6.89
CENPE	154.42	2.94	4.35	29.48	7.63	11.73	35.25	30.12	6.67	2.39	9.63	17.64	7.28	46.5	28.04	10.96	13.32	6.11	4.94	18.84	99.43	4.35	28.65	7.4	7.75	17.13	58.3	43.63	9.85	8.45	8.51	11.91	17.38	13.32	4.9	4.5	5.32	4.98
CENPI	165.57	4.03	2.27	26.47	9.34	6.31	32.82	21.32	3.92	2.18	4.06	10.96	2.32	36.53	25.54	10.71	9.93	4.9	3.53	24.63	101.54	5.19	14.03	10.16	4.31	10.71	42.71	48.18	3.29	6.11	7.0	7.94	13.03	7.4	3.06	2.68	2.07	2.58
CEP41	237.86	115.97	136.19	201.25	108.14	101.54	189.02	176.29	146.03	153.34	67.12	167.9	133.36	181.28	205.5	131.51	125.24	158.79	84.63	208.38	183.82	74.06	117.6	90.14	109.66	156.59	289.02	224.97	98.04	152.28	143.01	71.0	180.02	163.28	92.7	81.71	127.89	135.24
CEP85	656.11	84.04	59.55	171.45	52.45	80.01	124.37	100.83	79.45	55.1	44.57	152.28	85.22	194.36	111.99	115.97	126.12	70.51	64.34	128.79	165.57	64.34	107.38	47.17	76.17	95.34	139.07	122.64	68.55	98.73	80.01	65.26	108.9	89.51	58.3	58.3	49.91	49.21
CKAP2L	483.38	3.0	1.95	37.05	3.17	7.22	49.91	20.41	6.73	1.87	4.24	16.63	2.27	70.51	26.1	8.06	12.64	3.44	4.86	15.8	147.06	4.03	13.32	4.13	4.74	14.67	27.25	74.06	6.41	5.5	5.11	10.16	13.52	5.19	3.59	1.73	3.03	3.26
CLSPN	507.46	2.58	2.07	29.27	4.62	5.73	32.82	26.1	4.62	4.06	3.79	24.46	1.17	37.32	22.59	12.09	10.88	3.63	8.92	17.51	122.64	4.28	7.34	4.39	5.68	8.85	50.63	42.71	7.75	9.56	1.53	8.32	16.39	7.46	1.55	0.56	3.89	1.69
DLGAP5	647.07	5.5	5.73	41.22	7.57	12.64	55.1	40.36	9.41	5.11	12.64	31.67	4.31	105.15	54.72	18.03	31.67	7.57	11.3	48.87	161.02	6.36	30.78	10.47	12.27	21.32	79.45	76.17	14.78	16.63	10.31	25.17	28.86	10.39	6.36	3.79	3.35	2.23
DNMT1	4972.34	514.56	281.09	543.96	414.87	486.75	633.73	543.96	493.56	332.14	500.46	791.35	392.44	759.08	514.56	525.39	476.71	599.49	423.61	842.36	1151.06	400.71	599.49	463.65	514.56	638.15	759.08	420.68	332.14	624.99	414.87	473.41	500.46	406.31	346.29	409.15	406.31	325.29
DTL	595.34	8.71	6.73	37.05	14.35	14.67	41.52	54.72	24.28	11.82	10.08	22.26	7.69	67.59	63.45	19.82	30.78	13.22	9.34	21.01	123.5	5.32	13.12	8.78	13.32	16.39	75.64	90.77	15.45	19.25	16.03	30.56	34.02	8.71	9.27	4.86	6.31	6.11
ECT2	1709.26	78.89	107.38	305.55	86.43	115.97	291.04	197.09	133.36	75.11	88.88	194.36	108.14	343.89	301.33	133.36	155.5	148.09	108.14	220.32	633.73	47.84	147.06	100.83	96.68	148.09	204.07	371.22	96.68	127.89	109.66	118.43	211.31	139.07	52.45	81.71	71.0	50.27
ERCC6L	121.79	5.54	6.73	21.01	6.16	8.0	29.7	20.56	7.51	3.5	4.7	13.93	5.19	33.06	21.32	6.94	9.7	6.26	5.77	15.91	77.79	5.15	10.31	5.28	6.26	11.55	37.05	30.12	8.13	8.99	5.68	10.55	15.56	8.85	6.41	4.94	5.28	2.36
ESCO2	71.5	1.13	2.27	15.8	1.2	3.23	32.59	17.9	7.94	2.56	4.5	14.45	4.54	45.85	36.79	6.62	9.27	5.82	3.63	12.83	70.01	3.41	7.28	5.5	4.06	6.89	21.78	24.63	3.69	6.73	2.39	9.2	20.26	4.46	4.74	1.79	2.16	3.26
EZH2	1674.06	76.71	41.81	199.85	72.01	76.71	237.86	105.89	95.34	18.16	78.34	157.68	81.14	165.57	129.69	91.41	100.13	48.18	77.79	119.26	466.88	75.64	98.73	50.98	39.22	88.88	316.37	255.0	85.22	96.68	79.45	123.5	115.16	62.56	36.01	73.03	20.26	19.39
FBXO5	1359.57	60.39	77.25	96.01	74.06	111.99	173.85	119.26	70.51	52.08	90.14	191.67	84.04	194.36	129.69	82.87	114.36	94.01	75.64	90.14	414.87	105.15	99.43	105.89	107.38	116.78	214.27	172.65	54.72	68.55	72.52	74.58	130.6	78.34	52.82	52.45	58.71	61.25
GAS2L3	466.88	3.82	8.99	24.99	9.48	15.68	49.21	45.85	5.11	5.19	11.55	29.06	4.74	48.52	35.5	14.89	12.0	9.85	8.58	25.72	99.43	9.78	27.84	18.97	4.82	26.1	62.56	88.26	5.82	8.65	6.01	10.47	25.17	19.82	6.06	3.0	9.63	6.16
GINS1	476.71	13.42	9.34	56.68	20.41	14.56	46.84	33.3	16.88	17.9	13.62	47.5	10.96	92.7	43.63	19.53	23.25	14.67	17.38	32.82	95.34	10.0	34.26	15.68	15.0	33.06	60.82	73.03	16.27	20.11	8.85	23.25	36.53	26.47	6.11	15.11	13.12	19.68
GRPEL2	303.44	120.1	142.01	220.32	155.5	110.43	198.47	118.43	115.16	101.54	123.5	182.55	105.15	237.86	152.28	114.36	157.68	146.03	84.63	133.36	237.86	111.99	125.24	135.24	130.6	165.57	275.28	242.88	102.97	137.14	130.6	115.16	182.55	127.0	105.89	113.56	100.13	65.26
HMMR	358.54	15.91	12.74	128.79	18.84	31.9	71.0	92.05	22.26	4.62	25.35	52.82	14.03	118.43	148.09	32.36	48.87	12.64	27.84	83.45	143.01	17.25	37.59	17.77	27.44	57.08	244.57	129.69	31.9	31.0	17.9	58.3	76.17	25.35	12.45	11.3	11.3	8.71
INCENP	1199.98	71.0	100.13	198.47	96.68	148.09	271.48	218.79	120.1	166.73	103.69	170.25	103.69	214.27	223.41	126.12	141.02	133.36	63.0	177.53	536.45	131.51	182.55	113.56	105.89	165.57	273.37	291.04	103.69	132.44	143.01	118.43	187.71	129.69	94.67	88.26	139.07	114.36
KIF11	1111.82	32.59	21.47	68.07	26.86	28.65	111.99	39.22	31.45	17.51	25.35	67.12	26.28	138.1	105.15	18.29	48.87	36.53	19.11	62.56	273.37	30.12	53.95	28.45	24.99	55.49	147.06	146.03	34.75	38.67	37.05	35.0	67.59	22.75	23.76	16.27	19.97	14.56
KIF14	146.03	0.68	1.36	13.12	1.71	2.07	11.73	6.57	2.03	0.42	1.91	4.28	1.38	21.47	15.0	3.03	4.24	1.13	1.36	7.94	38.95	0.39	6.62	2.07	1.39	4.98	22.92	17.51	3.0	2.66	2.1	3.59	6.94	2.46	0.74	1.07	1.38	0.75
KIF15	275.28	10.55	6.36	54.33	15.11	15.8	93.35	42.41	9.13	9.27	13.62	45.85	13.72	76.17	46.18	17.64	15.0	16.51	9.63	23.59	318.57	12.64	34.26	55.89	10.63	22.26	115.16	60.39	18.29	15.8	13.42	45.53	20.41	10.88	14.24	12.0	4.98	3.08
KIF18A	351.14	0.52	5.23	18.7	5.87	4.82	23.93	11.91	2.63	2.58	3.32	11.13	3.82	19.82	13.03	5.06	6.73	5.36	2.01	15.56	59.55	2.03	8.13	5.36	3.59	7.75	21.16	25.91	3.23	6.11	3.03	6.36	12.83	9.78	2.12	4.21	4.66	5.96
KIF24	135.24	8.32	6.67	26.28	11.64	6.94	12.93	20.26	6.78	10.24	6.89	14.89	6.41	25.72	20.11	12.83	15.45	6.94	8.58	38.95	23.93	5.11	20.86	12.18	6.89	9.2	44.25	24.11	8.38	10.24	6.94	10.24	15.22	15.11	5.68	6.57	13.62	12.0
KLK3	1.66	1345768.59	1212874.47	282912.21	1163466.92	1116072.03	378516.38	875652.15	1063212.58	1055868.42	1255646.43	706337.4	1139523.1	269512.87	431797.89	1100706.72	881742.8	1327240.99	1147449.11	610654.84	90773.53	1412675.8	1238359.56	1327240.99	1196176.45	985160.01	606436.73	179048.63	1212874.47	1238359.56	1048575.0	1345768.59	711250.37	1472666.19	1229805.58	711250.37	925580.18	834179.46
LMNB1	2956.17	49.21	68.55	339.14	78.89	155.5	417.77	279.14	99.43	43.02	82.29	260.38	71.0	629.35	303.44	88.88	140.04	82.87	97.36	327.56	928.3	100.13	189.02	175.07	87.03	155.5	780.44	616.37	78.89	164.42	108.14	220.32	205.5	75.64	56.68	69.03	44.89	49.21
LRPPRC	2645.74	947.83	540.19	1051.79	493.56	723.08	1250.98	813.63	743.43	603.67	688.78	909.17	679.29	1388.16	1175.27	688.78	1096.5	1008.9	791.35	802.41	2032.85	400.71	728.11	748.61	684.02	1127.35	1844.76	2032.85	703.28	723.08	759.08	723.08	1037.29	624.99	595.34	599.49	503.95	708.18
MCM2	3235.01	149.12	130.6	450.94	137.14	180.02	363.56	234.57	260.38	218.79	115.97	211.31	116.78	830.75	314.17	291.04	265.87	178.77	169.07	295.11	728.11	145.02	251.48	145.02	161.02	214.27	366.09	346.29	189.02	234.57	289.02	154.42	234.57	190.34	130.6	123.5	150.17	197.09
MCM4	13306.94	154.42	127.0	397.93	170.25	204.07	624.99	480.04	154.42	143.01	175.07	291.04	112.77	934.76	348.71	249.73	293.07	189.02	119.26	379.04	1322.37	123.5	149.12	139.07	151.22	332.14	854.13	708.18	162.14	205.5	220.32	177.53	206.94	162.14	165.57	95.34	169.07	128.79
MCU	518.15	177.53	199.85	316.37	205.5	251.48	262.2	384.34	182.55	166.73	181.28	262.2	237.86	518.15	255.0	140.04	246.28	231.32	135.24	289.02	293.07	158.79	253.23	215.77	215.77	239.52	412.0	346.29	154.42	226.54	251.48	303.44	223.41	265.87	236.21	142.01	175.07	131.51
MIEF1	591.22	208.38	242.88	312.0	237.86	346.29	420.68	336.79	339.14	271.48	244.57	318.57	275.28	470.14	397.93	346.29	366.09	309.83	214.27	406.31	457.25	277.2	312.0	318.57	244.57	547.75	490.14	414.87	258.57	348.71	379.04	205.5	387.02	312.0	242.88	197.09	246.28	265.87
MKI67	1250.98	16.27	26.67	127.89	41.22	35.25	140.04	55.1	42.11	17.77	41.52	96.68	13.93	232.94	183.82	80.01	46.5	8.85	42.71	127.0	457.25	13.22	80.57	40.64	34.26	51.71	244.57	220.32	28.65	34.75	43.32	63.89	86.43	41.22	13.83	15.22	24.11	6.78
MLF1IP	1709.26	108.9	40.07	409.15	93.35	74.58	267.73	368.65	77.79	30.78	126.12	182.55	82.87	536.45	281.09	138.1	154.42	32.59	77.25	149.12	563.18	70.01	175.07	110.43	71.0	159.9	629.35	305.55	112.77	92.7	148.09	301.33	229.72	136.19	102.25	68.55	27.05	20.56
NCAPG2	1015.93	97.36	74.58	248.0	85.82	82.29	194.36	156.59	98.04	70.01	97.36	137.14	87.03	262.2	186.4	110.43	76.17	87.65	66.18	144.01	473.41	112.77	173.85	84.04	74.58	124.37	316.37	332.14	107.38	90.77	105.89	135.24	139.07	94.01	63.45	52.45	71.5	58.3
NDC1	647.07	111.99	77.79	221.86	98.04	125.24	264.03	237.86	134.3	94.67	91.41	215.77	163.28	327.56	181.28	131.51	172.65	167.9	101.54	170.25	435.55	99.43	153.34	102.97	111.21	239.52	287.01	371.22	133.36	135.24	143.01	148.09	205.5	197.09	92.05	61.25	97.36	82.87
NOP14	802.41	363.56	332.14	543.96	334.46	514.56	728.11	389.72	444.72	293.07	314.17	392.44	397.93	743.43	647.07	444.72	503.95	409.15	423.61	624.99	688.78	438.59	417.77	339.14	358.54	587.13	514.56	624.99	412.0	423.61	403.5	309.83	620.67	432.53	336.79	273.37	295.11	318.57
PARPBP	373.81	13.32	20.56	68.55	24.99	17.13	77.25	36.79	20.26	21.78	25.91	44.57	11.55	87.03	57.49	19.82	35.5	32.82	20.86	33.54	208.38	12.18	55.1	30.78	26.47	35.25	76.17	100.13	17.0	18.97	26.86	24.99	34.26	29.27	10.24	18.16	27.05	21.16
PAXIP1	480.04	136.19	161.02	271.48	150.17	215.77	356.05	211.31	218.79	120.94	176.29	255.0	169.07	339.14	275.28	212.78	229.72	191.67	119.26	248.0	547.75	157.68	193.01	147.06	177.53	211.31	353.59	457.25	143.01	229.72	204.07	215.77	248.0	185.11	141.02	140.04	135.24	97.36
PLAA	902.89	229.72	279.14	432.53	287.01	366.09	412.0	381.68	258.57	232.94	229.72	384.34	275.28	514.56	400.71	339.14	334.46	395.18	208.38	397.93	420.68	190.34	327.56	356.05	265.87	395.18	656.11	490.14	264.03	289.02	376.41	312.0	353.59	244.57	211.31	264.03	223.41	239.52
PRR11	351.14	6.06	16.63	76.71	13.42	27.25	63.45	38.67	12.0	11.21	9.56	65.26	8.13	100.13	71.5	22.1	17.38	10.96	10.63	50.63	217.27	9.56	48.18	14.24	8.32	33.78	69.52	120.94	12.18	15.8	19.82	17.51	27.25	14.89	8.19	3.86	6.73	13.03
PUS7	559.28	100.83	107.38	293.07	125.24	166.73	299.25	189.02	147.06	70.01	120.94	246.28	120.1	406.31	241.19	163.28	215.77	163.28	63.89	214.27	371.22	134.3	212.78	170.25	162.14	205.5	450.94	500.46	140.04	186.4	103.69	135.24	224.97	126.12	90.77	87.03	94.01	64.34
RACGAP1	2104.58	64.8	58.3	253.23	76.17	106.63	224.97	221.86	106.63	80.57	66.65	161.02	81.71	363.56	236.21	105.89	149.12	101.54	76.17	195.72	490.14	68.55	199.85	88.88	67.59	193.01	307.69	312.0	88.88	123.5	142.01	104.42	186.4	117.6	71.0	34.02	66.65	63.89
RAD1	988.12	279.14	316.37	444.72	303.44	351.14	400.71	447.82	293.07	285.03	297.17	444.72	318.57	616.37	432.53	361.04	323.03	379.04	269.6	429.54	595.34	295.11	400.71	460.44	336.79	371.22	703.28	525.39	279.14	336.79	426.57	305.55	366.09	384.34	358.54	262.2	273.37	299.25
RINT1	403.5	218.79	197.09	361.04	223.41	271.48	397.93	275.28	229.72	173.85	214.27	275.28	260.38	381.68	346.29	275.28	323.03	384.34	190.34	283.05	563.18	269.6	269.6	285.03	229.72	312.0	466.88	476.71	206.94	246.28	248.0	277.2	417.77	281.09	165.57	249.73	161.02	158.79
RNASEH1	432.53	128.79	128.79	346.29	115.16	206.94	154.42	237.86	121.79	122.64	112.77	180.02	139.07	320.8	265.87	159.9	255.0	156.59	133.36	189.02	249.73	115.16	176.29	153.34	140.04	224.97	309.83	291.04	115.97	151.22	173.85	116.78	181.28	128.79	111.99	108.14	138.1	150.17
RQCD1	836.53	366.09	384.34	718.08	417.77	486.75	647.07	470.14	441.64	368.65	329.84	607.87	371.22	698.41	642.59	551.56	486.75	460.44	384.34	642.59	988.12	466.88	486.75	420.68	406.31	493.56	595.34	872.1	392.44	447.82	454.09	536.45	540.19	420.68	384.34	376.41	320.8	387.02
SGOL2	215.77	17.13	15.11	67.59	22.59	22.75	88.88	44.57	25.72	14.56	18.29	41.22	19.25	66.65	47.5	26.67	25.72	35.76	21.01	43.32	176.29	18.56	35.25	25.72	24.46	27.84	136.19	86.43	19.53	33.54	34.75	30.12	37.05	26.67	15.0	12.93	15.8	15.56
SKA3	802.41	24.11	9.56	33.3	16.15	14.03	78.89	51.35	17.13	5.92	17.25	24.11	15.91	76.17	52.82	14.24	28.24	11.47	15.91	39.22	180.02	9.93	27.84	17.51	13.32	24.28	99.43	44.57	20.86	17.9	20.26	32.13	31.22	19.53	8.45	6.11	6.41	1.64
SMC2	961.07	37.05	52.45	141.02	53.95	59.13	151.22	123.5	63.45	57.89	32.59	118.43	54.72	303.44	142.01	80.01	100.83	100.13	39.79	130.6	309.83	60.39	96.01	67.12	62.12	119.26	253.23	181.28	50.63	85.82	90.77	67.59	98.04	94.01	38.4	39.5	58.3	70.01
SMC4	2609.3	98.04	126.12	297.17	154.42	144.01	389.72	287.01	130.6	161.02	75.11	307.69	98.73	309.83	376.41	117.6	220.32	228.13	85.22	178.77	1037.29	133.36	170.25	156.59	189.02	237.86	543.96	417.77	123.5	124.37	144.01	190.34	241.19	175.07	144.01	146.03	140.04	171.45
SRPK1	1639.59	206.94	199.85	371.22	205.5	309.83	559.28	361.04	301.33	177.53	204.07	346.29	211.31	579.04	406.31	176.29	470.14	307.69	177.53	314.17	1059.11	153.34	287.01	229.72	249.73	320.8	493.56	555.41	185.11	246.28	262.2	208.38	371.22	239.52	202.66	167.9	187.71	178.77
SRPK2	1073.91	265.87	420.68	567.1	423.61	447.82	599.49	791.35	551.56	414.87	314.17	728.11	438.59	796.86	587.13	525.39	551.56	579.04	220.32	567.1	748.61	303.44	642.59	447.82	363.56	575.03	796.86	1037.29	307.69	426.57	591.22	476.71	616.37	638.15	334.46	429.54	397.93	450.94
TCF20	334.46	162.14	218.79	316.37	220.32	239.52	295.11	325.29	336.79	226.54	185.11	307.69	224.97	339.14	285.03	221.86	253.23	183.82	147.06	285.03	387.02	155.5	271.48	215.77	183.82	273.37	363.56	429.54	197.09	223.41	239.52	239.52	279.14	220.32	198.47	178.77	178.77	183.82
TIMELESS	1331.57	155.5	145.02	293.07	156.59	212.78	209.84	190.34	154.42	120.94	143.01	287.01	140.04	368.65	253.23	264.03	253.23	161.02	158.79	255.0	348.71	156.59	299.25	171.45	176.29	212.78	320.8	232.94	151.22	237.86	170.25	166.73	228.13	152.28	151.22	148.09	124.37	98.04
TOP2A	5672.41	66.18	41.22	358.54	86.43	82.87	490.14	251.48	54.33	48.18	104.42	218.79	32.13	616.37	409.15	107.38	132.44	61.68	161.02	218.79	1457.23	98.73	191.67	115.16	50.98	113.56	780.44	825.0	121.79	85.82	44.89	269.6	223.41	108.9	63.89	43.94	54.33	8.45
TOPBP1	1359.57	121.79	165.57	336.79	177.53	193.01	351.14	223.41	226.54	139.07	150.17	351.14	187.71	638.15	336.79	190.34	239.52	176.29	115.16	217.27	764.36	125.24	212.78	165.57	189.02	220.32	366.09	406.31	177.53	197.09	194.36	180.02	260.38	157.68	116.78	155.5	135.24	153.34
TTC26	180.02	54.33	61.68	135.24	71.5	57.49	145.02	111.99	68.07	57.89	48.87	88.26	57.89	138.1	89.51	65.72	92.05	83.45	41.52	148.09	277.2	64.8	92.05	78.89	44.57	71.0	173.85	214.27	55.49	68.55	55.89	62.56	92.7	78.89	47.84	45.85	57.89	52.45
UBE2D2	2240.11	1340.84	1127.35	1963.57	1119.56	1397.83	1685.71	1378.57	1340.84	1242.34	1135.2	1467.37	1295.13	1733.13	1437.15	1350.18	1167.14	1844.76	1427.22	1551.09	1896.65	1331.57	1477.58	1447.15	1250.98	1259.69	1896.65	2004.85	1175.27	1191.69	1487.87	1322.37	1487.87	1467.37	1183.45	1143.1	1250.98	1359.57
UBE2O	470.14	309.83	351.14	414.87	351.14	426.57	438.59	348.71	432.53	332.14	303.44	373.81	376.41	379.04	435.55	384.34	420.68	348.71	157.68	435.55	497.0	341.51	387.02	371.22	336.79	435.55	457.25	981.29	339.14	325.29	426.57	341.51	480.04	395.18	329.84	325.29	305.55	241.19
VAV2	1088.92	194.36	249.73	665.29	420.68	366.09	476.71	432.53	325.29	226.54	299.25	420.68	336.79	571.05	403.5	551.56	514.56	289.02	260.38	412.0	575.03	318.57	412.0	231.32	239.52	470.14	723.08	934.76	258.57	353.59	373.81	314.17	384.34	483.38	226.54	248.0	217.27	228.13
WDHD1	389.72	14.78	14.14	35.76	21.32	16.63	74.06	42.71	28.04	23.76	11.21	60.39	19.97	126.12	48.87	20.41	23.42	23.93	20.71	42.71	211.31	11.82	45.21	29.7	24.63	26.86	68.55	111.21	18.43	24.46	30.78	29.06	32.59	26.28	16.27	13.72	20.86	31.9
WHSC1	1685.71	162.14	204.07	540.19	281.09	299.25	466.88	287.01	236.21	205.5	209.84	361.04	236.21	674.59	476.71	301.33	332.14	217.27	163.28	368.65	780.44	205.5	336.79	236.21	202.66	264.03	460.44	624.99	226.54	253.23	258.57	248.0	341.51	244.57	159.9	221.86	190.34	195.72
