	TCGA.ZF.A9RD.01A.11R.A42T.07	TCGA.ZF.AA5N.01A.11R.A42T.07	TCGA.FD.A5C1.01A.11R.A28M.07	TCGA.BT.A42E.01A.11R.A23W.07	TCGA.ZF.AA58.01A.12R.A42T.07	TCGA.ZF.AA53.01A.11R.A39I.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.EK.A3GJ.01A.21R.A213.07	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.B2.5641.01A.01R.1541.07	TCGA.B0.5094.01A.01R.1420.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.4700.01A.02R.1541.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5456.01A.01R.1503.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.A3.3323.01A.02R.1325.07	TCGA.AK.3445.01A.02R.1277.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.BP.5189.01A.02R.1426.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B8.5158.01A.01R.1420.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.BP.4986.01A.01R.1334.07	TCGA.BP.5170.01A.01R.1426.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.CW.5591.11A.01R.1541.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.38.4625.01A.01R.1206.07	TCGA.33.4589.01A.01R.1443.07
EPB41	94.01	176.29	53.19	72.01	96.01	106.63	146.03	126.12	114.36	1268.46	1369.04	202.66	420.68	872.1	220.32	507.46	728.11	708.18	1225.22	460.44	909.17	356.05	1030.12	486.75	1605.83	258.57	1127.35	2417.67	438.59	583.07	336.79	460.44	490.14	669.92	161.02	224.97	0.0	19.11
FAM135B	0.0	0.0	0.64	0.0	0.3	0.0	0.0	0.0	0.0	37.85	42.11	1.5	0.78	5.73	2.73	26.28	24.81	4.35	9.27	22.75	48.18	0.37	2.32	1.93	55.49	1.16	16.03	104.42	3.63	8.19	1.5	2.39	18.16	9.06	5.15	0.53	0.0	0.0
FAM21A	81.71	125.24	136.19	202.66	540.19	117.6	297.17	258.57	303.44	426.57	656.11	94.01	379.04	536.45	493.56	669.92	500.46	157.68	974.5	665.29	358.54	595.34	327.56	934.76	575.03	297.17	651.58	624.99	265.87	698.41	511.0	486.75	267.73	336.79	183.82	144.01	0.0	57.49
FAM73A	17.0	64.8	19.25	48.52	46.18	21.47	40.36	32.13	35.0	483.38	334.46	94.01	107.38	197.09	264.03	379.04	429.54	108.9	381.68	178.77	260.38	116.78	277.2	212.78	406.31	84.63	318.57	316.37	86.43	295.11	134.3	236.21	255.0	432.53	37.05	27.64	0.0	34.26
FRG1B	125.24	114.36	146.03	124.37	136.19	105.89	166.73	115.97	127.89	540.19	753.83	212.78	241.19	406.31	65.72	571.05	688.78	361.04	476.71	447.82	438.59	497.0	444.72	183.82	256.78	195.72	336.79	638.15	285.03	429.54	291.04	551.56	289.02	607.87	65.72	92.05	0.0	16.63
GBF1	285.03	426.57	285.03	368.65	368.65	323.03	323.03	351.14	392.44	575.03	555.41	239.52	403.5	470.14	457.25	417.77	409.15	366.09	463.65	460.44	368.65	303.44	591.22	647.07	547.75	332.14	638.15	808.0	387.02	457.25	339.14	334.46	412.0	454.09	234.57	299.25	0.0	108.14
GNPTAB	277.2	114.36	301.33	314.17	301.33	381.68	236.21	194.36	193.01	483.38	791.35	483.38	406.31	536.45	708.18	693.58	748.61	297.17	518.15	460.44	607.87	343.89	819.3	738.29	872.1	323.03	555.41	769.69	309.83	684.02	289.02	525.39	444.72	629.35	137.14	74.06	214.27	170.25
GOSR2	928.3	780.44	988.12	796.86	878.17	902.89	660.68	796.86	764.36	1304.15	1088.92	791.35	1437.15	1359.57	1268.46	995.0	1143.1	1135.2	1304.15	1191.69	995.0	1208.34	1417.35	1159.07	1477.58	1001.93	1066.48	1498.22	961.07	1216.75	836.53	1143.1	1008.9	1044.52	802.41	647.07	0.0	1127.35
H6PD	120.1	88.26	206.94	112.77	368.65	152.28	106.63	220.32	132.44	775.05	947.83	341.51	483.38	836.53	507.46	830.75	559.28	1159.07	1073.91	497.0	1151.06	753.83	389.72	693.58	1119.56	457.25	723.08	1268.46	579.04	525.39	525.39	665.29	587.13	579.04	490.14	525.39	118.43	49.21
HEATR6	148.09	149.12	182.55	255.0	152.28	114.36	101.54	169.07	180.02	281.09	186.4	125.24	195.72	195.72	199.85	198.47	166.73	178.77	297.17	159.9	204.07	358.54	279.14	208.38	221.86	163.28	185.11	271.48	212.78	299.25	175.07	214.27	97.36	155.5	61.25	55.1	0.0	102.25
HLTF	151.22	61.25	90.14	242.88	228.13	125.24	249.73	75.11	198.47	327.56	500.46	208.38	201.25	303.44	237.86	275.28	232.94	212.78	348.71	251.48	269.6	312.0	327.56	514.56	361.04	175.07	432.53	503.95	152.28	318.57	260.38	540.19	318.57	255.0	112.77	54.33	248.0	214.27
IPO8	242.88	131.51	178.77	220.32	232.94	236.21	120.1	323.03	187.71	674.59	688.78	356.05	312.0	493.56	603.67	961.07	551.56	271.48	638.15	483.38	543.96	325.29	860.08	595.34	802.41	323.03	638.15	656.11	299.25	693.58	397.93	559.28	532.74	660.68	244.57	187.71	339.14	148.09
ITGB3	6.94	9.27	11.3	4.54	204.07	13.03	9.13	4.1	4.74	567.1	366.09	108.9	202.66	392.44	205.5	226.54	180.02	373.81	470.14	567.1	599.49	149.12	529.06	713.11	444.72	223.41	525.39	624.99	163.28	651.58	177.53	395.18	183.82	438.59	53.95	37.05	0.0	14.56
KIAA1958	4.43	31.22	8.51	19.39	8.99	10.0	17.25	25.72	13.32	143.01	88.26	28.24	40.36	66.18	48.87	98.04	106.63	51.71	176.29	51.35	82.87	68.55	103.69	58.71	128.79	47.17	83.45	108.9	55.49	103.69	50.98	86.43	78.34	94.01	16.03	18.43	0.0	5.02
KMT2A	62.56	54.72	45.21	78.89	91.41	35.5	76.71	58.71	35.76	368.65	223.41	92.7	163.28	287.01	220.32	224.97	218.79	164.42	493.56	221.86	329.84	119.26	339.14	305.55	351.14	194.36	264.03	279.14	155.5	361.04	150.17	214.27	177.53	277.2	48.52	38.67	0.0	21.32
LARS	486.75	728.11	698.41	583.07	796.86	579.04	490.14	620.67	567.1	1745.2	1651.0	921.88	813.63	1407.55	1427.22	1529.73	1051.79	1081.39	1250.98	1295.13	1350.18	866.07	1733.13	1794.29	2193.99	961.07	2090.03	2133.97	1081.39	2287.2	1159.07	2193.99	1519.15	1191.69	366.09	224.97	0.0	389.72
LIMD1	25.54	48.52	26.47	49.21	96.01	74.06	35.5	92.7	40.93	208.38	182.55	55.1	90.77	151.22	99.43	165.57	97.36	212.78	253.23	127.0	195.72	125.24	167.9	246.28	193.01	105.89	109.66	356.05	106.63	161.02	70.01	190.34	186.4	134.3	38.95	98.04	115.97	13.72
LPGAT1	218.79	55.49	253.23	190.34	242.88	144.01	137.14	198.47	178.77	483.38	642.59	392.44	363.56	486.75	507.46	389.72	423.61	361.04	429.54	429.54	642.59	454.09	536.45	312.0	511.0	314.17	748.61	819.3	307.69	842.36	316.37	796.86	470.14	406.31	426.57	148.09	0.0	113.56
MEGF8	70.01	77.25	69.52	90.14	82.87	41.22	59.55	68.55	119.26	579.04	753.83	149.12	214.27	432.53	256.78	551.56	460.44	395.18	555.41	358.54	420.68	309.83	264.03	575.03	551.56	275.28	384.34	536.45	236.21	441.64	260.38	507.46	329.84	543.96	40.64	117.6	0.0	24.99
MOCS1	31.67	31.22	52.45	105.15	142.01	33.06	55.89	8.85	108.9	291.04	2004.85	226.54	332.14	1088.92	575.03	532.74	171.45	819.3	1991.0	2178.83	1909.85	281.09	718.08	599.49	1286.18	579.04	351.14	1277.29	703.28	571.05	1143.1	1628.26	860.08	759.08	486.75	733.19	93.35	16.15
MYO5C	20.11	6.26	34.26	20.86	23.76	7.22	13.22	35.0	11.38	94.67	154.42	28.45	89.51	81.71	57.49	72.01	27.05	62.12	117.6	82.29	78.34	8.38	138.1	51.35	115.97	58.3	63.89	149.12	57.08	111.21	32.36	72.52	94.01	62.56	45.53	15.68	114.36	6.73
MYO9A	38.12	51.71	36.27	46.18	50.27	35.25	36.27	61.68	39.5	397.93	454.09	77.25	126.12	224.97	232.94	403.5	291.04	171.45	403.5	229.72	318.57	139.07	339.14	329.84	406.31	138.1	232.94	397.93	145.02	493.56	202.66	283.05	269.6	384.34	21.78	12.93	54.33	19.39
NEU3	2.89	20.71	5.06	20.86	11.13	3.47	11.64	7.11	9.63	78.34	85.82	37.32	30.34	81.14	79.45	63.45	70.01	57.49	127.89	45.85	38.95	42.11	29.91	58.3	77.79	20.11	46.5	134.3	37.05	161.02	12.64	85.22	58.71	41.52	7.06	34.26	0.0	14.35
OSBPL10	122.64	264.03	44.89	71.0	312.0	88.88	147.06	105.15	112.77	638.15	429.54	303.44	236.21	486.75	305.55	432.53	463.65	285.03	616.37	248.0	327.56	251.48	493.56	733.19	500.46	198.47	536.45	642.59	260.38	693.58	154.42	432.53	444.72	329.84	55.89	19.11	0.0	87.65
OSMR	470.14	33.06	291.04	511.0	400.71	718.08	651.58	638.15	400.71	2434.5	4358.66	1628.26	1175.27	2075.59	1617.0	1781.89	1991.0	1350.18	2739.08	1844.76	3515.68	2032.85	3060.45	2209.26	2816.11	1216.75	2451.44	3589.58	1119.56	2976.74	1051.79	2537.92	2032.85	1572.76	500.46	70.51	995.0	480.04
PDE10A	1.62	8.45	10.39	5.28	15.91	2.56	4.35	1.16	5.73	165.57	647.07	218.79	237.86	163.28	293.07	334.46	53.19	177.53	1008.9	866.07	603.67	890.44	346.29	616.37	860.08	176.29	144.01	808.0	221.86	521.76	255.0	669.92	221.86	698.41	8.99	1.68	0.0	1.73
PDK1	158.79	204.07	61.25	217.27	161.02	113.56	189.02	224.97	163.28	728.11	607.87	295.11	275.28	480.04	325.29	780.44	620.67	376.41	769.69	470.14	674.59	323.03	435.55	323.03	836.53	341.51	466.88	1183.45	403.5	476.71	299.25	909.17	547.75	995.0	107.38	66.18	149.12	384.34
PKD2	70.01	13.52	67.59	144.01	125.24	86.43	29.06	69.52	68.55	909.17	1037.29	441.64	414.87	1159.07	575.03	718.08	1340.84	438.59	1378.57	599.49	836.53	426.57	967.76	633.73	2148.82	511.0	1096.5	1322.37	529.06	1498.22	518.15	934.76	967.76	1008.9	98.73	49.91	0.0	44.57
PLEKHA5	198.47	47.17	220.32	395.18	117.6	277.2	147.06	158.79	205.5	954.43	995.0	647.07	460.44	493.56	813.63	693.58	669.92	718.08	1135.2	387.02	500.46	289.02	500.46	785.88	954.43	435.55	728.11	1044.52	540.19	684.02	336.79	536.45	563.18	429.54	161.02	92.05	0.0	214.27
PTPN1	796.86	441.64	769.69	480.04	665.29	371.22	647.07	769.69	642.59	764.36	1119.56	1023.0	1051.79	1066.48	1119.56	656.11	2148.82	1119.56	780.44	728.11	1733.13	1001.93	1008.9	1844.76	1407.55	1111.82	785.88	2047.0	909.17	1051.79	579.04	688.78	872.1	728.11	480.04	229.72	0.0	454.09
RAB11FIP2	27.05	35.25	55.1	46.84	49.91	41.81	24.81	55.89	36.01	151.22	241.19	85.82	82.87	195.72	161.02	195.72	167.9	71.0	283.05	142.01	143.01	100.83	191.67	273.37	293.07	116.78	209.84	232.94	72.01	262.2	81.71	163.28	199.85	180.02	45.85	13.42	0.0	21.63
RAB41	0.0	0.0	1.57	2.41	3.56	2.78	0.0	1.31	2.16	7.17	10.24	4.43	5.32	2.66	7.69	2.36	6.46	4.31	4.39	4.03	7.34	2.43	3.82	1.14	4.86	1.51	2.23	5.5	4.94	7.0	4.78	6.67	4.54	4.35	0.0	0.0	0.0	0.52
RERE	211.31	323.03	157.68	206.94	435.55	312.0	283.05	267.73	241.19	1143.1	1378.57	417.77	633.73	1066.48	842.36	660.68	802.41	1081.39	2004.85	1304.15	1628.26	551.56	909.17	1199.98	1457.23	633.73	1233.75	1304.15	738.29	684.02	872.1	1073.91	854.13	1066.48	309.83	232.94	0.0	45.53
RP11-529K1.3	21.32	48.52	7.75	0.0	0.0	0.0	24.28	0.0	12.09	204.07	90.14	0.0	0.0	85.82	151.22	169.07	87.03	44.57	185.11	0.0	62.12	24.63	181.28	108.9	206.94	38.4	6.78	193.01	0.0	102.25	39.22	83.45	97.36	133.36	0.0	0.0	0.0	0.0
SARM1	5.45	5.68	8.92	14.78	28.24	7.63	8.71	24.99	13.72	406.31	483.38	136.19	136.19	248.0	312.0	295.11	301.33	493.56	514.56	373.81	426.57	77.25	198.47	435.55	336.79	214.27	397.93	536.45	237.86	237.86	178.77	327.56	202.66	305.55	43.63	34.26	0.0	5.82
SFXN1	423.61	497.0	547.75	373.81	567.1	432.53	353.59	674.59	493.56	1674.06	1015.93	529.06	555.41	785.88	1059.11	1088.92	1250.98	603.67	1127.35	599.49	1051.79	536.45	988.12	669.92	1583.71	567.1	1561.89	1819.35	638.15	1617.0	463.65	1059.11	1447.15	1340.84	620.67	928.3	473.41	733.19
SLC15A4	267.73	140.04	255.0	447.82	412.0	417.77	262.2	420.68	301.33	1199.98	2976.74	1457.23	1340.84	1457.23	1242.34	2573.36	2417.67	1674.06	2255.7	2090.03	3018.3	1015.93	1447.15	2573.36	2163.77	1127.35	1081.39	1674.06	1216.75	813.63	1757.34	1313.23	1685.71	836.53	384.34	339.14	0.0	358.54
SLC43A2	353.59	140.04	339.14	256.78	629.35	392.44	153.34	105.89	248.0	1008.9	1096.5	218.79	684.02	674.59	718.08	934.76	878.17	1242.34	848.22	656.11	1001.93	438.59	842.36	1242.34	1369.04	669.92	878.17	1883.54	1498.22	493.56	759.08	808.0	1183.45	1081.39	239.52	98.73	267.73	441.64
SLC4A4	0.34	5.23	0.65	0.0	0.92	1.27	9.41	0.37	1.36	1605.83	1051.79	346.29	363.56	540.19	753.83	791.35	1119.56	525.39	802.41	547.75	1250.98	607.87	669.92	429.54	1119.56	423.61	1286.18	1268.46	409.15	775.05	329.84	674.59	947.83	941.27	122.64	104.42	0.0	0.42
SLFN12	156.59	69.52	40.64	67.12	113.56	87.03	41.81	16.39	87.65	255.0	172.65	99.43	195.72	187.71	217.27	206.94	137.14	148.09	190.34	136.19	133.36	89.51	403.5	215.77	239.52	146.03	148.09	334.46	139.07	291.04	105.15	283.05	185.11	111.21	23.76	7.75	0.0	91.41
SMCR8	8.51	10.88	8.85	7.4	19.68	5.36	5.23	12.45	25.17	323.03	145.02	27.44	43.02	126.12	97.36	191.67	194.36	37.85	303.44	81.14	115.97	43.63	148.09	147.06	246.28	44.57	139.07	218.79	31.22	231.32	34.75	115.16	80.57	194.36	17.13	31.45	0.0	12.55
STXBP4	56.68	14.56	25.35	37.59	12.27	24.81	23.08	18.43	17.25	125.24	120.1	58.71	70.01	68.55	107.38	103.69	64.34	66.65	164.42	74.06	73.54	41.22	128.79	116.78	153.34	55.89	80.01	140.04	57.49	96.01	63.0	69.03	102.25	90.14	28.86	5.19	0.0	33.06
TANC2	135.24	166.73	165.57	176.29	208.38	95.34	90.77	64.8	120.94	454.09	543.96	151.22	208.38	348.71	244.57	226.54	275.28	363.56	665.29	511.0	825.0	480.04	368.65	432.53	525.39	301.33	159.9	808.0	376.41	563.18	169.07	387.02	234.57	291.04	12.36	15.22	0.0	62.56
TBC1D16	87.65	140.04	66.65	54.72	72.52	81.14	88.88	30.12	81.14	988.12	1457.23	480.04	267.73	435.55	332.14	1030.12	723.08	320.8	1259.69	612.11	708.18	1175.27	258.57	825.0	928.3	483.38	500.46	1151.06	242.88	1277.29	417.77	674.59	463.65	909.17	77.25	65.72	0.0	69.03
TBC1D5	71.0	89.51	84.04	148.09	208.38	77.79	47.84	163.28	70.01	579.04	285.03	199.85	271.48	409.15	371.22	483.38	376.41	241.19	555.41	226.54	293.07	249.73	536.45	400.71	587.13	189.02	426.57	480.04	190.34	500.46	231.32	400.71	381.68	343.89	96.01	147.06	0.0	43.32
TEAD1	67.59	249.73	62.12	82.29	248.0	92.05	136.19	35.0	75.64	348.71	447.82	242.88	283.05	295.11	293.07	387.02	454.09	258.57	551.56	208.38	507.46	281.09	356.05	503.95	521.76	234.57	403.5	579.04	214.27	507.46	202.66	483.38	473.41	406.31	124.37	59.55	0.0	30.78
TGFBI	22072.07	2178.83	12589.08	4575.41	59474.18	12764.83	6164.49	1697.45	7032.37	162489.97	160252.91	189257.69	134755.94	343510.77	419990.32	338781.54	186652.11	267651.2	93325.55	248002.34	419990.32	301123.38	246289.25	411347.03	114103.8	174152.51	186652.11	275175.93	258533.99	152662.96	186652.11	391864.76	294926.33	174152.51	4268.94	2520.38	0.0	27363.16
TMEM131	172.65	262.2	167.9	336.79	197.09	236.21	153.34	273.37	178.77	490.14	532.74	211.31	269.6	329.84	409.15	420.68	656.11	341.51	529.06	444.72	599.49	403.5	616.37	514.56	599.49	283.05	507.46	684.02	293.07	525.39	307.69	518.15	314.17	521.76	172.65	159.9	202.66	81.71
TMEM182	40.07	68.55	46.5	48.18	29.48	15.8	88.26	25.54	18.43	177.53	130.6	60.39	63.0	69.03	84.04	94.67	264.03	55.49	129.69	70.51	116.78	52.45	76.71	96.68	133.36	35.5	92.05	150.17	62.56	156.59	64.8	165.57	89.51	80.01	52.45	14.14	0.0	74.06
TTC21B	45.21	27.64	47.5	61.68	63.45	41.22	44.89	82.29	55.49	167.9	249.73	84.63	108.14	167.9	153.34	147.06	163.28	118.43	327.56	166.73	206.94	123.5	170.25	154.42	323.03	98.04	176.29	228.13	161.02	204.07	149.12	191.67	126.12	167.9	47.5	45.53	0.0	24.11
ULK2	26.28	98.04	79.45	67.12	114.36	46.5	11.47	61.25	112.77	223.41	251.48	101.54	124.37	224.97	152.28	163.28	217.27	151.22	295.11	301.33	281.09	129.69	157.68	178.77	327.56	127.89	223.41	314.17	91.41	277.2	119.26	187.71	145.02	171.45	49.91	48.52	0.0	73.03
USP28	80.01	81.71	67.59	130.6	143.01	58.3	97.36	117.6	127.0	176.29	190.34	150.17	145.02	241.19	195.72	156.59	142.01	156.59	244.57	253.23	287.01	120.94	255.0	201.25	220.32	135.24	256.78	295.11	129.69	185.11	147.06	195.72	256.78	206.94	58.3	75.11	231.32	62.56
WDR35	39.5	18.29	50.98	45.21	28.65	19.97	14.03	63.0	29.48	119.26	293.07	64.8	61.68	135.24	135.24	239.52	224.97	145.02	251.48	143.01	163.28	85.22	146.03	169.07	241.19	105.15	218.79	242.88	108.9	251.48	126.12	220.32	151.22	224.97	26.86	13.93	0.0	30.78
ZBED6	1.95	3.47	2.25	19.39	6.36	2.23	1.89	5.54	5.5	135.24	71.0	22.1	52.08	96.01	87.03	96.68	92.7	53.95	208.38	37.85	105.89	27.84	172.65	53.57	199.85	52.82	84.63	159.9	31.0	277.2	13.72	85.22	60.39	94.67	4.7	6.67	0.0	1.6
ZC3HAV1L	5.73	21.94	4.13	47.5	20.41	11.55	24.63	18.56	11.3	120.1	217.27	43.63	45.21	72.52	102.97	104.42	190.34	63.0	181.28	58.71	115.16	67.59	88.88	60.39	138.1	49.21	116.78	133.36	56.68	214.27	38.12	182.55	108.9	77.25	0.0	0.0	0.0	5.54
ZMYM4	139.07	172.65	113.56	163.28	217.27	145.02	131.51	206.94	173.85	400.71	392.44	241.19	265.87	441.64	450.94	384.34	358.54	204.07	679.29	463.65	480.04	299.25	483.38	356.05	514.56	273.37	447.82	595.34	305.55	392.44	299.25	463.65	417.77	336.79	105.15	49.91	0.0	50.27
ZNF221	4.1	1.58	9.06	17.9	11.64	9.93	2.16	1.66	2.61	9.48	21.16	8.13	19.68	15.91	8.51	11.82	19.11	24.46	43.94	13.12	13.93	11.47	19.53	11.82	29.48	10.96	19.97	29.27	8.58	16.63	11.82	26.67	16.27	10.55	2.46	1.36	0.0	0.0
ZNF354C	2.86	1.89	7.57	2.84	7.22	9.06	22.75	2.16	15.34	58.3	43.94	19.53	36.27	62.56	38.4	84.04	78.89	36.27	125.24	86.43	76.71	7.0	81.14	113.56	97.36	56.68	12.0	81.71	14.45	73.03	35.25	114.36	43.32	88.26	4.24	1.64	0.0	1.51
ZNF521	11.64	4.39	50.27	13.93	26.86	20.41	10.08	2.71	34.75	105.89	53.95	95.34	99.43	291.04	258.57	301.33	473.41	86.43	151.22	128.79	356.05	154.42	208.38	214.27	334.46	248.0	267.73	642.59	371.22	571.05	228.13	713.11	376.41	684.02	21.16	3.08	0.0	4.9
ZNF621	12.64	32.82	15.8	26.47	38.95	18.43	15.68	27.05	13.42	90.77	109.66	46.84	55.1	100.13	80.57	60.82	92.7	80.57	164.42	94.01	86.43	50.98	87.03	114.36	136.19	45.85	92.05	114.36	54.33	167.9	40.07	124.37	71.5	64.34	34.51	31.22	0.0	18.43
