	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.EM.A3OA.01A.11R.A220.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A3O8.01A.11R.A220.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A45G.01A.11R.A23W.07	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.11EQ9.0626.SM.5A5K1	GTEX.WHSB.1626.SM.3LK6J	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.Q2AI.0326.SM.2I3EK	GTEX.XLM4.0726.SM.4AT64	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.11DXX.0226.SM.5P9HL	GTEX.PWCY.2326.SM.2I3EQ	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13O21.2226.SM.5MR3L
RASSF8	161.02	169.07	112.77	111.99	66.65	99.43	94.01	96.01	85.82	104.42	102.97	100.83	114.36	81.14	95.34	155.5	103.69	223.41	63.0	167.9	201.25	264.03	161.02	101.54	153.34	96.01	153.34	169.07	244.57	170.25	113.56	189.02	94.01	199.85	141.02	87.65	100.83	139.07	143.01	183.82	201.25	108.9	127.89	146.03	123.5	189.02	91.41	138.1	125.24	182.55	147.06	127.89	159.9	167.9	173.85
RAVER1	420.68	334.46	334.46	473.41	267.73	356.05	486.75	314.17	551.56	323.03	291.04	403.5	454.09	403.5	521.76	500.46	595.34	500.46	406.31	406.31	480.04	409.15	525.39	616.37	511.0	567.1	529.06	470.14	551.56	457.25	567.1	595.34	312.0	356.05	647.07	392.44	429.54	463.65	587.13	642.59	525.39	483.38	532.74	460.44	432.53	483.38	387.02	518.15	660.68	529.06	607.87	381.68	379.04	547.75	567.1
RBM15B	348.71	289.02	217.27	295.11	223.41	281.09	301.33	334.46	332.14	265.87	297.17	368.65	299.25	305.55	289.02	409.15	392.44	450.94	376.41	291.04	384.34	460.44	441.64	392.44	400.71	457.25	397.93	389.72	412.0	363.56	384.34	450.94	351.14	351.14	463.65	285.03	312.0	368.65	483.38	406.31	483.38	400.71	420.68	476.71	323.03	514.56	435.55	395.18	414.87	426.57	444.72	361.04	320.8	417.77	373.81
RFTN1	1167.14	409.15	500.46	854.13	406.31	842.36	878.17	808.0	890.44	688.78	665.29	1225.22	915.51	954.43	995.0	3395.89	1322.37	2255.7	866.07	802.41	2451.44	3515.68	2520.38	1369.04	1457.23	1697.45	1617.0	2976.74	5292.48	2163.77	1832.01	1286.18	1896.65	1628.26	3467.27	1617.0	995.0	1487.87	2240.11	1674.06	1628.26	1769.57	2682.69	3419.52	1745.2	1896.65	2319.15	2555.58	1561.89	3060.45	1806.78	3303.0	1457.23	1721.16	2367.9
RIMS3	14.78	29.91	5.59	12.83	6.84	4.21	5.96	19.82	9.63	9.85	8.78	18.97	12.74	10.39	17.0	16.39	25.91	44.57	8.92	25.54	32.36	32.82	31.9	14.67	25.17	34.51	43.32	39.22	21.94	40.93	44.57	56.28	51.35	39.22	24.99	17.77	30.34	30.56	46.84	28.65	58.71	29.27	38.67	42.71	54.33	50.98	18.7	25.54	36.79	18.43	15.8	31.22	22.43	26.47	20.11
RNF26	368.65	343.89	373.81	381.68	441.64	457.25	529.06	529.06	466.88	406.31	366.09	486.75	486.75	406.31	473.41	521.76	567.1	633.73	454.09	387.02	718.08	540.19	559.28	563.18	460.44	616.37	480.04	579.04	532.74	463.65	599.49	629.35	351.14	599.49	587.13	397.93	435.55	441.64	563.18	521.76	603.67	612.11	536.45	603.67	400.71	599.49	674.59	500.46	660.68	579.04	571.05	450.94	450.94	629.35	563.18
RP11-986E7.7	0.0	1.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.99	2.78	7.11	0.0	0.84	1.81	10.71	34.02	4.98	4.43	3.0	1.1	3.72	10.55	0.43	3.11	12.09	1.85	0.39	8.99	0.37	1.46	0.0	4.62	7.06	7.22	1.23	6.01	2.63	0.91	9.48	2.01	1.71	5.87	13.22	3.35	0.0	2.86	8.06	6.21
SAMHD1	312.0	212.78	193.01	262.2	295.11	351.14	176.29	473.41	518.15	194.36	291.04	206.94	150.17	214.27	273.37	759.08	583.07	1059.11	79.45	145.02	703.28	1127.35	693.58	974.5	642.59	679.29	316.37	309.83	988.12	595.34	540.19	1233.75	289.02	244.57	563.18	172.65	429.54	214.27	656.11	1191.69	872.1	281.09	890.44	379.04	176.29	796.86	205.5	521.76	915.51	872.1	493.56	406.31	316.37	1088.92	759.08
SCARA5	1.25	1.62	43.94	30.56	0.0	4.24	0.0	9.93	0.0	1.22	7.69	0.0	3.41	41.22	10.31	90.14	256.78	1407.55	4.03	616.37	125.24	1397.83	2032.85	647.07	198.47	198.47	1498.22	412.0	591.22	92.7	423.61	902.89	153.34	147.06	1806.78	139.07	24.81	358.54	612.11	642.59	1111.82	65.26	155.5	480.04	120.94	603.67	162.14	66.65	599.49	647.07	981.29	65.26	7.51	1073.91	339.14
SESTD1	132.44	102.97	154.42	156.59	90.14	120.1	74.06	111.21	130.6	100.13	115.97	135.24	100.83	80.01	138.1	137.14	121.79	674.59	158.79	242.88	214.27	543.96	441.64	291.04	186.4	325.29	258.57	186.4	426.57	255.0	237.86	320.8	255.0	190.34	312.0	195.72	103.69	220.32	366.09	353.59	356.05	137.14	346.29	336.79	237.86	299.25	104.42	124.37	397.93	447.82	269.6	150.17	126.12	339.14	256.78
SH3BP4	348.71	215.77	361.04	209.84	209.84	327.56	273.37	229.72	285.03	275.28	332.14	309.83	260.38	291.04	312.0	698.41	470.14	764.36	173.85	241.19	555.41	603.67	642.59	273.37	555.41	563.18	301.33	480.04	738.29	543.96	473.41	483.38	293.07	320.8	802.41	301.33	514.56	312.0	738.29	587.13	595.34	579.04	435.55	698.41	255.0	603.67	1023.0	555.41	473.41	830.75	723.08	251.48	500.46	454.09	476.71
SMC1A	454.09	185.11	291.04	152.28	265.87	127.0	181.28	190.34	232.94	232.94	145.02	198.47	414.87	194.36	320.8	493.56	525.39	679.29	239.52	287.01	656.11	679.29	633.73	432.53	368.65	728.11	392.44	329.84	684.02	420.68	679.29	842.36	209.84	361.04	947.83	318.57	256.78	244.57	438.59	854.13	688.78	175.07	718.08	633.73	309.83	656.11	214.27	450.94	540.19	642.59	555.41	281.09	218.79	698.41	406.31
SMG8	151.22	87.03	96.01	82.29	68.55	74.06	120.1	81.71	127.0	103.69	74.58	115.97	102.25	80.57	128.79	181.28	151.22	186.4	103.69	100.83	262.2	171.45	187.71	164.42	138.1	156.59	139.07	195.72	172.65	173.85	205.5	229.72	123.5	125.24	206.94	99.43	125.24	152.28	172.65	166.73	191.67	150.17	182.55	193.01	83.45	205.5	161.02	189.02	206.94	223.41	186.4	123.5	129.69	195.72	171.45
SOWAHC	127.89	99.43	68.55	57.89	57.49	58.3	60.82	63.45	92.7	94.67	64.8	94.67	53.57	83.45	82.87	214.27	154.42	187.71	89.51	154.42	242.88	126.12	131.51	93.35	141.02	135.24	215.77	277.2	186.4	166.73	142.01	177.53	155.5	190.34	180.02	169.07	148.09	242.88	195.72	180.02	156.59	206.94	134.3	183.82	204.07	237.86	180.02	186.4	157.68	151.22	217.27	123.5	148.09	151.22	170.25
SRPX	98.04	52.45	156.59	258.57	32.36	115.97	118.43	253.23	63.45	33.78	291.04	56.28	101.54	246.28	211.31	1104.13	457.25	1709.26	18.97	117.6	1350.18	2935.74	1583.71	1709.26	759.08	1023.0	723.08	403.5	1225.22	796.86	860.08	2061.24	221.86	480.04	1674.06	166.73	503.95	525.39	409.15	1378.57	1208.34	551.56	1467.37	343.89	204.07	830.75	395.18	656.11	1001.93	988.12	1159.07	503.95	249.73	1127.35	1950.0
SSRP1	1794.29	1662.49	1143.1	1369.04	1259.69	1216.75	1733.13	1662.49	1617.0	1477.58	1135.2	1923.14	1721.16	1437.15	1605.83	1936.53	1794.29	1857.6	1437.15	1709.26	1857.6	1832.01	2061.24	1936.53	1605.83	1936.53	1883.54	1709.26	2047.0	1685.71	1936.53	2209.26	1870.53	1896.65	2178.83	1477.58	1447.15	1674.06	1991.0	2133.97	1883.54	1268.46	2224.63	2075.59	1709.26	1883.54	1498.22	1651.0	1870.53	2163.77	1923.14	1870.53	1896.65	1991.0	1757.34
SUN2	1096.5	1059.11	842.36	988.12	624.99	748.61	791.35	1175.27	1104.13	1104.13	884.29	1059.11	1104.13	1081.39	1151.06	1697.45	1674.06	1950.0	974.5	1059.11	1143.1	1896.65	2119.22	2609.3	1561.89	1844.76	1250.98	1008.9	1963.57	1709.26	1745.2	1697.45	1216.75	1143.1	1572.76	1340.84	1030.12	1073.91	1697.45	2271.4	2682.69	866.07	2061.24	2047.0	1167.14	1407.55	842.36	1322.37	2163.77	2384.37	1540.37	1199.98	1313.23	1977.24	1870.53
SZRD1	1844.76	1359.57	1519.15	1417.35	1508.65	1457.23	1397.83	1561.89	1457.23	1794.29	1340.84	1781.89	1639.59	1350.18	1594.73	2240.11	2148.82	2209.26	1721.16	1457.23	1923.14	2271.4	2193.99	1781.89	1870.53	2163.77	1769.57	1936.53	2148.82	1674.06	1857.6	2271.4	1651.0	1883.54	2119.22	1529.73	2032.85	1806.78	2090.03	2351.53	2047.0	1950.0	1844.76	2075.59	1508.65	2224.63	1896.65	2178.83	2133.97	2209.26	2271.4	1991.0	2018.8	1883.54	1832.01
TFPI	169.07	116.78	162.14	361.04	125.24	262.2	123.5	195.72	166.73	124.37	281.09	130.6	129.69	281.09	206.94	361.04	392.44	866.07	109.66	248.0	1259.69	1096.5	1111.82	486.75	540.19	934.76	599.49	293.07	403.5	514.56	532.74	651.58	679.29	483.38	988.12	293.07	189.02	660.68	356.05	981.29	642.59	265.87	638.15	303.44	316.37	1369.04	532.74	176.29	647.07	1250.98	780.44	607.87	591.22	693.58	830.75
TG	945028.61	542775.98	736332.6	857631.47	711250.37	706337.4	887875.81	794671.01	985160.01	992012.34	932018.1	1147449.11	701458.36	906531.99	606436.73	2247670.86	2126426.15	1327240.99	2111737.85	1611529.43	1204496.53	1611529.43	1070607.81	1739208.14	1131651.83	1838374.44	1535204.12	1984025.69	1336472.68	1273174.62	1997825.68	932018.1	2986448.72	2425749.94	1929772.37	906531.99	1943195.01	1622738.51	1727194.55	731246.37	1085552.95	2636147.11	1775752.63	2111737.85	1691649.38	1668359.93	3178687.03	3886391.01	1645391.11	1131651.83	2263304.65	2672946.37	1567462.05	1402917.72	1063212.58
TGFBR3	162.14	103.69	125.24	127.89	61.68	127.0	47.17	110.43	142.01	67.59	148.09	136.19	93.35	116.78	116.78	146.03	197.09	397.93	49.91	105.89	454.09	633.73	514.56	299.25	248.0	303.44	237.86	173.85	307.69	339.14	269.6	336.79	149.12	191.67	406.31	133.36	83.45	273.37	281.09	251.48	555.41	111.99	555.41	305.55	137.14	279.14	145.02	173.85	211.31	543.96	312.0	158.79	112.77	318.57	343.89
TGS1	180.02	133.36	127.0	109.66	108.14	120.1	109.66	124.37	157.68	118.43	130.6	153.34	123.5	124.37	146.03	197.09	164.42	193.01	190.34	133.36	277.2	214.27	237.86	189.02	172.65	189.02	183.82	164.42	224.97	209.84	226.54	228.13	173.85	164.42	229.72	135.24	148.09	201.25	193.01	241.19	197.09	166.73	205.5	202.66	134.3	269.6	167.9	176.29	202.66	264.03	193.01	173.85	152.28	221.86	185.11
TIRAP	134.3	109.66	98.04	104.42	73.54	94.01	132.44	72.01	89.51	112.77	94.01	119.26	120.94	96.68	127.89	149.12	128.79	148.09	84.04	82.87	147.06	139.07	152.28	189.02	108.14	189.02	147.06	153.34	129.69	153.34	144.01	180.02	100.83	99.43	127.89	84.04	120.94	140.04	154.42	141.02	156.59	134.3	185.11	154.42	95.34	155.5	111.99	167.9	125.24	176.29	164.42	129.69	130.6	140.04	157.68
TMCO3	176.29	202.66	249.73	163.28	66.65	153.34	125.24	241.19	217.27	186.4	172.65	164.42	134.3	156.59	208.38	249.73	301.33	540.19	197.09	297.17	327.56	423.61	395.18	309.83	332.14	327.56	551.56	303.44	376.41	444.72	441.64	438.59	316.37	246.28	346.29	155.5	187.71	373.81	343.89	432.53	327.56	397.93	423.61	273.37	258.57	275.28	116.78	275.28	376.41	320.8	339.14	246.28	343.89	285.03	291.04
TMEM140	206.94	110.43	159.9	221.86	102.97	189.02	140.04	162.14	379.04	167.9	190.34	170.25	187.71	158.79	173.85	224.97	221.86	303.44	64.8	194.36	305.55	242.88	332.14	320.8	187.71	229.72	361.04	262.2	177.53	249.73	215.77	246.28	262.2	180.02	218.79	143.01	155.5	320.8	153.34	197.09	253.23	135.24	228.13	198.47	181.28	314.17	124.37	180.02	376.41	312.0	255.0	148.09	265.87	297.17	412.0
TMEM185B	287.01	223.41	285.03	246.28	142.01	182.55	234.57	214.27	212.78	255.0	163.28	220.32	197.09	220.32	253.23	476.71	466.88	486.75	198.47	285.03	486.75	507.46	397.93	334.46	318.57	463.65	327.56	466.88	435.55	423.61	373.81	543.96	305.55	395.18	559.28	273.37	320.8	343.89	447.82	466.88	400.71	371.22	483.38	480.04	312.0	612.11	400.71	363.56	500.46	470.14	507.46	224.97	309.83	371.22	414.87
TMEM252	4.98	0.88	4.58	3.29	1.93	0.59	0.0	3.5	1.73	1.33	1.69	1.75	0.91	5.82	7.06	8.99	2.14	10.0	1.16	3.35	9.2	23.25	17.0	12.09	15.68	14.78	25.17	11.47	17.25	7.34	7.28	13.72	3.06	6.94	12.55	9.7	2.36	3.32	7.63	9.13	19.39	2.14	24.99	5.11	2.43	21.63	7.88	4.35	6.73	21.78	16.39	2.97	4.66	12.83	5.32
TRIM35	149.12	131.51	106.63	129.69	106.63	131.51	100.83	128.79	149.12	122.64	101.54	193.01	120.1	108.9	119.26	191.67	206.94	182.55	90.14	118.43	143.01	180.02	173.85	154.42	170.25	175.07	157.68	187.71	218.79	208.38	211.31	253.23	80.57	114.36	149.12	114.36	186.4	129.69	155.5	197.09	193.01	147.06	163.28	142.01	130.6	212.78	128.79	180.02	171.45	237.86	172.65	105.89	136.19	215.77	185.11
UBIAD1	197.09	186.4	120.1	132.44	129.69	136.19	119.26	131.51	145.02	140.04	123.5	162.14	140.04	137.14	146.03	242.88	202.66	232.94	140.04	169.07	221.86	236.21	237.86	236.21	191.67	234.57	228.13	212.78	246.28	224.97	206.94	265.87	158.79	221.86	269.6	154.42	181.28	212.78	239.52	256.78	258.57	205.5	255.0	281.09	180.02	267.73	191.67	182.55	218.79	291.04	237.86	158.79	214.27	217.27	217.27
VIT	0.0	2.84	16.15	26.1	1.48	5.45	5.36	4.54	0.0	1.39	3.53	1.97	1.36	37.05	8.51	117.6	118.43	409.15	1.23	43.02	57.08	320.8	206.94	165.57	138.1	120.94	115.97	59.97	128.79	115.16	212.78	166.73	70.51	31.22	236.21	41.81	29.7	52.08	105.89	205.5	441.64	94.67	100.13	109.66	34.26	135.24	80.01	69.03	269.6	228.13	87.03	42.71	6.41	246.28	162.14
WDR82	1143.1	738.29	733.19	842.36	583.07	872.1	848.22	819.3	813.63	825.0	967.76	967.76	872.1	738.29	941.27	1340.84	1167.14	1498.22	896.64	1104.13	1304.15	1369.04	1350.18	1191.69	1096.5	1295.13	1417.35	1183.45	1457.23	1183.45	1268.46	1540.37	848.22	1073.91	1437.15	1111.82	860.08	1216.75	1437.15	1250.98	1322.37	884.29	1277.29	1304.15	1208.34	1498.22	902.89	1081.39	1119.56	1437.15	1378.57	890.44	967.76	1259.69	1135.2
YIPF5	571.05	363.56	379.04	314.17	353.59	241.19	281.09	295.11	329.84	392.44	279.14	414.87	414.87	376.41	395.18	713.11	665.29	718.08	371.22	429.54	854.13	753.83	718.08	493.56	587.13	703.28	583.07	624.99	748.61	624.99	599.49	872.1	414.87	518.15	796.86	376.41	497.0	473.41	703.28	629.35	551.56	642.59	713.11	624.99	414.87	902.89	669.92	713.11	595.34	738.29	708.18	426.57	521.76	669.92	647.07
ZBED4	70.01	64.34	56.28	43.02	69.52	41.81	52.82	50.63	78.34	67.12	74.58	67.12	66.18	73.54	62.56	94.67	88.26	90.14	39.79	64.8	96.68	83.45	109.66	108.9	103.69	75.11	78.34	80.01	90.14	81.14	82.87	142.01	69.52	60.39	88.88	57.08	82.29	72.01	99.43	105.15	89.51	89.51	84.04	82.87	73.03	134.3	76.17	70.51	80.57	73.03	94.67	67.12	70.01	95.34	94.67
ZBTB39	36.27	27.64	20.11	45.85	25.35	32.59	37.85	25.54	44.89	24.63	40.64	50.63	29.48	31.9	46.18	46.18	59.13	71.5	38.4	37.59	85.82	73.54	73.54	59.55	61.68	70.01	55.1	52.82	51.35	59.97	69.52	69.52	49.91	40.07	68.55	34.75	37.59	58.3	63.45	56.68	70.01	48.52	78.34	57.89	38.67	61.25	39.22	45.85	58.71	82.29	74.06	50.63	47.84	58.71	60.82
ZNF281	62.56	44.25	35.5	57.89	54.33	40.93	53.19	52.08	77.79	45.85	65.72	73.54	38.67	55.1	61.68	96.68	105.89	130.6	57.49	76.17	215.77	108.9	118.43	86.43	86.43	108.9	78.89	93.35	103.69	102.25	105.15	146.03	84.04	51.35	119.26	64.8	65.26	85.22	117.6	98.04	115.16	99.43	92.7	106.63	103.69	152.28	74.06	94.01	102.25	132.44	128.79	64.34	73.03	106.63	90.14
ZNF385B	0.0	0.0	3.03	0.0	6.26	1.22	0.0	2.16	1.71	1.69	0.0	0.0	2.12	3.2	3.11	5.77	16.88	20.11	4.5	18.29	24.63	29.91	24.63	73.03	22.26	17.25	33.3	16.27	6.94	22.43	33.06	24.46	1.62	15.56	49.91	8.06	10.08	15.22	26.1	63.89	8.51	7.82	5.59	10.71	7.11	32.36	8.99	13.52	27.84	21.47	13.12	38.67	0.0	36.27	33.06
ZNF622	529.06	547.75	346.29	490.14	559.28	429.54	529.06	567.1	525.39	529.06	397.93	591.22	476.71	503.95	518.15	629.35	579.04	616.37	551.56	412.0	595.34	669.92	587.13	688.78	536.45	718.08	575.03	616.37	688.78	555.41	708.18	669.92	450.94	571.05	780.44	417.77	511.0	555.41	656.11	674.59	612.11	525.39	684.02	753.83	438.59	780.44	642.59	638.15	713.11	819.3	651.58	525.39	624.99	656.11	583.07
ZNF79	82.29	55.89	42.11	56.28	79.45	60.39	57.49	52.45	75.11	63.45	64.34	73.54	58.3	57.89	81.71	95.34	94.67	84.63	43.94	39.5	71.0	71.5	136.19	84.04	80.01	153.34	88.26	97.36	75.11	91.41	74.58	115.16	80.57	48.52	94.01	32.59	85.22	103.69	101.54	95.34	76.17	76.71	91.41	88.88	68.07	101.54	83.45	77.25	122.64	79.45	82.29	85.22	88.26	78.89	90.77
